observations,subject_ids,10_MMF11,11_MMF11,12_MMF11,13_MMF11,14_MMF11,1_MMF11,23_MMF11,24a_MMF11,24b_MMF11,24c_MMF11,24d_MMF11,25_MMF11,29_30_MMF11,2Ve_MMF11,2_1_MMF11,2_MMF11,31_MMF11,32_MMF11,3_MMF11,44_MMF11,45A_MMF11,46d_MMF11,46v_MMF11,5_MMF11,7A_MMF11,7B_MMF11,8_MMF11,9_46d_MMF11,9_46v_MMF11,9_MMF11,AIP_MMF11,AuditoryCore_MMF11,DP_MMF11,Entorhinal_MMF11,F1_MMF11,F2_MMF11,F3_MMF11,F4_MMF11,F5_MMF11,F6_MMF11,F7_MMF11,FST_MMF11,Gustatory_MMF11,HC_Amygdala_MMF11,IPa_MMF11,Insula_MMF11,LB_MMF11,LIP_MMF11,MB_MMF11,MEDIAL_WALL,MIP_MMF11,MST_MMF11,MT_MMF11,OPAI_MMF11,OPRO_MMF11,PBc_MMF11,PBr_MMF11,PECg_MMF11,PGa_MMF11,PGm_MMF11,PIP_MMF11,PO_MMF11,Perirhinal_MMF11,Piriform_MMF11,ProM_MMF11,Prostriate_MMF11,S2_MMF11,STP_MMF11,TEO_MMF11,TE_MMF11,TH_TF_MMF11,TPt_MMF11,TemporalPole_MMF11,Unassigned_MMF11,V1_MMF11,V2_MMF11,V3A_MMF11,V3_MMF11,V4_MMF11,V4t_MMF11,VIP_MMF11
0,0,-1.611530061942755,-4.161765378283374,-3.4029520824754576,-1.4551915814587084,-2.5622195264221075,-2.4017687958460883,-1.8669045352787597,-1.9433425836841265,-2.597744113716331,-1.3006497449436947,-1.3802034311718048,-2.096236555331298,-0.8818052543331448,-3.016224754877365,-1.4106731524264362,-4.670111853360151,-1.5830933778833818,-2.419736918090278,-4.223983177090585,-4.671885674168207,-1.6042824158566775,-0.9134182703339943,-2.691422908125129,-2.07131023070054,-2.5977170650267523,-1.8990334771767692,-2.3757416046308015,-2.5779812060188627,-1.8771484750255762,-0.6428220652016696,-4.910894274041889,-0.6166714541356696,-0.6653685345633314,-2.531300209386375,-2.869563278922822,-2.8507947033771734,-1.7210836762173058,-2.3929035724449634,-2.0444816236972834,-2.316209280505941,-2.2334598379860733,-1.9208615371980966,-1.995326830558823,-2.970431658592542,-1.727451268017596,-3.229395414566159,-1.9595217618137126,-2.9588666286443366,-1.7898752183505793,-1.5797685618195192,-1.2769837754109759,-3.3429756222673954,-2.0766019952710537,-3.280297027898736,-0.39356720506657594,-2.3984059848856116,-2.8923231406934615,-1.3029699242953905,-4.74693410608635,-1.8528961402610014,-2.0580038674595444,-0.8638369309091377,-2.812461907118026,-1.4523492431240315,-1.978466354146345,-0.7264807992729567,-2.115334530765078,-3.269392531483772,-2.078318541263074,-3.9064192927321377,-3.0103364711393983,-0.5609261319003666,-1.661437576364716,-3.408074957115125,-2.609041264831901,-1.4839588340124454,-1.4091351174498148,-3.710712180642532,-2.999136680165095,-1.122534766321789,-1.014085540578472
1,1,-0.7699326529896775,-0.9175081282614832,-1.0378813448093847,-0.9680829274651915,-0.7485825737806558,-1.1325223546377146,-0.9911143674090497,-1.6638408953475587,-1.4301424503064415,-1.0401913527331756,-0.8057830805082109,-1.0871643335156969,-1.7217010918364992,-0.9060222073498585,-0.6513134167477077,-0.9448003138850577,-0.9064589344327636,-1.477549706090712,-0.8805975472302094,-1.1280047482102173,-1.3450191262469415,-0.7548938765279901,-0.6513898203306581,-0.9534277891160345,-1.2356387051594566,-1.1663489814709067,-0.6993385479813785,-1.6542997092597698,-0.5779887094041267,-2.3726245290473393,-0.7468552860629353,-1.3250419120997945,-0.7161164090865303,-1.4582529260865635,-1.5711623783684554,-1.297090113240299,-0.77086850693806,-0.8827834949585942,-0.9682054405877731,-1.484493336848197,-0.8225402191155863,-0.6517248712733636,-2.2147408350462503,-1.211119980716091,-0.9856415829460992,-1.0384336934219864,-0.7556904780552156,-0.7098050508244984,-1.1056408776601412,-0.7800742758440488,-0.7485750770282111,-0.952099801768199,-1.1135642757906798,-0.992742451843944,-0.9241619184893894,-0.8794924834692635,-0.789958545522687,-1.0276665351940848,-0.7774023119407283,-0.6584965631465622,-0.8582168268626009,-0.6569900329043178,-1.8891202963003466,-1.6375003580046976,-0.7425022349721111,-1.103641175852721,-0.859898332984776,-1.1164557372538382,-0.6952091322207699,-0.5931569763697375,-1.3361851005089551,-0.9559712607421715,-1.1778902674207443,-0.7946672582516352,-0.7621708757714525,-0.6577774099071523,-0.7996564552510184,-0.8005537200537134,-0.6455467723045012,-0.7740157505698175,-0.9008817122235715
2,2,-2.761252084413155,-2.5202354407928187,-2.125947223817609,-1.0232195016696704,-2.7180053459994866,-3.6903570304436975,-3.878887450640807,-1.205276336775611,-0.872580146878318,-2.0631018770531266,-3.3386978451691425,-1.9983774306696809,-1.0377918071768588,-0.9706863976391795,-1.0138090331576324,-2.7678310131600234,-2.134927829542338,-1.7301383529542558,-1.8904818338061977,-2.863145033696632,-1.5904930867790286,-1.9278198216154157,-1.798840866571545,-3.2024873356287458,-3.0300350012200314,-1.5990421144812257,-4.188577643186248,-3.1014127212004743,-1.616425423092374,-3.6973980271658826,-3.719642988716999,-2.9264684419962794,-2.15487226965754,-3.4080271923560077,-3.8357095370323018,-4.210053841015256,-2.4371010582079524,-3.444259511130496,-3.7263418869816833,-2.6611878036446814,-4.17451238975438,-1.8529976737548484,-1.1294650037215181,-0.9659563123749331,-2.214340126901348,-1.5290675455662643,-2.57354686702789,-3.8659697705988627,-2.5121780937758063,-1.8322862379267582,-3.4194594366533684,-3.520771936960664,-2.7828024854490767,-1.326751642443471,-2.119827691616828,-2.793062456970582,-3.2720849472587905,-1.932631080355625,-2.0300018902867234,-3.9015315997829436,-2.850010508362359,-2.6179116361644343,-1.9745477505958138,-1.7719539528631452,-0.6901520129267418,-3.597480987399937,-2.3804514589222077,-2.896092035474428,-1.708172991324746,-2.603863309167507,-1.4960412499411457,-2.1881956653874672,-2.043776926481748,-3.4098629383775982,-2.7830459722562573,-2.1537384207397072,-2.7742246101158163,-2.629855233510302,-2.4889046259339462,-0.9479967341728107,-2.9494785333233224
3,3,-0.5333282350940027,-0.8269245571060545,-0.921430569634883,-1.0601659996798594,-0.6558885046307094,-0.6555302627952898,-0.7277877852739505,-2.4968499825196604,-1.6099259864474489,-1.7926368915950448,-0.6000029130464437,-0.8039853438043262,-1.3355479189405621,-0.6777574596337035,-0.5443407176615165,-0.7325210859918938,-0.5756141979541041,-1.1450457580166307,-0.5575082119382387,-0.8757649223063864,-0.6347065193773235,-0.8592408919146737,-1.2659091117863093,-0.655300972345187,-0.5362406291289326,-0.6846267575609306,-0.6827400285474323,-1.0697624685172085,-4.112764219109778,-0.5211937235738444,-1.581683182468264,-0.6204903581694319,-0.7469126473108954,-0.8573423272900111,-0.5206267060640065,-0.4855369549935126,-0.6933180337578969,-0.45471036840813217,-1.0717561902830681,-0.9160062654722867,-1.2203875221209266,-0.5392082335728356,-0.7021261284052949,-0.2836585235576472,-1.4345016144531366,-0.6794380254186323,-0.8518284562115498,-0.8085815637156579,-1.636476588306432,-1.2336023084050307,-0.573614674141104,-1.2437751634713143,-0.867358446552098,-2.39125516564254,-0.6927235919433341,-1.3679805552827404,-1.1326114172312733,-0.7816750637730066,-1.2556598885828414,-0.6350542532449285,-1.0265637328491375,-0.5003521257671971,-0.618976504992993,-0.988692001471042,-0.8104106166687095,-0.4675339701133069,-0.5065672429293054,-0.7820054869873716,-0.9440074803209139,-0.5282267976997013,-1.0760825560671958,-1.5995990624145413,-0.6400855961950416,-0.585156421909375,-0.6933189035745289,-0.6462280816431186,-1.231686815047921,-0.5405301810921,-0.8118138821223905,-0.8554184759283927,-0.5395482181468948
4,4,-0.9235257066406892,-0.9658445450177082,-1.8051187776972073,-0.8797190201094709,-2.262955817490627,-0.5410106624783526,-0.499319421774353,-0.6215616976858466,-1.5138203045761145,-0.5037384846002152,-2.308337729261579,-1.8926574352924304,-1.8799743833831877,-1.072634057005841,-0.6406768877856969,-0.7157345598793758,-0.8623307148292381,-0.45303811592087456,-0.5284543532034414,-0.4917253371847419,-0.984857668948845,-1.4146165331437486,-0.6489806953658712,-0.4665480533520835,-0.4686307819382422,-0.5073310790143459,-0.3248555451580098,-0.4588316911698048,-0.6689995320601054,-0.4600844322510398,-0.6742585012322283,-0.5599943943822041,-1.204267153781188,-0.5453255055278485,-1.4580057723954882,-0.7455786671812321,-2.7451950125126583,-1.0296176003165223,-0.544862708469702,-0.7150972636377784,-1.991326076731893,-0.5702299781650171,-0.6154748861010741,-2.137274948673883,-1.6507966388213329,-0.5017578921906607,-1.1831492998597861,-0.4820346573695659,-0.4545757031747565,-0.492748770354868,-0.4251001301413445,-0.7614853780280352,-0.6885448961266063,-2.038959508984903,-0.38591150614198844,-0.516239613266802,-0.534709955869186,-0.9665722547703564,-0.5577192083273481,-0.5631178724852905,-0.7764892410324057,-0.4367823289309975,-1.638304147001528,-0.7742843451620924,-1.2846149557032507,-0.9635669843976269,-0.43710574969419425,-1.1009030220630316,-0.6142679133507343,-1.932505373993333,-1.947481518845593,-0.5372459437830687,-0.7393800616286057,-0.7284071410899731,-0.609442199326163,-0.713778921596854,-0.8483521878201188,-0.4937639804532406,-0.7413339375836334,-1.2082415890819769,-0.6752879675984738
5,5,-0.8625695034436707,-0.6334658776770461,-0.606324039214241,-0.6446995471636867,-2.0045641713200713,-0.40048615511177543,-0.5252358518628897,-3.3135783039369215,-0.7729927219459489,-3.0462294392827416,-1.5884750087423738,-1.485196344460683,-0.559970359825062,-0.666759298993606,-0.47207047613966324,-0.5585287907103273,-0.7245983863180105,-1.3221812407012974,-0.4534805435943792,-1.2298376457311826,-1.6743410398490706,-0.7435824896623597,-0.5485936897419378,-0.6284424602419726,-1.032944443761295,-0.9946382420403379,-0.5087102903474348,-0.45590494146711924,-1.822433793331863,-2.319864194015631,-0.9704063686832107,-0.6069912699617566,-1.1019358950627085,-2.7408062113672216,-0.49845294065574847,-0.38404852005158197,-0.6248160704052734,-0.4419446163648688,-0.47628801207567123,-0.5571187393795514,-0.643546002441622,-0.4701072512536788,-0.7815731102235313,-2.9507809759791406,-1.634734436164341,-0.6358526248718439,-0.5327363360277746,-0.9569270415435933,-1.154975223212201,-3.5316885642112865,-1.3185707836056513,-0.5709134791896963,-0.9695648256428374,-0.9269604176357308,-0.6893741260770309,-0.5027345805904319,-0.693893688166544,-1.1139165505810984,-0.8132379188528677,-0.5380562249167913,-0.5030416101067846,-0.46494928533815966,-0.5788326479962849,-0.5802318825962232,-0.5722063025122661,-0.5252323333666192,-0.9421176839387242,-0.5237698099947112,-1.1317343492201664,-0.4882107666643716,-0.8230006585269726,-0.8744614326758923,-0.9061392034113518,-0.466606458156398,-0.5322393335668331,-1.1900348725930612,-0.9361174597697026,-0.9952077235868111,-0.6374256701610397,-0.5802510430971741,-0.7617151405863933
6,6,-0.7141721932213613,-0.7643151922670935,-0.8259855024804413,-0.8734670916167233,-0.5887060529587691,-0.5599840502800015,-0.5434931210527287,-0.5551148040254261,-0.8095936790377841,-1.172009248815687,-0.5731444838320964,-0.6197936182751314,-1.4547970646176438,-0.6801490358931447,-0.9686052410820181,-0.5386943266342196,-0.6385425991434883,-0.524005697870536,-0.4788337259032222,-0.9847133404014992,-3.159731857660602,-2.874809460174064,-0.5397740432135745,-0.4984854102459521,-0.5257780867607028,-0.5038172981336446,-0.6195798468564157,-0.8431139480117786,-2.219971136406007,-0.486431812855156,-0.8599454747108791,-0.5896200318168661,-0.685797767114115,-1.3689893542052447,-0.5276475785177321,-0.6884751046718832,-0.6732801587334704,-0.5951506707945875,-0.4680654670474883,-0.5058299773916948,-0.6045951920308834,-1.9776742457904841,-0.6477585226822122,-0.4008513278026802,-0.6297397845795147,-0.9066469543701619,-0.5539790947843787,-0.5325314760813705,-0.7836588952451942,-1.4561555132491528,-0.5182799466284167,-2.0557841407478996,-1.0995762731478214,-0.6458254216842089,-0.4432188999293628,-0.5266982237905697,-0.5600315824472732,-0.6184263211829559,-0.9468873736981714,-0.41317255152439875,-0.4903780021662878,-0.479561543576546,-0.5534606313333552,-1.1428772185130278,-0.6132556361829798,-0.9428106992851091,-0.6235983570328533,-0.9799344625247869,-1.8735349263402399,-1.6086469209428067,-0.5686620726408886,-0.7687344537706466,-2.6238629014648907,-0.4380685546986239,-0.5632920385311453,-0.7818502401250564,-0.5373382733184595,-0.5709319366326907,-0.9979658361647418,-0.6103754504531826,-0.9483105610313795
7,7,-1.5072366876088532,-1.2159723685625894,-1.2778885209937134,-1.065471763323107,-1.2280226786938864,-1.352373060033629,-1.0847944913050236,-1.1400158392691244,-1.2506794531748358,-1.2525350858499367,-1.3325873684647551,-0.9616412287809003,-1.8046925073319233,-2.029605551045567,-1.027489544994876,-1.1587922968816669,-1.2452495845384506,-1.6450818176481916,-0.8145230646558367,-1.3591096460311043,-1.096932279740128,-0.9517031464650348,-2.2670630428068526,-1.8166551020733137,-1.7784473606168048,-2.5074325043145027,-1.3811156053299556,-1.0250581043213511,-2.560790496704788,-1.9864521910899122,-1.2385780989087862,-1.3413000543533715,-2.0801270824660203,-1.1056099666620756,-1.0827771433893678,-1.257616268268696,-1.214469079033403,-0.9487057436539102,-2.485877356602722,-1.3396163300458916,-1.2376138818572588,-1.0114390219615148,-1.135696147147661,-1.3296100291586896,-1.7117491185117601,-0.839312721531264,-2.862849960811273,-1.3154731963179263,-1.9856314350272681,-0.7393389857620389,-1.115771110635482,-0.7092220116053556,-0.7040843445609196,-0.9651405536470771,-1.432413858045496,-1.404016421694634,-1.3735787964040753,-1.2697613631817364,-1.912558468895215,-0.9083396343740053,-1.3426684908587894,-1.23629997991264,-0.82897624784084,-1.9227751115192029,-1.1223520212858984,-0.801072764076683,-0.7764158748415197,-0.9417562495605811,-2.4200802988185224,-2.2785940770167628,-1.4287690868643654,-1.2371352118801777,-2.2683074951074365,-1.3173214313252535,-1.1006587530029426,-0.8042749160506291,-0.7922661629560769,-1.0326353090865132,-1.9178284384020827,-0.783718005380009,-0.9717191408341372
8,8,-2.5215690232064873,-0.726326498176986,-0.6087971044936171,-0.7182602208703577,-1.4509530807285325,-0.43134341397834974,-0.5521822275419817,-0.701661807323907,-0.7467110810233509,-0.8483763768534628,-0.7465573139458115,-1.3950077332320472,-0.899602070536401,-0.7128065467368079,-0.48950149146131217,-0.5343321841496933,-1.4048458514863729,-0.48388232763103806,-0.6521564370548214,-1.6364626452239,-0.6885806355611288,-0.8044571582504007,-0.7622358573415058,-0.49254034439926103,-0.49278830390934947,-0.5825008484407521,-1.113351843715619,-0.8821710807137118,-1.0292981285808152,-0.47029554885769725,-0.5746985173439204,-0.9417675685367077,-0.5839800933466788,-2.2685604134178208,-0.49012869193954245,-0.3995791132823765,-0.6474329334123836,-0.7652054040853444,-0.5738408606408805,-0.5477362728493255,-1.8264146338263032,-0.8529555066671932,-0.7026905276030919,-0.34665043812979457,-0.5478850428673101,-0.6176413323160462,-0.5589770410561938,-0.8588351712375906,-0.5026622565185004,-0.5676343262755363,-0.5267618739957538,-0.8035841128984271,-0.6540156764459889,-1.5892075708400788,-2.2181953202748748,-0.5259025987567887,-0.6352006864738192,-0.991540107219279,-0.5671404828169935,-0.5450310157430445,-0.5071362852022854,-0.7527403823032062,-0.4123018838209042,-0.7874252355181863,-0.6078699790501719,-0.9830267450944637,-0.45040714609559473,-0.608337943638618,-0.5516906044584019,-0.4752700351652801,-0.26192739867814085,-0.726059020188192,-0.7875564453186166,-0.4468490909788963,-0.6515301894257373,-1.0056783946248904,-0.5361994179386285,-0.710294062580346,-2.2073176576976676,-0.8455181911634898,-0.49297983936531925
9,9,-0.6221951833056512,-0.6310305942495213,-1.352759145649402,-1.9818280875097147,-1.145550277133349,-0.6554849970526109,-0.5580238778891389,-0.4615833909416104,-0.5941155046341654,-0.4531455090251557,-0.5209840418588225,-1.9041725905748759,-0.9917840181114741,-0.9080346277020268,-0.6432238155124478,-0.9374324626227811,-1.8875330198367855,-0.4052076440096005,-0.4641566295693364,-1.3976259696073383,-1.875446943067938,-0.9854578031276706,-0.7108982408809059,-0.5299176685293046,-0.5356398445610224,-0.8097592683908998,-0.6447567163897181,-0.46224070265752615,-0.6589510748513518,-1.577721851336507,-0.719785535570616,-0.5508896937299983,-1.2671789726591676,-0.5195339282471958,-0.5472498906581478,-0.42122598897648234,-1.3662465886076718,-1.1168952274730939,-0.8364452499128405,-0.4034461539780593,-1.0653774762183406,-0.5157392692681235,-3.4117170516050717,-0.6352610032705905,-1.4926300865052056,-0.753714349126675,-0.9126758014063392,-0.521039142372931,-0.6190508388349215,-0.5794449060465201,-0.43088894781480735,-2.0103392968670786,-1.1083224104798273,-1.2285546332101709,-1.252227248565273,-0.5298722867033514,-0.5800808859443555,-1.2981695461433933,-1.2669671246582035,-0.42962358056845196,-0.5741944511372875,-0.9177256265690478,-2.1556791524490655,-0.8017962435208212,-2.486726726747812,-0.5430627521079444,-1.3867850875497776,-0.6406671924778252,-0.6262408811363397,-1.0254016101931334,-1.9388956584150092,-0.6664074479522878,-0.5317737532125986,-0.41324710025315015,-0.5963871675012775,-0.5532374713409035,-0.6600574303874216,-0.5291852187285978,-0.5264707945610643,-0.8523558081398914,-0.47470275330845113
