observations,subject_ids,10_MMF11,11_MMF11,12_MMF11,13_MMF11,14_MMF11,1_MMF11,23_MMF11,24a_MMF11,24b_MMF11,24c_MMF11,24d_MMF11,25_MMF11,29_30_MMF11,2Ve_MMF11,2_1_MMF11,2_MMF11,31_MMF11,32_MMF11,3_MMF11,44_MMF11,45A_MMF11,46d_MMF11,46v_MMF11,5_MMF11,7A_MMF11,7B_MMF11,8_MMF11,9_46d_MMF11,9_46v_MMF11,9_MMF11,AIP_MMF11,AuditoryCore_MMF11,DP_MMF11,Entorhinal_MMF11,F1_MMF11,F2_MMF11,F3_MMF11,F4_MMF11,F5_MMF11,F6_MMF11,F7_MMF11,FST_MMF11,Gustatory_MMF11,HC_Amygdala_MMF11,IPa_MMF11,Insula_MMF11,LB_MMF11,LIP_MMF11,MB_MMF11,MEDIAL_WALL,MIP_MMF11,MST_MMF11,MT_MMF11,OPAI_MMF11,OPRO_MMF11,PBc_MMF11,PBr_MMF11,PECg_MMF11,PGa_MMF11,PGm_MMF11,PIP_MMF11,PO_MMF11,Perirhinal_MMF11,Piriform_MMF11,ProM_MMF11,Prostriate_MMF11,S2_MMF11,STP_MMF11,TEO_MMF11,TE_MMF11,TH_TF_MMF11,TPt_MMF11,TemporalPole_MMF11,Unassigned_MMF11,V1_MMF11,V2_MMF11,V3A_MMF11,V3_MMF11,V4_MMF11,V4t_MMF11,VIP_MMF11
0,0,-2.3323317661879215,-2.2161125441338223,-1.3079147678975467,-1.0141899757967026,-3.779401188112421,-0.8670095729490843,-3.4155444418564,-1.8276089697049878,-2.390183669658586,-1.5784566882192146,-2.5945248067433413,-2.232915688447658,-1.145065496133993,-2.6667625580891894,-0.8457857075422804,-0.6949433903456534,-2.7130488515059366,-2.579556624007144,-1.0525967577020725,-1.4932584845948214,-1.0017787540780523,-1.8849760549350159,-1.40002072751146,-2.9461299886955787,-2.7432336224823066,-1.2360496213287093,-3.2372326704414585,-3.3527783159179565,-1.2731342469138782,-3.9241867586841535,-4.686029451284364,-3.7346835666651454,-2.6211992879068626,-2.6498715065739673,-2.893223679421025,-3.897845793718181,-2.1540254853372103,-1.2041905997969964,-1.2895724566251727,-2.368420331062127,-2.964728211462824,-2.0643447279201452,-1.2005784357040294,-3.358180444844824,-2.6212523307407225,-2.5555875342851717,-3.7806988702321433,-3.0422067976806204,-3.281260937151255,-1.3665859792093578,-2.487428450352554,-2.885396884225849,-2.8128130897730648,-2.2703985470693078,-0.715080532171678,-2.760414886063537,-2.760449345021553,-1.4291219606577685,-3.7681981794056982,-3.2467166712611286,-2.337552539665512,-2.315282052186628,-1.5470327573961378,-1.714254381402522,-2.61946163789365,-2.2788189422881895,-0.6080361065245075,-3.242473560886944,-1.436632568859347,-2.774570958315171,-0.8922312314032781,-1.848079495611157,-2.5506022540976607,-2.712156280148622,-3.062596171068488,-2.6726647335512856,-2.1079857395548,-2.7100067737374562,-3.5941759623347105,-1.3732698775397485,-1.6500178290676117
1,1,-0.8082892148654894,-0.6544985230962594,-0.692124590277352,-0.6572416458231236,-0.8948117021513446,-1.5540682450062633,-1.1483122574905167,-2.3960787714807132,-0.6732568437209827,-0.8378011139209611,-0.7278841094092746,-1.7331280990292321,-1.134272294376192,-0.8308447422959011,-0.5874414310290554,-0.5967165020434242,-0.7176547741150952,-2.1621346183500183,-0.6030959148075561,-0.9880867453979054,-0.6212489592436318,-0.5873784652432587,-1.0147607808040506,-0.7348518310003435,-0.501636844159313,-0.458524450807619,-0.44668841153345085,-7.013214911934202,-0.8992056209289144,-2.079291761474656,-0.9079039816287141,-0.6302387187628241,-0.5459194811297499,-0.7503423992743244,-0.6570540208166888,-0.4936074719203716,-1.2999462596801004,-0.6949481685443568,-0.48868960778070736,-1.458270787772158,-1.3988706921675302,-0.6187053075932876,-1.1076014620096635,-0.5957937901971273,-0.706834267733983,-0.5017504922895832,-0.866550310533611,-0.5370376895675868,-1.3692088314503028,-0.5675147084808769,-1.6483203273574536,-1.1565970786214488,-0.5491055560282616,-0.8558394072147418,-1.4136058909561537,-0.7165321835563475,-1.4943238122754967,-0.6943405090435396,-0.8391673086300578,-0.794600144319757,-0.6332236856835647,-0.5632356627137736,-2.7328002220629397,-2.1949189661687556,-1.1127424846468175,-0.959907029292234,-0.6123442354455011,-0.6086495664825111,-0.5981581300408934,-0.6367988766385025,-0.7762569243671769,-0.7965297838515148,-0.6836011238088909,-0.7473206558933625,-0.5256094938891199,-0.618971044876638,-0.9654306612211236,-0.5551885609583307,-0.5913399661580423,-0.6351485236439101,-0.7922210434724153
2,2,-0.6340947696877531,-1.2723524759413867,-1.3945810030561754,-2.2760496774897243,-1.438130474317068,-0.5814719198168489,-1.5309741703052004,-0.532270582730882,-0.7911788461396055,-0.7862591998389324,-0.7943063513115453,-0.6359540198111404,-0.6026054127264913,-1.112008454691598,-0.8345016931247728,-1.3782766011995065,-2.061058846104432,-0.35780294031605697,-1.215423741695401,-0.9284927251239272,-1.838416882046905,-0.616206964102973,-0.5082376496299666,-1.0635164048872547,-1.74655051881316,-0.9158403108749982,-0.4108943570635296,-0.5178198404014416,-0.7631830175395983,-0.40211604536392453,-2.3393396832554196,-0.6955940683984179,-1.8604387278704,-0.6849802756183315,-0.4840482742785464,-0.5765731659546325,-0.6191238948504741,-0.6076725399987083,-0.6791330236663821,-1.326932991940576,-0.7560979486798681,-0.6104066535886585,-0.48080963400054166,-0.11202057150378264,-0.5854260124123675,-0.444170726141875,-0.9336683123386778,-1.5170331981332001,-0.43017383569627465,-0.4127480248446448,-1.3319659173306415,-1.3427794706204081,-1.512674284951358,-0.6696118997684639,-0.6847088840182604,-0.8670235713955539,-0.6027107309818428,-0.6138523138412006,-0.6413028708939352,-1.0247136026771342,-2.619803454702698,-0.8458735824707649,-0.811756188901823,-0.6649063804959058,-0.5851018775306288,-0.49665514401214705,-0.7113696522821855,-1.4862864059698755,-0.8608887514535677,-0.4662514788897883,-1.0216454405024669,-2.2085476195950635,-0.545810647828737,-0.9811528384571007,-1.7351968124835375,-0.5603656334057197,-1.9827855154385499,-1.2417338668495108,-0.8899915845922268,-0.9168572703035021,-0.42609671631445667
3,3,-1.2141000538097548,-0.6794141776743408,-0.9591378239099593,-0.7313333160575776,-3.2376707731007217,-0.3745893498918824,-1.1160048095048218,-0.5197158841473767,-0.7710300064755375,-1.5247252676046585,-0.8321377304981792,-1.7297070822207874,-0.8989882072250719,-0.6691427973778421,-1.4822706452400154,-0.7688216852473746,-0.49595312989328244,-0.7828353136872842,-1.0635265235355607,-0.7563856795823206,-0.805457270155732,-0.7992223953919431,-1.244654506764126,-0.6192857320586977,-1.0413364536723304,-0.47307779160895663,-0.5554087799240724,-0.486429735358637,-0.7350372895350357,-1.8664070649027833,-0.6473048167002695,-1.1500193487540775,-0.6359524589337548,-0.6027531614065587,-0.7181370628713835,-0.8099101200029741,-0.454601309646818,-0.5330289234494588,-0.9745812839351047,-0.8532591492156694,-1.6079439123582784,-0.5990392712981671,-1.2637946288968287,-0.2567450187356115,-0.4437706328648204,-0.8541810768838081,-0.4552843353208247,-0.5869642623487991,-0.42970037937897704,-2.1157710412242654,-0.6348687913453988,-0.5757013098018021,-0.5335854479324134,-0.5903261550792795,-0.5810946782489423,-0.6906848319276342,-0.603601828634005,-0.9785940318676005,-0.5232339462442834,-0.5823428649479072,-0.48875582572551846,-1.045255259794145,-0.47914464532970663,-1.928282048239787,-0.6291868545150661,-0.584473876475726,-0.6490432494865018,-0.5158027431507265,-0.9890248675355628,-0.5383273255810336,-0.41460953256958055,-1.3181527911764173,-1.1691509041203059,-0.47284875623462463,-0.48158953438060104,-0.48764020854395945,-0.5934118164139213,-0.49751793487296914,-0.5463586829313944,-0.5969872986498865,-1.6780425542357655
4,4,-0.8367865795114164,-0.5912342879156227,-1.0494764399527317,-0.7589137901082356,-0.6668364755657138,-0.3899884389669809,-0.5699832174114678,-0.6019486587757537,-0.5655352219191494,-0.9579042600363901,-0.5109400944864777,-0.636046348343957,-0.5833843860357386,-0.6731989085501381,-1.4664025542638348,-0.85211104060345,-0.48925044447808896,-0.7760709278690561,-0.4847738728905341,-0.808832326618563,-1.5456731193338011,-0.7697163713733405,-0.5399847780363785,-0.608297400767131,-0.5780719519299004,-0.6072902916088456,-0.5125318127434346,-0.6037147348031803,-1.4242105918056143,-0.5288089612081821,-0.6593583340307931,-0.5943816497306411,-0.5489560515189074,-2.2906323284356644,-0.589311265352931,-0.5740503026333773,-0.4875698377063367,-0.9992536901708697,-1.0412718372817746,-1.0048692557914538,-0.5933630682161395,-0.6483286306741247,-0.7733116082029408,-0.23541718192173533,-0.5492131126200219,-0.6835342747083897,-0.6009109047005778,-0.7900541377462362,-0.44873873259584623,-0.44478332669004395,-0.40960832265207303,-0.6879622961919925,-0.5357507096203419,-0.963406578767397,-1.0538292766897408,-0.5863253874613594,-0.7547266469196418,-0.5730521957036773,-0.7219192904964256,-0.4412278773837345,-0.4787231107517568,-0.9820023677641784,-1.4945921833820104,-0.6730829479817089,-0.5828121094422436,-0.7329356613874953,-0.6173713143230325,-0.6457714490986178,-0.5486890163758906,-0.4651592328906417,-0.5471775508080117,-0.5141144397121865,-1.141819514561465,-0.5153553047298544,-0.836691721342939,-0.8452955426824342,-0.6345590855136467,-0.6157999942020753,-1.8556848146724336,-0.5874613473663243,-0.9350109680292192
5,5,-1.114653322608052,-0.7237705908913492,-0.7871397266007939,-1.3215951315859304,-0.7185268791712693,-0.4804423050713093,-0.5799119433962924,-0.8940290170753398,-1.0376624414418332,-0.8294857898288805,-0.8794504860256023,-0.8481739587460525,-1.7217047935866048,-2.4688109516254917,-1.4653193820179695,-1.0630787073310635,-0.686965178920943,-0.4745067504607256,-1.0236776935529397,-1.285748337027226,-1.595226604869103,-1.522538117568387,-0.5956971066298157,-0.7197237480485403,-0.654340388880286,-1.314804707021674,-0.5644710093057362,-0.9827325421683368,-1.2463932568089757,-0.5511082420078156,-1.8584683022008535,-0.8890544422726591,-0.9282517859124478,-0.6892320856102514,-0.5831357131832609,-0.5369741437447451,-0.5724399010073264,-0.6463764876619681,-0.7390117058931677,-0.5730198477584416,-0.6382117824709124,-1.0366493777989436,-0.9042194291802521,-1.641256785724646,-0.5757370979975284,-1.3663509938455758,-0.977585901688507,-0.957235699405897,-0.6250191926044143,-0.5152979441580569,-0.6420078639115596,-0.6057522109031973,-0.8017159534967074,-0.7183122060248821,-0.8633998296348584,-0.9636199229297995,-1.0469996677122824,-0.7632144526941985,-1.1585804046166368,-0.4880767723085673,-0.5863307583868167,-0.600983968091758,-0.8657990215003502,-0.6316419233310733,-1.299599354102672,-0.6640722157987313,-0.793929052981404,-0.9166642981217314,-0.6372245353458463,-0.5640664644663106,-1.5233824369162918,-0.6462474029976772,-0.8498949849020556,-0.6228722489748264,-0.5674590949802405,-0.580248071299718,-1.2947819917518844,-0.5878623647325029,-0.6170261694930567,-0.7180755255575595,-1.8037835114379215
6,6,-0.5255684559986791,-1.2442763210859313,-0.7118644022333991,-0.695894683218865,-0.591565192145741,-0.4011978653147018,-2.027292831091076,-1.462842058372228,-1.5401320235013172,-1.0344759405090738,-0.6686652698029721,-1.2705934107941035,-0.6216967597371709,-2.6917603738241045,-0.6522351615719768,-1.8371544728958293,-4.0160734389746064,-0.3846372295007655,-0.7424890086278554,-0.568355861732603,-1.647160344997566,-1.0353111377022408,-0.5295372197574616,-0.4867694851177868,-0.7827932348631254,-2.401374948086679,-0.41081999355472343,-1.0385551083283209,-1.561760808222175,-1.886332094757556,-1.5067273609625482,-1.6143008305376347,-1.3027651174293344,-1.7760727459794385,-0.5318140155588192,-0.998589475882885,-0.6904347331138657,-1.1537574359390854,-0.6640767771829907,-0.44494393397911325,-0.5300864463206483,-0.5623785512215866,-0.5833535047380463,-1.2868610446826523,-1.7287701131741537,-0.9996060659206474,-2.313390240311767,-0.8665149616846786,-0.9390523950905083,-0.49763733666428467,-0.5896912080578707,-0.6976257352283645,-2.425847824063193,-1.0854409746638949,-1.5871892130584984,-1.3840881103904292,-1.973450661102053,-1.5235029351491285,-0.9164380086529078,-3.6730341726572115,-0.4583367986994682,-1.4858234450726528,-1.0132660755305867,-1.3386155842956091,-0.897794725182243,-0.9840432511076109,-1.139117305346864,-1.9302744687283924,-0.9536475819046875,-0.961342242149098,-0.35456847374259837,-0.8120568332418223,-0.5536438385446958,-0.47106968594126863,-0.6708337367122253,-0.4996410686840547,-1.715049104784761,-0.9570724657493908,-1.4568882238740568,-0.7326135597397045,-0.9585280628984658
7,7,-0.617514830018346,-0.7985409283335756,-0.9844484336097581,-0.602734124576878,-0.9312903707508584,-0.37480776661149173,-0.5185896416993797,-0.5029970168603793,-0.8543189952421717,-0.44898748356889284,-0.573921794634249,-1.9649105660901691,-1.6453083565778046,-1.703531259710549,-1.4905873572324655,-0.5736776199638304,-1.272451584027349,-1.9037250484046069,-0.7116038232812277,-0.8398592378160677,-0.6509654058950247,-0.582861399702717,-0.5366857313299531,-0.5080181224377819,-0.4849983146839749,-1.4581538751929215,-0.9773003371730357,-0.6697898111358678,-0.5152097193425561,-0.4215368842628196,-1.4201918968959621,-1.3753548449060429,-0.5585461126200377,-0.7350879771932628,-1.2665997224046,-1.4089765249161954,-0.6788413501980215,-0.42795792619664885,-1.0904309621829662,-0.4387407343875058,-0.5852643762047692,-1.7072939502684694,-2.0982886914219057,-1.2205625035335352,-0.8121540412020545,-0.8521397166012288,-0.481441704705644,-0.5972135094245687,-0.6519630968617499,-0.8829487711549889,-0.4010590130714453,-0.6981262476365208,-0.6365549960636241,-0.9162477291561175,-1.584828679117184,-0.6582977050906244,-1.7633742645447832,-1.6274276354985822,-1.4629353924356874,-0.5046302762594784,-0.4659585564916504,-0.6334445141761077,-0.6496007003634042,-0.8318071991059709,-3.4427489096192803,-0.9204485446485763,-0.6945917641495245,-1.7523271685316562,-1.3896519738167128,-1.5713446168749559,-1.4366524550590762,-1.232063236447534,-1.2600363506177406,-0.6378696988711985,-0.8624113109534965,-1.131986942627915,-0.6041743367451354,-1.2125200514719041,-0.7215822633693261,-0.5794343743328472,-0.579451606262276
8,8,-2.0997835407542467,-0.9910296974891825,-2.236854400979091,-0.6072461688564537,-2.21345388720243,-1.9344189629485367,-2.38158590046816,-1.4722465746344682,-2.747799068048824,-0.6149553937095013,-0.7892031212334555,-3.453933416126633,-0.847304675218241,-0.6747727436434048,-3.0359896700922215,-1.5584556073413376,-4.7095410946931775,-0.8967660744680717,-1.745039242733632,-0.7188739044641091,-0.7732284101096252,-0.8388483244137239,-0.5800372729641864,-1.5723566322108704,-0.9993168522617883,-0.5960557251284698,-0.893531185100914,-0.7292305018934295,-1.1086539123989683,-0.4429704749827455,-1.6667859155946825,-0.6010698551090223,-2.08910702696584,-1.9701968089354636,-1.4927941378136342,-1.079003806767287,-1.8580374136125253,-0.44806291345357385,-1.1672008252509365,-0.714308014853915,-4.178041306504092,-1.708981502142068,-1.0166312475401194,-2.69396747212752,-2.6497515618755783,-0.9686742572257894,-0.760589893062011,-1.7007107541603923,-1.0678724409202451,-1.0270674164414821,-1.8026439284823648,-1.8958460361964677,-2.147968985411757,-0.5965523442934231,-1.1715695598108415,-1.6604679693773823,-1.0850748592459847,-0.9438482158038546,-1.458454191075992,-2.541149694310701,-1.3959199243741,-0.819859530128267,-2.4383782500032867,-0.8572859616727133,-0.9592908137149191,-0.9422857742994702,-1.27090418210571,-2.70804306634027,-1.0371604750122554,-3.0993354499852286,-2.0875039703486955,-1.0245786037805393,-1.0686678562157583,-1.6637345749441368,-2.380522956464246,-2.5667848121492045,-1.4567895769462125,-2.147653793802373,-1.5802766116359743,-0.8878256509264113,-0.621506068221572
9,9,-0.7343131331689168,-0.7147269649045931,-0.7588905925289553,-0.7797110818053764,-1.605721463448428,-2.227732704291728,-0.8996772154381999,-1.6274999884042864,-1.8353766213565257,-0.931969502702391,-0.9907854489037753,-3.039417177325531,-0.6424430289442691,-1.256467933815431,-2.0446663995148406,-1.3288172377032403,-0.7724547291132885,-4.055077094653438,-0.6459944398334477,-1.1026052652944531,-1.0814699943782204,-0.6131293360614567,-0.6258914847200355,-1.0161907100627292,-1.1083900399144206,-1.1956966235902993,-1.237406817619675,-1.0761813295036715,-1.7739556100960356,-1.4258557708582091,-0.8323431837395812,-0.8386898747555077,-1.3654946493653068,-1.454861878555809,-1.5687275926511985,-0.9911411269664903,-0.7716436234048585,-1.4685141131308772,-0.863494581927151,-1.3058320767778941,-1.1127153352127728,-0.745086283664121,-0.8278809666723967,-0.44950641289692783,-1.3254341506591345,-2.0753838737188275,-1.822653277122472,-1.3767290557950485,-1.0768579346230132,-0.5533891777559921,-0.9779817443764744,-0.6965163686793858,-1.4856830942004629,-1.1186372074815307,-0.7068758584757145,-0.6562112774014923,-0.718296979010534,-1.7322156932094885,-0.7852770255409166,-0.905338969963567,-0.7739163136461025,-0.6303426604927442,-0.9601973134690851,-0.6180262863969679,-0.8290618824724018,-1.0209036438602108,-1.046336188530955,-0.8838600356388788,-1.4702749525452146,-1.4032290315210776,-1.1217114812905113,-1.1368528537740294,-1.0561590990384917,-1.4720691528047187,-1.2176683021484203,-1.6330914278807,-1.035455922796626,-1.056232164466704,-1.423512455004087,-0.6652060970438596,-0.9600287353047201
