observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-1.4417186859427804,-3.682586137712147,-2.9354344510029415,-2.003658324533956,-1.765132857605461,-2.7955698319869033,-1.8441017205373236,-2.6866452863267423,-2.376723376421332,-1.3048342952638456,-2.070565674556404,-1.982938429288103,-1.2657639753497023,-2.5287065548008947,-1.1902961395332445,-3.0555319680940443,-4.374279980214108,-0.708682541652767,-1.4769200876874193,-0.5812175059384722,-1.1624873881594828,-0.7147682871721561,-2.375385998123397,-2.330227332098786,-2.0351593667252463,-2.0497160200534514,-1.0988728439604711,-2.411367913154126,-2.2847385824967326,-4.348538239189537,-1.5763750398430119,-0.8712922609187115,-2.8472835231908507,-0.4898521413099455,-4.682726830391898,-1.139157620405693,-0.7065821139984677,-2.364952257070863,-2.548675882342075,-2.3085747598126938,-0.9711945689441361,-5.573458060946491,-4.084482112244779,-1.4331381120518347,-2.2635061120193356,-2.8013423911350044,-0.5323907398811174,-3.851070432205944,-3.6477564337726562,-1.8513037734602853,-3.072462889798343,-2.3964057887303554,-1.3107703564452629,-2.5998631532403937,-1.8814414566751156,-2.7169125883386847,-2.7335469979825016,-1.2390651943951454,-1.8858070785254628,-0.9340022926941176,-1.4177101509457954,-1.8255729289007867,-0.7482559678089935,-3.0987928699291576,-0.5701886486535216,-0.36008331417243467,-4.091284001605339,-0.7474980143608165,-2.1007993529137448,-1.3320091930690814,-2.697658523410177,-0.9022540056569104,-3.7834325108086158,-2.384446171236056,-0.6378285161683541,-2.3534123207769135,-4.454397519844619,-3.387712778231802,-1.2113116079680784,-0.6280542461832349,-2.8022362115385704,-3.8408173417788305,-2.2963317195600137,-0.57068960783844,-2.199559158917537,-1.8735212214544468,-1.3473483766785845,-3.6678323569352784,-3.3537224621709925,-2.0757098447250457,-0.7436537386263726,-1.735392542145616,-1.8171158344008453
1,1,-1.3881474028177823,-0.6914717490270913,-0.7268279666992129,-1.4036277918300892,-1.0278720485530166,-0.9113457200565098,-1.0952224337881198,-0.8255433692468048,-0.5808840003544766,-1.2913107003987987,-1.5645621228517597,-0.8161709151441892,-1.272815342376471,-0.92302984656023,-1.8827152050594764,-1.7599856253806436,-0.8842940645940099,-0.7612487603679303,-0.6197372790339113,-0.6693897856868342,-1.167106851281401,-0.6312979954334963,-1.3073673505763475,-1.2627200833187444,-1.171541909575546,-0.7136450927019603,-0.6410830185350193,-1.1627601657830386,-1.8340480295183614,-0.7801684367808023,-1.109473104150105,-1.062541688911177,-0.7136240180304134,-2.078369407181502,-0.8033674879342899,-1.146406895988335,-0.702840290814778,-1.1402832879416485,-1.47335641408759,-1.2674092491196933,-1.5251927926762983,-2.82283900121549,-1.3035640488847657,-1.1397636406518437,-1.5370659060318184,-1.020624074170748,-0.7997544888865992,-1.5276244785329312,-1.5920268570610014,-0.9576917951010488,-0.7038544197186851,-2.2404900435797015,-0.7455183898888115,-0.8004018694785799,-1.343336253730191,-1.5402157704860233,-1.2152040366131591,-0.8858239989274862,-0.8197543100432317,-2.146525595606267,-0.961225595939611,-0.9386598526376039,-0.6461926388508437,-0.681185907816864,-1.3905827793736178,-1.563323572543268,-0.8369505742058849,-0.6423721883938367,-0.8298387140980762,-0.7569158080025739,-0.929172616486565,-1.1312114948000402,-0.8351223898809232,-0.7779349972155718,-0.7734936471255238,-0.9509563489040899,-1.483166324463014,-2.091458101185231,-0.7450877897249303,-0.7082631355963811,-0.4909170635546141,-0.6970597038682688,-0.6590507205564989,-0.8216567527213517,-0.7858985974606286,-0.6157025889167917,-1.023113624143005,-0.8285133966109147,-0.6295560698765771,-0.8132040638124269,-0.7159432751176816,-0.7364164631322708,-0.9528924761337373
2,2,-2.02334300187701,-3.502987776710278,-1.7857249675637328,-1.9113544892658467,-2.1495102993137083,-3.5695863720137915,-3.7437890793337054,-1.5894366035487717,-0.6198885284903228,-1.086056061725634,-1.63044338704835,-1.8026823843778468,-1.739900588765928,-2.9141417265433684,-1.375513017552957,-1.3377326500938826,-2.2765805357946576,-2.888974152816365,-1.491802279267308,-2.149794228886146,-1.3318646228921682,-2.269766268508776,-3.180674075548111,-2.930024756490389,-1.1797372889852125,-3.5921422602633815,-2.2260955832478846,-3.0807149527487585,-3.368276825929722,-2.993814339924688,-2.5710398435396336,-2.7752909108016772,-1.2534564012034557,-3.2024948632271846,-3.3274176580994226,-1.951863224307077,-2.6475891397978266,-3.4826824076799854,-3.805739085259519,-4.416496864032155,-2.3981927943079797,-2.643339213215147,-3.5296275374360384,-2.6298627699895416,-3.859804494254056,-2.3158753222720905,-1.3373780289131054,-0.7374890738239748,-1.873759945070066,-2.786108060544799,-3.7921455138444937,-1.8618002429508524,-3.2410445264782983,-3.398430461332553,-2.832967044471151,-2.8874259039358288,-1.433884854175137,-0.9584807836449962,-1.9882661130622195,-2.174936213739474,-2.287874245630216,-2.236458434775175,-0.8446573361981602,-2.5635471681779256,-1.1265734662472788,-3.567275376152222,-2.445760167437031,-3.487424870047593,-1.8625165770896102,-2.6838785437748487,-3.250927179756458,-0.907271823170098,-1.006084899438254,-2.2162129607495658,-1.2510803897571185,-1.9539748072041299,-2.5029419190296136,-0.7473199278337466,-3.0780659838070337,-2.6208512395544794,-2.829310070707372,-0.8309212548625833,-1.2922386221407423,-2.3547898161549554,-2.6219454003411284,-2.0879746652279323,-2.619325097374131,-2.5428009545205565,-2.4735563692507476,-2.887824778755451,-2.9307316689123493,-1.9849579062854545,-3.6278824131812244
3,3,-0.4391830855222676,-0.6008357318998151,-0.613490653653399,-0.7627273770701083,-1.0654189110050616,-0.4815434964844121,-0.5470886995617489,-1.200476211783799,-1.5838490813647206,-0.6538581869224208,-1.2815991208210549,-0.7277315529567796,-0.57047973501372,-0.6211595037303492,-0.5788172578929522,-2.300727167686195,-0.6007734755521832,-1.1176245939225358,-4.1490965178791255,-0.7136178148083647,-0.5461470327537865,-0.5774813559273503,-0.6047257600342293,-0.7401913895126621,-0.5998326969658729,-0.587347420537361,-0.9346534766284025,-2.110960871761694,-2.2527482165842496,-0.9379351352090763,-1.0902854770610153,-0.8945640165289637,-0.8791219883739051,-0.5615308224217542,-2.5034506900847697,-1.8760040984435111,-0.9432628263665883,-0.6931289565645898,-0.5345619622226739,-0.6840373260281463,-0.6080829798969134,-0.7973400257878129,-0.5152786744579356,-2.0587601280376644,-0.5864496605875491,-1.0437099403125796,-1.1962626140761652,-1.088900115023614,-0.673716401918445,-0.6304457813082751,-0.6323700315168415,-0.5868637769818281,-0.5674284573086616,-0.8940685029757801,-0.9402541418663889,-0.637641708083688,-0.870509355052615,-1.4510604073725624,-0.8740300278445152,-1.1607094543529828,-0.8659191483452274,-0.7947088215129985,-0.9644280116862669,-0.6165668902237459,-1.19157543280566,-5.623285575753238,-1.70196007873496,-0.49840009635238136,-0.672957662654117,-0.9671486028847041,-0.8142330054639294,-1.3949548332743247,-0.3205220181350318,-0.7546517313011036,-0.6781286711914849,-0.6845543843170598,-0.862335467099177,-0.6263465909911577,-1.6850509642990186,-0.852361939109004,-1.2761558779340154,-1.9135207571572619,-1.3359361423990823,-2.1734292910667223,-0.8396388432884518,-0.5282197926520925,-1.5153981550360345,-0.582045825575566,-1.0274459811631245,-1.068057893896657,-0.5010458376527342,-0.9285173813596228,-0.45124607478660206
4,4,-0.5727090868202636,-1.7256157326419372,-0.9738436724048174,-1.5605372758736706,-1.9503502174238225,-0.7232409621804475,-0.45545896011555714,-1.2489100933497514,-0.47114936113822337,-0.6920103298748513,-0.7064455352729277,-0.5392659733570846,-0.6870366613856087,-0.4979056432135658,-1.1223921842616287,-0.33637456194300386,-0.927856486175157,-0.7763863472413112,-0.8401040781851679,-1.016062955288736,-1.5175490200498643,-1.0724056654269876,-0.5545069957922468,-0.4735791964245739,-0.5454860180412062,-0.5938481391759876,-0.4476224954480332,-0.43349725478862633,-0.43727555720998057,-0.5831448976730689,-0.5107135638456431,-0.545883569164023,-0.7336076975983985,-0.7241009830032866,-0.7510944954742791,-0.5443755878008518,-0.6629810262438602,-1.846288814293862,-1.386505140796375,-0.8712396319449082,-2.8798944778259203,-0.9276124877844896,-0.48336153358751477,-0.5407832309134726,-0.8623263629281886,-0.5964285737469555,-1.4941440708926326,-1.1312594786541978,-0.45219952635292626,-0.5491170283955605,-0.4494501225033919,-0.576026896819718,-0.5866233776974339,-0.6786087872398755,-0.5990148461840387,-0.8210286388465146,-1.5259805703729792,-1.550125575910819,-1.5045283525398678,-0.6304294225994491,-0.8384530187792868,-0.9780739205867026,-0.9155575573219854,-1.0098561023799935,-0.8743206521344125,-0.7350345150636124,-0.3892347176640085,-0.974408670457725,-0.8232157050098782,-0.47815243301568533,-0.48997321801865773,-0.502415879072834,-2.571070377619062,-0.4666744196537418,-0.845468964480432,-3.0729261359363633,-1.6381200505032698,-0.9820779110215409,-2.446466667440397,-0.9050454485821476,-0.37689485482388785,-2.16821251581901,-1.897985566323847,-0.535454316964139,-0.6994308202587067,-0.5748749197516904,-1.1384766036560836,-0.5769864031040801,-0.5701662252388893,-0.9388079533065329,-0.6820296731157852,-1.0566890297987859,-0.6773545472658948
5,5,-0.4689689183668043,-1.2721046221575136,-0.5734801671994345,-1.1568652930307404,-2.6511977186033118,-0.4119772431749765,-0.5484628048828086,-4.173427268312096,-3.4069840148328296,-4.661444371197812,-2.429243318990631,-1.557515784024627,-1.0435859351474805,-0.39973792800217756,-0.5650729473449578,-0.5424834413138581,-0.5476357395467341,-0.633195962851775,-1.128098994611927,-0.5501127925924064,-0.5565295392800749,-0.5267959334071154,-0.7685716856036421,-1.2352701519961755,-0.685962138235749,-0.6473242445332545,-0.733026233899912,-0.5771550669690622,-0.6057081228020779,-0.5046725375368133,-1.5336581981944302,-0.5298003018187738,-0.7814906784181179,-2.7615270621079158,-1.2351889208664035,-0.893967242428088,-1.372828753418955,-0.6583211343756451,-0.5419905877816151,-0.3962461299455897,-0.7874000808843854,-1.4061369234908976,-0.6774915404944646,-0.5471903641963363,-0.6342958183395998,-0.5643024098448837,-0.5947340282517963,-0.6424536698797473,-0.46063741025435945,-0.6294369533829769,-0.8825644693077137,-0.5802226323246291,-1.0993073707373084,-0.5881225148032648,-0.822581928781324,-0.2673525521408724,-0.5973895864859364,-0.8447571043344055,-0.8222763150652708,-1.7168195018590162,-0.961672181426927,-0.6345153618842921,-2.0084018184067105,-0.5654301756048784,-0.5381571090888732,-0.45864751047931107,-1.861502978672751,-0.4624935532860708,-0.9728896517808007,-0.4907105995439076,-0.6715467415488815,-0.777440153082099,-1.8354074668971128,-1.505449632159277,-0.7194618930678537,-1.095297482289407,-1.5544849406038184,-0.6512506326049118,-1.7511516351197856,-1.4253644191636878,-0.3989316824849393,-0.5974146980742747,-1.5124526027926626,-0.7840750570378339,-0.7010028647270146,-0.9614819207529983,-0.8237464488598762,-0.9622658915118277,-0.8432017025468792,-0.6009391031658672,-0.5129760969150143,-0.5964802478265894,-0.6728837215299812
6,6,-1.1948846219798208,-0.8326098699059775,-1.2140501251550135,-0.6897565221172861,-0.5679806784761028,-0.4468261134956506,-0.46373525005307364,-0.6603182801924073,-0.5411183505995986,-1.2281726049015722,-0.46612044283444554,-0.5683066582224703,-2.5833511935012314,-0.4222345294521298,-1.2526621005396577,-0.4976683109144674,-0.7165198817016956,-1.0495043277462588,-1.5258734561063427,-2.560569798333402,-0.5513539838500043,-1.8071470375954723,-0.5262496137614592,-0.49366248339066887,-0.5593911212890715,-0.44711863123366047,-0.9119499289408508,-0.4693966718824525,-0.5221050782063054,-0.5499505360085336,-0.7481706986289904,-0.8156700252000375,-0.994701830777594,-0.6978339853315723,-0.7018497443005753,-0.5158358664941195,-0.5854663796119198,-0.5487410813256486,-0.6531376173525391,-0.5339082999204214,-1.1517331810612834,-0.5605495498296889,-0.42854373492263265,-0.616952958389561,-1.0329052389727347,-2.003571809143282,-0.7016026825498366,-0.7272234714084196,-0.611808838582665,-0.8280605029212827,-0.5118158854333348,-1.104491819991369,-0.5255135915748299,-1.0736380931222287,-1.0722882732967267,-0.9345560673978117,-0.7691566404615612,-0.8562008322073091,-0.6038517812342279,-0.930208832735008,-0.8054367334750754,-0.7066784078930628,-0.5991362026346485,-1.5423543966401403,-0.957939888947217,-0.552941128971512,-0.4960818549071,-0.7115630583877399,-0.576022662335174,-0.5083075974886839,-0.5516078071824708,-1.951843455119929,-0.4783193846742554,-1.7987365990910311,-1.1930400168243218,-0.732483653936677,-1.7529348389376178,-1.0704619753780955,-0.6843495822893033,-1.000199944447949,-1.8816376472239307,-1.7726822531827733,-0.5528421014413286,-0.8486179282887512,-0.6556455195939431,-0.640690884552084,-0.5379792084840831,-0.5899758263679349,-1.2991876010396077,-0.687543193850195,-0.5172770357805333,-0.7555243808452853,-0.6065144397030732
7,7,-2.0716884587218267,-1.1812777719417635,-1.9947426445763752,-1.3401083182254083,-1.0869519284348028,-0.975354001127161,-1.334763113911535,-1.240406225755887,-1.1403413578731456,-1.6483584757568654,-2.091956845433528,-1.2561540177921395,-1.8495111868673346,-2.6279038577443634,-1.4590987468281138,-0.8147095483240366,-1.0326205383169427,-1.6432266148004218,-2.285425811871002,-0.8777928258807519,-1.0197121267800153,-1.5309555902624246,-1.6103822841196016,-1.9211499525317621,-2.8506491998120222,-1.3465410571217586,-1.0758976984715938,-1.0062278090063057,-1.5573156202922265,-0.8944202108446173,-0.7936152305470012,-1.8432701056977634,-1.5477436741778623,-1.9964205126528365,-1.3852022972183082,-0.8088185351733278,-1.7874338567382906,-0.8996415929027906,-1.0795771807120615,-1.25000203552051,-1.071489129399483,-1.1725726035563704,-1.0358643269371621,-0.8803179939343109,-1.397953187813132,-0.8187753289221718,-1.0972082708069983,-0.9760569572478217,-1.313165415387949,-1.986320448322469,-1.3814902104936913,-0.9080712560256182,-1.4840926821528329,-0.7986864941411155,-0.7440208106370535,-0.8710016398618765,-1.054542340444737,-1.2405151241164787,-2.969782331570574,-2.19689309216964,-0.7873963877111099,-1.073855368575632,-0.7341918606136235,-1.4304411840468152,-1.6229797952809129,-0.8692087766628769,-2.3595764960315866,-1.0301457668501686,-0.7667927616805423,-1.411177311539154,-1.6016057923114952,-1.5613227783359709,-0.9113025131269837,-2.867057280710106,-3.4303239983113976,-1.1629725161818734,-2.5623111657126945,-1.59861522758154,-1.3329872354228676,-2.0582956693061685,-1.838479889366418,-2.2953011444924014,-0.9508531384791188,-1.106965231462033,-1.2219455310372493,-0.817975651662479,-0.7844653229516156,-1.028292528201928,-1.5743782661397452,-1.0054887475240484,-1.1945056692667195,-1.9242012519855458,-0.962054650900571
8,8,-0.8397631783224058,-0.8171417854410161,-1.0499879480859011,-0.928229978836257,-1.1514865000276409,-0.4289455455279595,-0.5230200255369778,-1.6732617270046082,-1.4518280663171752,-0.5698031171710009,-0.5416676977564954,-1.4811939750110463,-2.2104245358681958,-0.43575181804851043,-0.5754513290308381,-0.5598713819077161,-0.7410182558223856,-0.6455565946760111,-0.968632476861392,-0.7440922500589104,-1.361468669599919,-1.2626883166269194,-0.5260580591202276,-0.48978705782685383,-0.7700011178413604,-0.5433793987812924,-0.45870121392035096,-0.5274515114975322,-1.0715289174891605,-1.4770723014318343,-1.7815267790432983,-0.5338199665384642,-1.04418174269176,-0.5080517650786913,-0.6429443650410412,-0.5773423341299935,-0.8960702471652575,-0.6664349011933283,-0.5176305638896403,-0.41429206408369423,-1.1414508492430717,-0.5627029008763988,-0.6601422885112761,-0.5796622990057273,-0.7171400563548549,-0.5459027860483093,-0.6346331683255007,-0.6050007853661336,-0.6166617895372427,-0.5472939965074595,-0.6335583486292798,-0.5421468320488638,-0.495142561619639,-0.7735344473863951,-0.5942864963020928,-0.3985913817141964,-0.8665471902112675,-1.254995092054341,-0.6508786937317028,-0.5120939604294289,-0.5606376289669897,-0.5898330179875042,-1.3281897597144956,-0.9138030008125736,-0.5571938326239495,-1.495794382120022,-0.5786188553020601,-1.0670973496522242,-0.72409679126838,-0.5187357979845706,-0.5415645609435258,-0.7698521717859326,-0.19921238803255398,-2.345918899146156,-0.42189192028996014,-1.1586618740873729,-1.0916857546865093,-0.6225505249563889,-1.7072318620768274,-1.0790177657571953,-0.952837669987575,-0.6893698028584677,-0.6414248890234528,-0.5639792474414902,-0.7924594657769162,-0.8213524920101736,-0.5392243574741769,-0.849832660349649,-1.1871843061205885,-0.5934129980537769,-0.5373328287551751,-1.7696443204681815,-0.4760165327887373
9,9,-0.5866358297677167,-0.6229163354607397,-1.0462678296789067,-1.1899054727361986,-2.052873782214097,-0.7332921981528184,-1.1548126240062393,-0.9212203061241342,-0.5663001629664176,-0.7488685870694877,-0.3711725207404881,-0.8494885804098968,-0.5631748034559518,-0.4597863466586564,-1.0630274237367983,-0.5973599882696516,-0.46920149687087886,-0.4121466447630051,-1.6676186157806436,-0.6883394621635319,-1.2456592848477468,-0.6771375876054244,-0.5448902753458915,-0.49156345612407987,-0.5790511527458093,-0.4489193028569929,-1.679787397585859,-1.4476153424697287,-0.41472586052407373,-0.963063189451103,-0.9599364755819566,-1.7344274803067334,-0.5318943215418941,-0.5670224193339451,-0.6720580571208784,-0.8889319048537202,-0.946299758639676,-1.209699981743318,-0.5313623038131158,-0.6540859300938865,-1.4003164891123607,-1.6271498777951123,-0.452018000764734,-0.6372300006849517,-0.7025763976078198,-0.821091160436457,-0.5183409964898675,-0.7036481956304731,-1.5126128761687938,-0.5694668841722421,-0.5191495026764781,-0.5639022116073832,-0.4634830274730167,-1.2633927399110383,-0.712248714281744,-0.29389727240587993,-0.9970240021363946,-2.337456242360637,-1.883201796910658,-0.4110345812098827,-1.2386831518233292,-1.3372624001246938,-2.881778633288614,-1.3422804803808128,-1.328812796707127,-0.910392920197431,-0.908888249282493,-0.769559889547901,-1.0230901404840855,-0.5304612700883954,-0.49116096346935845,-0.4962453855359844,-2.200573244559366,-0.9434774525981988,-0.5816063638720801,-1.9195703825072918,-0.4537959364214921,-1.2422609462043543,-3.1556126984788433,-2.4184277981711215,-0.610213611936109,-1.9946446639587136,-2.2741895764613225,-0.6017410800444651,-0.6084098339300288,-0.5312080375043453,-0.5228832806115833,-0.6738187238676214,-0.5506071039083834,-0.8396000257574865,-1.0271787130549757,-0.5818932505211043,-0.43120446831243464
