statistic,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
EXPV,0.5634794575645817,0.3410611281457341,0.31679626741849165,0.3052539151928396,0.24795060807130853,0.39171678792616693,0.3744357874630133,0.3495675081401419,0.2568925260980015,0.16310659687488216,0.21502556578941978,0.26012814264687567,0.27084508973838417,0.4051333784733626,0.284815444151873,0.4309402602187987,0.3380326764663536,0.35770479237316344,0.31556592944767814,0.3292412288688674,0.3676926688121054,0.4040175379604277,0.31743457694219124,0.4069916767506938,0.3147654920655275,0.43690939322738553,0.3958184586505802,0.36433087160984456,0.3642573460799068,0.3710951250484542,0.33824617584992167,0.37271136044507336,0.292370266206886,0.2831472823831328,0.19660537914220633,0.3401843302930816,0.27678357738359194,0.3798489269183726,0.35844089716445915,0.4082845945890994,0.29117508416022053,0.28847560229246116,0.353241929241751,0.26935984751015973,0.3678328374506634,0.339132462074725,0.17069601864504924,0.12264248257055266,0.3772883949707042,0.2979493814431984,0.3815947121603549,0.26269744998564404,0.35958972106056997,0.3176190575069806,0.3674873484358633,0.5365929913172864,0.35444021434653994,0.15212937213408684,0.22985082977876403,0.3846231124683337,0.3347948023890226,0.370401033615663,0.08343382086767437,0.21542068463714592,0.1879609869823644,0.2509687069965081,0.34460005261757753,0.31671068047435524,0.31460011130081444,0.3656519616339676,0.2958536256046723,0.2918366010667838,0.7063521703959006,0.21185568864204274,0.45489891935875404,0.26545282197220244,0.25648577556417185,0.256051790796895,0.2243270897911842,0.32521367629774967,0.4877612119492346,0.2548595057405306,0.1624937124010788,0.25827999645843713,0.2645440183297433,0.3885734136413176,0.33105953990418824,0.3465071585231726,0.3629995220696898,0.23976505478910903,0.3411017693879521,0.30459600925222574,0.3772947016856052
MACE,0.023440094899169664,0.005409252669039162,0.00766310794780547,0.01288256227758009,0.010984578884934763,0.005527876631079486,0.0067141162514828216,0.015729537366548058,0.016204033214709375,0.011814946619217096,0.007188612099644151,0.008137603795966803,0.01126927639383155,0.007900355871886141,0.007188612099644144,0.005765124555160166,0.013475682087781757,0.020166073546856463,0.015966785290628716,0.011221826809015444,0.011506524317912216,0.007069988137603804,0.004697508896797184,0.009323843416370128,0.007663107947805484,0.008849347568208796,0.009561091340450776,0.012882562277580067,0.006002372479240824,0.007544483985765138,0.012170818505338084,0.01881376037959668,0.008185053380782922,0.010272835112692785,0.006998813760379585,0.01620403321470936,0.007307236061684472,0.008612099644128134,0.00683274021352315,0.007473309608540919,0.004104389086595518,0.011506524317912215,0.007900355871886134,0.011577698695136442,0.009561091340450786,0.011032028469750868,0.011933570581257432,0.016559905100830375,0.003677342823250282,0.011221826809015423,0.00932384341637011,0.007781731909845814,0.010154211150652438,0.00908659549228946,0.005290628706998847,0.01525504151838672,0.015895610913404495,0.0099644128113879,0.00920521945432978,0.01098457888493477,0.008493475682087803,0.008849347568208791,0.035824436536180296,0.0052906287069988305,0.017153024911032044,0.023606168446026088,0.005290628706998838,0.01648873072360616,0.010747330960854125,0.006239620403321494,0.014780545670225414,0.006761565836298944,0.01833926453143535,0.011933570581257425,0.0045077105575326406,0.004578884934756842,0.006476868327402158,0.00671411625148282,0.010984578884934773,0.015302491103202842,0.00526690391459073,0.005527876631079505,0.01174377224199289,0.015539739027283506,0.008730723606168474,0.010510083036773431,0.0056939501779359565,0.011103202846975095,0.007069988137603819,0.009489916963226565,0.010510083036773445,0.011221826809015435,0.008659549228944251
MAPE,0.14341061566535782,0.11862322417397192,0.12340586146144569,0.14861344638354582,0.17748826246827573,0.09418199695288508,0.09287578448076804,0.5973906488054129,1.9096693098977433,0.2283360948015093,0.17525686419021086,0.24563835236576373,0.13184383992752427,0.08230082568901212,0.12301956687593177,0.370175667604912,0.09026391468736111,0.10467065826498936,0.13757959178771018,0.1324139818664166,0.14759286728331125,0.11122500947171737,0.09655456255066618,0.09384231898985664,0.10761239758378982,0.0936930048339623,0.11102079916967392,0.10725163406761165,0.11227520390056467,0.11818848179507947,0.11835551499404408,0.1298383700880097,0.12362363204796331,0.12381291342964597,0.152051374273385,0.10541072732392233,0.12468581513039702,0.13354937265956673,0.08917205695006865,0.08967199657560572,0.11867658900938145,0.11641670056070276,0.09826413167383649,0.3458264706269913,0.10203582420755346,0.10239010941341058,0.1277654367858647,0.11026796216209685,0.09696692224638924,0.10059488907084037,0.10038571871944199,0.09776970798165256,0.10641783532773692,0.12464519622667394,0.09764151627201248,0.10046152026737942,0.14126699190822198,0.12994448528195654,0.11152765419653304,0.10353963077097175,0.10211043083497183,0.1004239935505651,0.2820665809379738,0.12949248233088412,0.12754797560994058,0.33311909185384253,0.10286111717717301,0.10577904132213545,0.0935970348403469,0.10307583380199613,0.10928289212363973,0.12799300872653688,0.18921849101900623,0.10804138143010929,0.09439178719895591,0.10859511306524394,0.1240448072348384,0.0983909770348026,0.14250103330547562,0.13225468407952165,0.10052447370923123,0.12532018208306672,0.12823264459109893,0.1335667980340934,0.09210445782534536,0.09180191692704233,0.10384253954289635,0.09184712934275116,0.08579832456896866,0.11185758271585641,0.09355303529178752,0.11361467980643508,0.10326582640526062
MSLL,-3.6203055472639663,-2.9379114574998986,-4.224296743835512,-3.182676601498878,-3.533064707366572,-3.791639583449239,-4.288688177085909,-2.5692653851018394,-2.888558705728259,-3.3688986805992105,-3.4103217661635012,-3.1309546086919804,-1.743657009042031,-4.41115571849458,-2.708420323070837,-3.3481262663327644,-4.528888915420321,-2.8022271163630563,-2.8840404589778323,-2.6986321512425873,-3.547166025598869,-3.71484099913938,-4.262845562121781,-4.06866511878442,-3.0509026323590387,-4.209715151420405,-3.196475729647246,-3.723677319059478,-3.331958475355284,-3.8375962491421216,-2.5899871568153205,-3.2674512871731807,-2.9490337996916445,-3.405383537966599,-2.0869236459753626,-3.3177973879581595,-3.3928654246727534,-3.3493754544553638,-5.111692035245906,-4.626722916072067,-3.576873308592703,-3.007503337230288,-4.063927030926692,-3.017740222821098,-3.543605881505645,-3.2816376868875023,-2.7224118196032503,-2.9855173804716024,-4.318018294167275,-3.3818432559155287,-4.015098794936719,-3.2100795085330383,-3.2931790193060557,-3.4886671258913022,-3.7794679301102807,-5.590971980890567,-2.6347988356182492,-3.098608419229535,-3.1894517191607603,-3.3960063827047353,-3.274971186826741,-3.0903510022913148,0.12917950027701197,-3.145622632621125,-2.2865268110400576,0.08326908001390798,-3.5260752975054683,-3.1267383825310526,-4.057886108252243,-3.5027425980494558,-3.788189005451348,-3.1395810396554245,-4.708056781785365,-3.7162952068341433,-4.184237948773955,-3.0396305368601624,-3.3595943193230413,-3.4341524376516945,-2.806314874802327,-3.224261480389991,-4.255953332692588,-3.661509825801671,-3.1796129144561,-2.844524100885333,-5.697270092241493,-5.50231423419709,-3.437605402945195,-4.413777404372587,-4.777220189041449,-2.01621888660417,-3.90789804116383,-3.020162632944419,-2.237067429911793
NLL,1.0556708608009155,1.223496643962656,1.245015384533995,1.2521944943048184,1.2567495135609474,1.1622497122254833,1.195571577465058,1.2075673126835538,1.186944152814799,1.2907010117767825,1.2067875905635654,1.2208058466093545,1.251248477955785,1.140106935627599,1.2552927731177046,1.0847502070450294,1.177247041387318,1.1319080303582598,1.2522146203468425,1.2183908392469116,1.195803170592304,1.1872973038243153,1.232430824897792,1.1694564368884754,1.2247369616067214,1.1352444056781132,1.1737056177522265,1.1859789670728997,1.1889505776806644,1.2014133385370986,1.2260602086245314,1.1676192619536578,1.2670270909683994,1.2216861561007075,1.3040798951504329,1.2022293472829242,1.263750632590629,1.1900338430092057,1.1862779583206438,1.1398833950298692,1.2585540220304536,1.204447887750728,1.1647755489149492,1.2598296472259674,1.1585760324898848,1.22850191477477,1.2834647499072884,1.2525384776785222,1.1847183591827528,1.2295298822314742,1.1900283433888448,1.2468710748680418,1.1938334368911203,1.2441385391470037,1.1998385512573984,0.9778302751866987,1.1984673848017333,1.3438766591807079,1.2948410813658227,1.1703183158824582,1.2345428470174045,1.1905879535123907,1.295177506052702,1.2844661076769328,1.314130520363012,1.0556940082163198,1.1773347334462705,1.16856422442439,1.235988722925452,1.199596177490695,1.251766556299014,1.2448548540013957,0.7632781294469029,1.232566080701244,1.1240204952414472,1.2693008635791048,1.2284503219898093,1.2750192756238228,1.3111823931604512,1.2535811474571616,1.0874748902094542,1.2920298512112078,1.239335079704535,1.2433960083908762,1.256671666689133,1.1879342006731881,1.2249773821386587,1.2199032698727126,1.204400235682073,1.3028338524745253,1.199224999778786,1.2533689343240915,1.1471075981067247
R2,0.5620879738115012,0.3410217585362706,0.3167876437043885,0.30507492295669936,0.24783205208881476,0.39159513489002984,0.3744357869926995,0.34894973092129455,0.25485976730682547,0.16304280874226007,0.21493652000209895,0.25992693609197337,0.2708185091728429,0.40497114424335456,0.2847044634312067,0.43003989762517747,0.3373873703558483,0.3571989716670938,0.31443702287009767,0.3292307784210897,0.3676349984721161,0.40400358620185595,0.3173934794915513,0.40695146441894603,0.3146679626022909,0.4368003979139632,0.39554980715926913,0.3643307339399918,0.3641949519146618,0.37109495642764423,0.3382458179717316,0.37179520330741955,0.2923411855080231,0.2827352311180217,0.1965733246632252,0.3401703236334197,0.27665650766374816,0.3798298547489868,0.3584384424293148,0.4082467253498151,0.29112215269360975,0.28817857853584783,0.3531488372325927,0.26887811679661333,0.36766726833164454,0.33910263458449075,0.16980589535653434,0.12137808560046426,0.377189086619101,0.2979474344460581,0.3815797569052235,0.26238651346230124,0.35947582104359554,0.31760531734626596,0.36744687045780866,0.5357863891254786,0.3544394194785564,0.1521108147304122,0.22978411073875704,0.3844721364776241,0.33478068017466556,0.37026766202056804,0.08214472197736733,0.2147814095659284,0.1878123298438843,0.24993023522683766,0.3443272497573905,0.3155633567715559,0.31456796873956494,0.3656372666242701,0.2958489683700526,0.2918137182781836,0.7063416031629455,0.21180143995445533,0.45470684467533673,0.2653943862130076,0.255940069553119,0.2559577370992362,0.22431047063905152,0.32417564158139933,0.4877415572277084,0.25485054158767406,0.1617789742840091,0.2581372480041867,0.2645413990733223,0.3885733468101161,0.33101633242841333,0.3465064527719228,0.3629707603303647,0.23976463591886255,0.34095689220358927,0.30455574186496126,0.37666609472009027
RMSE,17.18727447257436,12.603029064281989,47.4605490573772,17.012645858986748,25.241207196484115,26.748901349127433,46.098046485385,8.527616985448605,12.298445866545409,23.37506793651823,21.697031943783873,16.156440145066142,4.129063575591187,48.0744779406137,10.775174395636853,15.3765478524373,59.22922344254236,9.916862498160379,12.535430679771379,9.958429621724033,22.084729663533963,25.139478402472744,48.687362951492524,35.09095849530571,14.40787806374785,38.05225830617362,14.872662720396626,26.158634220208175,17.734978473379112,29.612114628208186,8.941275685317063,16.178569365283693,13.793890221010152,20.94659376125186,6.440655564376236,18.05100623556087,21.665951777612758,17.842621454546492,105.33085435075817,59.46185589126858,25.64767102934159,13.777662013488621,36.304602363931785,14.91017383587415,21.20153545511178,17.887867809039662,12.108287845551125,15.71187855710296,46.854261361440514,20.40053459034187,34.67070455759526,17.91869155395622,17.207403355840132,22.70973289191112,27.976711077432583,117.46712305659801,8.984578215351991,18.935602504491918,18.817966030777285,18.260652950790227,17.9350384783223,13.884459838569423,0.7439374632672326,17.997873943823212,7.986134702882221,0.5541565042175622,21.615805048473916,14.684381924765106,39.888311235799016,21.23887153214719,31.363218545662583,16.329500283684673,31.178455475922206,30.293105148741123,36.093184271940615,15.421800347973967,20.517727329575067,23.159486015173336,13.086187306065778,17.51386869418856,36.235042830070775,29.592350861869964,18.38936909810582,12.424695497408639,217.32038906628839,152.22044455002055,20.96064088804332,54.709142312318896,76.49397888598789,5.830195911574226,32.45002914841634,14.483221267147671,5.634452739608098
Rho,0.6038543133967113,0.49157374725452396,0.4860376075929874,0.5411690595117592,0.4966401723672755,0.5070374104189332,0.5063973130495353,0.4672337420662133,0.40095533563564917,0.4385230750008181,0.4813957573997884,0.5172630637960823,0.4144425600840372,0.5175755858707595,0.43092814960050685,0.4800552295954284,0.4948331950505471,0.5700955795368212,0.48278825536968806,0.4614227284032822,0.4717231571236417,0.512287478806947,0.479073425132586,0.47591414184331987,0.4925001162064275,0.5189387285592568,0.5403255884323114,0.49159808479591177,0.4574048306754824,0.45818538470349063,0.49269577802064657,0.4679267610688185,0.439674531156487,0.4225654999625238,0.34426197442493045,0.5215033645872804,0.43555481637282356,0.5022422136840927,0.5458893807488979,0.5644496304910146,0.456255788243054,0.46240852903032775,0.5601151243852922,0.42387908620872194,0.5510301104787508,0.5092604795698004,0.3847007624688304,0.3426969503283037,0.5132519565427932,0.47624899836955875,0.4719662721358425,0.4733753056122571,0.49642909677684405,0.465057675418117,0.49381403296244686,0.5295080320269816,0.5628973861074789,0.3514119134203606,0.38992640317641414,0.48730197792215685,0.5007094092873198,0.508990833632852,0.2614998814132315,0.4101975019545019,0.3726510253878376,0.37214543550026613,0.4791699540313086,0.4697127960814143,0.49934243068180534,0.49260059119210753,0.428887962550768,0.4689487274826753,0.5564516834176804,0.4166748234172063,0.5666549622814712,0.4330326258182162,0.4171681243486943,0.4425556954388402,0.37003467959595165,0.48120048618808536,0.591111467174071,0.47348509496562885,0.37107511449800573,0.4329143633948798,0.44649198728712225,0.4108594029566576,0.5022892362177618,0.4211059285297952,0.46144743651628783,0.4036685107897316,0.47056956767730795,0.3945844283199594,0.5536203259638546
Rho_p,6.72099826340605e-85,1.70880242922943e-52,3.437585204182236e-51,2.635402478126241e-65,1.0437794642197978e-53,2.8995054103677433e-56,4.190432458171511e-56,6.161671799437255e-47,6.709298349807094e-34,6.214131032326802e-41,4.0830134160435617e-50,7.255754360083115e-59,2.5327964683067715e-36,6.022379675167627e-59,1.940175258336759e-39,8.285007127091039e-50,2.844195514242524e-53,7.983834506611968e-74,1.951226435827074e-50,1.1258254434827318e-45,6.282328689421507e-48,1.372879185519222e-57,1.3883701734486838e-49,7.228677527358001e-49,1.028542698357928e-52,2.66595922707206e-59,4.5388833900266195e-65,1.6861970640577463e-52,8.124338118010492e-45,5.5454606918614646e-45,9.237821627986855e-53,4.3410225910612683e-47,3.659972084476563e-41,7.761897820582018e-38,7.2673957604261885e-25,5.696678155527192e-60,2.4097362217841773e-40,4.489881059384336e-55,1.2220900108610208e-66,4.2793802595893546e-72,1.422831536879513e-44,6.904428423456681e-46,8.638695675570189e-71,4.378033042784976e-38,4.075768373378688e-68,8.020841548691506e-57,4.002796775732529e-31,1.2187606953676857e-24,7.793883658531273e-58,6.073862233205751e-49,5.546280816986514e-48,2.6883359733625504e-48,1.1738083940573693e-53,1.8409689283083703e-46,4.992946011881855e-53,4.231066324498838e-62,1.2617161470901381e-71,6.594931759368745e-26,5.331931870425786e-32,1.7403685627110562e-51,1.0681211791198723e-54,9.378526220560645e-57,1.2013605386922638e-14,1.5074859634286515e-35,3.6444029934902647e-29,4.3857771298434294e-29,1.3197554893288798e-49,1.7537705829817133e-47,2.3050347949194818e-54,9.733505573334143e-53,4.8179136634888564e-39,2.5861205477398913e-47,1.0581463622369897e-69,9.812154515246806e-37,9.118714842267859e-73,7.542870546547243e-40,7.94940006500014e-37,9.645668556296201e-42,9.467840452263457e-29,4.527214220973796e-50,1.4513353818441782e-80,2.5404764296784732e-48,6.483719760710658e-29,7.955559272683581e-40,1.5277451584768403e-42,1.1434021871661875e-35,4.37177712526991e-55,1.4622062445550952e-37,1.1121346218934874e-45,2.229065874788942e-34,1.1332436806304028e-47,8.572341543526138e-33,7.182502333096409e-69
SMSE,0.43791202618849884,0.6589782414637293,0.6832123562956114,0.6949250770433006,0.7521679479111852,0.6084048651099703,0.6255642130073005,0.6510502690787054,0.7451402326931746,0.8369571912577399,0.7850634799979012,0.7400730639080266,0.729181490827157,0.5950288557566454,0.7152955365687933,0.5699601023748226,0.6626126296441517,0.6428010283329062,0.6855629771299023,0.6707692215789104,0.6323650015278839,0.5959964137981442,0.6826065205084486,0.5930485355810541,0.6853320373977091,0.5631996020860369,0.6044501928407309,0.6356692660600082,0.6358050480853382,0.6289050435723558,0.6617541820282684,0.6282047966925804,0.707658814491977,0.7172647688819783,0.8034266753367747,0.6598296763665803,0.7233434923362518,0.6201701452510132,0.6415615575706851,0.5917532746501849,0.7088778473063904,0.7118214214641523,0.6468511627674073,0.7311218832033867,0.6323327316683554,0.6608973654155093,0.8301941046434657,0.8786219143995357,0.6228109133808991,0.702052565553942,0.6184202430947765,0.7376134865376988,0.6405241789564045,0.6823946826537342,0.6325531295421913,0.46421361087452145,0.6455605805214436,0.8478891852695878,0.770215889261243,0.6155278635223759,0.6652193198253346,0.629732337979432,0.9178552780226327,0.7852185904340716,0.8121876701561158,0.7500697647731625,0.6556727502426095,0.684436643228444,0.6854320312604351,0.6343627333757299,0.7041510316299473,0.7081862817218164,0.2936583968370545,0.7881985600455447,0.5452931553246632,0.7346056137869924,0.744059930446881,0.7440422629007638,0.7756895293609485,0.6758243584186007,0.5122584427722916,0.7451494584123259,0.8382210257159908,0.7418627519958134,0.7354586009266777,0.6114266531898839,0.6689836675715868,0.6534935472280773,0.6370292396696352,0.7602353640811376,0.6590431077964108,0.6954442581350387,0.6233339052799096
