observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-1.0316304309883437,-1.0510057360461416,-0.023571329609741988,0.42025874848268296,0.39534493597684545,-2.2879077744789345,-0.4394592287315702,-0.809147144744987,0.19618563992787644,-0.2690613635879083,0.5280122237927322,0.29086359058253586,-0.7608175884263799,-2.2329126183106593,-1.489064287850381,0.10977758456791106,2.4880587090537647,-0.9586796675632138,0.2217654944159792,-1.4609678961617047,0.4225004620500992,-1.2381733834148596,0.1779479681387284,-1.6394261236214134,-1.3753557971440855,1.310573173831606,-1.674583066338244,0.0022596297842676664,-1.8684066381080378,-0.040603771829923696,-0.1473746788683596,0.4852170753922536,-0.10188755444349706,-0.4886633672862916,1.5995956898682928,-2.011731557809142,-1.3014329303850092,-0.8613343751500098,-1.7734043842290357,-0.9025723295864491,-0.428507824485638,2.2215708080553047,1.537598215904655,-0.8399641044600558,0.25647465301727757,-0.7318440046583462,-1.6449146624761692,1.4118119427810845,1.222820185879199,0.6760064671563701,-0.9773569673279121,1.6609198781035905,0.955728443378124,1.5867929770568705,-0.5440998403851802,-1.5275025377425313,-0.05211256943040029,-0.9283888814742273,-0.6468391330338654,-1.5378602748170032,-0.7181629251789023,0.35511841748341305,-1.3409068536533302,0.8852268396353774,-1.3469722789917864,-0.4002743432730946,1.450369965805709,1.0459110598397945,1.51794384690618,-1.411521777955943,-0.4173921851095777,-1.2668708248457041,0.5987722669134369,0.7704803848719796,-2.700535676169878,0.8529804503916202,-0.3182518510686554,2.1237562578909253,-0.797474042583463,-1.6534689436147527,-1.581468126950303,-0.9145341756442414,0.06602692019820564,-2.0158128140588985,0.5553092324633916,-1.0415883576790572,0.928817960461191,0.3086495623431371,0.3027184787674286,0.26533608445824236,-1.829665229499195,0.06870371746857405,0.3575689486490428
1,1,-0.33410677942549166,1.264709929734357,0.4950473470849686,-1.2513464138215875,0.4103057009506438,0.8100682374527088,-0.9010525883879394,-0.6550796942401499,-0.27864225199891335,0.28566918078565956,0.40207249601846257,-0.28292237996894265,-0.16418087200144507,-1.160653607325644,-0.695566105406648,-1.3413738214770523,-0.511736826968734,0.3410179626417632,0.10520914752719857,0.8517279741346356,-0.3567056282070338,0.16089856128662802,-0.9692501682021586,1.1638302637963465,-0.44560148915190867,-0.5452536831836471,-0.8120119989894757,-0.733740165848831,-0.158161175265582,-0.7817608232669372,-0.5851467821096982,0.5194439021468371,0.5425771412598515,-1.0767622148377,-0.00030521485076497664,-0.2959494416144264,-0.14611175049755643,2.2224235827311327,-0.10798179385942565,-0.11925943534332172,-0.9378644106954527,1.4718457103833265,1.3963086923149644,-0.09807252399287467,0.7307364920820865,-0.18149037000375903,-0.01987675338478581,0.07521434641475142,-0.5556661787409852,1.7335592806159703,-0.12072107144002336,-0.19234327960587563,1.3754879073312047,-0.2456633678396958,0.11996461969519914,-0.5310017329044948,-0.3637814786988519,-0.6363775632651753,1.1612354362807769,-0.012620115358287474,0.0896697709471843,0.5885330997469324,0.1748139869702891,0.2699627451732106,-0.4289999532801348,-0.5630328602021851,-0.535350742152091,-0.8451402054173257,2.3722137162715904,0.41173211088634004,0.19842038333722264,1.0738367730853406,-0.7825472589223067,0.866759920334541,0.3848084346490601,1.1001335289002072,-1.0329082239216567,-0.8065609692341956,0.915795506702572,0.2949103717441596,-0.026387742129147775,1.5620414613712317,1.1088132108952837,0.022554442154608077,0.20241146332381277,0.22336264630404287,-0.25822216632184175,-0.19727437277003576,0.6327042318642528,0.24441384560771506,-0.71975711464742,0.44121735701068426,-1.0169412148732984
2,2,-0.2638314604363487,-0.7595857791310344,0.2633857655178161,-0.2772543359751387,0.42913956228487765,0.5346628042897189,0.5036019494964301,0.1479867225970838,-0.057258273943437625,0.1260214052819467,-0.38759170600825976,-0.2125008767274072,1.05590497332527,1.0380753573255463,0.3783466215323324,-0.3879211695337149,-0.35926994631344106,-0.6386818981881572,0.008172765421294267,-0.4640147446841548,-0.5812940803005644,-0.4613189125607808,1.1792217808256868,0.88838160703345,0.7565611802594404,0.015280996026804416,0.2160836211014659,0.49705516393367927,0.23858333111027957,0.488084826114272,-0.7867597815511274,-0.031363496126782055,0.7921431867904857,0.9053119678923945,-0.5116698977633285,0.12959253265138188,0.7589598196647224,1.1442558344517426,0.6256519321197206,-0.6532154358547119,-0.09079224039798368,0.7884482936511018,-0.18844727708281633,-0.36624255015976015,1.0710672540316795,-1.212141718446614,1.0901848864569672,1.340691426919086,-0.966587929955859,1.107969671586248,-1.2583085869520756,-0.8135795154251287,-0.10050033029881408,-1.4858414717040016,-0.5756038530709346,1.2118992604575798,-0.004094133395536328,0.9997977701715334,1.7160295309713616,0.9216676830854387,-0.5048223132569545,-0.4044277748202614,-0.14995945419173934,-0.16601133969508095,0.026864909206915318,-0.11300666916877894,0.7093970289339885,-0.9083542533083164,0.6605492467449511,1.6737092109227063,-0.9207725578952135,0.983511814553229,-0.7018332324378092,-0.7130036862269966,1.0700198468911,0.8223755479602909,0.3569586846622927,1.725266048300865,-1.3374356588475582,-0.116097753910547,-1.3807782335967487,1.2620039817515805,1.6976938708889693,-0.8575782772442025,0.3948786465297598,1.0638834773354875,-0.6057306296371309,0.017694628813039993,-0.7172000316022806,0.15404078149692207,0.6479119586160387,0.5165495755698446,-1.1195099531527715
3,3,-0.10376709441661504,-0.6591987458634095,-1.0535430658837208,0.5827807908348038,0.9955087733741104,1.1280857520100427,0.8259026383297446,-0.6055432464173577,0.6648329229332031,-0.07147271299913573,0.0776083774794243,-0.40132945761774874,-0.7407687267961481,-0.11390915977564078,-0.05364325366184183,-0.8067643181941186,-0.5819368051042232,1.9899172512655772,-2.0692451649988635,0.6355135995623717,0.26896772674799124,0.8289134613719376,0.01925221688857521,-0.8077947226877539,-1.018891851864399,0.20117939322823075,-2.018490409984975,-1.1369960643133414,-1.3664658253771342,0.013328033027019886,-0.15790691441983543,-0.2211442963108219,1.886971003267664,0.32619572372637323,1.535102476492469,-0.7223407358624772,-0.3243102085091338,0.4829754247970556,-0.26999601965819103,-0.6963274795860057,0.5059780646061015,0.9133720643600609,0.7531305220669517,-1.0329029024016816,0.6910623374053261,-2.330882534817578,0.6388817366889945,0.14064632532828786,1.6570588168781137,2.108099205683991,0.6154283898862422,1.3222723761736594,-0.6880091068316905,0.8804986919195605,1.3068729000111337,-1.141041669360765,-0.2646440542277748,-0.26034339837868825,0.44464839763767416,-0.12140884840745576,-0.30675375144966055,0.41549750203939784,-0.35659950322287204,-0.04174574133528715,-1.618511230924576,-0.027220042892548466,-0.9495434654083471,0.40102959689694345,0.18648657434634222,-1.706338761595226,-0.9787101206262053,2.0328848665666817,-0.5938857641375621,-0.47239163409369045,1.6778356679338795,0.30229140239100327,0.1782584531666805,1.4215132560695694,-0.7113576270031551,1.0225596735458622,-1.727376545229994,1.8223181431052993,1.0615372797789497,2.044277004133668,0.6070020150853918,-0.5427531938646387,0.4978667593041153,0.8322693595958593,-1.8056388401088852,1.2218655126013902,-0.0072143533960680505,0.2063417618872092,0.000947684130550768
4,4,-2.586933228905738,-0.17835797659804978,0.61720304463602,-1.3292997760916003,-0.00288843908260118,0.7078800454924348,-1.2008104161841031,0.5179737308604079,-0.8560227669587152,-0.7015617839889831,0.7912011486379187,-0.6592011777756599,-0.9604743524820115,0.9014064259306873,0.008743452151270951,0.9505772880976391,-1.1324266048767122,-0.9358276728458574,0.1899249235889091,-1.9428843960224333,0.9203672317399333,-1.236873661782207,0.6168103131617891,1.0718791284262894,0.5560981454729216,0.306194409541235,-0.6668728859779517,-0.030824427107655265,-0.9111675215299858,-0.9453107907985334,0.1961564560996409,-1.1463799541434032,0.24358189433338526,-1.6444838316912078,0.8564168216563127,-0.9050329806519793,0.5463180636178007,1.357418304312275,-0.3195005155503974,1.3497939792398144,-2.809378540853054,0.36684217667692604,1.885127836468741,0.07081426203413523,-0.07637744297118457,1.8831034394751585,0.04952905662416663,-0.44895836690664,0.014194434487298943,-0.7726851351522254,1.4677145138253829,-0.4287411273991614,0.8089736877024163,-0.7780658797835897,0.7526426280745255,-0.17052190690844626,2.880339845727546,-0.9978424116088335,0.4544966145681331,-0.10434562528844285,-0.7022423906076737,-0.44112956569155504,0.3654971567099301,0.35438311636835473,0.19500927484676325,-0.8789769375845992,0.02913938279039352,-0.564893261297878,-0.17763170490287997,1.2982091692956261,-0.0200607432606232,-0.5450545363422832,-0.22532045156319291,1.9449008818881823,1.364463598355242,-1.864734590200074,-1.6229286891457166,-1.4738627394951473,2.090937077593038,-0.27971466976545895,1.2469316173752785,-0.8660743753632985,0.9628279273174095,-0.3826415479936753,0.8506021746403095,-1.8054426804573591,0.5868598699809673,0.09622897998687946,0.9958221697728586,-1.2474494360560813,-0.783147363573234,1.0516393067045733,-0.4066163398585328
5,5,-1.545549562717786,-0.7642189900719669,0.6101629822196559,1.0628695008796887,-1.00402057237746,0.4028994703565701,-0.16950175820717728,2.387465616107131,6.210384508434711,1.7267682725125368,4.155559525204785,2.146086044550571,2.003619705919331,-1.1718655117012462,1.2264338438137743,0.23754273596636094,-0.05895786975935158,-0.45594980445583,-0.44368590851843537,-1.3387466674828115,-0.9848773810104564,-0.7001887176859647,0.10723112292393479,0.7294672699108438,0.51831464757752,-1.179953145303142,0.07378570191884849,-0.5757666622110825,-0.1557334015699384,-0.9245090988026785,0.8527185390026919,0.4163871469505729,0.07188934351726625,0.3719896059804322,0.058665123228348416,0.4958099119325544,0.12019589580429627,-1.1347002056366242,-0.6450835570378726,-0.48016885663825193,-2.242779591800359,1.7708276909042546,2.047301187335155,-0.49768252364598997,0.3875043591688816,-1.1972880738985672,-0.6571593469219347,-1.031750783370628,-0.8693834615970344,-1.3284734250617256,-0.04263729806353541,-0.5193710596220843,1.060437463805356,-0.3263908819511585,1.3590514525232014,2.446363471722461,1.4340638838438413,-0.5955362108272989,0.42614394706635794,-0.6931037437311766,0.7229684634368155,-0.46157586629130304,1.7332783996312657,1.554311164320194,-1.4073030212487858,-1.5782028835562856,1.176168886227916,-0.557820337807864,0.2382375127116314,0.3373366889537545,-1.1650602765419544,-0.9463021443055072,1.7767455845030873,-0.2795685480234809,-0.13672753047780253,1.5172602562237298,-2.2325134322478783,0.2609583120025984,2.094182688476427,-2.3659531999516097,-0.7694600917017207,-1.0253686011324459,-1.3549707166830132,-0.6857086342653815,-0.20509719142620714,-1.66995245977811,1.8060678776797245,0.6113677254402452,0.5347316273725403,-0.358220925477964,-0.015250356840868912,0.2094466625260902,2.047325297159564
6,6,1.4826052716152966,-0.7341757552563721,-0.915276631790711,-1.1291097537238053,2.4281852507519757,0.7256757969689632,0.5459597513444092,-0.9631877793909265,0.2767895166705198,0.20030220426753723,0.006145102638282639,0.17178609975762318,-1.089910523358299,-0.7398590367506699,-0.9756182038434256,0.569730968655874,0.8874696151800264,1.409254981516242,-1.146635707692133,1.4999903898311044,-0.27241502788850686,0.9061763456654754,-0.7384938619776957,-0.00990634157923014,0.879546616021996,0.3013424095850092,-0.1556966986198139,0.5645271648717262,0.0391316584316259,-0.16207139502363674,-0.639725890979366,0.22238977898377468,-0.010682038065536865,-0.3504773084541238,-0.07555773127002785,0.3651232167525488,0.2419581099116866,-0.38905484735886076,-0.9968183575208255,-0.3550213994561864,0.7429587436622108,0.5832358574686052,-0.975001453097427,0.3717957931094619,-1.058684174301024,0.5856297381114891,-0.30133607493136866,0.6657178183322124,0.8814722210631932,0.4519370052988284,0.2063589058393619,-0.6511570146456118,-0.35970982227229686,0.43699063808860156,1.152625749899351,-1.464103419150372,0.9291292349908027,-0.9418793630917691,0.03024247711438248,0.40307300677731944,-0.40473366886767803,-0.7018696103465275,-0.3731159277708312,-0.9489324334428829,0.15115081991311002,0.9618327245276039,-0.20652271649974557,-0.5216568016355637,-0.37637811426697143,-1.2503203990319613,-0.6068561124571318,0.8458951769689352,-0.10369275853703021,-1.7871908921677004,-0.821219737087246,0.02779973537145356,0.08866706870130171,0.7236976649329285,-0.6092972650738239,0.6349678578925485,-1.1559346391026875,0.34484110881995494,-0.3427910444914917,0.5744053131094333,-0.5632833661182223,-0.11314746807547219,-0.18764243333253308,-0.6954708047907543,1.0443109388666048,-0.7868052304666957,0.5492387409749142,-0.26584506554978166,0.41266246402002643
7,7,-0.47729800147886814,0.031924271565638436,-0.43334253948426704,0.6523309122990287,0.047972517041378615,-0.9559274007661361,0.013404048772140202,-0.6046280820812933,-0.06425808997005734,-0.04749592930700465,0.03372706777557245,-0.41003663454317824,-0.5477030307592486,-0.8970694297080475,0.12127973687201621,-0.07801410006021661,1.3526665355299747,0.4672236076385138,0.29103525231430455,-0.08192087368571832,0.6704346407009946,-0.9990815097740786,0.37828006844911055,-0.2949983824169094,-0.8703426515432128,0.010896578994907962,1.1256409276340817,-0.35358867186705173,0.14404001164587812,0.10363061007674881,0.5743388107865022,-0.12103684605931618,-0.6302689112632117,0.15734070959824834,0.042175693684293636,1.1804601890488824,0.5579124214843239,0.20127631026787748,-0.4650568266636774,-0.15678156957334288,-0.25822348251234434,-0.23862269672946063,0.5998052399007028,-0.165860893392178,0.10146148992910287,0.3335145889080336,-0.18838073447304532,0.48686740331674805,-0.4518888784076286,-0.8149615511138364,-1.2504674784392174,1.2935677690913439,0.20710485469545936,0.09194432335243817,-0.13664246372916314,0.5636808638236148,-0.11692698056949295,0.2851637885383313,0.7946603713207491,-0.45146912287896446,-0.1601755506546684,-0.07541992608792186,-0.09843003682209789,0.1636721011444253,0.9473574643396449,-0.9864460297341225,0.05423007664520203,0.451859292288892,-0.20624868679495797,-0.2002401878378692,-0.5367681744291758,-0.5812001442091748,-0.4459091361336518,-0.6062594748668435,-0.4263234220778552,-0.758363739394357,0.4626318394614246,-0.1831330070961338,-0.4580967377200054,-0.30335653135152224,0.41872149022021,0.39597772683086163,0.23479812295428237,0.5888860497253984,0.7077973972793374,-0.6130377499072676,-0.18204952021244247,-0.21405345951158428,1.2201614441688475,-0.20412170364063348,-0.3007330122421729,0.013221678305177169,0.13461119027504637
8,8,-0.7637212875536324,0.5816670451873955,-0.6228540597931762,-0.7428111566016634,-0.23909387105316016,0.29570925919171376,1.1654896833486446,-0.8838202064947608,0.4110703633909872,-0.20949750173098985,-0.5978356507442896,-0.21834498533829277,-1.188158892764972,0.6002898634915569,-1.0733529056799922,0.8313236737022623,-1.1808816920903507,0.18953968436930002,0.15940772585900123,-0.7584596734821214,1.2551197691760274,-0.08675026717664744,0.27119999609843276,-0.4830963924534746,1.7199213221512202,-0.04758374775118669,-0.2154959970628381,-1.0014200287502275,-1.3713121319181036,0.06315727408510124,0.5164971912838408,0.34251857559912585,0.43982954592228407,-1.3748083025372297,-0.2844479786766094,-1.038852865550313,-0.5557958457704744,-0.47194734650808595,-0.10621001762869067,0.2884225590195394,1.2347269107602146,1.1699525525420984,1.297415117712557,-0.05154572597577893,0.23627127397895828,0.21310453088779516,-1.441442817443232,0.353827973010221,0.11853736912811934,-0.6554013960444506,0.38966663428113424,-0.12890465457165087,-1.003863887016078,-1.1847607504175928,1.2356196624286622,-1.4594721816793363,-0.03528796734055748,0.005316752991536653,0.16521407462673773,1.6786854987049638,-0.12083387763562943,-0.6194235858768478,-0.45101910437761955,-1.527962303576892,1.1764316298754316,0.531665679642831,-0.2945898191240239,1.1084248369274954,1.9186072108218144,-0.15472477834890644,0.1420653439008537,0.9642485861568496,0.2959165042821654,-2.2475655226511995,1.550987262170226,-0.5152594486721503,0.3951303936005679,-0.8790783857217747,1.4423857993356934,-0.12692081564522315,-0.5807695549631818,1.350507426499154,0.6640050449565185,0.9825888238675768,-0.18702780585403445,-1.2474368295690597,1.4132684638243103,0.6575803508064352,-0.6747580710528327,-0.3308965075235598,-0.18703617075767087,0.842980740382832,-0.6360866645438653
9,9,-1.2611998356626435,0.19681954716537317,-0.7010620802730813,-0.6225941686529936,-1.8499475791028,1.5986286183821088,-0.26664125732847,-0.33846626533520835,0.3000469205156278,-0.7190123153208576,-0.49748527851118907,0.34621260406033655,-0.8226603170829323,-0.046971136872687065,0.7702094616111828,0.744604024436892,-1.0070653186937564,-0.9010628573331907,1.7839491057730414,-1.2243990904516089,0.25821244885886746,0.32158717988275365,-1.98751433547463,-0.5591689607760523,-0.6021039262441339,-0.8755775994338085,2.003994544114111,-0.02786058264507715,0.21821512251790556,-0.6553783948427091,0.24641794009645987,0.6324001913659922,-0.6703370888248318,-0.9436554113353656,-1.000603065517385,-0.7236283396945667,-0.8626109635999973,-1.0055048603821461,0.8768746187841197,-0.6148668513166644,1.758176941774572,1.1074219395505214,-0.8226062225141701,-0.5994848218168982,-1.1228090750203024,0.8252866772213727,-0.510951157338282,0.8424595103242349,-0.04602672822107383,0.03104575589871413,0.1603687431265049,0.3646125328536924,0.8666198339969846,1.4626477062779377,-1.2322704773432906,-0.8955151536039512,0.19851803785165173,-1.2188014192306944,0.9096936462835324,-1.190520044279601,1.103257746569031,-0.21577462052071264,3.111991114796085,1.4812271177193759,2.1831482790620718,-1.3791266849269042,0.4148892060518639,-1.1376758398985767,0.15830774927813535,-0.07102798444532615,-0.9420604383941379,-0.7214038602443821,-0.2609938477182114,-0.016382795531077278,-1.0078300094214445,0.2512643028763236,-2.0147856888820175,-1.9065440527750679,1.8670383092953986,-1.8936643889792233,0.61668262733474,-0.2952440971554224,1.5659914208466759,-0.00403327571445786,1.2147857856406985,-0.9422906384676751,-0.41582882697645523,0.8759411169932121,-0.18235975656293613,0.0002025709466720168,1.466543096027431,-1.337875797741848,-1.183405886032946
