observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-0.503224944047739,-1.480461747588326,-0.7284986918876235,-0.8098435413381521,0.04099321959811464,-3.6922284231209304,0.6229504026085833,-0.9344877828330758,0.20177924855772034,1.2398667624824249,0.9891625858773994,0.04744575050523325,-0.8516682685547523,-3.7915651363849228,-1.173059473676379,0.7155699160324924,-4.2502197189297135,-0.9161283108613398,-0.7023997283054997,-2.036248834341917,-0.21492896595425104,-2.151690554168264,0.0410390379799217,-2.524449778834757,-1.918509441568331,2.2830169785386727,-2.7377515050908983,0.5424733644283148,-3.3343542326223155,-0.06388196658242462,-0.4787618340415693,-0.34355580905760746,-0.791504595859591,0.3717043032440621,-2.531262619244095,-3.199551215782801,-1.9462445578098198,-1.5831177899992044,-1.3952326337880656,-0.9547633928393887,1.3116378186155124,-3.4236671462402866,-1.8816645341287426,0.4989814907227104,0.5692918160510221,-1.065647965735926,-2.4909874878752927,-1.2427125645315638,-1.2881883754013606,-0.8353216181540337,-1.3197759276124512,-2.451368269891716,-1.2564067985320189,-2.273857921444077,-0.5080919354044245,-2.0500774359101976,-0.7481379477167086,-1.382461014752458,-0.7230759379599454,-2.391093456367899,-0.8978127208398249,-0.7304123421193287,-1.2063304180654493,-1.1236809262900949,-1.8302055740878396,-0.7214992858405074,-1.7144386207788251,-1.2704463887685504,-1.9418097466449118,-2.461098874686652,-0.9639374160558465,-1.5502766127465892,-0.915102410972263,-0.6366685836943833,-5.570595857840818,-0.9758108300394986,-0.7415868202414808,-3.399363613946463,-1.1038594045928456,-2.7990303206277676,-2.7096650796912156,-1.5041743139382375,-0.7019055982218458,-3.311808664347439,0.30651738270396134,-1.0412201074622285,-1.1215405819574569,-0.5238392381608103,-0.6572890382811765,-0.637672796723191,-0.7237096137792327,0.2611063176944901,-0.6474469917879657
1,1,-0.20390641710181434,-2.030436795001177,-0.8386658163607092,-2.1157502826807426,-0.15098856168931585,-0.7345289923794875,-0.17572341885082032,-0.8337484915120831,-0.1329434996455494,0.7183203704145313,0.5247109869324018,-0.28031152236042933,-0.635519241468394,-1.586227047000299,-0.3668837943894838,-0.620999743137219,-0.6352668460008064,-0.6615587427906253,-0.7046379003439621,-1.2139238398253447,-0.31017841053077144,-0.6858914519437259,-0.8995786664779968,-1.1362247782411377,-1.3239096237014727,1.3361532132582343,-1.17936506377171,0.006004535053822924,-0.7902548601921834,-0.7367077790354606,-0.7966345033602009,-0.5519929808305472,-0.9061736367023958,-0.4068390999573466,-0.690244076044622,-1.078734088534226,-0.6608421765043828,-3.4267106644207317,-0.16495463507433072,-0.41016407863724513,0.38516831406909713,-1.8446427968417658,-1.8904114362680322,0.41357948694219115,0.05778535022427467,-0.8156985931217893,-0.836793001067717,-0.3641528950395345,-0.6785772701576724,-2.1828447530029775,-0.7326048656481365,-0.728995537533997,-2.029044490026996,-0.7946636016975324,-0.5371387355303987,-0.8401372515414653,-1.2559482084010987,-1.317642890284996,-1.2777563081401109,-0.7785238412889048,-0.9227988587464502,-0.9484068198991056,-0.31593646182350366,-0.6789011606308988,-0.7614134499409382,-0.7756459360608756,-0.8607714072321796,-1.265717198383348,-3.8452301896397705,-0.8317956070707451,-0.7309461146683627,-1.2602215229875608,-1.6925631896546265,-0.8945205332773611,-0.8066752871353873,-1.305435049146661,-1.577264059794663,-1.4065272641291702,-1.5504324780263263,-0.8134913177336931,-0.8421028216581069,-2.1894140839710645,-1.3825050303342952,-0.6883646507217681,0.10253660096707362,-0.5421934422619787,-0.675656289404813,-0.6181396427127271,-0.8637220245725117,-0.7043300923044387,0.2094483810844152,-0.14591506441082602,-1.1882466642034202
2,2,-0.15742331266202747,-1.0905862453378015,-0.8460453468226679,-1.34234630469168,-0.20216554578226598,-0.572336960329394,0.2254212461975511,-0.6073308110560985,-0.06665384781813088,0.8798315984560467,0.641865395039559,-0.25389251298360493,-1.5770314045092995,-1.1288845254674424,-0.16986949225399717,0.30337574857819805,-0.6318182672021583,-1.0856431975310807,-0.8359706938710645,-1.0441259157027778,-0.47036239502057153,-1.3601701289255157,-0.8903308026015941,-1.0009731459566353,-0.9616764096564197,2.044304445114035,-1.05105541583075,0.19385276176742616,-0.8014241518203737,-0.3756415900383565,-1.1987827618958693,-0.614867004755822,-1.1288941805558195,-0.1280720899910821,-1.0092195990367225,-0.7543193690927696,-0.8514727310943806,-1.5770665575871319,-0.24804344889222918,-1.3323987029240176,0.9763397100733175,-1.09872808095219,-0.877278610797368,0.35688674663847825,-0.22165401460225875,-2.320567597018224,-1.4310155836499099,-1.6668054884943464,-1.3646055397596042,-1.563485718818276,-1.7101830486834713,-1.4606987555071922,-0.7078887460172273,-2.6139480591394335,-0.8731473055482046,-1.6765523265454314,-1.039441612936431,-1.3042365636379971,-2.2749406069251386,-1.015963212764336,-0.8230955178905042,-0.8534724384787875,-0.32144678021022655,-0.7657609112637256,-0.6996942574304181,-0.8750311371812332,-0.9905132182157734,-1.767227586492763,-1.0173568160932493,-2.32308184906214,-1.4073053037301597,-1.3705784142586044,-1.6185191169089448,-1.3604131664363246,-1.3352058123795119,-1.0765770351127202,-0.7330508932566189,-2.770148693293013,-2.0045555270272386,-1.0159116079294783,-2.6730480745952967,-1.7132519148721999,-2.3196826191224593,-1.3946201438884196,0.13615162826671323,-1.0402039926211515,-0.9610184503164362,-0.9095129570164813,-1.5984753894370445,-0.7475680861151317,0.3912262308661676,-0.11562584237378726,-1.8152080247663172
3,3,-0.020956880204543893,-1.02184169534067,-2.03480804262728,-0.9292156836274901,-0.5415739248893763,-0.9929706204736622,0.17670642260018754,-0.7720187673972465,-0.1614311593280171,1.0397934978987422,0.8792455487350481,-0.18272547046005272,-0.8671398883214949,-0.5086337569863546,0.014667845577490901,0.20340025423465846,-0.7057933440062687,-2.9824796712363644,-3.90637871821979,-1.0191693884548385,-0.20410412979384973,-1.0137475794173898,-0.03555728363964916,-1.2045781865991707,-1.616122862757761,2.3486281831698284,-3.7033091319586,-0.30879934736776704,-2.468355746200336,-0.13426017122908096,-0.5666571990461482,-0.38264276952125553,-2.6953341266168747,0.35181641278077125,-2.5466793142446362,-1.0912493086183561,-0.8328464710066208,-0.8274031044221248,0.055586059858381276,-0.8220134349746734,1.0306522802241251,-1.1450357911888251,-0.9670818245113733,0.03678049907590941,0.2418572734039217,-4.491426441653925,-0.9061981589983722,-0.24652040955816457,-2.249058003533766,-3.316729427935842,-0.9041120134803227,-1.8484576477342047,-0.8557674732942054,-1.2334154446634,-1.4419763926528524,-1.4110453869974324,-0.7757101194290974,-0.7636291980334495,-0.6024385998046455,-0.5827508339225089,-0.6344795332588927,-0.792626024854483,-0.28254806595856774,-0.8756671623215337,-2.3750340720292673,-0.5708485850705389,-1.8022753316415805,-0.7661184010883265,-0.7354899787551417,-2.979503912434198,-1.441034135835687,-3.7114787039914368,-1.2429076944140136,-1.170249864520541,-2.183598237923606,-0.6974091021972664,-0.5780171748414067,-1.9754938395332877,-1.0779782369573772,-1.2524567942221172,-3.1237788724992424,-2.6175036272677374,-1.2955559423065368,-3.5626206771561195,0.15067729806313102,-0.6378060497343063,-0.7414366051524547,-0.9247834704857285,-3.0349726483785293,-1.588147402036641,0.7533845054530852,0.12216431276313866,-0.5712604335168405
4,4,-3.4633227373022972,-0.6759236289781742,-0.9327228948479037,-2.4113698130851544,0.1077530292131299,-0.5609922317776865,0.03299609470328235,-0.8414303764279891,-0.12113790103718158,1.0953709612996967,0.8945192235512147,-0.09088047038661662,-1.019328441724057,-0.9231417000907403,0.15412194195554907,0.3095348168891139,-1.265865103772878,-0.9769497605297555,-0.6808354813448484,-2.9991217158427337,-0.6054810574381662,-2.104422704168522,-0.14119237730853218,-0.9500382673567387,-0.5197823371061796,3.342861918727337,-1.081546588120319,0.5871315618734418,-1.173918852158518,-0.5361087255965664,-0.4524109088745541,-1.2692001012368346,-0.7400298401149743,-0.8753875029048981,-1.1546257048024469,-1.0336787611185905,-0.5977913813281586,-1.6608947607073987,0.320351009112386,-1.3925402720431213,-2.5364424919365818,-0.8154974728152637,-2.488955510000223,0.9840022456251423,0.6451302939620887,-2.599239333487029,-0.6539517770201607,-0.3014014478265632,-0.36329818254914525,-0.8362686813764131,-2.0548853838677448,-0.7040209841614985,-0.9590774266387861,-1.1863130740920294,-0.685743714921129,-0.4795522995922159,-5.330304247435091,-1.3474846291512916,-0.6989603039805262,-0.5188197025681833,-1.0153245287470396,-1.1103917803279373,-0.15919571163058155,-0.7878054945181457,-0.5649723153896358,-1.0820114386192492,-0.6098836688905742,-1.184434825382323,-0.8568663520292623,-1.608440997195995,-0.7919012338412308,-0.7039045113094515,-0.7421385517465307,-2.3062191453823817,-1.6964639937045023,-3.2306535152701876,-2.634747626056154,-1.9971410466793669,-3.7198764185333557,-0.7963946919591314,-1.6219659363791883,-1.5883560532977663,-1.0913558455764585,-0.7246052535794694,0.1316710656535065,-2.1825040399330895,-0.7413916252329065,-0.47086881505741696,-1.0824062761018927,-1.6162664316232105,0.7841652574498172,-0.2794238485299845,-0.638164572645564
5,5,-1.2434557890286957,-1.1793638141571123,-0.8929408087562994,-1.328235691514125,-0.5093700563322301,-0.36921935933591254,0.6743707658633906,-5.2427481274504375,-20.908739128890407,-0.2506048593524248,-7.634858970280082,-2.5208566449221204,-3.01988044715752,-1.3092546557124134,-0.7261043239420055,0.6666850438620937,-0.4434407582297062,-0.5209564018604946,-0.9534708155473799,-1.8326337431923738,-0.7491597558516843,-1.1699498625647105,0.03674687860339709,-0.63331441963127,-0.5034024000739972,2.2934620353500637,-0.6478593854970239,0.34367883092587626,-0.6196209038207556,-0.571457629407488,-0.821255954342078,-0.3274338032535697,-0.7283360103073685,0.43659210760011646,-0.6214764361635405,-0.8339798459726953,-0.4575260035293338,-1.8806450409652375,0.053048767392578355,-0.4867436681683801,-1.2160133639475854,-2.468284364052624,-2.8784696394974096,0.7029458779511946,0.5124160277536585,-1.9180588856839051,-0.9191742947830578,-0.8532747772691953,-0.9451955501735181,-1.5833572876735773,-0.5849978569747902,-0.8232673690633239,-1.3526489009211191,-0.7735224579997095,-1.4633118203860533,-4.292183360125359,-1.9463254235194345,-0.91542630736636,-0.6166156277138395,-0.9776354646891994,-0.9047491759083064,-1.0362399500747925,-1.8779130892924096,-1.9965542110417187,-2.088099511488218,-2.2437464004001724,-1.3370353218333086,-1.0313038861882329,-0.7373924032968492,-0.7690369830134149,-1.927827520797667,-1.0549703866195048,-2.4860481182651224,-0.4940463689654716,-0.7143323991024348,-1.8520616653975333,-4.037854992378109,-0.6560485709104277,-3.6797372254168117,-4.522437632178029,-1.2345983304060129,-1.7343107378083866,-2.1100988044650832,-0.9685027411936583,0.40588944261903004,-2.04833887629215,-2.5758236931462593,-0.6926970391005145,-0.7377768378915197,-0.6913561110876525,0.971704889065168,0.22024718229179863,-3.256061219155905
6,6,-1.1614339863326464,-1.1705288981912676,-1.6494473590364884,-1.9174433298147178,-3.225893556913443,-0.6074291987998413,0.44810393041219765,-1.0820516052791747,0.09117120605015083,1.1082781745990928,0.9678199972964965,-0.011109415618363983,-1.2227791977621894,-0.8007773287019829,-0.49137180499091193,0.45826320335453685,-0.8857686076861269,-1.5785695388251386,-1.9109679413323053,-2.407978612514115,-0.2270627215568226,-1.1015759858436975,-0.3223432446406027,-0.4120181142821518,-0.7646785954466739,2.5976683948147423,-0.7407652933516398,0.31897448706216913,-0.6157121868912148,-0.12236236678397305,-0.9362961459487893,-0.3074922946821625,-0.7382168564461273,0.37389499807571935,-0.6270309270898466,-0.6932633742403528,-0.4995488099331616,-0.884272720596751,-0.3604824023119271,-0.4473216679435619,0.974974548926854,-0.8968584613016184,-1.6299573738586899,0.710767609933689,-0.12854723259772527,-0.8317362291054158,-0.7081893176246485,-0.4535973974627535,-0.8843913855197822,-0.7517791273030247,-0.6407319751470273,-0.967314547275979,-0.6516907732248636,-0.739535137135153,-1.1461314580526178,-1.8521208541647007,-1.2636116670769724,-1.2926415488138583,-0.4787598521504986,-0.5792227615332055,-0.7308020937710137,-1.2035837818898014,-0.25372012349996753,-1.8039364859288702,-0.5961011266596417,-1.134904991018486,-0.8251293207145244,-0.958530788285966,-0.9055303524292229,-2.0449038802249535,-1.0427199261570534,-1.3351225914766784,-0.7832235655602487,-3.0324535473711993,-1.3633597392613863,-0.6584135043512422,-0.5377891912698355,-1.0352440747847471,-0.9900161242629801,-0.8856152883130692,-1.8753595466867372,-0.7584610051587857,-0.7497824206528659,-0.9137991886403645,0.19103384108736154,-0.3407945120053766,-0.6446802736436317,-0.9329058766731109,-1.193328094612552,-1.0666106364719297,0.7059875902248742,0.14681429279096614,-0.6471092337722274
7,7,-0.7343203823599698,-1.1205564831085681,-1.469671299267251,-1.2039361729892313,-0.5368449510332658,-1.8172481703396701,-0.5166281388602258,-0.8052694332762518,-0.6016550096814051,-0.0601386928143306,-0.20786998863137818,-0.9506739538453428,-0.9786456770890476,-2.3275460446001492,-0.6962710852533172,-0.22372416171377152,-2.6853153525791775,-1.2818187210669962,-0.8575296725377339,-0.8692745795213985,-0.8292084668143984,-1.6383560866321996,-0.6060405592263995,-1.0247715513809401,-1.8656093467642818,-0.65927679421461,-1.625058573601248,-0.2505409646923398,-0.8857868318266947,-0.6283036608911148,-1.348597123712344,-0.9697475118942502,-1.40290160557793,-0.25090948209431163,-1.0062109708752225,-1.8830267323549688,-0.9177732940127834,-0.9156363959377685,-1.4793229108136643,-0.7134017232337178,-0.06318561127103539,-0.9363219507311413,-1.3235141924192138,-0.482760924799681,-0.19697827141914925,-0.9251957554755209,-1.1654191953783963,-1.1238846929643316,-1.051615970225864,-1.706569091907877,-2.5713890041207037,-2.5653720745519113,-1.1045514456506966,-1.060539343037564,-0.98823375692891,-1.2202177107005137,-0.9865198424906465,-1.3026160238958526,-1.292921372128017,-1.225035278693023,-0.8317604287216911,-0.9164328272145424,-0.7193360721816799,-0.9310914160872046,-2.5208769443677967,-1.5551833834804927,-0.9249722077379698,-0.9537732974786914,-0.9796849288152301,-0.9206500207726775,-1.0688068866123308,-1.9309204240221045,-1.2951394360772142,-1.4498496462427148,-1.2248768309217108,-1.9792831795786439,-0.9376379425437223,-1.055514634642143,-1.2640786630365186,-1.1444204695086198,-0.9793006511483022,-1.071805356439489,-0.9427571539415515,-1.1273693175141752,-0.62758972734915,-1.5816400691942891,-0.9907520354126712,-1.318253616488807,-1.8125819148271711,-1.0918504573029706,-0.43813875567555405,-0.5210793840741157,-1.1160075115430197
8,8,-0.29507797121256196,-0.8352476695196744,-1.2217305166199317,-1.3314934185867964,0.03741780247665316,-0.33905133003065735,-0.07352565606333572,-0.9929190188868621,0.050173927003988705,1.1167673720231157,0.7900692465988968,-0.020946126508248675,-1.3623540960555776,-0.725228950778513,-0.5986257640292632,0.28109767584087786,-1.4921261528447882,-0.3773308637441557,-0.6942149147016545,-1.0620923966716416,-1.0119895605657516,-0.6911530753607982,-0.030485700355640688,-0.6133652560002412,-1.8853257773866938,2.6898913072332,-0.7661187854548079,-0.07126455122673514,-2.1975811177229834,-0.10396259624953497,-0.6109923145368572,-0.3337060209572632,-0.8114913466938833,-0.5777257842385985,-0.676528672884832,-1.4039545467946843,-0.7707148299371995,-0.9550887762112946,0.1796729595165516,-0.3617288757103947,0.5075920008403261,-1.4729828527992095,-1.5472625349547884,0.764633027286101,0.5018146300723116,-0.7045909492233325,-2.043007044719107,-0.26264748815624417,-0.40879105594614384,-0.7940155155194257,-0.7165820700008463,-0.6510349874805331,-1.2532563014615021,-1.776042963714765,-1.2659964469142948,-1.8432279847603896,-0.7403087434308382,-0.6754945063370025,-0.49690785746590455,-1.9561605740221366,-0.6055445279655103,-1.1225662896559174,-0.28812532590772966,-2.859406269699964,-1.423873027781875,-0.706624466711634,-0.8735311530431855,-1.3421863595919659,-2.7366414501065695,-0.7746316320848579,-0.666380202145707,-1.4851703205979199,-0.7570860419377232,-4.142326230167519,-1.9763613977825107,-0.9379910686687047,-0.6033614241452779,-1.067131260154167,-2.1938299566364634,-0.6613175251463954,-1.0619715721530951,-1.7210087892121466,-0.901062262518656,-1.3994847789995486,0.361293353030923,-1.3531323590123965,-1.7961200282022098,-0.7489055951606018,-1.0404772446962018,-0.6939123312212682,0.8483771926937229,-0.1921161998081411,-0.9003321150982929
9,9,-0.7315977142231898,-0.6949219518757571,-1.1207972166831683,-1.1691146242392374,-1.9484412920696614,-1.6766980162790923,0.7561246921142724,-0.5970088817048275,0.21301459164667635,1.0818062053363136,1.0620232453709222,0.06176574453531414,-0.9089998178865244,-0.4245865987155273,-0.1591731193259549,0.48685422378560483,-1.0470557640773934,-0.8464028139751996,-2.3281298667457735,-1.6054910906805346,-0.1451537032095438,-0.7528690076105347,-2.187386662272149,-0.7048836424242326,-0.6696149732692762,2.9812990150904715,-2.7763248949660815,0.5795194899542331,-0.5779447094433294,-0.29148195326942794,-0.4404282565606051,-0.4014594740066449,-1.2963654723249936,0.059782590564263494,-1.2832796941706253,-0.8834500590422416,-1.1086194321130378,-1.866001622869267,-0.04041793894691992,-0.5894122206776888,-0.04690138482284789,-1.4297461621935885,-1.4038703439604046,0.7665696451937066,-0.053493942316813925,-1.0535920869684914,-0.8286628274031091,-0.47968670607550545,-0.3505011280148813,-0.5385519504428999,-0.5672103351246229,-0.7212533151674118,-1.0911326268783048,-2.023898236258045,-1.2245274605756817,-1.077112319468502,-0.7646838771301552,-1.8009365930340082,-0.9803035041608275,-1.663461682400073,-1.4968705206183546,-0.8353062968022966,-5.592045684367983,-1.961000283569112,-3.4923156010973506,-1.9455908622407967,-0.6793564447267835,-1.8364909374286729,-0.7346784679062057,-0.8111421311313387,-1.6719858833046581,-0.8779851881843881,-0.7551510282705325,-0.343428244305507,-1.533965030047311,-0.6466300109303464,-3.691475903485368,-2.9502774557365488,-3.211296318719821,-3.4565729919145527,-0.9264233412070317,-0.864709750137884,-1.8873308651071592,-0.6585419389445618,-0.2628872887818776,-0.8369762413722588,-0.7001948574856626,-0.8969051432017636,-0.7859984815191137,-0.6009663688862353,0.01334842910678935,-0.6995682174074784,-1.4220218535462226
