statistic,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
EXPV,0.015661097285325942,0.05422859282899439,0.1011722105403553,0.07144897512209059,0.06261889290931488,0.10711339743261317,-4.384183538122179,0.16966940423291055,-0.6299466704201533,-0.10217181351907456,-0.6636981249896567,0.012875750035931444,0.12829160960546526,0.1276514027215736,0.029074461751109726,0.03934006198777806,0.09565974097863661,0.16936039735093078,0.059604815193090466,0.06846818570904079,0.08797063290184726,0.09148755470070957,0.05108553731405696,0.2408117277139512,0.20974216566595127,-1307128085719883.0,0.1669782890427539,0.06077959634708818,0.09120103772035848,0.02233484333894764,0.13000139745425487,-0.004984763426940209,0.07214845098803457,0.0582904915946133,0.09844255173196281,0.18790193622093043,0.10368971929792803,0.16268131730659596,-19.3462197640497,0.09200289842682619,-0.2780265878927928,0.10079422318428055,0.12738587063716422,-2.3581660262395934,0.08065151147105254,0.17358125470640196,0.1626769118648267,0.23316308507057337,0.14494022936286244,0.1934180071232796,0.0720279827740482,0.0839852212604476,0.10746238522160201,0.12568603572926773,0.19148107583772855,0.2300734055538015,0.09770857802779231,0.12847789850627012,0.29492639693008493,0.13530933035470283,0.1935438789335141,0.14415890056462632,0.027504648566886725,0.20796519238764588,0.14721468991905728,0.18917602429002278,0.11475696663692347,0.09564557012546404,0.08567636304653048,0.07215639435231103,0.14401417820105356,0.18544058649828865,0.15446905205693884,0.22880565267643826,0.1033436600801454,0.13402353240246845,0.06974813066676422,0.257819480804629,0.051092474201317684,0.14929159311608453,0.10559094722254159,0.02938912324690035,0.17441150701387653,0.046722308042376315,0.044778349895627234,0.019800062121494655,0.12449650703624549,0.0816946302458399,0.15035197327185157,0.10660165837879254,-0.013796651487268718,0.04698898334664703,0.163370773893879
MACE,0.018339264531435372,0.011221826809015439,0.024199288256227757,0.015421115065243166,0.025693950177935954,0.03274021352313168,0.08903914590747332,0.03712930011862396,0.10510083036773428,0.05131672597864769,0.08856465005931198,0.03850533807829184,0.04139976275207591,0.01062870699881375,0.020237247924080673,0.033760379596678526,0.029655990510083035,0.04365361803084224,0.010747330960854116,0.016204033214709396,0.0269276393831554,0.0063582443653618145,0.03826809015421116,0.010391459074733126,0.018742586002372483,0.054875444839857644,0.012170818505338092,0.02142348754448401,0.01525504151838672,0.011933570581257427,0.007188612099644151,0.04270462633451959,0.014543297746144731,0.026168446026097282,0.0202846975088968,0.016678529062870717,0.021897983392645315,0.022135231316726005,0.02830367734282325,0.015729537366548044,0.024436536180308423,0.00873072360616847,0.018979833926453128,0.05890865954922897,0.028944246737841035,0.017437722419928813,0.007425860023724797,0.02858837485172005,0.007307236061684477,0.01672597864768683,0.022135231316725977,0.007425860023724806,0.015492289442467383,0.011221826809015427,0.008374851720047462,0.025029655990510075,0.020237247924080663,0.009845788849347576,0.006168446026097252,0.007188612099644147,0.007663107947805464,0.021233689205219453,0.030367734282325032,0.01762752075919336,0.010984578884934768,0.011340450771055782,0.008730723606168453,0.018576512455516024,0.011221826809015439,0.016915776986951375,0.0092052194543298,0.011862396204033213,0.012763938315539763,0.006714116251482825,0.008967971530249119,0.009679715302491124,0.013594306049822064,0.013048635824436536,0.02498220640569396,0.01833926453143538,0.009323843416370124,0.014543297746144735,0.01803084223013047,0.012336892052194515,0.02877817319098458,0.014590747330960847,0.014068801897983402,0.009561091340450785,0.015065243179122173,0.009442467378410462,0.05226571767497033,0.05148279952550418,0.01240806642941876
MAPE,0.12616301501390376,0.3712161841778802,0.2768562984417709,1.2113233880497245,0.9911062502095727,0.09620944486772313,9.805945503009402,10.61807115300545,4.117260339839623,0.4354553210693299,1.2147002640829438,9.31377126457966,1.8691578930819335,0.10442956381244405,2.707016464697842,2.4986054593359577,0.4239412234706737,0.11280797435746855,2.1089928971022025,5.73265794617506,1.5354413777007032,3.1642982993932427,0.12120651761386604,0.14143201179904816,0.07811738440613952,364253939.3077969,0.5551839419347135,2.927053001004877,0.14859218789786263,1.4422676793919738,0.257637700476898,0.4390598825233697,3.4355329151264997,0.2737629395275768,0.34713253687620976,0.37485855418104724,0.34015214814847605,0.4851947225135888,0.23103216342998664,0.11891771154717032,4.260705370058345,1.5104855996013906,2.83188339580171,7.262099180082088,0.1275544777903216,0.12006463493866242,0.4136381041171575,0.306743640473145,0.17336850695267556,0.1383006901710191,2.702937901541182,0.1453416783634386,0.11737176770675847,0.9257569906817674,0.11225594952285407,4.665745706823178,4.15494353019399,0.31110287913428164,0.09624797128382939,0.14916613637015072,0.12252313395751926,14.475146301975325,4.346195834137396,0.5276005757835207,0.19595793156539798,3.157694771200776,0.1720941016590348,2.860814689794683,0.22126152200933172,0.24818029829153693,0.38422670581830487,2.882413530502861,0.5384628562039967,0.08892635823065625,0.24326280220287286,2.942461456739278,0.3306575714188964,0.5685499637024575,6.989144575421158,0.4495708770760193,0.27373087356619247,2.6489684944243224,0.38694464048748806,6.686912663144784,0.2347840267840169,0.20751689979257723,0.26145603601905343,9.398295536873567,0.474443102994669,11.476296187641156,0.1310436163147697,1.9605388629863783,0.05455825466176928
MSLL,2.1028434941340355,4.2619984501819586,4.44556899835078,4.4073184302246835,2.5019311213868116,3.4457173519242255,1.3635967986565407,0.6464795360962381,0.518164876852046,0.16370804784623766,0.3262651132907114,2.2580963481699405,1.4050121108320481,3.9356910866297836,1.621099064932799,0.9996252132181201,4.309399324543745,4.024631017119924,3.1918775765612155,3.4258131508724787,2.216527442796745,3.8366988713673313,3.3980949215987133,4.096084701583129,3.8256501396070615,-1.7401385976317085,4.330261012649933,1.6424468191017305,3.9726007198028865,2.8591858481062973,4.259985099014255,2.5528551184376336,3.8081401499396437,1.098054645089614,4.030832556533517,4.3095217063627524,4.004857737519775,3.1358936223231746,3.6211518813281875,4.127114147729766,0.5961696225563251,3.785587940303256,4.483331786638766,0.6661927289353733,1.5821953251089416,4.862144659969969,3.437065853318444,3.7530467123038216,4.820081202336524,4.3072964540538665,4.907548728564974,4.846557573126721,4.954359424321786,4.457767795786384,4.696696425450316,4.611792901186291,3.915227194320167,4.295521742246107,3.685417249109828,4.00715777334033,4.545731098926011,4.134976728476037,1.5777149214663777,3.4457511741421953,4.551673217459263,3.3746114574367208,3.958057530314659,3.64569068152373,5.20503489614143,4.259710774577985,4.279185762507678,3.7960619816379593,3.8870631420717108,3.64806539081034,4.173660176354051,3.9506631193905957,3.3835371149707845,3.4690603818088097,3.4929673976588056,3.6045540952125434,4.095956367037207,4.341935604236073,4.080300464424782,3.994555869420994,3.0726821604667065,4.170977999001332,4.333292031901001,4.661965337532309,4.994618759028436,4.246518906435497,1.6030858906062444,1.7726966218304465,4.608205892443092
NLL,0.5991054199117173,1.3528779017644479,1.3336181749525986,1.3701246293455154,0.5479900120541458,0.9774595579409627,0.13817284855288003,1.166427414238003,0.6244659060049127,-0.432514603069399,-0.24290034808924665,0.6591097302097685,1.1560454450877782,1.1565823474096082,0.588236495036905,0.04374934720628741,1.1115169993454006,1.0409447495301094,1.334677392177763,1.395214179619949,0.7803464680650944,1.3152578092726546,0.6217151327130174,1.1138015424954522,1.1073975917691885,-1.4918114589504825,1.2951028821839752,0.1561696289846852,1.2880582289405142,0.7643762408871316,1.2355730406554701,0.9577434942908856,1.3803483709970905,0.15048530599763033,1.3157251619422068,1.326392651679123,1.1433150434569344,1.3855043185845934,0.5384553365297224,0.9651191364564201,-0.4278633606164512,1.364841411089334,1.344203682936473,0.07633175850351966,0.09393270249651706,1.3443760225780284,1.3518529373622699,0.9477933568500431,1.129473549178979,1.2665356503375265,1.3075891351994813,1.3727352874057999,1.2912135973898817,1.3432505388616356,1.058104164485162,1.209672666254491,1.366558528879026,1.38371554594699,1.2269865739780164,1.2135020824816596,1.2971976085197288,1.3545378600339464,0.7789739119669682,1.3064858814389202,1.3065588626655544,1.2786777975306376,1.3287211297535844,1.34245527601429,1.3861353245301107,1.3985050929311056,1.3348239538335211,1.3074871751331223,1.3781535597085321,1.158965953526439,1.3547016517410462,1.3510340561197045,1.2674632239882488,1.2948213811185219,1.4263263556714922,1.3004078832200978,1.363247635329063,1.3965847589103537,1.331886581671803,1.3747904958854213,0.248364314506265,1.0738035016703504,1.22786460880541,1.2154077490298822,1.3151603274822097,1.3463311942562126,-0.13405174362446,0.4251295251814657,1.2243202186843416
R2,0.014408470668033302,0.05379527024806319,0.09849703183439784,0.07024460888710837,0.06218104930154944,0.10705924669230538,-4.384525752584967,0.16948452181367257,-0.6301022172520852,-0.10279699374977902,-0.667313305746903,0.00885188427606709,0.12728369426816233,0.12723635237340103,0.026579787558573487,0.036894687967992335,0.09252467282765586,0.16545025818290526,0.059588964404549194,0.06842034435112243,0.0861925124574896,0.09140265374141165,0.05061387238896253,0.24077596204417673,0.20972855485302522,-1319669483675781.0,0.16637369602328045,0.0596236417081365,0.0908404479969237,0.02145098885022023,0.12912219645137346,-0.007295612842726618,0.070865058034148,0.05703411766049893,0.09807174576131072,0.18785559716529343,0.10290696027464907,0.16183349977830241,-19.403364476921823,0.0916899989212222,-0.28417822820762173,0.10005338122706842,0.12602662422359834,-2.4449595172835643,0.07905092177213546,0.17220841741804094,0.16266221187749585,0.2331242533877277,0.1443513395318361,0.19294469227866307,0.0720132512618582,0.08371260729193186,0.10500415095033144,0.12521989290634772,0.18957430759463645,0.23007324949761787,0.09487980680944508,0.12831197728686128,0.29478876290906686,0.1351448372202383,0.19323477596434435,0.1428764680472765,0.02517052837151179,0.20625150300858286,0.14703184173503991,0.1891515421566755,0.11400532341075698,0.0950820417290611,0.08472325109088519,0.07139652785471218,0.14364882965266823,0.18524222103021826,0.1508852491736855,0.22746095141065847,0.1024579585089751,0.1331356067811993,0.0697467869699917,0.2577794866758316,0.05109156814839777,0.14836602116426023,0.10454902675841415,0.027229658509434596,0.1733900296218842,0.04649955472282441,0.04362630048919358,0.01817757081287308,0.12322742645781193,0.08078911225403318,0.14996907063983944,0.10646660215877646,-0.014623559225246607,0.04491560072036249,0.16166835035091998
RMSE,0.053400602636027764,0.01283336010595351,0.01022688411463818,0.011192076482644317,0.033207523243957135,0.01937418342996096,0.16487002149098756,0.3708917597941731,0.34358658138726306,0.139982712373165,0.17684224259714643,0.04868565753978096,0.17622784112182682,0.014036523566963105,0.08498582410740081,0.09129943711235199,0.009415807917163201,0.011186402885871893,0.03663109418783114,0.030654546421777895,0.0550129214464156,0.018531075145655253,0.014679722423612651,0.01068461014281001,0.014194787253624727,11267887.906479249,0.010619305183684497,0.05308009527086006,0.01574711095770678,0.02946387497675532,0.010971246371719876,0.04927119773730618,0.02057906545478759,0.0910933512144048,0.015212222244394322,0.011041370048880129,0.013104768900558506,0.03848075271199291,0.05009744993399782,0.00976433987209731,0.0984789937417809,0.02039643848658829,0.009799545028452176,0.24898978013011044,0.052424752524279396,0.006530941896533968,0.027517989925180737,0.012817970675932207,0.00558598832449078,0.010390317917096997,0.006369291504242918,0.007179874128430894,0.005872044205801782,0.010048346801992805,0.005726626839732306,0.007070750039512248,0.017998786039352316,0.012284627744363577,0.017387596786244304,0.013770993241224393,0.008439490729393952,0.013891696176742385,0.10748264301333335,0.025382428464991284,0.008707509901083281,0.026790464862905674,0.01642752327855293,0.023003027636838685,0.005081735176060965,0.013337429516303291,0.011786061052462358,0.018134382690050833,0.018140131475880415,0.017649032162986487,0.013678299005355162,0.016739167299875086,0.028123165335618018,0.023701143572666512,0.029843116693972525,0.02229519780933395,0.014893041800506074,0.012549267187588847,0.014086145215712139,0.0172057508342853,0.014044005194733894,0.010831622250874544,0.010151642356855037,0.007390085491408102,0.00563004279233456,0.012582956636319963,0.04290283658421609,0.061452951515472996,0.007513942729429107
Rho,0.3548036352530542,0.21399080724083847,0.28867639199622114,0.21891213854203226,0.4910632297659801,0.3706689980512013,0.23719273691351897,0.29383700239259863,0.1184533387517975,0.4531319997055074,0.2945243826973431,0.254056179279346,0.31844791546444806,0.32461503843667366,0.18805959757187327,0.24990046897150653,0.26536223921603014,0.3840502089705398,0.2119872967658166,0.23806989996384287,0.2584247579430114,0.278666982181255,0.41865629990414044,0.4201579462386675,0.45510714642859085,0.01270933452984847,0.34100396885358203,0.2913773282714657,0.27448494125765066,0.24878376642432146,0.2899498563532013,0.22331452936196314,0.2414424221805527,0.3199137565683325,0.24883790994232252,0.41723691045332467,0.3309055216958432,0.36041102481970716,0.22860675277536846,0.3437369745969434,0.2569009374041088,0.30124441855428324,0.3243474957440428,0.14353296390344403,0.34129377588963067,0.3451188261444171,0.3142252218328218,0.3778525589093636,0.2948994412363931,0.4333042548140924,0.2297347126873765,0.23727326112453054,0.3258492522485103,0.2858637333859226,0.37554049247752025,0.38237502494892356,0.30119265871317524,0.28269767965304393,0.4992048083952991,0.24590268226556133,0.37691153735538174,0.3443146657028075,0.22092775769505327,0.39037859068922026,0.2891332166619748,0.383875168966081,0.27542137573593056,0.27850485209072573,0.26370123707038307,0.21886280243961395,0.36944290676860975,0.38070074231772905,0.3660763938213784,0.4555993156143271,0.30085003019841094,0.3023728291615022,0.2508639151160922,0.40027209171139566,0.2007083887117261,0.38057042129363916,0.30280779010180336,0.19055092051225953,0.37288858182577084,0.18832890298355112,0.3704649933678562,0.34943223971427007,0.2890045782333389,0.24662844177137505,0.33079051429347434,0.3119952620529527,0.3930103402418693,0.2612055173478284,0.33262655644358025
Rho_p,2.067158396797142e-26,3.457537245686982e-10,1.2113616678433345e-17,1.3217451065851458e-10,2.258930304517523e-52,7.517561159172987e-29,3.0297292529909625e-12,2.9916328989730853e-18,0.0005683912477351335,6.457929600451845e-44,2.477795430946414e-18,6.958755757387735e-14,2.5395474313706366e-21,3.8801109084176695e-22,3.7707876625166315e-08,1.810680962438071e-13,4.722516835820141e-15,5.131581721133925e-31,5.080725143536229e-10,2.507115832286337e-12,2.4991183757895594e-14,1.6827779516402903e-16,4.203266832247895e-37,2.2025364161510957e-37,2.486039691073979e-44,0.7125183103505083,2.1251091957041867e-24,5.8472214454261275e-18,4.896158649832895e-16,2.334311373837365e-13,8.601115632309135e-18,5.483582637366353e-11,1.2021400032244419e-12,1.6313116803907253e-21,2.3058049017838906e-13,7.719216299510962e-37,5.457521188403066e-23,2.9436242499381442e-27,1.8580076738933008e-11,8.646588576344563e-25,3.5799229779378825e-14,3.820939477980621e-19,4.213406895147609e-22,2.8781966693316078e-05,1.932648538124692e-24,5.468919837417129e-25,8.965288728771674e-21,5.3204256128054996e-30,2.2351942480090537e-18,6.673703489353483e-40,1.470113492465887e-11,2.977616611803124e-12,2.6502008545675583e-22,2.5648910289049338e-17,1.2568393354175012e-29,9.703906267970112e-31,3.877088062917713e-19,5.907602057646076e-17,2.490148824167497e-54,4.4696772087703624e-13,7.555415175512797e-30,7.141620503544129e-25,8.855478839039791e-11,4.470772183821271e-32,1.0715476436481744e-17,5.485779902571556e-31,3.8608955694426205e-16,1.7545159184563498e-16,7.069236251097051e-15,1.3347010160836167e-10,1.1735585849100874e-28,1.8276399838272017e-30,3.9475906411372046e-28,1.9578405130295243e-44,4.269842196177703e-19,2.7780006620055526e-19,1.4528772399482503e-13,8.840810736101057e-34,4.134141211072702e-09,1.9196605842928633e-30,2.455879347477077e-19,2.4682404328883314e-08,3.340342047137987e-29,3.602931477000898e-08,8.096895150061072e-29,1.2896251935678194e-25,1.1092248945677739e-17,3.7979408460661004e-13,5.659120039514856e-23,1.7311158213689823e-20,1.595022052941656e-32,1.2891571329790463e-14,3.165550479698797e-23
SMSE,0.9855915293319667,0.9462047297519367,0.9015029681656022,0.9297553911128916,0.9378189506984506,0.8929407533076946,5.384525752584967,0.8305154781863274,1.6301022172520852,1.102796993749779,1.667313305746903,0.9911481157239329,0.8727163057318377,0.872763647626599,0.9734202124414264,0.9631053120320077,0.9074753271723441,0.8345497418170947,0.9404110355954508,0.9315796556488775,0.9138074875425104,0.9085973462585883,0.9493861276110375,0.7592240379558233,0.7902714451469748,1319669483675782.0,0.8336263039767196,0.9403763582918635,0.9091595520030764,0.9785490111497798,0.8708778035486265,1.0072956128427266,0.929134941965852,0.9429658823395011,0.9019282542386893,0.8121444028347065,0.8970930397253509,0.8381665002216976,20.40336447692182,0.9083100010787778,1.2841782282076217,0.8999466187729317,0.8739733757764017,3.4449595172835643,0.9209490782278646,0.8277915825819591,0.8373377881225043,0.7668757466122723,0.8556486604681639,0.807055307721337,0.9279867487381418,0.9162873927080681,0.8949958490496687,0.8747801070936523,0.8104256924053636,0.769926750502382,0.9051201931905549,0.8716880227131387,0.7052112370909331,0.8648551627797617,0.8067652240356558,0.8571235319527235,0.9748294716284882,0.7937484969914171,0.8529681582649601,0.8108484578433246,0.8859946765892429,0.9049179582709389,0.9152767489091148,0.9286034721452878,0.8563511703473318,0.8147577789697817,0.8491147508263145,0.7725390485893415,0.8975420414910249,0.8668643932188006,0.9302532130300083,0.7422205133241684,0.9489084318516022,0.8516339788357399,0.8954509732415858,0.9727703414905654,0.8266099703781158,0.9535004452771756,0.9563736995108064,0.9818224291871268,0.8767725735421881,0.9192108877459667,0.8500309293601606,0.8935333978412234,1.0146235592252466,0.9550843992796375,0.8383316496490801
