observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-1.0479561588429156,-1.9714431145730902,-1.9013430523286468,-0.8782897699416025,-1.0813870933679224,-2.282851900560866,-1.712232483874487,-1.6905404158893402,-2.7754753667382577,-1.7424077048785795,-2.419389386137001,-0.5291298946135599,-1.4410959120961284,-1.8924572536150264,-0.8633734987641855,-1.1371957390419873,-0.9011545571623357,-1.425399840425123,-1.1868627466141395,-1.257635701914631,-1.0958059048915711,-1.0458054744449665,-0.7445467952467761,-1.6395068438710272,-1.292745516373277,-0.8897848469598904,-0.9150033272143097,-1.8125309099081215,-1.7999094437179166,-1.3504106087644303,-1.0478219596475165,-1.0055164715461853,-0.8833424773689602,-1.0083825445701367,-1.5070051797449833,-0.4353238591976077,-1.0783901439486456,-0.5233194514946569,-1.3516763142446153,-0.9550114237252817,-1.298919041172272,-1.2954293716704022,-0.9675179376726508,-1.0359238489092317,-0.9186569956317681,-1.1843292056465942,-0.8241661828857503,-1.646622223555232,-1.088108213367153,-1.566482510277747,-1.580921100365861,-0.9881478939393677,-1.4664361502559895,-1.915610932614499,-0.9238606880133291,-2.0612946775704035,-0.6397852762560445,-1.040611099781397,-2.4748455106748044,-0.752750105152511,-1.154405915364955,-0.8956804265696452,-1.2621489812313085,-0.5373220143556626,-1.4009187664962308,-1.141305103926164,-1.1785313346304398,-1.178724579972006,-1.5037990105505359,-3.306812313985793,-1.8492843233626992,-1.866591243516274,-1.3358204332924504,-0.5956506992869723,-1.0095847343395743,-1.7225136495621092,-0.8770329962533134,-0.9554969559643056,-0.7615853711731582,-0.5026273034735002,-1.0555209138044916,-0.8928619409158001,-0.9530228829315163,-1.0681744984490902,-3.2539375971329045,-0.7522783027353475,-1.528779390505109,-1.663342924658005,-0.8996317153238697,-0.7892734672651386,-0.9621984792530397,-1.8613338695538608,-1.0591929144982095
1,1,-0.4952303856896628,-1.0180971895040263,-2.096110782737376,-1.0209046456401285,-3.495791563829787,-0.4829522159605452,-1.010759324643168,-1.6913171514485903,-1.1350913307774404,-1.018777916022717,-0.5553319246793993,-0.6243659676781016,-0.8471796759881053,-0.742335554408334,-0.9090576261072004,-1.2913557860128886,-0.9099916562396797,-0.7924031694676248,-0.8557241858147197,-1.9274389787772912,-2.079846986196516,-1.0681940456195531,-3.202491073227408,-0.5500875009831294,-1.5212972093815105,-1.0561130527792424,-1.4117485412064044,-2.0000639416423405,-0.6318105773940709,-0.7595561923862048,-0.7202463835374882,-1.6114567839347658,-1.7557234693994275,-1.2530606976300138,-1.0235190922009747,-4.01128833927706,-0.46252862039578096,-0.9311776135263206,-0.39611522796338194,-0.7557532817185588,-1.3712156193393894,-0.7160158566088302,-2.383698601783782,-1.3439887933489114,-2.283751585948663,-0.9155937337902059,-4.042208693285138,-0.47280074825954976,-0.7587271629550203,-4.225861332632364,-0.6373065478448245,-3.6872680711746226,-2.2563174021534524,-0.6758310064936524,-1.064748052866447,-0.7736261613072793,-0.892998215415653,-2.51814319345191,-2.183084490235417,-0.2269342082010161,-1.5535343621736883,-0.6568751239751718,-1.00752704420752,-0.4727184181727739,-1.0165304593741957,-0.6152993415830998,-3.66363159857438,-0.8477046949569089,-0.7164447535272326,-1.5928142932229967,-2.5169452114370703,-0.6283452810732215,-0.7287249981158157,-2.4566089799733257,-0.7303425147002924,-0.6422375545396819,-0.6526627961875843,-1.0163152470360861,-1.1973036814169435,-0.7429389541714166,-0.7959438705887183,-0.8895010936581811,-0.7684170342539494,-1.76114763712251,-2.1119840469901883,-1.4350424411841998,-1.6959950500023564,-3.036093736588028,-2.3933744220046855,-1.7688989619018867,-1.552678028365758,-0.573952597183518,-1.7438412365595206
2,2,-3.2907273924060343,-0.827438353496562,-1.542438858338976,-1.3243056179240793,-0.6758877764112879,-0.5802680464721137,-2.382672571173761,-0.8051237686122837,-1.1258944177359806,-1.435222646264605,-2.1099214488563525,-1.101587967405281,-1.7326793962900484,-1.2268944092227512,-1.074327398736905,-0.6915662712869743,-0.8079344113395446,-0.7313044941356346,-0.6504704102921233,-1.2108646127929235,-2.5049769327142988,-0.7491483382492928,-0.636873426086779,-0.6717472790008229,-0.8541540082467634,-3.1490941549706317,-0.9742477861367047,-0.8078287974057015,-1.1195452456203374,-1.1604980262917217,-0.87975281889038,-0.570108958187175,-0.9028617907949531,-1.3017557864138727,-0.9195605750328589,-0.6810749461240813,-1.1662408241601578,-0.5654317010308333,-0.7085766997337949,-1.9802990010764103,-1.423396314012678,-1.3777523785114631,-1.8960459048408813,-1.9302093305301817,-1.5569336147114339,-1.064948693486452,-1.0428481973452426,-1.13221473300427,-1.5161141294049099,-0.5833381553436547,-0.7809906625860372,-1.827282839892383,-1.545389322207942,-1.2387003574044142,-1.9458835790402458,-2.4889036567074974,-0.7912885371531946,-0.6153549439303488,-0.9848181001846965,-0.41751694174097853,-0.6686784287292376,-0.8498088866176217,-1.12651266082031,-0.8516090897204602,-0.7677743392067689,-2.041627608951162,-2.7600563710808563,-0.7541301943116716,-0.8685970225368285,-0.7611817287301468,-0.983705475775646,-1.0905225942402224,-0.9919952624920838,-0.937211671989107,-1.7624022233441288,-1.0203731900604662,-1.5392486122591476,-0.7237688855020564,-0.7303823899332443,-0.8576768567846679,-1.6670355216877213,-1.0563608492792114,-0.6086944064066877,-0.8608989110027447,-0.5525919289211847,-2.225742203191423,-0.7344473203355124,-0.8885162226342912,-1.538440008323829,-1.7274654144190738,-0.9994500037819527,-1.9116299316667837,-0.5299234449619403
3,3,-0.6114453927017929,-1.0656283228790433,-1.1212913930306634,-1.0962098160307407,-0.8023331808924629,-0.5807736127877069,-0.729963167571434,-2.063304058394763,-1.00958303950843,-0.6267583996071415,-1.9552442654184103,-2.1833805163307565,-3.4626667954928134,-1.9642478340343303,-3.5669064658436946,-0.820667897685395,-4.173265787632844,-0.7469361542585531,-0.7489084300831853,-1.134564557088358,-0.9532826483617955,-2.7171440120046304,-2.994639158961613,-2.1382541795515975,-0.755353394279776,-1.3343666476392886,-0.9865601391464229,-2.206265394885678,-1.199681106132731,-0.7983458782614101,-1.1591050652232844,-0.5697946666222896,-0.8899297727110312,-1.0801352113391982,-0.774801597942339,-0.6310378922468914,-0.8262749734000185,-0.7627868990097242,-1.119403442580644,-0.9724492737916569,-1.4042397537124596,-2.379458295297525,-0.7510959315559752,-1.134288923153166,-0.8904990601259384,-2.6243811855869015,-0.7906023085021837,-0.883753679278745,-0.5773181774106098,-0.5741690711257428,-1.0199190254649828,-0.8674617771588197,-0.7392989533099993,-1.664069579526981,-0.6399766113763035,-0.8268944028322767,-1.9059276270988736,-1.6772700338882336,-1.1629353922791306,-0.804447347169692,-1.0077990118105709,-1.9307820937180844,-1.8369190698025588,-0.7758019508709408,-1.5595224047795004,-0.48211451552903484,-1.835116796400674,-1.0414251833779011,-0.833728038128956,-0.884800956703903,-1.5099076771203992,-0.694836444801241,-0.8630727482229328,-1.3515148821396374,-2.3072429037470297,-0.7194690080211152,-2.4386013898916765,-1.9144489170090364,-0.776119425176085,-0.7442691362146914,-2.431634242312824,-0.7735287986522854,-1.941118118803202,-1.3739073965467599,-0.5744127707655206,-1.1074029846295828,-1.2003634159837544,-0.9410947815322727,-0.6842310012412394,-0.6624710239441143,-0.917932289575217,-1.4684986001412714,-0.6711758700757002
4,4,-0.6782910676882947,-0.6792791805398845,-1.439970111378581,-1.8515830506064428,-1.0143949782072017,-0.5597459189280984,-0.592455073319638,-1.554894731671101,-1.536423073979846,-2.4416672732752156,-0.44617217786513597,-1.1476417121045055,-0.7969568562529802,-1.2792959965780508,-2.347416734792457,-1.6762105988048432,-0.5506666045417712,-1.0931346557223505,-1.428138432063109,-1.8167003260479864,-1.009928124515411,-1.1141656187847795,-2.2979162585012483,-0.6384929260321636,-0.49451704758164244,-4.407615444087742,-0.9559698788825248,-0.9586698356328642,-0.9120398558221132,-1.2175401095877907,-1.3127767292695787,-0.6220919461148647,-0.9501928070366669,-0.6859709059946335,-1.1419139181635014,-0.8608241754952488,-1.1514239488065157,-0.5540708833359328,-0.3477241820075632,-1.541486756135579,-1.602458219479058,-0.8420404801438557,-0.9237775528306642,-0.9309432023468777,-0.6219083071973868,-0.6481020981568925,-1.7170698914567897,-0.6107042157242726,-0.35600405900540033,-1.2947619176260994,-1.7498472355367352,-0.8618168987438626,-2.139911268011736,-0.663081214785471,-0.334474468276154,-2.546185329799592,-3.2537698745295085,-0.4812191331793273,-0.49068698009858636,-0.24340104081987599,-2.055459966667068,-4.31354746017573,-1.3071563798608157,-0.4918443762131307,-0.8620246322979079,-0.49608831352208127,-2.868011351146446,-1.2679640242565333,-1.406985736431417,-1.291397373773104,-0.6792383223017965,-1.643375233411095,-0.7584721518595026,-0.33171297592412646,-0.7439022391683353,-0.7608105465394381,-0.9229884425605077,-0.8657337060806831,-1.1046306224813296,-1.246307291909825,-1.0361245165521515,-1.1679840419596452,-1.3729630473466878,-0.8686177138787533,-2.3115936187947694,-2.071046579781598,-1.136083051608366,-2.335688630764092,-0.701559218654158,-0.877981617527597,-3.4682148616744386,-0.6230459481501567,-0.37500111523605484
5,5,-0.9477906669079736,-1.0423768740558625,-0.7956050684047844,-1.3318823804587,-0.9738306492150703,-0.7855989260817668,-0.9017872495772905,-1.2475579403135706,-2.179370180668883,-0.5935674459702427,-3.066478934389751,-1.1690389378591446,-0.7496735305383098,-1.3003160618653142,-0.7378055371132239,-1.6405964082882192,-0.6411937937059226,-2.346470846705683,-0.7810566559298432,-1.4051441214469713,-1.0186416039493968,-0.9765212070227043,-1.4828961063213641,-1.6592477270281105,-3.178873572478746,-1.956743995283131,-1.7118853469779802,-1.1770464679532906,-0.6559666264863934,-1.4046921790528881,-1.397616069047183,-2.0665976127666954,-1.200834799403347,-1.0904034319347164,-3.1480768819563756,-0.8490022850762825,-0.46334794274577906,-0.5770598035628297,-0.6526891058305587,-1.9678664664906873,-0.7357135674848458,-1.3613881807893535,-1.0398491520552682,-0.6268868661886682,-0.6042934400846626,-0.6353054758365513,-1.5940377668215724,-0.38445569748900055,-1.083608731726648,-1.365409106216575,-0.8904640051998202,-0.7972943836744746,-0.5200941434498157,-1.667035937755093,-0.22908645143268713,-2.0400383339069426,-1.2675134500603824,-2.026566004079422,-2.5056463981740227,-0.24462200213409607,-0.6124957072824891,-0.6333486571126635,-0.8169021927372506,-2.2359026025497086,-0.7048252071010519,-1.0901504357022063,-1.9548963420881806,-1.0635625722123425,-0.7819706162924258,-2.884707000432382,-0.9228455386068946,-0.7368192199128827,-1.4695951771400773,-0.5661887870794602,-0.8216747956089521,-0.6451491322400744,-0.98518260011417,-0.5613112183359245,-2.5121359981024027,-0.6226710818027433,-0.6395364910256078,-0.9566169906164577,-0.6739343320632842,-3.8421812976807557,-0.4883974196194506,-0.7636067657964711,-0.6931377897380061,-2.1705933163845836,-0.7143551762766138,-0.8202057721821818,-0.6478128005902768,-2.322669887023944,-0.6393864443480295
6,6,-0.5792243273310761,-1.085254907445023,-1.6094905033045468,-1.5427844307712577,-0.6050407960948501,-0.5417031668748298,-0.5628521663174982,-2.7927869337884506,-1.3852673260987562,-1.7968309806883345,-1.0910046224787013,-1.9388950214220642,-0.7340095055684829,-0.4562885980681949,-0.7032551097983407,-2.565306013197332,-1.4874674316332521,-0.6217455080689751,-1.1759642627923548,-1.3915633419360216,-0.9487285298635415,-0.6973791680938088,-0.7879851689979398,-1.0601344749015902,-2.4559200664398073,-1.045127148812195,-2.5010386574563315,-3.2819620959066538,-0.5329253088118373,-2.105920508986304,-0.7145629250230034,-2.483545249134064,-5.005179194250683,-1.200663004330392,-1.4241571562027864,-1.8363496352286823,-0.36865999731770915,-1.015286819602709,-0.4496791205108158,-1.6324278921837625,-0.7699990137606518,-0.9583573868860832,-0.9761506420508643,-1.0423843081201913,-2.599819302437009,-1.9404881380295773,-0.7044973078246701,-0.6114536725265532,-1.3249238581293739,-0.4689295397095794,-0.6025717069734823,-2.0819637560727404,-0.5220031168005689,-0.7707073650726766,-0.4371816690591046,-2.016041119362313,-0.8161416918399631,-1.0610969044465446,-0.4081194496687976,-1.0513276579518263,-1.1675969374063133,-1.3457464180300736,-0.9891780525828748,-0.4194139520896201,-1.1255233678540137,-0.39324970636722,-0.7191449663970685,-0.7983241584727747,-0.9987743141944272,-0.6488220553027646,-2.493908011747194,-2.2517153970975006,-2.1078903152260375,-0.4698632767033962,-1.0547876361677062,-1.583422029024578,-1.5296598919856463,-4.072990154165743,-0.897373902862846,-1.80349397567228,-1.5381091046065736,-0.874660134505034,-1.254521810514753,-2.5201529903998736,-0.8432127799560902,-0.8520945513455522,-0.6232383696355882,-0.6673149913699152,-1.4399265767042055,-1.1408391146041874,-0.5246966053859813,-0.46857387062860023,-0.6277828676471094
7,7,-0.5118561413657761,-0.8367311821779295,-0.6898854271803279,-0.8336582162642389,-3.108196169622498,-0.536170983302195,-0.7470176922429113,-0.6042704253967391,-0.7695952808305971,-1.052024892115597,-0.3957208932670113,-1.4461388384345972,-0.9704978803056438,-0.5461829538734775,-0.8247717936504666,-2.03156534847628,-0.5798021824278605,-0.7345371866486912,-2.0868076039347203,-1.6656479125150137,-0.8933859720256377,-0.8743863916227967,-5.682880164507969,-0.3806103403533228,-0.7263402085316422,-1.2586466348640934,-0.7994884692975945,-0.924623816390634,-0.5313661855696117,-1.5847670930913393,-1.0403821044931805,-1.6869207055554916,-0.7840409158603522,-1.3864655750027663,-1.0590835883682124,-0.5871308860917892,-0.5779930745299791,-0.5554370332149418,-0.8503538721220928,-0.8088142634503368,-2.737928221972883,-0.7178829944822003,-0.8917490144245405,-1.619925758299245,-0.9018391064582522,-1.2853822914839799,-0.6732156611646775,-0.3998000105130306,-0.5044378534112511,-2.8337200386052306,-0.6461329633964858,-0.7997318937524597,-1.119752626173398,-1.438744172969332,-0.299242095658643,-0.648940002397074,-0.7255304317788625,-0.5132959370843296,-2.5246751765585733,-0.1845724721459657,-0.6412082273080053,-1.6065679760766645,-2.048730915599194,-0.4839870500759276,-1.0089784944960862,-0.41372230495256157,-0.6104183420662582,-0.7152568791539307,-0.7969355820741801,-1.5048613126257666,-0.6684495463482261,-0.652040222262547,-1.745667289614663,-1.6090145581913435,-1.238911406694121,-1.221167224222182,-0.9168595954479399,-0.602285608394119,-1.5925468862796524,-0.7135143131061428,-0.6751843329814973,-0.9809675658674802,-0.6307680368663231,-3.4327043109011663,-1.9405436322965968,-0.7604596272827251,-2.5865191107302548,-0.7170909548983752,-1.7197013699011148,-0.6104031070643137,-0.5022120640015387,-0.6227862410667222,-2.012330058803971
8,8,-0.8410053886187798,-1.3814650063806266,-0.7332121270385694,-1.308282312714141,-0.9888927947090811,-1.7167398546646275,-1.6357633314271647,-0.7150623894048145,-0.6677907415160584,-0.5396161887551392,-0.3759253736240513,-0.6402946454112818,-0.8404808291055581,-0.9697434047337447,-1.779253850158023,-0.6358113722799204,-0.9428529452864256,-1.43969764775652,-2.340498726947191,-0.8922413600278302,-2.106397225251287,-0.7747517048745651,-1.5464148610131416,-0.6910067595681105,-0.48899919929686547,-2.227823911128167,-0.8764813280631181,-1.6327774006238476,-1.0364238776506751,-1.5184800102088691,-1.0446934094186884,-0.6621921520754058,-1.0599705009866442,-0.7344818849635155,-1.5508614451939442,-0.542787378599664,-2.514526631712945,-0.9856822201700899,-1.1915945308496665,-3.188286454812374,-1.9699019514162022,-0.7170211903483396,-0.7160584317298997,-0.6223621566895703,-0.6871885403788529,-1.452948724081161,-1.7669423586534396,-0.7129033748447267,-0.5260083369764981,-0.7235041092338237,-1.6258316880267605,-0.634989660164508,-1.2465224014731238,-2.7422994451472906,-0.2948818444596535,-0.6954797946045115,-0.7761537490656747,-3.970779316680132,-0.5586383530842514,-0.25172004211125965,-0.8496946326940438,-1.5294354829715535,-1.6141723516572721,-0.5232725832304463,-1.110383551689849,-0.3859048557003948,-2.1826980385033203,-1.2137938319247472,-0.7615387206244303,-1.9634118390415531,-0.6562296806724143,-0.5469951194562855,-0.8438603745462134,-1.2557986503505656,-0.7122651853449913,-0.5597864675608637,-1.0445071759154498,-1.1813717894944737,-0.7627350665818114,-0.6148871024198674,-1.0576714084755126,-1.2310679677868779,-0.7555017159780473,-0.7835755237469051,-1.0628702192754444,-2.057978061500152,-1.6968015488650463,-1.9952461421570247,-0.6647657162141491,-1.5716957823053022,-0.5582209566931553,-0.5800283191428585,-0.39135451589616577
9,9,-2.89067605367446,-0.7733418869947478,-2.3006252351864145,-3.3485696132812106,-0.5857623049630778,-3.8973850831383077,-0.5436593993270142,-0.7807400506711174,-0.6400851755418017,-0.5994412411141136,-0.4022120412937573,-1.3427473210841498,-1.7793148785151067,-2.3852848107438622,-2.3754883004736618,-1.2467277042892149,-0.9199552703549478,-0.4514676607105743,-0.6698493785103385,-1.1858880344852043,-1.0077503741356797,-0.7374456419211242,-0.6603163743658687,-1.8667766980168323,-2.116004753582936,-1.0511034448103826,-2.637753325990833,-1.5090533641430672,-0.8304112174932171,-2.6384601466454916,-0.7146129158751783,-1.0950757882294404,-0.8046463058841846,-1.3541135997296667,-1.5101829090394834,-0.541548050493524,-0.4164604791978787,-0.5991889737444334,-3.4725012963802415,-3.147605941850102,-2.746172689550671,-0.8517128733314037,-4.023613546426676,-1.718024476906061,-3.0563396411491364,-0.6465513535181016,-1.0822223730655605,-0.41919679023120504,-1.844802284947725,-0.41136740167641395,-0.5620326306955463,-1.0918773630170953,-1.76728119507678,-0.9865736100437201,-0.7809492492843852,-0.631600426763065,-1.8968758244510986,-2.221102617676372,-0.42302710720098,-1.6027305725762608,-1.2739844279725479,-0.7296061260060898,-1.0364071594739221,-0.4153331601628191,-2.030907113313108,-1.0903497339825972,-2.006976032894871,-2.9891089113684277,-1.3804702746528883,-0.6019120536200022,-1.4906788378423106,-0.7315529651616651,-0.9776510085679211,-0.9926325800052446,-0.6879164623135102,-0.5633129414116232,-0.680955055182972,-0.5598293444128059,-0.7639022502251842,-0.668244747221194,-0.7592495603263463,-2.143665956411592,-0.8081911396316296,-2.5434856095485383,-0.8397725225855455,-0.8812056145033245,-0.5507306591658334,-1.0283558913856443,-0.6516895186543468,-0.67095110873637,-0.7463025342939342,-0.7461148486226954,-0.3037185811046714
