statistic,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
EXPV,0.25582077354533694,0.09203917855710275,0.08729126529858255,0.23966071427085378,0.164045333107397,0.20858007953589497,0.20245817029409885,0.10428327646414148,0.12624198547786936,0.12054172874085123,0.1940268755174651,0.3020756722281782,0.03805831812123628,0.2751687538108497,0.05400713335284735,0.14932537829250714,0.12860184711964395,0.03413040913036047,0.09354324278215609,0.12534203568323843,0.06202502832312551,0.07934970930100405,0.2465273574676653,0.25888791860077764,0.17903755859094506,0.05539688656058872,0.08746522828814152,0.10478360221318661,0.17665633894850663,0.12089449245920414,0.11013125793727818,0.07376720700292927,0.051338711828763595,0.0934463414412472,0.19076452156489787,0.43364327986049733,0.07887616309165157,0.1100584084673476,0.44079296642398014,0.11944175689424774,0.0922900057687277,0.07168395218642609,0.11080815944489619,0.1727590063800316,0.14804480184346203,0.08958659695533955,0.33996434244023277,0.25137907679718163,0.17068257698508904,0.38755277159741386,0.14348166481031732,0.22680904789682277,0.20164664866867754,0.14179432158388394,0.13125083315060493,0.13381268560587078,0.07996294260138204,0.1544145038473128,0.40998241144463443,0.29713637825853745,0.14593335001297847,0.1816475025365627,0.13104977542920548,0.41866720897305043,0.10429343330346019,0.22500735584878606,0.17848647072792778,0.1357595842551954,0.10500618146473595,0.11267757529250033,0.12426835600744013,0.26533871058778047,0.19479259816804184,0.3897684271551749,0.059187640156526444,0.0995728866126444,0.1486688289733279,0.19643435807483411,0.1453190305086679,0.24348307863657892,0.15656032588930524,0.09881062401956042,0.23668396937912395,0.08436702699104381,0.3613394060428369,0.1836361639037286,0.10133528882760212,0.1385071497010819,0.14029590830529381,0.11548396641514413,0.14403088252427743,0.13144658579725088,0.28703328157533714
MACE,0.006239620403321486,0.018742586002372465,0.014543297746144717,0.018813760379596676,0.00635824436536183,0.018339264531435376,0.006358244365361832,0.013641755634638191,0.00884934756820879,0.00991696322657179,0.020640569395017815,0.01169632265717676,0.01637010676156585,0.007900355871886141,0.010272835112692783,0.00979833926453144,0.019810201660735476,0.015776986951364168,0.010510083036773442,0.007425860023724806,0.011625148279952527,0.014068801897983402,0.010747330960854106,0.009798339264531459,0.010154211150652433,0.02170818505338078,0.011577698695136423,0.015729537366548054,0.00564650059311983,0.009561091340450797,0.01252669039145909,0.012811387900355877,0.01288256227758008,0.010154211150652435,0.017437722419928824,0.004934756820877852,0.017864768683274038,0.009798339264531445,0.016678529062870706,0.017746144721233693,0.02099644128113879,0.009086595492289466,0.020284697508896797,0.013167259786476865,0.006832740213523135,0.01376037959667852,0.014780545670225395,0.020877817319098456,0.01252669039145909,0.019335705812574135,0.011459074733096087,0.013475682087781748,0.014068801897983426,0.008256227758007138,0.013831553973902755,0.01632265717674971,0.006880189798339273,0.01383155397390275,0.010984578884934773,0.010272835112692788,0.008849347568208796,0.014946619217081842,0.019098457888493483,0.022135231316725994,0.02099644128113879,0.007900355871886122,0.011696322657176763,0.02047449584816135,0.014780545670225395,0.0038671411625148438,0.007900355871886151,0.010272835112692781,0.01857651245551601,0.018339264531435362,0.010154211150652463,0.01525504151838672,0.007900355871886137,0.011862396204033197,0.015255041518386723,0.010154211150652447,0.012408066429418753,0.018102016607354714,0.009798339264531435,0.013357058125741412,0.011459074733096092,0.018220640569395045,0.008137603795966798,0.00695136417556348,0.02230130486358246,0.010391459074733104,0.008778173190984577,0.017556346381969172,0.012645314353499415
MAPE,2.2203501773081955,0.23102040012326627,2.962435025290275,0.20629151037597085,0.28854820124159963,0.07863717117291076,0.40051663782113744,1.1948928554277796,2.7477169371492502,0.26738336286289227,0.20677793751466625,0.24024349749547672,38.1729140272435,0.062187460815043394,2.2794271882025208,0.7290752620374219,0.2371000297391855,0.11544619883598588,0.2016332502690269,5.287580934915931,1.4227611398438529,1.6818491681589265,0.13525578765442223,0.07038030637600814,0.09951160635092814,2.8418779528468296,0.1822603154791073,0.5205078677020156,1.2537360144549516,2.695591795052019,0.6961822804593287,0.9482107651137889,1.8668166924705636,0.09247527347992353,0.6908492074290427,3.321188053530845,0.5896397110683628,0.1759084835857666,0.2865087865528584,0.27176538841060593,0.5235834989727872,0.46911288478369256,0.48634779263484423,2.69496867502714,0.10464330800042249,0.052571813858676715,0.12940241241383052,0.19447110201045453,0.10754597881564393,0.1983652356173587,5.705753888416495,0.09948864107209292,0.09823505293948079,0.19277929484023754,0.05387180947510807,0.3023418648288734,2.668605201692233,0.7318683926546955,0.08451247271527215,0.10742452719404946,0.06369016379452097,1.296964175521043,2.945551250316842,0.08553426620018573,0.20673351088260197,2.2563135305026694,0.11524504588384209,0.13396072953429367,0.1292793970674004,0.2978249941072989,0.8308359057813203,2.8955810252681102,4.8287933103535,0.04794880993445965,0.16569521878358287,1.5372842378302338,0.25632649962094406,0.4115312804986815,2.5712931997865165,0.2078091988048647,0.10395715454078243,1.6205692563929195,0.4668131057421871,5.538556556995942,8.085148199188916,34.05666872755126,0.22906726439284317,0.5936028184498933,1.0414839861962746,1.5935401900762516,0.5886890900254204,4.393498459781287,0.0373464435617284
MSLL,-0.40864479513138563,0.07359001500787166,0.29921632862781755,0.03271713546876742,0.15703236586941016,0.24898669947303487,0.6627039962398172,0.28599618483959244,0.3226828899608747,-0.10481003426408364,-0.07721293573802512,0.2397856476186706,0.005266398349368151,0.4414179966087465,-0.0028426952580413722,0.13806031424047305,0.6840902496347038,-0.09995399602769584,-0.3232508975993573,-0.4020746190938409,-0.050217883156345344,0.03141713372336974,0.42671430300092195,0.13016580324154448,-0.027434845029592703,0.6428928107146581,-0.07796003538555452,0.41433673414213046,-0.17025529896749103,-0.11110885271185822,-0.08313376883154056,-0.3862565509100486,-0.22311795338317242,0.16950147123831094,-0.2345847609671341,-0.11428173903391103,-0.37405413557065703,-0.19957863331491832,0.3457685916726193,0.6017413171964189,0.38178932602655324,0.1327590299713548,0.31671054126230036,-0.1979703655752525,0.2097705845144302,0.6415639420488319,-0.43452029965742334,-0.25823635817504265,0.28977449848126613,-0.17134031108738546,0.4005795647074265,0.38254035537824527,0.18691218019540834,0.08382676638829922,0.0981007906580933,3.101960858253296,-0.03984464064975968,0.3432284143190377,-0.2672957697760725,-0.38323183305971276,0.4243088212717002,-0.3105373523972459,-0.8111846152666102,-0.17677562004190106,0.46089556428972733,-0.20885291242525983,-0.030330193243558012,0.08276540831669732,0.5732622389421309,0.0787854469286442,-0.0020479862724029907,-0.17150027207953134,0.09004469526572478,-0.0650657805986945,0.4206932680232184,-0.35940529637720187,-0.0919963364834342,-0.2975421488499259,-0.3403040654616569,-0.22623671691018066,0.32070898850776597,0.03848664892806264,0.03620911159561113,-0.3488137935258431,0.8144904523646834,0.6354979644047624,0.15803481602536018,0.6376273313193517,0.7804749680520069,-0.14265714599464663,0.29024529808944044,-0.38474254816201436,0.106210900106951
NLL,1.173548218205106,1.3710207733951947,1.3662358187151284,1.2968505136858268,1.2680264623311437,1.1413898972561531,1.278897457925202,1.336918841186792,1.3687823106436197,1.2839929897269808,1.1190187825039302,1.248332233024417,1.4164687839047296,1.208281531357489,1.3440329997904303,1.2911514986175552,1.2920220377099059,1.1887609254327773,1.2519581431144051,1.3848007619021627,1.3733703360815677,1.3501624486816162,1.2326236365628829,1.1206386903722028,1.2019584616911279,1.411153234363479,1.3196095084702895,1.3936685025258706,1.2442469477980143,1.35128918390126,1.3574708604109669,1.2275905424904228,1.4027806183600473,1.350640958826872,1.2944422157299489,1.1081762135563809,1.0929971022900729,1.2363657292234247,1.0543761087185566,1.3433829929106211,1.3713321618146246,1.3951982571003398,1.3888256352734503,1.3145578679792618,1.236871103265813,1.3756623158575552,1.2277476047525875,1.1268909487140708,1.0591186994609807,1.1225940450577876,1.3336193457924508,1.2824047793380051,1.2297164655039874,1.3143982296657268,0.9132084051837691,1.359298786002981,1.344509951130919,1.2155580900372642,1.12435943468371,0.8781095501600057,1.311339624860939,1.2939999175354044,1.3949191141233925,1.071006486770715,1.382248672354607,1.1092345733363091,1.2657695630702215,1.3489248722860543,1.3536062486454115,1.3015420385257814,1.3159435208496153,1.251321852115374,1.3608471794119843,1.0189947319419175,1.3699037788202295,1.2651218535698725,1.3005967594223227,1.3097202470767162,1.3768877139834772,1.2342745307818683,1.3135172635520111,1.379504890510775,1.2282626552961313,1.3777082251347228,1.1851898286230156,1.3403178248764431,1.269758009081485,1.3163504354706426,1.3040100317449148,1.2780251708272066,1.1525049417486508,1.2630676048924585,1.0810902813049976
R2,0.2557417912752197,0.09203111321139057,0.08609078921939939,0.2388990877769802,0.16387958352984933,0.20768454332402764,0.20226407155962323,0.10360107436701682,0.12604479436191285,0.12019946770245005,0.19315162099254968,0.3011006389315304,0.03805831011306593,0.2747644703585077,0.053882137063243074,0.14782447821945688,0.12812465228189907,0.03246669722877826,0.09353666522645732,0.12525217509236042,0.06148300806240481,0.07855819316929435,0.24632624167678407,0.2586391493873018,0.17895808807784042,0.053747504082510056,0.08740495183808916,0.10397694802142443,0.1765568790443679,0.12015724329270494,0.10928889120695795,0.07376127353814055,0.049810749094458484,0.09283186986284797,0.190686428021847,0.43357747272935865,0.07842958113716492,0.11005780547515365,0.4392672151481456,0.1172511439553432,0.089448082921873,0.07134098126639854,0.10899686856174418,0.1724548361914352,0.1479293929017862,0.08921773858271564,0.33874695796715504,0.25104146443705055,0.1692553045342471,0.3871717553806737,0.1434778689246473,0.22657775604523855,0.2014102876338606,0.14155571714656423,0.1301121521497003,0.13154330059170183,0.07970511719283724,0.15273689316101602,0.40924403184581104,0.29705881368536735,0.14576434908162883,0.18149243127236314,0.12957200432425875,0.41748902343670247,0.10135577232593751,0.22496264728204773,0.17779859686218547,0.1340347907809929,0.10408797024925309,0.1121740501641415,0.1240778177152495,0.2645798569369223,0.1946554638096195,0.38912904562844486,0.058776287562740004,0.09847089165056311,0.14803528466349392,0.19642096891869398,0.14432164003093506,0.2434174644580992,0.15473904628058888,0.09797177767806975,0.23665625091494913,0.08273687866391488,0.3609227699016945,0.18228011302518832,0.10052196812671477,0.13833243873718315,0.13939779109466144,0.11526202746539171,0.14268282184887648,0.12866492533533935,0.2870164120046176
RMSE,1.015692712742262,0.8438501410686746,0.6723803744261779,0.7472915932831345,0.672041116234452,0.5257480535114141,0.4002227955584952,0.6552746982306764,0.64390621593854,0.910132084923257,0.7189118207628742,0.5545955280862467,0.9732280272352859,0.44365661621840885,0.9050574093207736,0.7076336733082921,0.4149649779860853,0.8635302688395102,1.1131214203439397,1.351245866108545,0.9732858354089665,0.8684015592633897,0.4702799879615597,0.5609634409431452,0.7496597912898668,0.5074784521293241,0.9351012117982862,0.6098749552860736,0.9034209306731599,0.9796631086431211,0.9644459647775478,1.1695241110699874,1.1989102115939998,0.7508774793356441,1.0043133028202398,0.6183577763224761,1.0073011857113565,0.9595474088182353,0.3680316204770906,0.47727896463198904,0.6211095038234279,0.8240647842971341,0.6672922936509246,0.9989444605241312,0.6238277713535216,0.4811549738558338,1.0371950720947933,0.8366520091026102,0.47601271604536033,0.6908452284229484,0.5693065069159402,0.5233320200714839,0.6134918918376365,0.7674485630516794,0.5099072606003914,0.03947375015191598,0.9267100836745967,0.5328683641665588,0.7479198501974037,0.7161696664179124,0.542980526591315,1.0892206267451354,2.0498775846475272,0.6431610938853367,0.5763619341579016,0.7959068884327443,0.8019382044692372,0.7987283792369708,0.4997981063240488,0.7743961455057735,0.8460422002036178,0.8609033199589399,0.7738489356745425,0.5591638177725748,0.606521418249187,1.1662076303600473,0.899019529858216,1.082186999004837,1.2464791358631175,0.9067403797726695,0.6003843789342286,0.8785565283135351,0.6963461484473756,1.3026530988904637,0.28024133328128487,0.442756026242004,0.6975468044440523,0.4427906029308799,0.378906837504401,0.9422467524743713,0.5306500298390553,1.1735194169392318,0.5416108141492726
Rho,0.4049789564903543,0.3008869351787206,0.25977406487593124,0.399629684757247,0.3462587701239001,0.3475385995699084,0.400727277893448,0.26535586530548155,0.3053012546638355,0.265956662088594,0.4072059818774565,0.5100181388832047,0.15874546917402302,0.43103610198253894,0.19286669423474626,0.40212174899062425,0.3213031690570329,0.21319728600239463,0.24783980520625257,0.2984605722955896,0.18181465547021772,0.2480568199710596,0.38290101928509934,0.4578987199885724,0.36324951507112363,0.20189655360555464,0.2855110765328615,0.2927117942880966,0.3103463271422131,0.27965379114296496,0.25779530245680204,0.2789645379078138,0.19574348193870375,0.25110039118707844,0.3728261078273875,0.6472387540325587,0.36384948057190825,0.3133685692226379,0.5760075534945934,0.2591970547859339,0.19297037417037868,0.20450647965138566,0.24065277857080192,0.3873771541259642,0.34320744837937345,0.25835526625135447,0.4698876239519924,0.395976369189168,0.4173531548049894,0.5878156184976407,0.29469832869621837,0.43541032962237397,0.3915620396886034,0.31081123430335295,0.3553436996392602,0.29920563161665115,0.29988697264651354,0.4088515202685307,0.5612046386661401,0.5398564872211044,0.35440582287994576,0.3868512670951002,0.31447451524391595,0.5735097804548687,0.23603148981696193,0.4443118844071119,0.33971331836934526,0.36186605095320357,0.30618782227416963,0.3217070620984015,0.3410596752460058,0.44152636415611346,0.40233947485236227,0.51801866040774,0.20270520101696873,0.2314819517450066,0.3587779873371359,0.3580718580691852,0.27539216306719705,0.44694606453174085,0.3511263239576882,0.32734722255354387,0.5272125828606188,0.2559833134609273,0.5125400391413355,0.3524071043906596,0.29098005292117346,0.3223549314952573,0.4019686728569104,0.3047307199917785,0.32066385805229475,0.39005280155294086,0.4591751890569985
Rho_p,1.3043520954309018e-34,4.2257202993532733e-19,1.8143451729880005e-14,1.1452256630585796e-33,3.741393365559873e-25,2.4384918840843176e-25,7.3570014223798115e-34,4.729858792783188e-15,1.2067465807269002e-19,4.084846270294642e-15,5.217939633730894e-35,5.16494140409404e-57,3.627627158159636e-06,1.8486898305467447e-39,1.6561483266314977e-08,4.182979717355868e-34,1.0699331669423837e-21,4.0287457383812804e-10,2.8906021790823307e-13,8.338850244932159e-19,1.0641109553964122e-07,2.75220789761947e-13,7.947664234800532e-31,6.381127520572809e-45,1.0811895749370317e-27,3.3335440993443482e-09,2.8161682703785966e-17,4.068190120643515e-18,2.8058935318142246e-20,1.304414314347739e-16,2.8999256796343135e-14,1.5585501989338692e-16,1.0019621632931344e-08,1.3762554868340955e-13,3.41778063417442e-29,3.086537018919204e-101,8.737742139400911e-28,1.1551251138317784e-20,1.1358095851645327e-75,2.0810772600622706e-14,1.626638121234746e-08,2.068074053567624e-09,1.4293345779957054e-12,1.43201518182076e-31,1.0299491081900504e-24,2.5405470305312458e-14,1.6044186078121e-47,4.9365144290068715e-33,7.345154159835247e-37,1.7849237275475168e-79,2.362214309177365e-18,2.5731889847228845e-40,2.815784184790121e-32,2.4494514106433227e-20,1.716252118275535e-26,6.772608194028281e-19,5.596306697770456e-19,2.6397030723933025e-35,4.075873966821488e-71,6.137182823239893e-65,2.3702053657092678e-26,1.753842993308452e-31,8.326585844803654e-21,6.921435163197661e-75,3.8883037177942564e-12,4.251875109100286e-42,3.2393850355928056e-24,1.7638277796103538e-27,9.357810387184658e-20,9.460790734613643e-22,2.0866987728831534e-24,1.5555299924645156e-41,3.8290732458157574e-34,4.622833417213346e-59,2.877130839367806e-09,1.0203792502840471e-11,5.2138009672645e-27,6.669015016848182e-27,3.8896672678263946e-16,1.2332651498528064e-42,7.26699613422633e-26,1.6645783593256523e-22,1.7492468010928916e-61,4.4399043686671006e-14,1.1839195989106941e-57,4.6990586578837175e-26,6.511649246549236e-18,7.763438794187718e-22,4.45103439155674e-34,1.420655760156821e-19,1.2994587970722721e-21,5.075890471635128e-32,3.411988540475887e-45
SMSE,0.7442582087247803,0.9079688867886093,0.9139092107806007,0.7611009122230197,0.8361204164701507,0.7923154566759724,0.7977359284403768,0.8963989256329832,0.8739552056380872,0.87980053229755,0.8068483790074502,0.6988993610684696,0.961941689886934,0.7252355296414923,0.946117862936757,0.8521755217805431,0.8718753477181009,0.9675333027712216,0.9064633347735426,0.8747478249076397,0.938516991937595,0.9214418068307056,0.7536737583232159,0.7413608506126982,0.8210419119221597,0.94625249591749,0.9125950481619107,0.8960230519785757,0.8234431209556321,0.8798427567072952,0.890711108793042,0.9262387264618595,0.9501892509055415,0.907168130137152,0.809313571978153,0.5664225272706414,0.921570418862835,0.8899421945248462,0.5607327848518544,0.8827488560446568,0.9105519170781271,0.9286590187336015,0.8910031314382558,0.8275451638085647,0.8520706070982138,0.9107822614172844,0.6612530420328449,0.7489585355629494,0.8307446954657529,0.6128282446193263,0.8565221310753527,0.7734222439547614,0.7985897123661395,0.8584442828534357,0.8698878478502998,0.8684566994082981,0.9202948828071628,0.8472631068389839,0.5907559681541891,0.7029411863146326,0.8542356509183711,0.8185075687276369,0.8704279956757413,0.5825109765632975,0.8986442276740626,0.7750373527179523,0.8222014031378145,0.8659652092190071,0.8959120297507469,0.8878259498358585,0.8759221822847506,0.7354201430630776,0.8053445361903806,0.610870954371555,0.94122371243726,0.901529108349437,0.8519647153365061,0.803579031081306,0.8556783599690649,0.7565825355419008,0.845260953719411,0.9020282223219303,0.7633437490850508,0.9172631213360851,0.6390772300983055,0.8177198869748118,0.8994780318732851,0.861667561262817,0.8606022089053383,0.8847379725346082,0.8573171781511236,0.8713350746646608,0.7129835879953825
