observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-2.3453218560618643,-1.9224153517257165,-2.356724154184813,-2.188783707068831,-2.518193583570448,-2.3709463230082717,-1.5105962480175101,-0.8929262482411148,-0.6552094211106487,-1.4860747464425759,-1.343692910873109,-1.6709889122765715,-0.976847753199726,-2.2458626712690206,-1.531346399200356,-1.570481415200681,-2.020556302940033,-2.303326808356382,-1.4212843562047976,-1.7859329119035758,-1.0185486816764338,-2.7575595134900235,-2.1929778184402267,-2.262578981837825,-2.0152474951111627,-2.1247255731587926,-2.19146365665914,-2.0941633912660524,-2.5101740105326105,-2.3444551544219436,-1.8289568671057221,-1.0229916943130437,-1.8983326419618853,-2.1622054298183073,-2.1252229189598584,-1.711571312104347,-2.8888497293532,-2.2492067456855858,-2.897930794659212,-2.4379137968589575,-1.685424025395961,-3.09283700527193,-2.2918359839616924,-1.758489534117468,-1.9552230379374802,-2.488197326741578,-1.8050090349245,-2.0500942345995865,-2.428360352399981,-1.9063610552350627,-2.1516089025140284,-1.8916874256220066,-1.99718378170251,-1.9306961653505004,-2.3944215809221836,-1.4741246122241876,-1.8338256084414288,-2.458958554528157,-2.809997596894987,-2.254028729943878,-1.4821062390978803,-2.415512611158075,-0.9624698128696387,-2.0321591000222106,-1.0681842090648779,-2.2030959118242572,-2.240129282519236,-2.161725079198712,-2.5877826199297544,-1.98015516712525,-2.5004386348309477,-2.1103546305645065,-0.6433304143017925,-1.4833100817586393,-1.5511607573338104,-2.069929574562883,-1.0913780113353617,-1.385835774028239,-0.7612662733259108,-2.037263768812129,-1.0322297479483415,-2.7958844850489863,-2.9664712832118596,-2.449617562275793,-2.404971840982305,-3.1492850137758572,-2.565324624545843,-2.2960952263414405,-2.6050645722785184,-2.2069780427450145,-2.2665288493652893,-1.8259517306277773,-1.2107699484045855
1,1,-1.9371716867258975,-1.5883329311164514,-0.6969512811348448,-1.3908215766028795,-0.7730766717124893,-0.7226282155718029,-0.8373401940791327,-0.3610630283055378,-0.4580730740038723,-1.4625722910106886,-0.4569048581907589,-0.5776372598283714,-0.7789151237098048,-0.7318513720816747,-0.9856016966002028,-1.0217873539614837,-0.7501431122459492,-0.6094211370353245,-0.8126329826598724,-0.7933462348706557,-2.51432747843861,-1.1324532151518838,-0.6904889234144009,-1.4177348252256188,-0.6774895031503783,-0.6054639212497513,-0.5755765651034337,-1.3727029137608249,-0.9635463526708616,-1.1520174038822766,-0.7775269698756042,-1.2430430900929426,-1.0487700124921129,-0.6071611000574515,-1.8284602696889842,-0.7225942502351934,-0.6667546004180975,-0.5199438438868422,-0.5516367898619986,-0.9622859321079915,-0.8678836793666966,-1.465797417804507,-1.1433916512045204,-0.7548023078422104,-0.9200101643173351,-1.0255682960279815,-1.3982711473862728,-0.6537761119309857,-0.5920169486992618,-0.6852387795193617,-0.7957003594426478,-0.8237567581365808,-0.7508033136342788,-0.9454968550299927,-1.7968953124973719,-2.408651453204973,-0.661640390648667,-0.8599157090610765,-1.9324267965595812,-1.6686100151468508,-1.0152925741037504,-0.6255857687902664,-1.1272351417038193,-0.5864869821157056,-0.763965005196892,-1.0469281566514979,-2.35756725426985,-1.4030298858691,-0.8369732988233254,-0.6697070759323855,-0.6630898438541875,-1.1208569863058517,0.06065180520877794,-0.7205232703328842,-0.7497862754805478,-0.7470993226638439,-0.5767565492890985,-0.925959019954127,-1.4715950690473552,-1.8073688364117804,-0.5438473208619962,-0.6178801710937916,-0.837550408580281,-1.4991974640083114,-1.2425846994117558,-0.859873130626325,-1.401283831378557,-0.5935182030550267,-1.2462938300699067,-1.6837472299642817,-0.7526831197967381,-0.722246563594708,-2.4553549610200034
2,2,-2.2282757648628433,-0.8302946704705303,-0.663065638819992,-0.6696260853737158,-0.8814603243027446,-1.8145015760955967,-1.1431826473734756,-1.0802002029062994,-1.2648518623705263,-2.0659828110599237,-1.968590707439081,-0.5727632863212379,-1.2647963728688383,-1.730070573770564,-0.7540192126713281,-0.5597208936031862,-1.7766526169461185,-0.8589374458315395,-0.6754632742302523,-2.215801382798297,-1.086646501697849,-1.1980968645654055,-1.6809670640574002,-1.5240401298356807,-2.0216627035212227,-1.0134119609844072,-1.4243798252344735,-0.8234862995471668,-0.7088769326686153,-0.8206953803035154,-0.8703724815488711,-1.085479395283293,-1.1553209205811634,-0.6703060195232691,-0.9400834846546103,-0.6904989193829378,-0.6952118176457346,-1.6539871238138601,-1.4779404111263612,-1.7864933928168463,-0.6456145190620518,-1.0990890871058487,-1.721971518735395,-0.6999056526504646,-1.3862324548930993,-1.1892815873932376,-1.0320039657410285,-1.9828460226305766,-0.9027861170183236,-0.9788170236404932,-1.1082742333738436,-1.1986057484427621,-1.0992587018621425,-1.1490226806936876,-0.7437984865526351,-1.0844125074514288,-0.8653330544102291,-0.8831419448872058,-0.8071986874742729,-0.5216595787198612,-2.852667842126718,-0.9602731340862435,-0.7168324584219785,-3.4338673817306726,-1.4266273378522527,-1.5580844237288858,-1.7056616759684924,-1.0922089410461306,-1.0726291887162662,-1.6708561033957983,-1.426530531331218,-0.7498288757715432,0.04608641482311354,-0.5450580993760357,-1.6455899257023148,-1.0862269670875169,-2.7212853731329014,-1.8907833411248027,-2.3711458847661624,-2.3006883620072465,-0.87836080165078,-1.5613804074715565,-0.9893230416536976,-1.2456236830095628,-0.5794206493879005,-1.2681690348603902,-0.9492948921804352,-1.0867839143071922,-1.6731866980039638,-0.7455248830258294,-0.8116301163811737,-2.2478320214906455,-2.0422709999559934
3,3,-0.6462787407263736,-1.7213679478102206,-0.741364704562782,-0.6599820623209212,-1.1453229123077189,-1.1985136318083516,-1.0307406181020227,-1.428307260554145,-1.631708105647814,-1.0227824440018094,-1.2925912994839976,-0.8291585758856826,-2.0257392976677884,-1.0202621831865157,-0.8324723414320625,-0.7218081139524637,-1.2565682667170017,-0.838759808984157,-0.8524947210859182,-1.0390528070268514,-0.6835919597676762,-0.7276388435941752,-1.2384659463861578,-1.2772293549167288,-0.917882596896042,-0.7048059101801236,-1.0922619519821302,-2.3185011525344397,-0.9940622234075099,-1.2426131283838924,-0.8764314139834919,-0.6321760942591875,-1.1182374495470895,-0.6645703000278014,-0.8643218286136661,-1.405700728701485,-0.7578903622523505,-2.392086524870276,-0.707843926906665,-0.7528093462771634,-0.7683083185727896,-0.9641582774489132,-1.016173250558392,-1.3734666705888785,-1.1671160850479183,-0.9240460718145392,-2.2848590207352713,-1.4746311105636776,-0.8810809463542801,-1.1249878839395313,-0.9148468846975214,-1.708782131969901,-1.1661793644925553,-0.8618330555421618,-0.8301488143883484,-1.777146119765819,-2.362747032654267,-0.7628602626106388,-1.1582292774775456,-0.8363170890652524,-1.8697681436593263,-0.9867244511966389,-0.784535096667834,-1.1718701530252695,-0.8812873518474174,-1.7574374601318192,-1.8093030106960133,-0.9014159562724339,-1.5447696492614515,-1.3890862591245783,-1.309097331906218,-1.2558924126261137,-0.712564437595709,-0.4934742645009356,-0.7460885187155181,-1.4637285184255262,-0.7532691847349046,-1.24208140923459,-0.7582154933100389,-1.0457745010612556,-0.8635473816704418,-1.6101953762091525,-2.3514438738827366,-1.2104676198231012,-4.017309253736055,-1.1315618200655018,-1.5009055261294681,-1.0502727762386486,-0.9975465598442615,-0.8864568331102518,-0.8868534204596318,-2.3818360256708053,-1.0098881847413699
4,4,-2.8272603288197695,-1.98555582688417,-1.7088787051501853,-2.1884871199175207,-1.6255663653152594,-1.038192911542482,-0.9020391770658291,-0.40973208380740045,-0.4244132859359932,-0.6541287126827876,-0.3843545001496729,-1.0329924335023177,-0.7129823381579525,-1.20598706108238,-0.8336585843702705,-0.6304356797672387,-0.9402826178040762,-2.390332735614855,-1.3260826331805093,-2.7324027432762445,-0.64943978529444,-1.0968786163610533,-0.7608797839390378,-0.6097285176449183,-0.7323506620581993,-0.5771820068136851,-0.71341381218835,-0.6339038087844573,-0.8261399058281529,-0.8349492945522328,-0.6370081502038921,-0.9032117559400672,-1.3066928932174813,-1.300358637769593,-1.7091829546393653,-0.9597845806907633,-0.6649502660110762,-0.4753684430731846,-1.9707005694738164,-1.6881006218197026,-0.6581899065625236,-2.6241685816371145,-1.3903005191129258,-0.8200066815799578,-1.1467755835641977,-1.6782368510642027,-1.2849346641974229,-0.6516241533043776,-0.6111536168851128,-0.5884800001632468,-0.5419729535004881,-1.1010643469308563,-0.7261575032214422,-0.8968093839127835,-0.7767056559682791,-1.508587010030276,-1.9895776515358228,-0.6848005542599258,-0.8153517848699026,-0.4979536090700531,-0.679338070905352,-0.6205865647921196,-0.7563091562669085,-0.5469365701698131,-0.9949425408327354,-1.0580654098017834,-1.518697435403401,-0.7830315876577201,-0.7568984955696495,-0.6731452842661483,-0.7952533829983756,-0.5836811449243808,0.11442914058181602,-0.4312002662215597,-1.246681568200098,-1.1125756355100704,-2.07270159771709,-1.3683341465539332,-1.4749912805074548,-1.0175933957970156,-2.881730957049654,-0.608115614679945,-1.6793431020051326,-1.01496263868118,-0.4703844942536981,-1.1364019519888608,-1.8993248854361822,-1.9657493128155847,-0.6975858786856843,-0.936331602386755,-1.0452339674887945,-2.000648115401727,-1.5779603465029748
5,5,-0.4881723930788708,-2.3130085724953044,-0.7920721319352402,-2.3609749798616617,-1.9518276517158375,-0.8716940172191312,-1.1137925885773683,-0.6516718206428741,-0.2984584468238242,-0.7593190107962032,-0.33712149864674845,-0.7494124181204388,-0.6444747907308702,-0.7822405130779213,-0.744439330252543,-0.6955996000995338,-1.0086336091960488,-0.679316197615225,-0.9906996297861342,-1.6424604188891845,-1.0476848558830447,-0.8106476613241537,-1.0120721452880572,-1.3127199488792278,-1.0864876017585599,-0.6928793640288278,-0.6209512796072699,-0.49485651334108616,-0.6186323172869589,-0.9262250102256424,-0.8407716431448171,-0.4628144127184242,-1.6086368625715965,-0.48634555361136267,-0.7487885864304424,-0.6033688037241234,-1.9999870662797832,-2.9632536240526797,-0.6203737391998441,-0.6103188348383397,-0.7102532522888425,-0.669938379921468,-1.0807218456209693,-0.6271890215403386,-0.6512666918680186,-0.6807624370815719,-0.9232081051574503,-1.3017055062226839,-1.512568221379398,-0.6832175497452271,-0.6014449132390493,-0.744898197308522,-0.82817383751852,-0.7418139409305693,-1.8033736540555245,-0.4426859558329503,-0.8814502711284801,-0.7978916510807083,-1.6632058892065005,-0.7855453532559633,-0.8913982994524281,-0.6860088760053887,-1.1310236523230042,-1.8401578614935168,-0.931100032970267,-2.349558580094879,-0.5316459082255902,-2.1861917836395186,-1.158110606995881,-0.7148167561244759,-1.1448317691663576,-1.026542768730948,-0.7883682452539518,-0.4768169056442069,-0.5745124107722891,-0.6596656761915944,-1.4057214137026808,-1.1240139880724493,-2.4057326690064302,-0.9148379774485748,-0.46856868744121855,-0.8785604541881553,-1.5850792542947554,-0.8366969413281551,-0.6541241862531543,-0.5779442935492809,-1.890985667851465,-0.6092464130970252,-1.2686603350919594,-1.2827969656437266,-0.6393630484153706,-1.6103106498703776,-1.4087244306083153
6,6,-3.0445753339817423,-0.8706194268916022,-1.27131670388427,-0.8952732778849911,-0.5094742302326036,-0.9254949816416023,-1.891319224289687,-1.2788525749386066,-0.33972826634458453,-2.1507651582823066,-0.33298929718988807,-0.41906804283454924,-0.860338214239693,-0.7181105466527691,-0.6684530259361094,-0.6349283060688994,-0.702653170225241,-0.6225782010088051,-1.2347373051590274,-0.7939975811372927,-1.7896536333534403,-0.9092161430751668,-0.9486131768451049,-2.7266437087868063,-2.510790231275066,-0.6890689268321786,-0.778282709217085,-1.2234130635806637,-1.8494682299087994,-0.8427644572648387,-0.6560051587435862,-0.6069228091058011,-1.504723823407194,-0.7926978118378473,-0.7313054767999065,-0.7236399884838594,-0.9417542003947055,-0.457120854906076,-0.5566869077914574,-1.087090573479025,-1.02272627125076,-1.1093388658106587,-0.6860887827848471,-2.1358088118496674,-1.049745591524682,-0.7360027239158452,-0.7124919951048385,-1.4852116493388214,-1.1257605513796116,-0.6464080276427404,-0.5280741487577588,-0.8313425151162781,-1.0403121099647499,-0.7403084783355808,-0.6373226581776197,-0.3449921506369864,-1.285719658885985,-0.6566306318146395,-0.901846469101041,-1.6562852946161617,-0.8377220263132679,-1.3213852878454038,-1.1643642005119166,-0.5481720461161956,-0.6479114757022262,-0.6741967010897729,-1.3044575540736365,-2.017672434904483,-0.7267852447071192,-2.226643706090949,-0.6475038638277364,-1.780112256822767,-2.437987735528443,-0.42463257382399866,-0.5113564091185429,-0.820200185558835,-0.6807692913428143,-1.0539932123703382,-0.6518089624805739,-1.5331699568591914,-0.657374525723722,-0.8409672799397954,-0.5740826063694002,-0.9327974822294917,-0.7597162008115425,-0.5249887533198022,-0.9419741987638225,-0.5900429211767944,-0.7443247195308952,-0.8221843980562135,-1.8528189405583093,-2.254057235001156,-0.7984419497278816
7,7,-0.3422538461687864,-1.3605299963942001,-0.8909236346810301,-1.999867303779309,-0.6155750919258833,-2.459884960131108,-1.0992882178908339,-0.40394357104284373,-0.3185355832547633,-2.5017823050729593,-1.4921885992819721,-0.487163697595044,-0.7218909106106536,-2.4849253369990816,-1.8276124763895154,-0.3540862792288598,-3.3514544073760177,-2.3572906789321983,-0.8290550182420466,-2.929304784222254,-2.0965654305989916,-2.5686973005179397,-3.7983219478717745,-1.6364808310451915,-1.8080239754031155,-2.4002493855603664,-2.409934342069934,-0.6180655418186111,-1.20927902406225,-2.1361501686969957,-3.727778995840281,-0.7923661445243064,-2.830094343864277,-0.4909295266492318,-2.4693781503744128,-1.1409041234161268,-1.1877956970361405,-3.3328341114244076,-2.55065028945874,-1.9160699188653056,-1.923477331106195,-1.0667111646018723,-0.7651477087241056,-1.5204184679750588,-1.4355097888668378,-3.056479086042856,-0.6740468198843679,-3.257856027987056,-2.2201032938377954,-1.4622118083672035,-2.742162030969653,-1.4541892771146645,-1.5847896663591325,-2.736983013210277,-2.766211167199775,-1.5067826472000514,-1.2471807643240416,-0.605541738383609,-3.065000219590588,-2.512814418442059,-2.819779761851477,-3.0654651535856305,-2.2977909972163006,-1.2519909141017247,-1.5295713779693307,-0.9483663029086515,-0.5647618248514548,-0.6681075722706944,-3.265164629674449,-2.0523004111972876,-3.3622279162351694,-2.0972926826217555,-1.2607728153448967,-0.8758484696507064,-3.188630797538484,-2.68774079749343,-2.8913503064033845,-3.685025663945778,-0.7225258046497732,-3.8915307967862836,-3.9281539904210776,-3.2135265230150445,-4.117089038565583,-2.5975644120489445,-1.829277201690905,-2.660865780265713,-3.0466643384266927,-3.1275333070887865,-3.266583041326307,-2.4480433807146573,-1.9687969914683454,-0.7416142894184161,-0.7483119349253268
8,8,-0.7207226323839904,-0.9010095829503522,-0.6231153553100126,-0.593598006641215,-0.74220571213097,-0.6237941288857023,-0.6548192532903612,-0.3760488736384875,-0.3531947099225883,-1.3957175724813728,-0.317215450384803,-0.4567557913769685,-1.0660265092521248,-0.6040106391069409,-0.8886788405332288,-0.55408622004688,-0.7054486627173173,-0.9895918975864533,-2.943445082525685,-0.7879628235987084,-0.7895141711359159,-1.068427714906586,-0.7867717108483427,-0.6048921602022741,-0.6236302832409821,-1.0859211977950936,-0.8754409656513743,-1.0600972905242965,-0.6087259308669539,-0.8794515068647786,-0.8969923180661359,-0.5269634134610266,-0.7446079737984981,-0.49191842098516725,-1.042492176834106,-0.9862922976371863,-0.9521375772336821,-1.0123345331458427,-0.6679021120898143,-0.5396700159733936,-1.5196567262256473,-0.7266005093710205,-0.6175273124320307,-0.5686067234429386,-1.085216637824375,-1.316100033254433,-0.9185489756085234,-0.7633662275062547,-0.9782648288572183,-0.6929072895609087,-0.5988569692289955,-0.620472123946048,-0.7607824153200762,-0.7343266956009783,-0.8180943006297183,-1.3030567540712172,-0.5771723077318269,-0.5819189749724254,-0.651242795231384,-0.4811558972651669,-0.7630510643542726,-0.7973427534835799,-1.3975916966094533,-1.0526184616270484,-0.7156552835777769,-1.5189678509632203,-1.9930731741134176,-0.8460176602709233,-0.6476175878244727,-0.7212192815774744,-0.7190920508799117,-1.1257822483327222,-0.7074780511099334,-1.320373528706288,-0.590070742549818,-1.0211583005030733,-0.48091476403314515,-0.6671352824046834,-0.9570620157519646,-0.7221554378152174,-0.7545270212179782,-0.7156697901648945,-0.9676680506191484,-0.7634430464277375,-0.852649114113166,-0.5316145594596369,-1.0070272381950383,-0.6585949636884577,-0.6388180092937754,-0.8240225307673512,-0.6477019849303688,-1.5487431413564894,-0.7280432687817553
9,9,-1.491101831346796,-0.692242659618993,-0.8564838483075086,-1.0080363846522524,-0.6561435742449558,-0.6437956282698314,-2.0050175367187655,-2.2206465712032597,-0.412030135501601,-0.6374451522123765,-1.3219520909764417,-0.45082496032902336,-2.000219319812893,-0.7251440068550634,-1.8441039192316104,-0.5508255391560931,-1.157296982592766,-0.8080876028243797,-0.7089335084585975,-0.8112599277766441,-0.7136989247732557,-1.1522433514383643,-0.6937244992954721,-0.6795407009573415,-0.8240641239933502,-0.5804218318393799,-0.6087045066003207,-0.6351363907229357,-0.5861344507590274,-0.6596932010195637,-1.206043869390487,-1.2548720813151293,-1.2493942472627533,-0.56618804586861,-0.7282342688483474,-0.6564112065126229,-0.6435803346108551,-0.591148206890737,-0.636192511459928,-1.2253939031902983,-1.834503780405979,-0.7369133269701691,-1.0060333877896415,-0.8841693785305391,-0.5028799024784423,-1.060926860161503,-0.763239453386954,-0.6403220342956889,-0.5282248966536628,-0.5441561573273332,-0.6158589876531888,-0.7967986182663116,-0.6350793123172601,-0.6937368220757899,-0.7130401617359883,-2.304283147773507,-1.0454088788363545,-0.8055498949826139,-0.7025489419104685,-0.49451147963464037,-0.723043571472328,-0.6597366109063434,-0.7997041615118315,-0.8125583792051295,-0.5590681813319378,-0.7522944679423305,-0.5693829817204185,-1.1048610115957416,-1.0102634773051795,-0.7778756094151389,-0.657127234083816,-0.7900792456285537,-0.029981511455244803,-0.5689273526573803,-1.2087081602168965,-0.8135607175029504,-0.6188780458473178,-0.8180542371190782,-1.0293667088010081,-1.3262711629785575,-0.4907197655555776,-1.9393392932255926,-0.7971181042108425,-0.6553683532758069,-0.6187539435965423,-0.7506581982363728,-0.6404693148364528,-0.6232755711580804,-0.6827392699310151,-0.7703014308225599,-0.811830710646219,-0.8136877571823267,-0.6235753462906111
