statistic,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
EXPV,0.5181683305142669,0.19262997088149347,0.19579497463326256,0.18564681280758222,0.1552894506876784,0.16614508926389415,0.24944343856085027,0.3612293579362845,0.3006813389835368,0.13823237665706622,0.10314066841149738,0.09599482232503709,0.16719266963816615,0.15777816095317465,0.16084146055504212,0.38826640513726074,0.13481601209097782,0.1371330567804615,0.1205984622055728,0.1157527418983707,0.28758456749212036,0.16837868407708834,0.13745651713357,0.21156876325007512,0.23164867481943452,0.2536515510762537,0.2796465904540749,0.12990419583268253,0.11388449949081658,0.10348242667937091,0.1603089783540419,0.2424847188365583,0.12210438857009798,0.2165955975594257,0.0542437692968053,0.2102514783740761,0.17791764182868497,0.4903404393162326,0.09514486084577212,0.11227403444281048,0.1594789286123578,0.06170127950634152,0.09842610554953779,0.1366531569372258,0.17728951274211124,0.19804229537138573,0.08094780228984089,0.2097376776428549,0.2286005307805954,0.2767710645275775,0.21181595943881792,0.19642894760782037,0.21370020888231467,0.17404308946162428,0.18203654794208046,0.5920139449862645,0.25206032447081184,0.14234415676180823,0.10151010313693087,0.29862888654062314,0.2508442147795187,0.14110156349453595,0.06949311017416893,0.262725276437045,0.18765473658937082,0.18026863444874497,0.2172391580234363,0.2606723956244157,0.15175454534073218,0.2437377557026662,0.21189634919249445,0.2754221222228409,0.7970531354136654,0.175289186105842,0.3333851167661984,0.1617329414828953,0.1908309779927243,0.2755778974185158,0.17277284443862928,0.2684008175930014,0.3383513005173896,0.4002650648048379,0.21507481448398347,0.12697645514305256,0.3355694576353575,0.3258911155452333,0.15414978188849238,0.21513370183608171,0.21400847711728332,0.19362931298465547,0.13858571094132677,0.12458798179093278,0.22432471139766696
MACE,0.015255041518386747,0.011933570581257427,0.009798339264531459,0.006595492289442466,0.018742586002372465,0.015255041518386738,0.01181494661921708,0.017081850533807834,0.015848161328588378,0.013997627520759207,0.015492289442467411,0.017390272835112696,0.01466192170818505,0.011221826809015439,0.012882562277580084,0.020000000000000018,0.012099644128113896,0.011553973902728349,0.01838671411625149,0.011340450771055773,0.01786476868327405,0.01264531435349942,0.008612099644128138,0.011696322657176766,0.016132858837485144,0.01406880189798341,0.01613285883748518,0.0055278766310795,0.010272835112692783,0.010035587188612104,0.013119810201660753,0.007188612099644135,0.007663107947805468,0.01762752075919336,0.009608540925266912,0.010913404507710552,0.00825622775800713,0.009323843416370119,0.01043890865954925,0.012170818505338092,0.017390272835112693,0.005219454329774628,0.00766310794780547,0.01739027283511272,0.012408066429418746,0.01304863582443655,0.007188612099644144,0.01311981020166075,0.012218268090154213,0.00718861209964413,0.024436536180308426,0.0033926453143535303,0.014472123368920536,0.007900355871886148,0.027995255041518386,0.012882562277580084,0.00991696322657178,0.007236061684460252,0.01174377224199288,0.008896797153024917,0.012170818505338092,0.01043890865954924,0.023013048635824415,0.010272835112692762,0.0088493475682088,0.017912218268090162,0.006951364175563479,0.01572953736654805,0.008493475682087788,0.006832740213523163,0.012289442467378429,0.012930011862396226,0.030367734282325032,0.011696322657176766,0.012170818505338094,0.006832740213523132,0.004270462633451953,0.0069513641755634846,0.014068801897983397,0.010272835112692778,0.01814946619217082,0.012170818505338092,0.005883748517200492,0.014709371293001186,0.01288256227758009,0.014946619217081866,0.017793594306049827,0.014946619217081866,0.005053380782918166,0.009679715302491124,0.005765124555160174,0.013238434163701083,0.016370106761565844
MAPE,0.0786779414311199,0.09973066256811765,0.07718526336617718,0.11099480650203787,0.0925133740652213,0.05783811839705433,0.055454421616186314,0.25708877205126235,0.2745520792890694,0.12099840856985762,0.0997617083061119,0.12990922388417153,0.10671802515463438,0.05108988892568851,0.07104388242287657,0.15648765031677217,0.055258131294448,0.05627715342276022,0.0769403964279185,0.06551977108993312,0.0674888447930748,0.07549282779471424,0.050947807777463244,0.05188204671899582,0.055764011774501215,0.055074626578618856,0.05886265675335786,0.06086685253458226,0.058623296914549566,0.0604264353875815,0.06831057332249948,0.07144661933928108,0.0808740764931738,0.0743051019066376,0.06538880562705336,0.06102812133110438,0.07451332459169731,0.09230450882011175,0.042446512599776116,0.0467517750507298,0.05684450967405362,0.05395549356007634,0.05132825763683489,0.13475724640198558,0.05368571490884273,0.05873156493271075,0.05613297360409069,0.05572714549104524,0.04632517170985569,0.05445279482709008,0.05644616477731326,0.06257237490071045,0.0633809499200428,0.060192222717504504,0.06232940942389221,0.05870737424713022,0.11426346842835407,0.05938306106345242,0.07041327472441776,0.0494498620880166,0.05083521119444463,0.057444453224499155,0.1893788840349182,0.0712448880142013,0.06790365549220721,0.13066977597908588,0.0475762543659405,0.06928770067033671,0.05211793434245076,0.05654581337856672,0.0535239683516339,0.05750720324370778,0.14524626431033508,0.047521363371603155,0.06671840521857789,0.06771651630814113,0.05379842512017369,0.05293510170647664,0.08191458183257111,0.07861353224966988,0.07623476142389586,0.07923473271766024,0.0865485994199683,0.0704965411270356,0.046604084078601435,0.050271471552109585,0.062094501633559125,0.053529389990242385,0.0536965528930282,0.0808793871469232,0.06716200871047111,0.08531339370192506,0.05867353721182038
MSLL,1.0545809190188018,1.337113322626876,1.4231187424718148,1.1209000615756115,1.4662751774539236,1.9110832296878222,1.7778485943198417,0.6533151315024514,0.7589077501517019,1.1843183623763982,1.3521705812680143,1.2286124867512223,1.5451067203751523,1.9285094059993928,1.4390006632866843,0.8492615030208115,2.0428299557985508,1.8894771320905386,1.355998568676593,1.7464983733721735,1.6207035800540406,1.7252245340722665,2.0273681419587253,1.8152166741387639,1.6181756223488772,1.7700331809056258,1.741235527996698,1.5293164700269726,1.8085218508284413,1.7027541906314718,1.7842316974056134,1.3860401869484207,1.5544746479389466,1.3082901153887256,2.0127927003456634,1.8494931100693717,1.75432431686378,0.9015926296801009,1.8266527405519015,1.700001339206708,1.6345259883401146,1.7207257501123814,1.8208291056126005,1.179359008936347,1.4606005997784086,1.799525030614713,1.709030671771636,1.8460727018120244,1.9718152548198624,1.8603230572987681,1.7985615030515583,1.9377848750003126,1.8719976701840175,1.895516667587905,1.846048697418452,3.787712391013064,1.2501219843793443,1.6132261794193177,1.7613208252145705,1.5476942817954067,1.9015913229103245,1.9920425015248875,1.001110511339038,1.2350466487228082,1.7476972406525642,1.1379982508254407,1.635644692592238,2.0456104669900115,2.0159577982477996,1.7952577795791802,1.8048560479291607,1.6240855987924148,0.8813219756834418,1.4440461834016833,1.4381339860620133,1.6841830603443921,1.5506407757135634,1.7162959442640886,1.415726151327235,1.1317650073117538,1.1831451281870102,1.2362772935975654,1.654355112434337,1.8914910729493448,2.069298370263378,2.054516229303862,1.970526461266275,2.0162999027680693,1.9813777048240862,1.724336017295063,1.813970590446237,1.77467079667962,1.9361975331253736
NLL,0.9987458806675269,1.2637626402650746,1.2743768149394765,1.2223640600591617,1.199038096949572,1.3299936173864793,1.242882775926138,1.0882453563263557,1.035300764420406,1.163590369322033,1.0846402670120114,1.1451233226428637,1.3266800308775832,1.3118114848638338,1.2728908932850216,1.0249135441587338,1.319993025726584,1.2972859918765736,1.2974932754573338,1.3817267402252933,1.2349279722356308,1.3070581776405175,1.328971572346053,1.28303891197639,1.2696555197107458,1.2353484583156966,1.2288453948045124,1.2493347406225501,1.3020164004398282,1.2914049141462345,1.3032170374463112,1.1896224072354062,1.3024329213379748,1.200587230459922,1.4024382000231292,1.3095162476121172,1.3091924810996576,1.0896364229950424,1.2668067329626693,1.25882051265381,1.260877646568867,1.300367124846788,1.319897774580171,1.2096811048266924,1.1977385964341671,1.2937917646250028,1.3456999327253647,1.2933167006263009,1.2659924624734433,1.2728334618936528,1.2310629962303576,1.3115582775710122,1.2730753402601132,1.320916732898188,1.279135883461404,0.959428707486734,1.2644683069358167,1.2756559973793138,1.3668291438489777,1.1871694629339677,1.2839796864473678,1.2917272522580616,1.3802766016037533,1.1808207624644411,1.3146533232678435,1.3564746286243516,1.2328836798885217,1.286739325856912,1.332374426997329,1.2802688300291323,1.3128045844148937,1.258700147374116,0.5736981884696273,1.1204593984688924,1.171270687533998,1.3243393979692033,1.1481924849346208,1.2479345536681894,1.3080755864365177,1.1624050382256086,1.1431549000051269,1.166897784078484,1.29337156034921,1.3103082570381388,1.1992095648465972,1.1985573095258888,1.2913014591770484,1.251628891754746,1.270932401357426,1.3253920315359788,1.327744113375242,1.3637737536456112,1.2788442577982866
R2,0.5175195846962257,0.19217545762309152,0.19527714778131589,0.18557099801626897,0.15211888645379823,0.16389869185391337,0.24843915868177147,0.3611814560431006,0.30067408067535206,0.13768488633750187,0.10220484561405174,0.09277228857373898,0.1671154099052371,0.1567704478497003,0.16046867233883133,0.38740278386483107,0.1343097242285256,0.13684553833474156,0.12054877814757847,0.11424759168929888,0.2865719325487748,0.16761078823751918,0.13675608226890668,0.21036644779144686,0.23006614327805874,0.2531917631815479,0.27944313100262586,0.12897247502807918,0.11285556686773035,0.10248325526477575,0.1588274148761647,0.2422078044339191,0.12187875893624511,0.21446255282313575,0.05245080150065007,0.20957668020218145,0.17711022895360584,0.49028366772476273,0.09511492966320978,0.11218947661905554,0.15764838746200138,0.06169803033610677,0.09800071481499584,0.13519692396227123,0.17668136060183293,0.1972734671948112,0.08024864453934388,0.2084476139281901,0.22815222333358942,0.27675244675130284,0.21180150868567627,0.1960128590481005,0.21310362932040428,0.17359532799377042,0.18183359649074005,0.5915073337736358,0.25201852879472253,0.14224393965578597,0.1005346128789475,0.29839516340186356,0.24984282755519938,0.14093070390729057,0.06941279927075372,0.2626289441778995,0.1867514619509485,0.17910087479259318,0.21643613013559038,0.2589003740867337,0.15061719701016896,0.24302440873737285,0.2107069584593767,0.27423468629369685,0.7970330638542693,0.17524906063882484,0.3331189520747201,0.1611452731255677,0.19049225662928793,0.27516583142461815,0.1721513649260854,0.26833855651342875,0.3383396775627193,0.3998849049525004,0.21498272168123256,0.12679677652695964,0.3353423847435568,0.32578229236802025,0.15401051927685006,0.215097112380634,0.2138361284672351,0.19297893221564244,0.13815970130092736,0.12322465509982672,0.22363853533274758
RMSE,0.15894754353160068,0.2020996446526233,0.18706312866795835,0.2416877812567644,0.17055745861376734,0.12374517216168304,0.12286047608758383,0.29877164537267503,0.26677098864108656,0.22008668593248898,0.17545450115088704,0.2120128066309227,0.17749810972468358,0.11992431045211711,0.18777627596305366,0.22575378815056524,0.10927479599994763,0.12434311424380483,0.21402286685465377,0.1581250545537812,0.13896252690207797,0.1453177634725199,0.11182008345222046,0.12628557795816248,0.14984048711728326,0.12250582798510302,0.12304635375922296,0.17068063280176551,0.13733697221916796,0.1519278471645671,0.13718397015703818,0.1730751557455657,0.1762299569198857,0.1925624056064426,0.12793521922931472,0.12536714204750846,0.1406421046464182,0.20849396156000935,0.13149871365298715,0.14666300214547295,0.1528396792683323,0.15394823264704882,0.13925609374658615,0.23194774606141796,0.16880576761223715,0.13074029699345102,0.16136357536569423,0.12386362185104316,0.1049527227240381,0.11435701797091659,0.12179210999358192,0.1159900192506742,0.11792691380501029,0.12382650804156034,0.12415852343449246,0.0091421208896052,0.21229451496269922,0.15989683048749648,0.1546783363390331,0.1413302647673724,0.11300915619915469,0.11133555416643881,0.34104454161233816,0.19681394418571216,0.14151611149333027,0.27276635900556956,0.14318025803605106,0.09752760803408853,0.11257399298188459,0.12579022784677377,0.13142764514009667,0.14304610722984645,0.08014494949408346,0.15899822615338793,0.15131770805320224,0.1546422236749172,0.14557682947159906,0.12896604640272327,0.19769070359654645,0.2134148846076356,0.1891092775710997,0.1748835506751735,0.14942706559967292,0.12644917496390254,0.08263938003325104,0.0844159799908584,0.11283962545770826,0.09978801593728401,0.10543307929235322,0.145863318365287,0.13813723144506515,0.15023000125766575,0.11048667653187622
Rho,0.5744630509604222,0.36280757333622077,0.37619457398962025,0.3629647558043249,0.3605078758458585,0.32760094394162104,0.3627159019248178,0.4910296574415302,0.4578553230448808,0.2872504797188301,0.3782008288182656,0.3296379862627446,0.34553337633258546,0.34128792734541286,0.3721580572993204,0.5695975154339521,0.2593801572379462,0.3809145392471131,0.32639295050301703,0.2913846169976741,0.4429504008609005,0.3860651602573363,0.28446452212849804,0.353645600167989,0.43609333321689203,0.4285441679500082,0.45687782516642395,0.311423208328367,0.24086153058957954,0.24865410133131585,0.3311552267427436,0.4582853163482526,0.30943642353400197,0.37889942646801733,0.22907960591033444,0.3392034418389058,0.3071712492988682,0.46210719193533206,0.286891826463904,0.3444615629639963,0.3478802766375377,0.22702968372085475,0.3216674910565077,0.3409604321546049,0.3154432796502059,0.3470052969025443,0.2441309038921574,0.4036419340128446,0.3587185957202213,0.3920436025426487,0.35266493740741667,0.3411688536635414,0.3442566368470166,0.31307016891330336,0.38120957007245065,0.5759640263500554,0.3689087549580068,0.3473594532205404,0.2836052866804843,0.39217208073181914,0.37243857001543235,0.2969316192939841,0.22641352323785244,0.37861545842174743,0.2656050797411791,0.359581126251197,0.3585876437149669,0.36575734362238005,0.27620537164551656,0.3533310048764368,0.32361489510252406,0.4055619958810908,0.5021701226117483,0.3830921841741465,0.4936106889148826,0.307433113247578,0.323227577630463,0.424220408161376,0.35156573178380873,0.4343291918700837,0.5516698003198117,0.494820915798777,0.423931542560187,0.297274702985445,0.5099540900821644,0.4551105589992991,0.32247005908993415,0.3538318875330163,0.34628409438274593,0.32668640318018366,0.28372030410521404,0.2912986343617193,0.3821105942516672
Rho_p,3.478888178925249e-75,1.2644881570021957e-27,9.862102314266614e-30,1.196016767283054e-27,2.8451992447081185e-27,1.5380932409456036e-22,1.3061987555346993e-27,2.3007352850255057e-52,6.518096903933471e-45,1.7737781215093082e-17,4.67142371463941e-30,8.132978585021007e-23,4.76458010420327e-25,1.9363565801966315e-24,4.36556685814593e-29,1.1378907901638503e-73,1.9925139213482795e-14,1.6860511846934053e-30,2.2392427224995163e-22,5.835677666412343e-18,8.027087780461376e-42,2.373019911944784e-31,3.713424427277388e-17,3.076720428941243e-26,1.886329830541644e-40,5.612526789523328e-39,1.0508052055377366e-44,2.0475831812399794e-20,1.3654803300806353e-12,2.4039920383944465e-13,5.043920685112543e-23,5.280479295650824e-45,3.658011212424067e-20,3.59678376469076e-30,1.6845362000122584e-11,3.824301104065472e-24,7.050551312974943e-20,8.018811127546277e-46,1.9516838156254808e-17,6.80222890005041e-25,2.1744157062033237e-25,2.572402571494011e-11,9.57559344543671e-22,2.1556144235593923e-24,6.2437588246018905e-21,2.9153797676610103e-25,6.637224879335414e-13,2.2533676612711286e-34,5.323002135556668e-27,2.331650102707928e-32,4.3031719895216054e-26,2.0133989664507165e-24,7.280258234614395e-25,1.2614902023291164e-20,1.5083496273411234e-30,1.172306680001967e-75,1.4240065277859382e-28,2.589384210244799e-25,4.65599804152617e-17,2.2170750150669779e-32,3.9394659038538294e-29,1.2755304004188406e-18,2.9191597672462886e-11,4.0003470695753926e-30,4.4509837379748676e-15,3.9376110476923425e-27,5.5718415834941135e-27,4.425239170867115e-28,3.1623368281652293e-16,3.426766036958094e-26,5.277768951880273e-22,1.0268713379995783e-34,4.677135610740387e-55,7.390739354948747e-31,5.584966906068166e-53,6.537403561809551e-20,5.943697660864012e-22,3.7712016858015407e-38,6.258831995015923e-26,4.2005473066386414e-40,2.6584555395472894e-68,2.8635775747418824e-53,4.27883105336048e-38,1.1597598326914461e-18,5.36096888281102e-57,2.4819292658659866e-44,7.495013409884745e-22,2.886374528610455e-26,3.709907079330244e-25,2.0442922583098183e-22,4.517335812611445e-17,5.973297554557033e-18,1.0726961138402652e-30
SMSE,0.4824804153037743,0.8078245423769085,0.8047228522186841,0.8144290019837311,0.8478811135462019,0.8361013081460865,0.7515608413182285,0.6388185439568993,0.699325919324648,0.8623151136624981,0.8977951543859481,0.907227711426261,0.8328845900947629,0.8432295521502996,0.8395313276611686,0.6125972161351689,0.8656902757714745,0.8631544616652584,0.8794512218524215,0.8857524083107012,0.7134280674512252,0.8323892117624808,0.8632439177310933,0.7896335522085532,0.7699338567219413,0.7468082368184521,0.7205568689973743,0.8710275249719209,0.8871444331322696,0.8975167447352242,0.8411725851238353,0.7577921955660809,0.8781212410637548,0.7855374471768642,0.9475491984993502,0.7904233197978185,0.8228897710463943,0.5097163322752374,0.9048850703367901,0.8878105233809445,0.8423516125379985,0.9383019696638932,0.9019992851850043,0.8648030760377288,0.823318639398167,0.8027265328051888,0.919751355460656,0.7915523860718098,0.7718477766664107,0.7232475532486972,0.7881984913143237,0.8039871409518995,0.7868963706795958,0.8264046720062295,0.81816640350926,0.4084926662263641,0.7479814712052775,0.857756060344214,0.8994653871210525,0.7016048365981364,0.7501571724448006,0.8590692960927093,0.9305872007292463,0.7373710558221005,0.8132485380490516,0.8208991252074069,0.7835638698644095,0.7410996259132663,0.8493828029898309,0.7569755912626271,0.7892930415406233,0.725765313706303,0.20296693614573072,0.8247509393611753,0.6668810479252799,0.8388547268744324,0.809507743370712,0.7248341685753819,0.8278486350739147,0.7316614434865713,0.6616603224372808,0.6001150950474996,0.7850172783187674,0.8732032234730405,0.6646576152564431,0.6742177076319796,0.84598948072315,0.7849028876193659,0.7861638715327648,0.8070210677843576,0.8618402986990727,0.8767753449001733,0.7763614646672523
