observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-0.9563936643499638,-2.354686948305543,-2.5478460629108275,-2.0101976328371363,-1.8282437397354923,-2.93278226783921,-2.918160180213325,-0.851269187922916,-0.8972636773904035,-1.70890732984559,-2.3269006534282006,-2.0838729350990035,-1.237578435899521,-2.9952193659260127,-2.1067945220768154,-1.489890417017547,-2.8424430206327163,-1.7990173524828954,-1.4139403249965081,-1.9297379864266708,-1.5026230821891364,-2.8935827046477858,-3.2388488578019574,-2.2685971202119717,-2.220602213821195,-2.7511136663368294,-2.4617382948889013,-2.4977753652551495,-2.979808362073359,-2.1213376482375503,-2.373396143685265,-2.3863027433200577,-1.4190910054893797,-1.8259017604140002,-1.9707085693274904,-2.1237203975554864,-2.7194834146942,-3.311742504782528,-3.7174475111277614,-2.8465533093987876,-2.8776956942628913,-2.175532998636959,-2.7329127629144043,-2.57135821919712,-2.3350130039743653,-2.5695719371427934,-2.0241143959633643,-2.1663516998193018,-2.6904539027863597,-2.499107805307165,-2.4569817547726904,-2.4653581160986295,-2.52479106513652,-2.8833211649048307,-2.8305573123421297,-1.5654043945571559,-2.701470655383196,-2.460597656374323,-2.6789596997108465,-2.2996767577385153,-2.6033547405353326,-2.7469057065099003,-2.4794279129929055,-2.5771019913032687,-1.7707629807182075,-1.4137518533586548,-2.2247435949702714,-2.3911075696592516,-2.562066075109624,-2.3338483589348473,-2.843958900191848,-2.378177771893907,-1.1670022660774209,-2.156848512550216,-1.9726709347760956,-2.469421414853361,-1.4238531500201932,-2.543112622722272,-1.8743213065027031,-2.1978576966330596,-1.841764772786291,-2.4946827680917734,-3.173361921424867,-1.8206480188457312,-2.715749010363978,-3.372410995797293,-2.8599592853026627,-2.9676694739850165,-3.154058394607305,-2.762719892081882,-2.7094602968734884,-2.0590308024456316,-2.959455745744395
1,1,-1.127162998682738,-1.0647434532773126,-2.4588962112470822,-0.8749319635325988,-0.5743653400398581,-0.8461741170877505,-0.5398118477912649,-0.9362653354625867,-0.5061378248345475,-0.7408806581818712,-0.8335418673730933,-1.7856824046305497,-0.5255261317149778,-1.1940998322960636,-0.8927461815477704,-1.0879306365830792,-0.7490389593813089,-0.5048063761201144,-0.7130487342050741,-0.579507415127653,-2.616619201555098,-0.6503741030461241,-0.5867639413418136,-0.998573159570959,-0.8534655667612547,-0.4732396481826294,-1.1594966186641336,-0.7485899320693578,-1.267903049413306,-0.5915713275625182,-0.9577108554516341,-1.6724090498421482,-0.90289702200338,-0.49124736825459087,-0.684677417405338,-0.5651746547714775,-0.7734112220670127,-0.9652633739337664,-0.49786268670116385,-0.9642050961553864,-0.5570452927580154,-0.5962643631563969,-1.2812079685655993,-0.5650879689641677,-1.0041466862284434,-0.9602913918622044,-2.3009077943908967,-1.632039019387158,-1.445017747467284,-0.8724680249157875,-0.9024840290639344,-0.5506584349134038,-0.6396917171175885,-1.8076371929574138,-1.6483641157587647,-0.9106668649453296,-0.6651467437808699,-1.522352309584714,-0.6768976294240624,-1.8374528237198011,-1.4638565788978024,-0.8373808626320434,-0.5913264305446241,-0.689946184651199,-0.6316093091691102,-0.5725570636041505,-3.7336427114113944,-2.42836378724766,-1.274677013901764,-0.5201714378497452,-0.7273532181352866,-0.9581106728723695,-0.282035506301487,-1.1753638644823208,-3.2455203767818945,-1.3988917930004785,-1.6845398580511803,-1.0173404038219864,-0.8147958502940769,-1.5716248895738172,-0.716296795817542,-0.9543986605126187,-0.824123164220866,-3.0764387247202007,-1.06702357187332,-0.991698803277165,-0.9644882398819268,-1.1669986552093703,-1.2778969080367537,-0.6703789101195281,-0.6862326755196966,-0.9451548430065444,-1.073086478198201
2,2,-1.394336647754396,-0.7056012380384303,-0.9091436372230054,-1.0475486947615922,-0.9966951803894699,-1.62482149546114,-1.9930227534233207,-0.9627774444590973,-1.198980483166018,-0.7211005846103071,-0.9558133082867227,-0.9930189031724753,-1.5164879708844499,-1.5570373272915274,-0.725450748584112,-1.1238950475151976,-1.3532572158066443,-1.0955674614760635,-0.6805067931557347,-1.8046590431661178,-1.4447731320605637,-0.581668602454594,-1.2881935600764538,-2.209427347441183,-1.6240668386739419,-0.4739285543930776,-1.088253545380307,-1.295883965161409,-1.7059566805749906,-0.8638604646562196,-1.2249760330007446,-0.5893454905578572,-0.757831902651718,-0.677859579010465,-1.1864920957890854,-0.6179410422276215,-1.071224776793338,-3.8733458525082938,-0.8138171048507321,-0.9600019840301366,-0.8262001593552344,-0.8151907277938089,-0.8285391116406953,-1.0798670870202622,-2.411349296429724,-0.7508319349755773,-1.0591447271592709,-0.6033724977788457,-0.9516139351814527,-0.7068163889289771,-0.9823574251603975,-0.8314629574388339,-1.024936900510375,-0.6287754499942761,-0.7524947702846385,-0.8624483138429144,-0.9547813658411007,-1.110549146333933,-0.6692209528425792,-1.2519053785488194,-0.5943391470694257,-1.955940069471203,-1.5793413213310656,-3.097783706352419,-0.8504634654320697,-1.031960352456307,-0.7280439002297403,-0.7773333257853269,-1.3403426268048193,-0.6637951049879618,-1.4684129660441096,-0.951319195769711,-0.2912100833434781,-1.354917152503611,-0.522522878666082,-0.6142043159113768,-1.0317576084361937,-0.6364575470912439,-0.6080584916482108,-1.2197412481813075,-0.757302999029546,-1.370476779517467,-1.3541949645041766,-0.7807021012909002,-0.9743271283490534,-0.6933379658053357,-1.0932028907611002,-0.6046397600035038,-0.6526914707990626,-0.6107414778664382,-0.5473195299631679,-0.602486393514085,-0.7038326067600552
3,3,-0.6456375258499235,-0.977561244105933,-0.6777387384332223,-0.9255866757870879,-0.7994548556022242,-0.5862556071196272,-0.643015943869763,-0.6243665620358838,-0.5444941781418279,-1.3879733923527358,-0.7875794988229854,-1.2092728461618563,-0.7254096020247484,-0.7527639605084292,-2.4223041181114615,-0.8349678558108027,-1.063220125031366,-0.6656518948282292,-1.3366968065678446,-0.6946824055038955,-1.7957887477012262,-0.7057855785609429,-1.2548211426516225,-1.1494602155290323,-1.2967676127996475,-0.6490431053845278,-0.816915531903665,-1.2993434974090816,-1.9277786618323858,-0.9065564682736305,-0.8774691443346346,-0.6099121007505229,-0.7225300359559577,-1.099436113209276,-0.8924241701915101,-1.0044832293019796,-0.6418983633613576,-1.2023776047748307,-0.6650686103846146,-1.012166713633964,-1.2333693954719487,-0.88239769625176,-1.3543966668217662,-1.6869166151486552,-1.9377392749562832,-0.8815652545596936,-1.901335090310256,-0.6879181108345549,-0.5465623223377918,-1.2894974610636893,-0.5450611456549842,-1.0954453334795224,-0.5006320484464006,-1.3484429443269408,-0.6670460706938944,-0.571860464754935,-1.4304120514031085,-0.7109778523792148,-1.5637129199200945,-1.9834775539402694,-0.5877820964975966,-0.9485490861847867,-0.746810491254277,-0.9166826393184617,-1.6671450436618616,-0.6220674440013982,-1.31287618892927,-0.851551657945725,-0.6502342083548066,-0.991015598703646,-0.6190393707065682,-0.6787218615898047,-0.7970383847422557,-0.841698211506775,-0.7067529126367481,-0.6371259236507226,-0.8641092779383437,-1.320840159333677,-0.9847363947692707,-1.9814859277141776,-1.1929629602773786,-1.153314858176473,-1.010821303416726,-0.5607859709730885,-1.0691689748864903,-0.5936906935861472,-1.032700339407421,-0.6125445661456417,-0.6280153957022695,-0.7131371334667251,-0.6245775641936215,-0.7300856224485863,-0.6084603768036448
4,4,-1.518088221142349,-2.2327681811275504,-1.1452900452550234,-0.9735248641667982,-1.0159313425614573,-0.5488551106368864,-0.5728818752447311,-1.1067215391737173,-0.5206277993103551,-0.4764233203414051,-0.7764899453302134,-1.2400078558841223,-0.6172262141819111,-0.5269369724208782,-0.6275428550174118,-0.6584197087748885,-0.9712429442626385,-0.5566378160698873,-1.4460727419838406,-0.7090020818747662,-0.8350492349173293,-0.6565527382496923,-0.548576515385477,-0.631571547675719,-0.5771359174192738,-0.5001446820615788,-0.5952429690342735,-0.45657888757748105,-0.5296036870433993,-1.4980173891368669,-0.5762862672792249,-0.49065204095906606,-0.5201910519367271,-0.7333268091853943,-0.8940136739866706,-1.064382525000258,-0.6401664917495123,-0.6517205582740431,-0.4669121398230599,-0.40021457461081666,-1.5245662273109333,-0.8546339650486202,-0.5554449166152878,-1.3458004538021537,-0.7930387730808105,-2.6013820075046077,-2.0821422300683903,-1.3423887215319596,-0.4978382442349154,-0.8882596582011223,-0.8493915072392229,-0.6332104521086681,-0.4284928603444975,-0.8316364559802092,-1.6508588390510748,-0.36440538365299224,-0.5516074970540975,-1.493749145963085,-0.8506007399363047,-1.1103633695065538,-0.5654518041393897,-0.741409910536217,-1.0617969262083253,-1.4602763665137108,-0.6906012591655959,-0.6028910569423244,-0.4756312806619001,-2.010535734814684,-0.6324843420264755,-0.5730439972469836,-0.5485720640688853,-0.7978148107557053,-0.23125416477061925,-0.6874170005990972,-1.0975339429174906,-0.8626188724813872,-2.5259414395340993,-0.7449915057511493,-1.006686955667768,-1.0704164818890565,-1.2490328852901378,-0.9718345437943903,-1.011280023801869,-0.9556293980447341,-1.138805488319277,-1.6425969906532223,-0.5530133901992975,-1.063437061587575,-1.447120774807679,-0.6386815153313566,-0.6062939820227808,-1.0137172319482857,-0.5868922307674761
5,5,-1.3056079631104445,-1.4572359565406814,-1.1973534475895309,-2.3140109576325685,-1.5256411025072956,-1.612790726028191,-0.5203246882177175,-0.5892844284038028,-1.2931147926059547,-1.0491879265797328,-0.9451892550362015,-1.3747480265845526,-0.8508490519485492,-1.7692504006246144,-0.8582797364729073,-0.43473911818538,-1.1615076626208627,-1.8249690692177658,-0.814908623427726,-0.6050222349494759,-0.6182741551715301,-1.1301540599707627,-0.758428006290854,-1.5449804398546056,-1.9012790739984353,-1.7258810594012348,-2.381159978835847,-1.470348817237968,-2.501114046127235,-0.551109546690676,-1.4269251740448694,-0.7117267823128118,-0.49332920183637996,-0.4964733238251035,-0.6205294635907816,-1.372407522177915,-2.1763179959768455,-1.9812031690651621,-1.1208129484358063,-0.8595042094095039,-0.5974328230847052,-0.5981871504244746,-1.3697066209461726,-1.5944232352181849,-0.9516018388598895,-1.7404480967460714,-1.116243204734676,-2.0198209588182205,-2.017829080660289,-0.736000490097746,-1.4120844589138748,-1.7982944305769304,-0.6535912173915839,-3.2662555509520748,-2.6605014031702527,-0.37170266867946744,-0.7648907181704782,-1.3047719458406961,-1.3414539994742638,-0.5455864787596227,-1.9755509005353167,-1.1870380175223327,-0.9233362934682531,-1.9658349741500283,-1.3003826611449616,-0.49843930762175803,-0.49321390730156855,-1.6604563161362944,-1.5954374767259434,-3.1374428903664464,-3.0504940076762104,-1.4676012388511577,-1.6683215089192258,-0.38072951527791976,-2.7948816814176376,-1.5221807550246935,-1.4805655933423107,-1.539336929344862,-0.650149061367967,-0.7135895156497393,-2.08321769459034,-3.1942755692144558,-1.0710126421901958,-2.9618117011682954,-1.2915427544974634,-2.083255331254906,-3.1785476381050346,-3.430686361714696,-2.7767764507093826,-1.8147156993264968,-0.7822488789605769,-0.6194193502868414,-1.3883819160865272
6,6,-1.917276597132218,-0.5174355818427647,-0.5816648036438337,-0.653546947296771,-1.1930238835790279,-0.4058609680123485,-0.5370998538891283,-2.5988135969747543,-2.1944811962660653,-1.5988738902984803,-0.5501047656211431,-0.7784211745409575,-0.9270748928585426,-0.41498874109111616,-1.5690875730687868,-0.4127954300473414,-0.5198174163057173,-0.7311944723948506,-0.5987055137175797,-1.3360509910666576,-0.7726661658046201,-0.7286112806242274,-0.795330690494584,-0.6367326081852446,-0.6647256275314379,-0.4519818494344008,-0.8195737721168928,-0.4452134591151483,-0.5047900379340402,-0.5771013456088443,-0.8087987673788484,-0.45307452135645576,-1.615165287686609,-0.8817496024971974,-1.0706341678770728,-0.45303274359581824,-0.6448556835397252,-0.6196709643130803,-0.6108128341539381,-0.6028541222900652,-1.0069784735375786,-0.5458725078711404,-0.48172739247587226,-0.7127492912650115,-1.4567828815323405,-0.6925869039196992,-0.6174776753784915,-0.7867674017778321,-0.5426784956765508,-0.514556489585296,-0.5986136649395093,-0.5635560941217822,-0.36253329240412335,-0.6711164310481529,-0.5028771095405252,-1.2636144547946548,-1.3852324866520376,-1.5812562513988162,-0.6391158066954035,-0.5908635267492274,-0.675404428051692,-0.566921746210693,-0.5855919719638528,-0.5828215000974499,-2.043496734302714,-0.4822477133710985,-0.541200167589074,-3.321759436987925,-0.578865887433115,-0.45427194531989973,-1.1146432011467273,-0.5155963203808827,-1.0469505665913004,-0.4754580848143246,-0.47688337533013125,-0.6144481592431871,-0.7364717750290936,-0.6738109073493217,-0.5647687368072434,-0.8367043561893575,-0.9623457488532179,-0.8448392541781287,-0.6525148046466935,-0.6671399444069656,-0.5002022826839903,-0.724541809196418,-0.49685455532766676,-0.8965859144526114,-0.5415622927524905,-0.6273428877050964,-0.8559884175849726,-1.0253408018820895,-0.9960839278442525
7,7,-1.5848853426884801,-0.5047699970032229,-0.7313891355448853,-0.6145340692707253,-0.6359920532650768,-0.43023005228879097,-0.6066910635442774,-0.8676661338616901,-1.14032447132133,-0.8178542677083378,-0.9182890209690249,-0.7317196696812436,-1.6700539938938435,-0.7043880555875188,-1.9903564938132188,-1.4031909630567831,-0.48230648124699804,-0.5648898509416909,-1.932127281290965,-0.7836961149061927,-0.6249755834795351,-0.6663812406309055,-0.6188204860268449,-0.41637660264711474,-0.6041470070338448,-0.5858790986035337,-0.5160776219852666,-0.585630836680147,-0.5549031903821364,-0.5440454739230286,-0.5218384631098547,-1.0184565873453324,-0.742896477681644,-0.5459648838772089,-0.5967291438312907,-0.5378232130790941,-0.6569262324693634,-1.5068322228421471,-0.5198562912821194,-0.8588648616546215,-1.411756076911018,-0.9920265432358277,-1.7920053984034596,-0.5566398134429353,-0.4971138132690465,-1.2254461693513865,-1.0102152429503186,-0.8072408202587891,-0.47929745809297297,-0.5777346176996064,-0.5468709219194797,-0.849591567359696,-0.5858859204550846,-2.5401819424529726,-0.8602701542651332,-0.7853282180722989,-0.7462636030431266,-0.6764154128332811,-0.4685418116848108,-0.8471257692311525,-0.5414098012510018,-0.732308817334755,-2.9083451997811496,-1.424790115183018,-0.5976488862003719,-0.6144355441761171,-1.1747596591935294,-0.47868711257146634,-0.5795527455637419,-0.8840319053077799,-0.7988017486588144,-0.9228370351072483,-0.14605736888911947,-0.9567515807919684,-0.42645330846369767,-0.7195825724603555,-1.913823209515618,-1.8559459512290628,-2.6956073136714735,-0.6979228531021047,-2.297230122083126,-1.8588734369341506,-1.4000520223794992,-0.6974270536740899,-0.5421805452696373,-0.552461012417983,-0.7386932830426409,-0.5005066015499646,-1.142908166165814,-1.6251877632580243,-1.1600286104651507,-1.2844961112135942,-0.8636702254025141
8,8,-0.5208784264618199,-1.5546334975326626,-0.791284074857519,-1.999639912991322,-0.5146950331980606,-1.6399719907625858,-1.0137190524492796,-0.5393957391557842,-0.6905226227118564,-1.3001493208944455,-0.5615826409926649,-1.3604352922329337,-0.8433845794040027,-1.53974755144122,-0.9258481186166609,-0.4279269091867799,-0.48160727045373997,-0.576279431631654,-0.59824686309093,-0.5513274369973286,-1.196705999833711,-3.0890161735923973,-0.7671077614261688,-0.6438108027641545,-2.7969003173230593,-0.3882793405104501,-0.940151798705454,-0.6026876647658319,-1.1560545171167962,-0.5376494121894175,-2.304841562497618,-0.5955784414910615,-1.497205644683671,-0.4420125318892735,-1.8011307908686407,-0.5889455369036503,-1.157424205849717,-0.7573303858388755,-0.960259076121011,-0.4231219670732408,-0.9015171815788314,-3.25740663673524,-1.3505058088897348,-0.5502187385520849,-0.5626750959793417,-0.9695288639700089,-0.5735083029890216,-0.45897402590012826,-0.6124754563579422,-0.533845981999052,-1.6829035014558822,-0.6954580748590715,-1.1390985937180247,-0.7027701273379066,-0.8547607572929363,-0.3881553647151521,-1.9808566261654552,-1.6377154664302163,-0.5974307876769284,-0.5347260344660968,-2.674911058402203,-0.6826646087881152,-0.5716752222759659,-0.5806929125086955,-0.6239792085879655,-0.5064074715950739,-0.8080370979494708,-0.9060407436448568,-1.1644641354139285,-1.4500713035007564,-1.5264459402013848,-3.816265602231725,-0.14760278000808366,-0.3781408746303354,-0.5368717724041046,-1.9274062517402744,-0.7261570677169669,-0.9838735323721521,-0.4910732033336094,-1.396027030852954,-0.5011389935922177,-0.7647110518309574,-1.1659329612209506,-0.8635916902283178,-0.8330434398752151,-0.4517828952306724,-2.125931684106998,-1.1513634925465546,-1.1735506414484886,-0.8465863379232013,-0.6958203088788841,-0.4780650469292026,-1.322702913758925
9,9,-0.9775105287949541,-1.8197489311123722,-1.8546690534908652,-1.5076295492522855,-1.057865435875128,-0.5179615570391243,-2.807605789584305,-1.5955955035948546,-1.9126565158337034,-0.7442328011462926,-1.4625291250550077,-0.7303002999945143,-1.4363690509222202,-0.9758076462324391,-0.6149843374016233,-2.236310612391549,-1.33077535619295,-2.6891451970979636,-0.6129630968932231,-1.6862158344737643,-2.0937018648764867,-1.3548513163790634,-0.658948960141074,-1.2313982241994736,-1.4839986874517996,-0.44039044613682354,-1.1086359767536,-2.952252238596987,-1.1044092653662272,-1.3977707633498178,-0.9665296452706278,-0.8997663717374753,-1.5501227769225463,-0.5456050973357935,-1.3143931792944947,-1.1798302736120387,-0.7387608123413167,-0.6973615429505307,-1.342017841838034,-0.43174683399669295,-1.2071709184453692,-1.3183928110328962,-0.6180215645876621,-0.588836295910641,-0.6731260780509435,-2.9757938016349335,-1.0642077041558977,-1.7959733010401404,-1.838425803960999,-1.1222788810877349,-1.6700437830439823,-1.2466668466684019,-0.9937936181186064,-1.084491753887604,-2.342723181481416,-0.9155486491942697,-1.180948785869472,-0.7003980809041437,-1.633957010838909,-1.1895380494676782,-0.72089844820001,-1.4304289971810245,-0.5804839767182473,-0.49133679658760865,-0.6553948227223113,-1.1310099148551251,-1.3864704003275041,-1.6289692571104888,-2.006347132622835,-0.9412486725316898,-1.1034942319856094,-0.6737294499581161,-0.5351309519225681,-0.37703034936316815,-0.5493792041934045,-1.977256592468306,-0.5930354579896335,-1.7665246541882853,-0.8196335008417346,-1.171638743071628,-1.7656211755429252,-1.7685522670797305,-1.1133441344002433,-2.232326932725761,-0.48342898040356597,-0.48340343732160723,-0.8484274737657733,-1.0699262069465738,-2.050562420868866,-1.4547151699084262,-0.5517242116788537,-0.48694087991354507,-0.5644685536907883
