statistic,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
EXPV,0.5035947456733845,0.3547542867410197,0.31230466012287417,0.30249147210112415,0.3141302007708803,0.40865428042433627,0.3701935358973425,0.3169627145893382,0.4005548444209469,0.3307642345273949,0.34777635278450614,0.32143762628197614,0.3193504818078715,0.3686701868159409,0.24580842717298323,0.38477267343076305,0.34106207017345225,0.2764453993567074,0.29476393072743834,0.37897146326599485,0.36179301070274017,0.4162190431785169,0.2953716861020369,0.4054921855586271,0.2885639800663208,0.41060797659920356,0.3763766665390519,0.3717437541129299,0.29912176904829824,0.37242436688528024,0.318722322663025,0.38817800691306914,0.3273685238306009,0.37998498888936116,0.21068115552366762,0.38554435253811203,0.3219008506069915,0.35247683916129646,0.36078574295342536,0.4119659801630253,0.2757134021668244,0.259268493345842,0.3177707726316903,0.3039719211202657,0.3944669725613028,0.36580919776737764,0.21975857466258553,0.3131157244273267,0.38948751095836187,0.35763927422133646,0.38935163883915036,0.28930084311089344,0.3054466001003653,0.34752889807038734,0.350452088646796,0.5539051812133415,0.3078603731488011,0.1350772315512625,0.287973657859945,0.3876143895961053,0.3516744663952226,0.36099201023656746,0.07860918093444547,0.23945094929920896,0.24110128503081485,0.23196682816282443,0.3359197384746835,0.3454669346340593,0.29698238199837346,0.3812450315143332,0.3283953509164751,0.3153054952530252,0.7604753126238797,0.17340741050556108,0.5140594342706122,0.3063821158152068,0.16855173554427516,0.25422769074901175,0.38059239894741637,0.24306500180592583,0.5151524825280416,0.337940792170197,0.29722485165636037,0.32792638631197035,0.2660723760226168,0.41325640577940526,0.34179251854698633,0.37637230200031,0.3480243388735019,0.28889762034940614,0.36989201436921504,0.3327023940054553,0.37533857452217656
MACE,0.007173396674584322,0.010973871733966755,0.004560570071258907,0.011686460807600938,0.00997624703087885,0.003087885985748197,0.010498812351543952,0.018527315914489296,0.006698337292161518,0.010261282660332527,0.007885985748218527,0.007648456057007129,0.01852731591448928,0.010498812351543953,0.01619952494061757,0.006650831353919216,0.010973871733966748,0.025178147268408536,0.011163895486935868,0.007173396674584326,0.009311163895486934,0.008123515439429935,0.007648456057007129,0.0076484560570071235,0.010973871733966734,0.011876484560570043,0.009786223277909744,0.011923990498812341,0.010261282660332547,0.004798099762470307,0.010736342042755339,0.01121140142517815,0.005510688836104512,0.008123515439429936,0.010973871733966727,0.006935866983372922,0.0066983372921615185,0.009311163895486946,0.008598574821852736,0.007173396674584323,0.006935866983372919,0.022612826603325427,0.011686460807600944,0.009786223277909728,0.014251781472684055,0.005985748218527298,0.007885985748218534,0.01358669833729218,0.012161520190023749,0.008598574821852735,0.008361045130641344,0.010498812351543938,0.011876484560570034,0.010736342042755325,0.005985748218527315,0.015724465558194775,0.01453681710213776,0.010688836104513062,0.0038479809976247033,0.026888361045130642,0.013824228028503555,0.014061757719714948,0.030641330166270776,0.00926365795724466,0.00907363420427553,0.02090261282660331,0.008836104513064137,0.010213776722090258,0.009311163895486942,0.0068883610451306474,0.008598574821852747,0.013539192399049844,0.01762470308788598,0.011876484560570062,0.014536817102137781,0.005510688836104514,0.011686460807600958,0.00836104513064132,0.00931116389548692,0.011923990498812364,0.027600950118764844,0.007838479809976236,0.01311163895486935,0.008836104513064129,0.009073634204275512,0.011448931116389558,0.007410926365795723,0.007600950118764856,0.006935866983372928,0.008361045130641332,0.01144893111638954,0.01710213776722088,0.013776722090261253
MAPE,0.13020126248804723,0.11537168042964581,0.1228805267762197,0.12615341822928466,0.12994779640321408,0.09466889203052833,0.10126818217244414,0.25158982930270923,0.3163199561065156,0.12081169361040825,0.11581477780313773,0.12093197645456,0.12660303307118545,0.08244313788989036,0.1512135077309976,0.12514203829491938,0.0872236810714783,0.12975751152713902,0.13872554190058634,0.12348739484048687,0.13861689170725594,0.12066209548422156,0.09666940714874628,0.08966354621253052,0.10980101974189282,0.09517339743957805,0.10453471690725212,0.09867733323217438,0.1132623836004834,0.12583386685467868,0.11088341211523962,0.12065526543721874,0.12330621689352946,0.10611977065978563,0.1316356436170666,0.10479108425721902,0.11989332669648405,0.1289599439300001,0.08730186904575067,0.09097556083832674,0.13862088271437573,0.13363020891911534,0.09982819540296427,0.14136757219596702,0.10340227146892339,0.09828234334297502,0.13112203208351214,0.09479838745974015,0.09383852356526953,0.09744748420573843,0.09810632058379826,0.1042316986675937,0.10625453731740248,0.1210005962501104,0.09403715283438385,0.09433344576815957,0.13413338479776096,0.1279224645785519,0.10244449855884011,0.1067709047971057,0.10503572890592637,0.10132080529810827,0.20206083199127864,0.11573152160573115,0.12021875676880134,0.2792912999620223,0.10215197342801453,0.10878862273940053,0.08889102738422125,0.10541309383327072,0.09719640595380556,0.13115287837981482,0.20779298189690767,0.10886172256837176,0.09144892215513668,0.10551881581560418,0.09745626111937454,0.09404553814449938,0.11139814619946842,0.13732026718223528,0.0896593450942535,0.11390002505208503,0.1333163711742013,0.13765889173512658,0.09123114844372412,0.08906513498435208,0.10444978228633427,0.08897640623707974,0.08676136829116295,0.10570939092012815,0.09360232744264604,0.11355179580687841,0.10115867157869395
MSLL,-3.5251414022925225,-2.9382898643216766,-4.206061245212308,-3.049190187741468,-3.4986482575028104,-3.8389747074317997,-4.408964491937831,-2.2716109657599253,-2.9617092055102296,-3.5116432953599794,-3.564392984667679,-2.9805369874747525,-1.6859251509902795,-4.2998496004100435,-2.910942151479591,-3.16441630782783,-4.495463898130421,-3.0178327936722145,-2.9640723274556255,-2.9331883922178505,-3.4665688798789898,-3.8694341895562676,-4.178463865416578,-4.015943832428803,-3.005741986953071,-4.360928437656912,-3.2380438943641625,-3.778490101149004,-3.298891734830992,-3.9663032941885197,-2.470023680044906,-3.14247557629195,-3.0779988244064214,-3.5200142216428243,-1.9456183254288408,-3.4030494572484313,-3.486380606493479,-3.3562673887300174,-5.119784002358296,-4.7950798803014365,-3.66517748320807,-3.0730236261681334,-4.075532185833984,-2.9328697041289895,-3.703489490916916,-3.3646258310166406,-2.675181774289939,-2.8787638741095884,-4.371740010078737,-3.3917349737820572,-3.878409119373228,-3.2908653641705805,-3.439486771822219,-3.4502585857542476,-3.7757564979267118,-5.407672703064811,-2.338648134122529,-3.095117406416728,-3.163060466369806,-3.403530844102723,-3.4245959707488347,-2.9415698696709147,0.3444584952695181,-3.1751868325445205,-2.353507505120204,0.42610666755047166,-3.4379047801810576,-3.039797691440816,-4.036414582800666,-3.495156381300637,-3.7126043087006493,-3.210745470395696,-4.895810759715993,-3.745459575567798,-4.299897148365902,-2.9883724821342286,-2.809251378330529,-3.167451298262659,-3.0205308689639683,-3.0553328450053145,-4.1368403771852815,-3.7593439057844553,-3.347498379347706,-3.0735427267786886,-5.711026838181276,-5.544053011741425,-3.4258054273050846,-4.3908507606717695,-4.767715057981366,-2.1363235494895503,-3.994700267717426,-3.0928896433222537,-2.2541079888475064
NLL,1.091083029367451,1.21336579501535,1.263069166715966,1.2694984789537938,1.2314665220514691,1.1523274627065279,1.201347733967931,1.1742252328390046,1.1750005707809676,1.2055834651913024,1.2189524599914,1.2103463394622052,1.213383742909822,1.1745345720179103,1.2770105599672714,1.1599560401816849,1.1966840615571308,1.1972674807038424,1.2734907717576793,1.2066292688268605,1.194570406984699,1.1593142069440978,1.2526378136908822,1.1539133954563867,1.2260331842770444,1.0910900360739986,1.1973522853690193,1.1732958802828777,1.2332355237119768,1.2163340985018511,1.2424234073116844,1.1673231738567362,1.2336135862320081,1.1706183510567985,1.304862804283621,1.1596350986629387,1.2398123313380989,1.2157201450753772,1.185304607404191,1.1378292306690927,1.252141495413244,1.2494652743886292,1.1785901799229253,1.24287316771654,1.142257234523775,1.206655007853714,1.2927244187433153,1.2001178626814994,1.1779893398865462,1.1886871228103377,1.1873151563018194,1.2355607146887047,1.0946844948911938,1.2231551739899682,1.2019347147277228,1.0213629761513439,1.2543937895007444,1.361295770599136,1.2288432717447164,1.1884147676636512,1.22876593388134,1.1892353352662792,1.285486496312612,1.2646159756472193,1.2988136922341134,1.183125673884248,1.1914152779954725,1.197567167163985,1.2438780887433527,1.1944762049251816,1.2335190125537188,1.2204781898225576,0.6920018872465199,1.2006769997524858,1.0719995814085863,1.2547533707638474,1.3378816595542022,1.2793405809613008,1.1784216324986183,1.3134292019946392,1.095784309442566,1.2388508722199147,1.2401369770657407,1.1998172307049702,1.253990660318952,1.1683749383162645,1.2237564766619555,1.20380306519546,1.2176212023397435,1.2510911849547819,1.186108460412033,1.2015917995829557,1.12589240426918
R2,0.5035141779652539,0.35473761196225795,0.31230433063567065,0.30248049554417566,0.3141283523320473,0.4084549745528794,0.3700496508955453,0.31687005520910516,0.4005312616066662,0.33069943733415175,0.3476816551108963,0.32137151417530785,0.3191087532496093,0.3684980517493204,0.24551893652853685,0.3845614621401352,0.34086362480442933,0.27604715388433865,0.2947235683925741,0.37895655002873097,0.36179175010153397,0.41620969270193053,0.29531529231766795,0.4053144036547359,0.288276068491115,0.40984747720542203,0.3762363103237141,0.37173057967555556,0.29909385325272286,0.37241140220322155,0.3186926617208571,0.38730527562673633,0.3273628139281579,0.37946995814574613,0.21057179797844439,0.3855275240484186,0.32184511450739717,0.3524741878611184,0.36078423374698854,0.4119209706306419,0.2755158666509946,0.25784725964917043,0.3177127968164106,0.30395404249084124,0.39439310730877086,0.36575699060806,0.21964085579598658,0.31231510328512935,0.3894264532854854,0.35758824178920967,0.3893281641194928,0.2891758431185618,0.3037728005793098,0.3475237681542833,0.3503833262110042,0.5538990044610019,0.3078392066535661,0.1350590119773314,0.28767232122096376,0.38649676557580925,0.35163778686449965,0.3607873254029642,0.07625367036648734,0.23866283662719157,0.24101271445176498,0.23169741040327996,0.33582184248162317,0.3449585988088053,0.29694396969490966,0.3812246447887765,0.32839492680936144,0.3151831858040728,0.7604748946988842,0.17154802193539176,0.5140040703267915,0.30632342598000606,0.16853261383251972,0.2541427177984148,0.3805615970549511,0.24304914573223912,0.5140436167871706,0.33783418307494006,0.29722285858658115,0.3277051951073825,0.26607225184623484,0.41324895768171166,0.34176172350078415,0.37636216797808353,0.347988035252936,0.2887335648182011,0.3697991338465406,0.331983925723511,0.3744971669496413
RMSE,17.239197623503884,12.350147486851132,47.607363218966,15.17482390114087,22.706332735339604,27.381152126391743,52.47393425252411,6.273676676675455,11.727253793836827,22.143128070869633,23.354638675463573,13.172140995593894,3.6262317355252836,45.86115732624877,13.84814970829228,14.335281222063893,58.25308281191232,13.938394575856671,14.069957356102812,11.973573487280829,20.443304784033476,28.238976005992946,46.39356416298164,32.82063663933486,14.052552450059384,43.3537328627312,16.126531003662027,27.124960417531437,18.830880131155396,34.15003621102296,8.17955435269022,14.096351176304212,14.796627458219755,20.761564350304617,5.547344813270934,18.17869768571339,22.489861741569644,18.835637547453043,105.88922144658291,70.00198575342787,28.141144897222677,15.712400849739815,38.24571535665792,13.139652196983308,23.951862680995138,18.628278105803705,11.301858122702756,11.85477726569812,48.6237723946016,18.92002068502856,29.969732739242673,18.855835597568237,18.806322481852916,20.925843855191637,28.30578690744238,100.1322881660131,7.316520660756166,19.39330000114691,16.499937280076715,18.703715747221995,20.44565698313217,12.0384734718631,0.5959673339712236,17.895061696259354,8.129484687622238,0.45216625763702206,20.201949244064952,13.556930691281014,39.852884797553656,20.711468053536016,27.886491280824405,16.826973704659654,31.636945272189166,30.972503870251067,36.31317711897605,14.031609279866377,13.956047162311236,17.83642727279179,12.686557415813487,16.61980471096783,31.590863550255634,29.169878159632322,19.93225151709168,14.237684050131818,219.51193833590813,152.46149661262234,20.522651458416004,51.399197238334814,77.67640504820217,6.038297540536605,34.15851367538638,14.495255492621792,5.620733379685521
Rho,0.5538481074881105,0.5320395371895654,0.47973155639740733,0.5388894742606883,0.5570060162648733,0.525929849163079,0.516844429933342,0.5173823890003505,0.5109111702074274,0.5563717870296387,0.5318758156082373,0.5420228700972426,0.44032604971345213,0.493473715839061,0.42542569320720103,0.4622652652037496,0.5208861587594339,0.5299648537521128,0.411498230276153,0.4780601563134463,0.44705400570693943,0.5109037021833104,0.45056760551661024,0.4664991524215883,0.46780835836146556,0.5388658942006906,0.5188264917796269,0.5110544597791785,0.4596573668545822,0.481474108759597,0.4885113495042318,0.4627922081813473,0.45877241415666403,0.4458059511247034,0.39335757549961725,0.5743566385197185,0.4631032719907299,0.4631293748960216,0.5450672087518743,0.5573031792971986,0.47775522372171014,0.42550659512660527,0.5361612130732969,0.4261878136118355,0.5804974650909077,0.49859472242606917,0.4065794357913197,0.48322987841884424,0.5282374686152158,0.5223054853887127,0.506486602120783,0.4849076509486871,0.47562222335838056,0.4349469716533679,0.4817063612942811,0.5877482844741535,0.5293933660300149,0.3279484590963337,0.4558088316914133,0.49050646782875074,0.4891586352177006,0.5330110236000627,0.24937204018722478,0.46909986417957983,0.438330670058345,0.4000187957015152,0.5096800820110721,0.4350956687580598,0.4845331139598986,0.5015034901577204,0.41638205044033527,0.5053356218008909,0.5853946093416256,0.39692588386281236,0.6007778645701842,0.4792493110015702,0.36044408349270096,0.44076023038341144,0.4705898304770873,0.4142099673294283,0.5939946070037608,0.5044242414256821,0.47749500881408746,0.49302914225263206,0.44878286836677744,0.45434739063272667,0.4979289124044051,0.45666678001250943,0.4415167422315759,0.4586306021099919,0.4751610452284238,0.3912912646921638,0.572335226317555
Rho_p,7.404055067465028e-69,1.0319704724914944e-62,1.1203168794162167e-49,1.3556746174452137e-64,8.743432510694441e-70,4.52710168220318e-61,1.0881303170359262e-58,7.901430364046341e-59,3.573399686475646e-57,1.3452907886835716e-69,1.143170878617825e-62,1.806994826005514e-65,3.020367485604244e-41,6.928491729265315e-53,2.458517518232719e-38,8.365444509352175e-46,9.69242509176233e-60,3.758927629068091e-62,9.607609838221252e-36,2.68992568425769e-49,1.3109968094978393e-42,3.588983485762742e-57,2.476558179606021e-43,1.0094758337550273e-46,5.217850524995356e-47,1.376280006487793e-64,3.3373830555677362e-59,3.287089443293526e-57,3.032486288396301e-45,4.471989072090168e-50,1.0379824630414816e-51,6.440035110039001e-46,4.68269461958444e-45,2.3585971383370402e-42,1.5141263218875814e-32,4.592205528264152e-75,5.5173998348892276e-46,5.446231546679097e-46,2.498897438837515e-66,7.142708723210746e-70,3.1543812912596115e-49,2.372789513208609e-38,7.704185278774866e-64,1.7591450775179725e-38,5.209390739994286e-77,4.046504629333043e-54,7.400118186274152e-35,1.7632025036651e-50,1.0952681435163319e-61,4.113867644683005e-60,4.619487385328687e-56,7.208728995040746e-51,9.568361699960356e-49,3.5283875570157987e-40,3.9551978071888264e-50,2.3229500693838587e-79,5.358234496741277e-62,1.4617805323948096e-22,1.9879055117628043e-44,3.514634806198255e-52,7.310472622332375e-52,5.616239270890655e-63,2.1101017755322188e-13,2.7135738497143605e-47,7.556076173459848e-41,1.0689537509112744e-33,7.311214804243181e-57,3.2985525074262587e-40,8.805618406544316e-51,7.889183509802085e-55,1.22336699508764e-36,8.93449134809889e-56,1.3665129099143495e-78,3.687640472074032e-33,9.755192706175338e-84,1.4431542605304652e-49,3.1211610342855037e-27,2.472034144615524e-41,1.2718787755035168e-47,3.072280318565009e-36,1.9623691362699741e-81,1.5036099558020372e-55,3.613172627218989e-49,8.845954185214906e-53,5.788111214119052e-43,4.0342909827609863e-44,5.870131535452428e-54,1.30995184240077e-44,1.7424323564191715e-41,5.019757229918573e-45,1.2150330821118348e-48,3.4037071150667955e-32,1.9651250579295074e-74
SMSE,0.4964858220347462,0.645262388037742,0.6876956693643294,0.6975195044558243,0.6858716476679527,0.5915450254471207,0.6299503491044547,0.683129944790895,0.5994687383933338,0.6693005626658483,0.6523183448891037,0.6786284858246922,0.6808912467503907,0.6315019482506796,0.7544810634714632,0.6154385378598648,0.6591363751955708,0.7239528461156614,0.7052764316074259,0.621043449971269,0.6382082498984659,0.5837903072980695,0.7046847076823322,0.5946855963452641,0.711723931508885,0.590152522794578,0.6237636896762858,0.6282694203244444,0.7009061467472771,0.6275885977967784,0.6813073382791429,0.6126947243732637,0.6726371860718421,0.6205300418542539,0.7894282020215555,0.6144724759515814,0.6781548854926028,0.6475258121388816,0.6392157662530115,0.5880790293693581,0.7244841333490055,0.7421527403508296,0.6822872031835894,0.6960459575091587,0.6056068926912292,0.6342430093919399,0.7803591442040134,0.6876848967148707,0.6105735467145146,0.6424117582107903,0.6106718358805072,0.7108241568814382,0.6962271994206903,0.6524762318457167,0.6496166737889958,0.44610099553899807,0.6921607933464339,0.8649409880226686,0.7123276787790361,0.6135032344241907,0.6483622131355002,0.6392126745970358,0.9237463296335128,0.7613371633728085,0.7589872855482351,0.76830258959672,0.6641781575183768,0.6550414011911947,0.7030560303050903,0.6187753552112235,0.6716050731906386,0.6848168141959271,0.23952510530111584,0.8284519780646082,0.48599592967320854,0.6936765740199939,0.8314673861674802,0.7458572822015852,0.6194384029450489,0.7569508542677609,0.48595638321282947,0.6621658169250599,0.7027771414134188,0.6722948048926175,0.733927748153765,0.5867510423182885,0.6582382764992158,0.6236378320219164,0.6520119647470639,0.7112664351817989,0.6302008661534594,0.668016074276489,0.6255028330503587
