observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-1.3495040382175754,-0.6008087225505481,-1.4830030494819286,-0.782788033437714,-0.33087040431640213,-0.977846086952662,-0.7331256749060076,-1.3182791094028512,-1.0874972306053734,-0.3936571790139718,-0.8387656643074805,-0.7746159006272204,-1.9831167643963168,-2.3335621056237725,-1.452016296659311,-0.06438121871892788,-1.2438580101648562,-0.6623069416230851,-1.2166310347313463,-2.537221952198892,-1.0466417396906553,-1.627664429916611,-1.3401635772112872,-1.8961511316332111,-1.5659325673332638,-0.253233585746504,-2.196475226318327,-1.2376008379999146,-2.609657545186976,-0.9623207554937274,-2.3916740650155957,-1.5262600577112513,-2.4954341323364675,-0.8836595673565721,-1.9742524124279528,-1.1722982084582343,-1.00735191224335,-0.8918433556424686,-1.2003482697814076,-2.102782634657176,-1.0722934724121724,-1.8161975912121746,-1.1707267032059674,-2.8618456594097648,-2.4739998519679802,-2.0507131885102643,-0.9075608211295805,-0.9017026380378115,-1.122085015606832,-2.1900803915409965,-1.316619150708001,-2.2354184540033466,-1.641960972866071,-2.502995380953202,-1.3049251492218712,-1.6173783126203438,-1.1085465131964973,-0.9926342510637616,-1.3040963255098423,-1.2326328147157661,-3.0074681395548177,-1.0475002041851535,-1.2800956210467278,-1.726919131666075,-0.9658967207789996,-1.7683881101075862,-1.2120603074452205,-0.8183951555224358,-2.153791154383188,-0.758832542831309,-1.5687123646752217,-1.008685443860856,-0.9804751874256501,-0.8289458743437209,-2.920932502253581,-1.5449938905637937,-2.391835543180585,-0.9359566787751227,-1.943869091691179,-0.5048541255724943,-1.2018331225078225,-0.9542531755475354,-1.5569975751680538,-1.4730309529299577,-2.979811877900073,-0.9960763522562399,-1.3675940043212196,-0.8720920800826083,-0.6483850524743529,-0.8679837573532744,-0.6059701211648107,-0.9833832510813165,-3.6505652046067962
1,1,-0.022569594305499763,-1.1741640148568955,-3.050741545920228,-0.7634092501569093,0.22685577684038982,-0.56713522825678,0.3289127764334079,-0.5221896995238402,0.504442966834425,-0.3413540359066447,0.8820487309247709,-0.31847127584593005,-0.24350196794691392,-0.5702731323771602,-0.5417404334781445,2.6093984789967424,-0.6437184640836598,-1.2019251503594512,-1.3927963997036685,-1.2739827649836384,-2.6011783234640444,-1.302870096750219,-1.13236732802287,-1.2309839258311994,-0.40038508906209386,0.5287010878113669,-3.110276165769023,-0.8422591581443746,-1.43502607407079,-1.074418966112754,-1.459170667482907,-1.4979165445695513,-2.336016763286615,-1.3136083963282656,-0.7155618828026341,-0.7527488150447856,-0.6684134548899462,-0.7416802057871879,-0.8488016697678787,-0.8526410453292695,-0.8010553375162053,-1.4165205622019417,-2.2537197202850425,-0.8192899785244131,-0.8816363288134355,-0.6646627278551962,-2.2306764932066536,-0.32309337067512667,0.11169156606622985,-2.192664455459252,-0.9596232073245862,-0.8855509186862862,-0.5094975274701552,-0.8579804621358017,0.125709253738147,-0.5580183435161177,-0.683863336822361,-1.2999772778263792,-1.9682270176347527,-0.7379440171931996,-0.5757426055611594,-0.6493219707782105,-1.6171935193909623,-1.6727625030866833,-0.7981176284823224,-1.9164654256486033,-4.811681713348515,-0.5108466920520287,-2.1506853261938534,-3.1826391154557383,-1.3334309643608506,-0.7076057089611459,-0.7162468145279824,-0.5808124635036516,-2.1395775120496423,-0.8068212435066311,-1.3717212690090514,-0.7825143538548095,-1.323645040386004,-0.6582812772834069,-0.684956644102598,-0.9716673479689579,-1.2035047855104544,-2.347108947617232,-1.402065186631821,-0.7231521441034033,-0.7012829159557573,-0.5773803352591076,-1.0511142697370395,-1.926038461368591,-0.1920538264258489,-1.1306260537628268,-1.4397044254221778
2,2,-2.104035243444491,-0.8634872648844594,-0.9251255367403061,-0.7448708675302329,-0.13285324370659168,-0.655676550624545,-0.09456557586957537,-0.633491919588518,0.18542228420385687,-0.06018826887099227,0.4038570115676654,-0.41597183343500155,-0.44823639043082475,-1.3501684844019248,-1.0739147944828922,2.1700998367613162,-0.7712021628218537,-1.2439894159942595,-0.9353250070641687,-1.6258510272676783,-1.800462628754946,-1.0761669668772638,-0.7121028286493053,-0.5882425660994881,-0.5892482390857463,0.319085487843183,-0.732866644216659,-2.1787327452804917,-0.9428845151270111,-1.0584223966591262,-2.1983210741761283,-0.5705708348069368,-1.5698307411533114,-0.8146898445827894,-1.5803645896599572,-0.7964008605091953,-0.6989742570369905,-0.8933675865771962,-0.7128796183826746,-0.7718187597751323,-0.7982152793589334,-0.8514850028306391,-1.0346429047733652,-1.2302194799563093,-1.2729441964796986,-1.1265424115727607,-2.1175305259867208,-2.1176520559145935,-0.946036659355724,-0.7491844968753081,-0.8113883014411434,-0.8988441369455852,-1.184280945403871,-1.254316185760865,-0.03527873324814301,-0.7055597318364596,-1.6169043466797421,-0.9704031239508769,-0.6847602812716651,-2.4317696551241235,-0.7025237074913447,-0.9485411105096976,-2.707611351873469,-1.0591038354037061,-0.7217571745045448,-1.5314051522904286,-0.948478478344231,-1.1021422562587981,-0.8659201450487322,-0.8240820295137694,-1.516361164672602,-1.1908819487683477,-1.0969557743467104,-0.5619502302204058,-1.3943216641995055,-2.0403209653985486,-0.765709410119219,-0.9053329303426075,-1.079840164533452,-0.662844547223368,-0.7064156663837674,-1.1112494228772667,-2.206875643331363,-0.66531950266125,-1.582799541520291,-1.0934021286365279,-0.6924358763138335,-0.6271253480706679,-0.49735286883422636,-0.8364486744385863,-1.699777428118925,-0.8900753573643606,-0.632126128652569
3,3,-0.061713567346626697,-0.9636640963279749,-1.2389897718579306,-1.6379700129801162,0.006569944124845684,-4.71703815229494,-0.07988876902971609,-1.1453521910776852,0.5149391756537247,-0.3576482992694219,0.44876722123823964,-0.6810509904070916,-0.3034197466295685,-0.6378499912307608,-3.035790125495156,2.478442915050586,-4.265506862942232,-1.9680531250865476,-0.8015009092373041,-1.6539869134299383,-2.0881124411352383,-1.1434210771531936,-0.7097916243660631,-0.6587162221840372,-0.739233091214402,-0.14371283945090596,-0.7007623051645873,-0.8760962387521298,-3.2900082161666053,-1.9817963471978723,-0.7757906646554992,-0.7452131558427796,-1.1949056428624738,-1.404960706301969,-1.0021412726269956,-2.194168749005521,-1.4862425982409384,-1.4878870116478904,-2.7658526445918254,-1.87583101077465,-0.7487572080850597,-1.2909621511700033,-0.813795195194002,-0.9443964517746033,-0.8754399162715618,-0.6856879930834634,-1.59623333089552,-0.38708286980342654,-0.1623118004898643,-0.7245408585220657,-0.7392982897601652,-1.3524767381028824,-0.5456601809565846,-2.1818476389732235,-0.21205539584133581,-0.8585560922983851,-0.8270036723300684,-0.9676964965527349,-1.0522003598522518,-2.714787261562041,-0.7016717041115982,-1.9402653612814338,-0.9394288488242074,-1.244226746375081,-2.0768031555685296,-1.067815947466018,-1.1824336305349115,-2.1773891997926595,-0.66649859451405,-0.791331836251546,-0.660540206278455,-0.9495211790766054,-0.8425758100504497,-0.5392119778043485,-1.0219137335707895,-1.0147235169023459,-0.7365056317607082,-1.0073719204597076,-0.8734810822264726,-1.663641271164341,-2.232379009122735,-2.895805732840091,-2.4235889147247427,-1.2364915111654997,-1.0968325572990816,-1.333730636018748,-1.9377385126981663,-0.6524647449052899,-0.013376421069720035,-0.8898247991112136,-1.4364249630676078,-1.5112869379017275,-0.5805449524319098
4,4,-1.2321324918432859,-0.694346939128461,-0.7362963674795973,-1.7514050660593705,0.15246172047792772,-0.5746235804549972,0.46681786260128555,-0.6908711937627461,0.34069251862325556,-0.1369208279294658,0.9412787128855429,-2.254344105395792,-0.279730168801236,-0.5220180976931913,-2.2210723424108263,3.047098139537457,-0.7540779766811296,-0.6192740699437971,-2.34010805446749,-0.7468817688211645,-1.180266059637195,-0.6987816739226377,-2.185463846308954,-1.1552397794545248,-3.8592016425050106,0.7469425548030624,-1.1655843109481678,-0.7168758925361189,-1.1023694761806917,-2.6197485774765665,-1.3322699743054447,-0.573014902792423,-0.7421266214826809,-1.1009973620102251,-1.844130920468276,-0.981018099725584,-2.8161485947682614,-1.64799526560601,-0.5731323853609014,-2.8164739640900427,-0.8116778819591428,-0.6691484610756653,-0.70311763253918,-0.6861956735462499,-1.5264588967569201,-1.3778563918556044,-2.6321076098661353,-0.6607247704002734,-0.3309954498515131,-1.856272086978986,-4.26690082521078,-1.0499255005119945,-0.8870319623976552,-2.269868431496124,-1.5405291560844954,-0.46016396389825953,-2.21684636866662,-0.7307081553017876,-0.8055251111085019,-0.8927172348588628,-2.114568555752359,-1.0396557242431477,-0.9040674404589029,-0.9510492880735236,-1.285268253008168,-0.6768517265692172,-1.7465614028146152,-1.080484782176157,-0.7841444268539743,-1.491074351104297,-2.4317006292575396,-1.6370808637056187,-3.845895172381697,-0.6388657534840597,-0.7398003304661185,-1.781213269268997,-2.17169044093017,-0.6528128131174187,-0.6700957552614426,-1.1794440681674019,-0.9511377621093636,-1.3783405400230984,-0.7025836457744724,-0.672684221549626,-0.7453474808731833,-0.6484538600907757,-1.7738540613514435,-0.8146110117575394,-0.32672373541204025,-1.708216948892516,-0.11927377653384541,-0.7285615290924414,-1.779489720207354
5,5,-0.08662932482418606,-2.4770477402714386,-2.7131931031732273,-0.7311321660011512,-2.6124562153239523,-1.2568252443184014,0.7190769435643163,-0.45742238618140096,0.9345485260113722,-0.28496278539138586,0.09463250822778746,-0.8693407609152761,-0.5437281126461873,-3.6299809819491635,-1.8529011743957757,3.2602883325687344,-2.1294526847557593,-2.7372730086408774,-1.0936233538958742,-2.509799541579196,-0.6483530245467318,-1.1674381311334383,-0.9580293434290446,-1.8720330972110628,-2.601540869647755,-1.3031882569549271,-1.5346639295628262,-0.6587175862585758,-2.544563714485541,-0.851787119499346,-1.960178898792198,-1.2491599503478223,-0.9684700992472254,-1.106768095755117,-0.6558741357763022,-3.567025511912618,-0.5980775126847595,-2.2823469844867397,-1.5001968007189626,-2.6217964326040404,-0.6250700332261278,-0.732274928823603,-1.137848698959988,-0.6992664536648154,-0.8183216343475193,-0.7708538230405172,-1.0144366563112541,-2.7438263223237054,-1.2893776149210197,-1.7558111145501942,-2.657010275289419,-2.1452574463904828,-1.1153054750755238,-0.7339277629348973,-1.1032393355255772,-0.4717343180358052,-1.1281768293809074,-0.7161951759115048,-2.0161985680843384,-2.0767928665338125,-1.6839394815505222,-2.62479834264955,-1.2326621244881597,-1.0907064030102478,-1.5059029196618028,-0.8378126309507411,-0.9053054188088852,-3.3639175904061087,-1.3649642467790954,-1.8113415661493715,-1.1537323563960449,-0.662878511897651,-2.316180219528456,-0.7109447633451891,-0.6243443845164391,-0.9186561242293918,-0.5771678298774177,-0.7257554243914495,-0.6344104855866265,-0.914652788644911,-2.010697127028206,-0.7366583494625762,-0.6411584764050753,-2.266691454056204,-1.1022858731494012,-4.369903877332897,-1.2753382986258328,-5.5189663562552065,-0.5009468578160994,-0.9952703554078361,-0.4263628420551919,-0.6083527687893628,-1.809086044958276
6,6,-0.39502413001825154,-0.9004206686701175,-0.9440909533469231,-1.650080570428176,-0.13793128642739472,-0.46792605225921646,-0.17575780079723868,-0.6895736981487051,0.01176553866865837,-1.3936033593779853,0.38706341716928216,-2.011337541320775,-0.42133251657273013,-0.6237597779946258,-3.962366927191243,3.176327739314236,-0.6104467156636384,-0.8091637921260824,-1.394723699820299,-1.830192757665234,-0.7165761185955537,-1.4271485684224063,-0.49238721279305275,-0.9332128579306969,-0.3627409424763084,0.7737616729972729,-1.5756809787306623,-3.1434547231146994,-0.7818462411530167,-0.662762763048522,-0.7344883004215919,-0.7965474168042816,-2.0141717960097156,-0.9609215165096933,-1.508466744669788,-0.7209080337968705,-0.9079311336363831,-2.1693110570311718,-2.5681987839138674,-1.0810702649128725,-2.1357679761701753,-0.7718027104418393,-0.7984214618425689,-1.2405378924632726,-0.5526440076465393,-0.5454565868693712,-0.6165366905176266,-0.6495555812963197,-1.1653450330754487,-2.1022809404008056,-0.8469433959417032,-0.6447277802209963,-0.511463985001336,-0.7371624758103426,0.14018290934926592,-0.5367959037913634,-0.8356931172901255,-1.071670212176139,-1.4400186899061989,-0.7900514055451832,-0.9749089934027368,-1.3862482313975968,-1.02736449771418,-0.6795730905442423,-1.9087753158703853,-0.5410980068790361,-0.8427346552315473,-0.4984882418680068,-0.6794710071654118,-0.6685673138720706,-2.1202931849427795,-0.9786072957569318,-1.5775451496041282,-2.9065373297248973,-1.7344489281210793,-2.0204064221232034,-0.596500766269185,-1.490302105967169,-1.9392550562414037,-1.08142779739201,-1.4616942052913071,-1.0117037133907238,-1.0481170170482654,-1.8892534732932678,-0.7113520739382564,-1.116283123312868,-0.6419876066179743,-0.8588345385645795,0.09043338491993191,-0.673350336132646,-0.4742795717810335,-1.4200550754067374,-0.6057887467727829
7,7,-0.6526462413310821,-1.4911909772555088,-0.7812849570452723,-0.8197584638639599,-1.5121165097640008,-0.47897636201733373,-0.03826270809396837,-1.2847756839765703,0.848735489487854,-0.3276948888329889,1.1471856492258374,-0.7629435997844733,-0.45350126623176246,-1.5929815755807961,-2.106452954505041,2.6383012590990913,-1.2858122027994927,-0.7955621707295617,-1.4145825672990398,-1.0433307689635762,-0.6298966301259932,-0.7338280960474677,-0.7190386435304701,-1.2715159012919912,-0.44834562759203117,-1.122629228919793,-0.9477462699194077,-0.8211631880117627,-0.8690784151851703,-1.2846946637864087,-0.7582339004962309,-0.7736879323213066,-0.8801791011378952,-0.5248133531901332,-2.7761840760593364,-0.68971219892336,-1.1844624857377741,-3.15781361105353,-0.7473056945041457,-0.9390940132408243,-1.7085989098852428,-0.6859889527904977,-1.1001821067168143,-0.9419186286744696,-0.543201804143135,-0.5804279122829277,-0.9527278070482315,-0.28276780849032024,-0.11957435889746215,-0.6588815160588843,-0.7034725230733478,-1.162277601731462,-4.7970232231053505,-2.9044753266205463,-0.04278868790311163,-0.5574986258426706,-0.8470620978663682,-0.7132767719312806,-0.47543482443366347,-1.0888236418372943,-0.6120097165407006,-1.838115413186793,-2.737026695065044,-0.7248117614656134,-1.1298336520625658,-0.5602311080082818,-0.8675977632671451,-0.5489847054535348,-0.6658403373774149,-0.9060087387406677,-1.1414637654271174,-0.6350151477739535,-1.0744617444151592,-0.5717399693862006,-1.5468949707636108,-0.8134756340562783,-1.890746191467859,-1.4572272144303464,-3.407534289374749,-0.6846725688736062,-1.5531949761011332,-0.6846102924963156,-0.643031575655589,-1.6835949653891333,-4.163964682877227,-1.6046073390877515,-1.0918321766885686,-1.3269556195412233,-0.2832093446101873,-2.1870025239461612,-2.524964410423619,-3.5232865303035528,-1.6145674647179047
8,8,-0.20352503178421033,-0.7102634591381685,-1.2305065983353218,-0.7803151073990349,-1.398218244329232,-0.4369144776344795,0.6977987908934544,-0.8102902350243137,0.9060263057598779,-1.4657863571267356,1.246605299495901,-0.5159000990402776,-0.5553562025070231,-0.5719644560618629,-0.5494511267171712,-0.4812344124842425,-2.1283904147761508,-0.6999340885215537,-2.255050444231,-0.9203454501370743,-2.7532241253021406,-2.242295702276953,-0.733855611648882,-0.4424421162046871,-0.5546716260828074,-0.15457062374520492,-0.7359160847151734,-0.6804171362599656,-0.9579462504360137,-1.264853613880408,-2.2511660262237196,-2.5939507524540497,-0.9203570821972167,-2.0823326901332315,-0.6736965450143049,-1.346985108309076,-1.0797836381798485,-0.8774322275928761,-0.7056473153999341,-1.626523909963963,-1.1885485944473728,-2.19859168027724,-0.7099605625187168,-0.6628964816701899,-0.606982748345688,-1.6027659369634093,-0.6289599391297442,-1.436451994800581,0.1958543899705585,-1.8637903361875887,-0.9587513006174821,-1.5740103933173137,-0.7995426845337787,-0.8732529526471255,0.10549817942556894,-0.6871604715687871,-0.91494533219388,-0.9132747521769798,-1.7077115576483772,-1.0061977808157836,-2.4834074245171607,-2.084471911992155,-0.6615318171727697,-0.7002609283931684,-1.1217179962181074,-1.190691568546264,-1.472703325181178,-0.9215219269386759,-0.9645994768192077,-1.0538568086495443,-1.1486275726017072,-2.410525677778687,-0.9175120898015549,-0.5843918297962756,-0.6266303684148377,-1.542034173164286,-1.3176211417135284,-0.5543121969222358,-0.6401419770270517,-0.7156217777908951,-1.076988005710218,-0.9805153335252172,-0.8612641536327508,-0.8662359095410418,-1.3717580929158275,-2.4346008039041456,-1.6346231300709637,-0.5363942804255577,0.11314810766380412,-0.6475852494495665,-0.5652428553081172,-0.973359290729644,-0.5049433815035196
9,9,-0.5397712926566705,-1.4371254580768986,-0.836128216128866,-0.7975183091997897,-0.7888154724004637,-0.6635479029637208,0.6891899845206939,-4.351853569987224,0.4254388721534109,0.05683689996525798,1.0011575208923844,-0.5837078517051228,-0.17469246617167988,-1.6913170057863964,-0.6260353165190864,1.6949549600605387,-1.8555429663347398,-1.311223049543327,-0.7011806224517293,-1.3948638454896267,-1.4478920348428295,-1.1978967443937365,-0.35783382725092605,-1.848404868787099,-2.151705414764834,0.39476317243316394,-2.1467070365013523,-0.7621443675747839,-1.3379010133751779,-0.7624002043922093,-0.5152207616051802,-0.7327098636079761,-0.7613218153288797,-2.27344033864897,-0.855501703111266,-1.378139473436297,-0.586458425256813,-1.602358947001514,-1.5097624987131648,-2.251020578607507,-0.9473397384411741,-1.647234278613115,-0.8864241990641081,-0.6162145882288569,-3.0872988303797877,-3.8850738787956143,-0.7172898934053742,-1.4886440373489183,-0.5173259146392848,-1.4769526122318406,-0.727033448407062,-1.823672842344664,-2.5182141107916216,-1.0511520513846597,-1.5814879330054548,-1.494763830874952,-0.9610515587869715,-1.3694253740380398,-0.6230708239535674,-0.6392258625830489,-0.5967141195954923,-0.6881327439594562,-0.7085268281834709,-1.9408863790414823,-0.8486297288093592,-2.5256338900363184,-0.8402847947456906,-0.616517396046081,-0.6928989384114175,-0.697907296899777,-1.1966263978456007,-0.9385521383877368,-1.4452075209056057,-0.622892559884036,-1.4860233979561293,-0.9034032480415539,-0.9653384294954308,-0.57323153073086,-1.5817179287917242,-2.9337106025914266,-0.8718699424353289,-1.1035881629580548,-3.0782662300659323,-3.6392582935315745,-2.3207221739557484,-3.7252673179474574,-0.5288713569086453,-0.6724450654860854,-1.2375820098324857,-0.6346400791928952,-0.4667628972211597,-1.7920636559488694,-0.5801869624190623
