statistic,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
EXPV,0.037640227564254,0.09163112743513224,0.061786056294772296,0.0564054443819636,0.03492088785050074,0.14088607751893434,-6.633878254953558,0.3538670525047468,-6190.440302479571,0.12559991411886606,-76.8966714429045,0.07450856795959004,0.28836994060205123,0.277725327650167,0.044060805923816115,-59627.37488948765,0.11226475859074847,0.11452990910732208,0.06891195376170844,0.13169569772784395,0.08700025603968875,0.09133612210760256,0.22473724956795216,0.2592013566182618,0.31376473490765966,0.009839442484756877,0.12760138149144706,0.12173533030789785,0.15978532191702466,0.12749979867826677,0.17473376160737442,0.06153885702384421,0.12747383267888124,0.17087828506801395,0.1460903408741846,0.16689625345688797,0.11665767987571574,0.09079898742861015,0.2252459119571294,0.11183865129988912,0.1521648822018591,0.07636648470020013,0.178759859825112,0.15554849276338645,0.18333024478805926,0.13877978937442237,0.15972959301013834,0.11482755661697497,-0.00642656634134342,0.08769872657828881,0.0792239030390055,0.08530588437990194,0.07240685509221789,0.11237293668051174,0.10823450922877276,0.39419018525006955,0.055886746788485486,0.10567837204336561,0.26304467483690275,0.11824822372743382,0.20792115654108345,0.08344962395144417,0.060507999302389925,0.26711552852076903,0.10175013662546051,0.09668505922107373,0.1336643022774795,0.06700899077812417,0.19432889264223985,0.10361556004184369,0.17881625464189366,0.17615113984922615,0.19562104121963497,0.19037676490242506,0.10286914349554444,0.072452840230952,0.3403423704925129,0.29760836435214055,0.2616249482252955,0.14997259359448245,0.12065821864597381,0.07300124184699919,0.12602836178270704,0.10191738659061511,0.20274583211358865,0.22259022453166388,0.08583803289622793,0.04579416280080928,0.04276368687739429,0.11990284534909446,0.09099555734584408,0.13901384158981966,0.16731485507643729
MACE,0.016199524940617594,0.012161520190023754,0.005985748218527315,0.012874109263657969,0.02000000000000001,0.02161520190023754,0.0532541567695962,0.042755344418052246,0.0705463182897862,0.025225653206650843,0.043990498812351564,0.02261282660332543,0.050831353919239895,0.015486935866983373,0.011211401425178163,0.05372921615201902,0.03254156769596199,0.03135391923990497,0.010023752969121141,0.020237529691211432,0.019477434679334903,0.00954869358669834,0.022850356294536838,0.005273159144893108,0.015011876484560566,0.03258907363420429,0.007885985748218537,0.009548693586698336,0.008836104513064142,0.009548693586698341,0.007648456057007128,0.014299287410926365,0.009311163895486935,0.006223277909738717,0.013776722090261258,0.014774346793349189,0.019999999999999997,0.021662707838479813,0.015011876484560566,0.015249406175771968,0.00931116389548694,0.013586698337292171,0.020902612826603294,0.0190023752969121,0.01121140142517816,0.009073634204275538,0.011876484560570067,0.010261282660332547,0.03306413301662707,0.010023752969121138,0.014061757719714945,0.01904988123515439,0.013111638954869349,0.013349168646080767,0.018812351543942996,0.025178147268408536,0.010261282660332542,0.018527315914489296,0.012399049881235162,0.00859857482185273,0.004560570071258897,0.012161520190023745,0.010688836104513046,0.017149643705463177,0.016912114014251786,0.012874109263657934,0.00907363420427554,0.014061757719714968,0.0038004750593824007,0.004988123515439408,0.015676959619952475,0.014489311163895452,0.020712589073634213,0.00907363420427553,0.011211401425178147,0.013111638954869349,0.020237529691211408,0.008123515439429935,0.01453681710213776,0.01168646080760095,0.01049881235154395,0.01548693586698337,0.01334916864608075,0.013539192399049863,0.011638954869358637,0.02280285035629454,0.01049881235154394,0.01572446555819479,0.029738717339667466,0.010451306413301633,0.01976247030878861,0.012874109263657969,0.008361045130641339
MAPE,0.10625958227259154,0.33979961112108,0.7516671603953354,1.1043194286603633,0.1403608923845353,0.1099826326204703,7.429306481248408,7.403381644778469,69.9194369844295,0.4407885819339409,6.055010426585547,1.3558099000264663,2.247184466064933,0.15521149045021046,4.049606530567588,10477.040741150113,0.5762982504790712,0.20287485129382024,7.684316783009898,1.1546984402608824,1.8951673260275197,2.8442395517417807,0.09795867157533533,0.10321164123114787,0.0645971048366076,1.031278842311924,2.002651345522318,1.1980242031630521,0.6692721064726183,0.9303932199793837,0.16567222688341537,1.2421310447131366,2.21367461865896,0.2918668831880256,0.09677304824038785,0.2375893055679704,0.16670593243744236,0.34616407417261824,0.11694406886494603,0.09673613069342539,0.38352640166251334,3.4335038724297724,1.7897114624928006,3.018281594318256,0.14523741794432216,0.12372850896382763,0.43358395503717323,0.08850687900333244,0.14514296202081467,0.14487650728168203,1.0357094845451205,0.14629927148683852,0.18372227785149414,1.0289835232582034,0.06550607334596337,2.705154792357627,2.4201183073115615,0.6425345613391882,0.0788271503626072,0.11394920192757788,0.11621237689319916,1.1345394971918727,3.0884778281954723,0.8615282480146195,0.1729370072720408,4.156980707447042,0.19411167191116285,1.265906371834197,0.4362751647267989,0.174563088648939,0.1485099987266009,1.5018933860973174,0.6973697456677096,0.10549746107096189,0.2536519575622732,3.065838397040173,0.36125850608024995,2.6253933016109836,613.5979190621827,3.14083621446497,0.1521436001530432,2.9089802164187906,0.21093063275914636,1.2139358734969257,0.20794645288807956,0.18810361890976113,0.16639034196842412,3.74467164877622,0.25414168444744323,4.362770803899359,0.09502096239689775,3.115442266973586,0.1147522522445876
MSLL,2.206802038548944,4.177603878784171,4.469359095078216,4.369011554042316,2.09441074745941,3.778610384810146,1.8324590679330304,0.6315878553737291,0.13227263381557353,2.461996126315945,0.9692910701068802,3.1219183058805062,1.3385007076542697,4.316572312051791,2.9941719329678396,-3.526602111284653,4.911844733699958,4.237426712567437,3.107738752608449,3.397634616719331,3.479466336933803,3.8836879920394662,4.5042398507015875,4.163356285807744,3.9567646956999027,1.9457276590182422,4.491195099527709,4.235937102511666,3.688492684853861,4.056728065789522,4.327835486087861,3.2725621898651283,3.720889531501628,3.3361615919872705,4.488641521044537,4.422314285604871,4.275213195333152,3.2222569130408143,5.158587874188067,4.947598210419538,4.231620601141192,3.7934947777668295,4.404168698675184,4.013227930167567,4.087612803174715,4.794840065019824,3.369569066644079,4.27015914241572,3.39808740687712,4.662747658255858,5.126802592358117,4.798017518661782,4.62157162591739,4.411345266868353,3.4357042365650003,4.589834214317166,3.836004479701181,4.232086861856761,3.9889476643737374,4.2378313167113335,4.522078093009293,4.255108339828296,3.0666917798027358,3.4572823664425227,4.445722214240777,3.5361915122073304,3.9801750660660202,3.1462907162883678,5.15530787838933,4.241626148564489,4.611747670148969,3.9750722656607183,3.85945405159639,3.7906796833075385,4.07840940491053,4.088776445021296,3.420643599767889,3.507129042042508,3.276663427077107,3.256158940563026,4.136886426650027,4.384417155265176,4.1410001513987815,3.6528304612904208,5.439685816105626,4.825415227406523,4.543293891721051,4.6452250887094415,3.2072046853689935,4.200899136814831,3.843731473929939,3.6502621936088495,4.554710593165288
NLL,0.5662975186481759,1.2981783043032842,1.3827757439302992,1.3369345416700253,0.32881056748701065,1.2046081012437917,0.1600765187656458,1.1696615687547272,0.1425233107596846,0.5107348332933994,-0.24341772990710142,0.9421270057399527,0.978643200116106,1.2227627171655004,1.1441817291228564,-2.043653419504657,1.3338583138851776,1.261743646654537,1.3045130509440874,1.3776889389289986,1.334971181939672,1.2919496961865131,1.1000950925014923,1.1637836322117254,1.0793712538830602,-0.11224113626004838,1.3209805216761936,1.3617484130684487,1.2774289286870535,1.3242092529023326,1.2562566164678486,1.213923974701936,1.3186539787088813,1.216344443172352,1.288260576946773,1.3500947842674695,1.272513550252957,1.4085089748884891,1.2215472988173275,1.36354524664396,1.2795625165338962,1.3878852026498392,1.3152390810272325,1.292704972929542,1.203824109798897,1.2859564920988948,1.3414909960724588,0.9556267850955231,0.3819845871591407,1.3410695701229647,1.3474467047523233,1.3716808123081894,1.1495594035464531,1.384857530090437,0.4159949074016214,1.1580813267689185,1.3652274087489797,1.384446687277649,1.233409196340883,1.3161846921935652,1.2651668733929937,1.3515518765519516,1.3838984712313913,1.2781166422581312,1.3417637175691157,1.2953180281211847,1.336144057723405,1.074313218468851,1.307800342353869,1.3317241377077296,1.3187042484406861,1.311025120060328,1.3512749319914885,1.178922268637056,1.3254726383048843,1.3880682247992553,1.2327467530967289,1.2444469540797385,1.253067772493947,1.3009243925637357,1.32283845627661,1.3483286752353008,1.320104210134442,1.3226127861926378,1.2960691853077373,1.2846291512420818,1.3255674845624577,1.178859782426837,0.4853413558984092,1.3623044125173032,0.7673340741075355,1.2841808913691464,1.1640888412624881
R2,0.03711740397396024,0.0912395933509732,0.06144815140060844,0.055761021924846776,0.034437457413613926,0.1408835848261638,-6.677453465735989,0.3538326793160663,-6286.394080307556,0.12395584818619099,-77.26868024648253,0.07189079036473589,0.28786539267734745,0.2765965231856383,0.04355164721230098,-60862.66149946236,0.11187212991701456,0.11273919445566383,0.06885817386156112,0.13169313386832993,0.08636531966869632,0.09114481043523204,0.2246930382758583,0.2589872907572949,0.31330562616240476,0.008889929094942572,0.127282184006964,0.12096098766873697,0.15971230088829702,0.1266797006265522,0.17413971252285443,0.061523482501232185,0.12694720885938027,0.17059999047904728,0.1451780904468054,0.16467666504000167,0.11451533979134976,0.09029864194010717,0.22421363627179292,0.11048806560722613,0.15169086815847932,0.07560977128997182,0.1775814943318631,0.15328089353584573,0.18239691382327394,0.13644741522423143,0.1581965662288377,0.11342261553177746,-0.006915649894720266,0.08757465725100833,0.07732306648299914,0.07977277516525527,0.07004514656648653,0.11091743282255462,0.10733508729988317,0.3941726021582971,0.05573989280482616,0.10407303906504228,0.26236115889755285,0.11792122354378354,0.2068498602559099,0.08326786775698392,0.06043231011029693,0.26509012069715576,0.10127695496052613,0.09630769271541129,0.1328327828979159,0.06634800100355387,0.19430670366630165,0.10348484103081768,0.17881054791191897,0.1759887851724834,0.19561650024728106,0.19010764438403194,0.10274009297894715,0.0716149326247526,0.3395652037293353,0.2975656314352192,0.2607065604600154,0.14989356059383374,0.12007169734701684,0.07197982228234023,0.1250575291567464,0.10157331543860137,0.20227255858955628,0.22128053492328037,0.08570690605340281,0.04533783305330952,0.04228277401993097,0.11983263373645292,0.0906626064023397,0.13815485354109247,0.16604898208474905
RMSE,0.04603492424567558,0.01295593872722587,0.010703007807929031,0.01133677354911702,0.04067828308485985,0.017096761184507314,0.12591135815980484,0.3331330833905924,19.38429355974289,0.03218131674693084,0.6366255880005003,0.02635669995675196,0.14248191411093278,0.00932886236357003,0.0372094327666776,263.0136549325882,0.0063694336182911196,0.011626948210657196,0.038471557658963956,0.029912187941197373,0.027089856269702804,0.017275575747655526,0.007081061765750186,0.010374753854856308,0.011285179607567468,0.030765167059531057,0.009492771961076474,0.012809217852957225,0.01990055291842302,0.014710646527282248,0.010191693691165234,0.029917087585871003,0.020464702359831975,0.026455742357852675,0.00911575959570315,0.010243353371075103,0.011305700053925716,0.0376280337850919,0.004157180665267528,0.006335841285127642,0.011640653431952119,0.020986863306231396,0.009995491955253398,0.014659676833939927,0.012235467545919169,0.006730052401332312,0.029213598514499534,0.008282053590984972,0.011895496097732574,0.008342093058455135,0.005308040765053837,0.007545208390080126,0.007246328335143585,0.011062338632572876,0.011159993934871285,0.0060889994875492895,0.019873016723645224,0.013279591434844683,0.013212030328626109,0.012236620862366064,0.00829816291026695,0.012702391733772958,0.043591218968510606,0.023468223657895016,0.010293041332216167,0.02446662855865905,0.016014971626081106,0.02944468730840643,0.004633363871763163,0.012482088496410169,0.008143927885573122,0.01530200752703357,0.017668759131576083,0.015984705580928425,0.014609545631260684,0.01565756491070564,0.0220539441693165,0.02110548594285056,0.027500134925016264,0.03157562115861166,0.013610088930713622,0.011193993772526348,0.013478855971725646,0.022310200241941632,0.0034287849930204825,0.00619026848472175,0.009265411701946344,0.007383535308541422,0.01557009455011082,0.013281876292460894,0.01064297238249124,0.02108149431712579,0.007443972830658051
Rho,0.3147864133558021,0.2715467145375002,0.2321883378200112,0.19556364992520725,0.43815811146071404,0.334046739037527,0.2896982346357996,0.41628547496335155,0.17695937458283262,0.501916364817443,0.25249752386869667,0.30055703870569384,0.3314948911016453,0.4009472389542003,0.23904324017231016,0.22991486879913553,0.26488834283871227,0.32711717654641154,0.24576228711813403,0.28929142331936714,0.28272588002384846,0.2881871608677059,0.4446669518071631,0.42963959868621804,0.5000886463531472,0.23769086442949564,0.29402934245060464,0.3033677843786366,0.3992726828008278,0.28109198514190004,0.308899801139883,0.2581789374244731,0.35409488598211925,0.34269524367730503,0.33671813066845313,0.361713923572031,0.3450854536464928,0.2929216268272623,0.36219631972824223,0.2944535266330012,0.36273074624189844,0.2336128372830355,0.3968608426998773,0.2657564931039251,0.385042287462161,0.3306785294954896,0.35031191464306194,0.3598723022168721,0.3226836026056504,0.2531219632580499,0.2588783423804518,0.22769554234749093,0.156593600410623,0.23571629720700726,0.3409254727292355,0.4837510620723249,0.20659139870064464,0.29590457477521814,0.4184210283255044,0.30680571893184383,0.39192757452092775,0.27460929795662503,0.19337287539953016,0.40233925047101865,0.27630000635058427,0.28628553427043496,0.2603926928320746,0.2897629698947394,0.34254395336908383,0.25559085383664215,0.37139497092167495,0.3840298367176051,0.4068313724469885,0.4061229515607742,0.28627611058317903,0.21775721043606913,0.4278531729387383,0.42042205040316416,0.3811203385060579,0.3769266157893919,0.2942206710277288,0.29832352661134204,0.2957793728617028,0.28816769173888424,0.403047392072827,0.39026910441706997,0.2555268881495893,0.18622976280538978,0.3984753270149304,0.33319040895584257,0.37429649428905015,0.27915625501035446,0.3756536845453936
Rho_p,8.001631013148957e-21,1.0662610898647227e-15,9.048210518376948e-12,1.0551246647243693e-08,8.177320159412554e-41,2.1382776324685108e-23,9.622465392165064e-18,1.274675872410459e-36,2.3650755305768856e-07,6.2472774073226805e-55,1.0321401393832413e-13,4.864229822786621e-19,4.8049718352531903e-23,7.352080709972756e-34,2.092040874072574e-12,1.45579344967749e-11,5.4996181899180984e-15,1.8933205563369204e-22,4.761125606751494e-13,1.0734298177744459e-17,6.117110582701036e-17,1.443065746549991e-17,4.022501164228366e-42,3.821290897289524e-39,1.750891525028484e-54,2.8030088615963225e-12,2.9710946889931582e-18,2.1997796703268535e-19,1.4428217493718542e-33,9.365561120503112e-17,4.4979049902441435e-20,2.74324942073969e-14,2.8216937278244665e-26,1.2988059959420107e-24,9.086691964128892e-24,1.9974181645975884e-27,5.895281083609997e-25,4.02053973056124e-18,1.6849987535550585e-27,2.645198606645278e-18,1.3951312318280219e-27,6.699457559165294e-12,3.784398068430737e-33,4.4520817570221195e-15,3.8082757218884516e-31,6.215576191566583e-23,1.0232572701270219e-25,3.813433424512693e-27,7.422311120909083e-22,8.936770673971433e-14,2.325098760568864e-14,2.3047284170897873e-11,4.986468715363665e-06,4.282860119278542e-12,2.320731446786776e-24,1.3361859049066945e-50,1.4376967420050342e-09,1.7750485522779154e-18,5.12247725797405e-37,8.235632664835064e-20,2.6539116088225585e-32,4.936903604057736e-16,1.546882408845009e-08,4.185375887440053e-34,3.2138220770173807e-16,2.3947824498899024e-17,1.6225136596405157e-14,9.456330880852507e-18,1.3650770258329343e-24,5.036975405062449e-14,6.217827963219068e-29,5.604386423426831e-31,6.67091509641795e-35,8.928375124760203e-35,2.400778094610653e-17,1.7015633008345115e-10,8.440011414078273e-39,2.1672284808317294e-37,1.6883875673428653e-30,8.116173842872076e-30,2.819471845492237e-18,9.082152342469787e-19,1.837375262518537e-18,1.4505971370738115e-17,3.1391850849737828e-34,5.070525403969747e-32,5.1127561143850284e-14,5.2233786088187433e-08,1.9863030802269047e-33,2.8082113779176824e-23,2.147516131289161e-29,1.545642657277483e-16,1.3012471176039948e-29
SMSE,0.9628825960260399,0.9087604066490269,0.9385518485993916,0.9442389780751532,0.9655625425863861,0.8591164151738362,7.67745346573599,0.6461673206839337,6287.394080307556,0.8760441518138089,78.26868024648253,0.928109209635264,0.7121346073226525,0.7234034768143617,0.9564483527876989,60863.66149946235,0.8881278700829854,0.8872608055443362,0.9311418261384389,0.8683068661316701,0.9136346803313037,0.908855189564768,0.7753069617241416,0.7410127092427051,0.6866943738375952,0.9911100709050574,0.872717815993036,0.8790390123312631,0.8402876991117029,0.8733202993734478,0.8258602874771457,0.9384765174987678,0.8730527911406197,0.8294000095209527,0.8548219095531946,0.8353233349599983,0.8854846602086502,0.9097013580598928,0.7757863637282071,0.8895119343927738,0.8483091318415207,0.9243902287100281,0.8224185056681368,0.8467191064641544,0.8176030861767261,0.8635525847757686,0.8418034337711622,0.8865773844682224,1.0069156498947203,0.9124253427489916,0.9226769335170009,0.9202272248347446,0.9299548534335135,0.8890825671774454,0.8926649127001168,0.6058273978417029,0.9442601071951737,0.8959269609349578,0.7376388411024472,0.8820787764562165,0.7931501397440902,0.916732132243016,0.9395676898897032,0.7349098793028441,0.8987230450394739,0.9036923072845887,0.8671672171020841,0.9336519989964461,0.8056932963336983,0.8965151589691822,0.8211894520880809,0.8240112148275166,0.804383499752719,0.8098923556159682,0.8972599070210528,0.9283850673752473,0.6604347962706647,0.7024343685647808,0.7392934395399846,0.8501064394061663,0.8799283026529832,0.9280201777176597,0.8749424708432535,0.8984266845613987,0.7977274414104437,0.7787194650767196,0.9142930939465972,0.9546621669466905,0.9577172259800691,0.880167366263547,0.9093373935976603,0.8618451464589075,0.833951017915251
