observations,centile,subject_ids,subvol_Cornea,subvol_L_Accumbens_area,subvol_L_Amygdala,subvol_L_Caudate,subvol_L_Cerebellum_Cortex,subvol_L_Cerebellum_White_Matter,subvol_L_Cerebral_Cortex,subvol_L_Cerebral_White_Matter,subvol_L_Claustrum,subvol_L_Hippocampus,subvol_L_Lateral_Ventricle,subvol_L_Pallidum,subvol_L_Putamen,subvol_L_Substancia_Nigra,subvol_L_Thalamus_Proper,subvol_L_VentralDC,subvol_R_Accumbens_area,subvol_R_Amygdala,subvol_R_Caudate,subvol_R_Cerebellum_Cortex,subvol_R_Cerebellum_White_Matter,subvol_R_Cerebral_Cortex,subvol_R_Cerebral_White_Matter,subvol_R_Claustrum,subvol_R_Hippocampus,subvol_R_Lateral_Ventricle,subvol_R_Pallidum,subvol_R_Putamen,subvol_R_Substancia_Nigra,subvol_R_Thalamus_Proper,subvol_R_VentralDC,subvol_T_Accumbens_area,subvol_T_Amygdala,subvol_T_Caudate,subvol_T_Cerebellum_Cortex,subvol_T_Cerebellum_White_Matter,subvol_T_Cerebral_Cortex,subvol_T_Cerebral_White_Matter,subvol_T_Claustrum,subvol_T_Cornea,subvol_T_Hippocampus,subvol_T_Lateral_Ventricle,subvol_T_Pallidum,subvol_T_Putamen,subvol_T_Substancia_Nigra,subvol_T_Thalamus_Proper,subvol_T_VentralDC,voxel_volume_mm3
0,0.05,0,177.04019594412117,88.18943853269549,268.4953869538585,455.9240309396213,1952.7800049496093,1010.0279526009837,18840.104766701395,9466.50849959503,222.7715340852992,426.71460272074046,381.10218214272834,298.34239886884535,683.0667220002167,86.6199520419558,898.767343854888,188.9444804788392,87.85288796817464,273.57240617183743,487.4304001214315,1874.2231514339785,989.8569867665656,18523.23756245451,9395.723410527262,222.98109251343178,428.6995982022854,344.68215657999673,293.50997612992654,684.848326598968,86.65311594441796,919.5614809164426,196.90548408806657,177.3864995654981,550.697029278475,946.1491093334504,3907.9087465080474,1934.2767065530247,37419.00995351289,18904.617766674608,446.54247929116826,177.04019594412117,861.1975016383926,738.8645870686778,600.9497554116218,1326.3284029142446,173.74591507249835,1850.9477808192614,391.32502126303007,0.05409384032803677
0,0.25,0,200.38011449351697,102.5373749493921,301.18774289515164,548.870271163712,2298.443076677101,1181.8350529410436,21289.447032120366,10667.331755490757,250.41196739424626,483.23993718410065,430.11732445361844,332.93016829220676,771.9058120729253,99.56997441911773,1023.8934575614255,215.2146959358102,102.18339910822611,306.2574212700962,579.833259082507,2180.599591569531,1160.8233239534288,21041.911006284627,10612.074921165227,249.7704882779162,487.7966004804367,394.18295192575073,328.1307600252595,778.655396231825,98.83271670369307,1030.12467338862,218.08424726898733,205.26560826186284,613.1377405835715,1129.5305204973026,4500.667171746972,2326.724469286828,42348.696519175995,21292.58374453298,500.55986507705256,200.38011449351697,975.1501019648524,829.02668704654,664.5571417172739,1540.1869139858736,198.9411082944264,2064.66780235826,436.45483472296075,0.09630284026703703
0,0.5,0,220.84787611534054,111.14901959671596,330.5869735629534,600.4988966405681,2520.696642121875,1295.8126678277465,23077.715358589285,11659.47621383048,270.42739237427605,530.9135489392393,468.6770573477106,364.00794612832294,823.9008752738281,111.45554858643649,1110.3014282954287,238.39776157558066,110.41898407046006,337.41576166696194,632.2233214379671,2369.637969040384,1275.0832946000019,22797.10182253711,11620.387258128534,269.1437927903337,541.3606272088058,432.42984281494483,356.7375453318087,832.6883066486406,110.53575551680277,1111.901240259241,237.8895693069338,221.69081167605893,670.1759275037757,1232.8373324541342,4889.4166048320285,2572.241233093256,45878.27373450448,23280.716425463655,539.6016920309553,220.84787611534054,1074.1243271490107,901.5512650141657,721.1170456480899,1657.6808895329177,222.21011988410282,2223.8311914449287,476.63255906252766,0.12792155966525412
0,0.75,0,245.8989781575491,121.42971202605158,369.1674863787385,657.2172045209948,2813.182987479245,1440.065894369988,25366.009138065696,12937.0985548729,296.1932893257168,598.7570738327478,522.0927094471838,407.369273427471,879.3506334675867,126.83216245041217,1223.2800333160285,268.0419341323136,119.92567896861766,380.8100060223289,690.5438044728712,2599.517926323444,1425.7716595419902,25008.389014477198,12958.595220700992,294.1275502518176,625.5954954004121,485.97684308131363,394.2911304687144,890.8035423206142,127.04203905528351,1224.3338995027784,264.1710827138068,240.80909119971494,744.5149727510728,1346.9715787566133,5382.702254757702,2885.8077871406736,50370.97711879484,25880.553729849238,589.9421481289706,245.8989781575491,1218.0600037474803,1002.7907371583898,798.3130571556719,1781.473654407891,253.1885303474198,2442.1130689130905,526.7884900496393,0.16478740592478858
0,0.95,0,290.0020410900567,142.96663627810148,442.7681893603871,776.8996540884766,3473.567817186192,1740.3650028475554,29985.806386594064,15400.690291320981,349.18556284840616,746.1188414212091,641.4184240875976,498.9376851765584,984.8384236841853,155.34205628384143,1461.9211582310193,322.7389752071274,140.48627929904666,469.1089311816588,811.9722660064957,3074.86302724401,1762.874012001357,29470.72523529648,15655.195194198584,345.8360522191923,835.5526545995657,605.5035622636682,469.13456192226624,1002.1870903761554,161.2927322471178,1479.4212629870215,315.5439069004155,280.3566794321133,885.4201303947591,1584.4947946064967,6447.297172488642,3553.3047881327775,59467.038820394475,30997.688848066595,694.1110225559639,290.0020410900567,1539.7207443023235,1231.643788504888,958.6332137219897,2016.3988698714459,313.30101882158965,2940.995907737648,617.1580523183841,0.2336485515871758
1,0.05,1,157.46954693999254,96.43093259604848,244.50209019849197,528.1218647789591,2143.523617394831,1095.4421160305353,18763.419578967045,8853.47334938341,227.66658796824817,420.8918235363743,377.6800083289743,283.93566293941643,759.8886881369898,76.54115038578277,949.9924597101365,174.65013741878212,96.9711588321775,249.80509285682578,554.074656282401,2054.267253440297,1087.4679202854197,18701.76755609517,8897.636366263536,226.65240815086074,420.58807583927353,345.8459950841226,280.0916378383148,766.4621152630348,77.5927823869992,948.8369215526839,175.12011007044526,193.77273968541022,493.67192424568645,1084.0732911065484,4187.761534305948,2182.6157487447745,37438.573694066115,17811.49205529964,454.2767679570183,157.46954693999254,839.57377327604,723.0128000536238,566.1234091243465,1531.50889020492,154.5150605818244,1901.347424563956,350.79145569437105,0.013167378657836175
1,0.25,1,169.76850605667934,104.9129334249596,266.1585140687977,584.3633238779762,2320.973029870763,1190.9169119650958,20422.29716209521,9710.526326639927,247.36226019627046,454.82287423217525,409.1255659513952,308.6794397497407,823.3458130508036,83.72420495260633,1022.3739926847447,188.8039521730006,105.56935108795058,270.7066596753615,611.8602153940516,2223.1299171408914,1178.5226181627356,20409.46993429513,9737.6232110773,246.51197400587662,454.16886258710275,375.2753522522259,306.3447077921619,828.4515277867946,84.53362089389873,1019.4307469669315,188.3720329015644,210.6923176606006,536.8062128254187,1196.980775060459,4538.807691402952,2370.862507873416,40820.039893511894,19466.76652283133,493.9130838489977,169.76850605667934,908.6780953276206,784.0955486708106,615.241729817372,1655.399499744657,168.5438860179035,2041.7046736130503,377.55998156746085,0.02832985683334558
1,0.5,1,177.88783207147245,110.61117401260933,279.90898951425925,622.5524496997003,2443.1397554838845,1257.139691292965,21508.020642035874,10272.016253236467,261.0834104925339,477.65212696492176,430.1319205001452,325.9524912220814,869.2131843604069,88.70275339571477,1072.692079655196,198.47981510237264,111.28407883985307,284.38209178531224,651.0112065902728,2338.6695443631143,1243.1768342562789,21519.50649779949,10289.931394208423,260.2713617659649,476.7289566228105,394.7283055330209,324.00425968095726,872.8964448619662,89.36819406128382,1069.3057323535838,197.69275160900744,221.96575432032816,564.3912518355708,1273.7020330157775,4781.1815660027105,2500.9936811545012,43025.0443266307,20561.057391254777,521.3545965169598,177.88783207147245,954.4985403854058,824.7624052488001,649.5946093966559,1743.3465669403292,178.15468459924335,2141.138762319686,396.25487793812295,0.03829545075404799
1,0.75,1,186.17378227293693,116.98796943875314,294.2795635090082,666.9608571457761,2580.182894926627,1330.9720929125433,22674.74450226611,10869.518929747943,276.8304871507448,502.9320748596728,453.12006963304435,345.84428724431984,923.5427102187242,93.98674679938404,1129.4548078297441,208.6553890155396,117.7321758727885,299.0076604970174,696.2728136678624,2467.0532839334046,1316.9441702971526,22714.38309298063,10881.773145353798,276.1742364633459,501.81778322495563,415.85119396643944,343.6693345076668,924.8464211123671,94.56277048347663,1127.1728529530512,207.8105625213225,234.55552496767444,593.3845228534551,1362.47297312426,5054.77156350291,2645.5420759715284,45400.16877362508,21731.939008314235,552.9789945507894,186.17378227293693,1004.9840434264491,869.4543695835837,689.1732582230171,1844.419386651152,188.27871743372737,2256.8340234735515,416.2098853957661,0.047910114872039535
1,0.95,1,199.29019055109205,128.60340632098598,318.79530752105455,752.7948639238783,2828.8884719409434,1461.7874291510932,24711.67869296237,11897.699817302007,306.032547455866,548.7348751465776,494.638460285498,383.6338653482186,1026.1349191363588,102.8259980815624,1232.0672302482792,225.37099032316183,129.89402375438715,324.9427277134439,782.6454221797485,2694.492117259915,1452.033974479206,24810.35866506885,11915.708297443269,306.04972323516256,548.5752339082588,453.56432322133566,379.35665968937303,1021.0012791602455,103.55757104553305,1237.751976227292,225.43905470294374,257.5349389462155,643.3300000725764,1531.9244300826322,5554.488004780692,2899.8661807616113,49571.77603708948,23760.680462519475,612.1909371485599,199.29019055109205,1096.8821229309865,951.2824745793644,764.6287422551701,2026.388086518789,205.14618623035338,2479.364791471665,449.5392782593288,0.061325103979725945
