observations,subject_ids,subvol_Cornea,subvol_L_Accumbens_area,subvol_L_Amygdala,subvol_L_Caudate,subvol_L_Cerebellum_Cortex,subvol_L_Cerebellum_White_Matter,subvol_L_Cerebral_Cortex,subvol_L_Cerebral_White_Matter,subvol_L_Claustrum,subvol_L_Hippocampus,subvol_L_Lateral_Ventricle,subvol_L_Pallidum,subvol_L_Putamen,subvol_L_Substancia_Nigra,subvol_L_Thalamus_Proper,subvol_L_VentralDC,subvol_R_Accumbens_area,subvol_R_Amygdala,subvol_R_Caudate,subvol_R_Cerebellum_Cortex,subvol_R_Cerebellum_White_Matter,subvol_R_Cerebral_Cortex,subvol_R_Cerebral_White_Matter,subvol_R_Claustrum,subvol_R_Hippocampus,subvol_R_Lateral_Ventricle,subvol_R_Pallidum,subvol_R_Putamen,subvol_R_Substancia_Nigra,subvol_R_Thalamus_Proper,subvol_R_VentralDC,subvol_T_Accumbens_area,subvol_T_Amygdala,subvol_T_Caudate,subvol_T_Cerebellum_Cortex,subvol_T_Cerebellum_White_Matter,subvol_T_Cerebral_Cortex,subvol_T_Cerebral_White_Matter,subvol_T_Claustrum,subvol_T_Cornea,subvol_T_Hippocampus,subvol_T_Lateral_Ventricle,subvol_T_Pallidum,subvol_T_Putamen,subvol_T_Substancia_Nigra,subvol_T_Thalamus_Proper,subvol_T_VentralDC,voxel_volume_mm3
0,0,-1.1347059218234703,-0.9098663804505325,-1.2834687451375093,-1.1393716614133385,-1.3512170047462735,-1.4106304467307873,-1.040478028766636,-1.1178171158642667,-0.9748770834032244,-1.5330391221244448,-0.9891675906895991,-1.0800460573781439,-0.6874120201451082,-1.180750002937149,-1.012293262140898,-1.0722975303199083,-0.8728363042921146,-1.2308741471250673,-1.2202541626307526,-1.4418163556655983,-1.3884704657941902,-1.0084445455780453,-1.125719541303078,-0.9769714382869882,-1.5811083630266138,-1.1178883480428776,-0.9929175237969251,-0.7383744254200776,-1.0239777404997767,-0.9776155651100074,-0.9097762330409853,-0.8810164485706421,-1.1859999198685347,-1.1770205939150635,-1.3806214188414851,-1.4293526277118207,-1.0227803288595931,-1.1171174827605173,-0.9753341744000303,-1.1347059218234703,-1.5227959335245522,-0.9820387431575494,-0.9877729112192233,-0.8095163579817471,-1.0611222855109927,-0.9436407534274521,-0.9303245738349339,-0.3069957156550258
1,1,-0.21002859829975,-2.5177750283979905,-0.5184112777857248,-0.6255917005534138,-1.1993257316874986,-1.8953166137751556,-0.7402934388634476,-0.4365660337681134,-0.5294023882650799,-0.5706647589729736,-0.913488578352686,-0.5508891223327979,-0.7273828532145886,-0.15916503267768223,-0.7432440934708334,-0.16153536552096748,-0.9136253367827132,-0.5783013348043233,-0.6144508092339542,-1.1862893785102266,-1.605372061622825,-0.7025303865496111,-0.4025173501420392,-0.6352917093493324,-0.38869145851713793,-0.7719096894662303,-0.5870806686795406,-0.5920112773834396,-0.12801736692360222,-0.7138010118414955,-0.12975503346415873,-1.6428324743303455,-0.5637284471787077,-0.6138828529170754,-1.2019548516783871,-1.7572075391818942,-0.7255432239496024,-0.4051359318302277,-0.5745814676814955,-0.21002859829975,-0.47538789862996933,-0.8602242644460677,-0.5752675419014549,-0.6367646042511205,-0.1197193230561735,-0.7171819298284007,-0.13270809344665307,0.9149024778752461
2,2,-0.12547013087380238,-0.9241792429780549,-1.1214873290157672,-2.282123035949663,-0.911421390896965,-1.1381645545088275,-1.6246483837801757,-1.1902079929389888,-0.7848750121798,-0.787043415651534,-1.4905479727930864,-0.5858753095401392,-0.6302433324649281,-0.49242914125547316,-0.8730647038201864,-0.2409833806787836,-0.49317687430262797,-0.8084656022107237,-2.203903030441981,-1.008816016446,-1.0075099927123539,-1.5515998972448102,-1.2866032903369264,-0.695694244560163,-0.3559101850708196,-1.2966360764619047,-0.5603851419931385,-0.6069450034148978,-1.1174841006900753,-0.8930006339691512,-0.15146351436527766,-0.6517113945592756,-0.9789396850875136,-2.26299957139336,-0.9490434540790175,-1.0953321234465343,-1.5815421344361653,-1.244787171710898,-0.747663468506268,-0.12547013087380238,-0.5590344111283441,-1.3922764451040543,-0.5496004793362577,-0.5785146485637832,-0.7985084601516284,-0.8742631651732604,-0.1818361289092659,0.988240903489892
3,3,-0.8535323711553808,-0.7741756441468194,-1.4032767149024035,-2.9404491184086066,-0.6778025258448616,-1.136135247614829,-2.6389737306157715,-2.9762497264758854,-3.1057041719275427,-2.058814835386851,-2.609153501983128,-2.4953434295047763,-1.9855811879961023,-1.7800651177949707,-2.973813718751705,-1.3434281188382888,-1.5842145071295692,-1.2270024202640974,-3.075672265047365,-0.6319566870638869,-1.1447544871697595,-2.567323961063544,-2.8562955263116185,-2.3563894478526244,-1.2440929549843411,-2.923726281085553,-1.9827829109978397,-2.1591624932850433,-1.9789671109470612,-3.2861955359395596,-1.5755017626059942,-1.1394569237964343,-1.3101698082621756,-3.032922165327412,-0.6712535224694911,-1.1143956933526455,-2.5941365893202173,-2.97171879254816,-2.7337412615001577,-0.8535323711553808,-1.6271447970863728,-2.766682646772545,-2.310371708588604,-2.073954739919981,-1.9054424229477558,-3.158591954605943,-1.4753013537496757,0.7601440847111935
4,4,-0.15460542961322893,-1.066297589909404,-0.484863119177448,-0.8343926559710976,-1.1191272805694599,-0.9837573352701552,-0.5850965557336744,-0.423247818324615,-0.5080743103635492,-0.512164874206894,-0.3616480429921501,-0.4574491550462936,-0.5766212468227696,-0.11214425127548572,-0.9475105306071374,-0.15679091060127492,-1.8175530330846317,-0.36013466041429015,-0.9299132698418392,-0.922150695337711,-0.9057426471015952,-0.6716892315223866,-0.46740373089078635,-0.5843095220971384,-0.75924064821278,-0.47070833428350756,-0.544941565385343,-0.5919374994447868,-0.10248503003657661,-0.8586924331685782,-0.10561469615696872,-1.4377541272895766,-0.4193637149996796,-0.8770513823791375,-1.0353907959734183,-0.9288707854414571,-0.6338263641030126,-0.4309372690727023,-0.5485434624507928,-0.15460542961322893,-0.6266021522896232,-0.42227778703418906,-0.4952621061431213,-0.5433638363794465,-0.08730758094402108,-0.9242801785497801,-0.11790387871017716,0.9437168200534676
5,5,-0.3267278388742201,-0.9277360950433333,-0.5948345547553708,-0.7801281612686115,-0.993727784749704,-0.9032091529909931,-2.207163487837142,-1.3695804779728267,-1.9794811463136832,-0.49793105854323727,-0.3528978210823287,-0.4369290399435483,-0.9533384424139195,-0.1614474807126176,-0.4287677195844136,-0.3450680625237105,-0.6639056595328339,-0.4491477347093603,-1.0066785611705904,-0.8237259715369736,-0.8435532332038032,-2.1592772751729123,-1.4298762693999487,-1.8899778835300785,-0.5002844423723998,-0.3755950754457684,-0.4657160949361767,-0.8209559195661148,-0.10617938733418203,-0.42781584331746053,-0.4380896253436382,-0.7850070466227046,-0.5273108909546141,-0.8847311965326179,-0.9255847954574323,-0.8537627859149746,-2.176810478103437,-1.4192816110589672,-1.942168785512576,-0.3267278388742201,-0.5099467188959699,-0.36978676442157854,-0.4135604042796796,-0.8568171830242431,-0.12599883506628884,-0.4169870228824265,-0.38394090945510767,0.8661454138925482
6,6,-1.2197939458831235,-1.4265334458790588,-0.7320406771994363,-2.4166295678345664,-0.798289777548714,-0.6574667152188145,-0.8608525634519495,-1.1142054514174549,-1.5780574851904285,-0.7486761628503351,-1.321111284462956,-2.1294013033422656,-2.619686649473638,-2.4934846704315636,-1.7882913186921057,-2.1404961969538046,-2.2840616054955984,-0.8582159138736406,-2.1280803591191897,-0.9361421228632356,-0.7717932157621474,-0.8752413677316562,-1.0998992485397285,-1.794105558023718,-0.7190058527267051,-0.9918494481175822,-2.067310978250367,-3.0770893810864335,-2.2063592525681868,-1.9193810640699618,-1.9421079044383889,-1.8871647839770398,-0.7781804824964575,-2.2830304357580076,-0.892128332217621,-0.6877303724977176,-0.8752687127236284,-1.103227619516385,-1.6924608619082586,-1.2197939458831235,-0.7222074737628653,-1.1947795413130808,-2.1226063182623753,-2.9006915568949463,-2.3964647460222794,-1.8859390841631367,-2.0707350938402014,0.6667353122373143
7,7,-0.6671091832477314,-0.5766953985175172,-0.583828579977659,-0.6336466769510322,-0.8338326880599568,-0.6681597854548189,-0.5498756156472874,-0.5261204159037745,-0.8260096336372109,-0.56792121993018,-1.6238442038244962,-0.5168511223390233,-0.557788791061953,-0.7794324371573566,-0.8852569588993977,-0.4889635597978158,-0.6177897310714513,-1.352112269030508,-0.6470671100827889,-0.7864034255325041,-0.7296716535473694,-0.5794112072024861,-0.5793707234397942,-0.6063447711203256,-0.548458599943424,-1.3430608064597502,-0.504881081190667,-0.6083737468538569,-0.6379019696745897,-0.8465298621365875,-0.63220484420853,-0.5738402330963963,-0.9068730004575316,-0.635483011417835,-0.8107144308361265,-0.7133460929264467,-0.5682081974290283,-0.5390142660387672,-0.6982302617227316,-0.6671091832477314,-0.578654515277594,-1.492426690642763,-0.49851932635134233,-0.5548646078913281,-0.6992331213729932,-0.8545947749344711,-0.5539609023798707,0.7348181896059911
8,8,-2.0549433477629684,-1.202046060354184,-1.3180155664940076,-0.8440430309461132,-0.6437126103296335,-0.9467766077780464,-1.138729148672589,-1.303933871083422,-0.7472627236444634,-1.487359919589321,-1.049413956726167,-1.6292381753669842,-0.6979815955086113,-1.700219170170223,-2.2789958371853185,-1.1292066208453282,-0.4709548501956958,-1.3107682643642091,-0.884529919050323,-0.7059573906157899,-0.7102438568891022,-1.08135787080846,-1.1360354466140334,-1.0890549130534848,-1.6454359666189013,-1.1239497513932635,-1.6682468311817245,-0.696229617920109,-1.600532323172914,-2.224593229228824,-0.8374810795738932,-0.7160321664348763,-1.3203271557398204,-0.8619428247547467,-0.6818651165403211,-0.8433399495570125,-1.109668215760608,-1.2198192738619977,-0.9254186010409996,-2.0549433477629684,-1.5639479912991048,-1.093068406730332,-1.6757311458689945,-0.6975205977205685,-1.6355366563575973,-2.276444984001537,-0.9927297564878982,1.032415520676806
9,9,-0.5469428083031991,-0.9041362271734051,-0.8219301375226905,-0.8441213334712909,-0.6682490434079892,-0.7931803013308244,-0.569696621862592,-0.6177385268750634,-0.6827553718756028,-1.5234299577206456,-0.7676402551665369,-0.7612195225521213,-0.850475276906234,-1.2268331017505918,-0.6930990762303983,-0.6417772340831018,-1.1601919347857081,-0.9934778739304096,-0.9451111176645663,-0.5858115453329011,-0.841742648868949,-0.5951815818027215,-0.6345515891303101,-0.663002688486328,-1.1731377512483905,-0.6995930889903164,-0.7466540515602174,-0.731081037925042,-1.211234815381692,-0.7538666198446902,-0.7238002146928393,-1.0021089272129649,-0.8806058140761579,-0.8922099380989856,-0.6425141973115147,-0.7941616831685194,-0.5842365441373378,-0.615108602927207,-0.6627769637287466,-0.5469428083031991,-1.334862386570116,-0.7493070391382672,-0.7256760245976581,-0.7589123285254862,-1.1858016949452679,-0.7228543261717011,-0.6246132400908729,0.014111772775120102
