observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-1.0487441874663983,-1.6482982464157248,-2.3731212817718914,-0.9765794791894069,-1.1582479580475045,-1.9879047068289437,-1.8626773383504236,-1.0744180645443109,-1.188643256894088,-0.7112672111925992,-0.8465938239392119,-0.7546492196218177,-1.756422675655867,-1.0362779835277087,-1.001834816026383,-1.4895552226874256,-1.0848104915999146,-3.0080564600447106,-1.3756954368270158,-1.0349659301448009,-0.8687442246877422,-1.1394572406532006,-0.809417097147007,-1.9814833685359137,-1.4675532966127554,-1.5410943643209438,-1.8319471774510083,-1.0017599090279468,-2.4334754748776266,-1.6430596964989617,-1.4102195473237873,-2.510358108046515,-1.2277105418309546,-1.0508658652495126,-3.569126305253975,-1.5057602008104571,-1.2840033259245165,-0.7447718480474508,-0.6907275313523489,-1.2518837873874578,-1.4888533092942584,-1.0215108583276522,-1.66835591590382,-2.2822600576660976,-0.6506918862283664,-1.8828457677840067,-1.4967615463890218,-1.8716899399418754,-0.8082259851227862,-2.713705396035884,-0.9678835674628055,-0.6701441687555202,-1.3246495064262467,-2.784523190803421,-0.909774802984572,-2.1113440300932145,-0.6536760239149062,-1.3338554681110892,-2.766726457324285,-1.8087125206924304,-0.9346553720706612,-1.036340882271251,-0.8964697148356121,-2.018973581649518,-1.7371603424179718,-1.4891029571623913,-1.068177454692153,-1.394186550838397,-2.7992840608026452,-4.159429635166705,-1.8877149229558883,-1.259143798922597,-1.1352697356987766,-0.38846119859614475,-1.7308907231570123,-2.08932514477643,-1.60455428096103,-1.2501238833430126,-2.0623430268965084,-1.0126047300761714,-0.8923512589570051,-1.060001585479731,-0.6973035747968828,-2.5399612181306788,-2.071959234932904,-1.1892186222392125,-0.9524887750696712,-1.8143618855405388,-1.3457449526886327,-1.1136049972173563,-1.5524863769770012,-1.059853008104409,-0.840346451855996
1,1,-2.3756289203124474,-1.5003115490882755,-2.277885608669829,-0.7792435144316094,-2.518405295090978,-1.1225238769700168,-0.7774881662950848,-0.7747101703591874,-1.0813759662719746,-1.781155699354851,-0.40154058141515425,-0.7462178558082702,-1.0509783515477888,-0.3239292871689511,-1.2403526796148359,-1.1659970923057212,-0.763167121120818,-0.6728197357924542,-1.4150453174696593,-1.2443454773422926,-2.317741015485966,-0.693926079890576,-3.1920572553032476,-0.36096732200772985,-2.593588059338375,-1.2948272933952942,-2.213083422988383,-1.096243926147887,-1.6718293567272993,-0.8996739008767989,-1.5469171128797785,-0.7822541206115086,-1.9403882472935003,-2.2412708879552548,-0.5798456235261393,-1.133593878877372,-0.5273782480052939,-0.8292572396894686,-0.5385116914109718,-1.501187197994808,-0.6637926817881401,-0.9703750162882936,-2.977289070000179,-1.5509461915867944,-0.7763283202353564,-0.7319642775940098,-3.431675193010936,-0.4419551522713985,-0.6057694851583812,-3.6403528412108868,-0.6759709378056296,-1.08253437096672,-0.5468493611521204,-0.747345346814011,-1.8702641933552053,-0.7297399961723199,-1.251255507770082,-2.9233819711448117,-2.845090678592228,-0.49940018902759586,-0.9928103665736843,-0.6179629072560395,-1.3850740006315203,-1.2030094628376586,-1.0732213231623475,-1.4085458443223853,-5.575371523352502,-0.959652988814767,-0.9110858563069609,-1.310318158355801,-0.8013556924614642,-0.6865157068531634,-0.7718285705888988,-1.0447455125621932,-2.2993374944456884,-0.8004243699299668,-1.091481967944928,-1.2463798146383422,-0.7597149452154713,-0.586234069829311,-0.5542554486798645,-0.6572418494254382,-0.39205432392174555,-1.9630425442329038,-0.6820490758848766,-1.2261491747760254,-0.8747531971299001,-0.8150706268608736,-2.684641802047928,-3.0170805434833694,-0.6407501675037599,-0.7775291885252019,-1.0410338004440842
2,2,-2.314979836201848,-0.6553101338162068,-2.02248681397917,-1.3816469573283225,-1.806477095181204,-0.735813821907805,-3.2599983608506573,-1.291772641308999,-2.2506128854346885,-1.0438993155504175,-1.7475087284915305,-1.9067860498625593,-0.9877705620265492,-1.2351515773338113,-0.6876240536716245,-1.441872339693917,-0.812735911175008,-1.330400995757973,-0.7046149470884093,-1.3760068092877358,-1.6136954206180554,-0.7498931280163518,-0.9754440159011459,-0.7342518408534597,-1.535450101665127,-1.2432931230075492,-1.1968780672689205,-2.2111299338251778,-1.8986091349058216,-1.213883579150794,-1.5083694952247753,-0.7866914851488482,-1.212872896727538,-0.97203930959724,-0.6278662854805839,-0.9108111866554367,-1.0915163386633209,-0.6320054380906244,-0.6136556550052035,-1.6392101013975005,-0.7438814237954496,-0.8476660581466249,-1.1164477647953892,-2.921421972460995,-0.9230551792816556,-1.7333941731391165,-1.141590842009727,-0.9867339460475832,-2.3781131172355408,-0.6719130356187185,-0.7462952333214803,-0.926818450517813,-0.5913971915656282,-1.0102157009015689,-0.7724116368638693,-0.8218416933956487,-0.7201786447378095,-1.106738759041841,-0.8751129323846143,-2.0329037148801063,-1.2926428946619999,-0.9831941863669356,-1.4882740884935466,-0.5158836495193143,-0.752983135165429,-2.2801555867620538,-1.668615861895248,-0.9958163853094533,-0.9207819358167526,-0.9420865669060015,-1.8224982903332574,-1.6886273700825358,-1.1219425674861352,-1.1182405671657507,-1.6612191431101007,-0.7553317911492129,-1.7439197653948244,-0.9591930648513987,-0.7696274102306462,-0.7355170044540502,-1.741863153190312,-1.1153835583634832,-1.2060032329854877,-0.8329650741626913,-0.7763316421935067,-1.448978772407554,-0.9127266870835382,-0.7618338746769249,-1.6452217715417654,-0.8731268369760374,-1.1600585352059782,-1.3127311806956645,-0.501584310939548
3,3,-1.094165868083398,-1.1079862234798714,-1.208625776642017,-1.3493156166888438,-0.6512165166380193,-1.9630155994893514,-1.6084319234530353,-1.0089745402274106,-0.7549994776604687,-0.7180193653597648,-0.5077800464854371,-0.918534738753788,-1.4384644564392448,-1.848869605542846,-0.7243049968098276,-0.846103566830249,-5.922259273374836,-1.3991979964454861,-0.8242669397504744,-0.7779737398342111,-0.7820713219498321,-1.1540496799251958,-0.6870403552461367,-0.843617505882118,-0.5292533990173979,-2.7494391490443135,-1.3878925632329033,-1.1316032160641853,-2.5625349702082643,-2.238754617954504,-0.936987183667027,-0.7832212732036238,-2.0615388744698797,-2.843614652889777,-0.8584813884217616,-0.9772595198137096,-0.7300901611247753,-0.9001719020521549,-2.2199152327183587,-1.3225928059777665,-0.7881974587480689,-1.4558657646310214,-0.841653155718717,-1.051270633340912,-1.1859391061041056,-0.6245165581561578,-1.5486280057571242,-0.6879126017153478,-0.8064004988579998,-1.0445012449428805,-1.0171917023410546,-0.789599765355304,-1.7692699772798823,-1.7391639027373837,-1.9525838856089428,-0.9283640595133031,-1.03358200349922,-0.9692635073524923,-0.6181296970681248,-2.706969968196108,-0.7322066965249937,-2.5726734346487117,-2.106310593852774,-1.3130914309687842,-2.4099062572061487,-0.7235878398894822,-1.2459562686689938,-2.065756922584131,-0.8366596506470596,-0.6585651159722347,-0.8918269427270562,-0.8409824018767094,-1.1627292322507308,-1.0985349513306957,-0.6865891152926633,-1.1197043789308998,-1.0808796682370727,-1.5367176747486546,-0.789562187267089,-0.797620759800159,-0.9514309760078214,-1.5746656076277235,-2.0873070860047007,-1.3179593724022007,-0.642067841514026,-1.3815133717929826,-0.9506546134199065,-1.4664559124565506,-0.7329046012174945,-1.7975150395622217,-0.7427005479265332,-1.3106078863625283,-0.5308081242761464
4,4,-0.6431228926507082,-0.7871780300117512,-0.7289888720793792,-2.4240291830947327,-2.9696740374604462,-0.4382126063946761,-0.815665428131068,-1.8044817568608327,-2.1757603980095235,-1.534123012027146,-0.32955845811891926,-0.8831795109331364,-1.7095604926220607,-0.3768961320178945,-1.1277106262931325,-1.2265943289425478,-0.8459161172125459,-0.7573504597220819,-1.3108036056241805,-0.6726485459581295,-0.9632933442903948,-1.5848562250569507,-1.878618833083502,-3.3513460474359613,-1.2137338719008401,-1.3774902382411356,-0.7062660233587104,-0.7413358763728881,-1.902902035764085,-2.3046956476826796,-1.014959950647968,-0.652505431692063,-0.7631833253725739,-0.6580526241551202,-2.228155193136331,-0.4814293003623865,-3.7439340964706793,-0.6409106150463377,-1.3457910163897466,-2.9739964091534405,-1.5404418012626988,-0.8709023160071122,-1.2432299748208346,-0.69493589251211,-1.3402191185412797,-2.1613892581742573,-1.560716790460829,-0.34514252216648456,-1.234312646282276,-0.3169497528010705,-3.8914328338384507,-1.8574027385005951,-0.6255938342747074,-3.552729695601762,-0.8287955445755847,-1.1734908369378496,-2.961552371668308,-0.7252689127772545,-0.8393937975467665,-0.6426137971183372,-2.2298647595635313,-1.3102630455347821,-0.9596340935905818,-0.39533895987148043,-1.4198866467392002,-1.1363887865305013,-2.3900690145066315,-1.674511247439221,-0.6697659875395535,-1.6164665705160302,-1.1476619263429055,-1.4273588059057456,-3.0455591023677693,-0.2963211836623899,-0.9164240294530395,-1.287610711688298,-2.4257389444159663,-0.8869616259487688,-0.6414389922485115,-1.0034880087107598,-0.5342379575192611,-1.5713769386737535,-0.6409675595751363,-1.1859854657651872,-2.349392245613773,-1.0239347305575701,-0.6460477431464424,-1.8178936286602285,-0.9052131726784176,-0.7136811078384233,-1.3988653512850115,-1.3857287536124105,-0.9723674091452364
5,5,-0.7058798183634014,-2.8657404315147934,-2.4041607646856717,-0.6876534596197401,-0.6885599377777651,-0.4278994714180465,-0.8461734302999844,-0.6600418628431314,-0.7108756635748084,-1.2714079794206832,-1.8634851234629324,-0.6564039359553733,-0.7240713320899381,-2.239848596356576,-0.7668555436374473,-0.6838103222378618,-0.6433610026223906,-2.7659981693914033,-1.0850830961354383,-2.612734756985305,-0.6318970639559772,-2.444281058646839,-0.8999991779062323,-0.6331969576990958,-0.7878822068045629,-3.1820031091479315,-0.9758212878788439,-0.6886820444307659,-2.054193710031586,-0.8644031774989724,-1.048877304070504,-0.6647125525226383,-0.7019515640924476,-0.57974234904425,-1.4892942864372056,-2.0260240568863477,-1.0742514422553144,-0.8934206406978357,-0.44110872773334886,-1.4743222180553364,-0.7397735437588664,-0.8282304174442143,-0.8543644592886652,-1.5485906976136277,-2.385191041502675,-0.6131320490115246,-1.258038508597791,-0.7447563317145978,-1.2363036886148788,-1.0839533665830285,-3.3366736904841012,-0.7275893122478504,-0.8996291080960053,-0.7129609748791088,-0.9939581083428908,-1.9677422703612748,-1.4009907059562654,-0.6801726703027153,-0.8752959590215528,-0.7186803737817409,-0.6125776156097338,-0.7502448455704863,-1.447293611250763,-0.6502497291952948,-0.9209756820240207,-0.6793830745066748,-0.8367534546940341,-1.2715461906064256,-1.2586009277733448,-3.5403368050021244,-1.286816867946404,-0.9850945979796266,-2.477035472271185,-0.20015089541587502,-0.6929632438622497,-1.2606759058604013,-0.5999175532967531,-1.2264995810973365,-1.0995207108147254,-1.0298183962663063,-0.6900938590803426,-0.7185732837316192,-0.5523218063017438,-2.2070339731625452,-0.46285920571114625,-1.1229324763925788,-4.609043709869225,-3.5486037062203915,-2.160750735925097,-0.783426513969975,-3.9244657239301732,-0.722041252440905,-1.7088892878824857
6,6,-0.5118626088834134,-0.7671546656231367,-1.2230868269173212,-1.604854379901541,-0.5826567593131882,-0.44252826863885075,-0.9714291883001198,-0.8922145491934778,-1.4127494902049667,-1.757974792579093,-0.9668096258871333,-0.7671777707677292,-0.8452082982619643,-0.38648662359590147,-3.1041766870389136,-1.1374816774653993,-1.8731798125049668,-1.4217681908257667,-0.8615151644810676,-1.6079618682120267,-0.7470252749907488,-0.6759763112537358,-0.6661478188136385,-0.3403194998519583,-0.4975636514295589,-0.8011023716711853,-1.4426715984514114,-1.5337186300652985,-0.9691924590528567,-0.8712344381079606,-0.6402118380741182,-0.7430819760737679,-3.066140156916656,-0.5838464301983969,-0.5836470282879087,-1.2530018955242144,-0.7190600769292925,-1.4158401066200998,-2.006142911974724,-0.6192375956118792,-2.5342504164368904,-0.7678535892892155,-0.8591214009335147,-1.5715290941871878,-1.402275048166381,-0.5235540135558021,-0.6412863922569525,-0.4184897695656513,-3.412758332261426,-0.7264436491223896,-0.7430554464116698,-0.9067291683538392,-1.1829470644187237,-0.7766379470824906,-0.584314162206044,-0.6624772210652243,-0.7523874514974214,-1.9929069463650448,-0.516710820427617,-0.6831191569270398,-1.9079584020855047,-1.9143841731200442,-1.6279459259107303,-1.0692898889196585,-1.7828592809274464,-1.10330392278547,-0.803486506148164,-0.8562497447923473,-1.0048848758318252,-0.568616941291184,-3.7524387871094786,-0.7613304862248017,-1.7804732453114198,-1.5195622398410003,-1.5606575226765758,-2.3816809592943913,-0.6804557554303576,-2.4789314899887307,-1.9157650796132297,-1.4436453212716258,-1.5072817147267126,-0.8026911081646774,-1.032354784456406,-2.140997941488033,-0.7860092952382246,-0.6131196220020143,-0.668725686630591,-0.6170700327020432,-0.6116614757768193,-0.745877952188982,-0.6125015354739651,-0.8788194704667178,-0.2326222471744419
7,7,-0.7570395241849435,-1.063771398051922,-1.0856562444760383,-0.6307323764704031,-3.0272918960415,-0.8089011525542003,-1.4618900298215003,-0.8035713329209534,-0.7444363253974398,-2.190000557964111,-0.4051282924976197,-1.0257991699142126,-1.5434892258526296,-1.1865065547314853,-0.7070018779831275,-0.6690978578149974,-2.040134780102666,-0.6878327866076068,-1.326372607384892,-0.7674388561165846,-1.1616947778790252,-0.7948604423500045,-0.5658682638283941,-1.9231810281844652,-0.6396414814374929,-1.6671581097339323,-0.7083438611773549,-0.7290792624640534,-1.017689240693028,-1.1525287731032408,-1.1307209313677895,-2.4503291636072073,-0.8504267295849178,-0.7603780155695353,-1.5653696507799415,-0.5704694806806776,-0.6084640177589387,-0.650753232312953,-0.5202975477108808,-0.7626789387551018,-1.2048897247383112,-0.8389915298907324,-2.036842172241444,-0.6165651440626121,-1.5007670485581954,-0.41255693420983497,-0.5246847732434232,-0.3899253598207171,-0.5661654344405233,-2.0799510358291364,-1.36659548528071,-0.8081750623343951,-4.157463232486269,-2.071813049930516,-0.817717188203134,-0.7411051786679774,-0.8117666191630929,-0.6981463953675688,-1.6191737531883323,-0.7669933487948908,-1.4865379202280664,-3.2261722042255228,-2.1853256480169554,-1.3373234513266508,-0.6974017653368358,-0.9833121369723539,-2.538386397446095,-1.4900076993060607,-0.8890197740776822,-3.015600622958135,-1.1877864949193646,-0.5664410802161537,-1.1209760454290105,-0.3191999052530843,-0.8189094723664057,-0.6815987091922628,-0.7217012639127336,-1.6492772349663092,-3.7421229464672123,-1.4969916813843198,-0.6734400896860887,-0.6863019191126127,-0.44830356444709213,-2.7619610096726284,-2.361482541210692,-1.3809116701876598,-0.9228166946069964,-0.8291230023597969,-2.0658127685058005,-1.5133539098337876,-0.6541264141618613,-3.120301364046154,-0.6224175147356436
8,8,-0.5580248467793381,-0.6668698507433082,-1.376631492622464,-0.6334239717054051,-0.8618230901415942,-1.5118771005721245,-0.6026245648492013,-1.2032317793198526,-0.7178492303101207,-1.90642770907954,-1.778188127438705,-1.0020830746500462,-1.298275515168442,-0.43064551535334616,-0.7694838977571952,-3.213155265744387,-1.2934711415300018,-1.0462813573495187,-2.099771425216032,-0.6364891258884399,-3.862512650347373,-2.064853421887338,-0.47863756166259036,-0.2691801343787459,-1.0898157671731836,-2.1392958746529804,-0.8743269046676161,-0.7560717673184785,-2.5566751950976796,-1.0918580226168353,-0.9748966290322476,-1.559979736799482,-1.6271046195036356,-0.8940749445065149,-0.6263843423542377,-0.7595476715988857,-1.8609442115477473,-1.201225176823512,-2.9073850641429955,-1.475326453134017,-1.214917664148048,-0.694972208743091,-0.8095830474907297,-0.5700162489492522,-0.6537407328874288,-1.3571007892686144,-0.5820273152011858,-2.5075164942040082,-0.5515562538020566,-0.9643270480089939,-1.214504760980765,-0.5668252823155561,-0.41104816102753716,-0.96578436754437,-0.5846947545535688,-1.0370062542507523,-0.9519547202135654,-3.032648888893646,-0.17528336713504947,-0.9497412877498164,-0.9359534528616494,-1.8260995251512102,-0.8884185010002863,-0.6304671943452896,-1.5169107670786248,-0.9365822612753247,-0.9124188251367997,-2.1725629883238264,-1.1904685814459306,-0.4952011487194586,-0.8677984483655061,-0.979345596288185,-0.9375233279443327,-1.3517306517415737,-0.8795272297907158,-0.9141797712545711,-2.0896687607029443,-0.9553667007687469,-0.7292433091452037,-0.6495527606947439,-0.5197617320250201,-0.928936283168668,-0.586910038696473,-0.7065295022036975,-1.5712907045081619,-1.8471434437198546,-1.5471927580912102,-1.33153788343006,-0.7581629610038275,-0.5911567698923638,-1.9289150181362078,-0.9016399133523647,-0.8099097132072317
9,9,-1.9323296223164843,-1.4245950621572883,-0.7654812439896201,-0.6712413865631146,-0.5907346896252805,-0.7225125433887242,-1.3293262019637995,-1.6320926870309855,-0.6479792912002129,-1.2811865306601056,-0.2974862913387768,-0.7188006900480796,-0.6601716550189646,-2.1342002324815614,-1.0362098486397628,-2.293863021477146,-1.4873240514934047,-1.027058699378912,-1.4284237246554938,-2.10782959952268,-0.7017430835235555,-0.9670514079156155,-1.3932201814952114,-2.0753511062607743,-2.4310034959252036,-1.0862836211791582,-3.8096906244163877,-0.8014913907916624,-0.7009257605424579,-0.8297481863981884,-0.8162735701675363,-1.0019718689183994,-0.7762186454064148,-2.6742223104538625,-0.4650624319092528,-1.1969407855479404,-0.5103521592313254,-1.3699700832792738,-1.6805595964948994,-2.3443322643915714,-0.6463437175037589,-2.0439852882670553,-1.281439632068587,-0.5766306024605046,-2.077773765999211,-1.8544144387960109,-0.6003688649965946,-0.44164010277882126,-0.5627073107783399,-0.3312206119221932,-0.6363155437161869,-0.5478117916003291,-0.7348407425523459,-0.7117429667227889,-1.1854713093909022,-1.0416200919330008,-0.7643912399899696,-0.7212274686321127,-1.3745053310660333,-1.0789191440994896,-1.2276543996955183,-1.6776717123364426,-1.515377077398818,-1.9265240792655631,-2.3264311568982032,-0.7644795168859059,-0.6275103825589387,-1.9154441215814744,-0.7236084835186094,-0.8608711460580809,-0.6758126651371418,-0.6998354525664529,-0.8547261322370168,-1.491669937653158,-0.6195164307120169,-1.261408469510763,-0.6830397091739537,-1.6900536697553679,-0.6566751751748299,-1.089165091515897,-1.81273155471876,-0.6786013826013348,-0.5313476057994038,-4.239116930177269,-2.141392845702831,-2.990131856723571,-0.7069100774365581,-0.7337553916598909,-2.2112251981656623,-0.6120437342979446,-5.05697507900458,-1.0734800845839179,-0.20432196746676667
