statistic,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
EXPV,0.18426618594844335,0.11068638873166714,0.10490200829512952,0.2934997944998611,0.16469821589545097,0.21006505962300648,0.26791952636500593,0.08228770226155036,0.06577860061662222,0.18030868825304258,0.2814650215678677,0.252614973067681,0.08097124766622532,0.3050805945210665,0.08740363676171048,0.11862610016272512,0.10860808406253675,0.05934231268078105,0.05943320657893114,0.2124450688271734,0.04172998062793842,0.12459598453711962,0.19043727230926144,0.2478637324226044,0.26248605054297103,0.08559506381670379,0.0808041160174332,0.09428177907103075,0.0692335775859364,0.15839857320450745,0.1894589409331442,0.10284267244232514,0.08588047602435145,0.16521288782421917,0.28873737749306805,0.5057686150849641,0.1336266002042037,0.17047675780564286,0.5325211758503398,0.1600378319419431,0.06550378091828968,0.1023136599430583,0.0889085302954189,0.1922350669388,0.12259180811535508,0.04096025741197573,0.3764122796880971,0.07631502407609414,0.20569111440487686,0.4664613754569943,0.21767420275393257,0.2797799337278467,0.16500031126902703,0.09216358327007734,0.11068829818980752,0.11464605126064997,0.08790713789761861,0.13714669064357232,0.47211704619261285,0.282238935703487,0.10544979554503164,0.11274320324049658,0.13415222541933203,0.49581052580058016,0.1116280126142809,0.17929510833439888,0.10660726322067227,0.15602891273945385,0.1898880671320936,0.20187201654246445,0.08760052564282894,0.25462976466357445,0.24329366017007725,0.42174459693217947,0.07709834679048877,0.06845028065850145,0.1992948421519538,0.22283503393963866,0.2122979002663652,0.2130262537699107,0.20603939569364949,0.15304003278507095,0.18588336799271798,0.13379025523724564,0.3903798424810472,0.15537282199235303,0.09494530770542176,0.10514574654557995,0.18351585571504703,0.07059181482841614,0.1369525366422336,0.18586993522321593,0.2326936975070798
MACE,0.014536817102137787,0.013349168646080744,0.006935866983372921,0.015486935866983364,0.010736342042755352,0.01477434679334918,0.010213776722090222,0.010736342042755347,0.01833729216152019,0.010973871733966736,0.016627078384798082,0.017624703087885985,0.011923990498812351,0.01049881235154393,0.009311163895486954,0.011448931116389564,0.017102137767220887,0.01852731591448928,0.008836104513064139,0.014536817102137781,0.01762470308788598,0.011448931116389562,0.009548693586698343,0.00902612826603322,0.00788598574821853,0.016674584323040375,0.013586698337292152,0.01501187648456058,0.009073634204275541,0.014061757719714957,0.013349168646080753,0.007173396674584327,0.010261282660332547,0.006460807600950118,0.016152019002375267,0.00760095011876485,0.028076009501187642,0.020237529691211426,0.00717339667458433,0.010973871733966757,0.018052256532066484,0.0178147268408551,0.018099762470308787,0.015249406175771968,0.008361045130641332,0.010688836104513044,0.0076484560570071304,0.011923990498812369,0.006413301662707843,0.016912114014251783,0.009501187648456045,0.011686460807600952,0.017387173396674577,0.010973871733966753,0.013824228028503577,0.016437054631828974,0.0062232779097387185,0.010213776722090227,0.021662707838479796,0.01073634204275536,0.014061757719714981,0.009501187648456016,0.011401425178147245,0.017624703087886003,0.010261282660332553,0.01144893111638955,0.005985748218527318,0.01501187648456056,0.013301662707838457,0.012589073634204279,0.021377672209026113,0.009548693586698336,0.014061757719714995,0.0192874109263658,0.008598574821852728,0.01026128266033255,0.01691211401425178,0.01453681710213776,0.01311163895486937,0.01691211401425179,0.01311163895486937,0.013586698337292155,0.010023752969121138,0.009786223277909744,0.013111638954869364,0.009073634204275535,0.010973871733966752,0.009786223277909727,0.006223277909738717,0.008361045130641336,0.017102137767220884,0.01287410926365797,0.0178147268408551
MAPE,0.10443711131544743,0.18772725105020943,1.176993429623004,0.15034535377854863,0.6411738349698848,0.08386014290083477,0.2062328303340235,0.9636992768056143,2.3758062579214094,0.2007682800790048,0.21652965781497097,0.3217449765134538,1.193079224499225,0.06726706517560861,3.828691424201769,1.8797468702001228,0.40148751293192275,0.12009490470868735,0.15292239947057948,0.48600035630284044,3.5656412395557293,2.7274024162285633,0.12514123823157902,0.053476993780168,0.08413208239966778,2.013321940712866,0.3069113222895693,0.2666470629725454,0.44682296315268455,3.446266667930526,1.0342449075787097,3.6455126589796474,1.4502287629142723,0.4280441410571526,0.1643691867168366,3.1087332799405574,0.12792889462954585,0.09735948809509302,0.4014552910053302,0.13860567383012848,0.19973542416469614,0.5666488541347353,0.38707192134421875,8.334218186395795,0.08464715881562768,0.053521384498571446,0.13221610463473704,0.061562134926017476,0.05374705380970034,0.18509312081240306,0.48588170431044275,0.08829730550213644,0.13581637274692598,0.25024513679991844,0.03835682279452948,0.19258376908706412,2.5130429273516603,0.9347893574970818,0.07775924135884715,0.09766832422875471,0.060487104269454445,0.2238816209723149,2.883045114582756,0.05778534380273626,0.15607156837925004,3.8479051635866712,0.12801190907106325,0.12417097544265965,0.17540936901743057,0.2554913063349156,0.15664816978798,3.128385344311113,3.2604719185824607,0.22778027997648742,0.16321366957036187,3.3090856665272232,0.37008442074617454,14.744758545303952,1.591298950057249,0.3771257998525647,0.08563696116216757,1.7392197999654513,0.32856450857126857,2.87078618892837,1.5265123994358185,0.7463238370071681,0.08298011814795297,0.4023752168289797,2.5697002105442857,1.1833983506129455,0.6067935829002881,2.097172346506371,0.043414244402776955
MSLL,-0.32738087642259805,0.06370439651565607,0.2215995238380506,-0.06646582678702218,0.2581829793217154,0.18616630888474284,0.6237956363027989,0.5024351234790013,0.5018166723640386,0.1697264178291913,-0.04697115322049439,0.32660349925046206,-0.04872384891678183,0.12918078673219102,0.053146236125658275,0.3057501365618429,0.8298417031220016,0.15061020310425932,-0.20123336570499295,-0.3688913198549799,0.028280006853094397,0.08528329982736782,0.28483694343145416,0.10888768838315144,0.021877383367330028,0.5275325559678279,0.24990160954380247,0.48313809036502087,-0.15606556207040612,-0.07946839727424537,-0.16251317675140875,-0.18176969627614903,-0.2230943552609761,0.12358912080138995,-0.17658857113227078,0.036260624891043536,-0.09782698592334804,-0.048665591380704365,0.3861929469780223,0.6335822809418247,0.25301921608824784,0.03575237250949059,0.32933646054743715,-0.09851595272679736,0.11702170105565823,0.2767470316756494,-0.5253165904530606,0.15083257520440674,0.9019231606680114,0.02800729169650884,0.2526481741158013,0.4290367838821393,-0.11073809525152112,0.13062934519894864,0.7935549334305396,3.2291476912639716,-0.06993959583225262,0.6341107436104287,-0.4342438105884895,0.1670987117717917,0.5450202212550173,-0.14305130810035682,-0.7356499821061162,-0.10482644716260325,0.4262926300368074,0.29854496516767837,0.05050253998400067,0.2257450102691585,0.6352404886310944,-0.0178864345600267,0.5278156444435569,-0.0435935798108551,0.02381286357079415,-0.3444723537572987,0.27667301229844243,-0.1633729873259353,-0.04092904232942596,-0.23345320925521862,-0.2998339613709682,-0.3674672487438406,0.22491426586565055,0.1341854376581122,-0.16689000656833564,-0.370754537670303,0.8920555270874584,0.7560800990608171,0.3947035901694692,0.7093186107050744,0.7475173958956404,0.0848222264354277,0.35281637751892636,-0.34172727885874843,-0.026994288316698478
NLL,1.2147102911072183,1.3311986957648985,1.3768883445303635,1.2564174971691398,1.2649579928483206,1.1497782833760606,1.2447660091580297,1.3863921991644934,1.3667992106237064,1.2917242915980287,1.0409239018103507,1.266884308363255,1.3910729877523627,1.049265288154609,1.3302188044643204,1.3298158861893323,1.321483209821403,1.3433816403770054,1.3235019401375197,1.3347572943197095,1.373197549891719,1.3286987628421854,1.1779762473113105,1.037158098733763,1.1501319383678155,1.397048655098601,1.358777336581372,1.3927846422948515,1.345817905908815,1.3472693618691378,1.3296275354093876,1.3221439592999074,1.3901369679627473,1.2471827845652363,1.21564286515288,1.0665156474979713,1.157928364975867,1.276850485831083,1.0521647386222468,1.338901189541833,1.3211511317301534,1.3764647947290818,1.3872586809694525,1.261858672360505,1.1494875981107138,1.098018870393195,1.1914289920532584,1.0877738271904156,1.296481242153005,1.0217189534371085,1.2791703211059986,1.2424028108109753,1.1350598264424763,1.3772698871274054,1.2599688099869781,1.3577263612175932,1.3233258050264625,1.3636893356637023,0.9075268077278499,1.1302645710968442,1.2665767825738257,1.3341627984475617,1.3789438308153128,1.0403266069032435,1.3574808311075672,1.3349689360284225,1.3150350443378946,1.3324911423694128,1.3195302245698763,1.195485249609355,1.3764988376398115,1.2842978678207249,1.3141249233474452,0.9190702210932231,1.3024520585947088,1.341160548551315,1.3086864108740834,1.3130009228169843,1.282654987076472,1.271742807439643,1.1891675690874806,1.3359976036446133,1.1323690788575351,1.3502513884904717,1.1772843513215219,1.3251633636982971,1.3496258729298591,1.3236348073387925,1.3071539702681416,1.2955022191099121,1.2670195884648299,1.2842195334349207,0.9832498633511038
R2,0.18344060512284688,0.11045254909866664,0.10473397277327834,0.29308430286275633,0.16416738857074986,0.2094092120435196,0.2677475900463122,0.08195005319237791,0.05980268187713711,0.18026223050950696,0.2808118658426546,0.25168081161111966,0.080952351461971,0.3046558018242074,0.08715055201265354,0.1175174692842792,0.10837966697262036,0.05792235435828752,0.059291932833344774,0.21243506462324457,0.04155845311045159,0.12387580526487241,0.19028696365774078,0.2469358286061275,0.2620692511895255,0.08306360235125021,0.07792663455313986,0.09321762043134807,0.0690216097847629,0.15658063774137854,0.18854417223579178,0.1025691339391106,0.08474135553995665,0.16501501398779783,0.28873532739868124,0.5057488482343679,0.13222369343280282,0.17030354271569037,0.5325199514864943,0.1596710563206487,0.06258169892163234,0.09935506965842444,0.08718907980630808,0.19015133248830096,0.12245076274652555,0.03951573754510018,0.3757418883678143,0.0760105942607604,0.20487422366903185,0.4641146616205215,0.2174823390230145,0.2792949841051482,0.16420630899644195,0.090360946765486,0.11040264980310799,0.11346275051780075,0.087710642128354,0.13551163058167792,0.4716851745243954,0.2819064246444134,0.10460324445522651,0.11256184713388329,0.13414493791888427,0.494675273771351,0.11132872488421586,0.17830193214151935,0.1060164037135004,0.15591338452271641,0.18902627295690333,0.20172921416805123,0.08577517424921877,0.2546216505068738,0.2432921118954139,0.4212837049421022,0.07684918807724361,0.06815144074805202,0.1988281628603047,0.22197632072250073,0.21068053816971521,0.21302438659316703,0.20546305569713808,0.15248042381352223,0.18587539820045518,0.13332284441732833,0.39017695708966227,0.15530782291231282,0.09482710766490854,0.10433942058972345,0.18345591358771385,0.07029894056424657,0.1340041792938672,0.18557428496915862,0.23254790515092916
RMSE,1.0220647248682542,0.8106122539145143,0.7268996119117261,0.7637787397054697,0.6054235547331813,0.5639363159794131,0.3852806838316334,0.5611689847121554,0.5572235620938029,0.6727872971857092,0.6090471297657511,0.5360002996391314,0.9788759539270935,0.5063494754227444,0.8290638387015257,0.6329391909046979,0.37356828637002987,0.7741412824014149,1.0781380876897588,1.1797533060362246,0.9091507642323581,0.7853335226359038,0.5318802470930758,0.5312776357966396,0.6423405747121275,0.5527878320707901,0.7042456497182409,0.5722276500023975,1.0483162735437714,0.92556930647198,0.9692230728850009,1.0313468061061315,1.161855735657169,0.6800998611245418,0.8211393686891036,0.47661833058758285,0.7912875605689527,0.8296344178941617,0.32201213570253967,0.4490591976124984,0.6817314596981578,0.8776141887369031,0.6658908096653307,0.8487268739912308,0.6364918004319536,0.5391154514809765,1.0641872597616704,0.593614822010276,0.32013646033845,0.47847830805800584,0.5974792166347029,0.463320988717259,0.7688746318768604,0.8027983697615727,0.36384845745133076,0.03506415374670203,0.9309290967421826,0.46665331886227673,0.6728725311680746,0.537218504246372,0.4711276746704095,0.9985683756104398,1.8657001628874834,0.5406071083636663,0.5788196862078954,0.6183468734624915,0.8102277036729221,0.6723726970825703,0.43196590915762334,0.7274423309335117,0.5405896888345751,0.7882194370346302,0.7648959527202719,0.6512462691174118,0.6484691684512194,1.0515891738471206,0.8351340790328203,1.002018473659593,1.0462981282652961,1.1057153643631827,0.565704666840723,0.7409315465019285,0.8005147078428108,1.2592584580998971,0.25132636192763386,0.3928816838684215,0.5981995371160072,0.4232809168744519,0.3826482398408442,0.7829357570734252,0.5617642952897541,1.110013580531219,0.5821460074313243
Rho,0.3314738589871798,0.33831845888359735,0.31773243328140843,0.4602665114651744,0.36582313139925576,0.4098559987063068,0.49954795336613894,0.27033204996349636,0.2500622946801013,0.30917479127691605,0.4628874229760443,0.4811645224731554,0.22449207158779105,0.4689108618572446,0.26528974262248106,0.32927189253772227,0.2738394884019913,0.21018601099266082,0.20095162327646715,0.3658539583574882,0.1843686166400949,0.34420845834598673,0.3804863102943526,0.4504611535066202,0.37916808844918193,0.23226909902294482,0.24028533440689964,0.2895078050464057,0.2646888571393192,0.3198906520465003,0.34610781911227934,0.2829289783581985,0.2683626787070395,0.3394458490923153,0.40806549218118043,0.6517568285536434,0.4068497420801179,0.39333006542961985,0.6131552551684364,0.3282892140810076,0.23985847099341023,0.24981171885071302,0.23464473478625164,0.38672608064670916,0.3306813337737246,0.23827164150826477,0.520987625385895,0.3703113234329529,0.36982857547829223,0.5958892135635834,0.434020223029337,0.5163484445792709,0.3448933555618049,0.25181883827993673,0.3212389570628446,0.24875966220963508,0.20777656307171008,0.3306846657786427,0.5695383557995816,0.47118436761644333,0.3008795151318109,0.3221813252151093,0.27178666627336007,0.5589664278770426,0.31891649202306216,0.3837978814569835,0.2917949301497208,0.3638573826123811,0.38722437777136837,0.34782707765446613,0.2647357358263736,0.4455799604729599,0.4647873496518851,0.5471374294669744,0.16526047860098747,0.2418763652838094,0.3608161880967837,0.3638412851932873,0.3477997839032973,0.4371632862184543,0.3754672553242346,0.40992714093335897,0.5196672525889598,0.31789358905210147,0.5347764745307033,0.3015600702393942,0.27767122804927935,0.23181280576475227,0.4321267924571615,0.25590152179196385,0.3149771746340195,0.3713326134228572,0.49718218785812535
Rho_p,4.83698981491545e-23,5.420098570261789e-24,3.323192337634369e-21,2.24693082029968e-45,4.646916378889775e-28,1.9066809880363393e-35,2.372161481716124e-54,1.443183766487306e-15,1.8033574592296132e-13,4.1529561779837437e-20,6.1424299770194596e-46,5.266569510077141e-50,4.435822458955975e-11,2.986562019366815e-47,4.9881975574937184e-15,9.667436403845275e-23,5.996681010838412e-16,7.325968680065739e-10,4.0410221519968306e-09,4.595989071813271e-28,7.117653185622843e-08,7.883438324590882e-25,2.1438857957769226e-30,2.6055574235213233e-43,3.516716051800774e-30,8.895814172086312e-12,1.5965725783369657e-12,1.0128028364533494e-17,5.772607594002979e-15,1.73488102226365e-21,4.196286975954185e-25,5.800507472148518e-17,2.349890294838773e-15,3.759522602537256e-24,4.008045077166814e-35,5.661772191547171e-103,6.620623716088914e-35,1.5306015092108462e-32,4.3717328323686673e-88,1.3144105335078832e-22,1.752277471388263e-12,1.9092883522968688e-13,5.382118053949512e-12,1.9969072433907568e-31,6.210090962472359e-23,2.4726157803989578e-12,9.117669132216454e-60,9.222988484143976e-29,1.0988632431964805e-28,4.517626313970473e-82,5.364956102933509e-40,1.4608055803273603e-58,6.283249590571697e-25,1.2065302285090412e-13,1.1527828193612221e-21,2.4246820628252707e-13,1.1526836729180858e-09,6.20357970707212e-23,1.4446601066303676e-73,9.390172150535487e-48,4.44289068652021e-19,8.652399448474811e-22,1.0041900049179053e-15,2.294515689856216e-70,2.3279335006824657e-21,6.12193438076025e-31,5.461507861247251e-18,9.359921147368782e-28,1.6484371935755737e-31,2.3623955210432665e-25,5.7072828574729174e-15,2.622551013782385e-42,2.3821217962575136e-46,6.432952825366156e-67,1.4250583216238423e-06,1.1268525577045608e-12,2.739070142099449e-27,9.413557768277472e-28,2.3841074494425636e-25,1.2884123769924784e-40,1.3941457866480842e-29,1.8510470775767167e-35,2.0167737009521474e-59,3.166331868683792e-21,1.8495973259284587e-63,3.668274767183679e-19,2.2639323461158375e-16,9.791040514520127e-12,1.2578773281263081e-39,4.684322675541405e-14,7.561302482952318e-21,6.360771883829288e-29,8.900759555861593e-54
SMSE,0.8165593948771532,0.8895474509013332,0.8952660272267219,0.7069156971372437,0.8358326114292501,0.7905907879564804,0.7322524099536879,0.9180499468076221,0.940197318122863,0.8197377694904929,0.7191881341573454,0.7483191883888805,0.9190476485380291,0.6953441981757926,0.9128494479873464,0.8824825307157209,0.8916203330273795,0.9420776456417126,0.940708067166655,0.7875649353767554,0.9584415468895484,0.8761241947351276,0.8097130363422593,0.7530641713938726,0.7379307488104745,0.9169363976487499,0.9220733654468601,0.9067823795686519,0.930978390215237,0.8434193622586216,0.8114558277642082,0.8974308660608894,0.9152586444600433,0.8349849860122022,0.7112646726013188,0.49425115176563206,0.8677763065671972,0.8296964572843097,0.46748004851350566,0.8403289436793513,0.9374183010783677,0.9006449303415757,0.9128109201936919,0.8098486675116989,0.8775492372534746,0.9604842624548998,0.6242581116321857,0.9239894057392396,0.795125776330968,0.5358853383794785,0.7825176609769855,0.7207050158948518,0.8357936910035579,0.9096390532345139,0.8895973501968919,0.8865372494821994,0.912289357871646,0.864488369418322,0.5283148254756045,0.7180935753555867,0.8953967555447735,0.8874381528661167,0.8658550620811156,0.5053247262286489,0.8886712751157841,0.8216980678584807,0.8939835962864996,0.8440866154772836,0.8109737270430966,0.7982707858319487,0.9142248257507812,0.7453783494931262,0.756707888104586,0.5787162950578978,0.9231508119227564,0.931848559251948,0.8011718371396953,0.7780236792774992,0.7893194618302849,0.7869756134068331,0.7945369443028618,0.8475195761864777,0.8141246017995448,0.8666771555826718,0.6098230429103377,0.8446921770876872,0.9051728923350914,0.8956605794102765,0.8165440864122862,0.9297010594357533,0.8659958207061329,0.8144257150308415,0.7674520948490708
