observations,subject_ids,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
0,0,-1.0559513692167117,-2.2719452955486936,-2.876129448194063,-1.979226362118942,-1.805799545767389,-2.95236508505018,-1.494529887072454,-1.1485042354807113,-1.0197660421270967,-0.9461588696397039,-0.6823258521634572,-2.062737896480894,-0.8885750094215528,-2.9921668262119576,-1.686769478041697,-1.4570088335371114,-1.8429793045170308,-2.339768008121533,-1.7917867163653922,-3.032610968077079,-1.2378575143727044,-2.6208680366727455,-2.3285297340284945,-2.224508291438303,-2.3005291044421985,-2.073119081096475,-2.3871489931431267,-1.8952247697964382,-2.7538792585971077,-2.5910424733704334,-1.3003352619191166,-2.4312605737329447,-0.964992305421492,-1.503911462364784,-1.0106278242193245,-1.9869499175553726,-2.3662962697931382,-3.3917425489152038,-3.357171096225929,-2.366330421730612,-1.5488816170495667,-3.928787937534581,-2.7016398593656024,-1.8286009079388625,-2.3230568167233314,-2.773258661010794,-1.202103964579654,-2.2316822068820072,-2.1264811822373932,-2.1220638877214,-2.212892390719185,-2.1147106675987692,-1.6837439555893123,-2.1488987806315336,-2.235006619091271,-2.405696436985342,-2.3145304436872323,-1.8679687171502146,-2.5526918089530826,-2.375591367547554,-1.2299126969098602,-2.05134672110582,-1.4975788598454143,-2.695367561585563,-1.6104876839363407,-1.7693628509040513,-2.3695815331496832,-2.492091774091471,-2.3750849757515287,-2.166835342278075,-2.2007190250147137,-2.1088563405011245,-0.6559451604169473,-1.810593546220566,-1.5022225149997106,-2.170130564753893,-1.1992574191471979,-2.0822909311571416,-0.6324945631740739,-2.5571437449302814,-1.114983380470783,-2.1573918410127604,-2.0364651657141484,-1.4480580169086723,-2.2184933384120322,-2.6319492460216427,-2.5649700651639664,-2.173897093120731,-2.207576731845606,-2.243200210438879,-2.1088909328148215,-2.600171895920736,-2.2252701630415586
1,1,-2.1045880022819765,-2.659839889488549,-0.88850129881496,-1.0273787752584416,-0.7552699716603781,-0.739071605785409,-1.0685082378112818,-1.527341905594905,-0.6368881198601811,-0.6263499422477945,-0.7406191659331123,-1.4021461869624583,-0.7630698292039486,-1.6296344826510476,-1.424570232151848,-1.4529901324033114,-2.00932312722983,-1.8161976378388942,-2.6722099191016815,-2.2429289361118956,-1.4870615235357802,-1.814752704572093,-2.6035910363185,-2.2695020713764715,-2.0000249213764523,-1.1635552381974126,-2.6627743361798095,-2.306111047146733,-1.5536307455583402,-2.3099668852350455,-1.9247628629690507,-2.9434710456703086,-2.313839221196358,-2.45336496256078,-1.5099503765248126,-2.0520433007410706,-1.5932238177906752,-1.5436435254132275,-1.2378791284151385,-0.7358335914965068,-1.0559590676784536,-1.0990476335157522,-2.5678001735760816,-0.7883932318422151,-0.8747921157826011,-2.1068529127187516,-0.5875130001449475,-2.0169803791289396,-1.0310709860993215,-2.2226661977958977,-1.6507226431479114,-2.470769828762581,-1.6154637925558615,-1.634826902612476,-1.4978888776326,-1.7847425287361287,-0.735504129098782,-1.6360680366582665,-1.507187211659922,-0.9898595815167528,-1.4439212587765269,-1.226587892242777,-0.914615597911002,-1.2489064830456136,-1.7716787128673293,-1.0070221803646644,-5.253212322986096,-0.7072814111245674,-1.702061700195462,-1.7967621008026697,-2.32759051458685,-1.6836282971889422,-0.5481948110008079,-1.2338326439914442,-1.274021577067562,-1.3390441320670283,-1.8385748806940512,-1.9634639691886904,-1.677662982816163,-1.0063612568305613,-1.8098861940572633,-1.5277497896138523,-2.0337603541424243,-0.7911941654750172,-1.7634318426075346,-1.6516419748184057,-1.2116993866909538,-1.496033954076018,-1.5956300304395978,-1.534331600814149,-2.071974732175452,-2.208064200273733,-1.3715297921689364
2,2,-1.0903975617527255,-0.6729543426000189,-0.7064853217241918,-0.6952651653573633,-1.5987002288156407,-2.0288853956058177,-1.1032727575579762,-0.9919499173547313,-1.4808617029092912,-0.667369241251664,-0.8621072208312353,-1.7083318941556174,-1.0128399353315034,-1.8940904861505303,-0.6343739606086833,-1.259842557480432,-2.0787563422490023,-1.7111608758795378,-0.6928662324427604,-2.7068156635826948,-0.847237268645805,-0.7332113721876025,-1.1923422496382632,-2.0652051520324473,-2.250127944634925,-1.162122813831811,-1.4873951319465584,-1.0389656254949329,-1.3869515985623657,-0.917808710012441,-1.3041914239149506,-0.7362065684775503,-0.787193466725502,-0.7963783096254136,-0.9907674892168064,-0.6001612165508503,-1.097090842248429,-1.1580911032936365,-0.7923596433798776,-1.1207319779280933,-0.6919507889527847,-0.6460620307210629,-1.0165283405991015,-1.2170528485651202,-2.960067718579871,-0.8103154531065099,-0.7979826036761372,-1.1687355740818406,-1.0722505312329185,-0.906168799089237,-1.2332865649661384,-0.8754123339854256,-1.1849831262634356,-1.0966332289501741,-0.8568461652731818,-0.7534276539125566,-0.7669197149323025,-0.9601476294387877,-1.060661271750753,-0.5273002242207323,-1.435529561920113,-1.6845299544360643,-1.200672744098639,-1.7175327403357754,-1.1884149965155777,-1.3757873756759447,-0.6464651386798527,-1.083428841025517,-1.7244150687840247,-1.2379659043217301,-1.047236414402937,-0.7101262132298638,-0.054611557317929604,-0.8605233032910357,-2.353604622449325,-0.8069350418816474,-0.8283529028500067,-0.9579158094085503,-0.9252576910326887,-1.147429101504655,-0.9270276159707636,-1.9952090163916911,-2.0611430157795545,-1.3805767268632196,-0.733601314709664,-0.8060262648232581,-1.1469588690929804,-1.4355234631065104,-2.9949168159491566,-0.8447751760684692,-0.7326554391129957,-0.7939888081927684,-0.7762726654809445
3,3,-0.6867558855996054,-1.302044308135722,-0.6480598201154193,-1.2380268743078255,-0.7022137110949473,-0.9411810919424867,-1.1115802931750498,-1.4873050430774057,-0.8974196068290832,-1.0966376158572146,-1.0506667160181495,-0.6407593550524583,-1.8442685880810306,-0.8365660459515598,-0.964880336185545,-0.789066836946382,-1.1041185560830602,-1.6683112276280738,-0.7648635219914938,-1.3974151319147703,-1.0675625313157475,-0.7957520352947718,-1.2202823917007732,-1.0265041930722996,-0.9044286109680375,-0.8675194198164535,-0.8458188674418634,-1.399463044690918,-1.8212511591215284,-0.7313165408787785,-1.082852971326828,-0.7595975357755252,-0.8659815876706014,-0.7469700875134864,-0.8419315375819942,-1.311319811218406,-0.9172743560079897,-1.1058140868050974,-0.627605766091956,-1.0689146096967652,-1.055456815924236,-0.9561307529545232,-1.686362954660058,-1.7341418252233012,-1.8807803574326045,-0.8158106662748377,-0.6620437262564367,-1.032888455550339,-0.8738233249815895,-1.1612668409316298,-1.0330654261083132,-0.9676423871561988,-0.896733695273475,-0.930228488653766,-0.7506444233207348,-0.8185105404507819,-1.6351435326441786,-1.6658817841194962,-1.811858042737276,-1.907582026895243,-0.911332926678271,-0.7765387828276014,-1.0785047227766544,-1.332939962772231,-1.3561738380694073,-0.8918371180365006,-0.7931052891019059,-1.220591953409708,-0.8791151507987092,-1.1004283504886128,-0.9843437249439855,-0.8234750942388056,-0.06315831457644255,-0.6764842041034308,-0.8237852369911233,-1.1982645054083119,-1.2681469573719903,-0.8390607259522774,-0.9646818381024491,-0.9791950141451615,-0.8608749609274305,-0.8549187757991212,-0.6493740363610259,-0.9388006664860059,-1.8658041750444236,-0.8570190427590398,-0.8523251553011071,-0.9830317509839195,-0.8147443105654844,-0.7948070209184583,-0.8957866709046253,-1.2763421061098295,-0.8359371252052457
4,4,-1.2527302678266685,-1.5263835370872014,-2.7569673079097523,-0.9838024912946896,-1.4782659592916931,-0.7409380440098945,-0.9849343418789365,-0.614850150219844,-0.6242984708344652,-1.0094439864611093,-0.5570447506769748,-1.2628899824790505,-1.8428699719793755,-0.7501424827254968,-0.7772279592964297,-0.9320858887560831,-0.9961994089642147,-0.7416174151134771,-1.7968389471009498,-0.8505629632578633,-0.7414034460493404,-1.1589336864763298,-0.8382033416669905,-0.8468972581400018,-0.8317922195881222,-1.0856385162240318,-0.8619681719001949,-0.7409131796647382,-0.7010920862975838,-1.6710818987995153,-0.7526982554997286,-0.6530096422230666,-0.9714814301470789,-0.687549537403422,-1.0958966142357038,-0.9209706796441233,-0.6738508127363873,-0.8332718285451918,-1.2030814681925937,-1.41057194624091,-1.029357988309508,-1.7475103999654733,-0.6585714124513906,-0.8201431425303598,-0.7317924638567918,-1.0946360697916595,-1.1043272418067067,-0.8459009056250348,-0.6908129178643218,-0.6457702255521904,-0.7492114095119495,-0.6982693547354166,-0.9395529661480674,-2.4286733480656855,-0.7378025197539384,-1.0344046532886821,-1.1608736878172263,-0.5643319171068907,-0.9610071768402932,-0.48897668514544235,-0.7509611381714054,-0.7478138924949518,-1.282558571275266,-1.105095758627136,-0.7033321768329115,-1.8441815088694473,-0.6830528050993364,-1.524314804192831,-1.2027969636381572,-0.81416043232383,-1.1017534025793139,-0.988184689553628,-0.892508930538057,-0.5012085238102515,-0.6175531706600932,-2.1257554703596155,-1.0493531664571876,-0.7291534271385989,-1.1104414784923915,-0.7431195292908482,-0.7921688451290769,-0.6492248424036996,-1.634946817717696,-0.8194275565623177,-0.5436949110843912,-0.6625628524156175,-0.7600453603940874,-0.7256420717120118,-0.8415245857846663,-0.7016523589950634,-0.9354870567025582,-1.9034028806567782,-0.74469566721636
5,5,-3.6373880010545734,-2.3712599381374577,-2.0207355398906537,-3.341683102000724,-3.4660641848401714,-1.099518643453821,-1.217434394382838,-0.615066035119661,-0.6443068075775784,-1.27148645025211,-0.7908587650916142,-1.95767302971575,-0.6966001471633343,-1.2787088128609387,-0.8516897227604604,-0.776287765595024,-1.86255980215901,-0.7767322586734883,-0.6341528992626564,-1.0314200534650306,-1.086952060914565,-2.8562956505714125,-0.9120912539230133,-0.8839503082084975,-0.6944440191229768,-1.2958184403467634,-1.8444608682301213,-1.2387257042341855,-2.775338983961521,-1.5814589405096529,-1.6972925384446564,-0.7650840305684888,-1.1471867222178327,-0.6243180308564824,-2.1169089751871164,-1.7634767014614399,-1.5807780465403618,-2.989902183725781,-1.0919762643776287,-1.9902415618959262,-0.9740258282496006,-0.8336892130200866,-1.9258104178917006,-1.5507089300624548,-0.7852255337540764,-1.2789517248355826,-1.3191193261552272,-1.9223885007314392,-2.7466622755577017,-0.936096631018992,-2.3796869848416504,-1.3878464959650294,-1.9656934346109307,-1.955996366686089,-2.335550355620378,-1.0059883547002462,-1.499001815560872,-1.0135632564348531,-1.8027808047370781,-0.47238346501685236,-1.7086877001699128,-2.489305602430997,-0.6244563753335233,-0.9774621442371195,-0.9913297569331058,-0.8785509444593821,-1.600466729299768,-1.4626643064733917,-2.6618635009454286,-1.9546219413484425,-2.913195529833847,-1.6840760254209215,-0.9108442631453146,-0.34844736792486297,-1.4145103270609711,-1.4180433291368075,-2.111701499024618,-1.7445647526290964,-1.5375465222181455,-1.3578244148548566,-3.30266568523634,-3.2834948193769895,-2.0089641608134254,-1.0560881984450714,-1.1208200234511534,-0.939072906397423,-3.7469759063200785,-2.9098811804343487,-1.4693866189272409,-1.8134387415812863,-0.7542862751504098,-0.7812276391844041,-3.155169646774498
6,6,-2.2100163282886385,-0.984617764389107,-0.9590152899111013,-0.6856799330292505,-1.150959727751705,-1.9410371311580006,-2.907147534781446,-3.7829405100847056,-2.9144866358689585,-0.6465388731434849,-2.3439316771596346,-1.8842491910308699,-1.7627611478138088,-2.2364316169519003,-2.2038209253519354,-1.5236759482954463,-1.974919892101696,-1.810868244456492,-1.1229891508416951,-0.7194325104388252,-0.9973370476057725,-1.1627148850525788,-2.733418026940215,-3.4690741854442306,-2.739730007078749,-2.4907840647242137,-2.912477410955554,-2.624982870087891,-1.911535254675731,-1.5077751219999223,-1.321860334002877,-2.008516757283215,-1.0744207942951312,-2.69626297617372,-1.4954367437725382,-1.8556337362499487,-1.962011620062373,-0.5358019390961959,-2.1934845347190315,-2.4083277408602526,-1.4307870941989393,-1.2020444295925554,-1.156803906950231,-1.4859077319538023,-4.064258991432462,-1.3265923719580444,-0.6742372700069383,-1.4296479701516387,-1.076089746457287,-2.0127137658417533,-2.397677250833655,-2.273195721072132,-2.157054354137804,-2.0793678405569795,-2.2613844141577015,-1.0046462350511034,-0.7115348851377548,-1.3238663499281995,-1.3413565704717874,-0.8969420252402154,-1.9158472584914734,-1.8048370549403878,-0.6852260355217105,-1.5045461357508052,-1.139733386638763,-1.9176163957222778,-0.6501746812353348,-0.6097864327883916,-2.3678801426102627,-2.613410137214806,-1.4655251641513156,-1.3075434594268782,-1.1021429076871723,-1.2376180269542767,-1.116354356123169,-1.9189178615669054,-0.7468122821590921,-1.9010372310008252,-2.110805723861118,-2.174155334367474,-1.665280235914727,-0.6390018100598637,-0.7991394551329086,-3.559476516015605,-1.804428838904835,-1.8401276347138744,-2.1134016191224925,-1.7408349987613043,-1.730719919241627,-1.9119031106513373,-2.5243043863037737,-3.252982953425673,-2.26808866712563
7,7,-1.7851651982550616,-2.056539089087879,-1.1900113380463642,-0.9044454407696992,-0.6172365793322845,-1.1629146875056664,-2.59592997870753,-0.6021098702928411,-0.6520727200184937,-0.5955169316376004,-1.037896357227597,-1.1411595801813164,-3.704175948890648,-1.04045267278441,-2.0105689763173897,-1.4903205036050942,-1.4266804047571364,-1.2946448441299692,-2.342327913971886,-0.6903751327487031,-0.8442720864931297,-0.6760561021182483,-1.1626009986985382,-0.9287435555811099,-0.7686798636448994,-1.3400344856995932,-1.0658590593583748,-1.5912036964201743,-0.7140128094902909,-0.9535664362251531,-0.7453004091832272,-1.2952767319056528,-0.7549037684433887,-1.0981692452151999,-0.789206016154267,-1.8752254468734793,-2.201766509042407,-2.5678818302705007,-0.8699630280667553,-1.3828995061569744,-1.5834309762259904,-1.6501290198102916,-1.8983905083624812,-0.6854394540476256,-0.6656020115786636,-0.8350105762902225,-0.844667129596255,-0.7528435922493067,-1.1357819047642144,-2.2086443898261683,-1.5548302331229666,-2.2351923304766252,-3.3075409487822562,-0.9215973727171788,-1.3970999173689718,-0.8136570823928733,-1.5135658816933233,-1.395017006565355,-0.799378156830497,-0.4680197522328116,-1.0990907939756478,-1.6266029731735108,-2.7230258867297663,-1.6708775180314137,-1.0531547402278054,-1.0747682188512684,-1.8920032278600745,-1.4138134499364554,-1.0890427083866356,-1.8068040546074424,-0.7431666053778664,-0.8332541438734663,-1.2556376830394855,-1.0859023948789328,-1.2268039095944587,-0.8765842328470593,-1.3020309152515188,-0.704884889229357,-1.6929231448979458,-0.6384313471889411,-1.6471226737756235,-0.7241796378777496,-1.832429754071017,-0.9750891945627176,-0.5635689297166802,-1.1281119231127057,-1.6986355355314045,-1.3572778330477477,-0.6965913463698059,-0.7270553965245176,-2.057241676472761,-0.6656146379589698,-0.7255163617710706
8,8,-0.6575745437894708,-0.7278171956865388,-0.6144120874048267,-1.0425512040559417,-1.2867623993706985,-1.1070713134224544,-0.7236404762136093,-0.7086805497794282,-0.6965733451525122,-0.6121370076130247,-0.5575517622462416,-1.3914463622481406,-1.5800275924105982,-1.5925138613339933,-0.805721828137594,-1.8175171409686164,-0.910503584171991,-1.4085996590983658,-1.1252533648412686,-0.7216352591300841,-0.6623681841080187,-2.4032578281823005,-0.7220806213178892,-0.670033602211714,-1.056849334925841,-0.7754343649531455,-1.0843143352292037,-0.6902072785359088,-0.6718998076316144,-0.7441321560091182,-1.2506360700323422,-0.9275533392085274,-1.4811735725445223,-0.6954794913512155,-1.8741215275832321,-1.2655464224858544,-1.133359964851835,-0.5788204717724343,-0.8722853834059421,-0.827714516936422,-0.7687625967531714,-1.792954213520174,-0.856052299252382,-0.692925252103285,-1.3072977367061598,-1.4370280757687155,-0.5797506388825446,-0.7785117465768632,-0.9574534342969485,-0.9215352213758148,-1.3688314887685071,-0.68737241511191,-1.457535878673237,-0.81778622256609,-1.1025359155622938,-0.5725964553393791,-0.6572954350793938,-1.2977641265403284,-0.9091215815363116,-0.6585726258028923,-1.3864604247670533,-1.293658540400114,-1.4150769150749802,-0.5065504581628001,-0.6466059595658354,-0.8237308638785967,-0.561463273688289,-0.9163852546469734,-1.2587109927270344,-1.0414367703636684,-1.458894627116156,-3.1878473095676925,-0.49369975519560516,-1.7601173161997035,-0.872149689429474,-1.2246001612395387,-0.629089593999239,-1.2026068046659688,-0.8113230641111646,-2.230167930003284,-0.7864965464891494,-1.3513826854278883,-1.1785381336977077,-0.8280205568982023,-0.6054048951353905,-0.7387485640758357,-1.820874387888881,-1.7316613989017502,-1.4087296915076053,-1.88905199337596,-0.8448750512611757,-0.8240933920563173,-1.6238100436753697
9,9,-0.6105161630909612,-0.6294028065786081,-0.7055391384952279,-0.985381152073076,-0.9638039799387474,-0.8112268052678666,-1.261153165044827,-0.7085864800070489,-0.6565959488426024,-0.5362952191414448,-0.535038063018773,-0.4981583732304128,-0.6280850276021668,-0.7182197382844128,-1.501652689362936,-0.8066279547522812,-0.7470342441965379,-0.9368371441357952,-1.8952346024343283,-0.6820111122649927,-0.7366137452767827,-1.0736351516323877,-0.7198124348658261,-0.6346932764768101,-1.1272950538204247,-0.9063093039372521,-0.8859603611876012,-0.6578040779505685,-0.728037237864614,-0.9954674919995301,-0.9335606968774124,-1.1940067878172336,-0.8075971393805955,-1.0578296797917326,-0.9660506798629742,-0.5448618836776609,-0.6565673847865439,-0.5534131598592533,-0.7683818265537736,-2.486441217842111,-0.9637516222676151,-3.7635017436882228,-0.7216604037960594,-1.294700306990035,-0.8578153565385811,-0.7205367367997196,-0.5766776030967078,-0.7364833969826026,-0.6439648663840221,-0.6684486366318785,-0.7362751911202323,-0.6288867762694018,-0.744880904559595,-0.7647938638771825,-0.7016538386444146,-0.6380244212694947,-1.3442925636864549,-0.6372954604064023,-0.7211344087790008,-0.4767854185483306,-1.3307170142193132,-0.8135265970122716,-0.9640411243453492,-2.4182334374797505,-0.9074963148526971,-0.7072917881582051,-0.5747733029099037,-0.6918672561233078,-0.9672785324574091,-0.9286371878841346,-0.7021332897703794,-0.8678214685611552,0.015314874677819501,-0.7378172968685773,-1.4970946976663162,-0.7811532162633212,-1.8514744081958425,-0.7473583885412227,-1.6238269483194427,-1.9576665802006183,-0.7602504753172937,-1.2884858365917256,-1.0017954449272728,-0.9787422329239658,-1.0148447955360091,-0.723314860927087,-0.8090430163544444,-0.6962242060357614,-0.6556341521040252,-0.6859619760754923,-0.7679505904220613,-0.6424277164969097,-0.8227369660475989
