statistic,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,MedialWall_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
EXPV,0.3629262378127295,0.17998580684483134,0.23246528442944103,0.16790152060187702,0.1849013703015011,0.15682811834634802,0.18006427650894452,0.2549752242510096,0.3075780850337886,0.1557207429358629,0.19987624046524677,0.1521459058916308,0.23545034415637667,0.10828044409708348,0.12134970653250343,0.1940846689928556,0.11059696507035588,0.17905689450725848,0.10520975888324191,0.09558803705731045,0.20399791413286616,0.1859565947970001,0.10667488860726959,0.19430444559154436,0.13136998784050724,0.12482522350793646,0.14861933107833347,0.13856309454362425,0.1478146079903242,0.11223482336384849,0.07789487093875991,0.18651471842171863,0.05868258269225601,0.23415248405463318,0.11312072679410856,0.289005016353296,0.1637433859632924,0.4049218336178785,0.16718805334939235,0.1302303416541588,0.23732636563145293,0.11295153914116085,0.17053904304948775,0.1488834649938191,0.18471773728669616,0.14589984552089164,0.12601411185179012,0.16001186678887303,0.2159091302377686,0.27357099466935764,0.12217295798208816,0.19008076116157224,0.11057474810104029,0.12323316108570226,0.13914022721181318,0.3296820764933095,0.22615164003733657,0.1698581960280776,0.13324067982125698,0.2438525448543606,0.17559035322068506,0.1685518716874872,0.08567857165468129,0.1891309728709457,0.21192910471905868,0.1528530223545923,0.16220834365921977,0.28508738844029935,0.11305326205170463,0.16173492897190778,0.12522159430460078,0.18736663753590777,0.8586015383046601,0.22098663737707058,0.2502880543252082,0.12352316556427367,0.1390755044725306,0.1602521705304948,0.1598424628918298,0.18264015952929735,0.23723917073621748,0.2311831282243434,0.2853072465286838,0.11038166965030649,0.3634686524139258,0.25729027464180965,0.1546546585616526,0.16628312163291492,0.16931279595687665,0.1833084631622084,0.14103493238385012,0.13532814685281525,0.17516038692704505
MACE,0.015439429928741094,0.012399049881235153,0.005273159144893113,0.008123515439429931,0.014536817102137755,0.009786223277909744,0.009786223277909739,0.00812351543942993,0.007173396674584322,0.0076009501187648335,0.006223277909738721,0.007885985748218525,0.013776722090261258,0.012874109263657948,0.015486935866983381,0.010736342042755328,0.023325415676959626,0.0074109263657957235,0.0149643705463183,0.007885985748218532,0.013111638954869364,0.010736342042755358,0.012874109263657969,0.010973871733966755,0.007885985748218534,0.018337292161520205,0.0183372921615202,0.008836104513064127,0.00926365795724464,0.01168646080760095,0.016199524940617584,0.013349168646080772,0.009073634204275536,0.011448931116389558,0.010736342042755344,0.005273159144893104,0.010973871733966753,0.01382422802850356,0.01714964370546319,0.02023752969121142,0.00883610451306414,0.009786223277909754,0.015249406175771984,0.014014251781472687,0.01239904988123516,0.020712589073634217,0.00622327790973871,0.010023752969121138,0.015486935866983381,0.012636579572446544,0.034014251781472715,0.012161520190023752,0.024038004750593835,0.010023752969121145,0.028788598574821855,0.006650831353919235,0.014299287410926365,0.010498812351543941,0.013349168646080762,0.006460807600950119,0.011448931116389558,0.022375296912114026,0.019952494061757718,0.005700712589073636,0.014536817102137774,0.013586698337292185,0.010261282660332547,0.012874109263657974,0.014061757719714971,0.010973871733966757,0.012874109263657955,0.013824228028503563,0.018337292161520198,0.009976247030878828,0.008123515439429936,0.014061757719714976,0.0076484560570071174,0.008598574821852733,0.013349168646080756,0.013586698337292175,0.017624703087886006,0.01144893111638954,0.013586698337292155,0.010736342042755347,0.009311163895486935,0.023087885985748225,0.024275534441805253,0.02688836104513066,0.015249406175771979,0.010973871733966741,0.01738717339667458,0.010736342042755354,0.02665083135391926
MAPE,0.07986354623211356,0.09910943402724469,0.07791898765024753,0.09785084572545132,0.0830509532210614,0.06843126159175791,0.07370723096441666,0.18117556272122368,0.21109856888906925,0.07905895853767698,0.0720174274702955,0.07978084576106322,0.11650993534885395,0.06382520986941284,0.1103676969107441,0.10219143119357103,0.07400011909082639,0.06874459658945148,0.08484705626352186,0.06556356647451439,0.0736331991009521,0.08961433421537277,0.06640685315260557,0.05989729527310923,0.0632561650641219,0.08634619312952556,0.07480904791221839,0.06518444808126789,0.06925783211534883,0.07132248619723693,0.08519009318672226,0.07323472989363344,0.09421058797709528,0.06982831262222614,0.07564158363060675,0.06905497621413256,0.08280084859195509,0.09358399105543112,0.0502004167640186,0.0598225839324359,0.05756408931432337,0.05742955880955199,0.06468221227806042,0.0836978561726136,0.06591833484504428,0.07745484017706225,0.06398990500262297,0.06579671961611293,0.05589907573469297,0.06377772071094771,0.07965234406372708,0.07726141162194958,0.08529863496680702,0.07620622082948353,0.08560299704135893,0.05555613643971039,0.10623396391350101,0.05781872246504948,0.0765480582478561,0.05622272797659235,0.06254002228438911,0.07589854228701838,0.1496874227155626,0.07368661421101542,0.07018308443923062,0.14185498784580836,0.05450615790615696,0.08083022091797208,0.06182492023496971,0.07155130183473939,0.06738276846153,0.062474097245623375,0.1381284022144468,0.04634188692999917,0.07691908827723201,0.08422540346551198,0.05324175402750228,0.06434554053545763,0.07565474995317822,0.08027197842957791,0.08818792902185578,0.09000593653002363,0.10048289833534559,0.09413862684268254,0.052355266653315524,0.0652018099993869,0.08369620933035272,0.07377684574132891,0.06556647318296559,0.09668890159598674,0.08347422256634869,0.09181590767502797,0.07564455572838474
MSLL,1.3024612338739647,1.362132587012664,1.4217555006827893,1.2104834672213405,1.5257323891815253,1.8281165614945531,1.658739576322375,1.1834026356580112,0.9842695653196014,1.3338055704345673,1.5245012013777497,1.4099105561468686,1.4439156259874741,1.827595836270884,1.1534067739078357,1.1629182118421129,1.914149578711371,1.7552618568887153,1.2872335100145038,1.6745746925881595,1.7085534143846062,1.5788600972592328,1.8580982258566245,1.7005207897339085,1.5867290944449555,1.5999653834947447,1.7375111887185484,1.5901220648444325,1.7045993216936723,1.6314254818639522,1.8091600305599498,1.5223469502044484,1.547284407455757,1.3704536561235623,1.8856281430788697,1.661669092033212,1.6561517593421913,1.0074128175601413,1.7314752319317521,1.597615249926199,1.6674655585108662,1.6769079550041908,1.6160704356151507,1.3942703591363954,1.4264312650451358,1.7135391728100773,1.4747510049495565,1.8537220056088404,1.9058921014056587,1.7425789621757384,1.8003652971378337,1.8252244548909817,1.8531043320719858,1.7763155009023017,1.7676370979794898,4.403710846651321,1.340383942557023,1.5966199932396805,1.7146491568784112,1.4255281814642071,1.83851205713214,1.845037756256857,1.142022224614271,1.2541828997136866,1.7496958074943283,1.1255577473785663,1.5575011724086614,1.9353237582177176,1.955327642503288,1.7061784175706929,1.7272421423894087,1.6580458950731956,0.5901772886222529,1.4218874284289937,1.46582002133471,1.608220182663916,1.879419444036484,1.746234836675294,1.5229823294540976,1.3519030938090673,1.2954204089526158,1.3391517113338685,1.4488218966948296,1.697657586985089,1.942147978753332,2.019045479859102,1.8278178159005338,1.9221188295553397,1.9087739100840895,1.6338076984536345,1.7146014166498238,1.6974201066783754,1.894177288836612
NLL,1.1697046513031197,1.2997424871143732,1.2756771837218064,1.2692844664889968,1.2780593244818759,1.3631889672954287,1.2971003569773778,1.2855533988958325,1.2409837899900484,1.2395420047863634,1.2256854462543143,1.2400726888487408,1.2868054790818342,1.3557900211324234,1.3172074348921365,1.2891892288415785,1.3700594754186701,1.3286298598427482,1.2860355364512315,1.3529131035222077,1.3096531393426223,1.2967582539442186,1.3513719138348337,1.2840090824750212,1.2925319767611272,1.3507916927315682,1.3456085498121524,1.3422561142479816,1.335358449741352,1.3466787872466917,1.3976164459294105,1.2807042970288716,1.3646898978035795,1.2229997306184996,1.3643778572546792,1.2543688499953325,1.3294205376418664,1.157834392945322,1.297649155153814,1.319897916032572,1.2924623367560426,1.3176406664024933,1.3021009010211864,1.3273367070625457,1.2783225901006736,1.3495055442984036,1.2561625446329592,1.3488660076584953,1.2997383781152843,1.2719052839534088,1.3646843473898704,1.3214858504776426,1.3907266578837147,1.3568692089001007,1.3485458036374638,1.2378477728964115,1.3185053515300493,1.2520036882545564,1.360726878078671,1.1659911293618528,1.3522725739306407,1.3137946092442976,1.326090508269007,1.2251037108388083,1.300626788162191,1.3595423539699407,1.2496883118451168,1.2751966575195588,1.3789154457544637,1.3415951432129012,1.3565874661835085,1.318531325828028,0.4030027112122606,1.0887339519802854,1.2649420735992511,1.3672947814425933,1.3428598983695368,1.3422108790019796,1.3168581404488664,1.298434408771861,1.2560887424203908,1.307782160812835,1.2705786288043683,1.3605866156688695,1.1858389850391617,1.2932857680111496,1.3244917988167246,1.3291702253617275,1.3151661053886947,1.3437270208340892,1.3717799487783449,1.3519225470253733,1.3445462438850002
R2,0.36169761048610105,0.1787494993650911,0.23234587200666068,0.16782808020692896,0.18313071114173396,0.15424935755749547,0.17994393156905464,0.25496687850759814,0.30683953698807276,0.15551108294921545,0.19979723354628298,0.1510147622117577,0.23544911471893015,0.10734737655200854,0.1213252058911034,0.19324847861699912,0.11029473725153727,0.17857669878776006,0.10520026575078811,0.09491788509250731,0.2025284535729921,0.1854775550997808,0.10653168133139557,0.19319974998557066,0.13063480099450797,0.12430522510116204,0.1478348531597543,0.1379032122514109,0.14695469504561964,0.11165677782991423,0.07688907712019777,0.18601710325364218,0.05806237772688272,0.2329281292470613,0.1125646177301971,0.28866352171160814,0.1620003726642869,0.40467240285811934,0.16717332120692263,0.13023034163400715,0.23651592317626002,0.11293065784534184,0.17053814638189257,0.14784421407979564,0.1845821990487697,0.14558125677046485,0.12600332885443333,0.15892818888124083,0.21544386701096463,0.27309999008830776,0.12210368739034372,0.18935761513877247,0.10951747096141295,0.12245867393705245,0.13904086729528886,0.32942703994476696,0.22557932484173093,0.16974891198971587,0.1318646366528492,0.24348696068737208,0.17489033325168069,0.1684663448596332,0.08537399284643588,0.18913086528713685,0.2107941461726981,0.1528524098089704,0.16156770244896135,0.28313490354981374,0.11217815859805302,0.1609973930358799,0.12475716747542032,0.18597761191060458,0.8585918427256645,0.220958590902119,0.24984882981745093,0.12293319093170696,0.13865172272889448,0.16002468715430174,0.15943972836706943,0.18246473859160672,0.2371756845832963,0.23045983785804613,0.28449618450472336,0.10990183916059593,0.3632769354996459,0.2565028944028487,0.15448572890207934,0.16608898317890874,0.16891062555041192,0.18245661192323326,0.1401884391479954,0.13317036421582762,0.17475436899028152
RMSE,0.1692858306034554,0.20601790780179643,0.18319120218726856,0.23410263550752183,0.1707167222902141,0.13978755359029063,0.15262535279898018,0.23132050291784365,0.26041697368418637,0.20235859511136212,0.16054205416571238,0.18812791646487317,0.1808147906063463,0.14262688777058094,0.2671865745890548,0.24658776670662097,0.13246177645293092,0.14314046110191322,0.22861539619650634,0.16688256381583771,0.14500408421515343,0.16470207818937682,0.13779515970699932,0.14330360005295492,0.16811085838190226,0.17649176452911122,0.1509466764813559,0.1753452573147317,0.15448616781431743,0.17154943941823292,0.1540489214208848,0.1714456197499822,0.19564741254054813,0.18286998413479627,0.13534900645293563,0.1358038610283519,0.159767033327784,0.2170041766092635,0.14309744123273602,0.1709439936669581,0.1453118349380597,0.15911598398758925,0.16099255672262555,0.20890719973085664,0.18842136195490217,0.1554176765857413,0.18179668175697886,0.1339439769928575,0.11690298982684383,0.12885141169204023,0.1466461295112984,0.13164567095483673,0.14380283697822835,0.14901617230480385,0.14765394569562887,0.00835735749598086,0.20832891070126203,0.1562077554060308,0.15825230919950303,0.16235120794682215,0.13515979924496482,0.129713976507156,0.2781790616856236,0.2116456166802065,0.13719231254712763,0.28142364793436303,0.16286036277389507,0.10587464945530994,0.12811297046656486,0.15392457947384444,0.15626216091606548,0.1554646651057427,0.07545902166105521,0.15305812182041348,0.1714340306689418,0.17809289378319032,0.13131894037196373,0.1480576018273687,0.1805213849712067,0.20739339296032971,0.20318589819064262,0.20570973628365904,0.17126110199365382,0.16296476467992296,0.09063110879437887,0.10097387610037878,0.1345028801737125,0.12212606772321097,0.12183893546184807,0.16369589642331886,0.15924983580339847,0.15947110981143597,0.1268681806301522
Rho,0.45980764199397983,0.42326787648916797,0.44737573381455636,0.34893845153201414,0.42685402569059666,0.30202684687464454,0.3528969164122315,0.4320614196054029,0.4297192944644459,0.3586670957999262,0.4280903304475397,0.3525717407510855,0.3765674369982491,0.25639165116833185,0.328312100609829,0.41549573392577843,0.2762874926358796,0.4215567943605047,0.29007695291399943,0.24946884306780395,0.36204623097078614,0.41134895020322576,0.2574735195988187,0.3582377396946723,0.31743771268496546,0.3248396603678014,0.3043759274297186,0.31702848908618025,0.35653193443365566,0.30607932040838254,0.23752178353892325,0.38484391744335605,0.23582901465378775,0.37867599290040455,0.31085582038793497,0.4514251015347652,0.35881507927108885,0.50248080625057,0.39217111452678727,0.3266250608952811,0.44643843145523243,0.31696448319442155,0.4063986553313367,0.3465019458440071,0.3687459431583937,0.3507969442147812,0.24609553757929647,0.3309955838060481,0.38257937156549177,0.4284384629957424,0.2972567293921503,0.3835285199787734,0.24730127670859525,0.29438328901183125,0.3429113841761082,0.42750812610171185,0.3630767278383366,0.348922269137898,0.31364960519473206,0.33331788802700696,0.3413427372691964,0.35008191357190704,0.23136263367302973,0.3360913694573355,0.3800952592226245,0.36688818421150887,0.34730087365687345,0.4462343423170162,0.2633383107106222,0.3055970649613689,0.2742456765454826,0.3088303776640071,0.5448626271060111,0.33824954801772145,0.397016575628098,0.3162231285203733,0.3140741970423393,0.3363684401878977,0.36684739653739507,0.3611865840008666,0.4515004049488758,0.42471782905314975,0.4184559762660894,0.3047903977426209,0.5086668329623435,0.3844406541922174,0.3316096503812847,0.3192498593930309,0.3443172321777412,0.3748269350760593,0.278152649248646,0.2679652692866593,0.3191154651124553
Rho_p,2.816442380871665e-45,6.313284613693685e-38,1.1263708423713096e-42,1.6264261457244727e-25,1.3119553220851588e-38,3.215633995184333e-19,4.251126025021697e-26,1.295309684453663e-39,3.6881587369818365e-39,5.809209554608955e-27,7.599345116510927e-39,4.7499244139978696e-26,9.274493074300073e-30,4.176648326420288e-14,1.3050562502573153e-22,1.7827556906450984e-36,3.224084964861536e-16,1.32719561965133e-37,8.689784345820693e-18,2.0641836379801133e-13,1.776626971318601e-27,1.02268438040324e-35,3.239576656722199e-14,6.746068920631875e-27,3.630155969900121e-21,3.8303359486383855e-22,1.651378809048337e-19,4.103281823147246e-21,1.2191263095928147e-26,1.0146676539341107e-19,2.907064072283227e-12,4.108202261823937e-31,4.180889524114036e-12,4.22786323097238e-30,2.5452183930994903e-20,1.6441015844789156e-43,5.517136363425534e-27,4.53860462929146e-55,2.4124757404711004e-32,2.2058013781568885e-22,1.7519942543772803e-42,4.1825943907273494e-21,7.971562100978792e-35,3.6796233165919107e-25,1.6258381075696416e-28,8.683137792439655e-26,4.4189549329884617e-13,5.624771401742075e-23,9.725214511626659e-31,6.513600626561617e-39,1.2214486305496101e-18,6.782609401080154e-31,3.3707578927928115e-13,2.6966162476728227e-18,1.209613060419198e-24,9.830481129346552e-39,1.2344012273989343e-27,1.6353080405048355e-25,1.1202130149251494e-20,2.6967007092834925e-23,2.024591442684443e-24,1.1060013966504298e-25,1.0760370360474529e-11,1.1115580523270271e-23,2.4835061868944916e-30,3.173318987621085e-28,2.8176324405282867e-25,1.9285338465750087e-42,8.004719995389e-15,1.1650661573248248e-19,5.412292565324217e-16,4.589368178894132e-20,2.8560410031073955e-66,5.5423892933042805e-24,3.556805580572176e-33,5.219168716345909e-21,9.880951463919613e-21,1.0168676710799921e-23,3.220097641394485e-28,2.4047838962946963e-27,1.5859148922969865e-43,3.3524537720562473e-38,5.046347219984556e-37,1.467260426485883e-19,1.3150150891199213e-56,4.791943418044468e-31,4.6339239468322346e-23,2.1053430217101983e-21,7.604724745572475e-25,1.766128121280242e-29,2.000962520590261e-16,2.5915623240057854e-15,2.1924297301253628e-21
SMSE,0.6383023895138988,0.8212505006349089,0.7676541279933393,0.8321719197930711,0.816869288858266,0.8457506424425045,0.8200560684309454,0.7450331214924019,0.6931604630119272,0.8444889170507845,0.8002027664537171,0.8489852377882424,0.76455088528107,0.8926526234479915,0.8786747941088966,0.8067515213830008,0.8897052627484627,0.82142330121224,0.894799734249212,0.9050821149074927,0.7974715464270079,0.8145224449002192,0.8934683186686045,0.8068002500144295,0.869365199005492,0.8756947748988378,0.8521651468402457,0.862096787748589,0.8530453049543804,0.8883432221700858,0.9231109228798021,0.8139828967463578,0.9419376222731173,0.7670718707529386,0.8874353822698028,0.7113364782883919,0.8379996273357132,0.5953275971418808,0.8328266787930774,0.8697696583659927,0.76348407682374,0.887069342154658,0.8294618536181074,0.8521557859202044,0.8154178009512303,0.854418743229535,0.8739966711455667,0.8410718111187592,0.7845561329890354,0.7269000099116922,0.8778963126096563,0.8106423848612276,0.8904825290385872,0.8775413260629477,0.8609591327047111,0.670572960055233,0.7744206751582691,0.8302510880102841,0.8681353633471509,0.756513039312628,0.8251096667483193,0.8315336551403668,0.9146260071535641,0.8108691347128631,0.789205853827302,0.8471475901910297,0.8384322975510388,0.7168650964501861,0.8878218414019469,0.8390026069641201,0.8752428325245797,0.8140223880893955,0.1414081572743355,0.7790414090978811,0.750151170182549,0.8770668090682929,0.8613482772711054,0.8399753128456983,0.8405602716329307,0.8175352614083933,0.7628243154167037,0.769540162141954,0.7155038154952765,0.890098160839404,0.6367230645003541,0.7434971055971513,0.8455142710979208,0.8339110168210913,0.8310893744495881,0.8175433880767667,0.8598115608520046,0.8668296357841725,0.8252456310097186
