observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,-1.358549242174015,-1.1232972971510558,-1.8011501444015074,-1.3730560859390333,-1.222014510303127,-0.8550393105227887,-1.9647088601577622,-1.5568260132901766,-2.033385127174929,-1.2843150748454797,-0.8280870912245684,-1.6451757296943983,-1.0602674069797056,-0.8207836230281882,-1.715614971968699,-0.8158012955499534,-2.526283216296216,-1.5915686043305877,-1.3250494997731534,-1.0901247613836405,-1.3311492882394451,-2.0635165444438295,-1.1704418583573681,-1.0188639694689163,-0.7691797349908105,-1.8193701092907448,-1.5025484263356137,-1.4937438982897229,-1.1272854449821157,-1.50350758896522,-2.0646641032789543,-1.7554184003309483,-2.911402188092244,-2.102691050303278,-1.3763292719774662,-1.726213759353549,-1.5585530161922903,-0.9862009172098174,-2.777277312067275,-2.141108726555555,-2.1376616291537798,-1.3717743985843889,-0.9599999616788278,-0.9443804520099901,-1.4336206107857214,-1.242080934868822,-1.456650491695411,-1.0168428995576795,-1.7253161082073287,-2.5192781354029425,-1.3352697896811354,-1.9334424004334867,-0.9252461200915618,-1.9309201340325313,-1.054738569622886,-0.9108330281059885,-1.415745197105532,-1.6347002611617718,-1.3822330396833795,-1.5709221100813406,-0.890337872834793,-1.3667592020433044,-3.1363705515824716,-0.8619901841166407,-0.8531460805860284,-1.2286771291148844,-2.3934491664246074,-0.8434183820499455,-0.8878869850884132,-1.3461737760689372,-0.846291288854882,-1.0571387073963727,-1.2530565829519662,-0.9980326770366768,-0.8029880247678195,-1.2451429589822958,-1.9189701940546895,-0.8046061008905934,-0.9143466129340226,-1.3590617021261822,-0.9308868181739836,-1.7699795202389403,-1.1879663965729381,-1.6087855132465068,-2.2457874579069568,-1.5644105814570775,-1.638661488403935,-1.3598320574679743,-1.1199835304226915,-1.7747807715863464,-1.1871034280643111,-1.9030982670207932,-1.2077590803606315,-2.463793855515767,-3.1735377459310383,-1.0502638145308878,-0.7647039551937679,-1.1226998960983858,-0.9616767993153147,-0.8950870758202898,-0.8394688042432191,-1.2733614500695878,-1.2334291693406665,-0.877849598253337,-1.2722776479046873,-2.7015785530047367,-1.1479499087921938,-2.621324504401062,-0.8643732386679546,-2.0273894174666816,-1.1140231293013596,-3.0374559237719447,-1.3973908279543321,-1.8031852276137346,-1.2313108840625584,-2.023283399755872,-1.019008727146548,-1.1012897315662387,-2.126902363672398,-0.8966688817557871,-1.304414325899307,-0.9462874415182485,-0.8796393848003152,-0.8937269272058748
1,1,-2.1982345463460007,-1.4232004596038,-0.8603543078048103,-2.485629647682866,-0.7357099453578325,-1.6194762634854805,-0.38049426772715245,-0.9997056701611284,-1.1859197338790701,-0.5886140036080509,-0.689421600398102,-1.6159759265912366,-0.9658412865810304,-2.5035150571193614,-0.4651780938317843,-2.1107507295242356,-0.8305478320529419,-0.5402370117459587,-2.3699631779853543,-0.6702339290428639,-0.6496433295639872,-1.7487547025160524,-1.966204097411259,-1.235219679841228,-0.6899071734589348,-0.6275672327786858,-0.9245936281689513,-1.0459649622072091,-1.3656032137871126,-0.6811769094017288,-0.4919317800921891,-0.7729729297775765,-0.7850668413115736,-0.438510742958658,-1.0588395775508899,-1.3510184221649895,-0.9064319265837613,-0.743313967373901,-0.3476118401601812,-0.6184229994883983,-0.8076088486602656,-1.385452154843823,-1.1234930284436602,-0.5777766173945665,-0.7449097247566643,-0.8055805695054663,-0.5468605242518525,-0.6147068472443894,-0.7404262008460061,-0.4979872126724673,-0.6749690775022839,-0.8779546241053913,-0.752180470218742,-1.0314357481767866,-1.4817583914660037,-2.1712151707567884,-1.0149814413432194,-0.8907020542041556,-0.699624076108367,-2.3794956213870027,-1.412314590509455,-1.1475734576257852,-1.2575897384188959,-1.1879729988401997,-1.9875487492956774,-0.7689694845477464,-0.4602499762259985,-1.7431198993872101,-4.276328149780868,-1.3357930079307825,-0.7827414866804512,-1.6160962748506686,-0.7551106344804908,-1.0235005172106346,-0.5774916830639043,-0.6090502997173213,-0.5203156622017722,-0.828408397751315,-0.7158329966168386,-1.2126338254456093,-1.5337052153934754,-1.1882130655532026,-0.6120811531738712,-0.5545081144351627,-0.6282383830779242,-0.5598975207613334,-0.621144464046737,-1.2963355632062306,-1.9077764977012235,-2.3133756148553757,-2.0194578408915547,-0.8495256666478606,-1.24151965313969,-0.5061243617747376,-0.6964932138232441,-1.854233146704206,-0.8833242585356593,-0.621675513847151,-1.3265572848982483,-0.6281701209739208,-1.1633956689290872,-0.5644280485714588,-0.7885725018346043,-1.2895761405181931,-4.044395178011552,-0.7569727038382086,-2.135060463473371,-2.0179984539618143,-3.8606553817525144,-4.187412775785859,-1.2191679643503144,-0.4955526483482939,-1.8097853506626806,-0.6064798887682606,-1.2415311521813681,-0.560040323373546,-0.7993797084971632,-1.919795108679221,-0.5973238590668919,-0.9957960387765189,-0.9936934436407581,-1.274353537557909,-0.596073075548986,-0.877812061073398
2,2,-0.6277001624668307,-0.5184758351105279,-1.2671539595923456,-0.5533084520616446,-0.5082599599845379,-0.859819788146948,-1.2401650618798796,-4.015954171592766,-0.4760609189873859,-2.2968834564120244,-1.4502676308288254,-1.0541183842551718,-0.5537690884700877,-0.49196517449427246,-0.5035047066726911,-0.5430044741480303,-0.5674830765064687,-0.8265311639906785,-0.5877963606074121,-2.0170665872077365,-0.5568313063472805,-0.4580622487393343,-0.9007641846436689,-0.45746012627358207,-0.6793122098186479,-0.7637405597449277,-1.1036523233159379,-0.6600267746027381,-2.6767078124256596,-0.42894762570103584,-0.3963927555066322,-0.9656865808849194,-0.5820100450472214,-0.469763370650057,-0.7535883975599257,-0.5505588452547283,-1.243089679321526,-0.7286588146608619,-0.7554639840770911,-0.45232657363716366,-1.0897314562816154,-0.4394802910894322,-0.8374543798912392,-0.7225023714820078,-0.7399899452342951,-0.8419011561243348,-1.0741463231649866,-1.6067720889078685,-0.9652516870182863,-1.1302434805394896,-1.1423529161621513,-0.5698101044946939,-2.1300339991007435,-0.9437540992391062,-1.0393601625537445,-1.0805034632496353,-0.6245999508640219,-0.5760937828522732,-0.3806546532571312,-0.7062191360374097,-0.4786257444912043,-0.5539845287406189,-0.6186955366934784,-0.39899978287146376,-0.513658389007462,-0.4645889731849221,-0.4232645080516934,-0.9319180064516039,-0.5430913192934141,-0.5800395255136529,-0.7270411496012379,-0.6086354224666107,-1.1348950875572315,-0.4714754678201843,-0.9719047697215799,-0.6191163148255154,-0.4624575932738938,-0.855858513259373,-0.9925597554783059,-0.6911701024366562,-0.5384902421938792,-0.491415092577852,-1.545278804354763,-0.7550232377891222,-0.6592510526191293,-0.44859955253279404,-0.748931782299334,-0.5970379678882004,-0.5073733943560971,-0.5008344912345548,-0.5463753785728468,-0.6124408955823839,-0.6556142217965275,-0.4592924528585355,-1.2037068875317631,-0.6389420309175744,-0.5050505491009007,-0.7026819239843503,-1.212390532562608,-1.4196326423993288,-0.6889728074051401,-1.1770160364568967,-1.6544672021990623,-0.5368552269978617,-1.2250596995711822,-0.6329029986896156,-0.6117928580750452,-0.5174292781380371,-0.7124695027671714,-2.7774534433616935,-1.024938838731306,-2.55465815959355,-0.9801724228033561,-0.7979214390671383,-1.8022147777288926,-2.7216899471256544,-1.1431406246875964,-0.5153113756018953,-2.823239680681726,-1.5029564432623674,-0.5195950962409513,-0.8482355821672716,-0.6485720958300778,-1.7543922652804422
3,3,-1.2173054315808667,-0.4676015543262585,-1.6592738104703155,-1.6887293556252487,-0.5616941891183796,-1.1309702591942932,-1.610686676203435,-0.48314492237983253,-1.0249191163441325,-0.79119309726669,-0.9419114681506124,-1.0758022393411553,-2.358636924096406,-2.414849820386437,-3.3349040134089,-4.189258283803443,-0.6204375924052945,-0.6057233617995292,-0.6296690480970525,-2.810375267239599,-1.2028732080775448,-0.9687259557334604,-2.432612106416732,-1.1922999644838281,-1.512558359017504,-1.861587929953711,-2.4004456905606535,-1.7588909817201572,-1.57103022760941,-1.7238136526102776,-2.1808288909125286,-1.9344411465886775,-2.3020721969407543,-2.1234317813045607,-2.1103890705791346,-1.9838698298258186,-2.914747678600917,-2.6289241083194703,-3.1692354788284725,-4.371458723441488,-2.7945663315717244,-1.3617204439612056,-1.749621809368003,-1.9570460069919688,-2.707628584138738,-0.6648719927575666,-1.758240167464963,-1.6005825499760211,-1.270799655446504,-2.038018658776597,-0.46047785884325765,-3.3119516730847076,-1.9695132935539827,-1.5213663682057863,-1.727797405464338,-1.5053770600885465,-1.2907116057625891,-1.7663139204963205,-1.1493774072294212,-0.9795862064066546,-0.808706119964641,-3.3534897849536556,-1.6541497266983851,-2.227912220113322,-2.036057803639643,-2.884077832548516,-2.865799702360018,-0.6118107329182536,-0.5659907238488797,-0.7083974599361613,-0.7718052884336778,-1.19584347010806,-1.2934286241783775,-2.7790871351989663,-1.9591281204272883,-1.5937185802151663,-2.1936034123797823,-2.1668310400973763,-1.5936664103940577,-2.7394849814128914,-1.7598014123826675,-0.9541048114595344,-2.3078938253144266,-2.8356797707383348,-4.062548237312926,-1.876414639096316,-1.6017046031831697,-2.147701027986346,-1.3886604480968399,-2.463241999214394,-1.8920487675912474,-1.760864996803757,-2.0745652096419986,-2.480414126982436,-2.7447638932054526,-2.911656510106371,-4.118646926538226,-2.8043275581257165,-1.287094434536387,-1.3680276539117862,-1.6725086857886136,-2.490554020290077,-0.789293922623187,-3.374782462840244,-3.165468013862877,-2.7061627888816835,-2.4672907795355186,-1.1771225953273134,-2.4340322710332156,-1.7508064345543106,-0.8791414350892518,-0.8957363225901389,-1.3418315622809438,-1.8761290245717672,-1.5344134368346598,-1.04480245034671,-1.556050309985232,-1.4854749053585434,-1.1314117390952436,-1.5036187569544825,-1.020930181428732,-2.10569981078876,-1.8621618410548677,-2.087163099516669
4,4,-0.5179369914744314,-0.762905346257146,-0.4904741222664777,-0.9519424588937199,-0.6840564384527426,-1.1543690691961177,-0.6450275598073156,-0.5857652876999496,-0.7365932926813199,-0.48689671655192224,-0.6219233045194856,-1.1047434224669883,-0.5503871994441127,-0.6767820676222186,-0.5554528326656835,-0.7888398396659313,-0.5103743727235741,-2.1808762871428997,-1.2154951168201316,-2.1268596673025435,-0.5462880975735702,-1.1800473881390625,-1.9640384069091568,-0.4193691666587197,-0.5389951020144006,-0.7400024623278266,-0.636429000876757,-1.4673302938090322,-1.286507280210928,-0.3517326011669093,-0.5094397397780814,-0.7702174965479727,-0.5146801812503929,-0.4635040889127662,-1.4335544527612902,-0.5273585897965234,-1.1890459225068688,-0.5275327471938983,-1.1037674277668263,-0.7975316229393274,-0.6421544531190855,-1.1661707877922494,-1.8169674486371599,-0.9131746282095127,-1.1207769438476665,-1.2796291941688476,-0.648704264156089,-3.395491704774735,-0.5511250536616182,-0.7192109708317141,-1.7019317875033229,-1.3936869700494077,-1.3541437916908503,-0.7126143526125803,-0.6310869138057281,-2.2196477348749566,-2.3020673456567815,-0.91829556694453,-0.6146880712922519,-0.8431584336596316,-0.7221017973691093,-2.9423993876161942,-2.3013698421096,-2.6111315931919155,-0.9987298971017539,-0.6201861614681643,-2.4088800732998896,-3.2407728643316087,-0.6913804337691892,-0.5683864010914182,-1.2352934889825573,-0.5362274018526398,-1.6018273212706993,-0.5319357373775763,-0.7097860339054749,-0.5139048697238191,-1.1970312465088546,-0.6199215095667125,-0.9234966344828857,-0.4924659062569827,-0.8209762324568401,-0.4292080964880506,-0.7479616774502162,-0.5290804126300561,-0.7271438266674563,-0.747883461568606,-0.7057480454015412,-0.5686513459253746,-0.8289912078831183,-0.47633574183259053,-0.539829321455795,-0.5486398284179412,-0.8020419785013715,-0.5657362068204246,-0.37147474386102985,-1.0834890021887724,-0.5053134871883374,-1.1470259134454674,-0.5546900439878937,-1.0200400027842746,-0.5580455430195839,-0.5346116342851495,-0.816279558044919,-0.5309991188751362,-0.6112551596179868,-2.3936372550784655,-1.1953770969646915,-0.6574965558360706,-2.269065179891225,-0.9071325900261945,-0.7533781680954388,-0.5255195132733113,-0.7181704504465369,-1.0214648496288707,-0.5386012521241843,-0.5850949842313704,-0.6317379663856515,-2.1540147371432647,-2.3070044694205825,-1.8430292207987868,-2.317606750795905,-3.006833079167193,-0.8095550170505876,-1.2531555123312026
5,5,-0.7043117645175498,-0.7475188039265581,-0.5856160332543628,-1.5927090819018446,-0.5060625603699233,-1.2130662706722577,-1.3248239350170707,-1.2338545043761275,-1.4333606287029332,-1.0628820819096174,-0.6845377175777383,-1.411479947484807,-0.551343233681429,-1.2719164761638997,-1.7818201259454398,-0.6116024939930491,-1.214402625798936,-0.6725974968359156,-0.8040916378702904,-1.2212014716330744,-1.7554283539392068,-2.2519553847033187,-1.3160246901182744,-1.632234268204003,-0.6869818582023955,-1.1019492050016513,-0.8610512160199862,-1.7883534822021678,-1.2060156457564997,-0.5234488212805468,-1.4540737460147455,-1.176209847349429,-0.574205486815822,-2.2483695063216427,-1.2050723528702563,-1.0706589243136735,-0.652781077119915,-0.7961160323340286,-0.4442869743357497,-2.4719144681902936,-0.6724657944934482,-1.6258881158113354,-2.2078401073828684,-1.6847707108866787,-0.6677758565873182,-0.7931888710678083,-0.692685996563185,-0.8618733733728838,-0.8600401533259099,-0.6042149610120189,-1.124370940912489,-0.5835070300086896,-1.0657180712520822,-0.6732246108192576,-0.6685236374480075,-1.5349058966263702,-1.6878254136668198,-1.4201964632673358,-0.3917786241408715,-1.9426838989779838,-2.73492771600346,-0.8209493694325375,-1.1224418502076947,-0.6971469995456078,-1.5870493671948367,-0.4952586024076461,-0.5935684769928441,-2.696141898590236,-2.854472265838546,-0.7224709900244856,-1.163111417996419,-1.7917184997037803,-1.32937524060912,-1.0196509097475426,-0.5814194330714193,-0.7443454325099119,-0.5417486365339714,-0.6834002328458513,-2.1420722914277635,-1.3061301452998086,-0.9165165543623893,-1.0508830195262209,-2.256222295460465,-0.5899998292135684,-0.8538500504480282,-0.7480622149351086,-0.5814495364879871,-1.4674322251219039,-1.427626781506296,-0.5534891896797887,-0.5684202224676249,-0.7208586684684243,-0.7212354010531183,-2.1851700237590514,-1.5717889967747842,-0.6510630760044722,-0.7891013800665428,-0.8666508127029946,-0.7155940086649261,-2.1687027477300487,-1.1269842843870321,-1.0381824619392492,-1.5287168190075162,-0.6946905901198837,-1.2634289732505843,-0.6423796553092412,-1.9147078436321436,-1.5750684039425586,-1.362133089212358,-0.7824134299418473,-1.1370221869263832,-1.1041702300656258,-0.5553774447432261,-3.415934919897592,-0.6334514475088964,-1.151314544773376,-1.7576925616908001,-0.5030357086200975,-0.6489358384947223,-0.7188538080023807,-0.7460469141518542,-1.2690897007667883,-0.5789553712035341,-0.715555422279432
6,6,-0.9245794545276146,-3.9564083928992946,-0.5861297777219852,-1.3292003839654982,-0.8285133061943717,-2.1603963458800104,-1.2128269366268674,-0.7135412358638926,-1.6324257391075079,-2.294846531299509,-0.6652336114292748,-0.548693668073065,-1.7536526097349665,-2.773903867580485,-1.1480012313623755,-1.1218444085166295,-0.6830716652010902,-0.5734265678730792,-2.301883705692548,-0.606317770372172,-0.9489817797552014,-0.6002614204323498,-0.7230216908772367,-0.648433251366681,-1.1437005148782524,-1.9945136783467627,-1.1490410534366882,-2.6533745798385366,-0.7516149621567317,-0.4594990988114187,-1.4059070935380593,-1.5557444956816378,-3.0554934033492027,-3.9217137373391737,-1.0941732237911819,-0.6253445037568881,-0.8106603765037432,-0.720641203847515,-1.2108168302038147,-0.6616476484395969,-2.1643673670951236,-1.0589030950997906,-1.6017179639190289,-1.9524933501200894,-0.6726990674089666,-0.7681404872058195,-1.3655960564217544,-1.18247847896954,-0.6028086916657573,-0.7610140468473069,-0.612670773004972,-1.6035670704295732,-1.4040180201990615,-1.277423076051623,-1.3531365246826246,-2.1643915371266993,-1.4415061503124638,-1.6718133361594338,-0.527043839214289,-0.7921759116707516,-0.6816412316856877,-0.5514167220115169,-0.896447594018906,-1.621223717330619,-1.6244259694369902,-1.9732234774723754,-1.2436373436923551,-0.6868828492656665,-0.4904395030962695,-1.1439642184855146,-0.7123891910965175,-1.2144356466864015,-0.8162286252376689,-2.294615713255112,-1.8935538529673936,-1.6709847038610812,-1.4194350634031663,-0.9792383039937751,-0.597320202805743,-1.1040413934945952,-0.54126746691082,-1.9052496077831378,-0.7410325684236103,-1.81811145888186,-1.1215526651567185,-2.469090743553482,-1.4487638838852162,-1.2242661028891866,-1.349119458057367,-1.2400657022740593,-1.0749801507481358,-1.3748284554142662,-0.9394298773161989,-0.7982138601246973,-0.5301672859012159,-1.4739791433794585,-0.8095509857373724,-0.6421424406808911,-1.7673874915965244,-1.509424801483918,-1.2683300289486599,-1.0354216220842736,-0.9615100129782275,-1.3678474118013608,-1.9553381170225248,-0.6147704365081,-0.9422703759923295,-0.5334675638829154,-0.9316147844776266,-0.7866100251362752,-1.4793188388816252,-0.5911681548413844,-1.8719943204913496,-2.980327254750761,-1.0764020768474705,-0.7068934791793464,-1.659677495788059,-0.8299649541575771,-0.5762791066803739,-1.4890887511389859,-1.9558773316890763,-1.342856342058571,-1.455271851662567,-2.334988087686583
7,7,-3.460473426748495,-2.1195341441896507,-0.5797707061278695,-1.2775634082135323,-0.655650286942727,-3.6711532476753947,-2.434781197124326,-1.1793279125118235,-0.6669232570669461,-1.5776432147743595,-0.6927397069203096,-1.433950490085782,-1.1386111277918163,-0.6624549828871538,-0.6532476026459744,-0.7026818432610764,-1.0828840744235158,-2.3339034845768105,-0.8426252272841016,-2.4322587411805126,-1.2643511055543684,-3.364945821687739,-3.9568726835539927,-2.0789757063247256,-3.9391033692294632,-3.228350738362723,-3.309069618238299,-2.991942915467156,-5.259092296436758,-1.431689103631145,-0.6692025214918798,-5.068155926250875,-2.017736139742798,-3.9217033333220352,-1.6137390744819664,-0.8919421371433205,-0.9073168229592975,-1.8676772367504202,-0.546886202186571,-0.6406013587351067,-4.163403615320118,-0.7807715739537007,-4.344865338416452,-1.0430542656754722,-4.107405454248881,-1.3572189522417561,-1.8122380108540832,-0.9314954486408563,-2.9262025336097235,-2.761972852405675,-0.7718802679340206,-2.2703758392902245,-0.9858540207515636,-2.364147048146852,-0.7013817079996953,-3.892726414873327,-0.8891230106847225,-1.5237685900248075,-1.0081104848094709,-1.084668224795612,-1.2340645155136492,-0.7199037585712127,-0.5921702239208078,-1.7599903057483177,-1.0643315058166471,-3.9486701143004876,-1.9960524635429149,-0.8036447002120003,-1.247006199655846,-0.6825247800723266,-2.7055592884811253,-0.8358810888826105,-1.0845880179290108,-4.469203506725227,-0.7181545965154952,-0.7546119144101593,-0.6477254633113453,-4.249896253098204,-0.726376412119635,-0.8281035659094891,-1.0407295396822058,-0.5732941445537234,-0.9585699838530188,-1.3849448676857459,-0.9692836492506255,-0.8489882312622266,-0.6687896820983089,-1.0728081847423145,-1.7066423437635412,-0.6616503178115278,-1.1053334227113876,-1.852757889728933,-1.654698411664696,-1.7828190397046328,-2.8097861281355954,-1.6451723921133106,-0.9484339433027913,-3.409833780677645,-2.1585528673509695,-1.212196067170858,-0.6980732705937265,-4.69263664793532,-3.022521173003512,-2.863165311848178,-2.669924899672501,-1.58290736333428,-2.162454999327137,-1.7171238053699058,-1.1671823910439627,-0.8669414132062216,-0.919718107274935,-0.9462474666562688,-1.4586084861814372,-4.221060134052567,-1.035967858065416,-1.0282578910898703,-1.2503791178476766,-3.474067302938272,-1.6290756218943478,-1.1716763352138617,-6.340308777671157,-1.7958422408950012,-1.30490346968786,-1.9974463065849322
8,8,-1.7798389396950085,-0.8159429556689768,-0.5261206441012374,-0.7319473171895623,-0.746549882042195,-1.802786185147693,-0.44488377535689005,-2.2102719755696336,-0.4829760355418381,-0.7158558484272406,-2.289578669932565,-3.162011337084423,-1.2531670259780852,-2.8383933190242785,-2.2660856824298605,-2.4414227377284403,-1.8002309550063456,-1.8880137119013807,-0.603001639152005,-3.4289391718397297,-1.5035439129160006,-0.64963593341431,-2.0743061454694356,-2.3608739204801386,-1.2731455153686313,-1.2543204525014726,-2.181044574743808,-0.791188107721559,-1.7608992539888333,-2.067170625687849,-3.476303056032454,-2.398961079779066,-1.2907160740324541,-0.9412387617861737,-1.2182588762426023,-1.3752346672001226,-0.6289102848214744,-0.5892686449703322,-1.1148310367250491,-0.6310119921865431,-1.2854311091034432,-1.007895834866607,-1.0707148034778096,-1.4560020175145372,-0.9095301559802487,-0.6967650739296226,-0.5927370164074266,-1.0241101350890474,-3.453093687602088,-0.5507709050778835,-1.379186843393306,-0.637590520998677,-2.48061314124288,-0.7654031044090408,-0.5507192940814569,-0.5166223258974488,-1.1354448015218759,-1.6310264378504764,-0.4899730530741824,-0.5721526419924111,-1.7055775609625734,-3.7117161406909283,-1.3024377051414515,-0.9411854902592116,-1.1274430954759247,-1.51992853037896,-1.7675792827057042,-0.6712391652042783,-0.697538860581457,-1.2816593553629823,-0.6858692470243885,-2.0551131827214517,-1.7903498204638364,-2.624346171398854,-3.4619841305195846,-3.0759440831673626,-2.4635352891379667,-3.953131965287544,-2.8693672712707388,-2.7749039618821225,-1.6753885518416514,-2.872739553481924,-4.825352496181333,-1.1061727653033944,-1.46646755634398,-1.2680154616184716,-2.5180466275729763,-1.7829021766389974,-0.7040439031511025,-1.4084253525355162,-1.1036338425915435,-1.791917959438961,-1.7065695904223417,-1.955350216876706,-1.7463269375817825,-2.307662624298478,-2.0178763885815534,-1.0892763452156395,-1.2563805886994808,-1.0444917568120116,-1.230629012971972,-0.8046705285630169,-1.5195103986592595,-1.069862367346446,-0.6532361681710088,-0.8435095459410699,-0.8001855181479849,-2.0966548249382555,-1.4496681107080112,-1.3510534809958772,-0.8892725248447133,-0.9217204413661557,-1.0812461754468061,-0.8205243226652238,-2.932031577893314,-1.1777667219195032,-2.117736184589588,-2.8224552829886993,-1.1619867360488563,-0.5464738533562199,-0.5156142006307332,-0.801615888205642,-1.7079494050948298,-0.6823522854731952
9,9,-0.5752787019085844,-0.4887517258560313,-1.038245979660673,-0.8944977155028313,-0.5433529765002095,-1.0282939935305178,-0.6199509750400563,-1.0648390993322352,-1.2828144596624418,-0.7466163547944845,-1.7942612485544025,-0.4813303662507381,-0.4746370524650132,-0.9233660655411126,-1.8448034688229613,-1.6957057415765235,-1.5336680674094632,-0.44181681749793744,-0.7205692848683266,-1.9561168978010357,-1.1436964086396137,-1.1885442717291448,-1.8048211881881473,-1.6948473757198026,-0.5056617106762135,-0.617858899921774,-0.6656370386130823,-0.8716437292359033,-0.8869586227723059,-0.3980432789172905,-0.9416042952103639,-0.6722242402780005,-0.8634617505157733,-1.9911269936908036,-2.5177263745833103,-0.631936926403791,-0.7855377843728717,-0.5363602106433285,-0.4867839913944579,-0.5194970995883279,-0.536574730574733,-0.4571694025472578,-0.6402135013679997,-0.7354320819788551,-0.5713034258011962,-2.0114355785060143,-2.557628599582899,-0.6099127130677935,-0.5511588586783801,-2.4899245790526106,-0.49062318244810954,-0.6850645126224387,-0.6406733171561301,-1.1362506936365402,-0.6717829274144171,-0.6691691112341693,-0.8654327741503898,-0.6256412790934975,-0.6890886868065614,-0.803664896550079,-1.0020937053183714,-1.0082023315319018,-2.7899985268291028,-0.4846063426614201,-0.9015218438347402,-1.463627747150304,-0.9473073259804923,-1.8394891376621163,-1.1910264732330553,-0.8716771489549511,-0.6752059294773056,-0.6113483110209841,-1.0882441643668859,-0.6689912721464333,-0.6135971431504368,-0.5724130976843657,-0.5420895028657812,-0.5599146982639496,-0.5996008662377287,-0.5505711754273586,-0.8460645250549882,-0.6577250199664622,-0.6768695868665442,-0.5533914107456854,-0.7630552235651258,-1.252009222364522,-0.5306266870651486,-1.597578753701943,-0.5230588175538942,-0.5725824983679337,-0.6442956495906922,-0.49894185365486476,-1.228831264483439,-0.6531347793423046,-1.0029190848057383,-0.8802571770027604,-0.5552866991913802,-0.6686583447247016,-0.5496847710455434,-0.8320364763926149,-0.691199586924675,-0.7023866619351358,-1.1692109525647232,-0.7750807502771896,-0.6785681633194499,-1.6373984178083745,-0.852186881270044,-0.5859092553861064,-0.7004204679902466,-0.9375408086343633,-0.5661326209635151,-1.0348750145758854,-0.6234200449019042,-0.6124104065325904,-0.6896406598091356,-0.5805979973075404,-0.5538540933108755,-1.4322890533209502,-0.73732806411771,-0.5471980490049794,-0.5297198830517245,-0.7037505759238007,-0.6917276824827542,-0.5845802696847788
