observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,-1.2427099943144124,-1.698835652555557,-1.041463808788604,-0.38532450245236927,-0.476820454437917,-0.584397205543306,-0.02610004483696704,-0.3393969451888781,-0.980763255303038,-0.7476257510583788,-1.2864869071380551,-1.2916783749690754,-1.0239969865018796,-1.48895253949251,-0.92087459697963,-0.8878135657882581,-0.01494766745291587,-0.7404420345624265,-1.1428860708812598,-1.123488132401944,-0.9310313336330942,-1.6310914031121189,-1.0845704341310114,-1.4109283614324162,-1.4838857126739518,-1.90523226685402,-0.8861401802991311,-1.3325716449619933,-0.9989518042409935,-1.9226124661780828,-2.7629166510323193,-0.7471773454786595,-2.0621677666238183,-0.9272630705063566,-1.2725440172906677,-2.167868849878855,-1.164890631230401,-2.2955935477114933,-0.9147402041999261,-0.9339689047682307,-1.2390212774602198,-0.3904227891718137,-2.7947733002600597,-0.24772251308310933,-2.1967125361180546,-0.5086298430269112,-1.620441163045101,-0.5186670277362211,-1.0207687865640382,-0.880185822099575,-0.48787254483065823,-0.8028001007366123,-0.9793438288995246,-1.0793766028276528,-1.3382411238803462,-1.0912724742176918,-1.063660404497063,-0.23093827531891975,-2.030402967685562,-1.3250414042391052,-1.1402054403592459,0.05778404005457505,-1.0950838618613652,-1.5861131404835749,-0.32863735699943364,-1.4143338712407965,-1.4331036353804385,-0.41933860607220885,-0.3985612912091201,-1.2601949771533079,-0.3931253462146631,-0.34232441164857264,-0.3029944234598485,-1.2694058898630316,-1.4187587064015186,-1.2604542614676106,-2.1623166133314324,-1.19121013698687,-0.5266969681909015,-0.07197868300989763,-1.3147360056887485,-0.5524878432922224,-0.04427076921755457,-0.8118560838247142,-3.1167605863245917,1.7222533216435647,-0.5690945784992247,-1.1486259876499958,-0.003951209637728548,-1.2259848806576592,-1.044137303661662,-0.7765395803879591,-1.0863931304453325,-2.1806768034617674,-1.0281067147997678,-2.0666979648708597,-0.9126578036464379,-1.0892892092710225,-1.0014272973822185,-1.2605165658692195,-0.8880010279859851,-1.6147048682766372,-1.5672381662641999,-0.8299665595889225,-1.4428893083987788,-0.9701904721916912,-3.548229387743546,-3.5810260302002925,-3.5072629295698516,-2.045620709381615,-0.8102575586368157,-1.467467229998479,-0.3647388760037047,-0.7616112570559184,-1.1864610758789065,-1.465442086427831,-0.930194923699891,-0.32225916646690944,-1.6081450398946,-1.486544795512878,-0.9567296017861577,-1.0032476799669658,-1.004952757799788,-1.2822511526050595
1,1,-1.9430350374686605,-1.5490801045871643,-0.32784445025442466,0.4351717180528194,1.6868867922605906,0.36811278210302056,1.5116369939682732,0.7545030581480527,-0.4068487357460753,-0.07907056275253854,-1.6437796197831398,-0.24701471857138557,-1.0029080226759448,-0.950327767299163,-1.7525861048959488,-3.346285903407706,0.2743101004378685,-0.8077439652470797,-0.3961550174726274,-2.70342080815466,-0.6492813191460568,-1.1810542084015905,-1.4513343867676,-0.7227551004399576,-0.8843332164242208,-1.883871461670809,-0.5279857283609757,-2.4850795088687843,-1.812229683314154,-1.2790021538690817,-1.0741255424573446,-0.6707953036135132,-0.5735085495573313,-0.5271448129501596,-0.7002197550371355,-0.6021201194036113,-0.6502055859951648,-0.917678269798073,-0.6569333825695776,-0.7846773686536848,-0.929271357071431,0.3137279423788937,-0.7918235899379437,-0.10747979406734087,-2.5353448210653164,-0.022988691771644254,-1.019573363605519,-3.4909843043044204,-2.72638011180708,-0.6545123520613161,0.1442947395171883,-0.8976671853236086,-0.7000974343371207,-0.8392521426380637,-0.9647274607972973,-0.7716180222211424,-1.4181994808431955,1.2747259922395529,-3.0465416850196396,-1.079654587624886,-1.3373004339643164,-0.4316924976924179,-1.826771538347234,-1.5867523316255499,0.26439963854233683,-0.5163769940824169,-2.0745558894034377,-0.3057359327540605,-2.11012652057651,-3.256212408280971,0.21838253988062561,-0.17600370594714576,0.027706262130866133,-0.9047788260997294,-0.9448367520379982,-0.7565675819721758,-0.7489119715790087,-0.5871099406006007,0.1380956225778418,1.3458179224880435,-0.5776982791956407,-0.23741016125007475,0.8347806762362531,-1.1646777303488007,-1.133749247357759,2.0444009601424113,0.053714435673891225,-0.18897665938516828,0.9766143360553068,-2.030890045228107,-1.603135240581957,-0.570209776384885,-0.6420881900242499,-0.47286030882264446,-0.8939394862867794,-1.1165869240139012,-1.0199667612936563,-0.5887475905096182,-0.9388400529350301,-1.5868672976020692,-0.4914093412552404,-0.964645584677654,-1.1023051156486514,-0.6009348968256221,-0.3668980469957128,-1.2272908564034106,-0.756804757702853,-0.39538898477777096,-1.416763465380142,-0.32410676161946017,0.7084494419497345,-1.501382038181658,0.26390467064139056,-0.31088206351134584,-0.8895990699795445,-0.6115701470914684,-0.45532883369329724,0.38232030147706153,-0.7764659159696201,-0.7619902082711167,-0.6472399540413173,-0.8202550093787454,-2.5362980027870785,-0.8009689448901649
2,2,-1.04441788487811,-1.301019669565023,-0.19036517186725943,0.6765420340239388,1.7616853200121223,0.26654288480945354,1.6327365658372144,-0.27645301044774184,-0.20782958027547616,-0.06410570285900485,-1.3764816354658926,0.055190315764695574,-1.8206351348418304,-0.6689488553054852,-0.7925179869615142,-0.5742243510460484,0.7243458654066472,-0.060299494529838515,-0.6296484285410774,-1.886709731801812,-0.8755035710038103,-1.1689379090932055,-0.7286862306870601,-1.7965341014518499,-1.3899858735423178,-0.9139147794894482,-4.310462542706606,-1.2235243824360666,-3.4566696498805367,-0.5826308034190445,-0.5315362748942429,-0.5499767205696985,-0.9591463072483649,-0.33302525088612406,-0.7357382375966373,-0.5976494400270755,-1.878835372757873,-1.2178853018374567,-0.9116181001264145,-1.3085239953430143,-0.7415149433221726,0.43678630597681556,-0.4545142989988753,0.346098027612892,-0.4559557194258165,-0.9241495983742716,-2.233244785817222,-1.562124464848837,-1.7643921725767524,-0.5568354194659451,-0.37569841108833524,-0.8587179801821505,-1.3568499414835606,-0.7954007687135087,-1.260512916550014,-1.7727803268948255,-0.9782895270865067,0.938010824709612,-1.492693128669952,-1.2631155619507757,-0.5091635443513274,1.2898198306542956,-0.7106116780564999,-0.8045984780631323,0.41010044433881676,-0.42632133494602986,-0.9465363411223218,0.42110229343617256,0.9146441549737698,-0.517456589088104,-0.18031682868471366,-1.690464169802187,-0.4559364825538923,-0.4318714555951363,-1.2653227142311447,-0.8290538970164305,-1.6167379464981604,-1.3742022738277713,0.012671658118718288,1.0626802812142593,-0.017541987542615933,-0.02006238539407401,-2.1798823587102767,-1.3915808091753872,-1.7794132999261563,2.05461863142758,-1.5565013364523677,-0.5755900919288524,0.8688926850912022,-1.1947309633292336,-0.6256683125918057,-0.2630164472897324,-1.0427401295784382,-0.677483653002721,-1.7257162677834814,-0.618158714860807,-1.047557002748976,-0.9151076313868798,-1.141068498638421,-1.2858983807157187,-1.0634966696002246,-2.020289109361663,-1.05002491220532,-0.6870062620479973,-0.3647294916110748,-1.1920351020160793,-0.7262502060428471,-3.2904358098407767,-1.2367648369755293,-0.6276486283078601,0.7313601626323702,-1.4178936153699369,0.19013626378136994,-0.8383756519392043,-0.8412148151018348,-0.7659097861666188,-0.33714177730355854,0.41289478622110964,-1.228244654405315,-0.8722068591071883,-1.3628429672980713,-0.8077000776734764,-1.9520449346497508,-0.7364561479606666
3,3,-1.0505357271495448,-0.8201655090292876,-0.4289448686897137,0.46261506247620865,1.2535220211921476,0.25587101041338656,1.3152900276730746,0.5722352328257503,-0.48102875711852144,-0.23578502679390367,-1.6252961128403276,-0.20602590467048243,-0.6649163231298807,-0.7597681737389526,-1.0094273378230396,-0.6320537997779675,-0.8621617023528716,-0.1475240487200571,-0.5005935198678928,-2.504992702443756,-0.6847328206721008,-1.545231872450878,-1.1710670937631493,-1.3441586637466025,-1.0566634462318638,-1.0818471126028075,-0.5733777130684898,-0.6882113076871436,-0.6598964262189572,-0.6346253877402029,-0.6713365521133925,-1.0990162464852855,-1.3875489232625993,-1.5911000408283866,-1.314880733044386,-0.7231377748295734,-1.0818478335900075,-1.370001987058273,-1.4547204479616882,-1.3114869677794778,-1.1598129247449014,-0.7466933528452566,-0.9704059184259725,0.18428372160200546,-0.5382113548609242,-0.6769335611475815,-1.0974417432687598,-0.10176156625457855,-0.9554762038938249,-2.064632555082808,0.24665046523243506,-1.0706004107059388,-2.1742473086236873,-0.7743872062196673,-1.9576466066111269,-3.032982258822679,-0.9271474525978424,0.8643919938412945,-0.6970549645469446,-0.7128808802494426,-2.609054860831768,0.7889042055114923,-2.2916211973543317,-0.547323725007518,0.01953823005524935,-0.9883351588327068,-0.8671830768130345,0.3209752305628424,0.6065513963839559,-0.48329459113018336,0.06266209690827473,0.3012200315552356,0.04418556661009676,-0.9820000243721176,-0.7180058461751335,-1.0001837069150625,-1.6081146080116313,-1.4870545735915814,-0.18792551113161893,1.0839276447133814,-0.23483797178711385,-0.7352772099290965,0.0352150435579901,-0.6157306110588223,-2.4368042618569463,2.027725949109163,-0.8451234706245176,-0.21959999434504107,0.7365521182931426,-0.567949719141378,-0.6570522011417265,-2.4601034498464807,-1.1401030524254345,-3.386083288674739,-2.838843631303943,-0.7314132137353206,-2.27477764867775,-1.0552913965276434,-0.9038922466784092,-0.9265632770235018,-0.500411990796511,-0.7195735070848954,-1.3871760049622464,-0.9416612623032671,-0.6912820421530992,-0.6056178626755995,-1.1570631475532955,-2.8850517026798568,-1.6047301263065097,-1.5031472642178192,-0.017424172105245272,-1.8138655251154359,-0.6439965279843562,-0.33582788158596455,-1.9158028391287691,-1.6813119633783749,-0.3270866709645106,0.12648338365293377,-1.35011353217167,-0.8769288347206223,-0.6669469566138164,-0.8176062196985363,-1.7512600784490053,-1.2971884260328386
4,4,-0.5606203370698544,-0.9419954364403211,-0.5158583954098959,0.5386718653436269,1.6112325680427895,0.43987791352560635,1.5641845293982626,0.1186304401195506,-0.3983112791818906,-0.15774204528333757,-1.2167658634861425,0.08049304193574791,-0.9771389726597386,-0.6426430015509695,-0.8157452907731405,-1.3997840967360733,0.7076942004322588,-1.2432909501374345,-0.28544178046756885,-1.7669090334183395,-0.9416459543520652,-0.4488492707298972,-0.7021962683740263,-1.3232904856583907,-0.7705325518568242,-0.7900687619445401,-0.31654118199168635,-1.8678896460641776,-0.770387591112855,-1.3488198960514544,-0.4405786685378676,-0.5375738504859515,-0.6762734261263668,-0.372265395048275,-0.9665496856903576,-2.917055657998048,-0.7680066800120589,-0.8341245114202623,-0.7407870726700608,-0.8553184630363952,-2.3822954312953493,0.27421010249110234,-0.5018604344998928,-0.3673480483774947,-0.5828055365161595,0.03039688982665628,-1.894226377223851,-0.15680605633189293,-0.9455161786554063,-0.741426625596767,0.41419896957365543,-0.7661925640546401,-0.9536018891301097,-1.1606810091649047,-0.5888755605291278,-0.5957857527851795,-1.0596659230531096,0.8843870591640108,-2.4621035564719143,-2.0761425687370516,-1.5293892213995388,0.4749242007915009,-1.183128299020196,-6.281230238006956,-1.2083754546801124,-0.5607604575676179,-1.4999860697162688,0.45211814580492904,0.8828251354217165,-0.4351385336657414,0.25455009738447565,0.29358872902039934,-0.36851604594953,-0.44860486806925715,-0.9124659069338676,-1.3764527871493994,-0.8806632473550187,-0.48207487893480316,0.08659931408816202,1.324948702735989,-0.20229207790287296,-0.23368334902572396,0.21559676990624155,-0.695050978727137,-1.9482068803642665,2.071895137039763,0.05997504681796606,-0.13651206791072146,0.8428730669849966,-1.667158152133963,-1.0149258479186178,-0.6745660781847895,-0.6822605058483387,-0.010253981932373646,-0.45935214660518786,-1.3676012670160134,-1.2381312480979698,-1.5927814964128006,-0.8392083860190395,-0.6474089299511125,-0.5810114269271565,-1.2500328761148545,-1.772437626197397,-0.946578252936662,-0.44595243355969627,-0.7901674240945049,-1.4527928680250195,-1.3984135115423073,-2.2852847915135066,-0.7081879646044693,0.7307482520441089,-1.8962500170473437,-1.1231669583165493,-0.30079784901189477,-1.2206113948751753,-0.7967496095186024,-0.615382731391942,0.509556291617387,-1.3953914148038036,-0.9310617690704163,-1.6167198875160167,-1.7204831539120429,-0.8224738010232613,-1.3539988481843874
5,5,-1.727862320437563,-2.0392154406702137,-0.15658143113831735,0.20714737441454112,0.9714572587464416,0.19888324815503644,1.0694993213975073,0.4362003131307213,-0.7723939731436313,-0.26641273852918346,-0.6447009781932544,-0.26796398836407076,-0.7668520096861352,-3.0059301319032863,-0.6802095930122712,-0.747267347697537,0.5330668957487315,-0.26804015327477604,-1.3422142408591138,-1.171329204031902,-0.7871872282615011,-0.9105674037342258,-1.522658428369843,-0.9079854672372751,-1.3165106505669169,-0.7023444130362488,-0.6019436200497914,-1.6596194773983206,-0.6118081793076027,-0.8003536406086625,-0.6418882771364104,-1.1812736745026593,-0.9320696309984253,-0.45377308172327274,-0.7187479376489947,-1.36248472377883,-1.0773221280706429,-1.6239136024962866,-1.06470750820094,-1.0892710584238505,-0.7140327981305291,-0.5580124833969813,-0.5451406299179903,0.36808885690248516,-0.7210869139874603,-0.04525261869353381,-2.026828038248683,-0.1962239721247978,-0.925919267462334,-1.5065090147744065,-0.028623865901789003,-0.6159945388236195,-1.102876903417315,-0.7542097810025373,-0.8906973871844959,-0.755158615194089,-1.8788163358459895,0.8974575069761364,-0.7978599611384931,-1.0404518714615927,-1.0978763464695813,0.9630400599972009,-2.0072040859751876,-0.5311970246119535,-0.48356518222375877,-0.5604348484856796,-2.187823607013736,-3.1365728792032885,-0.36907104118322165,-1.2166106061300992,-0.08855295867952506,-2.3387559852072037,-1.629822576732098,-0.6719772342673327,-1.3160383751814744,-0.9431983635389316,-0.9753327788146426,-1.4492238585361843,-0.002807207399218692,1.0001246433113944,-0.13044591961206375,-0.40467445335122876,0.6239131678793015,-0.9102647834171094,-0.9248003660019382,2.0431680086837565,-0.7013848658569253,-0.3984879691347818,0.39672303235962053,-0.9871570296845931,-0.7426597133911657,-0.38237556800846995,-0.8788539445878829,-1.3035431457142348,-0.739640269471797,-1.890433043754604,-1.8570227053283737,-1.5479114342510292,-1.729227171169704,-2.546577264464053,-1.1894564629588587,-1.1299814802307082,-0.6961301822898323,-1.1531565061232476,-2.1058431347622344,-1.6346981559266323,-1.317663866900258,-0.7038832003617099,-1.1499038206119223,-1.5923017633228373,0.5216839869226173,-1.4142945462412597,-0.2232718768858013,-0.5046773398276245,-0.7918251374927641,-3.2339816986646044,-1.0087160014913659,0.2125047924153285,-1.9862749802143402,-1.053809966398001,-0.7784582920515892,-2.080183312140355,-0.886968589179898,-0.7538450548176696
6,6,-0.635609025495524,-3.2444347554375903,-0.15417459144266532,0.35021105315900813,1.0199553547955837,0.25908556460941234,1.2076061802656741,0.497708422560716,-1.549829795609853,-0.30989788873611657,-0.8686712560797182,-0.20226329055939396,-1.6403400070846963,-2.181822738011378,-1.3980964334272237,-0.5656938987690376,0.49452293233700084,-0.1817898030053069,-0.40430050586086264,-0.746807110448172,-0.8488168912308474,-1.4539765135158293,-0.7551832046309928,-0.6943891444685649,-0.7239695924882965,-0.689637313558948,-0.8856358358553333,-0.8636982650574181,-1.236492147773006,-0.6266959014088811,-2.1524865450686734,-4.812164844193452,-3.4771437117631274,-5.417858107684513,-2.1549212980140626,-0.7230458380892836,-3.8110370874434376,-4.896867220726007,-2.0729151158384553,-0.7940620977607025,-2.727442657726858,0.25310283461055194,-0.5224501907274626,0.279753441328197,-0.5719146374080191,-0.09027823241876226,-1.110639808226649,-0.6471477984437617,-0.7562005827919542,-0.671664594775133,0.1557935153393215,-1.3822861301706668,-1.8821447053863292,-1.7760228104662708,-1.3996237611667404,-2.9056348665091516,-1.258509123561978,0.9413429413799168,-1.4300687702064754,-0.6346704085566228,-0.6707788210554361,1.0478640516286841,-1.648112244389818,-0.6335212256717191,-0.18854470809625878,-1.0099532819285217,-0.8333452775012303,0.32587547303658626,0.4195657410385043,-1.156628897786372,0.06774822824729299,0.03636499326702136,-0.651170617017347,-0.6162416316847086,-0.7752150288039706,-1.3464656691224404,-0.8168235078751562,-0.523750859474429,-1.034048084867602,0.9138010492386326,-0.19503302892183783,-1.1189866404649296,0.6648434590092549,-0.7544405599216553,-0.6324407597670357,1.9553489550261092,-1.1610885339533545,-0.279411997552214,0.7624409542540076,-1.208474838087985,-1.2088924846288953,-0.37776585767371834,-1.3762654776371885,-1.2594124784854315,-1.1512377721854494,-0.7020532942997129,-0.9608686630429497,-0.7578182590658644,-0.7158360562274252,-1.1284602542716464,-0.6321652338093962,-1.3960989628779215,-0.7598890468184869,-1.474013896903637,-1.2982848246001575,-1.0719874299893952,-1.2782428593867956,-0.6984372368484463,-0.6062959237491529,-0.6545760939533918,0.5195180865637656,-0.6741346114122655,-0.05330535071838005,-0.4208537947455102,-0.7714416801743882,-1.698350096096843,-0.7950331361427478,0.14358867641063755,-2.0039339072420854,-1.2729217408749,-0.7332414885350445,-0.7363093396769967,-0.8415273919885442,-1.861264716950569
7,7,-7.529321545174525,-5.72115946231932,-5.605385693255024,0.04156793773663203,0.8452847353034836,-3.2217864246566137,0.5634145643861834,0.35412660537728735,-1.2477454477739296,-0.3246180829124461,-0.715690801174098,-0.22268110431015375,-1.8549063482062857,-0.9072080627105319,-1.9990991350157261,-0.9820014563340049,0.3877971915667926,-2.074786043974041,-3.4161233545559995,-2.093377784308502,-3.9314625319062726,-7.749517240664657,-8.38383930879333,-4.187410459439071,-0.7566069061289362,-0.888023252628372,-0.4288646753877512,-3.2057069463719654,-0.9885476589481508,-2.62561809686218,-2.5135933424252563,-5.9176310286404075,-2.2945968979622844,-3.5661497732256304,-3.6914794911681934,-2.567448921476816,-0.8682064418910215,-1.4822252762763002,-1.1919819024311091,-2.202869206840246,-6.896776275729607,-0.22123269683851943,-3.4099128840436688,-0.5042462829021552,-4.866485604610631,-0.904018592916316,-0.9489619570369008,-0.4131556922510664,-5.0170958842275,-1.894067835504068,0.0338839544332159,-4.147960672365895,-2.9082705902185046,-0.9001615289785025,-5.2507761799312656,-0.9775268086567352,-3.219522624656169,0.723359912532751,-1.9641560542750727,-0.8351697153539203,-1.7250340944938085,0.8712563091903571,-1.2830197921805442,-0.5523934853247143,-0.16627410821140298,-2.5291269231003977,-1.066522073656008,-0.18149299964049082,0.3506467097213801,-0.5336804567405902,-0.042157029317732686,0.1754042795999773,-4.176951139144018,-6.504271396540288,-4.904825150161653,-3.5341957629339893,-1.571832182062311,-3.65703779273617,-0.6517589818822256,0.826715124685125,-3.310482763283812,-0.18530693605389592,0.31869969058455894,-0.8406978998900686,-6.005273099197989,1.5177320660693732,-1.4179076657513243,-3.396310227049053,0.1662208460862804,-2.8423213169325043,-1.676078574956442,-0.5734848852442103,-4.530764354143239,-0.43335194583496817,-3.026200488412131,-0.685271174315356,-0.8650123959900793,-5.245240369838543,-5.084721380197564,-1.3358623320294876,-1.0534109479931275,-6.889151329105199,-4.1418017159694145,-5.181135684787053,-4.893424856108121,-0.7492198067948479,-1.0727159492972405,-7.116329836432609,-5.181943204601335,-4.0548711564262225,-2.1066116792429828,-0.7324815025361334,-0.3353473776974898,-1.905889498276418,-0.7349364794882443,-1.2408107944132352,-1.1497980130006442,-0.6193551608901666,-2.138373608223963,-0.8505221613198648,-0.8179830261644674,-4.187874751253892,-4.040009340342797,-0.8846657195636407
8,8,-0.8553845079200921,-1.8869413330952383,-0.1421321869539396,0.5731487037526097,1.4988027586843993,0.34431414854217124,1.259026151165894,0.5890208144728097,-0.5826414845139032,-0.21082166532420166,-1.7193230228213296,-0.3005454611860885,-0.5597826243149534,-1.200104569889275,-0.6584174742087804,-1.5189379113732326,0.20182713464694846,-1.6032656621807146,-1.0505862181996237,-0.7700812357820684,-1.021984029160898,-0.8126461907312057,-0.8365392360224958,-0.69941937931012,-0.9428753150799709,-0.5229742188714953,-0.48515400774242545,-3.5739753226002424,-1.2175158682470784,-0.8015407938932599,-0.522634143815934,-0.7474625017243427,-1.1403364291225264,-0.39122622712249294,-0.750970141574328,-0.9638886931630376,-1.262167932306229,-1.8912944364895248,-1.5588778214864483,-0.9081470971696612,-1.1038917205516496,0.2897997662189029,-0.5469075351017997,0.47334176192431965,-0.9899034193999103,-2.631854159786961,-0.7307003512168659,-0.9632466173284455,-0.8893525550133081,-0.6646281776103284,0.3584697541141737,-1.8570253779235213,-0.8969523322077271,-1.7152688406348697,-0.7618433690301019,-1.6320346743575014,-1.0015378301028688,1.1274730534165434,-1.0005625345242097,-1.5559717627504495,-2.913738190850219,1.213721285965247,-0.6980309551855212,-0.41111684162425033,0.34890293697853725,-0.8179335717435485,-1.6665982407538893,-0.3658258449109293,0.2536219919778704,-0.41567447835092697,-0.04251317918596342,-0.31938973382762015,0.35334358834928903,-0.4978045700893948,-0.7288020522103361,-0.9583381893571419,-2.30176536480071,-5.249154003304616,-0.6131677435094622,1.1894711071360131,-0.9145529756626918,-5.021994884051413,0.3425631647112226,-0.8222249458532993,-1.1387295803326487,2.054422134994195,-0.7647655994431579,-0.41922056648700434,0.7972963399244706,-0.8524235174808041,-0.628284883916817,-1.8089918556683822,-0.6705326408457528,-0.4053305787047369,-0.5043902422794166,-0.6385923996338299,-2.061240604498026,-1.1421443576114068,-2.2758322989221034,-1.7951353220969017,-0.8931010382765824,-0.6131565524968294,-0.621026190829983,-0.7934244282912797,-1.2139001379344712,-2.019267761567575,-0.6885239470266652,-0.617143643772839,-1.1726560685085055,-1.6605559933438279,-0.08736926652892407,-1.1047111522283881,0.3293360373945715,-0.9823169144644459,-1.816330686732239,-1.3983583323174282,-0.313301515022379,0.40150890525350036,-1.9336925659668878,-1.0546484579083057,-1.1762168630856653,-0.7535079241720438,-1.8207965314848995,-2.324015758633378
9,9,-0.5626902791839352,-0.8504160056048939,-0.23004980641840334,0.5026314954007756,1.2852855571457027,0.25578677140814854,1.2748057869085994,0.593743491267023,-0.37834114625823534,-0.22230640847176675,-2.751957412242918,-0.05383832346485873,-0.7439612780001448,-1.2192484047127785,-0.6467322096187423,-0.9529994052051403,0.6913213328137071,-0.7486076686747438,-0.7513208296766325,-0.8711559486127194,-1.3397282967789086,-0.7385029856543637,-1.219745565191043,-2.049878296031726,-0.7447443624327328,-1.4781640196769106,-3.8501394006998613,-0.9561045089690351,-0.6050745875922744,-1.0908695427066921,-0.9813713945772956,-0.6339153650729383,-0.4824719775680431,-0.43518296024351905,-1.4557911220427002,-1.215273245336455,-1.3169506783300133,-0.9821245407011303,-0.8017095975019767,-0.7823079629034392,-0.9527159129737685,0.3356408311687633,-0.7566080906517866,-0.6025463110315876,-1.7994730440539535,-0.038258095309934126,-4.009924584632591,-0.07883287317013643,-0.8721379766298119,-0.9631031984283889,0.29346322869620867,-1.4887255585571157,-0.7279071781774911,-1.1114929099735642,-0.8230095968284243,-1.708064105349394,-0.8263561245338051,0.8949175846903485,-3.646220930330059,-1.4431622423444859,-0.8751201243313514,0.2828372368564809,-0.7493083907255725,-0.81558220268664,0.30642725650498104,-0.7228694773286202,-1.865906871829758,0.03210581063224405,0.3958093509337095,-0.5099713714493148,0.0949203282343527,0.32674345726681153,0.3477449756189297,-1.9273864421157598,-0.7262289657889001,-1.8719158674057133,-1.231273638429284,-0.7620769893907997,0.03350838847287507,0.5153640741663743,-0.6429671234884142,-0.32664835592184494,0.5261106359771937,-1.547239363240093,-1.0068279362960275,1.9244640844407026,-0.5332096344736024,-0.5894103610221157,0.775714522799829,-1.1030030835791889,-1.2297534941249946,-0.27440356625685197,-1.1143971438276319,-0.7230863311680064,-0.5377211101491111,-0.620362590694018,-0.8710758304312577,-1.0994100502257775,-0.7418754419462855,-1.4557800767766318,-0.8665390486607197,-0.647941801825934,-2.3611387420732894,-0.8299826839245394,-0.3729069003186496,-1.970535263573289,-0.9840089275293602,-1.709998716317217,-0.6324485535941853,-0.8126562224311246,-0.21251918295673722,-0.5933727439551809,0.22288208475871452,-0.4557878847660035,-1.0529309907011921,-1.839489736109715,-0.4079982735419514,-4.119633867589377,-0.8058767650948662,-0.7806163078599182,-1.5416145741073535,-0.7804029052190216,-1.5698955165451045,-1.2092325660632077
