statistic,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
EXPV,0.049337233395471025,0.1757377934252965,0.02232937487269404,0.03635965204201219,-7919.572770201494,0.07424824561079424,-98.03649656922089,0.061467815149425564,0.1294467396024488,0.10751643995695492,0.07057431188706387,0.06546604112943621,0.19039683331783774,0.201844675713592,0.16767629138811124,0.12369097903309978,0.04443556935358495,0.029400174168548232,0.11505482976444437,0.06205973761257377,0.10786376355698046,0.1360365751202024,0.09398040420989073,0.07688816294296008,0.13248098980590595,0.2029180442963595,0.05138383778749456,0.1051538204168968,0.12190606779637148,0.3143282697097438,0.15657147067951416,0.06450155056010953,0.22472645633101507,0.1433386058078211,0.122608655090794,0.10898677070026086,0.07471366695853532,0.05524607228232303,0.11129675536648032,0.12262051122653961,0.13331684967960045,0.023256317634372192,0.20500428377128732,0.04639622504128227,0.020884156007641153,0.028299121625607104,0.160239187618323,0.052245259148946066,0.09995418722766647,0.1780844211463971,0.04029032145636868,0.18087848560268172,0.20605813199737133,0.050556781086955715,0.07245619205802445,0.22522212074942938,0.09808487128037258,-0.26586417588572697,0.08964494216489594,0.147613768499412,0.1269043787312929,0.05844454247054687,0.10334004325924251,0.11245546711517251,0.012937689842613675,0.2843434499030272,0.12389583158620143,0.024191628174606405,0.014456619253139569,0.03539028749190998,0.019621818476859954,0.02139849953816142,0.034638109398537176,0.12876574892723258,0.11281331685568918,0.07273128021720965,0.03190602899976691,0.04220790277111519,0.05730709760545749,-1.2687970804164013,0.08444950778853144,0.05770751390930118,0.0584905469964947,0.20802499947440867,0.10887086812702873,0.003018625934229191,0.05291475994045425,0.0701211627861612,0.010773212756212236,0.212320279555142,0.1976466962549247,0.18252692069691923,0.169297560430812,0.20241561988171775,0.1811423909961104,0.12285672734137765,0.12825429817581935,0.2781041033261499,0.026269530061243107,0.10674493229434812,0.23683330694252092,0.1557774209206556,0.09226282266838237,0.23587392999679768,0.34192753952440813,0.34797623708481085,0.1431670758231829,0.10682598733116788,0.12721215784108675,0.27944247195279726,-0.002804209727249596,0.15167289238267523,0.03351383660372498,0.07338864337809248,0.12761825371146174,0.07561670811773813,0.05251168118047389,0.026830957638391717,0.14982061000037084,0.12154490312948663,0.21608616044786333,0.16084371989786428,0.05497447422116719,0.1653926954394953
MACE,0.012408066429418756,0.021897983392645325,0.05077105575326215,0.05914590747330963,0.09283511269276394,0.025219454329774616,0.07575326215895611,0.054163701067615685,0.03546856465005932,0.0922894424673784,0.010510083036773438,0.07425860023724791,0.0144246737841044,0.011387900355871894,0.009205219454329798,0.014353499406880183,0.03606168446026098,0.02000000000000001,0.015539739027283502,0.0076631079478054615,0.012574139976275201,0.020877817319098456,0.009086595492289452,0.011743772241992887,0.018268090154211134,0.00766310794780547,0.01644128113879004,0.013523131672597827,0.012408066429418753,0.021470937129300118,0.010154211150652435,0.01316725978647686,0.014590747330960848,0.023724792408066436,0.01572953736654805,0.006358244365361833,0.021186239620403332,0.013997627520759165,0.008422301304863569,0.020593119810201656,0.023084223013048657,0.02830367734282324,0.012692763938315537,0.033048635824436526,0.0206405693950178,0.010747330960854099,0.0107473309608541,0.024507710557532626,0.017508896797153034,0.014068801897983398,0.02237247924080666,0.009916963226571774,0.018861209964412796,0.010391459074733118,0.01822064056939502,0.005290628706998843,0.012170818505338094,0.047520759193357055,0.012289442467378424,0.013997627520759188,0.010984578884934771,0.03637010676156585,0.016441281138790058,0.02016607354685645,0.029489916963226587,0.0103202846975089,0.012574139976275201,0.047520759193357076,0.04372479240806644,0.010984578884934761,0.02996441281138789,0.042775800711743764,0.06287069988137606,0.027354685646500614,0.016963226571767485,0.024911032028469768,0.014306049822064067,0.01743772241992881,0.01786476868327404,0.04230130486358247,0.015492289442467388,0.023606168446026126,0.04230130486358246,0.01288256227758009,0.021708185053380773,0.10232502965599052,0.02854092526690392,0.01715302491103205,0.06578884934756823,0.011862396204033208,0.014068801897983398,0.015492289442467394,0.008849347568208791,0.008018979833926456,0.0037485172004745214,0.008612099644128127,0.018339264531435362,0.021945432977461436,0.011387900355871873,0.019217081850533786,0.008849347568208796,0.016441281138790058,0.012882562277580084,0.013119810201660748,0.025219454329774627,0.010510083036773445,0.010035587188612104,0.016915776986951393,0.01833926453143537,0.017390272835112703,0.041352313167259805,0.032740213523131646,0.036607354685646507,0.015610913404507742,0.01632265717674971,0.015729537366548058,0.01857651245551601,0.045148279952550434,0.018102016607354676,0.01506524317912219,0.019217081850533814,0.020355871886121014,0.015017793594306059,0.014899169632265726
MAPE,2.6049812690712137,3.1904855343842238,2.0108445763466594,4.51796737862892,19.912550125032325,2.2034697602701745,1.7233355845944023,4.81102598431793,15.534035293806143,1.0492161796066957,0.49033281048613875,4.442461340942218,0.0732615347940006,0.11037509875317594,0.2775827292777219,0.9079983933646537,0.12977156759244246,0.22506138639386772,2.6897530560604883,5.6520185515495935,0.6306980209772943,0.3244097570242806,1.1738917588867748,2.9256830601061306,0.6293765118775027,2.425078323957304,3.348895119649689,1.9083078167656227,0.38073050867794267,3.5504268843663946,0.16815761798553827,0.42601079528538016,0.08370536274156405,0.20964350875677398,0.8477857720740511,3.421929553866382,1.4337878025452113,1.4697915437877092,0.11435692319936108,0.26750804218967283,1.7214986095234748,0.1019026807873833,0.309408376709046,0.2779183756574769,1.1246485434886475,2.9129436819968606,0.7586048929316669,0.8444605523075184,0.2953151408613412,0.183584562774573,0.12989946913720085,1.9265948200001342,0.39141483869364574,2.53861402533427,0.31724222898828186,0.21183708690367925,1.1704762844243772,1.31196865673224,0.1564762138853565,2.723061277216546,0.2303204884456986,0.5505516530749061,0.25688030989017624,29.166302285696965,0.15516486755204809,0.4376027272940306,0.21290831646792835,2.115438278355732,0.2963291049285139,2.808930056608306,2.129614201707345,2.3848181186212916,2.6057644868715863,0.1908207964349266,1.492940581576919,0.20982991032877923,0.9799633549869081,2.078364415643989,2.113241601384629,0.4329553251707221,3.572735166978128,3.3925199115588907,0.4023979294442871,0.2532001561852556,0.19665951987634114,2.0069607444675013,0.2824697684735717,0.10084712749280648,0.26799187592313245,1.9158714395725347,1.1274842933384777,0.11262680123487047,3.011964739755741,0.07907493106587665,0.08289429549615376,7.574883156545635,0.1354403043622159,1.5797515085191727,5.333489154118048,3.017777501594097,0.17082329298483714,0.3139359183895699,11.238994860473483,0.1647123546999463,0.7318189696269278,2.5391582308610885,0.41671121035773423,0.10018768862469084,0.6819306941032444,0.10956650284405141,3.6840189721892354,0.8188395037968356,0.4801607926733181,0.6583811254550691,2.0458616353184715,0.30233272999265925,0.5066505833632866,0.4655258523796199,0.6118923511916934,7.241323317596718,0.29008529314424336,2.1274543233708068,2.663647478327283,0.16200013252315248
MSLL,2.9597780716123503,2.1747550129848237,2.2221909787355085,0.991825485541034,0.19792362976364414,1.3440867343815524,-0.07207821046303942,0.6902649960747613,1.1782356027273717,0.8317404458155366,3.4293143140744675,1.714869639735665,4.659427360852315,5.005771690719296,4.349486556490257,4.678921387683639,1.0043328132343334,2.212409065993556,2.5307019677431977,3.9543550002471153,4.399565393528931,4.307570120877321,4.2453246174464025,4.419432454168632,4.4528608642493435,4.512678294710625,3.6410210622624186,4.430651633179641,4.1199951072427945,3.9482261469156406,3.3949319335037185,3.250517890311215,3.633474800563919,3.2607305538215856,4.261936148351234,4.255582210322283,4.0109253548342085,4.482802203921489,4.3298213933488725,4.393893796700719,4.293070322164462,2.6832105913055218,4.260567029242194,2.0696689060136455,3.35064269660735,3.1939536718487616,4.324702665386014,2.873113206188218,4.009993279119658,3.876378111031179,2.2362338998863125,3.6176784779955327,3.8080002028962783,3.6202749200891633,4.0410374860057505,3.742026721758788,4.297233524942647,1.054844721608714,4.079304732254426,3.7966878812685776,4.3894160381840415,0.538111477431628,4.619488542027527,4.649879946475725,2.374124616465577,4.8696016454686655,4.851364882300879,1.2153963296844061,1.1182258045004425,2.844697141684718,1.5417074432002034,1.1713922174278397,1.6540639119271674,4.629835636309232,4.80805098743088,4.946593673032193,4.386964362466781,3.193699904344073,1.9850990993188775,0.2098267031046267,2.2927659116532246,2.1895778552793925,0.5752564556122619,4.473110338088729,4.367987137604413,-2.1950709035942557,2.645729240053411,3.9428657557458484,0.32473824765188003,4.321682738660999,4.430575281737597,4.016069579924043,3.9633188275342697,3.2551373802453427,3.9654257217596003,4.098875505261829,4.808998929826778,3.9681992449589014,4.39724012745159,3.8295291162561345,4.284743719052257,4.370583273855854,3.434894105165685,4.841352069126477,3.0678594723815387,2.9540270101363753,3.606080674264944,3.5011377262382193,3.5049743534588313,3.296874456070733,1.9113370418795999,4.711242652875593,2.458354581303914,3.5406339689789985,3.8045128542964317,4.638877038558599,3.859377461611589,1.6539654306149467,4.101997550763594,4.430619607071797,4.1291805589950386,4.340957023962455,4.286637035407078,4.448846959354148
NLL,1.1795533273249248,1.2862147523026466,0.7425840773118482,0.14788272223284252,-0.3761744943620103,0.3191941804507826,-0.6182138865800827,0.053067139640581816,0.9817107526789102,0.8384265061503601,1.3254441949685436,0.6815766798452237,1.243514192715322,1.2815438478301566,1.3406805667259505,1.194446223749572,-0.040352871494729624,0.756811950360874,0.9839434557440198,1.3617941323088858,1.3277137941409416,1.1880532302803017,1.3233047106999094,1.3628000118710175,1.3624216196888166,1.2924125585964403,0.9826043607689028,1.3530395344758355,1.298471331732159,1.2590574925004931,1.1505424339151349,1.222898873428898,1.0619786206198023,1.0810977576573435,1.3326981096011128,1.3399740389927774,1.3711475038714676,1.3849894866706833,1.3370542117722786,1.3813680136624302,1.318989314052465,0.2705860044297842,1.138608560930395,0.15778342956793312,1.227585502221826,0.6178576555143594,1.32405733811539,0.6362859193283329,1.3678591059246554,1.1953487775786458,0.33609048959375076,1.282509302622047,1.3444771715696213,1.400716678970903,1.3572956751218077,1.2846811805054286,1.3636152595895574,-0.39398093248336025,1.342749711512891,1.339923904281015,1.2969428457878784,-0.48737162175726506,1.3173737995722496,1.1424869736625949,0.3165675947040758,1.1692739227369884,1.3610778333861313,0.1891365923512091,-0.014722399395473061,1.0620505644936062,0.3835206393295133,0.17889683183725202,0.31837050793271904,1.1039725611141644,1.3849797727912534,1.3834111313957518,1.4001873587076872,1.2129236680473552,0.501268538467528,-0.4408223182341391,0.7334554972622817,0.6647036616010912,-0.19016021900750593,1.3031837760898384,1.2589870481680152,-1.3785515625682299,0.6392680693646,0.8158208803880125,-0.3453374259064889,1.2613633809629177,1.2909011306472264,0.954378434618597,1.3074244870063239,0.8298183286302518,1.1680647267189308,1.327326899596866,1.3685039166154611,1.2169963073513175,1.385605809035074,1.3525919830710325,1.1757151919712818,1.3447514649452788,1.348484848640956,1.2617425800055089,1.0655297850775718,1.2153293740690063,1.3212384451346821,1.1326585773181308,1.3051160012738703,1.076503576987385,0.010438372257128693,1.3152165182260354,0.2952833266053889,0.9334105300146521,1.3426896882655475,1.3192506052251591,0.9204098985213002,0.18662796147563454,1.3698248095785934,1.3669683151125271,1.2966098620921664,1.352784411476322,1.3693495947283203,1.3451479476648076
R2,0.04929565897243604,0.17562522228979194,0.01988201157240488,0.03366174992189308,-8066.714344784406,0.07203901522345557,-98.23202452938342,0.05884364474612802,0.12859421176034258,0.10264756518460205,0.07000697943374512,0.06188503006106427,0.18952626698447705,0.20142669057899887,0.16766710976412724,0.12341299545017104,0.043201862667508806,0.02763400364987012,0.1139952016070992,0.061073939277018985,0.10676447134095923,0.13382951074358185,0.09376900802314514,0.07676597480036174,0.1309791349219368,0.20289629812034315,0.04959328556190412,0.10487777543285082,0.12167026348337173,0.31378110366428114,0.15656507492361116,0.06432610187657162,0.22457502235197713,0.14310149010597306,0.12193166898062924,0.10890110810934106,0.07468287864909906,0.05485360012470786,0.11065653267372577,0.12098520102128008,0.1293660772777998,0.021913078340655923,0.2047066633674236,0.0452440469814287,0.01932210012003399,0.0280659870407286,0.15991312061914675,0.0515973471599801,0.09763920074033383,0.17765760175478695,0.039224852772792196,0.18072592161408996,0.2050229201806839,0.049521790757677264,0.07236872119679161,0.22507900064959296,0.09627869535804989,-0.26881609574126974,0.08877232685507452,0.1474706166159846,0.12574188474815395,0.05622882484739211,0.1019634448979797,0.11036178352606829,0.011572877281141314,0.2839053732832828,0.12230153516614173,0.021825259379601558,0.011423469213546422,0.03470947428726856,0.017863411707087384,0.019178485525880085,0.03344949656300378,0.12623529069368944,0.11149407455430316,0.07014528592959846,0.02967628238064246,0.04009313598888242,0.05654252215863298,-1.274366124249576,0.08368514156378315,0.05727568437771502,0.05590277395563026,0.20800778901247008,0.10664852974661332,0.0020126688850636842,0.05106015761141114,0.06808022527316437,0.010635931228616946,0.21231721477877552,0.19619339757880638,0.18243995649171862,0.16914295156105197,0.20232190309127784,0.1809891195469906,0.12238473601593014,0.1265468688464516,0.2778593429803853,0.026091110178837917,0.10665101863842175,0.23601300989646934,0.15557503925086058,0.09213003379113371,0.2341400439986775,0.34074929094443585,0.34786082128133977,0.14285325243857583,0.10559889017452717,0.12657644510989208,0.2770758357551075,-0.003932673572388801,0.1513809896217514,0.03224806422599957,0.07207360902750581,0.12573306718872646,0.07413589167099777,0.052415056179409225,0.02502694751687673,0.14928713650308612,0.12147483247518398,0.2145150002772218,0.15955982796392165,0.054593761551854025,0.16427830342842975
RMSE,0.03977807665642804,0.09035184817138754,0.05455278064636975,0.10228400502534117,12.240817804160743,0.0836416328872959,1.3960630746498564,0.12412584028988963,0.1855766741343658,0.23075337766105497,0.028464495190603428,0.08339450348683478,0.00715517165967405,0.005218054595500307,0.010894404961347885,0.006948195071267113,0.08326677747362898,0.05565701509418665,0.048498932019238224,0.01754460692762542,0.010596382347536577,0.00994891097257537,0.012398386154734665,0.010938055504594852,0.010259287874986417,0.008629320482264913,0.016526537322424362,0.010546638082156718,0.013496445701393573,0.013617677783660527,0.02355388987202955,0.030813521320871274,0.016283438445508922,0.02532940701822918,0.012116440819066288,0.012373519197676063,0.016613730826013064,0.010620608450192836,0.011443406142709587,0.0111541786007179,0.01153595748060398,0.02143690117331162,0.009509926518083115,0.03494521363811457,0.02867437725556871,0.018146669533183706,0.011034717468649913,0.025166189197126522,0.016367737189545054,0.015029098146960587,0.03546924198047609,0.02119953547475935,0.018367314826389237,0.025632561662951255,0.01591901740754126,0.018246515110598223,0.012238434293458654,0.06400960949792991,0.0149659927373478,0.019149545223738063,0.01026924743339887,0.08430134972709158,0.008439556427034964,0.00684113445819453,0.030736151709738962,0.005060764418698182,0.00691230811707057,0.08575749879150574,0.07748806564020817,0.03998510815089952,0.07531034413867813,0.08882240893069769,0.06255914804298575,0.006655753011193761,0.007438271896984827,0.006614543205966152,0.012024869640071992,0.0327067343962806,0.05329722111141703,0.19037930379178666,0.04870631585334333,0.0511341135406556,0.10935910505801305,0.009045689291600694,0.010210627201696236,0.54693432886284,0.031694736897651704,0.010242211848424313,0.12314895312335555,0.010066040930716974,0.009392808123440004,0.010241111256606584,0.015491223597057726,0.019114985699889217,0.01335147406562277,0.01418229919485758,0.007247606880681829,0.013129296884109886,0.01175129757448919,0.0192111458508776,0.009442171253580284,0.010788008954430052,0.028619274643757152,0.0059051761576193905,0.02652695456327174,0.03434204729057461,0.022803212978443354,0.021424542892060014,0.025060453829987676,0.022336461550391585,0.036229748262556566,0.0074686789709410666,0.027367488189851845,0.017187663224945113,0.019294282573851216,0.008420560630725668,0.012465063795096326,0.05508109496576545,0.014524018039104306,0.01059529560845312,0.012622981609999482,0.01117556142106859,0.012723606201590533,0.009928286686125736
Rho,0.1982615452867447,0.3560401722307121,0.18125690418236876,0.20123983955882802,0.22214218431311414,0.23399617899685013,0.2753072512139075,0.31148583871163465,0.3168541744982203,0.25518412693167236,0.22102490971135993,0.22170313593295907,0.3521811092981005,0.39576999886551356,0.2611203603522706,0.30109586596778365,0.31896551141488755,0.3498108730071407,0.3197892020276753,0.24363966123333414,0.2638646636734218,0.2246848254424848,0.22186930225864135,0.20931530665327291,0.34067984762430864,0.323335592636649,0.19120111397127154,0.25473006277505317,0.30435774769762686,0.506100655690745,0.2839561364780903,0.2335173904247785,0.5261386535973706,0.38671987828521676,0.29208004830264933,0.2710164058436503,0.21866171428152698,0.1820060798495187,0.2875750289273157,0.33207891996227173,0.3654162055591269,0.3118869821818382,0.3359991372306447,0.3271917811352018,0.12240522863408945,0.30009807679316514,0.36298308225961085,0.3354571812174255,0.2375550452872866,0.3550199184024557,0.38743711468332925,0.40652474898177093,0.3931790621253504,0.22007363228506693,0.3060874158577936,0.3846851194968218,0.2555910609379081,0.17758098376265125,0.26410287112867026,0.27792254498147306,0.3401566705792442,0.14530071870983688,0.28023418505163206,0.3112284463343148,0.2678440081328407,0.43258396754155237,0.28594562543392027,0.2868075049563474,0.23222606845086544,0.22024502336669402,0.15940728929408618,0.1516420207072075,0.20831788805029264,0.46054777409020536,0.31209318025990135,0.22474408685825611,0.1743854517671236,0.22981553655326367,0.21160043848936055,0.20106658229477054,0.26777392001701555,0.2398296940923041,0.2793986361464203,0.4462685671997789,0.2733130586257927,0.22601798194972164,0.2916296334995282,0.2678373118208826,0.2932837350918406,0.4175660448557076,0.39248993909449664,0.3912644586867963,0.3696471120921005,0.4793801846843881,0.333473511237861,0.2960872096897161,0.3026173129290514,0.34783323232828506,0.09824920775459434,0.2835791206454206,0.38450790613013974,0.3534122784812205,0.2736031160640474,0.38130245144380776,0.5691960332655833,0.5395527278538536,0.32265987027747056,0.3662131148594636,0.25792573236704536,0.4917972891234962,0.35290973326250197,0.30292484277609555,0.25492693646946196,0.2962043403737528,0.293998387503935,0.235204893541782,0.29941677582851345,0.19286051373646595,0.33424581257832786,0.3126633097330774,0.3182597627375609,0.36066120515687516,0.20507643783780177,0.35893845307528194
Rho_p,6.413554315466108e-09,1.349457996048888e-26,1.1654140503771602e-07,3.755292275750242e-09,6.943839287427063e-11,6.001948332042552e-12,3.974500326074188e-16,2.0103251231891172e-20,4.097724439769269e-21,5.351849565594018e-14,8.685319761699817e-11,7.583195156784873e-11,5.0755623346261545e-26,5.3583083520788736e-33,1.3157106914408935e-14,3.9842800500959814e-19,2.1727218381592683e-21,1.1347984583512297e-25,1.6939923805895927e-21,7.402102685894361e-13,6.794995643579728e-15,4.1542180388493334e-11,7.334731923422058e-11,8.43912541128035e-10,2.3628688360321497e-24,5.750058704274941e-22,2.2077470953263327e-08,5.94940802844738e-14,1.5802853410800893e-19,4.968972524372157e-56,4.2456149032580663e-17,6.643351922735459e-12,3.385445253065528e-61,1.8448566856644104e-31,4.831587827167312e-18,1.1709056301401454e-15,1.388801381933955e-10,1.0313459321135993e-07,1.626614956188704e-17,3.766014714411603e-23,4.9993520320980275e-28,1.7870635431894817e-20,1.0777773820209636e-23,1.7470897473262172e-22,0.00036790096182235055,5.274549300555793e-19,1.1882763463314143e-27,1.2826662819684257e-23,2.802070777286842e-12,1.9188318699634787e-26,1.3992617742463711e-31,6.910872345767127e-35,1.4925591846264412e-32,1.049841447866241e-10,9.631659527050238e-20,4.026805217281048e-31,4.8666332633777156e-14,2.1072543260120046e-07,6.413894296033684e-15,2.0378667176384808e-16,2.80329904166458e-24,2.2859002059938275e-05,1.1224083431665843e-16,2.1678539825657986e-20,2.5710097633725653e-15,9.231091050730424e-40,2.5097771216336166e-17,1.9959978546266554e-17,8.726297989575911e-12,1.0146510256829186e-10,3.2999312659223225e-06,9.783335264939017e-06,1.0181489607576703e-09,1.7352310428301616e-45,1.6820125341993764e-20,4.1044697827377635e-11,3.491806995253887e-07,1.4455836648211493e-11,5.47031964430162e-10,3.874934355939562e-09,2.615768122138103e-15,1.7108503668398295e-12,1.3933447665903502e-16,1.6972878472779816e-42,6.582660501377384e-16,3.1654025233019963e-11,5.460421507276401e-18,2.575253302554065e-15,3.480338291517449e-18,6.70612179986844e-37,1.9570401663070973e-32,3.1634702875357855e-32,1.0898010841809727e-28,1.1817607337144868e-49,2.418170284425192e-23,1.611233629157548e-18,2.592136496802134e-19,2.2090222147125604e-25,0.004299743600978226,4.6881236304290495e-17,4.308957026621408e-31,3.332728735787737e-26,6.118465597078854e-16,1.456345271769096e-30,1.5134117512371858e-73,7.459315206860598e-65,7.072337512608549e-22,3.7588774441970566e-28,2.8120005897715878e-14,1.5120017476788604e-52,3.9579150985049583e-26,2.375676593062262e-19,5.682679980673813e-14,1.5599251587789536e-18,2.862285753810289e-18,4.640240899348411e-12,6.384154505382183e-19,1.657923765146584e-08,1.8902316839481463e-23,1.4222404259224854e-20,2.68752366819826e-21,2.6959989388253088e-27,1.8617434192604502e-09,4.9297237067984195e-27
SMSE,0.950704341027564,0.824374777710208,0.980117988427595,0.966338250078107,8067.714344784406,0.9279609847765444,99.23202452938342,0.9411563552538719,0.8714057882396574,0.897352434815398,0.929993020566255,0.9381149699389357,0.8104737330155231,0.7985733094210012,0.8323328902358729,0.876587004549829,0.9567981373324913,0.9723659963501299,0.8860047983929009,0.938926060722981,0.8932355286590407,0.8661704892564182,0.9062309919768549,0.9232340251996382,0.8690208650780632,0.7971037018796568,0.9504067144380959,0.8951222245671491,0.8783297365166283,0.6862188963357189,0.8434349250763887,0.9356738981234284,0.7754249776480229,0.8568985098940268,0.8780683310193708,0.8910988918906588,0.925317121350901,0.9451463998752921,0.8893434673262743,0.8790147989787199,0.8706339227222002,0.9780869216593441,0.7952933366325765,0.9547559530185713,0.980677899879966,0.9719340129592713,0.8400868793808534,0.9484026528400199,0.9023607992596663,0.822342398245213,0.9607751472272078,0.81927407838591,0.7949770798193161,0.9504782092423226,0.9276312788032084,0.7749209993504069,0.9037213046419501,1.2688160957412695,0.9112276731449255,0.8525293833840154,0.874258115251846,0.9437711751526079,0.8980365551020203,0.8896382164739318,0.9884271227188588,0.7160946267167172,0.8776984648338583,0.9781747406203984,0.9885765307864537,0.9652905257127314,0.9821365882929127,0.98082151447412,0.9665505034369962,0.8737647093063106,0.8885059254456968,0.9298547140704015,0.9703237176193577,0.9599068640111176,0.943457477841367,2.274366124249576,0.916314858436217,0.942724315622285,0.9440972260443697,0.7919922109875299,0.8933514702533867,0.9979873311149364,0.948939842388589,0.9319197747268356,0.989364068771383,0.7876827852212245,0.8038066024211936,0.8175600435082815,0.830857048438948,0.7976780969087222,0.8190108804530094,0.8776152639840699,0.8734531311535484,0.7221406570196146,0.9739088898211621,0.8933489813615783,0.7639869901035307,0.8444249607491393,0.9078699662088664,0.7658599560013224,0.6592507090555643,0.6521391787186602,0.8571467475614241,0.8944011098254729,0.8734235548901079,0.7229241642448926,1.0039326735723888,0.8486190103782486,0.9677519357740004,0.9279263909724942,0.8742669328112735,0.9258641083290022,0.9475849438205908,0.9749730524831233,0.8507128634969139,0.8785251675248161,0.7854849997227781,0.8404401720360782,0.9454062384481459,0.8357216965715704
