observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,-1.0044284230968858,-1.660192596895399,-1.5306837359801007,-2.0199940628102713,-1.1950450917743292,-1.265455958016807,-0.8907517271860272,-1.9008018545047976,-1.0472375139536945,-1.29322748357717,-1.747327497701086,-0.8171468411477862,-1.3033286762471215,-0.9214098397189263,-0.8456980511050217,-0.9383201191581598,-0.916378984461693,-2.9735044156666652,-2.7083205708266265,-1.0028689832368625,-0.8646646300825391,-1.3842700521166382,-1.4820709668545982,-1.1155937993197114,-1.1835737102113917,-1.33697773261415,-0.8769036923397009,-1.0219809964997792,-1.678445060732715,-1.0072874202678608,-2.486144287707084,-0.7540940468096646,-2.488001112252646,-1.1965302183236723,-2.2984218559593064,-2.9054476049405356,-1.6226258790276142,-2.4512107872696665,-1.3774377057980947,-1.1372416238747074,-1.1726427407594997,-1.4659661988690749,-2.41726196977519,-1.0362268188060961,-2.300513134137069,-1.3477963633054388,-1.355652713514981,-1.3080679456080728,-1.4463438471353656,-1.7037508509822787,-2.5240514252501574,-1.3140731348895447,-0.8415837500901476,-0.9783830342181405,-0.7958662587285033,-1.2983451620135793,-0.8842410116513034,-2.6073017261975817,-1.7027731384337537,-1.1043751874268384,-1.1578110952506167,-2.0098706615436717,-0.9196317372445032,-1.0537163694326817,-1.689158257766597,-1.9484807027586275,-2.0016865812387614,-0.9291863977189632,-1.4994372697474805,-1.6759029975600472,-1.4222650611658012,-2.2559501381758507,-0.940303888211363,-1.1697137350957425,-1.1079085815806675,-1.1779286336924955,-1.9402488083707796,-1.077386125225976,-1.0028061859075608,-1.662776207241967,-2.197517870271541,-0.9952670785035944,-1.7957381696101649,-0.8755064998516006,-1.730998806062428,-1.4549191564705712,-0.9094763130982915,-1.7027156679072881,-0.7729115469186181,-2.393922443680479,-1.1213365849210069,-0.9100719559897517,-0.9830267055069855,-1.3557986127561388,-0.6637103342493806,-1.7373989686647686,-1.1857851310305292,-0.9701303302509267,-1.0543109365848682,-0.960582432876445,-1.1515680929876346,-1.9145212093893749,-0.9856711438713593,-0.943792890863089,-2.714296199015485,-2.5544837584881774,-1.9032315401158917,-4.298092911072144,-2.27583729735813,-3.0468611194370956,-0.956848709275929,-0.9904085934606569,-0.9101794759658234,-0.9384284491221266,-1.425283555243146,-1.610566286635414,-1.6021423808120216,-0.9476710932390413,-1.227861644245945,-1.5220823256219047,-1.2032290089267477,-0.863826572426867,-1.2840256922155615,-0.8963159661896959
1,1,-0.6719684020448443,-2.5411921197092813,-0.8082366702501096,-2.733856788717259,-0.6868171197884012,-1.2489559494585853,-1.075031301125593,-1.1218290021786437,-0.762565835342178,-1.0576127820192736,-0.7410474920432761,-0.8949761996523545,-2.2543462729859884,-0.6549478813197467,-1.2566348932561997,-3.159804209962622,-0.6765298027596363,-0.5092892081031413,-0.8293385828892701,-2.1698705379540413,-1.507002006555348,-1.8714856166637577,-0.774813997157742,-0.9095517276373477,-0.5571521518321937,-0.7396498400712493,-0.4480155362255729,-1.2862104421647582,-0.5157222603822449,-1.3199220855630371,-0.4600346154323528,-0.7790426582011212,-1.5443022130509347,-0.4477371889203768,-0.6580473050806299,-0.7607015207325292,-0.6627204494887771,-0.8541866376169298,-1.37962608765856,-0.5605120607161446,-1.325571436084987,-1.0327597730845401,-0.3752210937006576,-1.4549500260045831,-1.1792253221830653,-0.7040620621009258,-0.7555000209565148,-2.781195778442695,-2.35748204637794,-0.5986293723869024,-0.6518631174719083,-1.1414279817125643,-0.6510516993549047,-0.7698442689321987,-1.1315923026022539,-0.3670972007996683,-1.0077442146403874,-0.8343136662941231,-1.2729235609015954,-1.2504323316164712,-1.971549602803506,-1.0685350831675198,-1.1468196566342432,-0.7111088358504873,-0.9297679147419591,-0.5946309550578976,-2.126533205705363,-1.1408306731848823,-3.205536150819424,-3.823627895377852,-1.1711724127490766,-2.5782947752666514,-0.6594762251642795,-0.4388475961289733,-0.7783696606103299,-0.7297838366903187,-0.6406056107189313,-0.986683313669579,-1.8331766272503929,-1.0785094812573768,-0.6317346916314002,-1.0845745147404764,-0.9961466350675119,-2.0457429688670974,-1.174545857020485,-0.8595303808516659,-0.5872217932353359,-0.3565417487467011,-0.5522835887493001,-1.2414556541911237,-1.9477307538932318,-0.9180906179271907,-0.9744086730463833,0.39240238817723383,-0.12263319624037233,-1.1534891791594164,-0.8435549840099431,-0.6570344311683062,-0.9850523891778277,-0.7570076986295249,-1.8377816151747186,-0.5719148691807975,-0.5763190470272707,-0.6828770921240839,-1.7576379703908982,-0.8998880362597252,-0.811099721931857,-2.5682912949371914,-1.8521698084631417,-1.0817199038988663,-0.34252802798885895,-2.242954871902676,-0.4901269214703279,-0.6834840120779704,-0.7899281109221872,-0.5211432624197437,-0.6396913821008227,-0.6187198041397209,-0.9324378452542541,-0.7067361759356732,-0.6607215332554701,-0.645942172279008,-1.0253366390852627,-0.6598374661038077
2,2,-0.7260643630721691,-0.8213690099925359,-0.6879021932081267,-0.7730524187955679,-1.397049351968222,-0.8624429280736685,-0.43256823245683695,-3.015837484027006,-0.9087901639847908,-0.8608876739609486,-1.4091686490245265,-1.8830479207860804,-0.8624209431008356,-0.8756798182831138,-0.5381783032993035,-1.5869878951560954,-1.5589489274671409,-0.4440311310296579,-1.9253978253116313,-1.669829609550294,-1.242607735185574,-0.4696765817856232,-0.7543287975997677,-1.5389780019050425,-2.5160679744345646,-0.5796802632497003,-2.9091240532351756,-1.1020388286471503,-3.041528964548415,-0.6074101482226175,-2.4224287084202203,-0.8210979918139194,-0.6432291375896235,-0.3723118648292132,-0.8256553139206898,-0.9094624273912963,-2.8332599874808886,-1.4039341201466504,-0.637455599524597,-0.6479054574281186,-0.8619890423029442,-0.41255117585222123,-0.4558459611118712,-1.356349950796929,-0.92954793372156,-0.7615793299463155,-3.2198275904831126,-1.8624728733648603,-1.6003518230644822,-0.7816399762701776,-2.0672782848124935,-1.2996573348998013,-1.7921375756809108,-0.7920182709820914,-2.1706180813379783,-1.2991679790220638,-0.782163360811098,-1.264598954320002,-1.1623229868936615,-1.5484565842793936,-1.2911905467731652,-1.0633967539531168,-0.942229337473276,-0.6893164147108484,-0.6944465786405476,-0.2470525423789045,-0.5600740204036219,-1.1343408286392715,-0.6292412035013697,-0.6697906549202108,-0.7077984833156026,-2.244084464936246,-0.8658594694263129,-0.5422625992532707,-0.643732385676201,-1.1961732811291936,-2.1860624066266787,-0.6420539323875677,-0.8901975517414923,-2.1467113537857134,-0.5922813309031134,-0.8292553122934931,-3.9209704220609716,-0.8858780509941884,-0.6086619253063663,-0.6034999182570296,-1.30439582745942,-0.3995111818944257,-1.054124006797502,-2.4959879891039702,-0.7134007939957427,-1.6010806083094202,-1.250386520185193,-1.5068581184117433,-0.6931869003092511,-1.1822209505776557,-0.6623872957785589,-0.5530899881104709,-1.616694560963035,-1.8433942323745667,-0.4559615785243487,-2.0863071131395925,-0.8505271188908993,-1.328948844394068,-0.6797066895726496,-0.8703391541746008,-0.6437443373466697,-0.46933254012646347,-0.8858834461654531,-0.565020857422228,-0.4754874027174266,-0.6226577820683502,-0.4323330657206699,-1.9168576605128695,-1.5184100588905323,-1.1952288366800556,-0.5091311668533522,-0.7160047954326941,-1.4492274363271318,-0.7468922027016933,-1.3728984703888163,-0.856778918587938,-2.7252682041741636,-0.847616777012473
3,3,-1.83529867320085,-0.70139561703306,-0.9116467617699968,-1.0835566707873883,-0.8677190851158509,-0.6257124323500276,-0.4970709412826384,-1.2865226828564222,-0.9063854807528162,-1.1982369324192608,-0.6872728565304356,-1.0162680010203031,-1.3021937953814948,-1.2508411000008506,-2.040772498459094,-1.6622485431967562,-1.6305645436686915,-0.5466357430452891,-0.7410991063798533,-2.3313542183440705,-1.0179055148680254,-1.519764001508575,-1.1685204126922957,-0.8857194306795113,-1.7518041150631027,-0.7516614707401326,-0.4304851980511555,-0.458460200310447,-1.4546058370434838,-0.9906363563134428,-0.6296448327737594,-0.510573832578972,-1.850678451768756,-0.47357369867986604,-1.2113637547221738,-1.101200596928051,-0.681274101537927,-1.1407625598981976,-0.7267176848245303,-1.8449653823020897,-1.6748376733415042,-1.246900060580606,-0.877775372064626,-1.4397900083018746,-1.8469756742192902,-0.856478269816475,-0.7761633747966661,-0.7877639344859628,-1.5133664757561722,-0.9576300594546987,-1.1220638005576302,-0.6099209216484276,-0.6257716004622045,-0.874620777953433,-1.0818575582588545,-1.887275496312055,-0.8624127216613264,-0.8421300988741421,-1.7643759796006306,-0.6515403907612621,-0.6355726986622514,-1.8464101123093788,-0.7955467909926943,-0.7179225445519135,-0.6646348946125538,-0.7932699947055897,-0.6532339319659388,-1.093898549274318,-0.66613300177101,-0.8424082708102981,-0.8135820295158667,-1.7551430625241071,-0.8862820377745587,-0.9927953186959214,-0.717977591343653,-1.3505164219281354,-0.9069638318970167,-1.3421475621085532,-1.442750350951294,-1.3213121269338033,-0.8683963081639628,-0.6704541200469247,-1.7893207541192475,-1.7176604594982947,-0.5466347672096443,-0.915606546508198,-1.3676357891487478,-0.43131697083197196,-0.9788762130524373,-0.5691351904826054,-0.6723682947297001,-0.6777317843306989,-1.2501396444085735,0.2531522924786323,-1.110995777603593,-0.6273926574089026,-0.9422663367407949,-1.02659588692252,-0.7602808287526129,-1.2836057230616527,-1.105023750650556,-2.413486323134414,-0.46645500226196907,-0.9198137335853847,-0.6996827920887696,-0.7738824456647577,-1.5164160834068252,-0.4388808392621231,-1.286677605601956,-0.7000762788275258,-0.6900548285599463,-1.8209799847641839,-0.5863855427328928,-2.1428619464831797,-1.0788381433109195,-0.6472439166688193,-1.119828578799035,-0.6836801495051553,-1.3812404492461208,-0.7458231968438136,-1.7127337535668417,-0.7430300662632552,-0.7868337573376603,-0.6394798048313115
4,4,-0.7027049500548228,-0.8206889646759618,-1.5017965726471676,-0.947031790484831,-0.5409758303473418,-0.8060469667239061,-0.8417955560537931,-0.9424965802818225,-1.2207253628118648,-0.8050020387607184,-0.712815269244577,-0.8475604159341303,-1.2221112330354615,-0.9079676391961555,-1.300946992391044,-0.9134162995387227,-0.7514475542325708,-0.8279963682877969,-1.2642738102842497,-0.9175249251204682,-1.008170669750751,-0.7137090459119435,-0.7988939812258598,-2.0928962540938585,-0.625353922294063,-2.387740958043312,-0.41456387540062556,-2.573819865256545,-1.3413283060558487,-0.9168907435208162,-0.7414721016955252,-0.47089819569017966,-0.5792676617333913,-0.6810241996811972,-1.0093100887322168,-2.653484678431077,-0.7790448657149662,-1.2222682218498857,-0.9535120020960032,-0.7205490628181275,-3.200309849658021,-0.603374377882783,-0.41338149567687615,-2.3205089853170966,-1.8963043435894125,-0.9808860293751395,-1.641986956691712,-0.8612392559643154,-0.8513110961708701,-0.6889222216686992,-0.739288148691277,-0.7661667344598201,-0.6214079833605728,-1.0277201950346782,-0.6393474148700676,-0.4986281407851201,-0.969269584530176,-0.6857326593409665,-1.9561540924809377,-2.0892720760864334,-1.0910061869641428,-0.9591900367867516,-1.88614467271109,-4.832134720882406,-3.119686000776273,-1.6987376926165865,-1.4441350990094604,-0.6023700194265719,-1.000982437186173,-0.7146543222728071,-1.1009066015347062,-1.1515088942829572,-1.1274404911384057,-0.4388661927760702,-0.9300102769619458,-0.7611052515255533,-0.9601521474700785,-0.7158675550370213,-0.7075022007292047,-0.6676313820562513,-0.6056896623159902,-0.9200763588424246,-1.6279833979645844,-0.7884569709324654,-0.9027595176618928,-0.71477433216563,-0.4820185309221533,-0.4658259727892037,-1.303645152173874,-1.5368588117524546,-0.7991183825247006,-1.2853398651136478,-1.1110886348022966,0.2034170415669091,-0.6979925029681338,-0.8715505966317733,-1.517696798642469,-1.5283069690124298,-0.7645029269050965,-0.9049724048878853,-0.4295385442680024,-0.6688823671021208,-1.4480002390467148,-0.9231844861909051,-0.7558536370646641,-0.7270998565422268,-1.5788961260144938,-0.32416313585470174,-1.9679902967578262,-1.0079978688168463,-0.8874331415986916,-1.411679592543421,-0.8336588738714086,-0.589655804683298,-1.5238697796805882,-0.5532346828851985,-0.8705918158244572,-0.5908729999299123,-2.150478165181486,-0.6668876199796188,-0.6257830321002521,-1.5646458534933114,-0.675501017819284,-0.6508992596771503
5,5,-1.0187026419135177,-1.4189123070770913,-1.5004726870602694,-2.3886637162746087,-0.7033428344655637,-0.6472306320437643,-1.1739560396896265,-0.7280424655198472,-0.7798222036180822,-0.6738749194025002,-1.4026949427985091,-1.9200332275228176,-2.131862530988406,-2.762358241454056,-1.5961107287992187,-0.7211197669408294,-2.256216116486413,-0.5217519940626216,-2.0025859585671872,-1.2555054668421561,-0.6058200043357885,-1.252416660908103,-1.0167916112925635,-1.2202467062578717,-1.3077103062420385,-0.6769981654281793,-1.7723598013758588,-2.2042756096297205,-0.531345474209084,-0.7688175172991754,-0.47847555714537116,-1.1502182514256523,-0.5931601122240218,-1.2506766462674461,-0.8884081764151132,-1.1357457874305066,-1.449161706739854,-1.4657188205231813,-0.6541237373117216,-0.897221573121854,-0.7195094292545383,-0.8843437579387989,-1.8902539496305344,-0.7496441010273155,-0.762299048084765,-0.6494511813272665,-1.2864752445673981,-2.055188825194523,-1.014560111376999,-0.6323207697201105,-1.099174513871704,-0.7256961671808635,-0.49828349012682294,-0.8113527072335215,-0.803874033935688,-1.4833247173440003,-2.363855581547761,-0.7079725662122014,-0.7276354610191377,-1.3302454468672076,-1.4180924279032983,-1.0296540457141443,-1.2790109864218686,-0.5624736381990466,-2.822096620830745,-0.3432556675245192,-0.8215139161467009,-3.610363957160181,-1.1149548290035864,-1.591735029275228,-1.6440085228370143,-1.9482616651220501,-2.7757430549756923,-0.5493379486476092,-0.7246627709265877,-1.3939386124506334,-0.8468058580972829,-2.1437524592347383,-1.2137092811091517,-0.7929657386793831,-0.7778165177781213,-1.0008503053358924,-0.6467958883263196,-0.9873222217402747,-0.984983758463501,-0.9031303257434675,-1.5942359145051879,-0.46803230141810925,-2.0155137022272,-0.5908077794972554,-0.9957507737331251,-0.5050800818078687,-0.9257180052905695,-0.007440077851836091,-0.19099891156175253,-2.056281261062349,-0.9523320618857416,-1.493892997644489,-1.6225730921760078,-1.3861868366400758,-0.5991646162496144,-1.8889212816669925,-0.4519620588553349,-0.961702213308446,-1.1168307040013699,-1.2815629353947031,-0.8221355933314277,-1.333665200622817,-0.878876592471048,-0.8365461746804377,-0.5212291385744192,-0.7411986518237199,-0.9145177824759955,-1.3194914638339457,-0.7761593019451748,-2.9152892890680935,-0.9837621645187653,-1.443623472742204,-1.821708136206599,-1.451097843735731,-0.9532955334457525,-2.9260217739930905,-0.9114331700548607,-0.6391786933507703
6,6,-0.7111015351010098,-2.243506969110385,-0.8461955946705716,-1.2338328793695663,-0.5556355959931447,-0.6646576637366859,-0.6905387489093029,-0.7096611588885435,-0.8136400091543305,-0.6689609574922678,-1.3315840370075125,-0.6635460736564092,-2.504571722675644,-2.353520817615275,-1.5001693268467187,-0.7116273166153121,-0.7166519247345159,-0.5334775920627869,-0.7656045513373346,-0.8856565803821015,-0.65718756263266,-1.635348843580048,-0.7712865477885371,-0.8408601970295626,-0.6522004120381657,-0.741463186039966,-0.4596298321653063,-0.6463828635807234,-1.2884758901272333,-0.6494533759263432,-0.47356945813707313,-4.883935586760572,-3.467277783712019,-5.400174952525753,-1.9944924955732715,-0.9796645852420758,-3.0439434120408793,-3.85221613703295,-1.457432994501695,-0.6524866873964861,-1.8810307737724776,-0.5780300070394743,-0.3852864346142232,-0.6759106756267672,-0.6474181206955112,-0.6517810942488351,-1.133210328417674,-1.7870492271511975,-0.7807885001097772,-0.7332310787304184,-0.6776461366199666,-1.341864410722661,-1.726524681540171,-1.1782886689688858,-0.8689163085747986,-1.1664712160413306,-1.1260506767580682,-0.9376619963799422,-1.0293985300991764,-0.6487963813502566,-0.957736215504247,-0.677721293073712,-0.913483204877554,-0.6603145953919737,-1.9915460717057243,-0.4515924820519841,-0.6573735996784161,-0.6211617464639646,-0.714207021290258,-0.8474729652459845,-0.7357008855377414,-1.7339412850557276,-0.8002562844413215,-1.3777915282387327,-0.7725590161059159,-0.9157362553757565,-0.7487062063753624,-0.6346816008242266,-2.8167210548327217,-0.6562950390709268,-1.180366091417753,-1.8730595627086242,-0.709884411543631,-0.6773040459393302,-2.009940703925964,-0.6229460166285192,-1.7414442924291165,-1.0732762897892967,-0.8659715245889461,-1.3462388164846832,-0.6692955887804564,-1.0577560645980486,-0.6915610690663259,-0.12967124978824351,-0.49489233809404504,-0.7411497856958789,-0.8086134877395461,-0.6552798431727473,-1.6628356662163277,-0.710107968068693,-0.58301646833106,-0.8275651362709079,-1.181993815609376,-1.1021757086496258,-1.4343620108404411,-0.7814586586074532,-0.6857758258086802,-0.8577876155183168,-1.0082717754249555,-1.0779051498880656,-1.650226411657091,-2.9825707037620943,-0.6975045978167329,-1.278652565042047,-0.701880988529759,-3.266331586303233,-1.7574311839645143,-0.8977326635764582,-2.087146495210785,-0.7846992533558967,-0.6374008511133211,-0.6831553874028724,-3.13190599100583,-2.498982578950359
7,7,-7.303029046229467,-6.467626380725344,-3.7488078172139416,-3.1879896924933995,-1.151083111783984,-4.753572711275657,-0.5815473516830325,-0.9595311569234062,-5.974556832581956,-1.0795943526943435,-1.782520891074137,-1.1258748578240296,-2.1614510821870816,-0.7066782611127533,-4.230158265444126,-1.3115220570623158,-1.2059251687076897,-2.9454850193487654,-2.375534616213068,-6.945253303208223,-2.9727733883671856,-6.684584159774524,-13.566722725388995,-3.1861029688728477,-0.8303855354485227,-3.6517489061696224,-1.1696351025520433,-4.019606306455595,-0.6556008060355167,-1.448297246772006,-5.880410363649183,-6.0689834358704005,-0.5607125457756545,-5.286324227600072,-2.876770692145029,-2.426564858192781,-2.1454180845360824,-4.415226039337481,-2.3992300109737488,-0.9845131066543276,-7.40362443820088,-2.8111880346576195,-2.9105540376876187,-1.5494884354130884,-7.228329628017577,-0.6851228173186001,-0.8803284095736363,-1.2690816793087738,-6.342769028856565,-5.59804138562704,-0.7602633719498222,-3.8713729227356954,-3.0859588239769282,-2.016381404672124,-1.0927905974011494,-4.279829119101553,-2.5356352301419136,-0.8062370832344354,-3.8009870096410694,-0.9013559195413934,-2.036751859407305,-1.1381308706616,-0.9216291425590526,-1.3413950881840273,-1.561016577313712,-0.4642248192888432,-1.5807643177404254,-1.0509394515285115,-2.7748273678389594,-0.8269276894930944,-2.2226698389951336,-3.286721915533895,-5.433331346087021,-6.84083270354917,-3.0636070977584304,-1.5819449103708576,-3.7131438335730422,-6.160641905971928,-2.375591454692665,-0.9570607819512345,-0.777883393860197,-0.8268470142469881,-0.913863901710489,-0.7840281309111123,-6.595630564270997,-1.5763239642284532,-8.367163437124592,-5.794361679783193,-2.3809375787730724,-1.655818994107677,-0.802992169633128,-1.0147891753992249,-1.5336041705433872,-0.15921358670867558,-1.1640133635792567,-0.958792221535249,-2.625414066326935,-6.102701567416472,-2.02915709291935,-0.7505738627176307,-2.17602577716641,-10.507316992807024,-4.258711728901294,-2.6511108519213176,-4.204686899219137,-3.1636739808455787,-1.3781069109438424,-0.7803066796915025,-1.8462764507787313,-2.4012235467950593,-2.6947100293709494,-1.501055754367087,-5.9564842978018735,-4.647841324057459,-4.171895617192434,-1.2049411820700542,-3.466491452735356,-2.0309776425456465,-2.547746649144395,-1.0849129964442459,-1.9915526200486324,-3.0043526289994458,-0.8896060411150253,-3.0073540497165023
8,8,-0.9443108386579919,-2.885017871451522,-0.6356392091585767,-1.6120878531776235,-0.722531852071838,-0.6675225266095044,-1.3512615378209978,-0.8788858816008311,-1.0804318373924993,-2.515224471937391,-1.3512327372411577,-0.7278910593154115,-0.8535831290037611,-1.4650270401316978,-1.2466267059490346,-1.4126752063352956,-2.4310557705125264,-1.5237054372541794,-2.4138657190648427,-0.9177886079881046,-0.6995156923468167,-0.4484034446577214,-2.413000671390006,-1.591644088024725,-1.3384695825920985,-0.7305472990144173,-0.3949491168895771,-1.8761815762420389,-0.6183246385937158,-0.605067724114484,-0.5831428834183068,-0.5653408547152592,-1.883311041335054,-0.7461745174409481,-0.7477233056653249,-1.5227345984051992,-1.7829093518838457,-0.7734743818467861,-1.4996008694496203,-0.5786395134413345,-0.9442089445972974,-0.5758693760975495,-0.7116213273717298,-0.8614489549309581,-0.7291736997493629,-1.942688530451949,-1.022434636797871,-2.7283055554575415,-0.7740911782615181,-0.5904052207570616,-1.0329301747202144,-2.2771233628225986,-0.6007782758808211,-2.384994106066914,-0.8227027261872537,-0.31013645578905946,-0.9886483413955589,-0.8231461863558507,-1.2635258635590032,-1.7687751702225176,-0.6271199755342549,-1.5029849745700234,-0.6776684325753244,-0.5093340040645546,-0.7527863647210041,-0.4925388839628838,-0.6084784400229557,-1.6560223512955605,-1.7890178061072393,-1.0008057004379447,-1.425320373548315,-1.0599852817842874,-0.9732245829347508,-0.42070111679181166,-0.811604321154587,-0.6890915382594649,-1.731309511921368,-4.924462716275446,-0.7015579431850716,-1.3262881934689679,-0.6282765550800661,-4.4342976934769025,-2.3899342030838335,-0.5144085077669946,-0.5068520783117099,-0.5797658646374371,-0.802162170974737,-0.8634878037190505,-1.0842876049988635,-0.6871879544874997,-0.7504543896591939,-0.45979360485185583,-0.653002946062879,0.07804210852965554,-0.5539421350905298,-0.5638704634284208,-3.0464876387322333,-1.4107432186551403,-1.8702753258932532,-1.6549720032175514,-1.0209018470041569,-0.8003033333169464,-1.1098874688309819,-0.7035155837685823,-1.0388947896248082,-1.2185753247699438,-0.7987160325483225,-1.2529884755500478,-1.0894575204956332,-1.9228923187439797,-1.154261753138071,-1.4412069083118482,-0.7048713530943905,-0.6501694330403263,-1.6929898753806163,-0.5075092726302857,-0.49273536625664294,-0.6244779230812287,-2.8043462246595574,-0.7940455809169429,-0.6054058423565796,-1.0404791828967404,-2.202199017548067,-0.8709753738928141
9,9,-1.0015478564248206,-1.0922110517520927,-0.7732015931403928,-1.2445545570416685,-0.4181505937821297,-0.8201942522940117,-0.6827643250467242,-0.7494162302572808,-1.3361093913721014,-1.5940154746522324,-0.9136172170538639,-0.8164834406739753,-1.2895403221455177,-1.580515148710298,-1.4520547574620943,-2.519752306875821,-0.894439005719379,-0.4572802829938229,-1.0065705250729262,-1.7754288930506177,-0.7653815725571721,-0.6542421229436997,-1.5415810647769823,-1.2439203766351818,-1.771934982439336,-0.8865966948507175,-2.060452628185666,-1.0717098837402297,-0.5972997759098171,-0.6316172974799457,-0.6711207994579768,-0.7966902148231839,-0.48472398198861055,-1.333084056869275,-1.5440278153126759,-0.7453112639748753,-1.7278068586561899,-1.5285928189792632,-0.715426103104146,-1.9875103245539811,-0.9508005795712965,-0.4704695048506148,-0.9756290388277912,-2.2639310181433245,-0.6128189461774001,-1.7848307086999533,-4.3421254869309704,-0.7125162458349681,-1.5414522374573993,-2.80178199840955,-1.2841406265738948,-1.3228364369203751,-0.5520746268207298,-1.9553450353655724,-1.075460471385383,-0.3593794202841052,-0.6596867239873117,-1.461837026870187,-3.009248518744289,-1.2511072230927462,-0.6750517328408948,-1.4414364356469442,-2.2254560228634475,-0.6872177845914273,-0.7250139796413395,-0.35614599455696316,-0.660061426249263,-2.363369331628082,-1.0522537911588423,-0.7836107288782784,-1.171995286195048,-0.9157203056542496,-0.9054575585361039,-2.379960080703314,-0.6822432543756901,-0.9685652445652426,-0.7869112039928396,-1.1244356028108946,-1.0564344249936,-0.6607540346055227,-0.9335300198592986,-1.7727639714796102,-0.621992832509712,-1.072396637579837,-0.5238583060569296,-0.7264038223045841,-0.5309939538163229,-0.5048100131490434,-0.737315004981886,-0.6174992821064291,-0.6593566881590178,-0.5094743725039478,-0.9904238681812962,0.2844207340493879,-0.7612319225623887,-0.608998375326572,-1.0448856133072733,-0.8252200202745982,-0.7500790548320027,-0.7355379102354901,-0.4877124041857568,-0.689279190413887,-1.402360397118846,-0.6907675742435011,-1.73714437025151,-0.6577943594030242,-0.6877351500956911,-0.32706934134285515,-1.1085144003340974,-0.5701680664760062,-0.7064904698255039,-0.6593419702213148,-1.3247296365865135,-0.8934537304643072,-0.6824243528117081,-0.8641642001456471,-0.5573776958046721,-4.345384765309154,-1.8196030259601859,-0.7811542383513062,-0.5892221503730768,-0.6422266970363357,-1.0395839822689497,-1.1380501247068713
