observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,-0.8330604887959673,-2.483287603282938,-1.7480748090602591,-1.6310340378792432,-2.627418588929534,-0.8433986586154435,-1.064570079744931,-2.240721922118736,-1.3074514927535001,-1.283839323450327,-1.0683321627005855,-2.17670561997421,-0.9494611618021326,-0.8917595594442056,-2.562561543669959,-1.2136121633597006,-2.7334782295856095,-2.1459324282565255,-1.969709253482369,-1.5687899614885352,-1.7064981065959013,-1.9230303221192624,-1.6340022375063796,-1.361634227280056,-1.135398964931504,-1.6775624976511203,-2.3362380186043414,-1.6032405884384575,-2.2279988387723795,-1.268559743035211,-2.2925308041593704,-2.66148839079455,-3.2170498110991383,-2.4188337015124692,-0.9562731195312062,-1.0405466706554,-1.3648466609600582,-1.0344453466432224,-3.3026612028488116,-2.0887250036506755,-2.236882765960751,-1.3668947156315814,-1.1846623605790547,-0.9155977663722807,-0.8167945640023344,-2.0700880639730803,-2.3109803921829677,-1.744297289282135,-2.0954821957137666,-2.6199911860133,-2.061841522482454,-2.120013848070932,-1.000886913816915,-2.2015923685611214,-0.9920105805598847,-0.7720852773938671,-1.0245372374001411,-1.6182923110500533,-1.978892712109155,-0.9973140050316263,-0.8074079505971948,-0.7504972911299492,-4.2980967012089195,-1.0094724849349472,-1.0495632195452458,-1.3811003435879698,-2.5005407827302224,-1.1574332253988093,-0.9193444324865006,-1.7254894343340559,-0.9772711606437334,-0.963504548601406,-1.506143855828734,-0.8832881610073796,-0.815150707754579,-1.1987596285012325,-2.566270246968644,-1.212822393515948,-1.5105096422267728,-0.853053649566007,-1.537904547363249,-2.445780852008009,-2.8236676681227726,-1.4147672561258575,-1.1524581573089783,-2.42403327711986,-1.4440232024987556,-0.8892047389504907,-1.8605216662823127,-1.0434931308477031,-0.7253651841514754,-1.6868150603440828,-1.1423505723028629,-3.1364778801057125,-3.582668038046698,-0.7776442317243067,-0.8076976536929049,-1.2991162633913325,-0.6943176976081494,-1.0205534748763936,-0.9343783387934286,-1.4397686187077983,-1.6761192217145622,-1.2209431195764915,-0.8960126745163126,-1.3924731894567872,-2.0584080283719253,-2.4960257791293414,-2.012943752525657,-1.1903554630938429,-2.1549958417192823,-4.829796869727831,-0.9379938034410166,-1.1328374278969457,-0.8129474629163658,-2.7647013946290833,-0.9014472848310757,-0.9073476275384278,-2.074773423955426,-0.7396388407380954,-1.3643120831466973,-0.8801585272089998,-0.7466955045651136,-0.9569282313847076
1,1,-0.7881756808618475,-0.7458523024978774,-1.4376166681465237,-0.9337711217657572,-1.2489706293112666,-0.8675186657854801,-0.6562944401502059,-0.3594565172005893,-0.6736422793967084,-0.6959231098058987,-0.6873002805091055,-1.0371001320590423,-0.6972287339544309,-1.2153558544191574,-0.9794909975924428,-1.1819365268806468,-0.5339150029908829,-0.417273564368331,-0.862827043122327,-1.8371166830986887,-1.2498378039130478,-0.5113852136500894,-0.8624904519270696,-0.9619887066640777,-1.1325429070096602,-0.6042797593494412,-1.3528413380180053,-0.7533285176417426,-1.2678337079438762,-0.716619295264642,-0.5295442745049213,-0.6866694852276496,-0.7257700827615622,-0.5730721327640523,-0.7182309942978777,-0.8871590319044136,-0.6846817093708941,-0.6085959794773155,-0.5188754332356957,-0.8478714168861428,-0.638134934952718,-0.748270477850891,-0.5757232604834783,-0.7459974822686144,-0.6068353545356224,-1.8992909228521078,-0.7085417316651443,-0.7099181796332659,-1.561394439629424,-1.354881491333749,-0.6038871469900864,-0.6696080236747463,-1.172093310614015,-1.5558498321594985,-0.9186879945226828,-2.821984935431626,-0.9035124349975319,-0.5727876796255371,-0.5029346195951376,-1.2722767871194862,-1.080110827108495,-0.5440599097799658,-0.9793056689799207,-0.5838747484566269,-1.1822732480737692,-0.6045791662738649,-0.7220315634219692,-1.649721214185512,-3.059467252274337,-1.3611500098914653,-1.646301235463766,-0.5763147620806607,-0.8338089917682008,-0.8609719745655299,-0.7026949072863746,-0.6546992882387469,-1.0035487362978528,-0.998396394839872,-0.837749789313937,-0.5382861795957896,-0.6325577149790294,-0.7611659807434521,-0.5338738243115397,-0.9120935811129927,-1.5802606078966979,-1.2530461991787973,-0.6449228381583672,-0.8213449246138004,-1.9237205005261284,-0.8401313820059534,-0.8728110880168916,-0.9040801924054332,-1.400931899089173,-0.6200327202084086,-0.6077549050900268,-0.8446180915714473,-0.6159058714682439,-0.7280107854268358,-1.320534258194334,-0.7927460500362066,-0.8515765948596922,-0.9539347795830098,-0.7997428534342864,-0.996774281285281,-7.009892913438241,-0.7807921208670103,-1.2182841308690422,-3.9429706693634587,-6.355578914708153,-4.970490438148374,-0.5007815586853783,-1.3190904009306927,-1.0046634336254214,-0.6217755055948174,-0.8708788160725074,-0.9462146096200099,-0.8170194816838146,-0.9868677491876823,-0.5981191876739729,-0.6616443455584242,-0.6001340485628159,-0.9212264718921551,-1.096808609620955,-0.6524580701233975
2,2,-1.1175069700528926,-0.7444204472459416,-0.9058165080561971,-0.858487066649363,-0.5090251809626182,-0.9300395609451908,-1.4138461515410587,-1.4586370888031552,-0.5956297932323636,-1.6733694707542432,-0.7303468720458263,-0.6792519756215744,-0.6855967337527854,-0.6174994689098627,-0.6566971706632043,-0.689191097864498,-0.49969384320284593,-0.42192965520265724,-0.6741722968848332,-1.5327833446804862,-0.6322158136658016,-0.7782191928007816,-1.0643550507963206,-0.8844785310331458,-0.6422666929346847,-0.7692834998170874,-0.9567224630259336,-0.5942090968232587,-2.5377437154826104,-0.9579746379362575,-0.7451529642802319,-1.0943351790297138,-0.6443930058756855,-0.8016571417277147,-0.7948886831634666,-0.790253917255307,-1.3650453677580172,-0.5900873216643716,-0.5346236435200702,-0.5062709472175232,-0.6585219491682104,-0.6882573374147284,-0.796203315504032,-0.6864998910775342,-0.6416957948804382,-1.670408485888188,-1.1870051293611703,-2.196483751535208,-1.2030876609166012,-0.7055220376481632,-0.3227026420666145,-0.6168338047569368,-2.286846035915451,-0.5891028007314925,-1.3552143826539798,-0.07071193932396858,-1.1869835590215316,-0.7492431533389405,-1.173963352738443,-0.8664458033109839,-0.5925796176132065,-1.1322888782873821,-0.927174063437759,-1.6015850843477804,-0.9358456484536158,-1.2457043755496897,-0.8686571518975345,-0.5655027206269907,-0.5870961628343845,-1.1356154284418363,-1.279434493317031,-0.5872096211304852,-2.01769446960321,-0.6605583344188638,-1.2854104928136638,-0.674173831371987,-0.6884886666060714,-0.7834281139589427,-0.9033617803827346,-1.0156315604206838,-0.9874644414178757,-0.5999588538907868,-2.099214555289818,-0.5651108476571953,-0.702139633757909,-0.6793482684231967,-0.7097419094871166,-0.6242002156037526,-1.0360501792119756,-1.4765416049199105,-0.8490364863596338,-0.8178075019320012,-1.1594875501426678,-0.5530557542831055,-1.2811721677164778,-0.7881594556572418,-0.9680500046614813,-0.7055826620654938,-0.8165572551176028,-1.3333027539300408,-1.0671400104160274,-1.422359426314069,-1.4925087156165922,-0.8344682222656643,-0.9460838154777926,-1.107097846424975,-1.0962882945187884,-1.2191913401177286,-0.9995306989332107,-1.9218269063039466,-0.49891409566274136,-1.9430351482727595,-0.6306929540137209,-0.604898245247741,-0.6362153403041163,-1.0038888654819458,-0.8932286179708344,-0.7009347495043099,-1.8413824177398606,-0.7459306926299764,-0.8764077193605809,-0.6760299071623646,-1.0238142454080292,-0.5442849661613536
3,3,-1.1150509505105917,-0.7000779122911973,-1.1708485911968884,-1.2111292693937759,-0.584416800074693,-0.8839402574812745,-0.8922248125773502,-0.47258139170369834,-0.49272718677277655,-0.42542036641193454,-0.6339882001817125,-0.49524355913093254,-1.1805887491720721,-1.5051626263020181,-2.105886717685909,-2.282961260938524,-0.8211845781983884,-1.1307591939016988,-0.7336029120034837,-1.6683720355887406,-0.649004209807096,-0.5894135751013383,-1.631254010728738,-0.9308284955195926,-0.8059715074484401,-1.0091509360914208,-0.6152987749238151,-0.6469737935411062,-0.7366291631738522,-0.7348155192936905,-0.6167978978122882,-0.7017416487119645,-0.6251052571113486,-0.8686480215429491,-0.7777466449365982,-0.6162496590266546,-1.342722414722104,-0.6538944641202808,-1.0266524445431107,-1.0242885989601271,-1.1684495730964384,-0.8224116487964448,-0.5646266731030269,-1.1683693401567994,-0.6828692457512444,-1.8201270307163062,-0.9740383903402445,-1.0598255867693047,-0.9360261624120833,-1.2874843246736036,-0.37546866974030885,-2.013357557383414,-0.7904981848901936,-1.1312758119069557,-1.0735653891668426,-0.4195899391224584,-0.7415696991430927,-0.8123011524535783,-0.7214953001250023,-0.9645536303753743,-0.5999864583493922,-2.4277435314490563,-0.5865962176654321,-1.0048427392916257,-0.8528916449711734,-1.3967607538880757,-1.3958173691098839,-2.148125841748257,-1.1038613963045933,-0.6904243972220901,-1.7825104139604817,-0.6584294370852725,-1.1414735259100102,-0.6713984510582272,-0.9790409072731427,-0.882707710159236,-1.3947156097950149,-1.0163625883759781,-0.8396068469130831,-1.7590632837539242,-1.9907548510810547,-0.7063191810252839,-1.6335928229990322,-1.1488017663454024,-1.9911137817437123,-0.8544512844505103,-0.6665340177577865,-0.7459165766826334,-0.8610674494304209,-1.1817082673422417,-0.6605879833918027,-1.0796848322406354,-1.0876891289123845,-0.9525125621924487,-0.5754532135466728,-1.3841139817399601,-1.607448637143206,-0.8115941431591256,-0.8150265239541269,-0.7374456269361176,-0.7630483697010628,-1.1353543490688338,-1.1098617222491243,-1.0900960267802946,-3.0683947114299293,-1.834749712102833,-2.3565220468200856,-0.5058958725187914,-2.146243687588366,-0.3793239114485327,-0.9025641360160186,-0.541867763470376,-0.5861660241561064,-1.282451978438886,-0.6339703754397352,-1.3158801447117343,-0.8932707063042623,-0.6761377689315693,-1.1585979722506683,-0.9956812786719804,-0.6263586019610573,-1.52433326017035,-0.746474084006895,-1.2458694537958765
4,4,-0.625856416341151,-1.0455435960529225,-0.7643681929633821,-0.8393015077424963,-1.6697499943789482,-0.699745388210085,-0.5236282771265861,-0.7386820807521822,-1.2682592623600892,-0.6016181307281948,-1.4040938476606242,-1.5318125620653844,-0.7471958419052218,-0.5865016592916849,-0.6410496243061256,-0.6372865726740501,-0.9060265624289121,-1.8708265525177374,-1.096706556282179,-1.3758445574355354,-1.050306367105086,-1.3696658387838712,-0.9840619185904055,-0.7334848575091655,-0.7014808627051519,-0.7483544967041519,-1.2723041654966458,-1.4714613220977588,-0.8324372753078563,-1.7974865250669283,-0.6524378958329653,-0.7551688888348836,-0.6076032579515867,-0.6222488722704684,-0.643972133414617,-0.7147194777466437,-0.9436027721480644,-0.6531894407473661,-1.69073326441911,-0.6488819995914259,-0.8282528387877515,-0.8473102337850094,-1.4780344349686836,-0.8444779915222703,-0.6056935810141562,-0.6419471380161383,-0.8501116158776252,-2.334699216332244,-0.6570056122266603,-0.6094824493643844,-2.299231280629111,-0.6149928968799581,-0.7108499709151475,-0.9204175385231713,-0.6365410705324487,-0.3129331903495591,-2.0086973233042973,-0.6351118622202562,-0.546709525922362,-0.5818046959212513,-0.5846748781476433,-2.6863805373812863,-0.767540018092792,-1.0207900881622751,-1.943110407153515,-0.580853798956922,-2.144433371037783,-2.8398051997413036,-0.7921974933471911,-1.053841946138192,-0.8795739809047156,-2.1550361777172515,-0.7949239214032173,-0.6446342596218066,-0.7119248499750301,-0.670693899325159,-0.7812051928867895,-0.8833886603881533,-0.5740473868876536,-0.5484043293745511,-0.7119410492261535,-0.5879336761916887,-0.5865895963103676,-0.6873878839006298,-0.6738828821760114,-0.9390989037616959,-0.653480922831527,-0.6528313159441567,-0.6954585114199843,-0.7879582393482047,-0.7080700410836267,-0.6891222677339945,-0.8530590268124015,-0.6006147186626327,-0.4888267130044105,-0.6644579307976731,-0.6114590515211173,-0.6474090223917215,-0.7928377648297309,-1.0030012922144496,-0.8446208961391067,-0.684330620071695,-0.6514857980797235,-0.6245953586896377,-0.7419120565804462,-1.1657608795441803,-0.6976330312446453,-0.5641014030256637,-0.769913236555709,-0.4597279418872998,-0.4727991525841277,-0.7515085601653684,-0.5411614421476543,-0.6057965095825044,-0.8544023707771754,-1.9273112233084915,-0.6465471192228186,-1.7386741952801235,-1.113700928656756,-1.5163344722988863,-0.653933100060491,-1.1844496999979075,-0.8379685199192055,-0.8491558103955408
5,5,-2.1129988978854524,-3.0662899089430518,-0.8205606771501146,-1.5881812870940786,-1.0475631375471082,-0.9051756998191723,-2.3720280234983155,-1.501746516559411,-3.2530645350104104,-2.768033286613417,-2.3745613353978174,-1.291789648052409,-3.8851045216699616,-3.0251522265747863,-1.6113311123095728,-2.8190532118776677,-1.5102044435809077,-2.3282490661453275,-2.794154685539336,-2.8596549523984773,-3.2149006628746095,-3.3968662223206247,-2.379114722229295,-3.1739109677168633,-4.011321741685278,-2.681676175796852,-1.8893778008726607,-0.8222002113191791,-1.7191873077205846,-1.8449057867783343,-1.4967720068563006,-0.9347960586397925,-1.3079367456352653,-0.8475888726982614,-3.1526799380849493,-2.14624418366817,-3.1333410075243027,-5.064094893121879,-2.5426469042754425,-1.1425956313915218,-1.4667680263995755,-2.8221947358674173,-2.391175318807667,-1.815888832260819,-2.1553784035187973,-0.49295215561325356,-0.6036644578775001,-0.7869711399203282,-2.164776540244066,-2.2248760438231336,-1.0061548259147122,-1.2480981664495887,-0.6894745893039919,-0.669756521465453,-1.6689302512435589,-2.8959605339564614,-3.2087382971789133,-1.0788990230223283,-2.7674328597556266,-1.9185903614630417,-1.2625974542688283,-2.0058560858695267,-1.5466094131611745,-2.7866620961861894,-2.719820558152926,-4.0461070651138344,-3.864752504426847,-3.152424839320352,-1.9514480024741718,-2.417948412885321,-2.144623708943527,-2.43735674503346,-1.9079163349990658,-2.9799384140463636,-2.2326810281088267,-1.2613658216523185,-1.417848303656366,-2.2523773903835718,-2.8632814045553667,-0.6397823636983491,-1.6820951594129283,-2.2813371120380124,-0.7929460798600292,-3.6922819112468654,-2.308873051637438,-1.3160050587514018,-2.4984378981497137,-2.300875931980169,-0.7824481535404731,-4.157363267101286,-3.746696624810826,-3.5037513661271347,-3.155671573715601,-1.6689803933196339,-2.088234182013044,-3.134885746136126,-3.5935026983158043,-3.227583009622479,-3.0992261221564297,-4.018310231133661,-3.206010825486481,-3.498331168194832,-1.5303384690844921,-2.684961523767617,-2.8034452072625866,-1.513761256441378,-1.8857466106356506,-0.7228032250663925,-0.6444453074216169,-0.5363982432463981,-1.1748756028627108,-0.8276861197320974,-2.206461445000265,-2.0937059331154884,-2.4136411836471723,-1.9019754597492224,-1.4349923002573215,-2.4033894339058435,-2.3908000807459233,-1.7240689425086093,-1.9768390708413217,-2.959209789120697,-2.5042304953182213,-2.0348460289074626
6,6,-0.5862477954551895,-1.6286445751351615,-0.9937379373729297,-0.7680236930711564,-0.6674576761302699,-1.8066733618479327,-1.1223957953705084,-1.6507548491702875,-0.9517077477882776,-1.5490030440010416,-1.2510236369736758,-0.5803571065587031,-0.6570434767726054,-1.3745828448377007,-0.6572193310503995,-0.6780895784463972,-0.7254216851330244,-0.8286095042511137,-1.6821118451616965,-0.7305845642210611,-0.7063370177735919,-0.5480272803682888,-0.7690250034484618,-0.8405885695275366,-0.6490983340898844,-0.9582032428242566,-0.8626515916035736,-1.5163850516746553,-0.9455985691894289,-0.7036206217514656,-0.6796612451453459,-1.981691690158863,-2.6445713044509627,-3.084451789829944,-0.5811635810052925,-0.6332693780855223,-1.1619757262032087,-0.9006732245755529,-0.5505943222131966,-1.4310553233133543,-0.7375298325859293,-0.6471524078947964,-1.1143028144670697,-1.987310246161111,-0.880883920670146,-0.680870461049868,-1.1861108433383816,-0.6531340242169579,-0.8587776906861184,-1.1378482766804412,-0.4581439908620648,-1.317382055304845,-1.1766717439102292,-0.7101386525692546,-0.6314977432891931,-1.822254238818196,-1.099601136438682,-1.8576409856473808,-0.8646839604557435,-0.6533566557653908,-0.6266773016005625,-0.6136633907830412,-1.2794871272404147,-0.6181883527482449,-0.8996188833053742,-0.9729662164859624,-0.6979847057868686,-0.6174805794373736,-0.7128168197473066,-0.8879008359245285,-0.7670014471814398,-0.661878342145677,-1.1719956789658856,-1.0387911400413863,-0.631863487034306,-1.150147645182912,-0.8525656369629819,-1.0659175866198904,-0.6473849276013484,-0.6573107814569255,-0.7296206989844477,-1.0904644597989095,-1.0841723554374578,-0.7498353175682884,-0.7569564136645133,-1.438179626271714,-0.7157173324992342,-1.472794387722448,-1.3997262309056424,-1.35454620954243,-0.6734649859103815,-1.0688363394067348,-1.2685815759183998,-0.6734361476314537,-0.9506801750995824,-1.342133415454469,-0.8372622756782078,-0.8331656211933176,-0.9871261101497791,-1.0301019805253104,-0.7327868526456405,-0.7187885900125373,-0.6582527893435609,-1.1495919608346137,-1.007605693226267,-1.0143823753169658,-2.071180002755594,-0.5508098057600733,-0.441935483870668,-0.4330131653632252,-1.0095665292235112,-0.5831091117571521,-0.6678241859181967,-1.6602593003094355,-0.6663364627051324,-0.7291726566151021,-1.1695580101285623,-0.7192709221244646,-0.5377699800043467,-0.7363524874346223,-0.8801591606431435,-1.3448924203611123,-0.7338679717567125,-1.6938710377758253
7,7,-4.132972460160513,-1.3283963602574453,-1.8951948685290785,-2.2308325893222127,-0.7705321160837565,-0.63617894022055,-0.5635984692541357,-0.4993785823238466,-0.6791675057379244,-0.6968900671067753,-2.3612840195418636,-0.8603489389722108,-1.6071042257546826,-1.1302662928794387,-1.0823372778802032,-0.8458219006034997,-0.6242386439933623,-1.279555782999885,-0.8941123976686287,-6.137151582833297,-0.9765346221634865,-0.8594044794966826,-3.4076563103866,-1.890475259211905,-1.7905640163996797,-0.8033911254494155,-1.0464128139987148,-1.5617627760690478,-0.7536477694866575,-0.902619531526285,-4.38400604041386,-1.3790797767133829,-0.8411491847089507,-2.303307898488221,-0.6563996093704954,-2.600769713731955,-0.7755704517903999,-0.6931034772393403,-4.039472037616693,-2.466645345207701,-0.8726678129222624,-0.767745648691663,-6.200598470162529,-1.0930139886170296,-1.6500066303349799,-0.9800963843540941,-1.1247734715031976,-1.513528639677967,-1.2498046904916946,-0.7904009791844968,-0.6065075598283483,-2.451600293298446,-1.238292283426732,-2.287033861576326,-1.4610099519136377,-5.610880307195982,-1.6014040137896755,-0.7974884060868923,-0.5617212960206405,-4.288423123397985,-1.2586416082956038,-1.0779642518585104,-0.7605470037515139,-1.683158948410675,-1.893844010198736,-5.746635787593721,-1.800508367594583,-1.5945029180113544,-3.2539995540432245,-1.9646183753824833,-1.482015183224553,-3.726051325064748,-2.881742055546909,-0.6315854267199009,-1.6157413482943794,-4.584841005515779,-6.015248203183501,-3.895198557232633,-0.6624543510065153,-1.198187755597642,-1.5527590976789702,-0.6220153279130466,-1.7051305173382112,-2.765426287997892,-2.5707810630061054,-5.307831308191057,-0.7790070595352097,-1.188165232380774,-1.0777717356915058,-1.94576988648791,-1.1518723912181978,-2.9598278136986362,-1.835761006367919,-2.3768135080574044,-4.9832465315667145,-1.296360167645778,-2.4167239551198927,-5.953316532017188,-2.7554545306194176,-3.0607766017170563,-1.06144895899706,-2.2686549620655194,-1.9858054155248532,-0.6646168295950257,-2.5424306448283325,-2.500588859827065,-1.6644251922958366,-1.8804700482051546,-1.3588633163358153,-1.9673473440121794,-0.7303750695083358,-4.747765567198524,-3.8478560558729287,-6.065335201550376,-1.7257560480737892,-0.875729865076623,-1.7962580562923836,-2.693463062982575,-1.7920795048918616,-0.7169998435621612,-3.8155459684124122,-1.158549917205094,-0.9928322252307089,-0.9185150726446372
8,8,-1.3336371059935423,-0.7149758863672627,-0.7520630379107758,-0.6335095074196152,-0.5911057433215537,-3.2824344988436063,-0.5944016290726846,-1.1616386995734733,-0.5658586369535766,-1.5740341543888463,-1.25445358772439,-1.497235140479345,-0.8581785946751281,-2.1140147657129034,-1.285180486639738,-1.913058715035625,-1.4614383697712008,-1.1807219217046343,-0.8198480167721878,-3.568335687449485,-0.7095221930825257,-0.8472677902003456,-0.7899045561107375,-2.051140629363874,-1.6469853844282947,-2.161769884401542,-1.0845156667623674,-0.6365509242886254,-1.708114584396785,-1.5030211694249656,-1.9278617829296358,-1.1133541111061585,-1.5706740438153362,-1.0444579971121537,-1.4008777541362312,-1.0725907977103057,-0.6843039287120725,-0.6086715558571324,-0.5183565215694724,-1.1380373805677817,-0.6129750140344749,-0.8042822734649087,-0.7221474213144301,-1.9968364865773867,-0.4829598396437277,-0.46658537261205935,-1.3847824541395137,-2.0380971240837447,-3.5508866444856917,-0.6798277781395436,-0.3132254185102888,-0.8071764289210897,-2.816763716617367,-0.9063421987612151,-1.1476975154970686,-0.33247784193401164,-0.7442192243727077,-1.213292391263976,-0.8756021142478679,-0.7338936483103524,-0.617339484202772,-2.86706003866884,-0.9879781812183257,-0.9924237982237811,-1.4488084333882911,-0.7021903750018074,-0.6820105020749686,-0.9887131025210552,-0.6271538472961369,-1.3664962855632286,-1.3302122265461347,-0.5895530755382827,-1.7830905610061187,-1.5649210204553703,-1.2928451836526913,-2.569673892141461,-2.0429340825846136,-1.2775396332240607,-0.8173135203097106,-1.3425657884515256,-0.6437604914472683,-2.9478050476776687,-4.237152959554588,-0.6275067780269066,-0.6992016486485843,-1.2461142403376344,-0.6736025575339144,-0.667597642106384,-1.2421118670453013,-0.6862150882003497,-0.8900994982357366,-0.8257213011699615,-1.378003610784163,-1.349457262335318,-0.7002183059980795,-3.14167839786401,-1.2658590518854265,-1.063971731901585,-0.7577694993159372,-1.5722252703938548,-0.7362131060702823,-0.5747543513749426,-0.7261535675887274,-0.6539845051171098,-0.6421824505579872,-1.880638319895588,-0.9910770021073025,-0.6445359254055063,-0.42056136814981415,-1.8568762246995045,-0.46656994192340395,-0.6357486043533588,-0.8358830459434798,-0.8179960119547272,-0.7347175380430625,-0.6142823704700527,-2.5243852007342515,-1.079353111262631,-1.6543902364048377,-0.7803928075858837,-0.6092195528058124,-1.1423800479952924,-0.7777368036827759,-1.1655153241429166
9,9,-0.6537998243230906,-1.3850339687366098,-1.153963098312611,-1.6355907671663408,-1.5614262718625402,-0.7954270377163749,-1.901976748792495,-0.511999229410957,-0.9963523028882884,-0.4433253144967075,-0.6786845767565471,-0.44168001126048,-0.6526691077184543,-1.2280066709978052,-1.5060410579981114,-2.40997611979817,-0.7339437670694628,-0.7954854499386416,-1.103511808657604,-0.8043897858093267,-0.7039166482203895,-0.5188786608726522,-0.8444615335826388,-1.165181407620498,-0.7382370664511384,-0.6668717374148564,-0.6940860731043307,-2.376913018701542,-0.7361221651934771,-0.7263284090167401,-0.7768565173541934,-1.2129581039190969,-0.780703131585299,-1.034288289851489,-1.9539116165442596,-0.820356645263076,-1.4539945956668454,-0.6151313532900528,-0.8807534845687672,-0.7078820227507392,-0.6152277577379418,-0.5759386236648116,-0.5214210834427062,-0.7760139229625936,-0.692899630054611,-0.5504566111313229,-2.5475473779139035,-1.1650430702423025,-0.9479684071042145,-2.9951359712602246,-0.9635118354222476,-1.407206114498993,-0.7088602695519184,-0.7386490048148833,-0.837511352565159,-1.3692388825077515,-0.699970649617504,-0.9410018539802416,-0.5570116126231647,-1.7592381523037157,-0.8173369521721163,-1.4314488441935402,-0.8015891825790402,-0.6273269447003857,-0.7594534407126468,-0.6920306774516473,-1.054380498727713,-0.5922316769870559,-0.6210952822252149,-0.7011383167901678,-0.7485628317535172,-0.695630624828383,-0.6902818086555856,-0.6152096300062423,-1.589304026977536,-0.87034771294519,-0.9286415131338577,-0.7336487570550396,-1.3643101175673462,-0.6061703333888282,-0.7018564877616567,-0.6152999789440668,-0.852050241264048,-0.6131874048641754,-0.9747505582632159,-0.7065040460097622,-1.6186867865463386,-2.2670733161275067,-1.5780782092794248,-0.960361787696695,-0.6611968646550117,-0.7267415497622896,-0.9453037948841778,-1.5805665056077607,-1.2446597435320745,-0.6985895463056725,-0.9295153191926566,-0.6309295087678686,-0.7737572835023789,-0.7317405136701978,-0.8563838695173696,-0.619782865831052,-0.7175095509723122,-0.8105795348216469,-0.4806352844554113,-1.2308344988331643,-0.6641808792644908,-0.5108074928995986,-0.4111198828119989,-0.49996305938984476,-1.8098667921383105,-2.4562598505114526,-1.4275741887476483,-1.1724462244409968,-0.7040876509049019,-1.4107986438404982,-1.9385351637379364,-2.960958561414775,-1.4544946149308782,-0.8836764985978915,-0.6542734955038156,-0.7534656333725185,-0.6261970246758098,-0.6900703254897932
