statistic,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
EXPV,0.2832723400918685,0.2876950400223558,0.1403821717196011,0.1436794269237215,0.15190206860407185,0.13184151511315134,0.11919097306835713,0.25660428144749436,0.34930021918131204,0.21978699068768948,0.31742192705148153,0.3144777534092801,0.11372344241352739,0.15183898144190233,0.14788518513789006,0.21907321938350088,0.21374473654008475,0.5150692487329125,0.18084317980725728,0.14979514947084127,0.10908917209817426,0.14757396909492093,0.08723254440388595,0.11753188634692424,0.18525311318268156,0.18371335825859325,0.24053391547251002,0.20980203789178797,0.1669595485064751,0.19025697076313186,0.17565852307419205,0.11226179195380681,0.22275683028230397,0.1699250697006116,0.1985107329956447,0.1849919327680326,0.11581043444466244,0.1393452115611058,0.32729565814991546,0.2198519919359604,0.29454891742319633,0.12559753067605783,0.0946490643687189,0.15038764033262175,0.11600707630975704,0.1777588688159405,0.14198392316474218,0.19000235822988365,0.18738780737353566,0.18220604259766737,0.3835665273169446,0.35374568284457375,0.24296624471758566,0.30343989526856197,0.2736886305616705,0.511012871398082,0.09932594090298363,0.13314680666631906,0.049154147251584734,0.05252242008091834,0.11573390742872991,0.1569884193732043,0.14317610782596057,0.22008734870906077,0.12548197078603818,0.1541767468055112,0.11869250915427798,0.24601148408110074,0.22301216484620523,0.22597262235464866,0.07909832189000698,0.20808252424022344,0.177991416114607,0.2062430147730937,0.1486497953757533,0.15701887393149772,0.2578891231437078,0.0676216342033713,0.13584620125761082,0.12657578779930612,0.25832499457832736,0.20171958697740588,0.14293875083570473,0.23361133302762138,0.1902103186756452,0.1438067463837175,0.14694572466485845,0.2118974000268643,0.11758617480314548,0.07641954613535884,0.1525570397065411,0.19963533434840952,0.14286998511866933,0.15348945855554852,0.19227583168032347,0.12472024599407838,0.1720356151093424,0.2707712431351512,0.21327231090200827,0.10538712537022288,0.12024530100024855,0.27983826013934565,0.17456534855003858,0.2808154536873463,0.23737186714183867,0.06416229549012187,0.16753032860405825,0.16710219079537714,0.1704992436131857,0.21424306600603993,0.3986669420313751,0.3361857824252572,0.25064723164894054,0.16408064134624734,0.19827089085350802,0.2400089255744643,0.21170077918177066,0.22490402120144903,0.3209059812884817,0.30497909093186937,0.25160719166124546,0.10682261275925975,0.14412319827868725,0.3569285012425024
MACE,0.013119810201660743,0.007947805456702275,0.020237247924080676,0.012408066429418756,0.009798339264531447,0.006832740213523132,0.018339264531435362,0.009371293001186231,0.017864768683274045,0.01625148279952552,0.010035587188612109,0.0166785290628707,0.01992882562277581,0.018268090154211155,0.011340450771055771,0.007900355871886144,0.013594306049822074,0.01447212336892049,0.00979833926453144,0.014709371293001181,0.007781731909845801,0.009489916963226581,0.012099644128113884,0.017153024911032034,0.007425860023724818,0.010984578884934771,0.015255041518386725,0.01454329774614473,0.013357058125741414,0.010865954922894442,0.013997627520759165,0.01169632265717677,0.016441281138790044,0.00908659549228946,0.02253855278766311,0.01447212336892054,0.00790035587188613,0.0147093712930012,0.011625148279952566,0.004578884934756837,0.00884934756820879,0.015017793594306073,0.010083036773428231,0.007188612099644147,0.014068801897983412,0.008612099644128127,0.009727164887307228,0.018102016607354714,0.013594306049822086,0.009442467378410455,0.02372479240806642,0.009679715302491133,0.013285883748517208,0.007900355871886132,0.008137603795966805,0.016488730723606175,0.012099644128113896,0.011459074733096106,0.017319098457888503,0.00754448398576515,0.01743772241992883,0.010035587188612118,0.011577698695136428,0.015017793594306045,0.009679715302491112,0.00925266903914592,0.00766310794780546,0.008849347568208796,0.014424673784104402,0.011221826809015439,0.01881376037959671,0.009561091340450792,0.012763938315539755,0.024436536180308426,0.018742586002372486,0.0075444839857651495,0.010984578884934763,0.010865954922894444,0.007663107947805464,0.0166785290628707,0.019288256227758014,0.013594306049822074,0.013357058125741417,0.005765124555160149,0.011459074733096103,0.017864768683274024,0.016844602609727165,0.012099644128113894,0.012170818505338092,0.008540925266903912,0.009015421115065252,0.011459074733096106,0.008849347568208798,0.011459074733096092,0.01311981020166075,0.009371293001186243,0.012930011862396212,0.014780545670225399,0.011933570581257429,0.01489916963226573,0.007425860023724815,0.013119810201660748,0.010747330960854087,0.013238434163701091,0.009134045077105593,0.014590747330960848,0.01264531435349941,0.013119810201660748,0.016488730723606175,0.009371293001186243,0.016370106761565823,0.013950177935943072,0.021589561091340453,0.009252669039145915,0.016844602609727165,0.010154211150652457,0.013119810201660764,0.00529062870699884,0.011696322657176765,0.0166073546856465,0.011459074733096096,0.014543297746144757,0.011862396204033222,0.006476868327402151
MAPE,0.14363634212866402,0.15585541693493785,0.18005348617507333,0.09415471008243202,0.1492444627172169,0.06399320801488323,0.1336515086691836,0.13944766751407295,0.08419605273467626,0.2661495596790166,0.07888277176460833,0.15028639978282773,0.06469918119551517,0.05557300009767414,0.048949503355988425,0.05332796081003674,0.07730178612505455,0.08323114643348044,0.09473870144686344,0.07294157557133327,0.05997973173329631,0.054247016673203044,0.0747912694602119,0.060615266668676865,0.06483932228597596,0.06950829817835649,0.06584257124447104,0.06097766609864023,0.08006276120115212,0.08328094681363925,0.05813051109105567,0.07665782120409377,0.057386300591190396,0.06466847273879983,0.07024871804840975,0.06973536200521936,0.06617563252519548,0.06014669538958243,0.061207937627778354,0.06503702343789405,0.0726368228810302,0.05113092621696054,0.04733776110118318,0.05465071877849965,0.06493997798474802,0.07393524797974929,0.07440444208339723,0.12733488618781644,0.10264559651694152,0.07864647408036421,0.07948670482446149,0.10412657294238997,0.09893452053562492,0.11002129372170869,0.10115177966387401,0.06440072300519765,0.05871482588706517,0.04343243936416628,0.04650234013628658,0.0610396687167537,0.05197467146686994,0.05595810049265357,0.052432164655868634,0.057471512708979475,0.06331593926550101,0.056042949144519745,0.057303800266166376,0.09158614658778516,0.07990464275579846,0.08270674533870098,0.14243399450106842,0.08275150156265683,0.06683699189054075,0.059800986742369076,0.05991673975228199,0.05985860135923328,0.06254318869906841,0.08180081384099737,0.0627352752530423,0.10760552935467746,0.07529924120762829,0.06553719366501798,0.08986931437304264,0.06283768291404355,0.06930478817812719,0.05292429409718507,0.07247095379195925,0.059151852531207104,0.07141486395579841,0.05920101707104262,0.056973540776150446,0.05930876637801872,0.0710067600271433,0.058094316802696,0.05251986629074655,0.06614582486923375,0.06179438321921276,0.0551839679249857,0.06565608601526175,0.07519783257721548,0.06238329048553046,0.05398825494327485,0.0682489160766919,0.051329067852725216,0.07490500435839148,0.12555922749730702,0.07854729511085577,0.051504291378108066,0.08475456101420388,0.07487352999037485,0.056077520534086545,0.07114412643731832,0.06871362774997651,0.058100273026868245,0.07995149958904586,0.05975252742131513,0.06358432816924436,0.06525310990549417,0.056392927391250756,0.05885028778924492,0.05663619026052967,0.07474978563521602,0.06779643594894938,0.055620159280425754
MSLL,1.5675712645543922,2.4558532081606046,1.6610338020965032,1.445448221578299,1.1308626623839657,1.7421867765412606,1.3213411861292703,0.9586018161474341,1.3464264083126658,0.9570581817427211,1.3555837438361855,0.8318630859354689,1.9713221789507467,1.9344779659829974,1.9183932475400494,1.8841069214263777,1.332792751224422,0.999525968910178,1.456636822610524,1.781652964995002,1.739220462114313,1.8265323620755067,1.7282359296859546,1.7824488924921127,1.751959028074206,1.6937392609815922,1.4701347348610958,1.7238195198667745,1.489819260997924,1.4758870657779084,1.5879009126532981,1.434976331222743,1.5695518004517786,1.5712017770078457,1.6175781461020189,1.7264241085613201,1.8163741700787046,1.7976074918111733,1.4827463424326448,1.429725762777344,1.4869600958598537,1.7277367840011406,1.5828932528350208,1.808434837790359,1.2707377661980124,1.354079573529625,1.4244732590817448,1.231747786616471,1.4049844112409282,1.3746980047999493,1.2455145401639212,1.2542460385865655,1.5216035238842271,1.04243670160374,1.2022983043726567,0.7661593543395939,1.5375622246773406,1.8662444650092647,1.564491170112057,1.6088176422827511,1.583543637066189,1.4935277133270852,1.60185598504146,1.9251606926034106,1.8969336828953098,2.0372113944137116,1.9234374377028,1.295485915356756,1.3971477990541357,1.4341257310538411,1.1947107875877772,1.3033357361245699,1.6160816458512597,1.8826556078218308,1.9798784386668604,1.9752945720931065,1.7995111644856348,1.5699838124927237,1.4505718794401838,1.259793772779564,1.5627475282245453,1.454730845779222,1.3175244753758182,1.829673875189442,1.8459067620670975,2.0508265139118604,1.7935353287213804,1.9457432919874569,1.8171107744737525,1.9938442234994147,1.955249264073502,1.8861196159399403,1.668095610975598,1.5729398455235544,1.7075796799056615,1.752428333711246,1.7667639531127146,1.7195950997862106,1.7810497495112751,1.666568865835871,1.8678547607730125,1.732941900779228,1.4721573347461834,1.8075170006289905,1.1527241531787427,1.2826921018061344,1.3356704952340215,1.4871229397814014,1.0497281831100183,1.1541611842700956,1.791918062519274,1.6243910715638332,1.868842289106358,2.0507147368581506,1.8577402298848509,1.9581241287553017,2.084673909036498,1.9597791503082564,1.8926105424842108,1.9007354240710221,2.0447187865710137,1.8330274383257286,1.8391386573597424,1.8197940204915994
NLL,1.2636132345086049,1.2676089024898989,1.3781604400125553,1.3434491446864505,1.1314540589814064,1.2643809509662969,1.126620849841828,1.0990534803438796,1.1107549355513293,1.104134550123235,1.2417406262081454,1.093785868620633,1.3104125947997163,1.2907985642328605,1.3335266296442876,1.2942894016160513,1.2286839556237,1.0413826747658326,1.3168372631417467,1.3381934347811146,1.3196765119587184,1.264786420159227,1.3277238659553625,1.3564096415920723,1.3256138477424368,1.3148025697200887,1.2598379527898553,1.2826253771452325,1.3109698036877886,1.3399244351197337,1.2104928277460847,1.2861371615676631,1.2578922243896167,1.2974899252656051,1.2413623255707757,1.287160591489543,1.3379669987496763,1.2957960956808647,1.18402461402601,1.1891658802161038,1.2310087085228634,1.3073312793985163,1.182683552413888,1.3255884463666117,1.1708429053629446,1.1841384356848195,1.2952675144441923,1.251352581551574,1.3117102909547071,1.2907839345192433,1.0225071266180146,1.2223017905226639,1.3036435524723788,1.2388289497698055,1.2603087777284858,0.8467898700064093,1.292424322307287,1.285288082016441,1.1689562922993366,1.3076402152927749,1.25771404613198,1.2136436874686627,1.233158806633369,1.274773633477547,1.3672710378526172,1.3261897111547507,1.3262375384369829,1.2506955139372316,1.2723361832957014,1.3014338809790669,1.4067749421601907,1.2401517101428912,1.3094675261963877,1.2683559398433284,1.2872122235045826,1.3070023613668198,1.2718125730880652,1.3577961365195108,1.2462146187538297,1.1845843240286906,1.2728525443528425,1.2113612645823002,1.1822357430912385,1.2869872948995247,1.3271429284390588,1.3399841912138946,1.3067353293777397,1.2838065313394316,1.3329323702510272,1.3610372599526483,1.3017089877685628,1.2964546627240883,1.3383594318689997,1.2930588907605896,1.255705917594981,1.320253919994923,1.2969275384374033,1.247917945587073,1.295236939505221,1.3911729806905984,1.3574661588044195,1.239765869594194,1.3135130479165051,1.264059673111729,1.192214048819489,1.4087621167288877,1.3131030406167314,1.1979486605211096,1.1645536902871654,1.135512249052045,1.1491150366745955,1.1971248649909199,1.2196926118685603,1.279846549302692,1.2828796616367826,1.2822954223313972,1.3038338383097468,1.3045242783726148,1.2046805738458388,1.2215143977903933,1.260165127499067,1.3400943750040888,1.2930335318290544,1.1940916454671302
R2,0.28259715563270427,0.2876884547001589,0.14037945779666294,0.1433671866429277,0.15101183377896132,0.131647657371187,0.1167006631036892,0.2563094647857146,0.34881530524978044,0.21978165106857794,0.31679732785328607,0.3135041487082366,0.113478894407948,0.15169035862900193,0.14725233408263705,0.2175788909044244,0.2121055773988666,0.5143385576291997,0.18006158348940504,0.14836250568881493,0.10851787099454435,0.14742350879055455,0.08684298424903247,0.11644285959103062,0.18419316485755777,0.1824343065803392,0.23981383827886038,0.20880114584545528,0.1649542746895617,0.19021748085025492,0.17109632624914872,0.11174782341650702,0.2214365847817602,0.16897350912177356,0.19837132059948948,0.18433967166608212,0.11488160896325073,0.13854889409452575,0.32697182667105684,0.21981853519627315,0.2940727533068944,0.1255784311930418,0.0946115655024865,0.14994705382690454,0.11591160615517015,0.17722511222045556,0.14188227988824165,0.1890462323551082,0.18697753080608037,0.18138070821701813,0.3817949075565872,0.3537453936542301,0.2429109428522056,0.30330796637801727,0.2732261695872501,0.5109958378426595,0.09931719983272946,0.13219061890514427,0.049152399021686555,0.05250232407783406,0.11572885675103461,0.15649368581869127,0.1428426332215188,0.21690801618284306,0.12425235189901096,0.1530057979677728,0.11827066883494208,0.24541696818450842,0.2215882394340366,0.22530372390978026,0.07905018035966538,0.20753471916066724,0.17725114019167731,0.20602791690466027,0.14857099016862552,0.15666629952651867,0.2568627651521542,0.06638343148941028,0.13538351725974562,0.1253560154160136,0.25570353430823,0.20057234302314142,0.14157889015195524,0.2332233787985738,0.1887879539283196,0.14112222392989138,0.14680706513872444,0.2112740114420577,0.1166787159142767,0.07598942614729853,0.15224306359238704,0.19914891471012786,0.1419868965306017,0.15285300516775135,0.1887690085055299,0.12447345086940498,0.1714993236232124,0.26999318979595155,0.21276264849962057,0.1039774374832475,0.11937925852023945,0.2790636854561208,0.17426072027962214,0.2802386468220449,0.2373432481010681,0.0621952530747647,0.16715048879794392,0.16686887409603546,0.17034970148788797,0.2142110546146162,0.39831593565013856,0.3360445574538059,0.25062633826408354,0.16390464993938447,0.19815060807053575,0.23997676487096287,0.20983220833610894,0.2236452950446931,0.32074044997088125,0.30464454723841305,0.25129821243248296,0.10585403909470181,0.14399683967008692,0.3565339758174363
RMSE,0.15122969518670007,0.06223717501613743,0.1690697370615245,0.20223789750674012,0.2230850584463262,0.13983065163030198,0.18717627904633927,0.24013548166083368,0.1542638254874015,0.2475969895427119,0.17848271566138238,0.2605154008858488,0.11764622037382967,0.11708293860992547,0.12449982751424518,0.11866663028755653,0.19354544840929408,0.17583599120008583,0.19051942628718632,0.14331715708965048,0.1501804921434157,0.1273990937659713,0.15491567929872727,0.14854349897602787,0.14269118200078618,0.14978007390695805,0.17095904085953845,0.13845143711609034,0.1849032825004748,0.19006371042826078,0.15104578423523174,0.19651284129762236,0.15633556477785196,0.16776397667726853,0.14871712914201762,0.1408470558284235,0.14108924601057848,0.13597035173626296,0.14724692999954045,0.168029993067112,0.1573926769862722,0.14860843643517868,0.15430195607332392,0.13765382697839557,0.20588603154979318,0.18518202992775673,0.19698035602379904,0.22221589830316738,0.1987493253921952,0.20130770362675957,0.1522222808054879,0.18840457306660752,0.16930800662621248,0.2457962862563166,0.21860298796398442,0.18341569285856893,0.17971599066795138,0.1260865738487807,0.15886918498707922,0.17428186830863565,0.16426670956836242,0.16797896685151978,0.1549422847829197,0.11174026658343578,0.13332842556359187,0.10937303159745126,0.12504601269037857,0.20098521845713818,0.18843541274697115,0.18650961292176463,0.287064243575526,0.20221458344890028,0.16152347491779157,0.11664831911362855,0.11169042191252707,0.11390084164502629,0.12306108776373743,0.18910158249162629,0.183410142998669,0.20990144728840346,0.15621977624001357,0.16961269048194186,0.19582037120198661,0.1231434932204691,0.12972800817793623,0.11015738284423346,0.13736367350308537,0.11085375733248255,0.14013485329913722,0.12353121785872188,0.1158962983511458,0.12007441342456121,0.16117852682532538,0.16834160283103114,0.13870394398516545,0.14696249680751786,0.1376771591862475,0.12899696586517206,0.1320778065987814,0.17390792946429426,0.1363007754182794,0.1254664606604452,0.1876229493371948,0.11921655513435943,0.2198252766432,0.26580953152895637,0.21589628604692188,0.16539893587787477,0.24721706488824993,0.2105312905131013,0.09869184601437427,0.12860946649446112,0.10944348518808437,0.10235449709806232,0.12194119713581102,0.10731676724625851,0.09851626823329354,0.110718283561277,0.10023433469531456,0.1023020445749981,0.09554103352391188,0.13976194151444865,0.12966718012952133,0.10382132002232518
Rho,0.43984697134230366,0.46048959434299974,0.26876002518468106,0.27181699081402044,0.25574395679276113,0.3606079484137563,0.3643856959103957,0.4238589384424996,0.4573198447347859,0.40672984536036905,0.4595581374916284,0.5039492145013609,0.2889106692660737,0.3092991001538281,0.2868510120697681,0.3657289479909125,0.3525028556191506,0.5748402199032537,0.38037784516001927,0.326291472332343,0.26439589314003104,0.3853898165519318,0.28333584963290437,0.34246589275073824,0.35257977427271214,0.29554938004176606,0.32730722922369193,0.3725955803550294,0.3060816469587765,0.35446671503924315,0.37622329641542496,0.3316670746558779,0.4348321655781309,0.3292232047788525,0.41269035996081127,0.36829459572062734,0.3036125982412493,0.2775559236056872,0.4796292188407434,0.42697016777821867,0.4814038964317832,0.33172660648879065,0.34574753496280497,0.33158130234479694,0.36899131046234046,0.36806260785963174,0.2953348891713658,0.4124231677941817,0.41077272184100344,0.3777090182676753,0.4905677123968757,0.4936098377296261,0.4674686401143529,0.4555846380309447,0.43296294214208825,0.5726736077197887,0.30413320131574534,0.34512601621730804,0.23642615744516596,0.24179648162671818,0.329186878742854,0.338136053605801,0.3355371345522409,0.3416672808239555,0.30278341916203555,0.2797886477725062,0.28708863862893497,0.4407925800240764,0.3883964946084153,0.4219639152080749,0.24591662730165303,0.40072875817326303,0.37471489958509363,0.3778278415627084,0.32997340202187,0.2845634132541387,0.45098141717147405,0.2359506940023889,0.2918913271842821,0.3154296770898791,0.4453470857362913,0.37729442872806845,0.28689508004837105,0.3794622871419983,0.3349238384909333,0.3012431231244654,0.28831867606624084,0.3542798868408659,0.327886062122642,0.22936257126304282,0.27549046332526156,0.28260615401538686,0.28108026019446014,0.2501787081709984,0.32530400908634716,0.2892518655904073,0.31695925659628904,0.4815564016840986,0.32709390014545475,0.23702664374632962,0.27872372503866605,0.38800205615356964,0.28291979783764387,0.40800411102347284,0.3734577603409469,0.21797930160196055,0.32032441764325814,0.3165961064062515,0.3891937043722425,0.4846373042381791,0.5372128865430498,0.5661535599919345,0.4665244636418848,0.31061499002581233,0.3029301254689848,0.45447671897161745,0.35144787822684503,0.37539131301030026,0.46339297305145805,0.48962042377933074,0.41949993430808696,0.28612085574156526,0.30622780783091513,0.5006271399189259
Rho_p,3.380428854202569e-41,1.7857942104943697e-45,2.0508705021046707e-15,9.585256481047163e-16,4.69571366314344e-14,2.7469222960619626e-27,7.220365451117639e-28,4.4167388726982834e-38,8.468757348287567e-45,6.350710336502201e-35,2.82627338798087e-45,1.7014407259454707e-55,1.1375513334383648e-17,3.8070821901714256e-20,1.9730109251914367e-17,4.470425670672515e-28,4.548000080954236e-26,2.648283488428396e-75,2.064105240001407e-30,2.3108439790889692e-22,5.9738097803242904e-15,3.074861790757362e-31,4.997443190824224e-17,1.315106704370602e-24,4.430140797571087e-26,1.869005539028162e-18,1.685432223955985e-22,3.7192258782532565e-29,9.647631626054644e-20,2.3211188516902593e-26,9.757522008308414e-30,4.2905215282782126e-23,3.344918415677472e-40,9.263343750753925e-23,5.3051511901080473e-36,1.7778992883050412e-28,1.9540252380500922e-19,2.2388861086273337e-16,1.0367390407875926e-49,1.126480135245008e-38,4.065470277595179e-50,4.2104632761035846e-23,4.436665299398738e-25,4.408519794877996e-23,1.3820972751717656e-28,1.933145454820938e-28,1.9827889779141356e-18,5.936010781901102e-36,1.1855950998948117e-35,5.613217955242932e-30,2.9604422149645152e-52,5.587586230641023e-53,5.472444161321207e-47,1.9718471463474638e-44,7.783394220130024e-40,1.2631293573415984e-74,1.6847904231820683e-19,5.455867345547622e-25,3.5727121600818248e-12,1.112140270109768e-12,9.369435498736702e-23,5.407934851487139e-24,1.2501794234424159e-23,1.7098312500231044e-24,2.472910823871495e-19,1.2596933866164065e-16,1.8519873650265432e-17,2.1847329344444852e-41,9.656849522951113e-32,1.0080774247571695e-37,4.455734565139056e-13,7.352603624014187e-34,1.7055364879252197e-29,5.3697426536688616e-30,7.319513355966357e-23,3.617814221209686e-17,1.813091029933915e-43,3.956196950906006e-12,5.0858698951926774e-18,6.2690934493522355e-21,2.6175934034256185e-42,6.551557735901525e-30,1.9499934958221183e-17,2.912312883888286e-30,1.5217738839483998e-23,3.822334914861806e-19,1.333254088340301e-17,2.475007736221877e-26,1.4072629628690012e-22,1.588408711315765e-11,3.7936813676679183e-16,6.050860443708751e-17,9.010185066073891e-17,1.6993029571134934e-13,3.137006004776121e-22,1.0379154705912978e-17,3.970828063826798e-21,3.750265417262418e-50,1.8011070233363347e-22,3.1400548507691904e-12,1.6583591686875443e-16,1.1249145011680282e-31,5.57367577085824e-17,3.751155067131173e-35,2.7102543537333933e-29,1.588823957658874e-10,1.440439713323145e-21,4.426606989698006e-21,7.089104297048796e-32,7.281260563091254e-51,3.3302618411480275e-64,1.2972934982797922e-72,8.810743752284269e-47,2.5941042770846863e-20,2.372118548742552e-19,3.3738908617209587e-44,6.514781996446547e-26,1.3282037248271187e-29,4.230414312271646e-46,4.958602170556821e-52,2.924712052552627e-37,2.395734068571355e-17,9.250904966916362e-20,1.1188401283839233e-54
SMSE,0.7174028443672957,0.712311545299841,0.8596205422033372,0.8566328133570723,0.8489881662210387,0.8683523426288129,0.8832993368963108,0.7436905352142854,0.6511846947502196,0.7802183489314221,0.683202672146714,0.6864958512917634,0.8865211055920521,0.8483096413709981,0.8527476659173628,0.7824211090955757,0.7878944226011334,0.4856614423708003,0.819938416510595,0.8516374943111851,0.8914821290054556,0.8525764912094456,0.9131570157509675,0.8835571404089693,0.8158068351424423,0.8175656934196607,0.7601861617211397,0.7911988541545447,0.8350457253104383,0.8097825191497451,0.8289036737508513,0.888252176583493,0.7785634152182398,0.8310264908782264,0.8016286794005105,0.8156603283339179,0.8851183910367493,0.8614511059054741,0.6730281733289433,0.7801814648037269,0.7059272466931056,0.8744215688069583,0.9053884344975134,0.8500529461730953,0.8840883938448298,0.8227748877795444,0.8581177201117584,0.8109537676448918,0.8130224691939196,0.8186192917829819,0.6182050924434127,0.6462546063457698,0.7570890571477944,0.6966920336219826,0.7267738304127499,0.48900416215734055,0.9006828001672705,0.8678093810948556,0.9508476009783134,0.9474976759221659,0.8842711432489653,0.8435063141813086,0.8571573667784812,0.7830919838171571,0.8757476481009889,0.8469942020322272,0.881729331165058,0.7545830318154916,0.7784117605659633,0.7746962760902196,0.9209498196403346,0.7924652808393328,0.8227488598083226,0.7939720830953396,0.8514290098313745,0.8433337004734814,0.7431372348478458,0.9336165685105895,0.8646164827402544,0.8746439845839864,0.74429646569177,0.7994276569768587,0.8584211098480449,0.7667766212014261,0.8112120460716803,0.8588777760701086,0.8531929348612755,0.7887259885579422,0.8833212840857234,0.9240105738527015,0.8477569364076131,0.8008510852898721,0.8580131034693982,0.8471469948322486,0.8112309914944701,0.875526549130595,0.8285006763767876,0.7300068102040485,0.7872373515003794,0.8960225625167524,0.8806207414797605,0.7209363145438792,0.825739279720378,0.7197613531779551,0.7626567518989319,0.9378047469252352,0.832849511202056,0.8331311259039647,0.829650298512112,0.7857889453853838,0.6016840643498615,0.6639554425461942,0.7493736617359165,0.8360953500606155,0.8018493919294643,0.7600232351290371,0.7901677916638911,0.776354704955307,0.6792595500291188,0.695355452761587,0.7487017875675169,0.8941459609052983,0.8560031603299132,0.6434660241825637
