observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,-1.4552746565166217,-1.2679665713463617,-0.8890476417067625,-0.7954430226773124,-0.4883576548821977,-0.8153327779826756,-0.9731217052044716,-0.6411371807016195,-0.7738256883253676,-0.6477887492582532,-0.8469799021515647,-0.7776677712811868,-0.8422452322703476,-0.8063850457970675,-0.6792914431762513,-1.006581957633696,-0.7014618303848723,-0.8727123778503425,-0.5972510667534066,-0.8438839537636315,-0.9732415164041102,-0.8977576691133113,-0.7535536566187069,-0.7070455905422476,-0.8444940243120347,-0.6885937689754622,-1.189720717538915,-0.8623628074283255,-1.6338689886417925,-1.3027889138459214,-1.1678724121728281,-1.2081757787367504,-0.7670748032940399,-1.381315695561883,-0.9974236258694261,-1.562583885207828,-1.1393771104751211,-0.8761766330803511,-0.7028090773783516,-1.0166336823952353,-0.7661475612108912,-1.4712266362345305,-0.6955578077910571,-0.7284572097232,-1.6607735296898736,-1.058013399448407,-0.7744143853250248,-0.6745839181916755,-0.771153626026947,-0.6306734880841103,-0.6497780179464369,-1.0786901668052065,-0.7463954088949551,-0.7247622413489091,-1.071281041800229,-1.012292387962729,-0.8666176843348443,-0.7507749829179498,-0.7792394293670406,-1.3860078977266714,-1.077542390804492,-0.736615662975447,-1.2173488187996326,-1.0128191552809651,-0.8735165128222849,-1.025062006329354,-0.9644152019637824,-1.5094504673198776,-0.659241044204339,-0.8356858705547466,-1.2231491789979017,-0.8118229493345243,-1.1562713365085613,-0.8838512441556099,-0.9520962653495935,-0.8026641715508863,-0.6887704124041976,-1.4381450262593862,-0.8271965879200305,-0.691354086581212,-0.9334060614537069,-0.7159146284558335,-0.9268859860041314,-0.6862805303657535,-0.7794702670764442,-0.7754485786116302,-0.9269518114505945,-0.790964398860628,-0.662785182498421,-0.8925017339682653,-0.8726539212062665,-0.8670771860798812,-0.7433967666721834,-0.5824370517773629,-0.6188110490029053,-0.8787804742571458,-0.8181342749446503,-0.7931634389667875,-0.8219376502249707,-0.9576981652208338,-0.9216067977892165,-1.7855969198612005,-1.4374783777203706,-0.7790301036890664,-0.9162843930340149,-1.2240846163330723,-1.1837378336079052,-1.69754303271525,-1.2317905633005684,-0.6138654257623801,-1.0758150532761588,-1.2610988859609487,-0.8732264426908132,-0.9439525147823826,-0.9415646583914535,-1.2785590022894624,-1.191111316154605,-1.0770254609832257,-0.9913262346104561,-0.9719453208454101,-0.8782139052896992,-0.8155572993689086,-0.8293358582190211,-0.8433271382781313
1,1,-0.8154092769507925,-1.6265545829226766,-0.45030418869777766,-3.4241425271822665,-0.5114456748659999,-1.8213433834365071,-0.6874228554943376,-0.6186227711954668,-0.6578252302129735,-2.0741668720854687,-1.4055920447543129,-0.8564776439049275,-1.0930696455288689,-1.4950148620661017,-0.8080269644297368,-1.9094684541179536,-0.49020099377597315,-0.42707161713342756,-0.874014230890608,-0.5762598731318249,-0.7216837323991233,-0.5620511610957811,-1.2710336540049298,-1.942666725897689,-0.6440011865213258,-0.5569783106961139,-1.2148888972288883,-0.8202792697482975,-1.2374831895675997,-0.5666199376662908,-0.6067496830188883,-0.7072130242817111,-0.5669444546159423,-0.7384425433438088,-1.368162211549913,-0.8080923587585552,-0.6521331222945683,-1.7309955089890043,-0.7613859010576187,-0.5608211180298537,-0.6879349507872763,-2.676747979188844,-1.468757026847018,-0.8162727767589837,-0.5966697190310493,-0.6390328353663915,-0.7833070235715908,-1.1476678329995096,-0.5589361540408628,-0.653882117915417,-0.939764997914494,-0.6201737134660491,-2.5188878807504125,-0.7995541876778174,-1.502975642314142,-2.8128799301476426,-1.245637476525091,-1.9334682187974264,-1.0753346329826092,-0.648465656769711,-1.1463861901113064,-1.1811978088920663,-1.0260169686520424,-0.9423865443386286,-1.9554882018832331,-1.6873074292508767,-0.5041474832021638,-0.8853583355560908,-4.46152809230067,-0.49079452941434465,-0.9598119458516975,-2.9610223937624705,-1.818882818721446,-0.543443072922297,-0.6655992333484655,-0.8525250778767453,-0.6753982940687191,-1.0086319240057549,-0.5433267540435797,-0.6769849916581057,-0.952934319001689,-1.7910118713132919,-0.565678378852254,-0.4335330136792148,-0.7595433479431365,-0.46966905378213364,-1.2369837554112095,-0.5088249987886841,-0.8569582140964593,-1.4971582952058342,-3.5761036111121847,-1.2496520818995742,-0.687744744013401,-0.4586746536114741,-0.3372997422032389,-1.7201833116347767,-0.6125737749858596,-1.1403306554202075,-0.623473192883953,-0.6190107692074812,-1.2215568861949402,-0.5824120720003032,-0.7367650711458036,-1.885859019323458,-4.506405114996233,-0.9479519484567493,-3.2220234532866323,-2.4386523339558535,-3.313861698440042,-5.065400994995512,-1.224892570944446,-0.5045123897854065,-1.7808383446472398,-0.5769155391571013,-0.8531990453279209,-0.8230937041874485,-1.1850153985971763,-0.5753154017893893,-0.6286645416455616,-1.3457811216396025,-0.7282482605671493,-2.037364480759174,-1.4912729699756953,-1.4619464474168482
2,2,-0.6206120831527345,-1.2974400256933802,-0.8059855350340259,-2.9730783409115467,-0.2713974473748193,-0.7978510311890423,-0.6214180513317701,-0.9190651691742855,-3.402391811390351,-1.0279876887082753,-1.3808661991215692,-0.8330426369647421,-0.6469754635503333,-0.7454023860747857,-0.5082648334291489,-1.493629468335695,-0.7963751127188579,-1.4476236254918082,-3.604442821332575,-1.2988375085744093,-0.8144645494071002,-1.018452360707905,-0.9323611837702119,-0.7538593564315526,-0.837227044179962,-0.5725490501789465,-0.7060455374667791,-0.7315266021998095,-1.5156012843125795,-0.5883516296289193,-0.526789307225648,-0.8025374230244143,-0.41262284858832465,-0.40143306133678713,-0.6152512004632731,-1.444765596250726,-1.282316612980925,-0.534713001944053,-0.47791078545408694,-2.0621884352573714,-0.5792424706772463,-1.8624765313042073,-1.6484681961447842,-0.9158813764617153,-1.7954291275529872,-2.1298598141003278,-1.8282164484894157,-1.7281766981176998,-2.2393823265263233,-2.6816291057918336,-2.924452094917683,-1.0252233019025054,-0.6507458254843516,-1.9667320045836674,-1.6592735131708207,-1.2267173924283459,-0.979762934429768,-1.222861219265646,-0.6848635187589345,-1.8807683298469133,-1.0861293552049587,-0.7659930897234516,-0.5275903573598157,-0.5249313330501127,-0.8672371097385752,-0.4650517687858597,-0.4987329733264222,-1.3563967201737124,-2.184482512845876,-0.4914815792862297,-1.0091698195558902,-1.290691306267341,-0.8554947798610728,-0.7785032138532597,-0.5094357744525647,-0.65755712768963,-0.4656417525110407,-1.4067579298754866,-0.4930928541118039,-0.8622003776570517,-0.9878202586206488,-0.9909864707520117,-0.6773326459733495,-0.49215054377870127,-1.491342924193995,-0.7120305218175516,-0.6179660227450431,-0.45961490191815213,-1.011503472311245,-1.2790796919190606,-1.7148271257235992,-0.46971952624451513,-1.2954963354152327,-0.8334331506570772,-0.513071883390658,-1.06407672418612,-0.5358742880165593,-1.9442591864972532,-0.5385860244337368,-0.6731402124078966,-0.5453728080176494,-0.8105596116969241,-0.5390698376595338,-1.2565568512775795,-0.6118748811877645,-1.3951155535672763,-0.9317182139104225,-0.38312176715114765,-0.8368312784653962,-0.50077400317989,-0.6825089080443798,-0.7519855381227263,-0.4581097774148233,-1.2231459215107745,-0.5155453047673761,-0.859372355039705,-0.6727786669376116,-0.4801027285772216,-0.45631762993783076,-0.7438062998465595,-0.41593491977882513,-0.5607438896811712,-0.5539604775052174,-1.2414210506817616
3,3,-0.9943180521049813,-1.0273116327561156,-0.7610756793209954,-0.6541219004404804,-1.9184144001251262,-0.6689410968149387,-0.656753335200342,-1.295529797453605,-0.7616685288514115,-0.6996090468160894,-2.1847931413275714,-1.4327446477957397,-0.573596590880272,-0.5670833857995378,-1.6018532777046173,-0.615646587153573,-0.5000132600994728,-1.7127477279370116,-0.5327100346883105,-0.6085141103269198,-1.0476742944377524,-0.8810540265399522,-0.8546241181165577,-0.9563311758350708,-0.5362271536070704,-0.6139543760991357,-1.2750164320252657,-1.15041577689276,-0.645894040048097,-1.259220363913181,-0.7584795199667655,-0.994436500642115,-1.25520817325058,-1.4438627577606236,-0.7920519835231271,-0.6963331805546579,-0.7441870405387262,-0.6169372744485608,-0.5094767750491693,-1.318276474124158,-0.47807713776141125,-1.0843586001464152,-1.660165318023713,-1.0093641118528138,-0.7105106123345761,-0.6304882522255283,-1.4741494383011422,-0.675245549337927,-0.5773822014508472,-0.5612768276099789,-1.1007112053557226,-1.7219668426711636,-0.7498332534726615,-0.997369489006893,-0.7928673289345272,-0.9454835392947959,-0.9211352090787339,-1.144963862808392,-1.65205413174078,-1.7455094936618474,-1.3515836643102803,-1.1343211239560849,-0.9443772033155144,-0.8660954927826205,-1.983455195712775,-1.0469982988048245,-0.8256302099107047,-2.0357947210838008,-1.4280392250939866,-0.5871538133302872,-2.500091069465121,-0.5964896424121404,-0.9798536175623802,-0.6032007093912971,-0.5239940272677197,-0.6473431713343025,-0.6105879646482969,-1.1875566526621895,-0.9009289010557056,-0.9184330092347872,-0.8626207049837366,-1.8488474684375151,-1.2206326381150197,-0.4898882080351822,-0.5488292634570546,-0.5301305218784594,-0.944062860824601,-0.5133749345068231,-1.1105278227181545,-1.7266193102864649,-1.292149809652376,-0.4916744283906345,-0.5680680728604554,-0.6828298700870347,-0.47004703320074614,-1.0766811167604622,-0.5948151508220775,-0.6159692334896505,-1.4145477162290008,-1.429431367076864,-0.5438389873868247,-2.902063737788513,-2.1269863072956343,-0.543139328823083,-1.5705257165240747,-1.147144704042429,-1.629528307870656,-0.5656375376169467,-1.009354374144667,-1.1996519992393995,-0.5997238563390562,-0.5492089137306029,-0.9728270147117289,-1.172488887288144,-0.7451269531908481,-0.6385295364599717,-0.6529577334401034,-0.48290723796969504,-0.8829925916436727,-0.7370520560351762,-0.9383551066597522,-1.3022965385570724,-0.8744115804090775,-0.7588331828913727
4,4,-1.3413601768711725,-0.9144895764293177,-0.5670241448129715,-0.6291756555701299,-0.21350125321355506,-1.4664148059311661,-0.5465350475294619,-0.6329724869025473,-1.284589490043802,-0.6102756090938858,-0.7511943028941184,-1.0787137171849,-0.5337793032459233,-0.6238195033511463,-0.4848787608831739,-0.6457739735820366,-0.47194123861848497,-1.984035785455829,-2.7100571691174835,-1.2825211046343337,-0.5604383041350185,-0.8180639433805275,-0.7020918443454155,-0.5669846209885498,-0.54349953010847,-0.5253936479662833,-0.9441892071403043,-1.5660689824766392,-1.8552361441819685,-1.6290991968271697,-0.7822186958548929,-0.7762652421091727,-0.5278683890475657,-0.45026810301610565,-0.9885106302967308,-0.5940109537016849,-1.708367978227051,-0.9681371810497491,-1.4523772400836885,-0.9627725313844605,-0.7425306723641018,-2.0995388674470252,-2.0498068198991084,-0.5309109048862057,-1.602647828090904,-1.3364514575384407,-0.6487227946576721,-3.7231299445739365,-0.5525181782974496,-1.2339101290970214,-2.8278789633347543,-1.0454014630670212,-1.5390432809021977,-0.9366281805036394,-0.6654650082154484,-2.330123956477702,-2.5094048959798956,-1.1683976910985452,-1.0222503337350997,-0.7096629976469745,-1.5831407476664112,-0.8680818284860105,-0.6304909164828048,-1.9883427959345408,-0.962726857600848,-0.9551453759706808,-2.134504162088181,-1.2510574530824194,-0.7823458143474358,-0.7757100753318663,-1.7305033967100882,-0.7496154913667188,-2.0589693665802185,-0.5329240459077436,-0.6941199861013794,-0.5228959951267603,-1.4643507452851923,-0.8715476743882482,-0.7288330713280746,-0.6016265501369555,-0.7680117461896578,-1.6764307385614878,-0.6181412958634342,-0.4813586275552925,-0.6089203242187768,-1.3059440637320523,-1.3248415020863287,-0.4026975732706142,-0.5627437642197607,-0.6897583092178057,-0.8324789274362927,-0.6273677803520386,-0.5424253830555832,-0.4134048025852224,-0.7885578342154906,-1.375270012451126,-0.5615316896977361,-1.5262277389523307,-1.1750847231963957,-0.6484479521998765,-0.5236664976830803,-0.5165291879166226,-0.5383894575082127,-0.5334261980848268,-0.6894339562802213,-1.9440613863024405,-0.9326476533649855,-1.1024798912359328,-0.8596314697148626,-0.4367045451286238,-0.628764573238889,-0.6101949510564361,-0.48636422504657756,-0.5744227646356943,-0.545010833214065,-0.534487133176341,-0.8497612339385949,-1.4210282421679385,-2.049812942011496,-1.8387872242045102,-2.9208284090077385,-2.0841981084321564,-1.780630203972469,-1.6478096487736402
5,5,-1.279845946413963,-0.5932069389592212,-0.5826217693369343,-2.1668934493816607,-0.37839682361256943,-0.6497936742545516,-0.5347370218289631,-2.562355682797257,-1.8627224463407854,-0.5639081540996608,-1.0382340326713158,-3.3866071110885456,-0.51327777646749,-0.8397703259485586,-1.9128604007779797,-0.5664052951416381,-0.5316554245859889,-1.3340322714610031,-0.5339586696405304,-1.3750494947162306,-1.6457958636769514,-1.778080554805868,-0.8095332184209983,-1.1724676494531063,-0.7227028092194739,-0.5824410129046852,-1.4642896944170047,-0.9010490528287207,-1.0395917032246023,-0.7013028652304902,-1.22044208692095,-1.4508966809294772,-0.9762622921187154,-0.7992176932753323,-2.1784103658277267,-1.9182480354401448,-1.3004397311949343,-0.9275434456397156,-1.3584291164952367,-1.7102309667273998,-0.5076971339210339,-1.6492286081118568,-2.693483133026977,-2.526823581000727,-1.4934204021017312,-0.8436024962723041,-0.880077867620612,-1.189348548268295,-0.6958051914509349,-0.9815372496061382,-1.6642557852895539,-0.6192825287819971,-0.7453777906945269,-1.1001596977904953,-0.7437529489687528,-0.8407797145936446,-2.830316871863357,-2.6623282012835894,-0.9530069526068686,-1.487864150971558,-1.846360642797726,-2.437241044894453,-1.1731988293024895,-0.6307852901758176,-1.3036149831036148,-0.5834665559602389,-0.9858558138739052,-3.1564023618558608,-1.8555589696374426,-0.5057000581812957,-1.2339265286281849,-2.9725951148351406,-1.672740806993116,-0.9345435395240023,-0.7433160221073141,-1.7908426461679805,-0.5419725165650161,-2.505621298790317,-3.0959808526196273,-1.9133328736021413,-0.6790435687290766,-2.914510775635205,-1.9088956068904528,-0.5799314177805123,-1.2151222732064413,-1.2726649287684246,-0.9398238977778978,-0.4726817414790483,-3.0893411261733252,-0.6531730830494105,-0.8382462776461449,-0.48902601788528594,-0.7615633399439601,-1.3534866410363944,-1.008607753348168,-1.6534420123156566,-0.9668773535188128,-1.2163481348031258,-0.7744975690874848,-1.1194341760688242,-0.9791402771394957,-1.8577770372579478,-1.3620371995730087,-0.5996010598563976,-1.2152443002835076,-0.6026291180240231,-1.0224831063877335,-1.4829777341314367,-0.8109159176031924,-0.7270463307133984,-1.6030833730598926,-1.266858908359371,-0.5814578054720527,-0.6480093621245513,-0.9430824688215849,-1.098738466102626,-0.6931760524148075,-0.9019385565117937,-1.0371625114033205,-0.974485800397259,-0.5360343776479195,-0.7238928938212891,-0.7359130603354463,-1.0062656797968677
6,6,-0.6382301858091833,-3.660721181275771,-2.2243440020173733,-0.665519203255121,-0.5712821260884526,-2.0697885704677077,-1.085547900999122,-0.7466307430844883,-2.3987654530432976,-1.629585811486354,-0.6245016137294976,-1.364099263493563,-1.7110125019613747,-1.9649261894952472,-0.9864621710799277,-1.6034230317337834,-0.6230622350934387,-0.6641643470963259,-1.72972218000326,-0.9055532593632458,-1.9039695194714965,-0.646683545325864,-1.2290659887102107,-0.6752065541565788,-2.051160083157826,-2.008313242005548,-0.8823999223940029,-2.418869317448806,-0.7289801486695989,-0.9660964153304811,-0.8090427443362358,-0.6585235017218851,-1.3897953564707404,-2.1450490002925298,-1.2499840450930986,-1.0963175553236864,-0.6454085843460301,-1.9882933554850026,-0.7458838382218154,-1.030233386543829,-1.423557056337879,-1.538603110022647,-1.4652242378689309,-1.471126053230777,-0.6703927626180954,-0.7781061952656521,-0.7918065424449547,-0.6301186292082939,-0.5543637238526987,-0.5629581180049743,-0.9037130788249901,-0.49635763491173945,-0.6645363531107055,-1.3419888082343014,-0.6327823030942534,-1.4494455977761675,-1.9726434629098792,-1.5588389405358036,-0.6817815527855938,-0.49995273081954095,-1.0803488852287013,-0.5706778961587899,-0.6288727590369598,-1.4365961585758247,-1.846161397706154,-1.9758583295006977,-1.3620120174220094,-0.7473373106813997,-0.6883951445089878,-0.9415592064394469,-1.276936308765281,-2.054568308548046,-0.5162767541380031,-1.8526600427719608,-2.0771915304982995,-2.258045914819906,-0.5891057476191979,-1.5397740444085697,-0.6711582783392163,-0.7331342705914846,-0.591676042246902,-1.3746300088996146,-0.8603330415098148,-1.668590854839202,-1.4759878411760388,-2.8476508894200414,-0.9661238154802341,-1.3616686096367472,-1.6033591768018285,-1.2865757188637392,-1.780486740716569,-1.8810120475132464,-3.0247076252361027,-1.0497515191464164,-1.6481310148508914,-1.0218380065712054,-2.503524691969239,-1.9524401861140812,-0.7242270124352699,-0.7008222059650168,-1.6953496572945883,-1.719870742550531,-0.6735043352691593,-1.7216671739357354,-1.615819421400953,-1.0050824135290473,-0.8280061916348571,-0.6274355844635733,-2.0735797699770138,-0.8447767975950224,-1.4842316750774653,-0.6382574321417152,-1.6447526450851642,-2.0823404212248877,-0.5427179061829308,-0.8636574226353182,-2.8673848401347075,-2.60760147455329,-0.9380797973557409,-1.9521562887057833,-1.1258289727734794,-0.6207216376657438,-1.3623585487949903,-0.9907333540274331
7,7,-5.0970568271525245,-1.301634594605932,-4.464825919325453,-3.234266260257567,-0.7166102412111832,-3.744415899100289,-4.189774729327758,-1.1307726474723627,-0.8982775285540477,-1.1461760954758131,-3.6634014170828593,-1.7977414531935219,-1.1373330342027188,-0.9662469311592967,-1.0427923881964372,-2.861716165337268,-0.9728233414986867,-1.003020019992909,-0.652937411473877,-1.7511686420809491,-3.145574918226084,-4.605334126253076,-3.1483139815032,-1.350939420718808,-2.957209825178487,-3.952093319855754,-3.466527172726966,-3.767699509687557,-3.6543051115846676,-0.9943503398896005,-0.7352446028601023,-0.848301747257603,-0.8469470008010733,-3.051083597213368,-1.6041579187158361,-0.9134989140314309,-1.9150389624493462,-1.9248360243747558,-0.5622038376182978,-1.9334726576049563,-2.6675930157198855,-2.3590211913147874,-0.9708382415885008,-1.0376969421159141,-6.266078628109807,-1.4484405348227434,-1.0912086979275255,-0.8818995037832698,-0.9264067926071332,-0.8736212304713791,-0.9238792144935446,-1.325007783816813,-1.2731210117205856,-3.615902996502364,-2.440561999538427,-0.694020018618077,-1.986335266187918,-1.0255291452727966,-7.102627684177993,-4.348824966097659,-1.9304120230543067,-0.8822551621206185,-0.6370813448261743,-0.6260727506035318,-0.8047762276971144,-2.161511073985626,-2.772165025845446,-0.8340954648528446,-0.648812197633242,-5.946642266708291,-1.5640628109167278,-0.6332331888605274,-2.008667653712509,-3.3701277783368995,-1.104993291159134,-0.88607103394274,-1.0879053413438222,-3.3043281075880944,-2.142241173427055,-0.9130233772225604,-1.6415894308896977,-3.6432022042632726,-0.77447140695852,-0.9259192024577352,-1.292120370501316,-1.502514158811003,-0.633212650430605,-3.0351543945677544,-0.8154599921109573,-1.9231262059481473,-1.698539580608341,-0.6852758862408319,-1.5433688311344613,-0.6670866385065397,-0.9787358848394827,-4.247617752171438,-2.424706662808077,-0.91782455607253,-0.7914516275193544,-0.813006495274859,-1.3565627779138603,-0.6533252428024746,-3.8841435893638203,-3.512320570215417,-4.170476364157582,-1.4308893190458196,-2.9960909750257327,-1.5083331977776169,-4.047592941647514,-1.1166276293888229,-0.8129838835420288,-1.0653831969751817,-1.5701022006915775,-3.7975918287086428,-1.8011875586960888,-0.8829013296971745,-0.9383821570298096,-3.1928752261204876,-0.9902549666296978,-0.8178822243336539,-3.728837192345165,-2.231162166528374,-1.4369101946419884,-1.6092850374556242
8,8,-0.6356758524014063,-0.9950603644210263,-0.6841905460819355,-1.719475735030402,-0.4635181223475878,-1.9299564815457724,-1.0217334273415632,-1.949978006542576,-0.5557826295836079,-0.5924631600439321,-0.7171559370777989,-2.228933183731365,-0.6446214925957854,-1.3989809083159876,-2.816255616760391,-2.459227685560956,-0.663477148787857,-1.829453787555494,-0.800883530648548,-1.5497312508238037,-0.8028190145753005,-1.2015181056636686,-0.7551976927889862,-2.8999126826786576,-0.7839993549807747,-0.7712188314820732,-2.068531617988272,-2.127605253386276,-0.7396429294139926,-5.571983502237993,-3.5135917674117874,-2.7098429152668526,-1.1786698923359746,-1.2230810084941184,-1.6289405291658505,-2.215519208455831,-0.785086793867213,-0.870891855286445,-1.2839746836678678,-0.9883789461472559,-1.3491789939253331,-1.102448675752119,-0.8276062087892834,-0.9117707931247825,-0.9050868707228398,-0.5964312036653341,-0.6729982881289378,-0.5624078715848716,-2.494821877083451,-0.5780136809507993,-1.1394212838764237,-0.4344548525992057,-2.3205229517600934,-0.6635014272397172,-1.5154207357870386,-0.55592676008564,-1.8831672496699938,-1.2182782144569044,-1.0011937311272072,-0.568179869095958,-0.5264322115794384,-1.7536898805794459,-0.6193034800078128,-1.04603002608384,-1.0646175738399393,-1.4279680303359377,-1.6067106457466862,-2.8382544936086265,-1.4586764236783578,-1.9583484576911958,-0.8391800253353255,-1.9913957366884114,-2.207886987511941,-2.341241524633973,-2.1340246964988996,-2.4342606726310363,-1.5038328348618064,-3.44620198977838,-1.574509161025547,-0.8850850793791302,-3.092712975064453,-0.6115916993580099,-2.759703775332417,-0.896284428401781,-0.9611757825832945,-1.8614481320789897,-1.2583379592512163,-0.5363875507193916,-0.4458635385171271,-0.7845644987872922,-1.0110542220569616,-1.488259787851914,-1.3674680430841653,-1.2336723850436355,-1.6119094625390091,-1.6421533051719934,-2.2610121415530706,-1.2378403473646877,-1.5321579153561085,-0.6411830512097307,-1.0735540393234733,-2.027896924381477,-0.7336049670379078,-1.0506778080567034,-0.7768043537200506,-0.8029304487258865,-0.7014361704193417,-1.1386788276337123,-1.9274472781105767,-0.49925085365437594,-0.5710104573975414,-0.911750837608843,-0.8777935307810454,-0.5836468615428582,-0.9978540386644805,-1.374861555707332,-1.4447086979190102,-2.1173517172663185,-0.6238160868312614,-0.5896147781751746,-1.5240210145077184,-0.889808934931615,-2.6278522891413165,-0.6355006558976374
9,9,-2.441628413411527,-0.5568641245057598,-0.47622150160194976,-0.6166283893398097,-0.526441957501203,-0.6748947859037988,-1.012458240544042,-0.5560111968286199,-1.0417297644360577,-0.5890573612486393,-0.6332211304767532,-0.8296426414506688,-0.9507088907911044,-1.0104678887782652,-1.3347848981158972,-1.2208785368748623,-1.4132484133257028,-0.45308897693224404,-0.5770222674469432,-0.7566753877411442,-2.488846564991339,-0.4920705414829629,-2.5260656623755664,-1.6186328766977527,-0.6619024752845369,-0.8444898428494967,-1.0417321730056488,-0.9028560252085247,-0.7960879495510675,-0.5792455586746471,-0.7163767720740886,-2.684533637797615,-0.5247687848323801,-0.9983634520542903,-2.925312056794759,-0.6123823666424417,-0.8245138201292281,-0.6001614994911599,-0.604098846226945,-0.6843252221243152,-0.4509016384401522,-1.056157444603931,-0.729247503691657,-0.578871151020593,-1.112205719053741,-1.6959015745671304,-0.7970179032801747,-0.88430801987156,-0.5915235208986258,-2.4293708161770766,-1.0929696286069235,-0.7969568879096172,-0.621193263686606,-1.0469798029579516,-0.6509905885089756,-0.653794837172782,-1.3774422573038672,-0.5405501382368196,-1.758099957240961,-0.607173094579952,-0.630285419872471,-0.7148539145254275,-1.3923577527273039,-0.634690711701164,-0.7235568257116726,-1.6014354854229578,-0.7492405613494667,-0.6826159806365921,-1.189567908710123,-0.44981017857036976,-0.7013385358669029,-0.9039960700714529,-0.5480943447080495,-0.8820144998043729,-0.9524358217053681,-1.106512845960537,-0.4715955678001305,-0.6289919448262592,-0.4990214653350287,-0.5530965064897022,-0.5542617159271684,-0.4637152938198604,-1.3563335058685846,-0.4639516473599475,-1.3708548690376738,-1.2822534822074194,-0.5504203642545709,-0.5435423731004103,-0.796972076222854,-1.0923890790898931,-0.8297547186092558,-0.5336399562213625,-0.6190897761069016,-2.2372616498461864,-0.5425004627716253,-0.5832087539036168,-0.9368797696850463,-0.564162372575429,-1.1569323542608394,-1.6014531229632056,-0.7387174304058606,-1.2119258839630134,-0.9103941999870504,-0.8035877160555336,-1.4390391911061058,-1.8078264145408869,-0.7460910978034345,-0.5012627596147828,-0.7403458987810245,-0.6515117484431862,-0.6862586201930223,-0.529001968645531,-0.44219267265864387,-0.7423435602547139,-0.5682344734742077,-0.830173818160457,-0.6151743229100639,-1.2141379920873812,-0.5470445858888121,-0.7355694526543054,-0.4769136790992754,-0.6105688208570808,-0.6824643658742341,-0.6001508605111163
