statistic,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
EXPV,0.21698035477198618,0.27669680992704426,0.41154983059426964,0.22914262901641658,0.40977939622571746,0.2256831480248792,0.3427809149866129,0.2957241900027653,0.38282756679488383,0.3193741629959862,0.31261512279924886,0.2825826473698009,0.3283731647957986,0.35145935610747236,0.32418346045032653,0.32224602143783,0.3706262882572081,0.5267879265179507,0.3735310836040381,0.24881423834678074,0.25245128262684535,0.30544665966308293,0.28940581884261807,0.4323979361062059,0.3064529984969284,0.33280585767728177,0.242158629919084,0.262305322333944,0.319597794620737,0.20140974197021266,0.31958768044657104,0.2062206224213471,0.27401521026377706,0.3193166542689114,0.3245461209162286,0.29538624002163294,0.2335180810265619,0.26268852361287065,0.49714300493691843,0.24024346610164293,0.4474862847616131,0.33635662210570105,0.3506754871731306,0.2992058814958678,0.17755975044899408,0.2914434586221506,0.19895117033419285,0.33998407575456413,0.35572249190235805,0.38696580717734574,0.38041208736535936,0.31752587303565505,0.15087527241231413,0.2500114078314275,0.2004015595969857,0.16961567290286572,0.35343827314463394,0.3074683311067754,0.3164853972806215,0.3227080681347497,0.35360191270859787,0.3619913686512861,0.2916716994454377,0.35616723046738974,0.3440582331842532,0.36701350219961926,0.3563544256804918,0.31542463813575217,0.36728326161526903,0.39777522804138077,0.22845475281973615,0.26141014048731925,0.26889237169082836,0.3938649685360607,0.37361906165080117,0.3161688416745857,0.4018113371115837,0.23629257738350518,0.3331354665729577,0.3360283119286054,0.3319567737185797,0.38503140975091343,0.35610414968033655,0.33343784705038904,0.2956737807390415,0.2910939241428503,0.34476268773127516,0.39383097357546915,0.2674723809602303,0.2479725702439366,0.30781501306966486,0.36158521186107284,0.28163017071758023,0.2462701503719218,0.3477749945300933,0.34578648363992637,0.34377300260057875,0.29550860396026424,0.3431598084555546,0.11517099916960971,0.33814870216766213,0.3570941683940525,0.20408785731187662,0.3721044261071712,0.1329355269207887,0.15278154813622735,0.11615512540444417,0.20619662160296226,0.09913550723919595,0.19479819942859156,0.2089440399711313,0.26254351024545686,0.3844427522401874,0.21557720719154594,0.28069398472313445,0.1996817208437286,0.2885315082461296,0.41914097021954977,0.3927659765571416,0.31759663915514125,0.34089554219769147,0.28709790710401983,0.28724068429905203,0.28571140251934857
MACE,0.01216152019002374,0.009738717339667424,0.01686460807600949,0.004038004750593807,0.01923990498812351,0.009786223277909732,0.007410926365795727,0.014061757719714973,0.00883610451306413,0.01097387173396674,0.003610451306413297,0.008598574821852712,0.010451306413301638,0.007410926365795732,0.00503562945368171,0.006223277909738707,0.007600950118764836,0.008598574821852733,0.006698337292161505,0.009786223277909744,0.011448931116389527,0.005938242280285021,0.00669833729216152,0.009073634204275538,0.008076009501187625,0.006223277909738709,0.011401425178147235,0.007648456057007128,0.01382422802850356,0.009501187648456016,0.00926365795724466,0.006935866983372922,0.0057007125890736355,0.011448931116389536,0.011211401425178158,0.009073634204275533,0.014299287410926353,0.00669833729216152,0.008598574821852735,0.00859857482185274,0.012399049881235167,0.012114014251781439,0.008598574821852728,0.013064133016627056,0.01596199524940617,0.006223277909738723,0.008361045130641334,0.011638954869358639,0.013349168646080772,0.010023752969121145,0.010498812351543933,0.007838479809976234,0.013349168646080772,0.00902612826603327,0.007410926365795716,0.007410926365795711,0.006223277909738716,0.010973871733966753,0.009786223277909744,0.013539192399049865,0.013586698337292152,0.008836104513064137,0.008123515439429931,0.01472684085510687,0.010736342042755347,0.004750593824228029,0.0028978622327790913,0.00883610451306412,0.010261282660332532,0.004275534441805204,0.01049881235154395,0.009738717339667424,0.012874109263657962,0.009311163895486935,0.00669833729216152,0.005985748218527315,0.01021377672209026,0.01092636579572445,0.007173396674584327,0.01073634204275534,0.005748218527315917,0.0076484560570071304,0.007173396674584326,0.005035629453681712,0.01857482185273158,0.011163895486935867,0.012161520190023744,0.0062232779097387185,0.019002375296912087,0.008123515439429931,0.01140142517814725,0.005273159144893108,0.00883610451306414,0.0062232779097387185,0.009786223277909751,0.009073634204275533,0.008123515439429917,0.010261282660332539,0.010688836104513027,0.020427553444180506,0.00669833729216152,0.005273159144893116,0.01140142517814726,0.008361045130641313,0.008598574821852743,0.022802850356294518,0.015914489311163873,0.012636579572446544,0.013349168646080753,0.011448931116389564,0.012161520190023757,0.007600950118764817,0.009786223277909734,0.007410926365795716,0.006413301662707815,0.011876484560570059,0.01239904988123515,0.006460807600950119,0.009311163895486934,0.010973871733966762,0.006223277909738721,0.01382422802850356,0.007173396674584327,0.011448931116389557
MAPE,0.21222064721204328,0.5217230320625189,0.12610985366180893,0.183816181651289,0.13168466558542063,0.1525547141422056,0.11426022917449405,0.12023222571215428,0.1576169501611728,0.34296139436262535,0.14448384072959947,0.13464785322629755,0.11451521629847253,0.09643844658211195,0.08704684538310214,0.08738028366115647,0.11493852794945793,0.1318061224278392,0.1435921920512582,0.131187832125528,0.11657739498080472,0.1045785047972057,0.11597812202322516,0.09639730737543531,0.11582744060413444,0.12009851965891939,0.12879649081565908,0.13211399910451538,0.1259359584506191,0.14046774162810624,0.12266651147699792,0.147703357729426,0.11903444039540569,0.12113535326702582,0.1215952301640262,0.11933416143602377,0.1297800801091492,0.11156168398943729,0.08277113200754545,0.08312349399862035,0.09991238751249397,0.0917376413425611,0.09310574917661495,0.13434669742006422,0.13637173433745994,0.10647333468440447,0.11633789680512013,0.13233167790465886,0.14612954861476268,0.1166473409533223,0.11494586293802914,0.14607371913886846,0.1569499992604608,0.15737599842650885,0.14624505094208376,0.11854209359996927,0.09414985640313948,0.11069476403264383,0.0978880402525929,0.12941347829753827,0.10288668241004392,0.10552513660417413,0.10387126679655641,0.0986225785265862,0.09810345843714019,0.09003519988122444,0.08538103216422395,0.12721269246964279,0.13105760340896333,0.12348390905937683,0.12105330397556206,0.1504297647998771,0.11058884526695852,0.09219282961038454,0.09685199398901212,0.10126349876264966,0.09477353522521981,0.18256419999361537,0.1113427313688007,0.12379634220047614,0.159900524933335,0.10395679787848322,0.11719733193815467,0.10060880625114524,0.10690075973470711,0.10761469424878056,0.10433547716895201,0.10065486714974513,0.12251014176562505,0.10478873793423849,0.10203829421671087,0.11227594609540602,0.10765411211776955,0.11583852609659474,0.10203222888020007,0.09586140321949677,0.10414801980406117,0.0947403270224224,0.1224111115367235,0.1334441920211492,0.11264080202604626,0.11718879384475817,0.15751878528019814,0.09768972688774402,0.17423634905330185,0.30699804154764154,0.17594165840328443,0.12428930239215238,0.20650934382215674,0.1388563382828534,0.10995082535986081,0.11821378202542533,0.091217674679358,0.09645920639798888,0.1213129144404693,0.10853346232905524,0.1139804753582529,0.09008804987821192,0.10055871648916685,0.10999274957808512,0.09678131311177152,0.09926745500349035,0.10629873262070064,0.11484719259478646
MSLL,-2.40355276081777,-1.6569891803191232,-2.376889040183622,-2.8704522217199786,-3.1092945030646457,-3.3081181612352677,-3.020116874965626,-3.20277093099458,-3.4929571715486825,-3.640871210847612,-2.5433631036317434,-2.7693297560513743,-3.079500330644346,-3.5863313799413126,-3.576453132017975,-3.7755702477230275,-3.581846246707774,-3.4808940223191063,-3.219984253032366,-2.9857135379698465,-3.0600838844997593,-3.5098496274183573,-3.4301979047295967,-3.794288769336604,-2.7258996910778235,-2.6712719369079068,-2.8512810490426244,-2.700739169258237,-2.6203752977220596,-2.338070484171789,-2.4559280161511383,-2.5511277319395305,-2.7477837479579534,-2.6044311821345456,-2.8214839264219704,-2.7919596064847347,-2.6145497564981537,-2.72374701126047,-4.483852672856564,-3.6870540436189936,-4.4268788613516525,-4.229783545010971,-3.903859035113173,-3.1504991437233563,-1.678727215109884,-3.6025592864197726,-3.50828142470205,-3.3928425829972326,-3.6796242769602934,-3.871364187041671,-3.5910335588166795,-2.8188726487192755,-2.3596027924547056,-2.8636611687570013,-3.348470607990797,-3.589695963331316,-3.7891938325675416,-3.778190627423838,-3.829857040524919,-4.087856082038269,-3.8422926837446694,-3.6973387671263813,-3.2418667629973585,-3.6362092790697664,-3.967933033485205,-3.7146680601128295,-3.7054672136659974,-2.9211766491031774,-3.008470241758047,-3.2551710516209758,-2.891478970489079,-2.933332331611249,-3.062365337986534,-4.238603407785404,-4.151810404166159,-4.26951508742531,-3.7233242891907574,-3.13593168989099,-3.486129853137913,-3.286356227955724,-2.883896577253062,-3.8622500323530637,-3.3263396414950646,-3.8060923875341603,-3.4793578891877086,-3.7072448881696958,-3.115857664816201,-3.5532887204775436,-2.571146598865603,-3.3132279815305985,-3.7034581495897783,-3.7232507674167286,-2.5206027062249126,-3.112666331790895,-3.7377354851270743,-3.3035514689747645,-3.3174750130162898,-3.1958459185793116,-3.0872976459505086,-2.037235705771085,-3.3488154065064517,-3.5070494369986314,-2.407883628280909,-3.568495931308129,-2.042283339755091,-1.847554526028916,-2.282618987185315,-2.6420971279038192,-1.8994763512008688,-2.814102043058253,-3.771836367473368,-4.388675208737768,-3.9696578707416292,-3.9240875549270573,-2.454466960582115,-4.2059770382238835,-4.1437072728276245,-4.085364619072882,-4.086635139304118,-4.506177356892348,-4.011186678845501,-3.8807552952372912,-3.387389686101785,-3.5286301461167238
NLL,1.3010935493175066,1.2228476899384837,1.120439560215871,1.2976215428709008,0.9865880962313541,1.2957836293426728,1.2014198272108139,1.2384815590000435,1.1812720981104006,1.212771881653002,1.2498413624766973,1.2212379900394637,1.1976903420903504,1.1959496648583692,1.219092194118948,1.2291181669153137,1.1835587386144815,1.0536282782958062,1.1924542295298608,1.271766848198466,1.2495029681039593,1.214439944038058,1.265342958542269,1.1518957597426132,1.2288706294287202,1.2066779923278144,1.2828625637610198,1.2821071844694745,1.2265567435620979,1.286622234765881,1.2440064978001104,1.3174359192469425,1.2271126140864579,1.1964795953925413,1.2343896765951956,1.2665476554128643,1.288549940753033,1.2714058845348002,1.0747294570036872,1.2884312736452348,1.1403804838483171,1.2020746981153398,1.194682073605145,1.2182362426166304,1.320547384992481,1.270294952294756,1.3238272188362452,1.2345321530821076,1.212550926272787,1.19827495233334,1.1878749118647074,1.184039808968696,1.3549807359853099,1.3099379299385343,1.317924225480412,1.2513920444738964,1.2098942125052026,1.228716466125087,1.152474292583366,1.1933607512580153,1.184611901671566,1.1971190945447765,1.2311586454251369,1.1494884987118954,1.2222666767584516,1.1878780170060605,1.1942360942626387,1.2451410603417397,1.1845967170151428,1.1667836383659553,1.3092492628290358,1.2587778483682137,1.2290627438810318,1.1743508369054114,1.1868597694755256,1.237964373224797,1.1609402983723751,1.280547628588989,1.2265982285323536,1.2165182556925282,1.2281169423400455,1.172190241659174,1.2010619773067028,1.1998775054829847,1.2377213768786504,1.2160155232129184,1.211601972881517,1.1366867727215533,1.0679956370636334,1.29289353386525,1.2045076199606708,1.1927970180164265,1.254495955094242,1.2354103921317605,1.1471489272445163,1.2232666777923364,1.221741902315331,1.2307256466261887,1.2216959206592994,1.3574343473013062,1.2318771951685719,1.2168610337899972,1.3146390523337201,1.210183415384366,1.3540107534196566,1.2705038886839974,1.367485853705671,1.2007370759112659,1.375601884494582,1.2413349629986652,1.294606675588987,1.2686330041018965,1.137494179901974,1.296519304002656,1.2532031997126332,1.3145347000656045,1.23915306335124,1.143376167741803,1.176139897837348,1.2549261074404972,1.1896295072972474,1.269559449309478,1.264460490862925,1.270573132499404
R2,0.21672442795347358,0.2765400082962428,0.41093083936504426,0.22905987181427334,0.4097708065845259,0.22554884510129125,0.34270145856010503,0.29568777118760026,0.3827547973754267,0.3191443909018524,0.3125303411260929,0.2819869357549615,0.327854034804806,0.35139580018830796,0.3241511843561067,0.3221908666272383,0.37035796206687666,0.5265519967410575,0.373507204499569,0.24881408458136334,0.2524425385368577,0.30537677868811997,0.2894056678740363,0.4323940630702485,0.30620183159493797,0.33236576609109414,0.2419153248354735,0.2622962454725444,0.3195875819638616,0.20130274903853063,0.3195463082064175,0.20488473594958645,0.2737003422565709,0.31879895362722466,0.32447003369330296,0.29533543372790894,0.2334615430852096,0.26255723995478997,0.4970918854068751,0.24011560041544167,0.44746807298054303,0.3362697038008521,0.350669863863623,0.29880418056936686,0.17747416838951002,0.29142450459065405,0.19883229302609962,0.3399783455909665,0.35564375550677174,0.38696475647664297,0.38035846082832536,0.3174475128245777,0.1508155573858686,0.2500106009832378,0.2002727669732388,0.16754142574237907,0.3534312362578441,0.3073189210004057,0.3157701156459476,0.3224661754644762,0.3536009189455479,0.36199027161865815,0.2912879659594023,0.35517075318835056,0.3439877722208752,0.36690842242672883,0.3562048233614845,0.3154205556029065,0.36712343889122434,0.39743620928751966,0.22842373452318332,0.2609131053589928,0.2685030186574562,0.39382680093940836,0.37355505022207725,0.3161451206355562,0.40175520810905985,0.23624757975145005,0.3331259424191131,0.33600103733522657,0.33195358089004445,0.3850077201926104,0.35597419502116556,0.333408361368969,0.2954817268951073,0.29068665684154826,0.3447241178401542,0.39368459893221175,0.2658922380170514,0.24795464016533142,0.3071163004795583,0.361510645251259,0.2816155795523976,0.24563397951095334,0.3460576641535509,0.3457540429000332,0.34374365901365267,0.2951141892861482,0.3431519542843845,0.11512731930142472,0.33813676571075235,0.3570644696589079,0.20407571947085523,0.3721040809635965,0.1327143712632739,0.1522674355791216,0.11309500743183043,0.20497631354916335,0.09631178134850005,0.19121846608768833,0.20887043701454877,0.26254073852223836,0.3844051585170395,0.21555056291573904,0.28045853621946193,0.19967019089494975,0.28840719371104473,0.41911938710589924,0.39264097701267686,0.3175963631158992,0.34038560023702746,0.287044235236558,0.28710311708541014,0.2857085911991917
RMSE,8.702170057104937,3.665788006049803,6.133614555275838,13.722858550979927,11.171008428000652,21.267134789878423,13.367009418608346,17.23680976427019,20.369654624166476,25.597688329032383,8.907531380507498,11.089463857348916,14.2907469809919,23.263281276257832,24.063925604825823,29.704694847718997,22.53713841507684,15.513756933936135,15.794960717051502,14.812787124061295,15.56735769906686,22.718014140307464,22.326527472956556,25.638164928827635,10.517543738387895,9.554421114680803,13.153988020139618,11.154035322046784,9.350832944508674,8.112187238527891,8.072782561495544,10.329367209213027,10.979847312706882,8.935421729890386,11.482293915612829,11.758213735978984,10.498432487687563,11.290153328159052,44.521387713630105,30.546566889257626,47.07296202860964,45.0593276510758,31.934775972380656,15.995585999503389,4.404595252829648,26.620094717320633,27.175820328155087,20.09949892158775,25.880373575939366,30.145455453274987,22.66139627272403,10.946458717774552,9.15138798881824,13.610104051971126,23.00505596143077,27.951295945512825,28.850047811679975,30.095503215282125,29.18521178037906,39.15900462218898,29.659929373562075,25.811456782868305,17.84875715774933,23.27487329087101,35.1798421328232,25.92058514891924,26.06458375627092,12.90873077516794,12.748179595251276,15.63849160107393,14.184216336872325,13.763246695014873,15.122118238287005,42.254926397393724,39.880379115267075,49.33018439238258,24.74066943614488,17.51022481544368,22.003741639246936,17.80000262133775,12.077886001315763,29.14924344501915,17.965528593997647,29.49564223436524,22.71488025835335,28.010877827387205,14.837705880847007,20.50891106400905,7.8904564074113495,21.00380608050736,27.264368826642798,26.384695186573605,8.942229150255802,16.25173050131671,25.882778576356802,18.09695432988566,18.350860750655805,16.992520931520243,14.583689508119013,6.784060156759991,19.20951826017492,21.84815603021875,8.930376328922629,22.806609478396147,6.7272208184293465,5.035560541497322,8.768428509558907,10.066408456462655,6.0830381568129175,12.55834332358919,34.136177503532686,59.50720895684142,31.363048139480103,39.65756582263758,8.365876110617434,54.066107870386226,44.424765112747565,34.40483955460976,36.39818490400582,63.50368619273828,35.65280139212885,35.24093244601074,21.40666660526602,24.82950374576206
Rho,0.3726530163733218,0.4537624500864691,0.5529296008287847,0.38711417667255515,0.6049621090274393,0.465938427439876,0.5455882014330019,0.42770072674522325,0.43557745179977936,0.437408283644902,0.46641876076814826,0.45490015508267495,0.490902765614596,0.5213264907493926,0.47857677673280963,0.4852128951268938,0.45613998780255877,0.5435250667973129,0.4616276085173387,0.4600470610174868,0.4812050086119752,0.48505591585279084,0.427587570600528,0.5337572604634228,0.4939259283196069,0.5157112804005071,0.3684253307313649,0.42799781941931303,0.47325932243566077,0.3970401456369193,0.4317192976607291,0.35691039963875365,0.45151712005534483,0.46161125525322266,0.4940082072501874,0.436340175275002,0.3732761792632634,0.4304022115984995,0.5774366377256978,0.3797135054891309,0.5843152034493738,0.5072560397818874,0.5423042207497801,0.5253686015201905,0.36986052816828924,0.5269620748329824,0.44481207069303186,0.5585627726300217,0.5428548543503169,0.5097145273928335,0.5035995423963476,0.44746720957160663,0.34460307758536146,0.3799379884644039,0.4203958633759076,0.42355775241855254,0.542363542793304,0.49015410373525437,0.5289172598333873,0.4811851374360947,0.5202877318147842,0.5214260778058539,0.5106315565292182,0.5010038361242379,0.4792220823645139,0.5171559259433128,0.48747693267785813,0.4158144667828075,0.4435673430502073,0.5420782803539191,0.35717190289065454,0.4323204183206727,0.4473633909698516,0.48421423033522265,0.5009589978260067,0.4602750317509949,0.4986648368991629,0.38739275507958787,0.5057210341626195,0.48710728056083397,0.42757837377405816,0.5231414819403991,0.4789936995327706,0.5020304632888476,0.5000571258637383,0.4938395384578502,0.4444795074171806,0.5257519734930957,0.4887982301830284,0.45796199471474097,0.45849880794763187,0.49024100620701094,0.4212623652481794,0.41951504862834305,0.45348783412339555,0.47209080281282906,0.49639753271584586,0.48588793213859527,0.45047280282014857,0.27097646104049483,0.4580680245753193,0.5141554085388881,0.37682936060587163,0.469874005791272,0.3300514248856643,0.38817118854363264,0.3240898928590481,0.4109295548138533,0.29019251128987095,0.4246487171637444,0.39590059350467316,0.46680837686567694,0.5502895990219733,0.3866308759031887,0.411984325272578,0.381919326625983,0.4208637154870402,0.47388834516148415,0.4244615240531737,0.41194021065905273,0.44119636098160586,0.43308251862295427,0.42664807708473357,0.47721165369995516
Rho_p,3.9267176116678436e-29,5.350260881418046e-44,1.3723508481205688e-68,1.719902347557637e-31,3.471681128626993e-85,1.338033793481214e-46,1.777553200773269e-66,9.028477835809425e-39,2.6512045777522974e-40,1.1521019049507499e-40,1.0511249752087018e-46,3.0880527719183277e-44,2.831981688765447e-52,7.432843785552812e-60,2.05298403085255e-49,6.1228742403397e-51,1.6925409747638474e-44,6.824810820222165e-66,1.1473418700788313e-45,2.5033937875950685e-45,5.155174740805663e-50,6.659292186379663e-51,9.491441974381258e-39,3.5148101469021456e-63,5.401932638924593e-53,2.1310986245528255e-58,1.8253101998553364e-28,7.916903012734861e-39,3.241502431486222e-48,3.523562967701967e-33,1.5100006563152114e-39,1.0694581589209143e-26,1.573279148917859e-43,1.1566653905140985e-45,5.162560221249538e-53,1.8746627993367527e-40,3.124844557756176e-29,2.7206532501507173e-39,4.914985456015346e-76,2.866333703837454e-30,3.0650778354392585e-78,2.96805209956558e-56,1.506328705074418e-65,6.382587705479796e-61,1.0862067387706314e-28,2.402864367218776e-61,3.758427780794565e-42,3.0243758166821625e-70,1.0544324089708584e-65,7.166510400182186e-57,2.4049787483817514e-55,1.0787620335963165e-42,6.917903019451756e-25,2.6346630398265507e-30,2.191845316234706e-37,5.564238096241453e-38,1.4495907869678728e-65,4.257641804216098e-52,7.195473342081607e-62,5.209553196714151e-50,1.3894012546946795e-59,6.999386518455301e-60,4.205415473245768e-57,1.0458952486000357e-54,1.4639180871769475e-49,9.041490493779909e-59,1.8147357192551148e-51,1.5571789035991516e-36,6.721832881642551e-42,1.7433996375519463e-65,9.768184248268671e-27,1.1531918500998391e-39,1.1329524413784536e-42,1.0439106121368796e-50,1.0726729464065148e-54,2.2375181209770285e-45,3.890855143922901e-54,1.5448893013983823e-31,7.1657806725990975e-56,2.2146970650367263e-51,9.530088842196317e-39,2.4785967713620738e-60,1.6501810541942495e-49,5.8568016836217165e-55,1.7821906460593761e-54,5.665143387029098e-53,4.391027186602673e-42,5.0481109270110596e-61,8.886988496522053e-52,6.963296614816321e-45,5.3545675228885384e-45,4.061036175036978e-52,1.5075504953535489e-37,3.2029278988264606e-37,6.10737117030109e-44,5.905721038984353e-48,1.3769173234053699e-53,4.264816905446934e-51,2.5911216942805756e-43,1.2293131456035146e-15,6.61144150996604e-45,5.341206879437278e-58,8.414855558574908e-30,1.831285263456048e-47,7.570530430222522e-23,1.1440021045088574e-31,4.824021113685707e-22,1.2186478161241232e-35,8.423359039452408e-18,3.455381202248306e-38,5.543337104671902e-33,8.640010508100016e-47,8.000586687267663e-68,2.0713530333381735e-31,7.837724980305056e-36,1.2486156243582074e-30,1.7910566781025837e-37,2.344688217615451e-48,3.7501834396491503e-38,7.984006820979177e-36,2.0208377361835505e-41,8.187176493809873e-40,1.4365731116895798e-38,4.188417207562375e-49
SMSE,0.7832755720465263,0.7234599917037572,0.5890691606349556,0.7709401281857267,0.5902291934154741,0.7744511548987086,0.6572985414398949,0.7043122288123999,0.6172452026245733,0.6808556090981476,0.6874696588739071,0.7180130642450385,0.6721459651951939,0.6486041998116922,0.6758488156438932,0.6778091333727617,0.6296420379331233,0.47344800325894254,0.626492795500431,0.7511859154186367,0.7475574614631423,0.6946232213118801,0.7105943321259638,0.5676059369297515,0.6937981684050621,0.6676342339089057,0.7580846751645265,0.7377037545274556,0.6804124180361385,0.7986972509614694,0.6804536917935825,0.7951152640504134,0.7262996577434291,0.6812010463727753,0.6755299663066969,0.7046645662720911,0.7665384569147904,0.73744276004521,0.5029081145931249,0.7598843995845583,0.552531927019457,0.663730296199148,0.649330136136377,0.701195819430633,0.82252583161049,0.7085754954093458,0.8011677069739004,0.6600216544090336,0.6443562444932283,0.613035243523357,0.6196415391716745,0.6825524871754223,0.8491844426141315,0.7499893990167622,0.7997272330267612,0.8324585742576209,0.6465687637421559,0.6926810789995943,0.6842298843540524,0.6775338245355237,0.6463990810544521,0.638009728381342,0.7087120340405977,0.6448292468116495,0.6560122277791249,0.6330915775732712,0.6437951766385155,0.6845794443970934,0.6328765611087758,0.6025637907124803,0.7715762654768167,0.7390868946410072,0.7314969813425437,0.6061731990605916,0.6264449497779226,0.6838548793644438,0.5982447918909402,0.76375242024855,0.6668740575808868,0.6639989626647734,0.6680464191099555,0.6149922798073896,0.6440258049788344,0.666591638631031,0.7045182731048927,0.7093133431584516,0.6552758821598458,0.6063154010677883,0.7341077619829487,0.7520453598346686,0.6928836995204416,0.6384893547487409,0.7183844204476024,0.7543660204890467,0.6539423358464491,0.6542459570999668,0.6562563409863473,0.7048858107138517,0.6568480457156156,0.8848726806985754,0.6618632342892476,0.6429355303410921,0.7959242805291448,0.6278959190364035,0.867285628736726,0.8477325644208784,0.8869049925681696,0.7950236864508367,0.9036882186514998,0.8087815339123116,0.7911295629854512,0.7374592614777616,0.6155948414829606,0.7844494370842611,0.719541463780538,0.8003298091050502,0.7115928062889554,0.5808806128941008,0.6073590229873232,0.6824036368841008,0.6596143997629725,0.7129557647634421,0.7128968829145899,0.7142914088008083
