observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,-0.8349141749454023,-1.4622757507688193,-0.748388356573928,-0.7533282466459996,-0.03471883295369338,-0.5231178549519722,0.16147527634566394,0.13679555895106266,-1.220279491887565,-0.1936141079790037,-0.7281828329645483,1.700813675010264,-1.0390116876474997,-1.0464894100044646,-3.331277541681339,-1.4668462028549647,-1.6638325800159,-0.23616439828584035,-0.9537628329544621,-0.9164137549115413,-0.7434302002316855,-1.7192021243491977,-1.2952973073103295,-1.8225399874441175,-1.43779981734465,-1.5731572813286012,-2.3346568736663884,-1.022296092223528,0.035946859809602216,-1.2924803277950332,-3.395607452584496,-0.6632864981019313,-2.009499418113027,-0.5683405182171636,-2.1274876051276337,-1.3775481774598295,-1.2614056713285802,-0.8820582241926378,-1.559715084382315,-0.7787662093098413,-0.9104338377380203,-0.9746110569370099,-0.6799454431928522,-0.8063925205497195,-0.7546972960794082,-1.4939800802517533,-1.6658431901317627,-2.172470158014984,-0.8044950702637539,-0.9260330008765749,0.906032587709164,-0.7962688582519025,-1.3631377848821205,-0.8698023374327313,-1.0494623582213976,-0.7443302061201107,-2.5457476972257806,-1.0611855421621246,-1.5489656544233228,-1.5355541565109354,-1.4595456741160167,-1.8901555193702135,-0.8932379693833216,-0.9441084957444218,-2.470972377689815,-0.7413270557876901,-0.9005237768073284,-0.8708760295737,0.3925895931574379,-0.2549342155957819,-1.0346030275579967,-1.6798241772017866,0.16078164068929723,-0.7978867736141935,-1.515302237724781,-0.8187124823754786,-0.4695545921607944,-2.3196698414037717,-0.820550788094365,-0.8248358977434143,-0.9904274376391149,-0.8490778119820904,-0.7131098471462849,-1.787558973732079,-1.4244598031384372,-1.092482252926459,-0.6025460571365744,-1.0322530182797154,-0.6248396069724492,-0.8113613663327112,-0.6353167440765557,-0.7563530592863837,-1.20086429885086,-0.48736136526756285,-1.1878671665921479,-0.6347507317555712,-2.252357248756104,-1.5547039014045752,-1.8042741594737661,-0.8025051386235182,-1.6508894005796146,-1.9123977254820597,-1.2250185064668597,-0.7943418716401733,-0.5642099259722528,-1.168963994853809,-2.4225697812984626,-0.6917078526373452,-1.0978166336792219,-0.7356388880232592,-1.0116402160727946,-1.7235434623626757,-0.7857268612688006,-1.8826835956976085,-0.16237283891357546,-2.2314166664378625,-1.101946226631901,-1.5883655116569524,-0.9236308452338524,-0.7711023799477135,-1.9862647901950945,0.44559216104172394,-0.9188087631971082,-2.144948920125857
1,1,-1.4415218646397996,-0.23003748973319127,-0.1706234055087652,-1.0444567934998485,0.4177998355127941,-0.2278253467283411,0.4794297535393657,0.4275811321388656,-0.3289999283484961,-0.15146622197427728,-0.7338565730567608,2.0963842344690584,-0.6238226568518233,-0.717539030100553,-2.6188571636175793,-1.4064275297262572,-1.605611827024071,-0.07595553428282309,-1.7563697993794067,-1.173057066153099,-1.1771941820729286,-1.2663145731940704,-0.922378918568821,-4.415997992083615,-0.6848886855553695,-1.393139226352496,-1.1356930464654702,-2.5619045274088377,0.5232771835875618,-1.246739145623277,-0.8318224989140506,-0.6392591324650784,-0.44481824146283677,-0.5276160479195463,-1.069840681581616,-0.7838171485142216,-0.878761408365842,-0.6567667962766822,-0.8796197798349961,-0.7148493207744193,-0.9884338987298773,-0.5947617801015891,-0.6465768867605355,-0.5289827959775238,-0.6710702542740197,-0.8945419737978391,-1.4245899146345868,-0.9272908856346748,-0.8009274135334417,-3.0509198428287467,1.8709256545848691,-0.856209675026089,-0.6377649296892859,-1.0376431254260607,-1.2272615092984098,-1.3938126221594116,-1.1927073853201016,-1.3496225730070108,-0.9220630354157369,-1.0412916291744327,-1.3239284818905654,-0.5072816039271622,-1.4204830700524356,-0.7457608907162153,-1.4657992988429305,-0.899056633282624,-1.074080951595883,-2.2526793543399277,-6.448930643184294,-3.7001090316274623,-0.6818644569167248,-0.6590427213471395,-0.8075780272876667,-0.21343132015019273,-1.2107879934009669,-1.3637286716090125,-0.3623221360550668,-0.7039605598440384,-1.7653758510530735,-0.6488481253327583,-1.7608980480789924,-0.9332919654738574,-0.7279357827622206,-0.5872526951879437,-0.6789070354677625,-0.6436303351895938,-0.49653688982078603,-3.532418161683654,-1.18457140460503,-0.7040125440885185,-5.0150295290626445,-0.844767042134642,-0.9636367817589133,-0.49327134071781986,-0.5292700332757893,-0.5931163499539454,-0.8192492954437424,-0.3732675315969234,-0.7649676959203869,-1.545281847674577,-0.6768550926850273,-0.86739478595029,-0.6098206137798937,-1.4386820623170298,-0.4089797982506923,-1.7572207171011933,-1.236511490926498,-0.5677769210106103,-0.612915823605868,-0.4826971083344472,-0.6068426198294814,-2.0838379535560954,-0.8790125263491413,-1.691463426554467,-1.2425804464832977,-0.6298856244753599,-0.6140431185677451,-1.6857174753314514,-1.7258809975481433,-0.6999257125242412,-0.6753753789144945,0.6412911859387438,-0.8374490085646469,-0.8406056154419214
2,2,-2.0945243293694142,-0.3098854927565884,-0.46968993573443996,-2.7826654263745105,0.38438348431612734,-0.37403007589026793,0.6045170208651065,0.5016040108873382,-0.3251690333132251,-0.6610195630820528,-0.739030376882106,2.249315129073482,-0.7135034506410477,-0.6409764194263068,-0.7920377713893052,-3.306108360770047,-0.646189197067486,-1.3794998999796682,-1.0066972518597126,-0.7874503129923254,-0.6549340399322626,-0.9340931180017567,-1.384880267277241,-0.6757754824856887,-0.9478415301167002,-0.9662574788139051,-3.748116528085214,-1.7860966705832038,0.7987526594469689,-2.404170315017957,-1.035225644334056,-0.6222584383789065,-1.0468655995796095,-0.7894644386891311,-2.2121690454857736,-1.1077390812312797,-1.572120699219707,-0.6590231359570391,-0.5162526703049926,-1.0347974429764561,-1.1574428462300943,-1.1836428020480039,-1.3551646984400232,-0.6888632713880212,-0.6569772605226634,-3.9015590087176584,-0.7569048962706778,-0.5693570765690377,-0.7918809350391509,-1.8277867064574005,1.8084565851579706,-0.7011802345016453,-0.7251261293000522,-0.8358095418472018,-0.7795168308228964,-1.3964484601637084,-0.9064457613519001,-0.714168855542481,-1.3677519578425321,-2.262502446254925,-0.7398215042315464,-0.5619705727412059,-0.8954344629211622,-3.494266897763239,-1.1536707185831512,-0.769262428662528,-0.7994195980370794,-1.9089743550489493,0.6858544534714199,-0.3262979693897554,-0.6257708926250434,-1.4315254786364753,-1.9253162565876707,-0.2633705845248815,-0.7809422996603546,-0.6901661575930862,-1.542843901897669,-0.7837894727719827,-1.1224731509906847,-0.5854177719613586,-0.8992163165913757,-1.0395805640342444,-0.9902596483029305,-0.4067978231823789,-0.9997065268446002,-0.8139272110251861,-0.45209455143511224,-2.980596414071373,-0.8402768512518708,-1.3617841689473194,-1.343129944220341,-2.4212054931515956,-1.2908649985137406,-0.6990637041264456,-0.433756768058122,-1.1381972560862075,-0.5438609230846483,-3.678955919403571,-0.923606404518748,-0.5791315307350112,-1.9145603618056588,-0.6465961210146012,-0.5769895303943426,-2.6538209681247125,-1.260977771447469,-0.707399547459753,-1.4287011477204068,-2.1643464101831924,-0.6838736551444908,-3.1362939346770586,-1.6217552225906768,-0.5721343461888149,-1.945971014934793,-1.8142282964286127,0.09727196109363545,-0.6847342211454422,-0.572467210473353,-0.6326065855983708,-0.8845676526418444,-0.8765967930994447,-2.6487435064177203,0.8597496068556296,-0.7672226061971364,-4.188259754074615
3,3,-0.5678763376443687,-0.25290356827473387,-0.29510564712160026,-1.070820554983373,-1.4846777705727794,-0.8042304482244038,0.3381642927624746,-0.7464328979062091,-0.8941086239253356,-0.8966503056768187,-0.62274963430626,1.2504128218158344,-0.5485513785407227,-0.685783311752243,-1.545681152663772,-0.6333660015267566,-1.0718243913188588,-0.30425301512381764,-0.7177861535306442,-0.7665823427879198,-0.6756891060638407,-0.6607262529849067,-0.7410564791174764,-1.2465759319251128,-1.4948173428385987,-1.5906089096389673,-3.1449241417808533,-0.885571924853703,0.6602452041061153,-0.6121841401253816,-0.5947673743930034,-0.7076724812103764,-0.9149427011247776,-0.7285959451467667,-1.9593202882095757,-0.7639104165866931,-2.4024471639887146,-0.909208741124919,-0.7580041870195473,-1.4913586662116025,-2.265455130197354,-0.6386941928944339,-1.177036664583896,-0.5922184725028479,-0.7116767108201916,-1.5329632130023845,-0.9260032148020393,-0.4272163165244145,-1.5889040344314425,-1.093985939050034,1.0471269397590648,-1.5665608929775043,-1.039379443770255,-0.7480246648899782,-1.4337673158643065,-2.2543667974670187,-0.7401530946591608,-0.669879428584546,-0.9346392879729364,-1.1503952747146602,-0.7898519438271924,-0.7613429289976609,-1.1530879624054022,-0.7287595452513935,-0.6600340362593907,-0.7044261703297827,-3.8441358372700467,-1.759235416606022,0.47743115112164913,-0.6808902950531757,-0.8199377603331645,-1.1294370816694406,0.131037248524847,-0.49915154185569977,-0.7214256824931901,-0.7737063890194964,-0.5223474474717953,-2.8180645102691484,-0.8232152272808057,-1.188874895339529,-0.971934286223822,-2.3518809501058406,-0.7819445467270808,-1.0067095679702591,-0.876471694156104,-1.2071021627444174,-2.1908848741160423,-0.8665496375705446,-1.3030942327760158,-2.2177604268068,-1.6186688727442196,-1.66320488671496,-0.6855470779359806,-1.0128248595085605,-1.0883881092635155,-2.008443610628943,-1.0024761754726206,-1.9127373158084142,-1.7714411925846414,-1.08543857190499,-1.8747546864527713,-3.22812684209552,-1.680748894770336,-0.678712847139988,-1.5829465639519735,-0.787892153348271,-4.886138289828683,-3.1576745112923725,-1.530732796790491,-1.0208081646850793,-2.4064413782025587,-0.7968458288168261,-1.6204142551997989,-1.6599554805493204,-0.11026985745909856,-0.9819733668888327,-2.163318587716331,-1.5312696937412347,-1.6900845642170677,-0.6763264299585712,-0.7317605308443406,-1.227465461345404,-0.9206298454578906,-0.9173202915677887
4,4,-0.5288212311098635,-3.4108546149896912,-0.3511474516557058,-0.6169556333726349,-0.2093422317980993,-0.25549855215224415,0.674204498288411,-0.5802293102598379,-2.7885303233653485,-0.9913443020768323,-0.6630401478214847,2.0158777507478804,-1.7774873478579738,-0.5801374827809308,-0.902930518254228,-2.1162643403047583,-0.49156251366269466,-0.07590179444452438,-0.7074256356987121,-0.7713077002992504,-0.6770417583195196,-0.6260728793392223,-1.6807612644375265,-2.263240276844529,-0.6064181004298099,-0.6394581309465701,-1.2078793622407873,-0.6829470389006346,0.4394536877551207,-1.6120872826648145,-1.2436631660396196,-0.6470600712332887,-0.4509054419557455,-0.5021002876154607,-0.8260380807845207,-1.7010008280447848,-1.020285395737145,-0.8465731268132066,-2.329046891132429,-0.7181653676511575,-2.2578950025047515,-0.5930192886614926,-1.1039874794763729,-0.94772239025839,-0.914577715319862,-0.754959461439637,-0.9575166318731441,-0.22037193036802782,-0.6929751608780673,-1.8291839948385644,1.6819324956262474,-1.075739011251864,-1.518301266006445,-1.3463802170224062,-1.3175529973226225,-0.655725201355388,-0.7693210649793937,-0.5651529621813041,-1.6300339285021197,-0.7295032491873543,-0.6246341335704233,-0.41910367767640055,-1.3606765693948115,-2.118055037779511,-2.6377345035948676,-0.40704766922335245,-1.8335677751107506,-0.9877598631446881,0.4743292956620384,0.053273663398569315,-1.108784954412647,-0.40502087259309216,0.04840535521031253,-0.6344528053065663,-0.751902213528806,-0.7063913263682239,-0.2824737637830468,-0.9336647384382105,-1.2619195346948917,-0.6370028923835652,-1.1497323172412641,-1.5904257230176913,-1.069901441865652,-0.42827611977971924,-1.9322177635976197,-0.839157705542592,-0.47416735841619806,-0.9769592354902488,-1.0261910443228701,-0.9722829669891514,-0.5773797641109902,-1.7228504260676292,-0.9370979955419874,-0.48283126967015616,-0.7045916596362773,-1.5793213490157398,-1.6523222065489365,-1.7611616271658708,-1.3638391710903983,-0.6053918914394094,-1.3517583565120144,-1.0138652383568056,-0.5697844976252029,-0.8072821682091027,-0.4184212451148611,-1.0820565521721277,-2.2622459121736838,-0.7832495730387076,-2.6850805854878628,-1.821553144840749,-1.0122934170045867,-2.6422226670482996,-0.6401197608204812,-0.7816171280606852,-0.5793931090766844,-0.6737820178006313,-0.8651036738647078,-1.1321780633370373,-0.9652176745862054,-0.9041153320976045,-1.820736427390288,0.14249611020398856,-0.5578860348191946,-0.6814933205133065
5,5,-1.132606790753017,-0.5271978138252869,-0.30467563758983474,-1.7929795336264815,-1.0438494673364476,-1.0395282589530563,0.4412101219098119,-0.13663666763161653,-0.1930613527522258,-0.5248319952586591,-0.6171271716142521,1.7068279361374954,-1.3681752423021258,-0.5640954045347863,-0.6933414367602831,-1.5521813029717924,-1.8006268879456937,-0.15787262916417233,-0.7823308041955954,-1.149752914708714,-0.9683918686331063,-0.8784850004304443,-0.8693488294327884,-1.8253208903683713,-0.9872478557292275,-0.7783415255456517,-0.8060372368112767,-1.181672285046623,0.8845343036183484,-0.7341776394077085,-0.7229545590823757,-1.3590611927546687,-0.5086895950907918,-1.0281276949922087,-0.8400860316844776,-1.2503532656186032,-1.3049440212216392,-0.9432822994119886,-0.6071478987126628,-1.8305465021985536,-1.1768027645932428,-2.476920737233491,-2.0481949305178606,-1.6718046545889105,-1.3573944415653632,-0.7097135897058459,-0.6411390641674858,-0.26520998494183634,-0.7605128486319834,-0.8596139029529763,0.9294947487562739,-1.2843169191263668,-1.1080421938477218,-0.9442428998450985,-1.5339179060071304,-1.8890360402001567,-1.3517521336408787,-0.8942891697345896,-0.6868103901946334,-0.7579659824860475,-2.549350536038176,-1.189668545993445,-1.9368829069116738,-0.58197759537775,-2.3297522186175548,-0.880716162984748,-1.474370941778425,-4.019485987915138,-0.8499583362031022,-0.5441375951869225,-1.8193820971073573,-4.5262276398101235,-4.236307203081767,-0.3010123326287948,-0.73894766241273,-0.7822875035776307,-0.9952860956684502,-0.7175667051023646,-0.8495981268775973,-0.7463710919621035,-0.6885742539116326,-1.0379985916736558,-2.7724938461483237,-1.2071285695167235,-1.4744424992882974,-0.663153512263604,-1.3766287351462114,-1.38012506236245,-2.003231845366202,-0.6215760294794757,-0.5565357372607609,-0.8415443696860025,-0.6707512488492027,-0.715778187154475,-0.8150830837238228,-1.7549808634192436,-1.27458131824401,-1.413341868548937,-3.3955742337359256,-1.2008866636827595,-1.0026217835551106,-2.1700772182404924,-0.8691254001488178,-2.019281924464158,-1.3433228360209726,-0.7576020294770817,-1.7517551860924554,-1.9768646167768154,-1.6276698640374896,-0.8863830631917327,-1.7593543489226267,-1.0933872403289109,-0.4814412567138229,-0.7110286766111561,-0.7200100233622517,-2.9289395490265475,-1.5331511841351724,-1.8203480643618266,-1.15258858306406,-2.4388654192338164,-1.2336155310318837,0.6386756671496268,-0.7696661907798606,-0.742211287726785
6,6,-0.7149063426104376,-4.469816036003461,-0.24294632048367504,-1.2365465934787498,0.2646635084511386,-0.29132283024393146,0.4576774846940239,0.1162170418529726,-1.1247274584336395,-0.18305068245051026,-0.809078350581935,1.564332462963751,-2.041478958722299,-1.6227366847933933,-1.3112294035811172,-0.6578307314289211,-1.8155283479422393,-0.17143646981350602,-1.2946985964048343,-0.986646492016152,-2.667059169054229,-1.0119891939496757,-1.7494641583650408,-0.6668881510543471,-0.6577088193209697,-2.4616220317016646,-0.8632288736763389,-2.3936188573573887,0.35586875837231824,-1.1629617262743301,-0.7150810231091618,-0.5976240211623323,-1.0100302124503608,-1.6178942419755968,-1.3764505017784814,-1.642436995491304,-1.305152178779806,-0.7976435459584759,-0.6011733715675278,-1.1026656900720497,-2.7390824492552954,-0.9454974225545565,-0.5875891351349527,-0.6452367497633226,-0.7906442870051472,-0.7087557089397227,-0.6925078682927835,-0.7152169019264569,-0.867364622936986,-2.058733381145971,1.2927642605540548,-0.9549404221943427,-2.032706294338236,-0.9603078538912522,-0.7655972446598738,-1.0115920689833875,-1.0714624449085037,-1.7388208147797615,-0.7148530482219344,-0.8070590218374339,-0.6850939008358059,-0.6053583885302254,-0.9926201966205357,-1.5799734204524527,-1.5141790037363634,-0.9385318171270925,-0.8552249144079789,-0.2501345285509995,0.3452410667633736,-0.3003915922167377,-0.7677347013747905,-0.9910087900899749,-0.9664231048101177,-0.24939936400004736,-1.1257982697304967,-0.758722531080094,-0.874749841736014,-0.7456188713415315,-3.773392379637272,-1.9078289648286604,-1.5590433595195272,-3.33504694233305,-0.7811204167510702,-0.5731278832859199,-1.1361248706272675,-0.8555374790406116,-0.5959836629719069,-0.7136407202409205,-0.5794885596638957,-0.9229503395028277,-0.6093418771188592,-1.7450809013949828,-0.670419120115439,-0.9815904903158141,-1.5539446015856377,-0.7679962166789558,-1.680356967095241,-0.6822029716945256,-0.7550871994614566,-1.3711236855561835,-1.2002090749928551,-1.2672908266113954,-1.2605020915409548,-0.6041877246061189,-1.2006925443707144,-0.7047819874945556,-0.695846316200686,-1.271361023076206,-1.5343595573867002,-2.051891273564607,-1.36710930410127,-0.7856571377909005,-0.3982701912041471,-1.2429671932938904,-0.5237862968854572,-4.71752727308005,-2.7756595201892384,-0.6314030877888702,-0.7347091865335198,-3.455235839383296,-1.1662766028329359,0.08063536880531652,-0.6490595232920735,-2.328641809749822
7,7,-16.723067894517012,-6.247844768392991,-21.636925767464355,-5.2732034576517375,0.11983971459676024,-3.4133917115605352,-0.30497354977336144,-0.5530278082403915,-3.355043811614305,-0.4944827063815378,-9.353243023730231,1.221802985804556,-1.6428421623457883,-2.7883365914270897,-0.9339582241778128,-11.303564141248096,-1.6140307456781344,-0.3939455973970887,-0.8782221021051275,-1.3390363215323675,-0.9382363613011085,-5.144875439319115,-1.1925802112897856,-5.79977233747373,-0.7139606798652358,-4.0982800390752345,-3.2877415017508698,-3.7266418796153853,0.8550531004755098,-0.9465899841548584,-0.7532426979920215,-3.014800736018697,-2.464976013037357,-0.7472564266641157,-4.624580618318895,-1.2455696073623803,-2.2562339468979253,-2.3580090817145174,-4.101332194033915,-0.9944049656106062,-7.561473607047088,-1.5715874055960608,-0.929385026075476,-3.1200861077617037,-9.485145669226586,-0.9043703961463967,-1.4012704729212015,-0.36542733081121503,-2.694628429812648,-1.6166900971055462,0.7310049785705295,-1.8068774064387234,-4.4977029065746095,-1.9964373442802184,-4.810111419137321,-1.0549242085134287,-0.9197912817537034,-1.2624928033951373,-6.70998783410952,-2.961834112211714,-3.0645311760720415,-2.4073901156397346,-0.997810892924397,-2.5151800313177883,-1.870041633235046,-3.245138335614148,-1.4179532068417635,-0.3937150944992811,-3.1955523100604317,-5.167372956132165,-0.8178921116441462,-0.8141549617314487,-1.2914480629901028,-3.5902227986518747,-2.185207199795733,-0.759877244092136,-1.5798470310579633,-1.1569096589889203,-2.053384377381644,-0.617312660763915,-0.8758438923202599,-3.5285919530472847,-0.7987697525689581,-4.3962037139094345,-4.305336045571829,-0.6451561526366976,-0.561402508276404,-5.8897356864038475,-1.5857484982082317,-4.9221065334977645,-4.996786079857207,-0.853965994784363,-6.202638704827045,-1.5064384146341876,-5.224687458387619,-3.4535022532899937,-2.204302664535668,-3.651888149342787,-0.8566229352695804,-3.1332819950619006,-0.8825622045574777,-0.9856360953730705,-4.0496879164621795,-4.809151411920158,-3.3084074685855662,-3.749166335441142,-2.6820337682210496,-0.9989998159127045,-3.044395788185959,-1.931897670464794,-3.3166089569151103,-9.584287434746317,-0.4910381660112646,-1.0549722295611292,-0.13892795630124488,-4.441348928170744,-3.4828423980694603,-5.594382158999714,-1.292150140196814,-2.41193164215809,-2.8665272476222894,0.5157062706412185,-6.1196246783668915,-1.0289428856627265
8,8,-0.970531175988608,-1.8793176603096942,-0.24112579404592438,-0.6943588662292002,0.3701809196864887,-0.4634136245182703,0.5670379264806265,0.17720930079628272,-0.6156143719056365,-0.3166241769562852,-0.6360179924552798,2.0507866121560134,-0.6142281683898285,-1.9931857691748274,-3.7266077678377076,-0.6301918220317536,-0.5443066377826078,-0.8686318089814161,-1.2338343403549479,-0.8170626799487317,-0.619863605704362,-1.0122012798397977,-2.637135833025007,-0.6476502260364191,-0.6054693603857009,-0.9344479490029282,-1.1745727936566575,-0.7161608725824725,0.10548822515232337,-0.8857315406410526,-0.9683925622681807,-0.6723741566029959,-2.340724733800198,-0.5376741130487932,-0.6439324474120979,-0.9690534741926747,-0.9114136027559796,-0.8668641032511759,-1.3172882975892901,-0.7096055643738056,-0.6957702280660909,-0.7988634319320422,-1.3863765708609708,-0.77183542065933,-0.5973038889520637,-1.9582207665996099,-0.717094242001974,-1.2933652819346295,-1.4785658727212165,-1.3646699491222138,1.7353631127049793,-1.9073722983175856,-0.6887441059720539,-1.9255981727723177,-1.240301670981141,-0.9384071118419441,-2.0798572628231247,-0.8854541017452016,-1.3310791861885858,-2.1364956098025862,-1.3774931621889577,-0.5122781710150858,-1.1503190229607791,-1.5437672664711468,-0.9370761113215438,-0.5098678420223666,-0.7586604772002109,-0.29795864185920196,0.2321490120898586,-0.6574086158962575,-0.7148572506966367,-0.34319695282991236,0.18742521715879068,-0.23897895984637074,-1.0599541223650628,-1.2725214058813874,-1.1527784712179117,-3.6774983929889937,-0.7852153823020211,-1.0609657175785114,-2.3844169724349786,-2.3376706862708256,-2.596668355102125,-2.0121824810425943,-1.7319549928162215,-1.7822756125732053,-0.9457295588449037,-1.0723739247731592,-1.5152961276896257,-0.6675148097926207,-1.4687418857089583,-1.557867233946362,-0.7377718176575521,-0.8143814890189265,-0.5866752298518099,-0.7483133434771814,-1.6873036218200497,-0.6059749273963146,-3.5957126837709312,-1.0474434615925279,-1.3339896840830059,-1.0107861975632666,-1.2084485346683365,-0.5447025396878032,-0.4417542978359158,-0.7523042318589428,-0.6352273899529468,-1.4659839041623053,-0.7398541861588336,-0.6695177067014763,-1.9296538459282009,-0.6822482889861132,-1.141842329146713,-0.6788801635251674,-0.5749751445092337,-3.7891684757270987,-1.1640047593262617,-0.6960582871286978,-1.460997279546529,-1.2302291715177822,-0.8358171897088977,0.590052030805599,-0.70458886569768,-0.8669658993219415
9,9,-0.623148826454893,-0.9054096022501084,-0.3550800904773386,-0.6090222661515725,0.34066602073446006,-0.5138266691585751,0.1949488822416523,-0.5671326889033411,-0.15616289568913655,-0.17427409465106858,-1.5251700157948118,1.8638381982229126,-1.9188579375372374,-2.2824626309092118,-1.5412160709057678,-1.5945741211686484,-0.7898501973182211,-0.12275704231834239,-0.7249989923087284,-0.8199834885237722,-2.4024926179236323,-2.250455656440135,-2.0275530646773197,-2.4383443876073074,-0.7315699248344153,-0.9184869954114987,-1.5872035400589033,-1.3159128777125957,0.8735174452473629,-0.9536743515882873,-1.5049220815525333,-0.5996604567348912,-2.30038835806943,-1.2512031439247748,-1.1929822835748198,-1.1817726435931224,-1.1580222406459093,-1.5427978892818182,-0.8299724003981261,-0.7066973750669986,-0.8004772569421295,-0.8554244509297686,-0.7495515415584909,-0.6854422988332122,-3.391664040821146,-0.7198831148829671,-1.6780477568765542,-0.49053985097314157,-0.8263094249209999,-1.112539454556921,1.3727292727287814,-0.8121389693730131,-0.6737965664977882,-0.755370094052517,-1.3874153108458418,-1.0827253159842432,-1.641555013683011,-0.5539113099041298,-1.7086326106983916,-3.3370188455411083,-0.6428751936467403,-0.8312228900758994,-0.7597120412912299,-0.8671231401330866,-1.0713649466783868,-1.1856385560126805,-2.382575335016893,-0.2602153663886422,-0.28658350875369054,-0.8034704460495807,-0.7577865924865066,-0.37858137987392726,0.2696757376375505,-2.057383687988498,-1.355907579894629,-2.440770132118681,-0.34580915186530836,-0.8109200639613007,-0.8301869122982136,-1.6964349902213813,-1.2305156988109118,-0.8515761345254758,-0.9462677815799498,-0.7798761397417642,-1.386504463587947,-0.6316928002161858,-1.2869889747822125,-0.9973057344257921,-1.0622418941443852,-0.5522454712339159,-0.7915169695943287,-1.9898544672740932,-0.6440410889604479,-0.5682340316172776,-0.7293526405006318,-0.7085703820046239,-2.003837129904375,-0.41585868248607594,-1.0160259046077575,-0.9785163007975278,-1.3365234505733394,-1.2996766999590883,-1.7043348444698152,-0.8528110450179995,-0.9946249239999677,-4.8125554322765405,-0.7048417819962256,-0.7087332104141792,-0.6696636070855603,-0.9617287413025724,-0.6639588767497142,-1.4026911782776734,-1.8104341306016143,-1.0899589182391918,-0.3735484262111952,-1.164007323536622,-0.7115104044976313,-2.943493765087755,-0.9241836279598723,-0.6729055315563998,-1.9112717002562594,0.6007728480992562,-0.7679624740703502,-0.886535576506617
