statistic,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
EXPV,0.05124001649580012,0.3563798246076021,-3.9426068730714583,0.12244126402871092,0.11994148133628924,0.11055081896509289,-1.7771886329785844,-43.419054375830335,0.21096644943573528,0.27609802312886944,0.07498459408654445,-485.06920200599126,0.155385653789759,0.22767763857827827,0.16974033473105188,0.19583577274537922,0.11366919019552701,0.04965626520089972,0.13748760974308694,0.1552615393382355,0.07410465876582806,0.1525865512662703,0.10322109442883354,0.09721222618748304,0.13017552274491018,0.17782437622269698,0.06613766021354284,0.10031127023175612,0.006970226197546503,0.21393689462307675,0.13862134960362205,0.06549932500787226,0.31902584741791806,0.1871556624630133,0.0968876633322967,0.06380326372827794,0.07286676444166273,0.05632948970067897,0.08948351866934112,0.15024483967371383,0.1589512739307588,0.228703681990299,0.22294772900436677,0.17269542399892457,0.033950226005724726,0.11695018136694335,0.20332982691682888,0.047290143797472206,0.09121856736995904,0.0971410180465645,-21805.294347952953,0.16334385235401272,0.19846838169867997,0.0671533332234403,0.14359374024843607,0.17008184846046648,0.15714463714131854,0.088131345142071,0.09669193327311776,0.07304182216570776,0.1491874454964116,0.048518150900180856,0.07525643420576245,0.13728093666438146,0.13177343197395597,0.3051573141390892,0.1192481982436665,0.023958038537395088,0.016328552064230117,0.008721000924423183,0.12094983315492946,0.038439272389535595,0.02035816838036031,0.13639917820922498,0.08689263311206818,0.06281637745364044,0.04100906847731989,0.07680289584199196,0.09306991036732692,0.15384063418353489,0.14545434258816214,0.07093774067498337,0.16514311527332526,0.2017000207779689,0.1403805539877928,0.0698594598760498,0.0764959022783761,0.11842068927761007,0.08935627782239719,0.2816898162727175,0.17287211961402582,0.08743784769101992,0.16426201712466848,0.3148577391820243,0.25733689669249815,0.06846716382617835,0.12072407999317969,0.03613270611525354,0.0660333551346548,0.15240250831812063,0.14231029993770694,0.1578168526256326,0.05385088694353879,0.19323848711866265,0.23538100296676867,0.07529390703789529,0.08440287589249729,0.12235665391808537,0.0951399486804303,0.2250878354502076,0.18445096417438944,0.08915657759655848,0.1301535220637583,0.08733709445216409,0.029918407331940844,0.12939896206710322,0.1727238972399734,0.12869346192214837,0.14423967137293403,0.08773212932041763,0.2477889344986831,0.01839796249340242,0.07569603349720466,0.08996684740128502
MACE,0.013349168646080756,0.059619952494061754,0.041852731591448956,0.012161520190023735,0.03349168646080758,0.010498812351543953,0.03638954869358672,0.051543942992874105,0.05225653206650832,0.04370546318289786,0.011686460807600958,0.07814726840855105,0.031116389548693578,0.010498812351543933,0.010688836104513046,0.00978622327790975,0.008598574821852731,0.023325415676959643,0.014964370546318268,0.021662707838479803,0.02285035629453682,0.010023752969121143,0.01952494061757721,0.011638954869358654,0.007885985748218518,0.019049881235154397,0.009548693586698338,0.010736342042755325,0.02878859857482185,0.015439429928741085,0.013111638954869364,0.0275534441805226,0.011686460807600938,0.013539192399049877,0.008361045130641339,0.014061757719714945,0.014061757719714957,0.014299287410926356,0.013111638954869354,0.01216152019002376,0.018574821852731592,0.013824228028503555,0.019524940617577202,0.010736342042755333,0.018052256532066484,0.0076484560570071304,0.009026128266033228,0.0214251781472684,0.014774346793349167,0.020190023752969116,0.04826603325415678,0.008361045130641332,0.01762470308788598,0.009786223277909746,0.007363420427553433,0.012399049881235157,0.017339667458432288,0.006223277909738712,0.01168646080760093,0.010023752969121147,0.009073634204275541,0.016864608076009483,0.011211401425178145,0.013349168646080756,0.016152019002375284,0.014536817102137755,0.011211401425178135,0.015439429928741094,0.03662707838479812,0.033016627078384805,0.01524940617577199,0.014061757719714952,0.06365795724465557,0.015961995249406186,0.01638954869358667,0.01548693586698339,0.01809976247030879,0.017624703087886006,0.0055106888361045065,0.014964370546318278,0.006935866983372919,0.014061757719714957,0.020475059382422812,0.012826603325415653,0.01496437054631827,0.012874109263657951,0.010973871733966755,0.009026128266033242,0.019287410926365805,0.01049881235154394,0.016627078384798086,0.013111638954869364,0.005510688836104514,0.01049881235154395,0.010688836104513034,0.008551068883610442,0.005035629453681708,0.01073634204275535,0.01406175771971498,0.028503562945368172,0.015486935866983364,0.010261282660332542,0.010261282660332546,0.012161520190023757,0.013111638954869354,0.021615201900237524,0.010213776722090218,0.011448931116389536,0.007410926365795716,0.01453681710213776,0.014774346793349168,0.022137767220902604,0.017149643705463173,0.01762470308788599,0.013824228028503577,0.019239904988123523,0.017339667458432295,0.007648456057007131,0.019762470308788603,0.019002375296912094,0.014251781472684083,0.039002375296912126,0.011686460807600958,0.01311163895486935
MAPE,2.0735209804894583,3.0968275747335365,0.6304643087101011,3.384673814428786,0.2687695420687668,3.0384610342315836,1.639279863677783,53.8722330048339,4.8647754727181,1.9103634578981765,0.9965922350917474,236.25672840998976,0.2819286091513079,0.09015779068549828,0.2186120490428866,0.40540996339218144,0.11754162082035333,0.14579667078904354,1.5751208840337176,0.44848115808526506,0.2855321528545434,3.729373492460185,1.8237869315993314,2.9111893463831398,0.22540295653235165,2.7210333165214005,2.1370118524404464,2.465413195634521,0.19480898724058723,2.7026131527390103,0.20752249328944827,0.561319629883901,0.10567784131013673,0.1033071188194949,1.9185395033212884,10.891263544182031,1.4971904753756888,0.68491347587499,0.08408268670782437,0.7084787414235849,0.7967138824288058,0.08971451107852021,0.2822350148676015,0.1536144907592386,1.6409765475571991,7.376725588056502,3.5573784999816165,0.23036867039808534,0.14731803533031435,0.18096330647574543,54.068603504229955,1.8076589292983207,0.31484399143404546,3.4657110998397886,0.1952021960804113,0.21443413807167838,0.9913851337595055,2.6560129253591884,0.1600463629550084,3.259585556996207,5.2990522269742995,0.21100004560102656,0.16646051827888597,2.8049952855385802,0.16385820234605905,0.43200098399267656,2.0173091999747363,2.9919688149029624,0.32540842335162434,0.4908691956198598,4.594299259558193,5.116667440113137,1.3367288042040613,0.44045789483493525,0.5228864724627039,0.18791623658100004,1.0822817178137338,1.9575776650511338,5.398171886816967,5.295264847327415,3.5391411685875966,2.3834909189147675,0.36636535305678614,0.08285021950016332,0.3918009354130718,5.9707821656236035,0.2733167747108662,0.7061644120007207,0.20250539153319772,3.089827381265524,0.7919515816421219,0.11955228096553061,0.337887153364963,0.07349572856690215,0.06098240923824152,0.6355526501844426,0.13536665625525846,0.11465887059527609,2.431337902721948,2.3669205431281624,0.20499070785089835,0.21801460854192473,0.7234476392183218,0.12837677885756563,1.3219412950066094,3.925324925283181,0.2592565541793905,0.14097090899322381,0.797761177593072,0.10690043870958989,2.0511415426962087,0.7549536931005132,0.2746813541068851,3.285908407379752,3.1421176554652366,0.17146049541638486,0.13983667559338125,0.23941782591798463,0.3194739419403717,2.065932623543693,0.30096419793536133,5.582761958591441,7.910084019040268,0.19660529026514076
MSLL,3.0826169652781834,2.628441431387317,2.6614905021713158,3.504544038910762,1.885270873689513,2.5957458109779195,1.555468708856204,1.450484035939953,1.1269915257128686,0.8769505240561366,3.5170544480653527,-2.4107817829720517,4.04686853623987,5.148103762842711,4.568028153115241,4.8975130901166875,3.8036833404997905,2.375846000629106,3.4781291116977373,3.9911752335983204,4.387698480742259,4.54577900033041,4.258069418389754,4.474649407852589,4.63592946060751,4.502356076529843,4.471087758805632,4.43745533711261,0.8745201961878233,4.0532938797347295,3.233127721185597,3.1438974752180053,3.774679723962678,3.542205789718677,4.050000359885807,4.440349983431718,4.210378373869606,4.50662307844836,4.441580614150925,4.398482772083351,4.646036415108303,4.806310493053245,4.556560383516299,4.431196408798202,3.4062507123518913,4.61212927579639,4.378021261746184,3.1734893583842023,4.002772281727321,4.223632008226414,-0.4361593190478378,3.3419785854914945,3.7734491860236132,3.420729859790126,4.1881013390774795,3.778031691065051,4.295037494723626,4.680742688363988,4.210742615293204,4.075739270130414,4.295473454742944,4.317321107774165,4.641634752111143,4.941076962063191,4.597635801308208,4.610461605661932,4.886572789198492,2.5147809666018177,1.7261797699549655,2.4810911198341983,3.9187422375235137,3.0354383845349298,1.8895636823150934,3.9516279468766666,4.917106821330249,5.016283655594371,3.7278617449832034,3.4991872478406654,3.7381201513175597,3.9980795238631623,3.4061636558640367,3.8336319698857437,3.8750742810238066,4.808230590998049,4.462204871214796,4.226841167576964,3.5682855245546587,4.740908259516323,3.8458801338304505,4.36704853960225,4.531432663837869,4.414150794663293,4.245014659783271,3.7974211199141,4.2651834028419495,4.17851218292034,4.746147444237597,4.499233864928244,4.136227545168362,3.733354159555616,4.6554005604487765,4.469369930060786,3.6929886654012627,4.967600831616455,3.36455493873354,3.542347986946414,3.4621865664727425,3.523126223818666,3.3377253542375422,3.4952347445131267,4.775655425020543,5.365388981020663,4.12941075721929,4.275512616581262,2.198528288562377,4.462751889396112,4.7890056879840275,4.239360341153988,4.2713589333602195,4.675150092164947,4.125438029714648,1.573952293719542,4.464650368713675,4.450360913547273
NLL,1.186313964787778,0.9296641220046102,0.7705802127178858,1.3061388084945558,0.30298322614438405,0.9230936871105486,0.08343704323272641,0.6318216184438283,0.7833420108026261,0.7582980309526133,1.309815268932756,-1.2318344514011244,1.2402437156596848,1.2761348911706287,1.3373582195570588,1.2900796162747894,1.1813037972757552,0.7104233013761025,1.3476749039046816,1.3730928523572847,1.2981880992784849,1.355201809051788,1.3796220875970329,1.3681644868827643,1.3462269536623384,1.2851984851419946,1.3486865834825519,1.3546304130139721,-0.33878503470509913,1.2944318517688287,1.2706285032807962,1.2364765591559432,1.1094873428485046,1.1590869342500811,1.3321039340008203,1.4031385993459233,1.345057527717428,1.398868639708513,1.2530966675643906,1.3678411561454504,1.3154722757885258,1.2352019884893612,1.2292403385825206,1.2862814141758039,1.3079921662889737,1.337692096620151,1.322899027542656,0.8823796700533325,1.3375454426863993,1.3527706131150938,-0.7701314815084461,1.2872892777193943,1.316889724263179,1.3810020683881195,1.344436287626402,1.3446857553166358,1.3528181791396512,1.2871351437867131,1.2633065246563027,1.3758100114372558,1.304833639122659,1.1974574217429292,1.3790390440061215,1.2859070261656251,1.3205397408029327,1.1132798492952345,1.3379269355297474,0.84438874437067,0.06961905069903085,0.6110718394298871,1.3533724171876427,1.0364383969099615,0.3108263641596074,0.8006971894180995,1.3764562666776106,1.345011302163649,0.9982230075011295,1.4010910049690517,1.3744248065651863,1.2137062305311328,1.349388625667372,1.356795696075821,1.279867739341835,1.18624723854532,1.2770911103137639,1.3032851249709254,1.1574547124482397,1.3612238710885796,1.2395354284352234,1.2480890312540958,1.2225157100032584,1.2354937588721233,1.3294361700998538,1.1261780174462128,1.2492364304196102,1.296183826781031,1.3318021670655966,1.1283494042677087,1.3577320202381253,1.262724532318483,1.3622593567544783,1.3321709875075463,1.3732668954661473,1.236373989166213,1.1716671593765977,1.350636948882815,1.374802597351869,1.2818564791131388,1.350376565352814,1.1545169189234272,1.297467558024098,1.3276709447172808,1.0208893294584005,1.386714888433186,0.5228654360127237,1.2098921229959552,1.33224134898155,1.2795862483173022,1.3610268847306346,1.347174473384948,1.2687387974476392,-0.12771240531491307,1.2601044510831252,1.3555507613971731
R2,0.04981464982258721,0.3558317124646986,-3.9811007960468263,0.12204354739223355,0.11865012379129047,0.10977779099026919,-1.7776299204643018,-44.41861265636857,0.21041071407237943,0.2746283746506515,0.07449208855640399,-495.31874646904384,0.15346419208605944,0.2274670546097428,0.16973982678383104,0.19566834505728048,0.11331014566216091,0.04911969338470734,0.13600948025272197,0.15400482557055228,0.07276727194699428,0.15244999267480075,0.10132670850864911,0.09708497029537089,0.12986524662308851,0.17587139068287494,0.0656071108643288,0.10004658292078472,0.006146534918194724,0.21392874392032546,0.1386183424465024,0.06503621032011342,0.3184421173963159,0.18709697324194763,0.09680568188797667,0.06196698998593919,0.07286675976958445,0.05613870309583169,0.08902599901506336,0.15022908161018922,0.1576137347506169,0.22696975542149556,0.22172306906513695,0.17259553421442841,0.03235632694980417,0.11634278895425532,0.20331721234263223,0.0469845029688315,0.08987864221253417,0.09546222797358994,-22312.276976004065,0.16333229303696417,0.19846801199886444,0.06616885511585335,0.1435086859415412,0.16862098116124924,0.15569639690094184,0.08807986294774561,0.096405072875836,0.07240922399435745,0.14811768662801783,0.046768855931794584,0.07470542504228084,0.13630366202940847,0.1306554947394356,0.3048426028083876,0.11853052042134715,0.02352366241964099,0.015422900222533675,0.008211725941863923,0.11957733354255218,0.03781554264251419,0.019938181650481446,0.13570194988421347,0.08559550208793998,0.06135585912399344,0.04100737339165628,0.07678312243805863,0.09231692999800878,0.15358294301783282,0.14540177747085392,0.07085915673864884,0.1631328750340717,0.20058542794939616,0.1386796970475912,0.06907931351480157,0.07592265387606423,0.11790002749728001,0.08849094069490837,0.28167160792675006,0.1725270080565955,0.0870235117953736,0.1642413000723415,0.3146482303146747,0.2561380502060244,0.06846198265617487,0.12017774182730989,0.03466413928543122,0.06518265999977269,0.15154663621621656,0.14098947027049824,0.15754211897963788,0.05382662594912113,0.19187283193172844,0.2349181254926075,0.07321849560056626,0.08427579969297416,0.12177936988317206,0.09485222222255774,0.22461334454756154,0.18338750280738603,0.08619835501525541,0.13013461518326608,0.08733709329533734,0.02897018491381731,0.12924989611306636,0.1716763403432685,0.12853992012331772,0.1431384056780589,0.08736237065214614,0.24661339509500713,0.01766662675103281,0.07557363723003452,0.08914591061432475
RMSE,0.035408951000631246,0.03552162979400689,0.08151050529951184,0.02516193591109573,0.046682940583807786,0.04286358087445466,0.09253473512500202,0.7191826249437564,0.1524819229359127,0.18302608218573987,0.025607141240398545,17.524816735246542,0.013448808793879035,0.004427378120341432,0.008715810972360323,0.005885616408741719,0.016548694146902878,0.04462126343609976,0.0267160844158679,0.016234093256631867,0.010607178823481759,0.009166328611797859,0.012896443208531269,0.010290986457746055,0.00841117049822997,0.008801699372903295,0.010303528732410295,0.010520078652759971,0.07169555588243323,0.013593623204705634,0.031554263914406126,0.0347358429085399,0.013900673830802589,0.020128287477724625,0.015180497447961955,0.011241589986673543,0.013272137382158228,0.010508393088257049,0.009523022983045044,0.01077017664961184,0.007944614638443386,0.005983404310950818,0.007661135941195006,0.009479873168776196,0.029198359225891084,0.00860666183765925,0.010176133930148514,0.02389442099156725,0.01606272294908976,0.013036977505131764,25.88226239615391,0.028359534623872716,0.01857175884562813,0.03041266496351092,0.013035757299499939,0.0193585864612491,0.011727961534219225,0.007760973445366881,0.012069644734348699,0.01566306163708127,0.01122365365052383,0.010433315808571122,0.008912007023646359,0.0058146453399560896,0.008514007842204172,0.006109387332676211,0.00653445170069584,0.04499368484446574,0.04580917925054785,0.03713926075442466,0.017457517068042737,0.0321541719237404,0.049402924010727,0.009630808572424841,0.0067088333422946934,0.005964856320649394,0.015459783851530412,0.02852483045514788,0.021686531495589176,0.013750455070474456,0.028602090162218277,0.019594188160286557,0.016519891789201532,0.005782843930967704,0.009291115020602678,0.012546855854043946,0.020874037924219723,0.007740044341063135,0.017049914130364628,0.009065200984720767,0.008046284135153185,0.009627630432326565,0.01198349856773716,0.013855220918656012,0.010225860624029406,0.013079279380401886,0.007466704842208721,0.008168560395091904,0.014535866650544283,0.018840655076637496,0.008328542680958513,0.009639815773378767,0.023136934755813757,0.005212564598346598,0.023618794063501817,0.026025764409625507,0.02871480235056385,0.024109797332099878,0.03155207728189443,0.020509787029624367,0.00674858990866443,0.004079717862292024,0.010080339204488779,0.012862610305248693,0.04463216736482399,0.008729925658355826,0.0069439914976443425,0.011707738603835206,0.012197673786615645,0.008290687839407078,0.012067659814022727,0.04373898346599395,0.009440225683743893,0.010457509300422094
Rho,0.18780783047240446,0.36426855254786206,0.22691065602815272,0.333717090602852,0.5414682241980938,0.3618214848465535,0.33575521622411203,0.37500618775721895,0.3647676473070017,0.3427697010699675,0.2317874052769419,0.23497161914739748,0.38396263029049743,0.3892686765023533,0.28189470224829544,0.3247854845266299,0.3030872258898393,0.3526399379834321,0.3179441613137415,0.3441763046324603,0.2634142574000269,0.33003461092613817,0.28940841901347375,0.26834741501603526,0.28351148423932043,0.35108711162828343,0.23358160174870418,0.2680955425848824,0.30374096293212,0.41660971586508583,0.3440730488965876,0.22777100658042504,0.5026944239040795,0.3926894034414446,0.29967095162192414,0.23024705359666367,0.23594264320377709,0.20841109384223885,0.2689643160230363,0.35993008643039615,0.3914219400374457,0.3991498172196628,0.323803132794369,0.39326619020315523,0.22173340559157892,0.2987570685037744,0.3368282312555017,0.34886288678731536,0.24133582306444828,0.29656460538045043,0.025838338224638054,0.3669636785979724,0.4188637625466394,0.26129098657551986,0.366466637870372,0.2659780511868455,0.2965504030680988,0.25008065692270515,0.27253948933976013,0.2133248717179276,0.30402907990417444,0.20756569944055336,0.21724360536964665,0.31849128705369023,0.2997730615236792,0.46784946767322644,0.22760702049246015,0.24074382887273904,0.24796353742883742,0.26323054199651463,0.2930391652848984,0.2187084035212741,0.33239424521650535,0.4472136485428068,0.2595549071709767,0.16642447519440784,0.22194529444273559,0.23528093286964577,0.24742357942387794,0.2578682494011347,0.31094657246027946,0.2123902339924543,0.3768619565711627,0.3642704457605777,0.39970276058203996,0.2594805284651013,0.2936320741336664,0.308981085003993,0.2974365348880158,0.4087561989769981,0.3512073236988604,0.24733654628682725,0.3488073037814382,0.5354661139133621,0.42747531906171493,0.18900323699229243,0.2901515627969336,0.18751038600713824,0.22265094733796353,0.3212480634287261,0.2916661645279682,0.37808169698928373,0.19116349518549583,0.353221609616907,0.4259554806677397,0.19256314160421295,0.20009330306184167,0.3568729608000943,0.22788052419923832,0.36484862963581766,0.325741964530658,0.2973263739939085,0.36167245787140934,0.2550579706137509,0.3131461803963249,0.2842993758604231,0.3718068178775187,0.2792761194985407,0.3176378517108291,0.28639318668669744,0.34867569367674467,0.3834754899717196,0.226921320326387,0.25426421915676645
Rho_p,4.0080714098737514e-08,8.087935405248274e-28,2.7082394827435304e-11,2.3750556593222568e-23,2.5855283328053204e-65,1.923131881194711e-27,1.2382049718360603e-23,1.653070523929969e-29,6.771957124823614e-28,1.2673692323324794e-24,9.84338370166661e-12,5.020391884554671e-12,5.7497080888722155e-31,7.479701966983658e-32,7.599842007176452e-17,3.8947933858119477e-22,2.382039791331202e-19,4.6407296805296586e-26,3.1186316787157353e-21,7.967744287302595e-25,7.859300760888373e-15,7.61061733611261e-23,1.0402185412683976e-17,2.35874924985866e-15,4.979249730944527e-17,7.869683848645726e-26,6.743896136522074e-12,2.509765137994012e-15,1.9785111076619654e-19,1.1103781796713657e-36,8.244552747394687e-25,2.2691823917092376e-11,4.021022189722029e-55,1.9687570124435793e-32,6.235613914805645e-19,1.3584941573728578e-11,4.0805005360734694e-12,1.023529332341103e-09,2.0255864241067342e-15,3.737076446778584e-27,3.2342875999552874e-32,1.5157594586121865e-33,5.268019766644277e-22,1.5695434752181858e-32,7.734150934188326e-11,8.048908934212376e-19,8.770202169653092e-24,1.6683137773875256e-25,1.268817777524011e-12,1.4793712442269932e-18,0.45399683690456283,3.0885042182696974e-28,4.236838931227163e-37,1.3092473920098965e-14,3.691073244450742e-28,4.217829682219433e-15,1.4851902760142233e-18,1.7958255789755212e-13,8.3162088161184185e-16,4.0259763869779543e-10,1.8228317189922463e-19,1.1990148133077273e-09,1.8819295985835501e-10,2.6458356961340233e-21,6.059938517592463e-19,5.110602004949028e-47,2.347118851545289e-11,1.4444179231296576e-12,2.9031647379935487e-13,8.215617166655071e-15,3.893788793937149e-18,1.4109961209011346e-10,3.615297785601846e-23,1.2159075644012916e-42,1.980421450433415e-14,1.1983697695352289e-06,7.412768411529126e-11,4.70007100705433e-12,3.2791752359091213e-13,2.951899425201056e-14,2.4786022972175094e-20,4.816257427126897e-10,8.313556012512755e-30,8.08249378463584e-28,1.2138688323665872e-33,2.015710953987083e-14,3.3120450092245186e-18,4.393100005790886e-20,1.1620458298952846e-18,3.0109076103040105e-35,7.555204099993462e-26,3.3440931103898345e-13,1.699804514946482e-25,1.1963894397741255e-63,9.973970832243937e-39,3.274566962574942e-08,8.516834117950203e-18,4.213952894291746e-08,6.43370388864285e-11,1.1495965615261385e-21,5.655590370336756e-18,5.278776944513325e-30,2.2650849957473706e-08,3.80484198713241e-26,1.948308574640193e-38,1.7798561721064608e-08,4.717062849699775e-09,1.0834139884137942e-26,2.2185473091981483e-11,6.579417202908972e-28,2.8994263512755315e-22,1.1980929358939178e-18,2.026808637296305e-27,5.70350853089578e-14,1.2995934661341354e-20,4.0479527374082897e-17,5.350440523710585e-29,1.4986016786101468e-16,3.418800499753646e-21,2.327328323796896e-17,1.776732558207472e-25,6.920769173925175e-31,2.702320069257694e-11,6.85970098657018e-14
SMSE,0.9501853501774128,0.6441682875353014,4.981100796046826,0.8779564526077663,0.8813498762087095,0.8902222090097309,2.777629920464302,45.41861265636858,0.7895892859276205,0.7253716253493484,0.9255079114435961,496.3187464690438,0.8465358079139406,0.7725329453902572,0.830260173216169,0.8043316549427194,0.8866898543378392,0.9508803066152925,0.863990519747278,0.8459951744294478,0.9272327280530057,0.8475500073251991,0.898673291491351,0.9029150297046291,0.8701347533769116,0.8241286093171251,0.9343928891356712,0.8999534170792152,0.9938534650818052,0.7860712560796745,0.8613816575534975,0.9349637896798866,0.6815578826036841,0.8129030267580525,0.9031943181120233,0.9380330100140609,0.9271332402304155,0.9438612969041683,0.9109740009849367,0.8497709183898107,0.8423862652493831,0.7730302445785044,0.7782769309348629,0.8274044657855717,0.9676436730501958,0.8836572110457448,0.7966827876573678,0.9530154970311686,0.9101213577874658,0.9045377720264102,22313.276976004065,0.8366677069630357,0.8015319880011356,0.9338311448841468,0.8564913140584588,0.8313790188387508,0.8443036030990582,0.9119201370522544,0.9035949271241641,0.9275907760056425,0.8518823133719822,0.9532311440682054,0.9252945749577192,0.8636963379705916,0.8693445052605644,0.6951573971916124,0.8814694795786527,0.976476337580359,0.9845770997774663,0.9917882740581361,0.8804226664574477,0.9621844573574856,0.9800618183495186,0.8642980501157865,0.91440449791206,0.9386441408760066,0.9589926266083436,0.9232168775619415,0.9076830700019911,0.8464170569821672,0.8545982225291461,0.9291408432613512,0.8368671249659283,0.7994145720506038,0.8613203029524088,0.9309206864851984,0.9240773461239358,0.8820999725027199,0.9115090593050915,0.7183283920732499,0.8274729919434046,0.9129764882046265,0.8357586999276585,0.6853517696853253,0.7438619497939756,0.9315380173438251,0.8798222581726901,0.9653358607145687,0.9348173400002273,0.8484533637837834,0.8590105297295018,0.8424578810203621,0.9461733740508788,0.8081271680682716,0.7650818745073925,0.9267815043994337,0.9157242003070257,0.8782206301168279,0.905147777777442,0.7753866554524385,0.8166124971926141,0.9138016449847445,0.8698653848167339,0.9126629067046627,0.9710298150861828,0.8707501038869336,0.8283236596567315,0.8714600798766823,0.8568615943219411,0.9126376293478539,0.7533866049049928,0.9823333732489672,0.9244263627699654,0.9108540893856752
