observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,-0.9617818608058267,-0.860533062524861,-1.3929466038603215,-0.7164277964461412,-1.051316883407228,-0.9395094840112124,-0.8649446268086709,-1.0828999856048753,-0.9524940736120333,-0.905145996148224,-0.9264272019395947,-1.1290649834062658,-0.7323774794132282,-1.011764378270649,-1.379137357290984,-1.3854365669208188,-1.2418314966938897,-1.0975626439380055,-1.0928394145071139,-1.040932954419321,-0.7054473593332165,-1.4116548901747028,-1.4848771222318033,-0.8741691899597743,-0.9526385893480142,-0.7952117129913914,-1.1040812606853392,-0.9424235899132435,-1.2580165976960713,-1.2091355314005292,-1.1166330047114652,-0.9262922723062662,-0.5523893105696694,-0.9262095348553425,-1.8134726124709217,-0.8688071588044979,-1.2434992773257756,-0.827956270236249,-0.573750472381005,-0.768812356181637,-0.8389402177364729,-0.7666051288059333,-0.8351906052284827,-0.8780051976349038,-1.7247586564549393,-0.9531658794544906,-0.8150038569194356,-1.7683018640265722,-1.0080928090989345,-1.021984001296127,-2.2405856559645647,-1.1183112446439003,-0.7234333744165603,-1.4348394348830518,-0.9219577098487581,-1.3218084965583228,-2.6621594177847,-1.0152934977501262,-0.8023192566758232,-2.562004947207294,-2.072729468446899,-0.8959135888519362,-0.9191739281177471,-0.6831556261885993,-1.9324447307348238,-1.4278420365090896,-0.664046450428778,-1.1509955426578293,-0.8654336053444676,-1.4572777985149197,-0.8383119301910666,-0.8048488530917309,-1.380719547725037,-1.2059978782122887,-0.9613569776178654,-0.849125013960879,-1.3161504098310983,-1.8687231674128366,-1.1023696344277896,-0.6667235983744493,-0.9430752768270443,-0.9140599685609577,-0.7673771557672869,-0.9912979938727331,-1.7106588229658568,-0.7239735030787683,-0.8955507516593875,-0.6812907679370271,-0.46738980998303226,-0.648660377753471,-0.7062810172803029,-1.2667396074983597,-0.691519275280686,-1.1007945308066904,-0.9604928041531511,-1.0508981505625477,-0.7917029597955795,-1.4450605667311278,-2.021235581338134,-0.9190868404617737,-2.5429440867932054,-1.2766513699383402,-0.9117715276167189,-1.126542224519181,-1.032584012579708,-1.7013765018103275,-2.219180611640626,-0.7632964663638651,-1.1387279538930062,-0.8208841572797496,-1.3700054424727326,-2.018528853622395,-0.7047445759362407,-1.125740947596471,-0.8545623422929447,-0.4718652424449117,-0.8720988761382342,-0.7562995935438621,-0.9148338239632392,-2.2411030970124806,-0.7008009174743388,-0.6497574367591323,-0.9389369497780046,-3.2326669578182194
1,1,-0.7066614419428177,-1.5460892128159114,-1.1764544527017469,-2.129053884833209,-0.3965938109042968,-0.6669262778698362,-0.6357251016235111,-0.7945880992202913,-0.8761565105702914,-0.6189393780971495,-1.7133948503484535,-0.9698770878186744,-0.6402984067723252,-1.1426289399041027,-0.5263612646070445,-1.9478346650192644,-0.591511364623945,-0.6788300287538189,-1.6574195787845964,-0.9645040123186257,-1.2599636184968008,-0.7148471498374872,-0.769407394361425,-3.624654988271109,-0.7044239811427583,-0.6501671953350359,-0.6204222705567732,-0.9064354814706183,-0.6711877909927009,-0.9753949162876439,-0.47394676297276317,-1.0267441564360924,-0.6357479683232509,-0.8189649700177655,-0.6367711711668866,-0.7343025502019127,-0.5794716765479656,-0.5291113479765193,-0.4690709289293454,-0.6862041218586329,-0.7645134369354416,-0.8742166709465873,-1.5476178703265497,-1.0152335607544836,-1.427731486811653,-0.6556507067447677,-2.4766152965578625,-1.732484493044056,-0.8664008548400358,-3.921438928070031,-0.5806150062042059,-0.9622145033282933,-0.8610826663008679,-0.8574814896444282,-0.7091857443458687,-0.42908975030749463,-1.2081351555333903,-0.7403097571469921,-0.7541265394086126,-0.655355500132591,-1.8073409686254966,-0.49369650683430893,-0.867785460388599,-0.8755351361381727,-2.2879607477093615,-1.005528171828491,-0.6049241286808171,-2.907562864129662,-4.346941205089667,-3.3553954949527443,-1.4025122859567476,-1.16291442937885,-0.7892331545463087,-0.6597985367997018,-0.8036590616276214,-1.2198549318759129,-0.6872101320070327,-0.6810941080975056,-1.0955619230987605,-0.6351699250464565,-2.0178699397748474,-0.7656780776735143,-0.5408643384056082,-0.3196025429691542,-0.7297484296535481,-2.056442020200535,-0.775318488239704,-0.7428807388978332,-2.901913607787753,-1.1740103315194754,-5.077578214585159,-0.4830086159812627,-1.06757437590856,-0.27891518874141974,-0.24898870718966531,-0.6806660604301543,-0.8961527781982018,-0.4237460856244327,-1.2209127173969585,-1.1324893635941342,-0.8341135506076778,-0.73145445273787,-0.6496491229427324,-2.2645564621057837,-0.8349406678788643,-1.3219527983801216,-1.1121945632055832,-1.0531525517421025,-0.6177497988301928,-0.9725686272644916,-0.36423466227080925,-2.03080714972002,-1.1104482711831691,-1.9190793000460238,-0.6902278718876196,-0.39458614294463057,-0.6078719849026865,-0.699324433691421,-1.2978202250080604,-0.5584766655317952,-0.5985793091339593,-0.5031328057007363,-0.6781153267270257,-0.5992248145771357
2,2,-1.357011694747618,-1.0317475083777212,-0.7867001982336916,-0.9776547810827515,-0.7214192011074505,-1.022537714014015,-0.48674995818209243,-0.7816830510481175,-1.2033343146878777,-0.7693030943496895,-0.7427504696045276,-0.9578563797066126,-0.7814318221552039,-1.101154650985046,-0.6331680804028794,-2.864441113819392,-0.6585924837309077,-1.3977541250984005,-2.2362933042186794,-1.0202880890875539,-1.0752272853972116,-1.102616642088363,-1.3268905435843896,-0.8645685750384386,-1.0477785338360657,-1.1129561556512337,-1.4036170044120753,-0.8700896778963022,-0.7057851964619891,-1.1783699715565361,-0.6113707605943398,-0.7418736022915385,-1.2143434883501467,-0.5006263480354664,-1.7631395623052275,-0.715068337469396,-0.6020942706133058,-0.6099602345784165,-1.0087293617169968,-1.7402334627339073,-1.212734484811289,-0.4369513782784271,-0.47467440578612363,-0.6824378233437227,-1.3930885729474598,-2.078566689264518,-1.200236365082331,-1.2454728078289867,-2.7383700470140457,-1.5748084874128665,-2.642905776598961,-0.8573570144609368,-1.1340445435573352,-0.895188241813613,-1.718205566716665,-0.3808229940108596,-0.9526414227716056,-0.856336465746097,-0.7412186606102016,-1.8144263906359956,-0.9179676742494393,-0.5769503622402543,-1.8074495366530527,-2.881742276293089,-1.011691013499249,-1.4026560903004215,-1.0692532707881839,-2.797978144190046,-1.6036379744390947,-0.8504841136699711,-1.283785030768895,-2.759877902693571,-2.182747341233461,-0.6179319451946249,-0.6892703811896208,-1.1526271745427237,-0.7749262497093361,-0.9959964618134478,-1.3296735788298348,-0.47968758788093324,-0.6704270985168121,-0.9983286773398078,-0.9993217849122897,-0.4289834631900513,-1.2137462721597212,-0.5622199496793128,-0.7154085853046434,-2.480562310163592,-0.4833296396296769,-0.5771116795490657,-1.3736916998688198,-0.518722725729819,-2.3298018387408757,-1.5464669144157543,-0.28360694037698486,-2.0687818497026798,-0.5343649798272693,-2.337522724276086,-0.6671854684407894,-1.557216127300354,-1.8682170612060789,-1.6463198411232947,-0.5786330388750842,-1.2323408192768068,-1.0781950012156265,-0.6705742273848043,-0.5222641705205199,-3.640419436069473,-0.638751402514713,-1.0182437137183784,-0.7564998900915991,-0.5008818099256712,-1.1161373173162792,-2.1091799539892495,-1.6004762711381684,-0.36720108262092843,-0.6667293984261484,-0.5602467586140085,-0.8463695421633881,-0.7692336973419085,-2.451243811580001,-0.6010619115395974,-1.1152001756677876,-1.7588789123508561
3,3,-1.140276889745802,-0.5991433073757617,-0.724835598639724,-1.3981201735676834,-1.7450463465659545,-0.8521932615758347,-0.5688527100858982,-0.9243203339109187,-1.1824740717418014,-1.1797880787910566,-0.8609684904126156,-0.7515813556825768,-0.6622699491755869,-0.6151191192768273,-1.2961121037550045,-0.8084931641880324,-0.6818500241841279,-0.6107645652398871,-1.5563645765285945,-0.9102738451159882,-0.6257400971419887,-0.6218088427370211,-0.7953838012427534,-0.8897353622582361,-0.8862656577659538,-1.2546609257605994,-2.4899224635826442,-2.487336293904327,-1.082899207023214,-0.7144700970304082,-0.7208027951220186,-0.6166449765472195,-1.0323381391834423,-1.1358526358188425,-0.7210536829196816,-0.7479408140830262,-2.389862158582201,-0.7239613545435193,-1.2035859721990958,-1.4361610702047556,-3.3383904297283107,-1.036688166820333,-0.7020071371797396,-1.1247458559551269,-1.2146777221444767,-2.127175025957696,-0.7303973533885921,-0.8395457409900726,-2.256335398705063,-0.8420485785797238,-0.746672210417339,-0.7019899449721331,-0.5888883872026335,-0.8756600911638082,-0.6709741523066645,-1.8298593827538978,-0.7709476695327178,-1.1343522131146624,-1.8811753519207943,-0.8933425538984153,-0.973788468417151,-0.5648349406769955,-0.8433469730965653,-0.6883276331692949,-0.6102571604352748,-0.3818979340034821,-0.6116499491340754,-2.399761576522269,-0.8396785476550389,-1.5525340432371246,-1.2788484226858525,-0.7559757752061751,-1.004209981823015,-0.674480277638946,-0.6923366231429469,-1.3321701437815299,-1.237311176481273,-1.6521838993586129,-2.013486575823547,-0.6912889966972853,-0.8368068655553564,-3.128470729185464,-0.7668860256437902,-0.3648368958391506,-1.4343848870670262,-0.583956731950714,-2.1464100440157434,-0.9251437610397772,-0.5225894637389173,-1.0882990908093042,-2.159507774223814,-2.4607160245219433,-0.6658250493755744,-0.27331527739438166,-0.3957148749656395,-2.4187186082893763,-2.1720569276338315,-1.1182890594397783,-1.4012883562885514,-1.266734369538848,-2.649424042983064,-2.71479374585976,-1.8704790087026217,-2.052189628003641,-1.070840626443779,-1.723063810208585,-2.467791993212983,-1.066218119128205,-0.5387461322783391,-0.6506672906424642,-1.301118794236395,-0.48388602069169806,-0.8994416126654485,-1.2014817083439038,-1.0798823000802016,-0.3285898369136477,-1.643299383484253,-0.9219109254412482,-0.8528666533728548,-1.0952521980008636,-0.8916693504237276,-1.6610153239713823,-3.8493923454708385,-0.9007928874329636
4,4,-1.2187123189825022,-1.4391799482018524,-0.8244662394045372,-0.6370974345655471,-2.207731831094834,-1.0120509432528255,-0.5176920702239346,-1.8504916701819967,-1.964551971481192,-1.424444190029543,-0.9984085347773264,-0.8293019781582676,-2.2951128305332165,-0.7206138487927397,-0.5556164362289251,-1.449807862164882,-1.2313392910822765,-0.7431724968266717,-1.844368660259194,-1.0971390215344017,-1.4338030540734326,-0.6090468518529302,-0.7198139672920538,-2.4187041795301774,-0.9586026316994042,-1.4357037969606898,-0.8027308019210918,-1.6402403220849153,-2.06360362847216,-1.5184656218485713,-0.5466983580975868,-2.2044454005698424,-0.7050977702351486,-1.2007236585702483,-1.3949276564041113,-1.1388262234924789,-0.8459596090864157,-1.957582168906234,-1.180374462486879,-0.6184330409042829,-3.306988249061619,-0.33379695159052725,-0.43695332693114036,-1.003304696730585,-0.7511170008319821,-0.7397944926746979,-0.6844613807399835,-0.694768198709527,-0.9002934436413551,-1.6076739768673391,-0.5650259429458984,-0.6878384508929005,-1.4469005800407566,-0.8647570836628891,-0.7337706119578107,-1.0942430649508952,-0.934640626095479,-0.5760091434075739,-1.1104630555397934,-0.624407739151595,-0.6860540443758554,-0.857151696240829,-0.7475437189580357,-1.9341174687585938,-2.4427621616961117,-0.6161915851548556,-1.2129284621637528,-1.469972439482149,-1.6154232965948427,-1.759403268055567,-0.8824255321104484,-1.3355517708615654,-2.4743847213610866,-1.3089636580851571,-0.7647941914997164,-0.6947218839742461,-0.8860095661844407,-0.7252028804791016,-0.7250212627807107,-1.2447117319921441,-1.581843388684327,-1.4436210257291677,-0.8451955815394063,-1.453417818524886,-1.3146168559483393,-1.0672556673470532,-0.8268220622341251,-1.4685724125680075,-0.8842666002916386,-1.350206186751361,-0.7939386560599139,-1.3858235837342372,-0.641909372283244,-1.0138197164948386,-0.29322209985252173,-0.6283551686087236,-0.824042182121458,-3.7266476573336744,-1.1006162779620963,-0.7764854353027907,-1.3836981567522242,-0.5758884287357524,-0.571059435126117,-0.787972718845547,-0.6720701733660084,-1.0597966577130455,-1.372471686917721,-0.661108929575908,-1.9117755179056766,-0.5486808744009558,-0.9219469530269871,-1.0302313005124368,-1.5063206498418529,-0.6736991675969062,-1.1430183850850038,-1.1145078170625438,-0.5992035286416015,-1.0094364402650453,-1.3555053704809943,-1.2385580708571677,-2.759500696961731,-0.774713257713373,-0.6928239479690333,-0.6012648819541802
5,5,-0.7290180427422959,-0.8522823593860194,-1.2967522335016355,-4.207861376409487,-1.6973656945421196,-0.8450659060555405,-0.8156559377354111,-0.7832875240870282,-1.5710052465466053,-1.6816416298097212,-1.4438814795596706,-1.4473613469453592,-1.919860047634773,-1.9038395133843236,-0.6592994467895902,-0.6992711693596589,-2.00012545512561,-1.1983587806230078,-1.3849476221786658,-1.1232653046659906,-0.9262374087914482,-0.5876409176087626,-1.5862276504413426,-0.7520718512446669,-1.595061402346869,-0.6431710392336117,-0.8335664193713048,-0.7422146780898461,-0.6578054457014693,-0.7226287215615315,-0.7209977090109924,-0.6430340158741703,-1.3391433714693997,-0.7338427311871377,-0.7385824076459817,-1.8395281898642653,-0.6215044945866217,-1.3912135205216027,-1.0823962226152883,-1.4166310396142956,-2.4221267668890443,-1.3680582645566033,-1.6311193027197493,-1.5340317581297158,-0.844296175347161,-1.3568689486643635,-0.9200567834095851,-1.477396983848807,-0.8642903943728419,-1.2019012075036473,-0.8199658489474475,-0.5925768130019878,-0.6590699674515821,-0.959493576589382,-0.9287403697984111,-2.62390060343618,-1.0994022980325788,-1.3911431926700408,-0.7590345788512645,-0.9632216875084999,-2.9218608671294346,-0.835408812630413,-2.5708491350855294,-0.7539670357143963,-2.5110719935914956,-1.2595477421281962,-1.0263011245052802,-3.6607992668544425,-1.0933439028787546,-1.826332191666102,-2.3212195653556167,-3.773686898781777,-3.7794168627801907,-0.725201661658561,-0.7657894858509195,-0.8068142368726288,-2.2571124360372323,-0.7033735666376772,-1.220641844423787,-0.6178828572770301,-1.0236038976356745,-0.7331754963401567,-0.9996031844101863,-1.6303486718143554,-0.5054672321210468,-0.5842061776027944,-0.8223193307528222,-0.7551591396492374,-2.326586944070057,-0.861326694244591,-0.6969478352040708,-0.4901719640944402,-0.7273700337046345,-1.0048907413118824,-0.4756258258549493,-1.318757437180024,-0.6323005272407796,-2.8507162658368363,-3.243191306965303,-0.9537779624626188,-0.8818155805259016,-2.4780720778744723,-0.5844871067816861,-0.7274210752318269,-2.323922645474682,-3.032257237674685,-2.5607128459283857,-2.42597007448705,-2.746944469316696,-0.7534120170413888,-1.716844899259844,-0.49618613013095797,-1.128450648352084,-0.6784684114964556,-0.9128453139961177,-2.5391682307860637,-1.1317281647959054,-1.6093871823213197,-1.340529833985774,-1.4987770710359367,-0.7071822454296706,-1.1581093601268557,-1.081196255080724,-1.5063075930796046
6,6,-0.7310819361832177,-1.9686450623685947,-0.7227878210974032,-1.5430681184709334,-0.4344548813728484,-0.810507970046638,-0.4838545608437387,-1.0588407917359544,-0.8349745016324424,-0.7214771063846067,-1.5412641305586399,-0.9291417673193367,-1.8953133846700112,-0.992243565766302,-0.6976066655838776,-0.7559074977021032,-0.7866692655098546,-0.5873678181979363,-0.7284452207111181,-1.70030781219509,-0.9969882576713822,-0.5788508561264463,-1.3594714425442986,-0.7720271308586976,-0.9542964749482753,-2.0664841953748754,-0.7242095931152952,-2.4375321505129035,-1.0066295353473467,-0.789495102626155,-0.45764093916662063,-0.9944822337537305,-0.5508358930988372,-0.6629445503305536,-1.6735200581385234,-1.048758544876263,-1.350000641138105,-1.1607594650907551,-0.5044471247427897,-1.8384239861697407,-2.644680430579289,-0.5244604617122451,-0.8850107902481302,-0.8193887556717515,-0.819358791033064,-0.6542297740124601,-0.7480286044114794,-1.0901453045484555,-1.8577348262545732,-0.9375795663268008,-1.081430127463553,-0.5884015194690876,-1.4005123701951088,-0.6690161367184388,-0.7168354055128143,-0.5237331376108475,-0.8250513290232642,-0.8931415990471236,-0.8442145767742157,-1.040021338142747,-1.4561329761340986,-0.496877468910527,-1.5580209621961645,-0.5967590750598608,-1.0723714519143492,-0.455712969984148,-0.6940919160220155,-0.9965469083788638,-0.6861594137534777,-1.147740485613155,-0.7581447810948034,-1.2047198702233541,-0.9234123199556066,-1.01237284440513,-1.1067241073948304,-0.6689512727200504,-1.5382039427697345,-0.7075788721249845,-2.398334485326724,-1.4836614297130775,-0.8888028517472192,-3.2266092142478042,-0.5661283589074761,-0.567431438274385,-0.9573366243346493,-0.6006540224113087,-1.5007961971446184,-1.0461043471133515,-0.40437325499860854,-0.9051497865749705,-0.8380954784460525,-2.224752248717487,-0.732003445545373,-0.7135602580132023,-0.43928796848339186,-0.7382481449606574,-0.8792276369254834,-0.5322788106963313,-0.8329867020776733,-1.5212267665710022,-0.8166121162222197,-1.2983239370540838,-0.8492373324004119,-1.1768705658585892,-1.458250673219149,-0.7352077999005531,-0.5821325786254721,-1.0413573487822108,-2.3478083081326986,-0.4149408675641989,-1.500098991759153,-2.075979519605891,-0.5539255802226659,-1.65603253357973,-2.3764310687808123,-5.327075930970166,-2.38394962430307,-0.776607232730834,-0.8288019060319161,-1.7248132724431222,-1.7071587360642781,-1.2555227305437362,-0.9650253511610412,-1.1972825495909085
7,7,-10.824112084016443,-4.859780190432724,-10.133985582649327,-0.7861497868260793,-0.9881564924086497,-3.754826094715379,-3.0388895240659446,-1.462192749341011,-3.947431811209437,-0.9236088232782007,-1.827184278551862,-0.9348678964571357,-2.919123941368844,-4.098331202311014,-2.5347518581814255,-12.853827991712768,-2.8151134688673647,-0.9156730903046297,-1.681904087457825,-0.945868102531124,-1.5029559552233325,-7.345185361443525,-7.169029419749421,-4.315748214037593,-0.7993595028076592,-5.0808382162096635,-2.1882763668339322,-7.431299732564475,-0.809485952593633,-3.0167566988113035,-2.905030082898764,-4.814309433422636,-5.266077058643101,-5.731850488865838,-4.370277808956929,-4.045183541606411,-5.058989709643864,-4.5561302085768585,-1.4552974514071382,-0.9505288494193657,-7.633474064078154,-1.0639339302267197,-0.949895048336207,-2.511183670004206,-4.091535268941316,-1.3295665475109795,-3.128104080822491,-1.6587648240493287,-2.4255992094779346,-1.3269484149915645,-1.3911157614529173,-4.996028986559681,-7.136212077642343,-4.17179749271217,-4.635512644977306,-2.645323115253034,-1.235815932203992,-3.1814927224920293,-9.361939032275703,-4.688883465317165,-1.7860600051761082,-0.9624720125304811,-0.8704316353443037,-2.9530655919658235,-2.418953414594366,-2.991893216692766,-1.8983016893629678,-2.201134679871733,-7.048237798790421,-4.744236700974433,-1.6112363545175175,-2.2280503859758287,-3.6705975313071812,-2.4644420237414204,-1.6195950148991094,-3.3145296236430273,-3.2571873115451964,-0.740004133446167,-3.193455426210578,-1.3175182462603212,-0.8279345017467451,-4.561660067923963,-0.9628699214215255,-3.05755921116069,-3.3771039728859034,-0.9306312470889817,-7.617921265072497,-8.370097927178563,-0.613660287463372,-6.2806621764386374,-4.778088000802212,-1.9435267690612679,-0.7638626957339778,-1.1106823161254546,-1.795181456794585,-4.242584529049387,-3.1927059215134452,-4.101078949709709,-1.2426958449882588,-1.0130147669392515,-1.5295437236286833,-5.084711083495403,-3.5371320420544325,-3.594816411590193,-3.4391977100535875,-2.7060220183132566,-2.857479309848518,-1.8446761827488634,-3.379332581057635,-0.9326937037832062,-2.768382597087565,-1.647651932978912,-6.160156646914119,-4.792927030529501,-4.001032202331189,-0.9172057972299118,-6.847881495037623,-3.4649789847539445,-0.8946332369589147,-1.6589409213237043,-1.055094387355679,-1.060399784876585,-5.62760749896936,-3.275295161780641
8,8,-0.7456019964062157,-1.6532230499437288,-0.7119652143740857,-0.6954484035521054,-0.4168653465405886,-1.354386992758696,-0.3717233160836113,-0.7883623007057214,-0.8964992977637319,-1.2322861054247047,-0.9379813695251786,-1.0722203186357806,-0.7145443664287701,-2.5893938713557185,-2.213871095348077,-0.6634650468016384,-0.9625717609418989,-0.6857455588698003,-0.6683819297562237,-3.113114425314289,-0.7776633008434181,-1.051018905800097,-4.026051534317983,-1.8116200805755849,-0.7821339923804422,-0.8810555404819228,-0.7618757797960952,-0.5878862322868587,-2.7729176982836146,-0.755616055151968,-0.8484151921552119,-0.6088432393725509,-0.46627239595850356,-1.3990747876190979,-0.8824570413658048,-1.2160847463132984,-1.1568802435009424,-0.6086619018074864,-0.5737535255485808,-0.6582650732506863,-1.218383577610765,-0.7103361527055249,-0.4786686180880413,-1.594230491003877,-0.8842631729905349,-0.9111102038798667,-1.4233748875464975,-1.2431653819042463,-0.9578149157492626,-1.2161872735058412,-1.2636948829112562,-2.1457559369928756,-0.4072601044060368,-2.336799840500881,-0.9635171623024514,-0.424563187899699,-1.849227306210845,-0.9581788347095858,-1.2212034404521055,-2.5972084253885774,-1.819340309943751,-0.48505770504827816,-0.7427182445629594,-1.4359692023927915,-0.6136549420257655,-0.3381607641069148,-0.9200025636391713,-0.7742336002635934,-1.1611433791947983,-1.4464015576717961,-0.9125200366025883,-0.6938224683922665,-1.358970991140206,-0.9411370693795914,-1.1302805407267908,-0.7957888982594639,-1.937596941936182,-3.820137064985047,-0.8247958466107774,-1.0108432323183862,-1.7026943101476266,-2.563096762753134,-2.6703269343010207,-0.3977554308758782,-0.5813564758463171,-1.4451328268867583,-1.1225502047875069,-0.7768643077831956,-0.8717078023070932,-1.313575801963885,-1.2788051650707146,-1.2262921111754417,-0.7807571399304344,-0.3025919815273998,-1.251783697990159,-0.6241727286031598,-2.4944346186526056,-0.48138000721897045,-3.8750167036460184,-1.3380443055281832,-1.189211169051502,-0.6471459387295606,-0.5915239845025959,-0.6225075255115126,-0.9968440374460688,-0.72415955159094,-0.6015010726813138,-0.39471830124032914,-0.7532686523537631,-1.2609263683049572,-0.8492737988705992,-0.9605483559878174,-1.0681622857124067,-0.6786449582662647,-0.6346329459098208,-2.2391665859411516,-1.2865426356546688,-0.6648416822214512,-1.5491743780508174,-0.681103206318546,-0.8600902657825759,-0.5478545263947416,-0.9409684983174726,-0.9655128286852723
9,9,-1.5628025039826072,-0.6393603034509345,-0.7871291910425527,-1.3938363053291252,-0.5163983399692039,-0.7574797288599198,-0.6674419626960111,-2.6854470395519523,-1.3714139775636776,-1.4611350550934281,-0.6743300239436885,-0.8296715402615731,-2.390823849518391,-3.1798672198771887,-0.6476903160925742,-2.0012995681221906,-0.8551711414900319,-0.43637750391158414,-0.7079674515364851,-0.8273306251475039,-3.498653935262345,-0.6260189320081484,-2.4860046425792324,-2.734955857846324,-1.3352934668425596,-0.7595006035915068,-1.2986702308730673,-0.8235070565145298,-0.5990866199924643,-1.064099390792822,-0.8239105626588225,-0.7969578018369772,-1.6280995342553883,-2.3242560243130788,-0.9446339423068136,-0.8418035018034729,-0.7211390633194434,-0.6396724005781215,-0.8851631791692977,-1.2770482973422161,-1.1810829982214945,-2.076813658637176,-1.0213683867453278,-2.0622625252541145,-1.118654766203055,-1.3483876047349492,-2.1337614952059165,-1.02853427598579,-0.8174345947835867,-2.6212169522950184,-1.105748654271426,-0.8918867318527293,-0.40816696691130383,-1.372719097473922,-0.6608487184461569,-0.43012807723706814,-0.8739520849937551,-1.0801507511940964,-1.9193528956807318,-1.2104747993302538,-0.7140512729312747,-0.48305090065841444,-1.0564504419520464,-0.7934773987270252,-0.6801187764533301,-0.3535197993062278,-1.6125775875884412,-0.7587507393396573,-1.624978907785082,-1.4309350229317377,-0.8555787190670522,-0.8158583898989404,-0.7360971083226737,-2.579239378655015,-1.371911802584288,-0.844457270806351,-0.6206171067608816,-0.8698730262533447,-2.3994407052322066,-1.436533252006223,-1.4346519519835153,-0.7044305576683003,-0.5694876760735276,-0.40258592143625116,-1.2336718396727326,-0.6291445060303947,-0.7271289052606487,-0.613117942286221,-1.4378887181986673,-0.48380006244558454,-0.6953693574521966,-0.8978569438561042,-1.1087063303933338,-2.089895971260562,-2.279546658486042,-0.7225505551978736,-1.1386350600919874,-0.7890030755466955,-0.681298499957299,-0.638269965643561,-0.7615842674730677,-0.7404419055513528,-1.1615044382839315,-1.222456976389397,-0.6238785400986477,-2.646259081337232,-1.0746079877360522,-0.35822248250264105,-0.6973342524348832,-0.3813889587041847,-0.6855105717317262,-0.5153160014999163,-2.784822983239766,-1.7870201534180912,-1.5903968093256071,-0.3370143157071128,-0.8291948117115236,-3.6252791500015733,-1.545106426091571,-0.8206949691955164,-2.568873490346594,-0.9589833126288604,-0.970780986460134,-0.650496416334693
