statistic,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
EXPV,0.08580862573313841,0.2227456945309283,0.08529924979471615,0.15809517148362418,0.2938555256411257,0.2380992746142241,0.2853175107388817,0.04069160406788097,0.061109332406258154,0.07072585669584208,0.11754701295951453,0.16754989048758018,0.09585010177241116,0.14177245612036382,0.36348592907132293,0.12105190126431509,0.1444323233789182,0.27497095099182456,0.14510694841788618,0.14807048378635523,0.05567822532697042,0.1867470462590054,0.14535986482103314,0.06890458689668277,0.14729821419591493,0.2293735099818489,0.11768092614946735,0.22234240827618312,0.13468682224701722,0.16856945146757318,0.11651139134206101,0.10481430384318235,0.24984893702449074,0.19348192660550956,0.15740769185031767,0.11516189485087569,0.15790896935921128,0.16191959764530284,0.18688645739525556,0.22747649688891802,0.09874686470233773,0.39021307424784624,0.4677274149445789,0.21757137101788648,0.1976752693121433,0.22468673859206933,0.19449988925372397,0.0912349941440046,0.1406951961345011,0.08116739087329994,0.12367605021394268,0.22889653062909376,0.23181604568742775,0.16870889354726848,0.1134207034575122,0.44211493540229563,0.07736014619369425,0.1412314207223202,0.0667700920543276,0.169571384334276,0.09276126440911403,0.20037264435557733,0.10004467173259146,0.09828586982081378,0.19507402990615608,0.3851499871780506,0.2795517865296292,0.09525906470493672,0.09322546442963697,0.1465140648718437,0.14942255827462725,0.09008311935060154,0.10795187085358127,0.08443418956688398,0.10852613358524665,0.14271499842021584,0.08193163179493934,0.11592637569310327,0.07560272989386951,0.18646457698453256,0.08552333955833202,0.06721933569383398,0.2586604562339868,0.3579203170554188,0.32070913735181183,0.10913520361124063,0.20903454340469185,0.10934069309114236,0.22356133430960312,0.2704116118430424,0.19912806275692008,0.2532669913599487,0.13999803318624726,0.5860117718828304,0.4129235346608534,0.06184678384051667,0.05645575853901952,0.08874054340427273,0.088079836191444,0.1043807917809233,0.08279865907598516,0.24589840825351483,0.07298239870400502,0.10431381588424082,0.07447799713287084,0.0737046882899306,0.3104738278752007,0.3608310122208843,0.1312482990945859,0.33843971303900644,0.4034827562601093,0.3526959546089179,0.17746453385361416,0.1319484019421271,0.19362584818039252,0.36202087935743954,0.1623681534015331,0.2845335478033423,0.11353885621119653,0.08752126053324483,0.1823014784979452,0.3884306174468273,0.02814653097361286,0.1998486424138075
MACE,0.022565320665083117,0.009548693586698345,0.014299287410926348,0.017624703087885985,0.022565320665083127,0.016437054631828995,0.014489311163895466,0.006460807600950119,0.015011876484560576,0.017387173396674588,0.02237529691211403,0.01239904988123516,0.014061757719714973,0.015486935866983362,0.006460807600950126,0.009548693586698333,0.01691211401425178,0.005748218527315917,0.01667458432304037,0.01643705463182897,0.012826603325415664,0.00836104513064133,0.014536817102137767,0.016437054631828964,0.006460807600950108,0.007648456057007122,0.00859857482185274,0.00978622327790974,0.01144893111638954,0.014061757719714968,0.00902612826603325,0.010261282660332547,0.008598574821852735,0.009786223277909742,0.01330166270783845,0.012589073634204247,0.013539192399049872,0.013349168646080767,0.011448931116389557,0.011401425178147236,0.014061757719714959,0.007363420427553442,0.008123515439429938,0.024228028503562916,0.004513064133016604,0.01330166270783846,0.013064133016627044,0.012874109263657951,0.015724465558194768,0.014536817102137774,0.014061757719714968,0.008361045130641325,0.01121140142517816,0.010261282660332542,0.010973871733966755,0.025938242280285052,0.01144893111638955,0.010688836104513032,0.01401425178147267,0.010973871733966746,0.01520190023752967,0.01429928741092636,0.012399049881235165,0.01472684085510686,0.008836104513064132,0.017149643705463187,0.018052256532066477,0.014299287410926375,0.013064133016627042,0.011686460807600937,0.014299287410926348,0.010973871733966752,0.007410926365795732,0.01406175771971498,0.009073634204275543,0.015486935866983359,0.010261282660332532,0.00646080760095012,0.012161520190023744,0.010736342042755332,0.010926365795724454,0.0066983372921615115,0.015011876484560566,0.02541567695961993,0.0047980997624703075,0.009786223277909751,0.014536817102137783,0.013111638954869354,0.02095011876484562,0.01733966745843228,0.017577197149643682,0.011163895486935861,0.012114014251781458,0.020475059382422802,0.009548693586698338,0.008598574821852736,0.014774346793349153,0.009548693586698343,0.003325415676959599,0.017577197149643693,0.010973871733966746,0.010261282660332544,0.009501187648456037,0.01168646080760095,0.01714964370546318,0.018289786223277902,0.020950118764845614,0.011448931116389553,0.020950118764845614,0.011686460807600963,0.017862232779097386,0.020712589073634213,0.010498812351543948,0.011448931116389552,0.016152019002375295,0.01876484560570072,0.007885985748218532,0.0171496437054632,0.020665083135391907,0.008551068883610428,0.017862232779097386,0.01591448931116387,0.013824228028503555,0.013586698337292175
MAPE,2.7706284345608583,3.6817860241960516,1.6470664761317901,2.6882907737517923,0.12141193625708416,2.9732069747829244,0.15794414766183748,2.592446662040932,7.344515923168355,0.9067661177642096,1.959699080250512,4.665281242062189,0.20332400257227518,0.0537957553566175,2.381904307833222,2.843294401643679,0.09729834471641477,0.09878182701993823,0.1750313435413905,0.3047686266420506,0.07485418011885134,0.19574238600438928,2.0222492496283517,1.5170892425245994,0.05395803978794315,0.11640603690229118,0.4112829179505113,0.1434930372990387,0.0934452284442312,2.9150529941784336,0.07784816649591314,0.2498804757854035,0.1191564322541237,0.11800825489435543,1.7116095399600828,2.170929506276338,0.5019594327984224,0.13059349321558703,0.1302169356473242,0.20706365473240876,2.949678446355647,0.09179014317683504,3.440027111178277,0.09632344532951487,1.9933015165571013,0.15221102780078286,2.3149294611323894,3.836314870643996,0.49887128275757325,0.17445815292725425,0.17713335595348376,5.810360400269675,0.31244290215893833,1.1578349494832305,0.10016258337868235,0.1735218506813165,0.3045060230826099,6.090303355541454,0.2146346333032491,1.3627030924777457,6.6862510558730905,0.35952418830636235,0.1587385398770633,0.9978587066744409,0.12011835482150812,1.8262793253904173,1.6457001158084763,1.7927143225381441,8.16607732262528,0.9373110864869911,2.0042493087026227,3.408181157725762,4.428133773045189,0.11675221124699713,0.135981940111586,1.7802141624133567,3.967617581917166,5.716629809713399,0.25502385881205336,2.670298961062649,1.325633393718053,0.7233333879152024,0.461480583512014,0.6948354095511203,0.24487305124685843,0.47704176135221715,5.956162201746651,0.173341397033133,0.1279189600123963,3.0377256068944827,0.20336902478959534,1.7814408767312206,0.16041142514275944,0.053127270108786886,0.04195413991449159,1.086076935232429,0.11242444871393409,0.11508076215603505,2.140384696580522,0.29303851718348606,0.09726786005323429,0.14789752349126395,0.3632475976432549,0.08397576471325736,0.1394019296465705,0.678036918562669,0.11261281662888045,0.10089103539783853,0.09864856001069416,0.09133340522282016,4.6418386198766095,0.7130792361806415,0.14879830266466082,0.45635487729729896,0.13040927674831718,0.47676062363018873,0.8712671144992421,0.41042946614530784,11.146566315874704,5.055732716063464,2.1383772122333515,0.47975099178795405,1.4207342864044272,0.8858019649915371
MSLL,0.3260443943742779,1.7768834303133703,0.4650710720393316,0.06977755816505393,-0.37110821014270434,-0.29018418851055316,-0.036513420683531805,0.5080445421936233,0.30218715157441434,0.5925143406938265,-0.17544374797165863,0.21089792200564728,0.02908582652287106,0.7214231556321683,0.00579151229533359,0.4298361931563063,0.13641845434387223,-0.5123075566238655,-0.19039005413540355,-0.24489600084144159,0.39888648172756724,0.1946462933747195,-0.009255349789948575,0.1339140184353087,0.5375814981140544,0.17913358709347293,0.276130740386056,0.24518845513688348,0.22123689186748852,0.47685446588343494,-0.20298302961349735,-0.09758374485382393,-0.09838501646301645,0.06386665633227606,-0.36490748834812936,0.06713302197526816,-0.04720200396011309,0.29546023002145083,0.3194405864011639,0.282594217790092,0.49063713227025185,0.24328735672499024,-0.08378219440189572,0.1521802336510849,-0.28861228785925097,0.41165300501843427,0.10034393015826204,0.1794048236962269,0.0555186320224581,0.23317910808708509,0.2827621858666858,-0.5668397319133822,-0.2730511185701703,-0.2786765780184495,0.29605437135606505,-0.1996938664016319,0.1237582251761482,0.257301873187312,0.1720306504148652,-0.1655760787820677,0.1809900265924762,0.08875723666193669,0.3154688503641878,0.34895134798243244,0.37853070950450673,0.185464201625956,0.48031400551569914,-0.3227406402177957,0.22006744178002902,-0.12427244631338685,-0.20114962158387195,0.03761224919110684,-0.1379635728503188,0.460778532600328,0.4144862328941932,0.4774861960782625,0.14851608474256217,-0.5081898991232177,0.06686822328460251,-0.02868144383783533,-0.1868292355261607,0.05607724128943947,-0.14999817135000026,0.07267708538717921,0.09084796302058429,0.25873557910426737,-0.40929444643640567,0.12494161884590538,-0.28664172749954986,-0.08891294070369526,0.08738556343223114,-0.3468256211888028,0.21646861233832482,-0.2495192818571803,0.19975657040962402,-0.09655020531671443,0.41887731717600807,0.09719826113578889,-0.10874308581934633,0.13492132240116095,0.42546192969493957,0.26406967003098325,-0.14949347061718066,0.5300184072193181,-0.1438648949092005,1.852591720785668e-05,-0.28144559169889627,-0.43143403541775927,-0.3050997638240416,-0.4299135581299818,0.0608212849872265,0.6390464453343951,0.12914295942144993,-0.051335194842108134,-0.011603290846445846,0.15672566453682923,0.1881050940021276,-0.09400155723316161,0.0313100949681111,0.35101042572818564,0.34468144964268155,0.08212523405218164,0.3881889025581542,0.29998573057781364
NLL,1.389137006580549,1.2735994760703193,1.3954467529227619,1.3336346784841149,1.0961136477020534,1.3043275183538772,1.092534409898273,1.3936602065938744,1.3908223220774598,1.3701350231768499,1.3182379576326098,1.3471533465604708,1.34814635388656,1.313804762088139,1.2016063685309801,1.3426953395440275,1.2750419279266365,1.1330916537908697,1.311485886657384,1.3623532794980997,1.3386479786406902,1.3071951005018898,1.3472773905397015,1.4113125868935201,1.35167824802836,1.301579129207574,1.301643715352193,1.3040824845978813,1.2629817454439407,1.3554612546099418,1.1526798521546135,1.2752630813403665,1.1592598545006325,1.1728817820531756,1.3446062176140288,1.37070476113984,1.3099166114412384,1.3063339442811213,1.1737165871391275,1.3177189403007217,1.3618485542283365,1.0900673401441703,1.11830156082543,1.2882059268945614,1.288504155870902,1.2881825822386894,1.3402166930200885,1.3573995035389412,1.352354981181137,1.3920504399523175,1.2956191027130548,1.2557202684762314,1.1164170731587053,1.3180630208703268,1.3175668746011722,1.077263740488973,1.3964301422318957,1.2912068339532594,1.36328430703454,1.342039571547807,1.3933283696107335,1.1339803170267764,1.3908116356828044,1.284888075477482,1.2626317234761557,1.0089116790544692,1.252687742607721,1.3514924645025734,1.3036779350628522,1.3334716077948061,1.3575496839164551,1.343398097757494,1.3502497684415624,1.2765307745886907,1.369227827925534,1.3392616564791922,1.3508038685229076,1.3750805211417063,1.3466218870511142,1.2199075339941823,1.3860056979292381,1.363340437681608,1.1742367625192354,1.0473958625475681,1.2083071168783226,1.2953858646587297,1.3347099857923046,1.289749494779511,1.0871596497564202,1.1980736150750804,1.3162185481080737,1.1886380723996113,1.3349699236459516,0.9241601558989945,0.9950742880428688,1.27016090243541,1.2783649463539681,1.166262525622468,1.3790995104275876,1.3530572349760024,1.363568822511854,1.2957322590267135,1.2932635700495123,1.2981334278664483,1.2868037377738455,1.3606019431635175,1.2030437318277258,1.0634647326795865,1.2030321928927044,1.0953518546768672,1.0959553428425621,1.0946931228877879,1.2198033938364115,1.3341295463487601,1.3171185830955976,1.060925931138166,1.3141310325136324,1.189661534829128,1.389749847027663,1.3387302197758029,1.2673042348264023,1.1826180903289836,1.3894579343723923,1.2547701658199433
R2,0.084033868039321,0.22274164982698252,0.08385374077571262,0.1580141298147214,0.29356323518279137,0.2380774827008274,0.28483231763209826,0.040111755263705584,0.05904126043067359,0.06682414137342862,0.11576554306320097,0.1666364441971414,0.09513767571032794,0.14169607315571375,0.36342128270623875,0.12061700078200177,0.1429795182046848,0.2748846598782979,0.14381201831881674,0.1473223676888863,0.05486442866758545,0.18605439512530964,0.14485157075849164,0.06605732377253082,0.14719133244334281,0.22923671558558933,0.11702025873139144,0.2219692215065705,0.13432130504298356,0.16759484125460478,0.11641748361105275,0.1043326367604186,0.24929758356656262,0.19315873301749087,0.15710663004156378,0.11474231525110035,0.15789513931480925,0.16186615636049917,0.18662394270481675,0.22662683582468612,0.09777916056074398,0.38920662080926327,0.4673523729523271,0.214827558934941,0.19731992313948954,0.22431466811115197,0.19382032184059494,0.09059918514269905,0.1387963563448994,0.07975158957506023,0.12332455710419021,0.22888481707905683,0.23179967881941477,0.16852582691790174,0.11259615914131726,0.4405195930884448,0.07675017117077876,0.14003626867921393,0.0648194120305704,0.16946392585167713,0.09066436224523688,0.19944291258363833,0.0980174805880395,0.09754255387613697,0.19424238459426924,0.38013173700546465,0.2784560594506996,0.0951491167071643,0.09255378233492917,0.14580716293499385,0.1485470935030201,0.08902734825384573,0.10728519813870907,0.08406738580494488,0.1085167760964294,0.14073647439146109,0.08189292196797471,0.11585480014924265,0.07553480126622536,0.18601545441984824,0.0855096562453489,0.06689947426568288,0.25771193317880414,0.3570190486573255,0.3203278156284962,0.10906919216823652,0.20668918948369241,0.10866465021171057,0.22288979068826154,0.26956637384132587,0.1980403880579611,0.25320749434835876,0.13963015271913082,0.5853780227143008,0.4124335935338638,0.06173921669025373,0.05515087424176002,0.08798489841383139,0.08757535442143594,0.10431208442781081,0.08240881524936927,0.24589332390521978,0.07240080134959193,0.10373021457616793,0.0735361982785655,0.07274145362770734,0.30799582856596575,0.36054716740446513,0.13000880111027935,0.3381628523343304,0.4011871648361449,0.3506741745388805,0.177311256001508,0.13164212404094855,0.1935717506000164,0.36201959035903897,0.1621636825920244,0.28396248801289725,0.11151080912270972,0.08742990152046448,0.18134774865451753,0.3881277317479891,0.02594305578365541,0.1991478004045385
RMSE,0.6704984651234616,0.12896506427339158,0.5872219156845568,0.7857807763497175,0.8820756389364623,1.0404132268634327,0.6328576117289083,0.5747661162272124,0.6971662624306103,0.5086990701585923,1.0133145172094014,0.6880967995716168,0.8608248313202085,0.4053698436800975,0.6382997520122243,0.5653293687462756,0.6994494242188505,1.0679579891165505,1.0053188415772734,1.1147429994123088,0.6020646265772706,0.6641012900238752,0.8687968941300765,0.8388611563232531,0.5043666403961592,0.6526723874039184,0.634034398888683,0.6153653632351027,0.6380654528306792,0.5315012454116419,0.8823548773296658,0.9037660036006298,0.7373691428082112,0.6588643748690355,1.2276696315863107,0.8383622039365719,0.8626508168603971,0.6087463773316037,0.5127620440863456,0.5991096693960529,0.5492645435461931,0.44102362990550426,0.5875450406645112,0.6677517558124146,1.049462767645971,0.5120089740912801,0.7506692866975687,0.7494403701292134,0.8213431217571089,0.7396168343031251,0.6238216104529902,1.3147712629721156,0.8510173915926266,1.0892872082559615,0.6330830999737269,0.6489793949534528,0.8301122706682036,0.6309894701168864,0.7701325087534668,0.9958438209385326,0.7755981836834843,0.6157346507426609,0.6735616050251011,0.5860684565319587,0.5258056229092833,0.43404146539681965,0.44497116503351286,1.2278958484539781,0.6812073575662426,0.9607955573104467,1.061152125624574,0.8523364926113922,1.012609586904583,0.5235658166219499,0.5935515162050589,0.530994888532683,0.7715364399943244,1.4959551494016596,0.8365618639855557,0.7608975886814414,1.115387875837591,0.8639015128176043,0.7837128881451063,0.5142530363890297,0.6098442277466087,0.6440154881202373,1.232809613724591,0.7322392815150055,0.8426330507190988,0.7490043903968452,0.7404819179263576,0.9709708896148359,0.6868538915052381,0.5038618621886044,0.41085956285011943,0.9193475002121839,0.5555393064137111,0.6730580928220274,1.0233475593513226,0.77423159002654,0.5922459345267678,0.589555353359759,0.9863349646941849,0.49382186780037496,0.9738869474166962,0.9083581508995774,0.8882244070025638,0.8627666885150137,1.0197498291866356,0.9048003229012626,0.5271829846394251,0.3075239899674504,0.6532033612158281,0.901180717688875,0.8205447462021987,0.4773706157283036,0.6829191125134401,0.7391260514234687,0.887261807412535,0.6206649179680716,0.5508109173452874,0.5688937792079783,0.649980928188872,0.5625959777428553
Rho,0.18013673238606434,0.3368863270554962,0.2697464483200218,0.3879004802077756,0.43538195641744476,0.43829534017305416,0.4628468865813422,0.15891857824452282,0.1807122024436575,0.24593761349460538,0.3383194220962793,0.37785414840518744,0.26393090797291957,0.34152866393153186,0.47506266431313887,0.2906743531778353,0.33243719389356013,0.3939656013177956,0.3599744221698037,0.34687828199338366,0.21070781781908252,0.3796902772203095,0.3548221087020511,0.22476897144835337,0.3333093646293608,0.4284322212151547,0.3042533834862007,0.37492750714781453,0.3097610462468611,0.35642619605719494,0.3158057835710007,0.2969333227380629,0.3769471402917429,0.3799881739885169,0.36641503513037676,0.2874207687130718,0.35651584250012774,0.338165942331847,0.3296715423297016,0.4443712361442496,0.25793523044112837,0.5557328035879339,0.5994671107491305,0.4596278264469379,0.42190949014282464,0.38613893112205827,0.38724142262053907,0.27794352447101855,0.2956307103699497,0.23557956455616405,0.24388849019891504,0.49784133395982827,0.5723180689593211,0.41733048572972425,0.2863735868925817,0.5885503068595651,0.2545423050561521,0.34265468718024994,0.23499066612680744,0.3218525797688131,0.23696853663250453,0.37536283365189144,0.26598338836155083,0.2666133357956095,0.36470451586759584,0.5016468701900599,0.39707760637162165,0.26991852446118214,0.20877048370808754,0.3414556722880093,0.28777407761715634,0.29109028237213974,0.2911653948138974,0.33221755558534544,0.290156236593992,0.3247274088289884,0.28528569780738944,0.2842355408386643,0.21520832254395497,0.38202004946538537,0.24773379768942527,0.1973779877897431,0.4585667740029197,0.5254793956384153,0.5590029711453591,0.2864553130084564,0.3563132308848526,0.1896966877592863,0.5196916869989576,0.4327793650894533,0.36703458964796576,0.41090296738705573,0.34899347167200895,0.5951545097773476,0.5406731660881683,0.20210869460929992,0.2124547725965659,0.2910516959056728,0.259282429828061,0.30659890592480443,0.2172035212778857,0.4338109072793567,0.2588104567345758,0.2808651602425095,0.19932706167485462,0.23843447056707306,0.461827375649673,0.49016504946642986,0.3185493426489789,0.4835405200788152,0.5251127186696263,0.5639001254226422,0.3127471100595225,0.33406006689752576,0.4226729272515766,0.5242778780032338,0.3481208285309143,0.47435121188908785,0.27835757263450916,0.26025823824444017,0.3579105537982324,0.5173284342850614,0.16274046773887066,0.475668096927788
Rho_p,1.421787179900175e-07,8.607620687198856e-24,1.6690196807142521e-15,1.2701034016342314e-31,2.897087670786576e-40,7.679334247098737e-41,6.26742355605287e-46,3.5865506852591623e-06,1.2953410545364711e-07,4.577990444287379e-13,5.418408277651953e-24,5.7463966780301765e-30,6.93665760946955e-15,1.904981417242126e-24,1.278498468109903e-48,7.396539994710114e-18,3.5664309232801954e-23,1.1917054867364873e-32,3.6795183139211e-27,3.245198450968886e-25,6.636251672449176e-10,2.8914285123581675e-30,2.1982950442354634e-26,4.193384585677415e-11,2.7040179253226383e-23,6.53164050814633e-39,1.7100553159069406e-19,1.701784707724377e-29,3.502337667971089e-20,1.264526368035092e-26,5.910350097225465e-21,1.3359214628258574e-18,8.05449573959205e-30,2.58546392092849e-30,3.759940869524161e-28,1.7706970473973127e-17,1.2259300352412174e-26,5.6944251232351146e-24,8.52925045535811e-23,4.6189704977760086e-42,2.9056385792649765e-14,2.0746558081736985e-69,2.7457445753270936e-83,3.0768522297235725e-45,1.1391338194217774e-37,2.5021325714267466e-31,1.637649619393757e-31,2.111280395706746e-16,1.9141867214980292e-18,4.409826726922575e-12,7.226702735655622e-13,6.164152995496344e-54,1.9894378158345555e-74,8.166145386168476e-37,2.3394684838394532e-17,1.2657858614453015e-79,6.43060683765352e-14,1.3162525626390566e-24,5.000064552266582e-12,9.56438953746713e-22,3.274666154746719e-12,1.4490194052755622e-29,4.212338799159224e-15,3.611261780509676e-15,6.925915938667796e-28,7.275364239764054e-55,3.4713618982933395e-33,1.5992786588974583e-15,9.567454585410088e-10,1.9510813894025502e-24,1.6114406938212814e-17,6.610092870702188e-18,6.477126375346619e-18,3.8233921777160856e-23,8.506113566978285e-18,3.965081034686447e-22,3.1207173407784186e-17,4.11653780609505e-17,2.7984929711588823e-10,1.2019412077130744e-30,3.0576787016023485e-13,7.660332907365915e-09,5.1792261504267695e-45,5.9644508537282744e-61,2.2378150898674098e-70,2.289255693511227e-17,1.3148788204240942e-26,2.9105345131146385e-08,1.9874246238780492e-59,9.383337586695256e-40,3.0108846006945173e-28,1.2322567939479734e-35,1.596583181013933e-25,7.994145614286005e-82,4.315963327997557e-65,3.2768590454564143e-09,4.757144033767568e-10,6.679441913729673e-18,2.1127403926071627e-14,8.740277773379078e-20,1.8967655462539236e-10,5.896474582076514e-40,2.3627742601622878e-14,9.933851780038063e-17,5.412459037710623e-09,2.3870416406065265e-12,1.0392987144699194e-45,4.2323670222695125e-52,2.600026705121466e-21,1.4946655262997056e-50,7.463049603939858e-61,7.607810054606606e-72,1.461688772868336e-20,2.129211990549772e-23,8.178297914348667e-38,1.2419580414081591e-60,2.1407493352473373e-25,1.8466823709328357e-48,1.898370030735786e-16,1.6753386303481013e-14,7.559030897660164e-27,8.15934869888494e-59,2.065143381682433e-06,9.34348334178746e-49
SMSE,0.9159661319606791,0.7772583501730175,0.9161462592242875,0.8419858701852786,0.7064367648172086,0.7619225172991726,0.7151676823679016,0.9598882447362943,0.9409587395693264,0.9331758586265714,0.8842344569367991,0.8333635558028586,0.9048623242896721,0.8583039268442862,0.6365787172937613,0.8793829992179982,0.8570204817953152,0.7251153401217021,0.8561879816811833,0.8526776323111138,0.9451355713324147,0.8139456048746904,0.8551484292415084,0.9339426762274692,0.8528086675566573,0.7707632844144107,0.8829797412686086,0.7780307784934296,0.8656786949570165,0.8324051587453951,0.8835825163889472,0.8956673632395814,0.7507024164334374,0.8068412669825091,0.8428933699584361,0.8852576847488995,0.8421048606851907,0.8381338436395008,0.8133760572951833,0.7733731641753138,0.902220839439256,0.6107933791907367,0.5326476270476729,0.785172441065059,0.8026800768605105,0.775685331888848,0.806179678159405,0.9094008148573011,0.8612036436551006,0.9202484104249398,0.8766754428958098,0.7711151829209432,0.7682003211805852,0.8314741730820981,0.8874038408586827,0.5594804069115552,0.9232498288292212,0.8599637313207861,0.9351805879694296,0.8305360741483229,0.9093356377547631,0.8005570874163617,0.9019825194119606,0.9024574461238631,0.8057576154057308,0.6198682629945353,0.7215439405493004,0.9048508832928356,0.9074462176650708,0.8541928370650061,0.85145290649698,0.9109726517461543,0.892714801861291,0.9159326141950549,0.8914832239035707,0.8592635256085389,0.9181070780320253,0.8841451998507572,0.9244651987337748,0.8139845455801518,0.914490343754651,0.933100525734317,0.742288066821196,0.6429809513426746,0.6796721843715039,0.8909308078317635,0.7933108105163076,0.8913353497882894,0.7771102093117385,0.7304336261586741,0.8019596119420389,0.7467925056516411,0.8603698472808693,0.4146219772856991,0.5875664064661362,0.9382607833097462,0.9448491257582399,0.9120151015861685,0.912424645578564,0.8956879155721892,0.9175911847506306,0.7541066760947802,0.927599198650408,0.8962697854238321,0.9264638017214346,0.9272585463722927,0.6920041714340341,0.6394528325955349,0.8699911988897207,0.6618371476656696,0.5988128351638551,0.6493258254611195,0.8226887439984921,0.8683578759590515,0.8064282493999836,0.637980409640961,0.8378363174079755,0.7160375119871026,0.8884891908772904,0.9125700984795356,0.8186522513454824,0.6118722682520109,0.9740569442163445,0.8008521995954615
