observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,1.6627928302754174,-0.5212933998421436,-0.7864850443802054,-1.1879061207703898,-0.11232454570592819,-0.4236618558929352,0.27112066359818326,-1.0943250798694546,-1.2256845844873092,-1.2368935612941891,-1.0489808188604266,-1.292571640484372,-1.454661555340193,-1.4405527732974355,-1.514379405685179,-1.5376484290698582,-0.8711958095465062,-1.3884616132905498,-0.9374660640960536,-1.005680031214003,-1.260752400565213,-1.4650169015618144,-0.8819065909868145,-1.5114673797688347,-0.8507285801096788,-1.2111469402991617,0.04694387001672533,-0.6141479507075949,-0.15448337272598195,-1.025852056699581,-1.518568474734954,-0.11077203152375037,-1.0818987236709872,-0.8621185228959332,-1.1273075220362494,-1.6818470584378733,-1.8859394224540558,-1.4551259269215102,-1.3694268217927492,-1.2933812177320216,-1.663727734294344,-0.9403064449172143,-1.8080563555298148,-1.9039945250508743,-0.5804137772254037,-1.3585435357668827,-2.2048119564055986,-0.6054852354388578,-0.840091655405178,-1.1485014402713558,-1.1631638142145022,-0.8366482701717711,-1.0774327195238327,-1.693329381598571,-1.6690113362287355,-0.6949105981479926,-1.310042426731904,-1.9124180403648887,-1.4152432566119537,-1.3696644701815048,-0.3277059132962162,-0.8066104715447396,-0.9071993694332577,-0.9745458516248123,-1.0565978701725511,-0.7328174163450782,-1.2697750267354393,-0.7106544493348127,-1.5212387967594843,-1.6409644251211564,-0.12417663024071943,-1.118252995723583,-1.1642579082485034,-1.2767779057214688,-1.39032091676648,-1.350580973736213,-1.447900494455068,-1.1951295096391936,-0.7086813520280749,-1.0208170872078774,-1.1134827602373272,-1.2713206580136942,-0.9350698508345618,-1.576746541226115,-1.7674316887685924,-1.506750841484552,-1.0976858714413371,-1.4112912949011132,-0.4141706550049279,-1.8552654644679356,-1.4107253904022308,-1.457139775796446,-1.410634357235274,-1.514266426210672,-1.0548283617266456,-1.6256262071723337,-1.1109754348206504,-1.6331619686490824,-1.3427941792260076,-1.7057832075868171,-1.2809826928849226,-1.182070165461898,-1.0229384279350728,-1.5802226769450956,-0.9365977629919484,-1.2124233951810803,-1.7846615508729435,0.4734467063322903,-1.0877640451503388,1.162554628415423,-0.7218951357509151,-0.25256155039709166,-1.358246534374014,-1.186963404025649,-0.9745337889341905,0.030073451201177468,-0.44161343370422274,-1.5269989576743457,-1.1621764255927125,-0.9974205086870325,-1.1253481750542744,-0.971431869629277,-1.5552575276139937,-1.2596706441532306
1,1,0.11317454233972478,0.502789358740505,-0.3621297480947429,1.1033415285520338,0.4480916172078859,1.140387312137084,1.556881156601093,-0.46613020877634986,0.8524435126001044,0.8683445582039175,1.2098703446373813,0.7605381968034692,0.9564118163343451,0.7852017333999914,-0.3762617701964717,1.6144261916245446,-0.8773644400678802,0.17880663830512408,0.5927437378120175,-0.2430052613217925,0.009465716867701139,0.17230055875110642,0.6170056442763525,1.3178210010234723,0.24341613613247232,0.41385783282249117,1.2987831141162576,-0.1417096220929712,1.355279011904758,0.564916000439007,0.039371813433559756,-0.5883822024067634,-0.04738313669225157,0.0704490361180519,0.6683609315449586,0.4242335931082979,0.20876352710687462,0.6464861544778004,0.6254967060573545,0.09959878618905248,0.7649034454756535,1.230913579416628,0.29983237556299175,1.3919595075069864,-0.5791437240164309,-0.33278339741221746,-0.3506378520771624,0.40246309681728254,-0.6951876230232814,-0.5902362159282128,0.9480880497693953,-0.5998093382011598,1.5984228634174134,-0.30396003150588874,-0.8222379138591893,-1.9141489832245382,0.4508279421514964,0.8231626255765115,1.2998845950095634,-0.12283514013557498,0.2747072795504161,0.7616646900318146,1.6686881561245375,0.134638296652125,0.48654149651767886,0.49375243434288146,0.07228250201681276,-1.0969850286186875,2.2623138717913003,0.3209532471819368,-0.16473777834109987,0.9401213728377196,0.5711399639442177,0.4783876831011141,0.5350883945291601,0.46249711823614015,0.10824275645917067,-0.032541833426727874,-0.3457303708772507,0.5532751667662995,0.12902822059975075,1.166512777274135,0.010156443638263466,-0.12499170995666159,0.9728381039485275,-0.922407814373617,0.9879284489962634,0.44751879067869427,0.8646763813347519,0.4961940785966089,1.1891696932690656,1.3487124622696125,-0.43509180590829916,-1.166626945778785,-0.10928499501782774,0.7907374982355825,-0.07503510740580009,0.5724264313085863,0.6145846529522073,0.6049329269801039,1.0778453704021296,-0.4286193104377671,0.7719894889483824,0.8113270646365264,-2.8433852309687015,-0.37453887833676164,-1.3031178515030666,-2.5321825698394376,-2.979558204694918,-3.010096234672684,1.089458148012534,-1.0153437230960347,1.2305413244841132,0.8852582166424398,0.47633731046664624,-1.710901224921568,0.6144799561638776,0.03912446767754861,0.15929310790201823,0.7988087590303441,-0.27813408876624257,1.0676011103039291,0.9993744035139757,0.9223710149637337
2,2,0.44626706802802696,-0.7251382602322048,-1.0104018932126706,-0.8809559454025402,1.229679826121706,-0.4305148935730606,0.2569537612791922,0.38895265720461725,-0.2953895450922838,0.5339818172068956,-1.3424629114514124,-1.0899861965673099,-1.3476754586119954,-1.1264373720768783,-0.7729048998152241,-1.3916311064691156,-1.1106448733715135,-1.905491783492599,-2.51220427873881,-1.2769023943711648,-1.295353793536408,-0.6704062239453464,-0.4547478168362758,-0.8125094662092923,-0.8325660809552617,-0.4874547994987827,-1.2641022916772016,0.00652795210444613,-0.1937269443069689,-0.7013830230010785,-1.1994385601515691,0.33527858937966215,-0.6919335114263493,0.8875153252340273,-1.871281353604898,-1.6297218668147297,-1.15919783048972,-1.1244438813980504,-1.2069744246124288,-1.2207212150716074,-1.8946127623688251,-1.6212205108499327,-1.577561704737688,-1.2669081232908332,-1.297351648598338,-1.8362575829456083,-1.3084920900214398,-1.775602780320662,-2.455293552774155,-2.451851559357842,-2.678135170890588,-0.31625610577798446,-0.010328694933671093,-2.027553976707029,-0.755991036203458,-1.9381486345414936,-1.7726649014926839,-1.1620816507839846,-1.518179573154631,-1.8017341624000043,-1.462059442710289,-0.9118548735681541,-0.6471510980855318,-0.7555660843733634,-0.8868637658396962,-0.7238173840027499,-1.220005342443235,-1.4888401493001062,-1.1327550262397965,-1.1326926532984884,-1.1327773391923994,-1.480624278084464,-0.771102865818033,-0.9194716605550709,-1.0920099871214568,-0.38149672527451445,-0.6864233157408092,-1.4798046879724776,-0.020762389854345666,-0.8402866930342464,-1.3752735280218966,-1.325868621498531,0.5951698917961995,-0.8413541506006905,-1.7048880994128863,-0.9646010990904019,-1.0427560438745092,-1.5595565742170343,-1.1687708164485862,-0.9953626311433545,-1.6244811905559278,-1.4225396290309065,0.6161909538177653,-0.3019304853177759,0.30786195104197156,-1.4642787423382284,-1.0862305094025448,-1.830668698710848,-0.7215478318507688,-0.6858352680388183,-1.224258506205175,-1.3491746191577783,-0.24858915963832046,-1.377289058687409,-0.5962521988376006,-1.1176875784739735,-1.375606787665381,0.7808472004897594,0.31234519092335106,-0.5345496135856501,-0.13688044217237272,0.32928721081805484,-0.7495051216492888,-1.0959293880044858,-1.506072685052563,-0.6456619077890485,-0.6073980581563792,-0.9758851559713034,-1.02354163590321,-1.540121227875027,-0.8492912427301799,-1.5257954294330778,-1.2773929866071947,-1.3115832312246012
3,3,-0.28236683264234747,-0.4797483156649678,-0.3239062155587314,0.18091714625963448,-1.0666732170446556,0.36694780940314825,-0.27325785558960414,-0.5979167352412468,0.12257699838418523,-0.44238885409143364,-0.17820136441307247,-0.41184815962393384,0.8615201509364837,0.539978210881456,-0.7473100264103204,0.4797751910375657,-0.16211615770371088,-0.7439254837641989,-0.16487366303362205,0.3696577066720715,0.37408952001795714,0.5565280149202719,0.5981495241415506,-0.15881793158308946,0.342597138921492,0.5716180400100223,0.8562813035580215,-0.8969496503717329,-0.616022294799756,-0.27536075752684386,-0.42966036797528845,-0.20048302517456967,-0.36471083914287805,-0.9154169845438817,0.6252632500548752,-0.04525488589205489,0.9416109322384184,0.26748164071276376,0.6629340561085224,-0.3297146940818424,1.1829102936337412,-0.3520810450941451,-0.6346023252604022,-0.7829215080259322,0.06279361588690203,-0.1694089646530873,0.9420819417034251,0.5390736936559225,-0.18868812446712802,0.01878557911139779,-0.630721224184292,-1.0462072913019258,0.1692012407620301,-0.03499272109083677,0.6927663367219418,-0.19052318286096212,-0.45215488299924544,-0.5230263993267772,-0.07109594877644129,-0.7498478538209223,-0.4538264214750237,-0.4856434230706365,-0.3723154242332942,-0.09439788829752152,-0.4971228139595036,0.33813518055096814,0.3038445992152871,-1.0759101397448705,-0.14699556014190124,0.25237063476197236,-1.4558667107891385,-0.33080370925442276,0.2623867810612467,1.0580507606769907,0.7170105731642559,0.8090101467566883,0.35384005605222313,0.2959883542110144,-0.10757741270391155,-0.3710576724596835,0.5902973104165932,-0.6148770707405062,-0.7457033730436344,0.6302936285006027,-0.26457013846865773,0.4746886430303219,-0.28675898734460986,0.08383955240832557,-0.2391998383403597,0.15518656109193021,0.22157092292686814,1.5531845787639733,0.496784835027064,-0.5873638193408024,0.3457098377364133,0.6178576028727464,0.6726608038009687,1.0059105526084255,0.01743539331388752,0.9831881885192446,0.711003018957747,1.9273541991553045,1.6186053224872625,0.5441835133818009,0.593564312943322,1.1269558486469382,-0.5322052340618563,-1.357410581043309,0.3825044532033842,0.7297899055722027,0.29993533689302965,-0.30429557231393856,0.9933215362613957,0.4889620699625697,1.0900120732590202,-0.4095922395532016,0.20284240942949666,0.85841835302574,-0.18475088753261587,0.6712060447647374,0.8200465637070659,0.6548928487503547,1.0507057837319058,1.0580619394217285
4,4,1.2718955277961637,-1.5574994164493905,-0.24551012870235023,-0.26120556260367506,-0.15890611149595127,0.24479219515866624,0.5176630715898022,-1.3670294702984807,0.367613910740056,-0.19695524254467797,0.37962272117271495,-1.349647822511451,-1.2583374539472256,-0.9389041020005882,-0.6498736937986562,-0.6529207524821441,0.9445621569059872,0.7045404775570733,2.072469559107944,-0.3970888504056188,-0.49939110607493414,-0.31996104410401616,-1.4287792128566135,-0.5577524712809503,-1.0444114449181023,-1.0544780707938848,-1.4906058403120166,-0.5439035028949293,0.8696315940438752,-0.5343419243260544,-0.2636609324713118,0.6925760312489219,-0.5164832590375847,-0.516046932433459,-0.8625947484423192,-1.0668419585181357,-0.9304262364558904,-0.9286592994330496,-0.5927898355649365,-0.2632337278736681,-1.087305854531297,-0.23500499667443897,0.24165279687126265,0.4443987645685813,0.19006883000449806,1.1600184014474308,0.5012267289670198,2.2997954715439892,0.6052636959671875,1.212922178791303,1.4726871289858123,1.8319885928976856,0.252337040631629,-0.689886039165822,-0.4747698852271572,1.9800229149490098,-0.7053865763225364,-0.013765281922081875,0.38752994637651345,0.43142417958298995,1.0723808035978888,-0.5166534385444579,-0.11288592792884597,0.14611584466060226,-0.30600323620156433,-0.539043079678802,0.2929539198190375,0.30764848943122036,-0.43294271024386005,0.7266081577592487,0.6948119866501746,-0.4239057717907515,-0.24889434343648256,-1.1984301617159547,-1.3357162737102652,-1.0816423517572977,0.3228612565551091,-0.7009831942356337,-0.03030371564472377,-0.7820742427432783,0.6992809081733412,1.581429752409626,-1.3425750274220358,-0.9039243133259425,-0.7814249991659554,-0.19107751912411622,-0.6434843892693871,-0.6697125581511267,-0.8365180817842558,-0.821683606488679,-0.6370458258209079,-0.9699742600030745,-1.095916457738452,0.14317137070581087,0.17996099976824448,-0.6968361059859723,-1.2801486006178107,-0.7673829378270416,-0.7880589179073548,-0.8124903930345451,-0.9927794417968119,-0.34839540306621947,-0.37129951410926637,-0.11552853453876599,1.3773608087788878,-0.9044502401603975,-1.4778010555992558,0.2082186532013655,-1.861962972781322,0.7058974785448267,-0.30099625626597154,0.6874723247727971,-0.8152056912394154,-0.8334577158115155,-0.8512404289476775,0.5906370016528525,0.1778341668968663,0.12094273300911167,0.47553134016748877,-0.06181611013624219,-0.4525745477449873,-0.5894301595475211,-0.36063674960421366,-0.7661032043022824
5,5,1.1786729609481892,-0.38004348607334487,0.18322726863673322,0.4909505366700899,-0.45875269679080855,-1.142255257839529,-0.7613171755530178,-0.5363359563981331,-0.5917121143050479,-0.9251870149033337,-1.2100890266438937,-0.16991014167628254,-1.5703031299889216,-1.6916502955105004,-0.9486544129708007,-1.4801812279790598,-0.9829734756045666,-0.2201404757161947,-0.8789459139327025,-1.2545562826653147,-1.3436496850317328,-1.5800050730341562,-1.20606139517668,-1.6822157080502818,-1.7161887757354544,-1.632032733320394,-0.2781339063545062,-1.428981770651573,-0.7987111522122201,-0.9529223106325497,-1.4285763627414618,-0.3262321738268491,-1.2096827102872978,-0.9212206045573116,-1.5382730929082657,-0.9145859690806937,-1.3709603968309678,-1.6704946420797373,-1.0321375551748908,-0.7345623788274398,-1.1432714020752186,-0.9552580748997354,-1.196167440022506,-0.17315740284718764,-1.3902491668020727,-0.4024717596655997,-0.43380675757115056,-0.18896260433131187,-0.6194221212061765,-0.6113974772236761,-0.7700226893391958,-0.17625937871167865,-0.7092848811400195,-0.6873861242704593,-1.361688276938503,-1.7356835925818612,-0.4217546776839078,0.579511705698013,-1.5089522732565788,-0.9035484195240953,-1.2516658634198634,-0.8230157511337691,-0.34445046817116565,-1.4933658617639372,-1.2121334985079184,-1.7807474439246294,-1.76250643976005,-2.071924075495108,0.06439391393230545,-0.9504608231686599,-1.780531452181544,-0.5639802911754604,-1.5783265957676225,-1.1642185388269561,-0.9053504321882,-0.24749154606598134,-0.8914922515930804,0.25829706723002704,-1.106715969545431,-0.45934087362692966,-1.2800198613301101,-0.12361768176615728,-0.9319614827138522,-1.5355632372470267,-1.3586064398696873,-0.45274337540591975,-1.0665406601469882,-1.3105137318673097,-0.25820867607477144,-1.6665294155836237,-1.39420639803409,-1.4289020084998574,-1.8331323689787293,-0.432050766246699,-1.0124140456631248,-0.7306591340417231,-1.2240568259405349,-1.4372064257420147,-1.8098280217302514,-1.5455873676822793,-1.318501492279918,-0.6521304697823211,-1.1792140409887786,-1.5742158704398848,-1.885661984996718,-1.5799278399675538,-1.3352663231973139,-0.6364681789155171,-0.33951223666968355,0.6751155009106902,-0.6937749725558454,-0.7109406602167061,-1.2161642236668806,-1.0101549678757518,-0.774301751806103,-0.5359021162904176,-1.1442684616898606,-1.031251190481063,-1.237747096744051,-0.5894948697014069,-0.7732197366238407,-1.614153045918337,-0.494888595562996,-0.4197489212354406
6,6,2.1535874233320884,-2.6554728404692116,-0.10120650467813182,-0.19233124421324763,-1.1449344958508612,-1.4970479076278465,-1.295405031176975,-1.3844851984194881,-1.6908473787627554,-1.9688447202390993,-0.983241068225061,-1.026419308427746,-1.7152349924126467,-1.444071168967662,-1.3183464360798351,-1.552839985607686,-0.7936765222974664,-1.2682244104441724,-0.8664446613895885,-1.0147143643827747,-1.4971333005916099,-0.5894626169077416,-1.204624804135081,-0.9458861742699469,-2.005322772712535,-1.5263475153815798,-0.718093337404057,-1.6502784610511283,-0.3989166879070479,-1.12860361764446,-0.952779958476961,-1.2952976828304283,-1.6651598210341632,-1.2182984909107522,-1.1100056443717465,-1.351471744258062,-1.3658533380523585,-1.5720380732441042,-1.6641065523946998,-1.1003736605773888,-1.6208508938584663,-1.5951190186307993,-1.3652956998654804,-1.287084643435702,-0.39075805595340307,-0.6537224126064116,-0.42946666674275286,0.5291694229466595,-0.08295901587069383,-0.30329497681036366,-0.8556187008733723,-0.05303783516689971,-0.41881072359398136,0.7795313486321935,-0.4573805412111645,-0.3275522739652365,-1.4803829924222986,-2.281471260604558,-0.8524215286359582,-0.16431811545187655,-1.4715566473655641,-0.8278448190206767,-0.9189550758562706,-1.148498702586951,-1.3172746910536945,-1.5377312837783152,-1.5185556248081846,-0.9273706243534653,-1.072056671575716,-1.4415468243020282,-0.06828424709539732,-1.3267627866571554,-1.5037757313624391,-1.777430785036156,-1.43188701537133,-1.6879397484199514,-1.7045486858254804,-1.2086221576528413,-0.7653862865651869,-0.92147297032349,-0.9879514282776105,-1.566514503480262,-1.0889698643467123,-1.5045892658744129,-1.4490872273252533,-1.3292317535385945,-0.7278735175393448,-0.5197928355301371,-1.2819573068207883,-1.5340261261418249,-1.3536260878165678,-1.6394565697002663,-1.9089602614169068,-0.33217391929754714,-1.4436493111437272,-1.51734149293628,-1.5296593718657032,-1.5741913012804827,-1.1861164757749114,-1.409916493228257,-1.5019727995956627,-1.9197194969660416,-0.6792923693071642,-1.7345610436923935,0.8550797744011863,-0.7663425712971135,-0.8148770839225166,-0.2799005039605428,1.363038544982494,-1.3164223862770792,-1.2945057339370114,-1.2653760868222632,-1.8792388552658437,-2.246884920036629,-1.2455574224148276,-2.0900925150698533,-1.7260428537635975,-1.0531511944283354,-1.3778931898948823,-1.4994116436481943,-1.185271451074882,-1.1141717313083277,-1.6980982580339066,-1.235302477692821
7,7,-3.03784313809701,-1.6857988346127826,-1.8193878191267105,0.9598823344871872,-0.467401915869941,-0.8550435441147863,-0.9456899503137454,1.2461532979402756,0.521236627833418,0.12547835774735375,-1.178291444440676,2.335040602854775,1.114002353250985,1.5696454219351683,1.0590447003424848,1.5206373170599334,0.30579611386477673,0.8986437468944084,-0.26687131179318146,1.5411832651246256,-2.4262591915637657,2.816916497161917,2.559771009956414,0.3221420039682061,0.12827031564918526,0.3048788412043904,-1.1150519338627058,-0.7210909052299449,-0.5057059511135947,1.2531352938741223,2.278035173130401,0.8128397541602551,-0.6544880430980325,-1.7697882374570855,0.34276202416115703,1.6439052906669038,0.31804733138494734,0.7742581487150627,1.8012118583145476,2.993989933978163,1.660097816274712,0.4825807479059426,-0.10160246790102381,1.092289164963939,-3.3159943593590553,2.1640391123966696,0.9487963750512278,0.04311601684544037,0.6038953131530678,0.7056147659921836,-0.6466446013096576,-1.1542788587388948,-1.5609012174645456,1.4617229385210164,0.24419996793505816,1.184998447737713,0.8930388459036059,1.328312575503597,-2.134709563602187,-1.7931428790639363,0.33845719697950666,0.9323967659584211,0.1390173954146323,0.16121547908130315,1.5905773237003795,3.0717248320193726,1.9612406013857737,2.3453420734795754,-0.06132542222707225,-1.3824561145524124,0.9609362815995692,1.1439207394279571,-0.8898144626323151,0.7883186022503952,-0.004528585592933129,1.256404419297143,1.8001610730891335,1.4094539398166253,-1.3041917446429334,1.6680965623192117,1.733713939723327,-0.4996921079164147,1.0284886341264625,1.3455765621168494,1.7809682963501192,2.527157126616451,1.9180359736810328,2.459433518664446,1.2222205077817492,0.7467633001623518,1.9044327955421676,1.5960066194022282,1.7495451563740372,1.1858247977250163,2.218431472639317,-0.14943436236549537,0.6896444599636541,2.583023559753798,0.9126938860058836,1.560533498221432,0.9570010622873936,1.5892721189400363,-0.05803297632808999,0.4791536379771459,-1.9234002688680358,-1.4454930138342745,-1.501880636941311,-1.142478002725658,-2.0564276287194265,0.5170954686360918,0.32168770912559724,2.490931138253,-1.9592959124966722,-3.2768245228290764,-1.5983450432869621,0.17511663992607945,1.4545327879560388,0.31836494559859685,-0.0062955545886359135,0.9780732869757409,-0.15960060738835646,0.5031007663411171,1.7587016762322696,-0.1809418036133231
8,8,-0.42342691366787466,-1.1228791405902387,-0.23022322773159468,0.5362285227307164,0.643811973707699,-0.5555046537205066,0.36051979827360303,-0.5884864884962736,-0.9372455683853912,-1.4742702026473593,-0.48093600181042834,0.5569339731152543,-1.387076879078602,-0.7860997436334,-0.4389185570968331,-0.4111008084644939,0.6855326465256815,-0.9591380192225705,-1.0331533974220568,0.05203602382219704,-1.1899187037342147,-0.2717611671571738,-1.8109621149001556,0.20073789304320905,-0.5171689791763917,-0.9772826780980847,1.441808887297221,0.68036001577557,-0.051201812457136335,0.9038204040352095,-0.08716742973014129,0.674475109154813,-0.3451830666515267,0.07109431451517063,-0.6946838011395111,-0.6642708703301617,-0.6646064988892971,-0.7765869562471328,-1.40839119786259,-1.3458369852316026,-1.4550827843039786,-0.5951064080924467,-0.4002330299184488,0.16313976627043128,0.2615885244414707,-0.5775666808588696,-1.0535895429572841,-1.4908151197900061,-1.816963802590352,-1.2596915581617214,-0.5203351052084998,0.5027079386397006,-1.4509691331293384,-1.0200979244375554,-1.3384852651392636,-1.5180462699456065,0.17190568447732654,0.10647769107111413,-0.611306787272495,-0.4014900502821878,-0.5994373575898712,0.7746547895394957,-0.7771129889797687,-0.2825351676193595,-0.5726256880722272,-0.3929258020620745,-0.9952912991810017,-0.13171873398417583,-0.2451625141927947,0.03252746290946109,-0.34416664029473354,-0.2804417336734636,0.9885840957482496,-1.3245505671022715,-0.7751947976070102,-0.9225928958460687,-1.4597251392816315,0.7540379371029062,-0.2054576327133251,0.0023601612386864408,1.111567306788577,-0.6537099078930629,0.8461520201912963,-0.8528182554128083,-1.4005204851949589,1.2267134850688026,-0.9482283907422978,-1.4518569446418719,0.018964223844626118,-1.1966585119481372,-1.190512007718492,-0.8984192075308787,-0.5803407368127419,-0.04974021788406418,-0.6683091309437709,-1.0693992199714728,-0.7569590091822365,-1.4134835486636488,-2.144830466647879,-1.2298073341851894,-1.2792157997891236,0.4770123663009768,-0.8974538864877741,-1.1099434237892778,-0.05883492351973466,-1.0907635304643224,-0.7194733815674751,-0.5339365379620722,0.7880391671204136,-1.6167940187032774,-1.369966930585016,-0.7228032905720724,-1.3571629314409879,-1.2416171138218846,-1.135042406117271,-1.0028298620199658,-0.8006181375131535,-0.16976116219795626,-1.4366968268863145,-1.5480583238395145,-0.6137050780923982,-1.2876667622738835,-1.1091777708857709,-0.5619459058163329
9,9,0.342102184729552,1.0659316159698624,0.7985379506405922,1.425084136667287,-0.499246195996987,-0.1645243615411817,-1.4133526636174765,-0.15412264600831727,1.143750083154057,0.5682286293531676,-0.28903320774697305,0.5448466871965626,1.0039349081342606,1.1479573485120136,1.3581661299172385,2.0085451873439086,1.601438714190485,0.16161514688033687,0.3609730077259926,1.550588636804453,1.362441332801616,0.6559196478606408,2.007694308991142,0.8311851948640856,0.244307257893825,-0.30591996255897097,0.44080689724621563,-0.2481301552496019,-0.5817045253641943,0.9087624641495423,-0.06966389715419048,1.0754583447823716,0.7364845348695638,0.5873749552677255,1.6742109310989701,0.6727066824501297,-0.29508555599383895,0.49308329875274526,0.2696341556363881,-0.25245640822560206,0.18403436387778457,0.18987910906859778,0.31765939238677104,-0.2424783182016302,-0.7967156692404166,0.5410893062742409,-1.0912002441926978,-0.5930250846213571,-0.09393109783641726,-1.6898768316717752,-0.8354651913340445,-0.45587532864202923,0.13877457310095537,0.747408461564727,0.7515082991738313,1.08332521326221,1.5399098213975286,-0.006668386897833573,0.07667278216499263,-0.3669145034758252,0.3136168696701154,-0.5198291567696702,0.9296692173021446,0.7058920348169183,0.693226276414087,1.356500030298643,1.4287090231729975,0.3377450424631188,-0.18241555084964722,0.1846312368168317,0.1869370799128147,0.7574513711715136,0.15909395797024722,0.32995989934645137,0.08771223397640632,0.4602014752747005,0.3303615473747846,0.786592181572394,0.6837189900508701,0.12779525301421157,0.8938332430922826,0.11560117970419038,0.9527422498374366,0.7538320989944574,1.6806322762245272,1.386845386198057,-0.17701593759318146,1.503265933233303,-0.7771917385214775,-0.05038958662029572,0.706496779065774,0.3659819355840475,0.6111062649217243,1.9867559332030462,1.2549287298263299,0.914397595273723,0.7530253564051819,0.7852167379566269,-0.11899386975340694,0.2410431861303742,0.1825721752698313,0.5185351203989276,0.539155803136524,1.8827530145170572,0.5598218993994185,1.0436225620621946,1.6173699491914033,0.1599971396369538,0.6515778544319693,-0.4729562862835609,-0.2156924743817357,-1.1245662570733428,-0.3878940348757204,-0.7919069480994807,0.44923306779103156,-0.22020943867612294,-0.6573950252418668,-1.2147232461303985,-0.6728674946186693,-0.18611494640740844,0.48498896682776604,-0.05433187381828822,-0.1114778340044646,-0.1459019125264429
