observations,subject_ids,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
0,0,-2.0089367449642497,-0.8066054687556463,-1.031009589833426,-1.6041895722380912,-0.5938917884747683,-0.8482893888547013,-0.7057416262963652,-1.6166294985252143,-1.8313481534892073,-1.968995096473254,-2.17245039476659,-2.272632553338388,-2.753106497153232,-2.8428935288991646,-2.6796973810890687,-2.8968441861218333,-1.06660450286584,-2.263152455115525,-1.1413783878900254,-1.6605343869625655,-2.2380709294296106,-2.784908577160548,-1.5130309211340751,-2.874349671206944,-1.7303045154630152,-1.7858915810165676,-0.7141656411250857,-0.9244670856245822,-0.698249089116401,-1.6737722453178319,-2.7893077579703363,-0.8078063516867593,-2.018753602681623,-1.6778235450463455,-2.2474706748213307,-3.2890931426187144,-3.7144245513422067,-2.861650784323512,-2.526321704079062,-2.064723534208924,-3.033999314735701,-1.6417368825914727,-3.0952245462950723,-3.0712198317390413,-0.852339799040695,-1.7026629022686848,-3.757827650016302,-0.9045096171665317,-1.0428383190766288,-1.5115053745107654,-1.5048654860839366,-0.8996157527603037,-1.8492673270811646,-2.8205771269480335,-2.8573669631803877,-1.155831895732056,-2.3130480790417938,-3.171361838503737,-2.3763911509614695,-2.224385780450498,-0.944046052056287,-1.3595386744901576,-1.6380621339725245,-2.326865768935268,-2.208044945171049,-1.8170846881271796,-2.525584483769107,-1.4046896609413158,-2.5918884422951542,-2.86985121281998,-0.7911201010639779,-1.9308349389773802,-1.9098501250176831,-2.531018850123674,-2.680586412200146,-2.420987100299395,-2.4351340713669227,-2.0958781823410026,-1.2862990383667317,-1.3727639891418255,-2.0466031199662678,-2.1880928864865523,-1.2050203568980846,-2.804518169772738,-3.186817548085749,-2.747515380739052,-1.9769310007510814,-2.771616622464494,-0.8317719383961065,-3.47318227049307,-2.8024782011188147,-2.7076573005753737,-2.559663169746888,-2.380063308017693,-1.7450695882846108,-2.9247701080523094,-2.202894999630662,-3.161205006952041,-2.6622927034641766,-3.110830930748597,-2.503496244080141,-2.3195826298476145,-1.8026380626364467,-2.92146169164568,-1.6692092207210814,-1.9407145724547217,-3.1436387330132884,-0.6639886756746101,-1.9363353282981959,-1.2624405591334704,-1.0460372787590146,-0.6384587312519063,-2.5167756154382026,-2.1305115889352697,-2.240464094071858,-0.6392844097012593,-1.443193721518505,-2.786066314486888,-2.3748310886166357,-1.9050490796523953,-2.2877942568183594,-1.8201467327747594,-2.8970125818286823,-2.1511865314112546
1,1,-0.6015833128121146,-0.8708981398687143,-0.7048142121012775,-1.5990699624288753,-0.5094370431742616,-1.3469262352609386,-1.7342343565535643,-0.714381044532181,-0.9827619039454318,-1.0009648112799714,-1.4985204448858478,-0.912038087429573,-1.2059348500899678,-1.0543828541519038,-0.8311164509997064,-2.093648238030162,-1.1504401586682158,-0.4985577689629624,-0.797073710560271,-0.7957601813227863,-0.6306807011580998,-0.5916053205261991,-0.9290599296946618,-1.6343179450488938,-0.7293004516667734,-0.6440496719926134,-1.5273226573015515,-0.6227776734305215,-1.451873008568062,-0.7985939418650149,-0.6517594983307802,-0.9626112487199037,-0.6149023618794333,-0.4525049083463396,-0.978588653375669,-0.8065333381609238,-0.767865572964109,-0.9283390511637326,-0.839092498178753,-0.6895485838639206,-0.8897098202117327,-1.3668302198421087,-0.601502939368889,-1.5096702423324349,-1.044458913203769,-0.6711367779735291,-0.7705094768644571,-0.7451399646596621,-1.108525565943388,-0.8869070663983105,-0.9278487727184839,-0.7039684951165226,-2.0303690679644104,-0.7422709022945257,-1.27095435026559,-3.087258548401687,-0.7346437172089442,-0.8643658226671983,-1.2955238307203178,-0.6910802045134263,-0.6963923874609258,-0.870048226062749,-2.033665561463697,-0.6699647239686306,-0.8363444845473598,-0.8018991013336146,-0.7306266968525237,-1.8663049961848053,-3.472960712195605,-0.7581590134400082,-0.7488716626032388,-1.1859159038010618,-0.8862291760315779,-0.7740210137960986,-0.8224103498750744,-0.7427664675940848,-0.583266260126731,-0.7494589113763443,-0.8088940158180626,-0.7519461864508412,-0.7032835737789827,-1.3451155263583159,-0.622704053028998,-0.6791732802438921,-1.0782693392183471,-1.4741367252558715,-1.186667500977034,-0.8030205977696543,-1.0231761503769747,-0.7599804073241869,-1.4990495695564625,-1.6248400009346131,-0.9192896819716685,-1.5858502948320492,-0.48459313833738293,-1.0061475771387027,-0.7272989768878302,-0.8962953433311415,-0.9293021543903138,-0.8984929142395223,-1.366787792015901,-0.7935602256233335,-0.934373310044861,-1.0789932504527322,-5.811062934520137,-0.7974357794523236,-1.930490256363421,-4.812631577867889,-6.284864237967035,-6.251983819304972,-0.9222681108252814,-1.240147420548352,-1.2367800814719725,-0.8559193513596556,-0.815822741286202,-2.5230485239302505,-0.827032979127255,-0.6026854599217125,-0.5660076198535097,-0.9520151740795577,-0.7483509647462738,-1.3150241200178296,-1.2265377122630086,-1.0507310663196958
2,2,-0.726366886738253,-0.893956327394006,-1.2870796755273364,-1.2627471480101207,-1.0903981339666375,-1.1135674645766211,-0.6111027570533696,-0.6098463132692591,-0.803070916926142,-0.7571459902071485,-2.2674364504446416,-1.711403397876607,-2.417511898852191,-2.007706302342915,-1.3973330992313315,-2.273418231782625,-1.3953256328858923,-2.8944525920826587,-4.9145427278728295,-2.2141367170579587,-2.2698152394912743,-1.3207516451289658,-1.0093009907423265,-1.585986988652373,-1.5890422607682422,-0.938808755918602,-1.9832718847598538,-0.5751523228544667,-0.6095610274008239,-1.1472788027864866,-1.950591511722069,-0.5704727110836008,-1.054258329707939,-0.8070734421400003,-3.468618642024448,-2.9434100340271407,-2.110067605493808,-1.9009377959118576,-1.7935140981538127,-1.8271096172075143,-3.075119548860482,-2.811816425420286,-2.787149312076335,-2.1625735295586113,-2.3181678636597853,-2.984829778671714,-1.9668713173564865,-3.190674301387906,-4.566490162015607,-4.528944688427614,-5.016857847019873,-0.5017216442858032,-0.6346357531560175,-3.474228831577023,-1.3468256464997872,-3.08754286292001,-3.136425369451777,-1.900310467292938,-2.551379991427774,-3.19046349477086,-2.504420297156347,-1.4894598615739847,-1.2396950232536148,-1.3162221735631183,-1.5651565524239723,-1.3308393146387751,-2.1110255287736517,-2.5722536273955674,-1.7444027403580726,-1.6812111367821525,-1.5533773581925092,-2.618528155739953,-1.386179853843556,-1.67127282386804,-1.9268450026772526,-0.9359327870201137,-1.1352837818794046,-2.603076054435064,-0.6933975890309361,-1.3024970200469723,-2.136370961377444,-2.0020726786133194,-0.7855500479547652,-1.4004889356280854,-3.0024974339933594,-1.5386110420024108,-1.7666528797185241,-2.7312009511115667,-2.071118913299218,-1.8571359364381337,-2.9817551192386986,-2.409565940870352,-0.8982736490164851,-0.5865615667639481,-0.47386825626980705,-2.5515981079531866,-1.8281296172642534,-3.3174791456656605,-1.275994179762238,-1.3372505123161478,-2.1152958813378335,-2.166533468405803,-0.7905843276972075,-2.372579384946217,-1.0598814956695168,-1.5778568084875135,-2.049552759748439,-0.7374069960222379,-0.5023655866406326,-0.932997232605674,-0.4107783919293354,-0.4005711531520572,-1.3976113168980544,-1.740468352011278,-2.5475082293090896,-0.8957191057083423,-1.0038898866510164,-1.410463550019902,-1.4811600489731278,-2.4158961664470304,-1.2723832025371924,-2.671761882616024,-2.0844782665864576,-1.659354224167243
3,3,-0.5924445503571394,-0.7106440974294835,-0.7057860936708463,-0.727153144919047,-1.6517090681419782,-0.735167044346371,-0.8609977883307911,-1.0951362165843854,-0.6349482155747495,-0.8819376160113305,-0.7353619209175333,-0.8334686986746884,-1.062884444284567,-0.8502313653354621,-1.252351975454423,-0.7893799456804957,-0.6250351388710945,-1.0700227618059686,-0.8412932582952506,-0.8000375562700285,-0.7048219016941114,-0.7476990529519659,-0.8749410188571036,-0.7839343659044884,-0.7558478034708722,-0.7709533049114539,-1.0250236282709286,-1.5955315118910347,-1.1468154308908143,-1.01295542214323,-0.894423267115068,-0.6546091158370132,-0.8132450872631145,-1.318753183269365,-0.9068471675322535,-0.7926057610812494,-1.1792351792945808,-0.7683546149512048,-0.824399102741139,-0.9875213066540491,-1.2746353378073465,-0.9480214716217358,-1.0602063633540295,-1.337847319254256,-0.6021855979592666,-0.7570017627552468,-1.0205937570483459,-0.8186378305461111,-1.105569609702513,-0.8052538468780062,-1.1787730364364395,-1.5752133952528546,-0.8104230706820397,-0.7755258872110781,-0.8775376128029653,-0.5764259153882736,-1.1235610532032956,-1.1836096848314206,-0.5664399726727672,-1.2889838850903206,-1.0326526865147843,-1.1209389277958595,-0.7767247718559618,-0.7550013708910257,-1.1191691450678714,-0.7718933831342115,-0.7589432038755652,-1.8398241950236216,-0.8626829386936057,-0.8155950338383036,-2.160929687107197,-0.964451335741617,-0.801722688513095,-1.22700942893827,-0.9079401374226065,-0.9747169025517299,-0.6411939248194237,-0.8019351732778018,-0.8394668752594281,-1.0655142370289024,-0.8771309431698633,-1.2144782303662853,-1.457969317861223,-0.798775037808631,-0.8975731657600018,-0.8321203806923524,-0.9320791900093398,-0.7516240787975341,-0.8094950049593941,-0.7411813575927547,-0.7603920315087563,-1.8791126159662936,-0.8294386390944313,-1.1058541089701308,-0.5358044290818378,-0.875344930615552,-0.9159005769194104,-1.2260323265254682,-0.7766885153388784,-1.2429082294224605,-0.9452662066841848,-2.640675626181738,-2.0621284524044974,-0.8477210532532247,-0.7168776054452545,-1.5394905430247805,-1.0363683566519333,-1.9175189197638105,-0.5165158279037577,-0.7685560043742169,-0.48839693067233897,-0.4942212889056798,-0.9994144256178379,-0.6688111242694528,-1.2970236290168808,-0.6273539955344828,-0.6933174414189762,-0.9761625607577193,-0.6376957202881609,-0.8281213545665657,-0.9664928294684272,-0.9039768110244986,-1.2220358867628107,-1.1605477791905618
4,4,-1.684008278057033,-2.0519902263492975,-0.662716570183763,-0.7399917399109971,-0.5642634686993265,-0.7261248482843802,-0.6351536409639208,-1.9181133620738937,-0.6848129446655713,-0.699036651854504,-0.7507177491261801,-2.1246103063735053,-2.2364092895888232,-1.6760938491569561,-1.1499874615820511,-1.0971561928089248,-0.9305714446752372,-0.7394679910676164,-2.9196045373829675,-1.0013479903613873,-1.0779183382481055,-0.8998858139938867,-2.5304125872357046,-1.1479575777227922,-1.8165276351402033,-1.7144404715414476,-2.4028096904717686,-0.8902352561182693,-0.8799413408053371,-1.0381953506259793,-0.7745799967507956,-0.7481730212040617,-0.8504729495047172,-0.6685779785027028,-1.524802213681327,-1.8610686560002803,-1.711207740544114,-1.6208446438724602,-0.9615572487200705,-0.775323239112248,-1.5277231448452573,-0.7924271632320505,-0.6333726145283682,-0.6769573364283994,-0.6472825527400428,-1.1461366853382227,-0.6513514586958491,-3.477292519243229,-0.8129177021800107,-1.3214061175530731,-1.6034929979064652,-2.2628293872814655,-0.668843901070598,-1.068157697466822,-1.0226999101416732,-2.3901494466459225,-1.2832765077980768,-0.6687747809596123,-0.5586217413703403,-0.6848047149064533,-1.2409940396882915,-0.9938343688530435,-0.695995165760223,-0.6923045272624988,-0.9067343771788987,-1.1068897433291554,-0.7561873065551842,-0.8141829755482237,-0.8985770045529,-0.989739500307401,-1.185517035099037,-1.0027831323117506,-0.8788257486775313,-2.0945744612666166,-2.3621068398605063,-1.8311193947397593,-0.6275709362485598,-1.311009798953239,-0.7093898277901522,-1.290063938234526,-0.9638373053614313,-1.9578151471937493,-2.0612183473815078,-1.506258627379413,-1.3722524637570557,-0.7966101053651933,-1.227126939381769,-1.2446696676085627,-1.4886314090194441,-1.537907123679205,-1.256687653797775,-1.6242477021131445,-1.8403046822894435,-0.5315486384157371,-0.4569625850399557,-1.266629172544108,-2.220333499979696,-1.323620741041681,-1.3616828341027185,-1.446724106757309,-1.757316574241205,-0.7942272138321844,-0.8413409835326611,-0.7960390741485972,-1.480298123140225,-1.3277972663893043,-2.3411790942672814,-0.4680236660151356,-3.1208681135886205,-0.652487410328435,-0.514992643764735,-0.5431644668100672,-1.4202038887655042,-1.3448901351903269,-1.4765501192424648,-0.6119705004342755,-0.6615113030948467,-0.603080639181081,-0.6592303971119899,-0.6665629845555293,-0.8827533129507619,-1.1511470261998187,-0.8860318386757919,-1.0383228871908603
5,5,-1.5763415301252808,-0.6627356659789195,-0.7577206961383793,-0.9324599988647392,-0.9178114357247137,-1.9109111777096293,-1.3786876928521368,-1.0644580458227177,-0.9728547489996529,-1.3881006393990696,-1.7805979490352193,-0.6638444000361738,-2.7602290576925546,-3.0282444499171994,-1.4990831709759291,-2.630272243631528,-1.5892711889114393,-0.6756096800142668,-1.6682481157890754,-2.230487281633957,-2.241636545269451,-2.5786853233018836,-2.1702821671713988,-2.9402714223116226,-2.916506485213434,-2.832214424303626,-0.8426602785508369,-2.5145521579293875,-1.3987430383550177,-1.706486073714539,-2.2989112473822377,-0.7761616049843436,-1.9877595441468885,-1.4583199656562678,-2.6666246178939548,-1.4966977185203034,-2.3919124937100373,-2.974374690209908,-1.6430574909703215,-1.4800384580429657,-1.9607606107577213,-1.6332414472797834,-1.8212810075833414,-0.7247011281970261,-2.149703823113269,-0.9178116001331533,-0.9393758588787386,-0.8903662419824259,-1.556501988014039,-1.305140585448441,-1.3873118963085314,-0.6729048564994324,-1.4628733151429487,-1.3190463752349537,-2.231012501253787,-2.946686069940264,-1.0441789347338768,-0.7296396557150764,-2.3878324652189837,-1.4397042765274504,-2.148700263894151,-1.44236175416935,-0.759628509685981,-2.5057368079284426,-2.1236142060038916,-3.1433648218656978,-3.189015522566332,-3.984092101458545,-0.7700147447263397,-1.7853391382198693,-2.913369396631965,-1.1119548073025158,-2.868283087203681,-1.817260858241297,-1.5035955844384539,-0.8118138783448525,-1.2915801655938184,-0.7793438093483415,-1.9293306432504662,-1.1003851857164644,-2.3171981326639877,-0.8055105314333348,-1.763696209089232,-2.6391289988216546,-2.268499241862839,-1.104225573759861,-1.834057893697672,-2.1900019595743347,-0.762982207607523,-2.986119581318544,-2.3847659821782154,-2.5820497427312215,-3.4226952268111086,-0.9386915753713051,-1.4468984918419454,-1.313572156313438,-2.1336737224219475,-2.5202458565837143,-3.271698080781456,-2.7305668901364246,-2.2936889606456896,-1.0482385150219526,-1.8642983849513852,-2.727646266557781,-3.085214887605317,-2.393528917048611,-2.165823780502406,-0.9015836452618613,-0.5547514517641742,-0.7336126833479392,-0.8402496614401344,-0.7757263558855292,-1.7774107625054505,-1.5794952734186063,-1.3932922255905318,-0.7015647742318342,-1.9323469258250512,-1.7799719555617246,-1.8137088088811435,-1.1567215224193554,-1.406420527328466,-2.875191036933436,-1.0333844939071974,-1.1968789458404787
6,6,-3.4858118997445806,-4.786239429918554,-0.6798141768127953,-0.7106019652333527,-1.8366046703876067,-2.586779225195974,-2.2168125455708285,-2.375906385875574,-2.825061952790149,-3.4679825071504466,-1.406450657594271,-1.5023295369829492,-3.0746949685410696,-2.5047500295034113,-2.137923483577891,-2.7755900067057633,-1.3049169804778207,-1.964864739536179,-1.6434746251262482,-1.8048006879975071,-2.5439587397877226,-0.9803736229900503,-2.165240391464951,-1.5008167625422022,-3.6083510835305126,-2.6111026077712856,-1.266482761479693,-2.959740595815477,-0.9468522181780556,-1.983978332181298,-1.4575478145956273,-2.0733168056969298,-2.9120768290774306,-1.951190806563793,-1.851032882849375,-2.2561799607733777,-2.378988717376595,-2.7606015152596126,-2.8552563050107365,-2.029505751221581,-2.8640792722008355,-2.78627431333612,-2.13096373673877,-2.0587328207009676,-0.7666530923818671,-1.176671505403335,-0.9333468498914,-0.813504693798363,-1.0866929951235154,-0.9898274118655965,-1.499731550009174,-0.6157577004917256,-1.1359265718208067,-0.9600859295088078,-0.9307510764323368,-0.6931545871198557,-2.604821411305032,-4.380262787975903,-1.215660061444419,-0.7181241080298124,-2.56635584998815,-1.44383030761014,-1.3521514825441447,-1.826898548363931,-2.31498640872307,-2.6033756018969796,-2.655441345951991,-1.669672876340195,-1.91451169914772,-2.6421854921821266,-0.7356619480736306,-2.2718575342883174,-2.712153401935122,-3.0769901652936102,-2.441651821156045,-2.9835772174017903,-2.8272072058323316,-2.201585239123128,-1.4030528707317864,-1.680127577299594,-1.815075663593908,-2.8080009925699345,-2.0049108233549746,-2.5758516188239042,-2.4454727276604293,-2.4040418634901624,-1.3350845496327173,-1.0313405107576603,-2.035059359558913,-2.7028623720050895,-2.304079267558814,-3.0080750386195168,-3.5941425355848926,-0.850099591708313,-2.227952612493473,-2.6495603944457975,-2.7109308483858503,-2.800129031311238,-1.987905998428629,-2.453738615706805,-2.650963468497867,-3.403060094335136,-1.1146083848366768,-3.0713387020883234,-0.9256524140292952,-1.1498058819461014,-1.3123275354589485,-0.6204892925590472,-1.4153387154013461,-1.6324408447114362,-1.6378205454651984,-1.487212532965677,-3.1769836134803096,-4.2226409563102845,-2.156358377586489,-3.26724346414116,-3.115827257843131,-1.8125745748126163,-2.078852065795376,-2.6235024233369098,-2.0342282505273968,-1.8885079930030602,-3.0478753368955607,-2.266646117764006
7,7,-6.206204450782649,-2.526407421780605,-2.652734858115297,-1.6684100081486997,-0.7694915697684573,-1.1898870675925393,-1.3498218161828612,-1.3612564525576096,-0.7690496066469998,-0.6807771919516764,-1.8866303157776994,-3.531310589914983,-1.4317969016423024,-2.0930667217651884,-1.3832673632008206,-1.9983065388030623,-0.6144324874627418,-0.9662625255129851,-0.6610267515673357,-2.111600106475595,-4.654139477665472,-4.915665845359316,-4.248961400023355,-0.816806119352016,-0.7954218436919447,-0.6799050732221716,-1.9513008816945558,-1.2359435863716326,-0.8734437682846081,-1.6807294466601395,-3.530458477498231,-0.9939558246126879,-1.2032581886708045,-2.9357181617552746,-0.7871815246158651,-2.2143167018327503,-0.7982127162884658,-1.0789164476480813,-2.348868677120645,-5.424109321212649,-2.026816610754672,-0.795547643637103,-0.6104213916423638,-1.4142289163554216,-7.551938997262983,-3.1347294473386897,-1.1846917680475277,-0.7034185933503047,-0.8814319906032886,-0.9339963387535023,-0.8744521895472994,-1.555975759234517,-2.5190842942569245,-1.7877551307484607,-0.8525227587792787,-1.176269352418342,-1.1015128368390938,-1.5890082020599108,-4.1181767306598545,-2.8724706308869714,-0.7772952228383014,-1.1886198074105943,-0.6954028681943751,-0.7474427924724077,-2.2090618032972995,-5.8872238420786,-2.85911441944992,-3.767815487940179,-0.7541259633456099,-2.418604977472918,-1.694369631150869,-1.3984887211031274,-1.3038714017827298,-1.0451148580589567,-0.6673994790991657,-1.5554067794981035,-2.4121518959884924,-1.864640095931576,-2.09272900517407,-2.3178533962740837,-2.4355414964128763,-0.9690193239722373,-1.3974351726334757,-1.692643329194083,-2.4150012783204544,-4.294408285374019,-2.785951813560348,-4.0249942157374985,-1.555305916781362,-0.9866879842599733,-2.678970942039778,-2.122606109076989,-2.4361807368497232,-1.3347879606206918,-3.103813877628227,-0.7281679835565512,-0.9618245536215676,-4.354175554294904,-1.1186335512864367,-2.147180036440726,-1.197642048892057,-2.0833488828912734,-0.7065936329405895,-0.8274608491221168,-3.5084051338773934,-2.1481557292295914,-2.9335047474918543,-1.6161583286105388,-4.0750322971667465,-0.6994412726733272,-1.0301271375410026,-4.3174183702465445,-2.913791668251781,-7.139669739497536,-2.7487557696471745,-0.8420071116011014,-2.001586585375657,-0.7641591927789658,-0.5738396426833743,-1.1849774892586682,-0.6827979014125009,-0.8942126256185718,-2.423187562404681,-0.6412457852966732
8,8,-0.6388552987186273,-1.3114959468390934,-0.6654227986845724,-0.9402772406114978,-0.6207447244435282,-0.9894056475285514,-0.5812727872512682,-0.8992807088494525,-1.4024796821570664,-2.2922804242704755,-0.834654992238321,-0.7659520761667465,-2.30733797827971,-1.362273672352894,-0.8494513235477514,-0.8749351511285944,-0.7130676224303696,-1.2519814295118836,-1.6569287865584184,-0.7196296452662513,-1.8891779792282994,-0.7066227777397743,-3.343360747012828,-0.7138883700437304,-0.9626454360883908,-1.5380302931442187,-1.7437366538577748,-0.8033888391206726,-0.619354517663038,-1.0710226881925102,-0.6718600900528404,-0.7528782368417747,-0.7470602032027062,-0.48013729620741585,-1.222094248659409,-1.146212720179412,-1.169590198569818,-1.3135227995136136,-2.195115063741681,-2.327804821706855,-2.286761117504613,-1.0508932284496568,-0.7876211247821172,-0.5997725308982007,-0.5818720015000989,-0.9411195991946231,-1.63742840645416,-2.6068354452235556,-3.2585470981209186,-1.9784738426062614,-0.8118329221121404,-0.547713793756323,-2.4345456753361097,-1.5921114560231873,-2.1195151021065515,-2.2499367507325836,-0.6882752364344517,-0.5931294988308015,-0.9274343064340373,-0.8500873465709318,-1.100571087428109,-0.8879983086614511,-1.1848141818894569,-0.7709031883589228,-1.115259851491834,-0.8842284185124512,-1.6564126109798072,-0.8157087518371247,-0.7948467698240052,-0.7137738667363334,-0.8317900042699797,-0.8458673264257323,-1.2339082770593597,-2.1185297816207114,-1.3029593761608518,-1.4336581160126456,-2.2249149587353108,-1.005622376392876,-0.7660910498951303,-0.676377199893898,-1.3697639869615155,-1.0648613553477064,-0.9819890529177386,-1.3884547579741633,-2.274410994127722,-1.486263643188098,-1.6114467281980707,-2.44735862067346,-0.671065770798455,-1.9912983873839087,-1.956862406016442,-1.4260309771208766,-1.056392206702812,-0.5833203604329736,-0.8791824050896249,-1.6863415723877813,-1.277859053698442,-2.3105335163785536,-4.020758168745658,-2.060428632522604,-2.1290150437252597,-0.7489850154525749,-1.3221513576161377,-1.7638609588965557,-0.5525596195386565,-1.5224958361092602,-1.1136327155635795,-0.792931095187246,-0.7352036007385261,-2.406241589563771,-1.749571916369179,-0.8555220543220704,-2.112142330131136,-1.9312169726065238,-1.8509917004317527,-1.2295935638406141,-1.3508018010602902,-0.6934668344665561,-2.1669671361881093,-2.650532186299006,-1.0745212653956897,-2.1476386320747136,-1.7898608853182156,-0.9582588433178448
9,9,-0.7083813284087682,-1.492555973947524,-1.34751855914774,-2.1532554958908934,-0.8334146142185459,-0.7998035355553921,-2.3119445506698195,-0.656873220919023,-1.2660541624341537,-0.7510741930478582,-0.786170190745712,-0.7511951823522273,-1.2099810716196178,-1.407904947304082,-1.6284325085944782,-2.83648057462036,-1.8130612278880476,-0.5191038007961402,-0.69521318588208,-1.952758615192516,-1.5138138813026207,-0.7847643517215915,-2.8525634601000127,-1.0698556510879957,-0.7288797350695855,-0.9043704202028482,-0.7361159812040452,-0.8027420611747482,-1.0417667006762232,-1.0695418048675043,-0.6918148356611613,-1.1443839254452317,-0.8944124943565966,-0.61316118398635,-2.228557878706296,-0.9299992294315542,-0.9846789026158489,-0.8278364742920162,-0.663176836851701,-0.8858937490164455,-0.651719473665962,-0.6791535015128805,-0.6070985190168449,-0.7781709635963943,-1.2117894757210546,-0.673556711102534,-1.697443396468436,-1.2220664128554926,-0.9130932066469712,-2.9843293458538733,-1.3162880737490317,-0.7828690328851681,-0.7647099643824316,-0.9231952757550981,-0.9058317373327387,-0.9837565137516376,-1.8443057947563806,-0.7329025014049722,-0.529135094045533,-0.8753183783622218,-0.7245899434914405,-1.0853063280904856,-1.0572248205105477,-0.9273661743326926,-0.9611446644005044,-1.6953153677646369,-1.8071577171046886,-0.7945610533808392,-0.8314783113426316,-0.7703586732633998,-0.7468484299477053,-0.9745467804889004,-0.7818397339652692,-0.7253946153039438,-0.7286278884463722,-0.7620601169741211,-0.6291566367016708,-1.0194099975597077,-0.9026302230444325,-0.7293752408743376,-1.1125906945550887,-0.6776465213102143,-1.0867775161120532,-0.8514988754242361,-2.0920850581720773,-1.6959044283438078,-0.8514458995769045,-1.9094323654281262,-1.3388242153791268,-0.7796651368598644,-0.9547682654317248,-0.7514781401058479,-0.8876473506926252,-2.5786187205415314,-1.2510224158233278,-1.1021541006622337,-0.9694107634849523,-1.021022329376341,-0.8020313790736969,-0.7579641438171043,-0.7868867831539321,-0.7711662452585497,-0.7870332445327379,-2.587579837167026,-0.6859360118796312,-1.4247021307106063,-1.9637888410578632,-0.49048461106476615,-0.6453377784906544,-0.6126312898869738,-0.5118851605892123,-1.3122068377460443,-0.8348968217856445,-1.3025167413870073,-0.8128228264625224,-0.5393931684949675,-1.1508611639712938,-2.0304365573057215,-1.0063633624030497,-0.809984936561354,-0.7518422744467912,-0.7966404548320716,-0.8059251704925356,-0.8500069127540704
