statistic,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
EXPV,0.36618838667657816,0.3149933473160986,0.14388957539206992,0.13955947667978852,0.2100467668127194,0.1352993642165744,0.23650318956626948,0.21598291336334074,0.2472197219210368,0.22011597141494865,0.29218198837306886,0.17367573380481804,0.10967149679506039,0.10479091449022371,0.10942653913878309,0.1511654916338142,0.25502291395910337,0.35618905686329405,0.2355339741507969,0.11873982927155824,0.20165872385442707,0.18461418001236818,0.05466041900643781,0.0779723632992495,0.11871233490606703,0.3066036022957902,0.17855294644419173,0.2045779139881977,0.20165884195014183,0.16041398542540763,0.1669488519175656,0.17042017430027778,0.11182625724985729,0.21379203501865307,0.098268628892344,0.1063312938704627,0.082995061130273,0.11122935370738529,0.22464186447410672,0.15339686669357688,0.21652941067249987,0.14851363000555196,0.17511005858286854,0.2517556078338451,0.17031135903410655,0.1741756482681105,0.13052707037695122,0.18021235483851805,0.26791703879775886,0.23777990652721692,0.31553160768958,0.3505046664348098,0.1784161915453557,0.19675099228438986,0.16842493400754155,0.2556462471860752,0.13775881639057086,0.20156187195105169,0.06611495455789318,0.10236834779868254,0.09333454719283485,0.14017740024437975,0.09552851287020214,0.12908277081409147,0.09373811528138232,0.1234393017971106,0.077734059715315,0.11689232173862407,0.18091110623943052,0.15863226786433016,0.10750694266795979,0.09239206487617269,0.11826186395475635,0.14871589676920483,0.16009319093107055,0.14598552372640383,0.23440372389817277,0.11479508329202237,0.11349175661016775,0.14663799919209797,0.16098358648561673,0.1612660266328042,0.14517496791353568,0.29032428413730693,0.2135013502332178,0.11658129508725568,0.18701703892314048,0.14652204627595178,0.16711651328357902,0.1436657531970641,0.11849671834953701,0.17589517425383272,0.09417811348914573,0.1789396585443419,0.230641840416692,0.11476580241153711,0.14912105555686217,0.13316520502443674,0.1526358140444597,0.07269199817817973,0.11478220505670078,0.20559667262569659,0.13733850021361205,0.1576698942172916,0.1468144208940796,0.08908550589765196,0.15790755220059782,0.19784365274596927,0.16948195296047364,0.2595758300951304,0.3728690312831061,0.35678861429496567,0.2507708363902186,0.2519611703831426,0.16681711726625248,0.24838042834991936,0.20295970432968669,0.20404843996931088,0.31274976175732994,0.2552476976921819,0.23105698718774514,0.11080769082414066,0.13965343481753656,0.3239096717935005
MACE,0.007363420427553431,0.007410926365795728,0.019714964370546307,0.006935866983372914,0.01619952494061757,0.011923990498812351,0.012399049881235162,0.01144893111638955,0.01596199524940618,0.007648456057007131,0.010261282660332546,0.00931116389548694,0.015486935866983376,0.021900237529691214,0.011211401425178125,0.01287410926365796,0.007885985748218532,0.015486935866983386,0.013111638954869376,0.01429928741092638,0.010736342042755347,0.00883610451306413,0.013586698337292157,0.00883610451306413,0.010498812351543941,0.008123515439429931,0.00717339667458432,0.010973871733966748,0.009073634204275517,0.01192399049881234,0.010261282660332549,0.01121140142517816,0.007410926365795727,0.01216152019002374,0.021187648456057008,0.021187648456057022,0.011686460807600958,0.021187648456057008,0.010736342042755347,0.018099762470308783,0.015961995249406186,0.020475059382422833,0.005985748218527305,0.010973871733966755,0.012399049881235162,0.006698337292161525,0.008598574821852716,0.011448931116389548,0.01216152019002376,0.00883610451306414,0.018574821852731592,0.008598574821852733,0.016627078384798072,0.007648456057007133,0.010973871733966746,0.010023752969121131,0.020000000000000018,0.010498812351543946,0.02161520190023755,0.014536817102137788,0.017624703087886003,0.009548693586698341,0.00669833729216152,0.01928741092636581,0.01002375296912114,0.015486935866983373,0.016437054631828985,0.01809976247030879,0.014536817102137783,0.010736342042755354,0.012161520190023756,0.012399049881235153,0.012399049881235167,0.0171496437054632,0.025938242280285063,0.011448931116389541,0.006935866983372924,0.010498812351543948,0.010498812351543955,0.011686460807600956,0.01453681710213776,0.008123515439429931,0.019952494061757708,0.014061757719714971,0.010973871733966741,0.01216152019002376,0.017387173396674595,0.019049881235154394,0.010973871733966755,0.011686460807600942,0.027600950118764872,0.00931116389548693,0.012636579572446563,0.012589073634204247,0.011876484560570066,0.013111638954869364,0.024513064133016644,0.015486935866983376,0.009311163895486944,0.014251781472684053,0.009786223277909734,0.009786223277909742,0.014014251781472675,0.014536817102137778,0.012636579572446549,0.011211401425178149,0.012874109263657962,0.013301662707838457,0.014489311163895489,0.009073634204275535,0.014489311163895463,0.010973871733966752,0.03543942992874109,0.01524940617577196,0.016437054631828985,0.010261282660332547,0.012636579572446571,0.011923990498812353,0.015011876484560566,0.017624703087885985,0.016437054631828985,0.014536817102137774,0.015011876484560566,0.011211401425178135
MAPE,0.15754196310848495,0.17842394226085279,0.17182761070807126,0.11551603786348591,0.08771063155230321,0.08376752825596835,0.06815407128123634,0.08575769957583425,0.11998072472167011,0.19028893078394823,0.08574404132982533,0.1149168883053434,0.08575037057128557,0.07303505891037668,0.05190475672526723,0.06077803192472676,0.0704137331707938,0.08441670380583284,0.10342736555605436,0.08705136014705653,0.07605513800880133,0.06128838629415796,0.09217182890772856,0.0692077389748438,0.074744264108826,0.07692898211255834,0.06552855781831712,0.06556834187399527,0.07642824074370394,0.09135240480363027,0.07024954929305026,0.07419721721760277,0.06530245617832434,0.06340539771456473,0.08891776152079507,0.09290714913182398,0.08289124738453485,0.07728540702460697,0.07029131053860306,0.059860136459956366,0.08395309208242294,0.0612505325409743,0.05149589656075119,0.06886738113251074,0.06745688149852305,0.07378594625107403,0.06789382079145725,0.10403367011621853,0.12303256509446193,0.08100348040573734,0.07356502611057802,0.10708826863284357,0.12887284197323304,0.11108502390171053,0.11297086521379096,0.051554491251613065,0.07190116174180237,0.05223210997384162,0.05295218076943896,0.05950831770661962,0.06454329904705167,0.058889586476317875,0.0579415705759946,0.07178398895156199,0.07950528364989547,0.07203691449371977,0.07019370803229051,0.10832140466789651,0.11018511094203479,0.08961280492313431,0.10657508267836169,0.10939143404459149,0.09470310842428219,0.08085947428866376,0.0806477603323082,0.07242174569388139,0.07186883984989086,0.08487153310124962,0.07585180767419238,0.07252940456021766,0.08399388565365666,0.06714340360262637,0.07457026367632014,0.07392915425619147,0.07871881220314329,0.06945726575225632,0.090291917720818,0.0763423976902683,0.08147864758745445,0.07409463437889269,0.07941974268078303,0.07143605567292567,0.0864336138223393,0.06563559072686168,0.06062537524913892,0.07677961204248844,0.08284241357062273,0.06598081011980765,0.07971662086651761,0.08984727275310582,0.0747272696374158,0.05982972497212882,0.0726043910618599,0.0618488961936028,0.07993003250287876,0.15015002390202525,0.08337889777906582,0.04780425891742373,0.07772054230892358,0.06394906883130132,0.058972634754522454,0.06559124573816345,0.09375147082766695,0.06762228151025981,0.10340344945098032,0.059063144941051714,0.07369045212176936,0.07287832560964821,0.06587030843620613,0.07043649695650307,0.07099407500446586,0.08232340013522542,0.07620519994625956,0.07674662229873595
MSLL,1.4427456574809019,3.4126939674708296,1.7321605838347136,1.3006724210192733,1.2484594105167819,1.5273777363702001,1.5236199574764637,1.197727859273963,1.3440607382725656,1.1588239754976357,1.3538563970162354,1.1320893566767034,1.7988845935840205,1.8618198739608012,1.9300628200096273,1.880227301721345,1.3969982455052143,1.162575206006858,1.3446718113898033,1.741674867253377,1.4934133619574075,1.782326671234351,1.6323588255597192,1.733253978561094,1.744803365993219,1.5221944988027687,1.5921073654810454,1.667295849440054,1.5291837824573162,1.450873788252178,1.67372237520885,1.3431614119072541,1.5809208453179748,1.357376243701198,1.6985125202731823,1.6913311881070026,1.7501054441837534,1.781860121629581,1.5484366716703462,1.781518795327063,1.4476106265661528,1.5931612669620128,1.635387157643587,1.5657950338616518,1.3464096954154783,1.4691947826010987,1.5226137070650454,1.3237931746214708,1.1605984396365794,1.3269888201986102,1.4474709661554233,1.1339605493048912,1.4155874302709175,1.1283860082215422,1.1644256758870226,1.409457159654247,1.416912341890579,1.669210379262469,1.572069866409958,1.6233660082402517,1.5910847572219682,1.584639800023802,1.6275035009814578,1.9358887179627402,1.7774884227848178,1.9379235743461787,1.8945145200123439,1.3398941517825493,1.2195525586173168,1.4360638779286954,1.4257283780835068,1.1981000244000917,1.3768712327222214,1.7906443732753357,1.8443602968684867,1.8671746278915375,1.7005734877635592,1.5208714364448621,1.4375839760008755,1.4861056550737315,1.6494134027151885,1.6177443149010304,1.4633836075958715,1.669201486913345,1.7609210393286987,1.8468431868533728,1.663532782261451,1.8837475438157694,1.6976151901961012,1.800312627952537,1.8187206638960627,1.8127988048797035,1.5794209982093574,1.3790658469214336,1.4390513135551433,1.7163840185506003,1.6399668624610477,1.8533058764518069,1.6671853592213717,1.5766400895886739,1.7567286212931532,1.7711413835133951,1.474604558359059,1.8271192367142683,1.2361217167624823,1.1683643594127973,1.2534833545439408,1.529929312503623,1.0781874571624674,1.2878261344167496,1.7542738035856198,1.6218000044885836,1.7043303397259977,1.886666422931126,1.8549453748984703,1.9014356941762671,2.016945989462236,1.886087694962939,1.8351125152393253,1.8947411173824387,1.9664669396277914,1.8226954145847905,1.8096725746970634,1.6282667105958475
NLL,1.207711842612921,1.250079862253658,1.350029155330303,1.371761458276731,1.194148339305227,1.2927926202222795,1.2193977663685729,1.2169574795375415,1.247893008692326,1.2628533160120234,1.268811749330348,1.2879240752939423,1.3718280872121416,1.3678538908307418,1.3554739367056787,1.357382215769796,1.2183205089053517,1.1729000130946652,1.2848541365087425,1.3708027596800334,1.2891609245657816,1.3064066191201913,1.344678692834454,1.3799136464253776,1.3729409696277663,1.253449911328985,1.3090737537069066,1.293758161074145,1.2809909350817552,1.35537455225166,1.3343118889401642,1.2449182276794288,1.3080267850177525,1.1671464979202653,1.3791921404936325,1.3777153860849038,1.3861226669969775,1.3773472111279113,1.280875396099588,1.3433637536564553,1.2828504672748677,1.3148944648949734,1.2720012926986648,1.269582989673513,1.2577920060724361,1.2610287247188783,1.2984351592000585,1.3177437286387648,1.2658398766941585,1.2672665656450868,1.197329278582803,1.1853975144086917,1.3455878955636327,1.3279865280890364,1.3232274060524278,1.1405481200618708,1.3213809767914315,1.2480363827904342,1.2407395210056373,1.3295678357825758,1.3505170234797252,1.2915531785880239,1.3087559642111066,1.3693833431073252,1.3857922538032024,1.387766702073848,1.388553908512559,1.3759095243725068,1.3430419547591326,1.3577390310942408,1.378128539678078,1.3488651704463208,1.3427345195563016,1.3488592033182327,1.3232940367532762,1.3255842075240383,1.2627576624704493,1.366350634237462,1.347480014393277,1.3178067610439854,1.34865049554654,1.3150628977403038,1.3250648971980925,1.2720133335025818,1.314500165008727,1.3660122667698973,1.3450644751808238,1.3655923079073102,1.3313395905599597,1.3306795721318754,1.3611181628318496,1.3403771101102993,1.3675515664790152,1.2394427154906076,1.1827484071037329,1.3591757612835376,1.3479506055346107,1.3713553472025513,1.3374562910138432,1.4065833524351652,1.3613113138216355,1.3163941800030503,1.3210353910116213,1.3581291081724505,1.2501539110632551,1.4019370845624042,1.2950605362990975,1.1918549468567974,1.1765914348639634,1.1693801577517475,1.1519269221691117,1.157236567374072,1.2594015194550279,1.264190655975371,1.3697283757412917,1.2487799170834588,1.3308522533370584,1.3123171265743003,1.2334819984377587,1.2817482786712775,1.3221726908072648,1.375326295875502,1.3452455739514908,1.2552413612127173
R2,0.36612340479381145,0.31496034859165223,0.1438888522705456,0.1395461774934027,0.20883213095431263,0.13507246372398973,0.23595531627501154,0.21562430405341837,0.24694687614130728,0.21980844889484885,0.29097058633694095,0.17311327008184485,0.10907713675655173,0.10437473150965326,0.10856850039080979,0.15018811643757746,0.2545366137271803,0.35511369748373334,0.23463727672342605,0.11711683608236001,0.20152450169747493,0.1843414176084608,0.05433407057069328,0.0767871272320001,0.11781842680268506,0.30530393691406144,0.17805419454988258,0.20404094118596217,0.2006535566776365,0.15941885745018025,0.16599825029744664,0.1694903323577276,0.11060558711032398,0.21331055994648573,0.09795944109608068,0.10610014433270742,0.08226303065780782,0.1106333405551444,0.22429741466000053,0.15283630322635333,0.21638478915805048,0.14851293980202251,0.1750837951578087,0.25113191746584707,0.1703103828220225,0.1739860895415204,0.1304564741863079,0.17938906944775934,0.26756960214359504,0.2370829841720562,0.31265707713495905,0.3502367387783921,0.17773466446160835,0.19622532682846716,0.16801935414333347,0.2555581412189031,0.13775881451319627,0.20145932302648728,0.06603741844665467,0.10236775685011179,0.09322977746620942,0.13978125040236622,0.09509779662816387,0.12720026748769153,0.09314609195680457,0.12198726126622084,0.07737368262858557,0.11580490299137614,0.17943803441126993,0.15698681910242518,0.10750669822268388,0.09229483181957876,0.11766147584326214,0.1484711510917841,0.15992295041068827,0.14572690901707053,0.23370808477333938,0.11366083465690058,0.11309389937094672,0.14598282198962853,0.15921456860508165,0.16019142347616622,0.1438532243520615,0.2899103025396731,0.212493350421337,0.11533248186850198,0.18631634111243722,0.1460226891485712,0.1659438437510683,0.14354871405097624,0.11825452693812177,0.1752871779690175,0.09359323269419184,0.1783295502040475,0.230139603832467,0.11445861320661921,0.14885509104812777,0.13169820550987,0.15166495222097542,0.071940097196866,0.11445385530115282,0.20427510720229103,0.13605596265856235,0.1570867215068954,0.14680968132579597,0.08906343523895366,0.15787867065954586,0.19765471067047435,0.16938979979186108,0.2592227825902399,0.37286880239524234,0.3567794398153121,0.2507697234257015,0.2515667217244164,0.16539858747729252,0.24835505318650064,0.20118898696656173,0.20278363405608657,0.3120762611864003,0.25487558313072245,0.23025129961438973,0.10989773771924183,0.1392110787361568,0.3228155254547942
RMSE,0.15229698096729125,0.023036118689888675,0.1527813454269705,0.24099064585788185,0.20384973302758022,0.17798100930527605,0.1560271533723718,0.2184621518253752,0.1907262710322783,0.23716074987707925,0.18713737344328576,0.2571366576010265,0.1490097179793029,0.1397330996992199,0.12860742168662523,0.13223776153818836,0.17473392349167202,0.19633078718828287,0.1993967116502303,0.15690859463712048,0.17627386030719433,0.13577742794886485,0.17647931196378952,0.16329015229812793,0.15669099167313344,0.1541508601264822,0.16529681322391274,0.148587690645196,0.16878799886790052,0.20164054151912544,0.1573773414133671,0.19987970426776513,0.17369752840971875,0.17743886722309873,0.16699242778691128,0.16718820929260872,0.1610817082645392,0.15227391800839177,0.16308351326479115,0.14370046599089573,0.1816602157406351,0.16904491620528125,0.1528098208102453,0.155712052404284,0.20171327427456112,0.17858753183802306,0.18032211040924062,0.21787341093902016,0.2300656496686063,0.19909686881001015,0.15621200366737667,0.20534266349076852,0.204582463638401,0.2648593982335155,0.25869387830929946,0.15954841908250286,0.2042153870486299,0.1419050346578175,0.1678930128564941,0.17089018575546946,0.1811482782259652,0.16740999160829195,0.16735294195565317,0.1282891621656023,0.1557471127954786,0.13079258988764894,0.1401328137790653,0.23587295811400225,0.24799862880512855,0.20543004374402207,0.2179681109815682,0.26804746229479165,0.21966206372925118,0.14354816538220763,0.13171225447650217,0.13012221791210932,0.13671587603261418,0.19518896591759316,0.20824279907076126,0.1889752145348723,0.16424257408399287,0.1638325188535093,0.1949691439812111,0.137063812373008,0.13740793637968257,0.14071184271496096,0.15873825197339,0.13318460629220655,0.15321066557394805,0.1400087290021457,0.143780570692548,0.13700741207898046,0.18638487615776905,0.19075419763291038,0.164307684845213,0.15930656796844453,0.16670304347578158,0.1392482412971561,0.16026807287853417,0.19665098538095524,0.1533348485291445,0.13697777135737735,0.19289074422085467,0.13898708537679982,0.22666261182059674,0.2917065883268286,0.23147649578241247,0.1545680211678841,0.24333117846539903,0.1849976447715462,0.10491705730097244,0.1219510226669302,0.13422714500234945,0.11233150538150663,0.13607405198433378,0.1092255885043324,0.1088975535270975,0.12172100682016775,0.1099633999837374,0.1131508485114484,0.11146123994885418,0.14594621542826955,0.14109547163817895,0.13712399903638894
Rho,0.507550579457154,0.44253619285618623,0.33403263723694004,0.2779432028333715,0.43275881043357284,0.3955214128723557,0.46869866141961747,0.4460166941417425,0.336378591876132,0.34255875875202363,0.45514701197676943,0.36887734218838136,0.2976777631232873,0.26401351859232364,0.2702639029870322,0.28135718543305166,0.40761322944475226,0.4771438609129439,0.41553745635930395,0.3019640672264151,0.40759399149298936,0.404451782653872,0.26636442846151515,0.28028162914138777,0.28859845500884385,0.4395026573370587,0.31936610124890236,0.3677605459196625,0.35065016512256636,0.3701007613370903,0.3425241525514386,0.37590684352713455,0.31605143432391886,0.3839469705575578,0.2585083083187218,0.2583334379505029,0.24384675771421305,0.2762104202147103,0.40625491141496817,0.3295424952750078,0.40071552918304554,0.3557930322466661,0.4206190598005926,0.4387534325918348,0.413014510553658,0.35137498737355055,0.2642060388264233,0.3781388982345725,0.5109119944038979,0.44985639432079455,0.44794518321744414,0.44417018022910415,0.37208883378690405,0.3748892322678181,0.3562127492736855,0.4016751250517792,0.33605201910145677,0.4466644321581524,0.2812492056442382,0.3066443372424472,0.2801635177666929,0.37866542911393497,0.30378290801800945,0.2778730255192604,0.24973003293954418,0.2784365547792076,0.21615043941680787,0.2660044656786077,0.3781532211610417,0.3717747546245805,0.2664232077415097,0.25889769089515585,0.3113840298137679,0.3539753272380128,0.31127942565588135,0.31344348571886904,0.36211696109960295,0.3065851041187365,0.2935200336695592,0.36341759338595175,0.34596984661288055,0.32161530326339755,0.35111651131945715,0.4629502227266266,0.37121639166933873,0.31067589427795195,0.3338347798281351,0.28555424514030553,0.3779223355863575,0.35792852530176006,0.25107147300235966,0.33875860995237966,0.25035552770242675,0.3178785572849241,0.30170966189879195,0.29656262529868593,0.3514063671464889,0.3290549127044653,0.31439920183348535,0.24788287798383488,0.30609265831955773,0.3273531379652129,0.29988318221308063,0.3228776807721028,0.2943758913459496,0.2676916159560967,0.3144833603340657,0.3140242828999911,0.3171543197644037,0.44480977902479674,0.48905216310535754,0.5536484710210704,0.48334651227059805,0.39899328019732455,0.37197703455103215,0.42994167674383676,0.3216712079069218,0.3567178610959912,0.3938886394595675,0.4170544201168089,0.4065114797872084,0.24752828252916226,0.30150553255586987,0.5494418928496997
Rho_p,2.5049405033476717e-56,1.0860638332588727e-41,2.1479112525445312e-23,2.111454592536182e-16,9.470451056894994e-40,6.44290564906708e-33,3.325676733444386e-47,2.1362924478159258e-42,1.0135540972515421e-23,1.3584467865686035e-24,2.7401542744776783e-44,1.5504676934453144e-28,1.0868029753081804e-18,6.799351154732927e-15,1.467834888988882e-15,8.741612901275537e-17,4.831944069891686e-35,4.3390195448525166e-49,1.7514775081021253e-36,3.2731446973423114e-19,4.870490410820058e-35,1.7708680717556735e-34,3.837954904793343e-15,1.155650319283246e-16,1.2926669471850067e-17,4.412790928468215e-41,2.0327802399682566e-21,2.319359559385641e-28,9.125759476166536e-26,9.955616425339299e-29,1.3739943969086403e-24,1.1848421963987872e-29,5.493283101258839e-21,5.784102216396359e-31,2.5378627750049197e-14,2.6449517842046193e-14,7.2938909817623e-13,3.2880090784430985e-16,8.456988814118808e-35,8.881485550860647e-23,8.072824060938292e-34,1.5735748958627562e-26,1.990619083895714e-37,6.225051863783723e-41,5.0851954358092916e-36,7.137254581502231e-26,6.4896435512264346e-15,5.167283107211447e-30,3.5716839333097334e-57,3.475616020736881e-43,8.606594501798204e-43,5.0738602875897323e-42,4.8267541851352453e-29,1.7259936051245298e-29,1.3613313399411995e-26,5.477894659732244e-34,1.1256947852761885e-23,1.5751741660820287e-42,8.990562032575268e-17,8.626869302820255e-20,1.1915367131754836e-16,4.244596692591374e-30,1.9550567605175514e-19,2.1498023137987345e-16,1.9451221914144658e-13,1.8602260496220667e-16,2.330077866865744e-10,4.190723030340221e-15,5.139732755630766e-30,5.413432502806617e-29,3.783191875832207e-15,2.314469078818794e-14,2.1808651598703263e-20,2.939735404706186e-26,2.2486766963094875e-20,1.190493244109838e-20,1.7328480180994152e-27,8.775021076237067e-20,3.4149849078374466e-18,1.0940065668956395e-27,4.393611575704684e-25,1.0281003978637996e-21,7.791596927828796e-26,5.9536601077394975e-46,6.635930421382545e-29,2.6825593873829172e-20,2.287688211992784e-23,2.9067991333837994e-17,5.602121453426325e-30,7.511961521273086e-27,1.4320769680005376e-13,4.699568897675212e-24,1.6866980151860936e-13,3.1806483361256664e-21,3.5167651138389335e-19,1.4801811814492898e-18,7.061612697994292e-26,1.0346963210812427e-22,8.974713971119763e-21,2.956520552620625e-13,1.0107925759357548e-19,1.7594258012963114e-22,5.875948581483221e-19,6.994755144254278e-22,2.7020887309299942e-18,2.772013744899095e-15,8.753745759398152e-21,1.0027910840667163e-20,3.9516637782470015e-21,3.762461078210795e-42,7.744807101131956e-52,8.468161966555947e-69,1.6571752611538438e-50,1.6140031654323317e-33,5.027990691546977e-29,3.3405229436311015e-39,1.0107529600424427e-21,1.1431750915835115e-26,1.2284119979354677e-32,9.186927295066271e-37,7.609996608611566e-35,3.202713106640759e-13,3.7250980215188213e-19,1.4045194955845312e-67
SMSE,0.6338765952061886,0.6850396514083477,0.8561111477294544,0.8604538225065973,0.7911678690456874,0.8649275362760104,0.7640446837249885,0.7843756959465816,0.7530531238586926,0.7801915511051511,0.709029413663059,0.826886729918155,0.8909228632434483,0.8956252684903467,0.89143149960919,0.8498118835624225,0.7454633862728196,0.6448863025162667,0.7653627232765738,0.8828831639176399,0.7984754983025251,0.8156585823915391,0.9456659294293067,0.9232128727679999,0.8821815731973148,0.6946960630859385,0.8219458054501175,0.7959590588140378,0.7993464433223634,0.8405811425498199,0.8340017497025534,0.8305096676422725,0.889394412889676,0.786689440053514,0.9020405589039193,0.8938998556672925,0.9177369693421922,0.8893666594448556,0.7757025853399995,0.8471636967736466,0.7836152108419495,0.8514870601979774,0.8249162048421913,0.748868082534153,0.8296896171779775,0.8260139104584797,0.8695435258136921,0.8206109305522407,0.732430397856405,0.7629170158279438,0.6873429228650411,0.649763261221608,0.8222653355383917,0.8037746731715327,0.8319806458566665,0.744441858781097,0.8622411854868038,0.7985406769735127,0.9339625815533454,0.8976322431498882,0.9067702225337907,0.8602187495976338,0.9049022033718361,0.8727997325123085,0.9068539080431954,0.8780127387337792,0.9226263173714144,0.884195097008624,0.82056196558873,0.8430131808975748,0.8924933017773161,0.9077051681804212,0.8823385241567379,0.8515288489082159,0.8400770495893116,0.8542730909829295,0.7662919152266607,0.8863391653430993,0.8869061006290533,0.8540171780103715,0.8407854313949185,0.8398085765238339,0.8561467756479384,0.710089697460327,0.787506649578663,0.8846675181314981,0.8136836588875628,0.8539773108514288,0.8340561562489318,0.8564512859490239,0.8817454730618781,0.8247128220309824,0.9064067673058083,0.8216704497959526,0.769860396167533,0.8855413867933809,0.8511449089518723,0.86830179449013,0.8483350477790246,0.928059902803134,0.8855461446988472,0.795724892797709,0.8639440373414378,0.8429132784931046,0.853190318674204,0.9109365647610462,0.8421213293404544,0.8023452893295256,0.8306102002081388,0.74077721740976,0.6271311976047577,0.6432205601846879,0.7492302765742984,0.7484332782755836,0.8346014125227074,0.7516449468134995,0.7988110130334383,0.7972163659439134,0.6879237388135997,0.7451244168692776,0.7697487003856104,0.8901022622807582,0.8607889212638433,0.6771844745452058
