observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0.05,0,729.1723052849213,2085.8849962260606,179.0862489818229,116.15901428273939,166.5520629518573,2583.208576133221,139.35839275001373,1624.3477647555378,4814.0446665849995,1375.6301136568152
0,0.25,0,987.1884275881858,2790.145224039389,564.591059812788,149.051005565257,285.89296387470074,2932.0179225051256,164.79468887106233,1938.8734870156218,5848.39712882944,1663.2740401202366
0,0.5,0,1119.0298565012474,3160.023846147575,722.0373259788884,166.01627396220147,347.6062453325824,3177.2145722697205,182.07070019325343,2112.5063497656943,6406.204767049455,1817.9027284967501
0,0.75,0,1227.8629113328907,3459.1271493340155,827.6072823980516,181.1949445487924,399.6514071615091,3490.1231358676964,205.56774287395535,2287.670461979029,6921.09365480951,1993.4299031393589
0,0.95,0,1400.1636509684436,3871.3085479293845,948.9600314867082,208.05294891908716,478.8120727229647,4146.879181236603,260.13651576014274,2618.047706818548,7811.075897064853,2401.1422476925595
1,0.05,1,1115.0591205448177,3280.5206264949966,793.1558924103679,150.85532018320578,326.08137493525237,2519.1561916777846,140.11678085921616,1867.9878943162248,6068.767110306837,1484.9600939711645
1,0.25,1,1214.6204980626028,3547.848181767678,874.1992738322045,169.58298078130701,389.6511162449899,2782.269219912146,158.08217894154046,2061.0006492109005,6616.745043360348,1662.6524648056577
1,0.5,1,1282.1116812055454,3730.526106663498,926.2794485065017,181.5478534208886,431.55248535776394,2945.1970582857975,169.16349208315202,2185.7236871701784,6991.705090099216,1766.5620948161493
1,0.75,1,1358.0272503409062,3932.915070328563,982.0829724049887,194.93059531953946,478.75212915091817,3115.1677900510394,181.21031878222985,2320.6083561462215,7411.671206162528,1871.3663487041522
1,0.95,1,1500.4609740761293,4292.766149674667,1079.967712110301,221.2152478770114,566.9637229126917,3412.979978812996,203.942020474841,2562.284205906257,8160.480455425548,2058.0531209131923
2,0.05,2,998.5982845752578,2939.859466750005,672.855577945734,135.03697732378356,289.9459115796848,2174.0788858465253,127.98774239190644,1665.9561114050568,5708.544716994358,1362.338313958918
2,0.25,2,1115.803679491411,3256.9687347780964,782.9072095811242,157.24447665592203,360.59068869360067,2515.2843857870394,148.86010287238847,1898.0279449569719,6305.225205436197,1570.2216211055068
2,0.5,2,1185.1060351572403,3445.288289275062,841.5587285867969,169.81541270786013,402.6631695560068,2703.3598138070247,160.40213355421992,2031.397831842422,6673.9500027609565,1683.3595850830866
2,0.75,2,1250.8166193109043,3623.437299992528,893.7407348595012,181.79859984524927,445.69626332709174,2869.209482385619,171.43222334127128,2155.6612102619565,7050.841069042494,1785.2708690532772
2,0.95,2,1354.8886648588284,3898.8549700268973,970.1891268584674,202.19494110546745,521.7683819387643,3108.234932442292,190.084065879911,2349.4870044602458,7690.114196847628,1942.8347727834305
3,0.05,3,1049.352934211347,3075.6779116605594,750.9319173942088,140.8621304463586,294.6740485394003,2395.8536265253756,130.5590860097977,1723.041823597986,5475.869244462864,1441.3651596925652
3,0.25,3,1164.9768916593343,3386.8100034328954,845.5009478855552,161.95734293113188,364.65486158354213,2694.633701333763,151.6805943941323,1949.2089835160289,6140.768008695445,1637.9047538843108
3,0.5,3,1236.2875250426835,3578.728182978072,901.2726640813013,174.283596831236,406.7871869298132,2868.2679015278663,163.54574323203266,2081.692797172618,6534.890817994095,1748.8143486947727
3,0.75,3,1310.3034336131147,3774.50465369979,957.9783296764917,186.75213831967412,450.53699948028355,3038.737873181396,175.4214796953582,2210.8406070491096,6919.925893764882,1857.662901321169
3,0.95,3,1443.673605543756,4108.439721247962,1055.0747531245893,209.5479809570399,528.868018608169,3325.287108501723,196.84216185978792,2425.582245610407,7555.155134759126,2049.827266731095
4,0.05,4,1027.4637069936455,3019.8791597015893,717.2210255824428,138.42195929161772,295.5639563509045,2291.4076682575374,128.08859237307942,1700.1328830662155,5680.9464823143735,1382.9018342819072
4,0.25,4,1140.5251828831888,3325.2528367488244,815.5792469251796,159.8029821360492,364.83654032962573,2605.1402079442832,149.07723993136176,1925.3967127194844,6285.655845200936,1586.7476272930867
4,0.5,4,1208.7075742897205,3510.0927001638,870.5393449439117,172.11362839588867,406.61517156725074,2781.7550659435897,160.68398877176696,2056.3181555166557,6657.243797929954,1698.4709737776568
4,0.75,4,1275.8445862673582,3691.0283243006565,922.5515540827126,184.2007375577393,449.95786926739805,2944.673941543126,171.81748632037167,2180.982126968912,7035.058858169599,1800.8554173515831
4,0.95,4,1388.129350222507,3983.514558289654,1004.6314966326819,205.5013661399062,527.3199847890164,3196.6514632592907,190.77694367469002,2381.11550963777,7674.209465929619,1963.820510459646
