observations,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0,-1.7815115808959463,-1.2874518918870457,-1.4835691434294331,-1.1007607968965485,-0.8005130807548579,-0.878541023979888,-1.8226464524994752,-1.3286382162565533,-1.3816299031666472,-1.084953304061214
1,1,-0.7249299073212125,-0.5141888742561724,-0.44403421630759377,-1.3839496279456602,-1.167847291172966,-1.2320813673482427,-2.7484851267786206,-1.3312226584871136,-0.7794739161941356,-0.9100835179649167
2,2,-0.443776573828219,-0.40557186603057166,-0.36286602072990604,-0.6891010789658639,-0.5402743564835925,-0.47436564924877495,-0.57375550041763,-0.48034477370175815,-0.8278344717971802,-1.6196416825247288
3,3,-3.5593421127904312,-2.8806580372890864,-0.9987875567780926,-3.3302662616562677,-1.0311323461702306,-2.1056100003047997,-3.677546621018747,-2.761511742813846,-2.6711655125786873,-1.4413876437578008
4,4,-0.4331229008523356,-0.5870276996788721,-2.1581458514695298,-0.6219484622170017,-1.1882954397120793,-1.1326997703457893,-1.2813449404753081,-0.9237038001070373,-0.9766385866983824,-0.597691305062036
5,5,-0.9475543854114453,-0.7787019362551889,-0.8120421011125565,-0.9352074977844091,-1.9433231049593145,-1.7784702302963562,-0.785257333945296,-0.7291931548793747,-0.6140665984067601,-1.5888278431868987
6,6,-1.2590977854984662,-1.2278012548606108,-0.48608017609959553,-1.298377401283167,-2.389484688459081,-0.8925194846625292,-0.6392615777297075,-2.1994559608971045,-1.763739927010834,-1.2379844177522026
7,7,-1.747418365855535,-1.3837632478749722,-1.2296674762525819,-2.2878700062392014,-1.8018224484971475,-0.7296030569309071,-0.6522974957573381,-0.7304694788787903,-1.2960515008655715,-1.1661669527337581
8,8,-1.4491769684495104,-1.169054911722067,-1.081276121366857,-2.159352728145941,-2.1284415149811102,-1.7073283837686706,-1.2552820870688086,-1.6745542512035665,-1.5617459548656445,-1.3412851831864696
9,9,-0.48525391008109053,-0.49359762936452256,-0.4225833354846795,-1.2390883212019175,-0.6499963901899756,-0.9001604452574878,-0.7225185931149503,-0.6935456512895877,-0.5166553686818857,-0.5697859159985769
10,10,-2.0435213765846054,-1.24486898492891,-0.37665169672220855,-1.09998796246953,-1.5913835204022084,-1.7905674889017025,-0.6946892931114944,-1.9737637165092126,-2.525794338416865,-1.196009795755136
11,11,-1.055332107354439,-0.9889978875071476,-0.6194829679388577,-1.7463407787569354,-0.561116175357383,-0.8330536857646436,-0.5770942383265283,-0.703810505897374,-1.1951720925244973,-0.6253959421484259
12,12,-0.6112931037094598,-0.7279847749145453,-1.0896922029194378,-0.6223369813134592,-0.6927302023936853,-0.6936034317526251,-0.6533361312457369,-0.6672585411995648,-0.6346874868536916,-0.49072838461834095
13,13,-1.3945282853520498,-1.2383215234104332,-1.2844124700510475,-1.28897836795362,-1.2174560823181924,-1.2077730869056147,-2.2973117149265363,-0.8870503076048761,-1.6913790936714268,-1.6715922936677625
14,14,-0.4984617999949622,-1.133218889606404,-2.004601560100787,-0.5736066713417141,-0.6884684953039755,-0.4389217609849052,-2.2306257013876873,-0.4911344704474183,-0.6535279520937266,-0.6294503467403958
15,15,-2.252936213555543,-1.932699061565097,-1.521597306896445,-0.6939856099323768,-0.9127094259866178,-0.631841634786524,-0.5473340281697174,-1.2149379062370083,-1.6198708651086884,-1.8290406765248406
16,16,-1.0338563887236911,-2.9580106680812355,-3.1400512172001855,-0.997467382072316,-0.6072042990880692,-2.2854753715427685,-2.1899863271190276,-2.1850877270123377,-1.6518050173172227,-1.5573974693049033
17,17,-0.5189436049271121,-0.7595994571576496,-0.40133195128944,-0.6645916108554647,-0.7851729577161956,-0.58467824427393,-0.6200596134038572,-0.48523563259763397,-0.5255351007505253,-0.7624159048931808
18,18,-2.189430722358289,-1.0193868044974044,-0.8919906709655334,-1.5293557164088407,-1.7039022639593073,-2.3788658820098414,-2.4265274738540814,-1.8168175780457663,-2.4178292202079827,-2.7583058475172164
19,19,-1.4749545990955597,-1.0507882286967387,-0.7197452211669868,-2.4555367191096718,-2.0528702334426665,-1.155356062797595,-0.9655647863819211,-0.7107194484960735,-1.2108752177480877,-2.302099761308329
20,20,-0.42668097646286485,-0.4051844082939236,-0.6144410485592745,-0.7356959109237561,-0.5594893107724914,-0.5093086285496088,-1.1023921026657757,-0.6123714826180755,-0.5227791046448349,-0.6141069002614423
21,21,-2.794234512923354,-1.4164097640377027,-0.9604377670462753,-2.289307287498117,-2.894411488511592,-1.2683570520463625,-3.1316647898484615,-1.4312450472911231,-1.7204208666899237,-1.7821031056609655
22,22,-0.8298060357156236,-0.8472920778052124,-0.4939442881231727,-1.8378861916857967,-0.5529660319691043,-0.5697122626614071,-1.639037182628539,-0.4744670146338138,-0.6442704516018709,-0.6023114949702468
23,23,-1.0517075611274287,-1.5871596012626434,-0.8280384685439115,-1.3245068914956555,-2.4802107206758226,-3.3196724241096023,-2.25616596791164,-2.88525846016244,-1.4658492112615642,-0.666299387818883
24,24,-2.176613638850509,-1.5684287856490846,-1.155317830047021,-1.7861215867369076,-0.6531621578556654,-0.8707280592898645,-0.8376376398148012,-2.199502550250613,-2.2193661193118297,-2.7507314259214657
25,25,-0.7718901577829751,-0.5315290196979725,-0.3467886446317333,-0.6230292985678284,-0.7913714091137408,-0.5754140856425679,-0.6077910527792096,-0.46408840733800943,-0.6594808279864062,-0.6823340889119538
26,26,-3.226403960182701,-3.031956199328411,-2.9105252515960673,-2.2643831162729287,-1.505011618363916,-3.227958281993784,-1.7845190622305203,-3.5675433383808652,-3.6819638990872994,-2.077763087250652
27,27,-2.2559465045636844,-0.7738401735137436,-0.36520853608850734,-1.340627358205953,-1.4504165626207826,-0.9159860167943557,-0.6648655454606689,-1.1798515260051636,-0.6371108156258188,-0.47739454212868293
28,28,-0.9986931836943076,-1.4429656923401,-1.2571663589614903,-1.315685989168196,-0.6076889233364494,-0.9729441082668975,-0.9965754691262517,-1.0558809465645378,-0.5193915509835174,-0.5443533239244737
29,29,-0.4325583351836114,-0.5183083675119563,-1.2897544628464932,-1.8159247097040156,-0.5810438151098358,-0.7667727121608661,-1.174830662282825,-0.4565918593996228,-0.49232902435142195,-0.4956142170167241
30,30,-1.1199685582838401,-1.1363255171039757,-1.5009503140646863,-0.9430317989722552,-1.2933631935749699,-0.9996344871738876,-1.135249484327781,-0.8782907675150504,-1.0509286891641352,-1.1534802871566574
31,31,-1.256894037687855,-1.5101582281301662,-0.6352880768181339,-1.5597259058165869,-3.2726602309112955,-1.2749152129341947,-1.2243313459551322,-1.6174319226373135,-2.1189077646004395,-1.3446702750111148
32,32,-0.4090948700020815,-0.6997044422601247,-1.1328907646960706,-0.8441075646833656,-0.5361582666189944,-1.0878833417540352,-0.8803220417807354,-0.46195272674047366,-0.7287314826844148,-0.6721023807389597
33,33,-1.0676852701162511,-0.7865067645544404,-1.8478302403971514,-2.7001901404204975,-0.5687667120690607,-1.8486797536622799,-6.234922011549329,-2.1637588896206057,-0.9751978867935065,-0.9389601572557438
34,34,-0.8814934339132336,-0.47530145672849666,-0.5928572925888365,-0.7655863671793296,-0.5646084725478662,-0.7183596434273605,-0.6020247155157732,-0.5434456615609327,-0.5184191260862729,-0.4758523633919445
35,35,-0.9491832864992289,-1.6545663251224632,-0.3981180292516031,-1.2416612039418475,-0.7332282389853622,-0.905478281465035,-1.5722957446694212,-1.362470856260804,-1.717157077026061,-1.7421820435421145
36,36,-0.43777844362454243,-0.4146504058279752,-0.8110922943789314,-0.855703900499931,-0.7301106462816223,-0.43468527637492166,-0.620007025849778,-0.4597880809776508,-0.6546232841880778,-0.5131065537848956
37,37,-0.7010171665736216,-1.3157763280010204,-0.7727914292610308,-0.947823611491418,-1.8694453633764465,-0.7118041981125236,-0.7545743539418652,-1.0186588351762182,-1.0625187975746013,-2.6595011271288116
38,38,-0.6769515020974071,-0.5330338561111041,-0.6970571005014934,-1.2623679845679547,-0.5985620130706829,-0.8897058573284945,-1.8187939115729348,-0.7513934343124377,-0.807925126268118,-0.5057133581065897
39,39,-0.7323099000367324,-0.6506055282196674,-0.6741799888298508,-0.7697466576871482,-1.499822200804311,-0.6462050987707167,-1.3660319850565699,-0.6192171414844222,-0.7718790954228063,-1.4863010046388643
40,40,-1.0451479505266217,-1.6996225111720542,-1.731953747393671,-1.3626558299147653,-1.2522748592924067,-1.6554380136409703,-1.4221987914184087,-1.3376487511373747,-1.4239407403352087,-1.7533392700889925
41,41,-1.761311789904609,-1.0621852883428295,-1.1625783120084123,-2.1959278179690225,-1.2957137064646127,-0.766393659677006,-0.9833120697390292,-1.8184929459707386,-1.615539775133136,-2.2074118954573496
42,42,-2.1767446117723703,-1.615568517438124,-1.3526374638254812,-0.9984555859501266,-0.6030308712305696,-1.965554451658561,-1.4550361781517671,-1.8455958441373235,-1.3415998115459535,-2.728957409043755
43,43,-1.84115445158407,-1.5695363593033065,-1.7081877572286583,-1.4720627396104162,-1.25783836783765,-1.4523762971950662,-1.2286456264990924,-1.5807441234565407,-1.657641970061528,-1.794863848849589
44,44,-1.4372742526438569,-0.7553473024204242,-0.3370961569565132,-0.9210874648791583,-0.9682011851208853,-0.8661781414784798,-0.9226631512546912,-0.9686214429792643,-0.8197673110632291,-0.7136632088152597
45,45,-3.1855884117478093,-1.6241548241049097,-0.4122128393861937,-3.561485337110009,-0.5518339320100574,-1.963572778986439,-2.874002569225784,-3.0374195693759303,-2.127793865819591,-1.418237843892292
46,46,-0.9396128731163149,-1.3757764123955947,-0.8495745170009585,-0.7363590031683651,-1.710340831096627,-1.0040338001621159,-1.1522085055067532,-0.8424992301544427,-1.1211704300171312,-2.0204005263467626
47,47,-1.1699624797663524,-0.8609755037586504,-1.0653708865966318,-1.157249445297041,-0.8146195349081062,-1.5754764865436772,-1.0805800426206074,-1.7526645947103243,-1.4387082724114997,-1.4088768428799512
48,48,-3.5120443913734976,-2.951654832785028,-2.2321692966704814,-2.3680958039502213,-1.4765166460812522,-2.722628445965878,-0.8363442542403359,-4.0227443522709265,-3.7914484952634155,-3.349263961576014
49,49,-1.2275002617167865,-1.1275767714665696,-1.3489033693434433,-1.3699859069465774,-1.2666521290704584,-1.1468001101438408,-1.656157180372852,-1.3466902241941436,-1.2028666704033517,-0.8225772487726476
50,50,-0.4601786510188652,-0.5773400049621438,-0.7150657242149678,-0.5460627682637943,-0.9413758792352862,-0.4827874962008124,-0.757746532531164,-0.738211696746347,-0.5415803562583841,-0.596562062116947
51,51,-0.5850469056604102,-0.4828952761045446,-0.3899742506707393,-0.5809443290446348,-0.5719557372660521,-0.8317676085369154,-2.000187500102112,-0.49194137231562596,-0.5637892870218392,-0.4839445086459804
52,52,-1.086786117510521,-0.9735494298357121,-1.0893745711926426,-0.8891973864422124,-0.6795602498912457,-0.8644834065950698,-1.5978218706611371,-0.8641737364959672,-0.9789849200221041,-1.1862481564574583
53,53,-1.087576939306512,-1.5558594191358097,-1.7622087212648383,-0.9456448735743805,-1.2054691306097043,-1.6472633205298763,-2.3025473136998755,-1.2617224154799969,-1.3549988313442936,-1.5926008065343755
54,54,-0.6902609300735469,-0.9879406264414687,-0.6422411756230368,-0.7855173222233038,-1.5320882319819642,-0.9376188803579899,-1.2918544603300928,-0.6839700900997361,-0.6791567445351467,-2.132691862733416
55,55,-1.7225423691201196,-1.7369965364885651,-1.0456350237885115,-1.6496285823567567,-2.3565938621130487,-1.2677859132143114,-1.4618102921278853,-1.1473347413370187,-2.321008877587066,-0.6057308963958022
56,56,-0.5009079208164389,-0.45979690996414413,-0.5781880001358759,-0.5868820788866256,-0.7035853391659657,-0.9717227578062102,-1.2095323198752894,-1.0710599738648248,-0.8342045656228992,-1.1826473971290372
57,57,-1.369456800853358,-1.582479668218438,-0.905812475515117,-1.304484199887879,-0.7638449367349646,-1.9512029452890685,-0.9185777307473157,-1.3952833263263555,-1.3723565259060768,-1.4699371111209123
58,58,-0.7206623701840238,-1.500900958487915,-0.5526589251929153,-3.2953125262171987,-2.583887780343934,-1.1327286394966074,-0.5554290323670741,-0.7032167836729587,-0.9322982749011426,-0.6811634610999565
59,59,-1.7430642744291065,-0.8473842205378479,-0.6461639543579532,-1.7757677152090765,-1.089176987088375,-1.5547312084376337,-1.478023128599594,-1.3298784439719105,-0.7148914697086172,-1.200496568465482
60,60,-1.5765367020798178,-0.8829081097300322,-0.9451505140409263,-0.9575787997653387,-0.7037414890890178,-1.8602848299354044,-0.9283506940543118,-1.206602044553313,-1.2287807683976038,-1.7847004847414503
61,61,-1.155445629961823,-0.7814824810934028,-0.8019379002223812,-0.5804116384076594,-1.5730331170341034,-0.44428267624612433,-0.5566371878885915,-0.5450548974968271,-0.49225263355729504,-0.5451755687084153
62,62,-0.5311345565993222,-0.6088524744762573,-0.5125369976759897,-0.5853518716064174,-0.5470048611571666,-1.0139913147642894,-1.0055330202596668,-1.4140686887676321,-0.6888450899223053,-1.1703344558653643
63,63,-0.7241890393789323,-0.9772703134367966,-0.8332586642809436,-0.854531904956888,-1.853539409070027,-0.7985809615558191,-0.7623292130860988,-0.979086615008175,-0.6765612415685018,-0.8531793887265471
64,64,-1.0001244742630273,-0.8258478610898585,-0.8536532383318134,-0.9033650530003641,-0.8757459183934432,-0.9508783787081617,-0.9224168500200773,-0.9335048614277767,-0.7642880656770317,-1.0557097571660734
65,65,-0.4756396595636242,-1.0811693884919884,-0.8315831639947602,-0.9878631677859058,-0.688908762461166,-0.6047681678135974,-0.5790264934172619,-0.47244928462625535,-0.7463222877559759,-0.7391036865013213
66,66,-0.41604168188427754,-0.7245612620977108,-0.44574160858682177,-0.9056329014145013,-1.3959578731458933,-0.5270546845253287,-2.3261568260181718,-0.6210576821426034,-0.6854729067336524,-1.4064190794241844
67,67,-2.7668894792429137,-2.139905649841978,-1.5021949701830761,-1.8868312626416235,-3.894612830197222,-3.7021413032020893,-1.4780737079376949,-1.8274757445159038,-2.3466968098963994,-4.161864538178541
68,68,-0.4721343057003403,-0.9011031356835545,-1.0405875721679227,-0.8442690926860117,-0.6487982617796899,-0.44186515471924054,-0.5702007060983996,-0.5721785362298818,-0.8825373934566159,-1.2599702249179967
69,69,-1.07632303920572,-0.9110824297050382,-1.6411945790847349,-0.6193583385164939,-1.3446652019955674,-1.1176842686646435,-0.7207434211570926,-0.5581649634354742,-0.8754369742554058,-1.9164909274270845
70,70,-0.9738326774882209,-1.2782146280825333,-0.3908923322088961,-0.8151401189899513,-1.5073713665954616,-1.5206347016179267,-0.6779623202784721,-1.6991642409103473,-2.146493217560577,-1.7710700065976142
71,71,-0.8107947178574422,-0.8926357102417869,-0.5151624926418087,-0.6504205058639667,-0.7655081210735658,-0.7780816330612939,-1.2089628056856936,-0.6427115186482703,-0.6223993210339659,-0.9181449762201107
72,72,-1.263519987558188,-1.5006414932038372,-1.2027096307025125,-1.0517784570481803,-1.0283330584475927,-1.9600800991092766,-1.4392098221523335,-1.4473450398545271,-0.8446673429325404,-1.811421697574173
73,73,-1.1028070813373803,-0.924454484280663,-1.2460833426895481,-0.8717112439619988,-0.781297352151174,-0.8341089544924671,-1.0959814720287981,-0.8472563483816569,-0.9495271716438954,-1.0934464229354057
74,74,-0.8683738645955685,-0.49539734041466865,-1.1102279815367908,-0.7863568315961423,-0.6167859409255628,-0.5210525190658335,-0.5896481367268938,-0.4991636878728226,-1.1213265859532004,-0.5977025908700428
75,75,-2.096715157378213,-2.282800002420884,-1.74765937399097,-1.9038946045053915,-0.7488486830861426,-2.1612119956832525,-0.6509325382573141,-2.3364037787507166,-2.4312819417262546,-1.1827565644362141
76,76,-1.7008009231527477,-0.9500988575707326,-0.4996087991245275,-1.7132343027248609,-0.6167911426322573,-0.8503725669402007,-1.4204388497307585,-1.9535996582536157,-1.6149867646207072,-1.2997231487227898
77,77,-0.5858909126619333,-0.695011644779711,-0.87360746925055,-0.9915285439245395,-1.1824647271019928,-1.0916898876131096,-0.7322985581844912,-1.0139577254220096,-1.1334193627314464,-1.5941422888425896
78,78,-0.5684652560565081,-0.7430971297110995,-0.9576455185262588,-0.7032220814186478,-0.6167770089611044,-0.6441889210719489,-1.7221619820573573,-1.0618274101761056,-0.5883332657127689,-0.9736033068148502
79,79,-1.3892455300031654,-1.0989588479334802,-2.1205703575984454,-1.3411983450975233,-0.9530011667720916,-1.1766841107461605,-0.8808453617682683,-1.1508691407965528,-1.2689941153639177,-1.460308276006813
80,80,-0.8230977498141148,-1.058126283961413,-1.5230773175133894,-1.5696134217608424,-0.7613533040422449,-0.4632951738587945,-1.4740531351271398,-1.1164889056736915,-1.5852740976025945,-1.857257453124684
81,81,-0.5320651858673149,-0.6790060224262091,-1.5746369044613429,-1.3641068771332265,-0.6820970186989327,-0.83718887768389,-0.703247786872732,-0.6810250801243258,-0.6923824533154295,-0.5548841262641029
82,82,-0.5375041186570696,-0.3985274533968065,-0.8156011192244936,-0.561060885867053,-0.5865495442654016,-0.4175871862069446,-1.110881261374314,-0.5569076063014886,-0.6363643920184904,-0.5353416340682565
83,83,-1.0159053863075092,-1.103547539607816,-1.3532295917961252,-0.8760926903528065,-1.191755379472378,-0.9769911480503305,-1.5302495540273684,-0.8543800851523247,-1.0246261288197074,-1.1206742551420332
84,84,-0.5798726606499809,-0.5385061557429244,-0.5678565983064542,-0.6965118903835434,-1.2458869236993562,-0.5252598230229539,-1.0179593503289128,-0.5083898311817385,-0.5346800742988436,-0.6642937241823905
85,85,-1.2927230554884193,-1.2117862104933592,-1.3539638289359515,-1.2914730779908896,-1.0463726760786674,-0.9818837973899016,-1.0892709176341797,-0.8598258152738365,-1.0124327502762105,-0.8755652212056204
86,86,-2.8174577735357222,-2.6737816996751946,-2.946419437919193,-0.7925860753806433,-0.7061294678052523,-2.2843192495848657,-0.5843561172526515,-1.8967274357463748,-2.919409343736502,-0.8398738028198021
87,87,-0.5433602209381387,-0.5539758529595712,-0.4222394637081581,-1.7465651998075151,-1.5812770091236295,-0.4639853390624433,-0.5945525655237944,-0.478060559968317,-1.355053426962205,-1.8391020744545878
88,88,-1.2560179979879509,-0.8160566550859607,-1.3951673579431378,-0.9423663699680487,-0.5899251790656797,-0.9302819664545826,-0.8637875916420782,-0.8786272178100527,-0.840358134603433,-0.9140612074874822
89,89,-1.1956361143520509,-1.106928067613629,-0.620033916530675,-1.5798875531037377,-1.3570064495029683,-1.0890662184753837,-0.6753710875908279,-1.5343136209709891,-1.7601883200722326,-1.8873857031096153
90,90,-1.1607755440585932,-0.9801686519168907,-0.6917346341926245,-0.8989160884726035,-0.8173589698587232,-0.9859738338825506,-2.611428957733991,-1.1235441920081612,-0.46853612506756914,-0.5425561271346412
91,91,-0.631548319151043,-0.5871428139432135,-0.41484972203870507,-0.795090314651822,-0.5814844065537378,-0.8023655729776087,-1.4481252125415915,-0.7370417331403618,-0.5962207187113113,-1.5056919130318156
92,92,-1.2084848896121019,-1.1430003874345855,-1.09534521371278,-0.8376049860839923,-0.6987468939306928,-0.9259466278733258,-1.7431418933464093,-1.0849744800747665,-1.3196981081822423,-2.2896011088964765
93,93,-0.4629239408259578,-0.7668568041867005,-0.6568126245651753,-1.0173578920086794,-0.575003236405965,-0.9964245337115892,-0.5238112004328493,-0.4777915929303166,-1.4088248137116004,-2.024278762099737
94,94,-1.2312975445511847,-1.7800544373834901,-1.3253442355710043,-3.612722493750492,-3.285518940703984,-3.266827522116955,-2.7788722089924818,-2.7818967758609734,-2.6448968216815856,-2.9490428749045945
95,95,-0.856421967865271,-0.5738012751202383,-0.8239116351702538,-1.082957719590209,-2.022612216016986,-0.8684255173127723,-0.7641284122260416,-0.8043627323580542,-0.6057805174825156,-0.8627909046213529
96,96,-2.3543332798081593,-2.9098816867582933,-2.6855254133477513,-1.9403876414036587,-1.5159204081226771,-3.261348194321009,-2.0615017037953436,-3.6168744854979664,-2.7251939922004844,-2.494273618050762
97,97,-1.4779750278739612,-1.114585596333497,-0.5691777930018611,-1.7483189338446667,-0.988467950973527,-0.7295337379771645,-1.8047934368415102,-0.9845404358735439,-2.327423106141808,-2.165753150644394
98,98,-0.8454917435546658,-1.2770213273344695,-1.4788738187427928,-1.9284795010507072,-1.3045272056658281,-1.2517923196143799,-1.0316355473293635,-2.1928497006865024,-1.5792146714352309,-1.9165465410775138
99,99,-0.47481503665902697,-0.37791793946176944,-0.704187508604976,-0.7920211255580254,-0.6921032550936411,-0.5098791845732858,-0.9383623130483612,-0.4541848148432328,-0.5621522263627646,-1.0375367566039109
100,100,-0.43743395785923705,-1.000927495056473,-0.4280268129041317,-0.5808686317104998,-0.7140068101270409,-0.8438811891050522,-1.6519176175498727,-1.0729750358096206,-0.9581806685771583,-2.0391878224333975
101,101,-1.8302703443561044,-0.724388174728583,-0.4420466920428934,-1.6079322256412392,-2.106270357761704,-2.183066213473359,-0.9190693599483921,-2.2907042428182116,-0.737895887378131,-0.6073504156187739
102,102,-0.45222382320751436,-0.5484892315218184,-0.36613169549476954,-0.7386991067294026,-1.0267455870720328,-0.6391917697330523,-0.5787347680925012,-0.8993176853514036,-0.9457708713363431,-0.7551160376578169
103,103,-0.45297396575709903,-0.41725973956008133,-1.7394599453493729,-0.8149582157669835,-2.6968684073773397,-0.5823664455410834,-0.9027280594231908,-0.4539757260370563,-0.689474097940376,-0.5009284788198187
104,104,-0.7683542388293634,-0.49521037084776054,-1.0539570945645924,-0.7442426288313218,-1.3376555905925451,-1.1735879266703697,-0.5348415658732302,-1.004817810903373,-1.135536662999364,-1.4251900597820064
105,105,-3.3640160113555027,-1.7746614540268881,-0.4073651576448467,-2.154357107064822,-1.3850845906930767,-0.8287621014771533,-0.8979882113194828,-1.6083774056621352,-1.8896290800432776,-1.594820726349603
106,106,-1.3093597090857991,-0.4249622105173423,-0.44238129816808514,-1.4162903659217503,-0.6837446858511985,-0.6848451391285384,-1.4089363904127028,-0.4975957867854901,-0.7329278788154222,-0.5276114557447807
107,107,-0.5285227150046111,-0.422221846848487,-0.3384205140488994,-1.0232793995034675,-1.5655539208327245,-0.42369372212159523,-1.828576718502591,-0.45875841364860215,-0.5190532119383083,-0.48160127099638744
108,108,-1.3165002142972064,-1.0114303955789827,-1.0622407372640117,-1.153331300398993,-0.6601704860633222,-0.9966936852809856,-1.343599469209925,-0.9026886721979804,-0.9911439821888764,-1.1196253623409633
109,109,-0.45407618617685586,-0.5390184404796923,-0.42568788472757557,-0.5523952841039187,-0.7623477096672788,-0.664281913875985,-0.70326864000229,-0.7213696710089286,-0.639762368885621,-0.7679661534776548
110,110,-0.9165528804124284,-0.4385438727961374,-0.8741675894289866,-0.6144194673192336,-0.9670252569928404,-0.4620171118341705,-0.5699864007329363,-0.4686097090168101,-0.6273584081680421,-0.5383519040306421
111,111,-1.6526976700065699,-0.9845629021764797,-0.5400921338602238,-0.7755915251434189,-0.6411347061270611,-1.2065297880786272,-1.9771191370287298,-1.232172573908016,-1.2429933781178213,-1.003312017747717
112,112,-0.45536160916768126,-0.37747616926133465,-0.388413729142955,-0.5611416305440206,-2.229379680486755,-0.6712675498848236,-0.9219340775120864,-0.5950529598053736,-0.539121400655971,-0.5258727752531986
113,113,-0.9254245946668191,-1.2956109408059875,-0.6201511228021908,-2.2001601485037963,-0.7925347617093625,-2.1765979059050604,-1.600459872978961,-1.8533935701769686,-1.7243215700589642,-2.241506302120063
114,114,-2.1426818622337276,-1.0405353905433454,-0.3863401230313902,-2.918702861119632,-2.9461887373828928,-1.9621543884044488,-0.5966765568834065,-1.857146304204191,-1.2025191233673065,-0.6295563414837944
115,115,-0.4686574761777121,-0.7159201933091787,-0.4933581336346853,-0.8604863196694311,-0.8744228535267751,-0.9028622947305954,-0.5460833409103485,-0.7612832758727799,-0.4893655359676494,-0.5058471874821018
116,116,-1.090850682996976,-1.171247527666598,-1.412718746284488,-1.0263390815580982,-1.072468152286055,-0.9515775103672126,-1.1232300030008808,-0.9059574179797893,-1.089684874566229,-0.8575657961799317
117,117,-0.6733397978606007,-0.491275665420728,-0.4225392654120046,-2.311755300752041,-1.9841843553998437,-0.4716693202153855,-3.0957096055695574,-0.5179515321608645,-0.5442741951233264,-1.5727896439208333
118,118,-1.0360897068920272,-0.5265697653945258,-0.46750025174135845,-0.5783221450083413,-0.780480109467073,-0.4903275314234766,-1.0323495703450387,-0.590682378263044,-0.8604799025604992,-1.961906740474631
119,119,-3.1901309576132197,-1.863547163055014,-0.7109107398741131,-1.4250360706287133,-2.2596530507454053,-2.5595816271272334,-1.113084067330762,-2.6852377740317728,-1.4652447474643882,-0.6636896714981292
120,120,-2.375105576218462,-3.844024147013929,-3.0346186780611895,-1.773827187155954,-2.216126003496017,-2.829689383542682,-2.6057188621264786,-3.787689778555116,-3.2500168374604748,-3.156603018875078
121,121,-2.7243404605679853,-2.042990822798317,-2.5761705936446004,-1.645462026469814,-0.6966945200825809,-1.673631282297892,-1.117540418217449,-1.9921738951512364,-2.6492683982183314,-1.9874037951012102
122,122,-0.4306269847829861,-0.5170203737951546,-0.7162902888766067,-0.5622066023110501,-0.5829195022576947,-0.6020018217452624,-0.849113175880638,-0.5065801927090161,-0.47390955484718755,-0.4982993875996006
123,123,-2.372138585984855,-2.2205843345242178,-1.5593567572113647,-3.1273423289649562,-0.6232933967391655,-3.0543677042307724,-3.319813115869654,-2.369199894344912,-2.6965939790708235,-1.2420164059153123
124,124,-0.9928416239724405,-1.2495962936240441,-0.6473430128624884,-0.9856188064845575,-0.6030125399567612,-1.9570789274113158,-0.7374859182584104,-1.313120931294217,-1.354724689942072,-1.1269397892496955
125,125,-0.48758170846351734,-0.3805523363755032,-0.6432819988256935,-0.5921456502493855,-1.027077633451233,-0.6203014044552081,-0.7286586821148531,-0.8475389482167593,-1.0001067622586852,-1.3899565852136422
126,126,-2.146800985384621,-1.2340543345655486,-1.3416155541846946,-1.0809556374967815,-1.0317973931145645,-1.0695451134433887,-0.9883712047804774,-2.386070389750935,-1.1277194920521276,-1.312284143714094
127,127,-1.4170762426741879,-1.2048809180074558,-1.3387099552383974,-1.6594555211905053,-1.0292243385388613,-1.0510529961652673,-1.0205535096494154,-0.8907307775408116,-1.0506946964137291,-0.7986466395305826
128,128,-0.5411195782154324,-0.45020478863356883,-0.6702401371546641,-0.6865357189224386,-0.839683881945417,-0.46761974205137913,-1.5910514072931918,-0.5686705914063374,-0.7325117757032585,-1.2840985305869237
