statistic,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
EXPV,0.3608016000157547,0.4760228237638052,0.4331083555909856,0.3141184496650731,0.38756428645124785,0.40867757227694035,0.23093855304322175,0.4170594072748466,0.42376260206586946,0.28434295933928166
MACE,0.0065243179122182774,0.006951364175563478,0.010201660735468564,0.009086595492289453,0.014353499406880188,0.009727164887307219,0.0056465005931198185,0.0033926453143535264,0.010391459074733116,0.008018979833926477
MAPE,0.08396461872076255,0.07365362330883592,0.09852880815970373,0.09623440867272594,0.1476177126543489,0.08097094020620386,0.10146322657714635,0.08479711686491052,0.0780824552383456,0.088190634575214
MSLL,-5.312262857244971,-6.4326868367959715,-5.251957910371499,-3.4131118181911067,-4.7264935385361015,-6.257341986751647,-3.3278195957847627,-5.951230955531045,-7.0113952250502685,-5.640618298776822
NLL,1.2016773570953005,1.1111992532821668,1.102615927026979,1.2490170258780686,1.197826829780339,1.1445539775161435,1.2779640396186698,1.1567964767515715,1.1567056586771185,1.2391526743280044
R2,0.36080138802405826,0.47602082558002323,0.43232513261449634,0.3141182525311933,0.3875218755452182,0.4086468945698918,0.2304897258758345,0.41704263857387436,0.4237625742574024,0.28433771583232703
RMSE,130.48152594716294,330.8932736932516,104.85013908167939,21.214083728259432,70.82845373832336,304.99227445356354,21.239116833100567,225.71390340290014,647.7757668462209,199.05058595011207
Rho,0.47452918159977264,0.4991754906264955,0.5367113228384001,0.46927881245906766,0.46146896510565216,0.5665937089591311,0.41182889107182125,0.5357294682442265,0.455641595893289,0.4678291061638756
Rho_p,1.481922166161934e-48,2.5314540057760645e-54,4.582480259743807e-64,2.186912901413973e-47,1.1003404850037748e-45,9.52032103273547e-73,7.61848144671444e-36,8.546557324838817e-64,1.9180428695486886e-44,4.560861330991081e-47
SMSE,0.6391986119759419,0.5239791744199768,0.5676748673855035,0.6858817474688067,0.6124781244547819,0.5913531054301083,0.7695102741241655,0.5829573614261258,0.5762374257425976,0.715662284167673
ShapiroW,0.9957085603530252,0.9972796037754645,0.9966089307458111,0.9918979709253071,0.9961358249741415,0.9940797457954348,0.9966819702837368,0.9957172868000648,0.9962929315021836,0.9953570209305719
