statistic,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
EXPV,0.294499325515978,-397.95959167065763,-1.1393400728276086,0.11158255414326601,0.21244998821319327,0.06937771631633283,0.011042307856970801,0.026545270228477413,0.03860208409496224,0.041816346359747736
MACE,0.018861209964412796,0.11632265717674972,0.04230130486358246,0.011103202846975118,0.02574139976275207,0.027591933570581262,0.011933570581257418,0.033760379596678526,0.029015421115065266,0.028778173190984586
MAPE,0.15166372496520322,9.392234294826494,0.20877824689702415,0.12129680298801683,3.717353796314604,0.09592110127034946,0.9019511157559336,0.09611464058622525,0.12354365754693565,0.4516602759338408
MSLL,5.494506023541184,1.548021055958872,2.097796610761545,5.175218286227283,3.462831017666555,3.4273395465656935,2.461508302496335,4.117721494688894,4.133394136039656,2.782721332251577
NLL,1.2249002745095996,-0.17363050769490976,-0.17006491510287985,1.2986893635131578,1.2012389901648068,0.15225224643139187,0.3185207552796078,0.3888371030566891,0.39743205497747414,0.11878043009281693
R2,0.2935344139060716,-404.9020006267432,-1.1525600099163564,0.11093942219832686,0.21244624706187687,0.06688899484813837,0.01074695269757231,0.02522368273255038,0.0367402828325073,0.04065348618735565
RMSE,0.0028447369490649113,0.8715045261583337,0.03675536266845509,0.004727955513602748,0.02237206073693209,0.008838470942019314,0.028231168665539805,0.005738275489944842,0.0056640464705316204,0.01651261068737603
Rho,0.44427543262026437,0.29942825905092274,0.17310078267163073,0.23891503675306455,0.3355457879007665,0.3907931416401878,0.39985074776980145,0.44756950400538714,0.4255687059041473,0.390198688793142
Rho_p,4.324996175996841e-42,6.363669976428323e-19,4.266849795850339e-07,2.0875486255173667e-12,1.2467125289733751e-23,3.803147448898273e-32,1.0477086610898014e-33,9.186448720531586e-43,2.0882386827930327e-38,4.79549014444794e-32
SMSE,0.7064655860939283,405.90200062674313,2.152560009916356,0.8890605778016731,0.7875537529381232,0.9331110051518615,0.9892530473024277,0.9747763172674497,0.9632597171674927,0.9593465138126442
ShapiroW,0.9840545388950248,0.44303122434069087,0.8924526655606281,0.9922352277364028,0.9712177560800521,0.9332288386884496,0.9895704187641812,0.914340760362697,0.9182890645672999,0.8832731965810152
