observations,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0,-1.1418902476750221,-1.8920235594394526,-2.4237205393469257,-1.0455718024859717,-1.0147882252806346,-1.9711331761414452,-2.5001502192361427,-2.485008385009942,-2.477020950207358,-1.2354859567146996
1,1,-1.74097582799303,-0.9034271274932465,-0.7888500184909127,-1.857746283175428,-1.0380496207819492,-0.2827459898258816,-1.7526849184772877,-0.4808886754364409,-0.5175455240713678,-0.9293656185132524
2,2,-1.342296246333058,-0.7714182242015237,-1.0967920244841693,-2.30104999332187,-0.9153656866744502,-0.30168553531067477,-1.5032720685837377,-2.3888559907874622,-0.6176611945129054,-0.4981504896358693
3,3,-0.9935437998566745,-1.5170416042171824,-0.7410083084249472,-1.5426678126974402,-0.7607431504783988,-0.47406509301423,-0.8068708350247762,-0.5633592049778415,-0.6593446924428794,-0.5731533963499271
4,4,-0.3658673645797515,-0.8472029291090901,-1.0803383839875922,-0.5151565683675443,-0.7699105566278195,-0.7851964295741746,-0.9053917824670297,-1.4575195427968264,-1.735288074248511,-0.6583106224230917
5,5,-0.42356971273242333,-0.6881423004842091,-1.5570710711274671,-2.040629240259686,-1.8134007960828677,-0.5108212925130189,-0.9954948033627673,-0.9183677219753842,-0.6232403915070307,-0.591491434032045
6,6,-0.4296851365814075,-1.2727524013050822,-1.0379689864678454,-0.5994947019760252,-1.169101363656504,-0.6384792878307367,-1.2440743319245797,-0.5488938362535085,-0.6384599282049748,-0.6319583430036304
7,7,-5.873203273053961,-0.7634366587516096,-1.6581363732877512,-0.7212381363049896,-6.927559823108407,-3.3105433359838123,-3.3213226144924564,-3.6847866429099194,-1.2086102248806307,-6.183707737633128
8,8,-0.36405419234091546,-2.1403449313381566,-0.7782178877388716,-1.162605715438727,-1.0741385239603884,-1.916072892984374,-0.643429975309076,-0.4748642761937692,-1.80825583025271,-0.6182466680776598
9,9,-0.4508092410732188,-0.6846785608861177,-0.7510823029700948,-2.584049726445039,-0.7449699859197284,-0.8711619271579765,-0.8479307973792878,-0.5161871287199167,-0.5492361787513864,-1.7299013516214794
10,10,-0.36528339777055635,-2.034012203597738,-2.062615349539457,-3.192126665636353,-1.130614449699833,-0.33456314643547663,-0.6618239490769738,-0.5349530726572869,-0.47643804368785503,-0.6104982054076851
11,11,-0.469698877991109,-0.6461756133756595,-0.6817839412077195,-0.7385660927421303,-0.8312539154317496,-0.3125822814382561,-0.6981862724589158,-0.541191382821784,-0.7982001373669716,-0.7182972286553672
12,12,-1.1173218758583423,-0.6569993020715842,-2.899004774338884,-0.8017793730436727,-1.0732548267296593,-0.6120714773625181,-1.2293412653613205,-1.1461388828046741,-0.49815323648678883,-1.0369121796465204
13,13,-1.1561067953394808,-1.1996005010861217,-1.0380395344664575,-2.244900589036405,-0.8783947259036489,-0.9322973315604419,-2.2181377446547517,-1.5879308139156536,-2.6127154561969768,-1.3448205975037486
14,14,-0.3554175338444099,-0.6894712616956137,-0.7050268618822912,-1.1027672473756351,-0.7351423501935836,-2.596660925190358,-0.8788732661498415,-0.4570539541527426,-0.6579506775076062,-0.7612744284347959
15,15,-0.7905683739457758,-1.9832156282943192,-0.7844169615578,-2.276686033997785,-0.727472744358159,-0.34241597560752407,-3.154037456802566,-1.1775862025740018,-0.9205270129628711,-0.5594803431190901
16,16,-1.0647602343573597,-1.4484037555561808,-1.0033676798547946,-0.5624178515582487,-0.8416702525210311,-0.8076478004288743,-1.3359657264992295,-0.5428118575084474,-2.84843142926566,-0.5987781534735291
17,17,-1.5160610480950294,-3.070572760206658,-1.2122667357896018,-0.8489208754281041,-3.4639451054990023,-0.4292951821748554,-0.8873615547501779,-0.6229777654313848,-2.0971324239822398,-1.7290315634880102
18,18,-1.1755469582898974,-0.952799058848154,-2.251884972121484,-1.591822889854803,-1.2496527487849596,-0.9055283911731292,-1.0739321591978954,-1.2125314192464867,-1.3237314983404478,-1.130843862600408
19,19,-1.191301238103848,-0.9140065504245263,-3.9345797245892222,-1.287415504142134,-0.7865417611371943,-1.2706367030506431,-1.1037954543614779,-1.276675981878566,-1.4670633527409878,-1.6982389313122372
20,20,-0.5233212611577305,-2.036062194595261,-0.6895526912894963,-3.032248787341815,-0.932746696523735,-0.42372325888905055,-0.6443429224590885,-0.8209113298054851,-1.1268055832208812,-0.5447524910771537
21,21,-0.35145920001674824,-0.6440268904073505,-2.4086344560163915,-0.5723853175995036,-0.9308848694727344,-0.4713405166779826,-0.8929594816988167,-0.544455520466556,-0.6757959085854939,-0.5234290584140466
22,22,-0.8874242584764552,-1.494470958843436,-0.7543080613832409,-0.501328356745577,-1.927781731590513,-0.32595156925526486,-2.0320248683460553,-0.4826709270898568,-0.573311532505622,-0.5821793294237133
23,23,-0.741191207010782,-1.3141049614032176,-1.1239868692976935,-0.8661649708640846,-0.9745530134705316,-0.4599373998476375,-1.0380890574308976,-0.7768109488458899,-2.7733808618928624,-0.8625555696508784
24,24,-1.280357035043185,-0.7802358795262758,-1.3554289492623113,-0.5118026169921112,-1.1296553832208918,-0.662912802635933,-0.660484176397544,-2.2471511470656114,-1.4660367108026346,-1.5515788916114794
25,25,-0.4020566931987581,-0.8370819297584826,-3.4854372306174906,-0.6089054688674749,-1.8242898840604347,-1.4818727116249224,-1.5507202955390622,-0.505639931791433,-1.6564473146830372,-2.046234276195656
26,26,-1.9631305503596383,-1.1511331995785095,-0.911473761432584,-1.0550783765888607,-0.9767450130816748,-2.1979927834751214,-1.4064087299594528,-4.055103316010249,-1.0774574021079897,-0.6230890742421928
27,27,-0.6615389068950324,-0.7482196851416779,-1.6259494620265376,-0.6139541115147704,-0.9484678535858198,-0.5035834237645376,-1.1303092106627033,-0.9500491711975465,-2.9392543739278287,-1.916612242471522
28,28,-0.35613617533840813,-1.6796389991014964,-2.1215640132768465,-0.5850725916569347,-1.6251819380543355,-0.5247726413227424,-1.0177252558011358,-0.4686960345551159,-0.6439564428422079,-0.8873091638487903
29,29,-2.5618391386437285,-1.9255649372739325,-1.001796627979743,-0.5750721499871048,-0.8362807095894527,-0.32064161794626284,-1.1579546028387182,-0.4851321430508583,-0.5171074166626937,-0.7501373247624973
30,30,-1.4113397327990354,-0.7962607922669437,-1.178163239695227,-0.8460938807807774,-0.8553835554928807,-1.8894473051294325,-1.6849284186922002,-1.3025437083018456,-1.3499402213647325,-0.9057429853077847
31,31,-0.46582800244558836,-1.0572838677612784,-0.8480150441561696,-0.563672322288324,-2.1323686140552374,-1.5198125455549913,-2.5818718436662116,-0.6449247884144929,-1.5658224483124266,-0.5247212735611937
32,32,-1.16571239983488,-1.6768023328963455,-2.110770919093819,-1.3177983149446635,-0.7883103179324624,-0.7120530553515017,-0.6953244845124753,-0.5225379801631673,-1.0479759845506056,-1.3926132889747658
33,33,-2.3988467971690937,-1.5825044938174941,-1.332733787144139,-1.4853964183991353,-1.3604760301994578,-1.128535004593434,-2.096239912297664,-1.2860358775557796,-0.948438639077716,-1.7473196184654947
34,34,-0.919684794794994,-0.7123874130942431,-1.9603902266099404,-1.0659425187601397,-0.748946476890733,-1.325019233687546,-0.657350358935908,-0.6892263269098514,-1.2616160089866604,-1.2179440276264986
35,35,-0.4054413532427234,-0.8984897567468045,-1.640711061878601,-0.9714389311085616,-0.8044761033982347,-0.3012684833146546,-1.0139807792729632,-1.5846519775114734,-2.3532965788408924,-0.7133807442399438
36,36,-2.548639096916034,-1.1070267287372015,-0.8524881597007665,-2.604891101422066,-1.5246660912794443,-0.4240123662988754,-0.6439428086017406,-1.002136224925576,-0.5484747340234969,-0.618590171251014
37,37,-0.5750991881249847,-0.6941522553468766,-2.4492821277584613,-1.4532285419075435,-0.9265402831998144,-0.3223656198983341,-0.6599657465802402,-2.4390346041826323,-1.2074015572373757,-0.6335583671170796
38,38,-0.7984299253049181,-1.7066190913135866,-1.4584829743062933,-2.8635282983108135,-2.435047199969079,-0.6246457575547509,-1.3409101217253026,-0.582989295171495,-0.9940738090886537,-0.5261846203709313
39,39,-1.4306338310195066,-0.9905625725536157,-1.8191299886999692,-1.715428721484979,-1.196437110623269,-0.9457583126389084,-1.107831016834994,-0.9894987402216234,-0.8676916687571101,-0.6400131169604999
40,40,-2.3716985968762705,-1.1623015446529132,-0.9407572009422143,-1.3446361469968409,-1.4919785533657368,-1.315258599624089,-1.8188189336191432,-0.9272836940932261,-2.9244738019089747,-0.983203512428523
41,41,-0.6875119454881023,-2.4710541976824807,-1.7685450009566877,-0.5250821630529664,-0.8453999011271084,-0.642896095643271,-1.8798710040225828,-0.697297242182961,-0.49717189639928594,-0.8181378347720654
42,42,-1.2363882282170846,-1.029042842436557,-1.030836174876093,-1.373190733424909,-1.8845383473510182,-1.9183810862209463,-2.1365690821957486,-2.191296025157246,-1.207007618669416,-2.839741513507945
43,43,-2.382270355194019,-1.61110760268634,-0.9644430549637095,-0.8486939847787646,-0.8650371949561728,-1.474658333861647,-1.2818582353934864,-2.0894077490085396,-1.6192747910598568,-1.2935851098171784
44,44,-0.6952612376431522,-0.726027117015547,-0.7696129295344769,-0.600362031129613,-1.2183902751123339,-0.6219886518406732,-1.9017160478042132,-0.8699919769139595,-0.5488525193343581,-0.505031296003133
45,45,-0.6260518008639424,-0.8561474937896068,-2.420910806692352,-0.7125467879371696,-1.368787821834406,-0.48903150048155336,-1.0538413930880797,-0.5097316561313283,-0.5948083776314448,-0.637533252287725
46,46,-0.8675095347417786,-1.9137367921682404,-3.63946387173709,-2.266347845335063,-1.027732392107085,-0.6388257698697357,-0.9572765316019787,-1.2229184425814137,-0.8981372243681413,-0.7150142221174842
47,47,-1.4905473431336564,-1.0982282452668093,-1.6413604834189741,-0.8977167396908831,-1.0955143006961827,-1.0435022477543232,-1.6710512786560625,-1.680679392176001,-2.287367501147148,-1.768159401825713
48,48,-1.3338472239516297,-0.7313676774496289,-0.8308832119353868,-1.6462104902805719,-2.3501915437550274,-2.470149607710628,-3.805238942758472,-0.9400168964611622,-1.6303346834415104,-0.7186595437915618
49,49,-1.128146796486499,-1.6436142895983097,-3.2508898753438773,-1.1740980572988908,-0.9033806851272244,-1.7531806046227387,-1.025359482553008,-2.857593622780902,-1.3799820726720078,-1.1379344865908196
50,50,-0.6581893414772171,-1.5066028194519596,-1.4187791099847216,-0.536336861739494,-0.8076213714389395,-0.2976902643198178,-1.5686847422875605,-0.609011616172936,-0.5980038087737132,-0.6395918008383626
51,51,-2.2661280206164296,-2.0148719601860643,-1.3067797679604856,-2.3673165818440487,-2.5814588590198997,-0.33764969695628405,-1.3023933289806264,-1.455449760007891,-0.6161788940858373,-0.5308449921195905
52,52,-1.9038747996734384,-1.615260586161419,-1.3416934169366257,-2.3892105174573035,-0.9210164046641667,-1.0780345080174283,-1.3479040233954425,-1.286521233230934,-1.4532258350659837,-1.03071718518927
53,53,-1.2088803844182527,-1.2718100178263265,-1.0152080693791947,-0.8516230397138393,-1.723997273174414,-1.9147831527852262,-1.0126213252327139,-1.3694900929435203,-1.3552988393229832,-0.9714734447087828
54,54,-0.831519751342381,-1.0785268640529613,-1.63167412507369,-1.244680799299017,-1.4362941914496052,-3.7395349858600255,-0.8629410080682094,-3.5358028290147354,-0.6908594698934525,-0.7609833615470692
55,55,-0.4778206476312379,-0.7806086000736934,-1.2657165992933868,-1.3602837261652887,-2.33312038191453,-1.181850375203302,-0.696724671576014,-0.4989443780848175,-1.104927487507831,-0.7646413504227867
56,56,-0.45549389932152606,-1.9138741219332998,-0.7233556264856531,-2.701258044992784,-0.744074405084352,-0.5367884072934228,-0.6432867069244512,-0.4670632767484695,-0.6445737387408506,-1.0479378529943377
57,57,-1.6594508829759667,-1.2199457915441023,-1.000311960461416,-1.546246780380686,-1.7522708292082683,-1.2548068742405956,-1.1887634085569427,-1.3542753521641648,-1.9554745294433995,-1.4174673763884342
58,58,-0.6541633223001568,-2.128060610815278,-2.1006588993890523,-2.7105638551663707,-1.1339491493535263,-4.1346324373986585,-1.0401910886757932,-1.5644989106279468,-1.0077606355531104,-0.5108867349988537
59,59,-1.3235066849226316,-1.421285463236835,-1.2138141456162637,-2.6372042912001845,-0.9228124143644687,-1.6421471815328126,-2.345296630218618,-1.078064358469894,-1.8717227715689506,-0.9232440660512002
60,60,-2.193677216298602,-1.6248021633602088,-1.2428646172958977,-0.967483481840349,-2.3984645287025756,-1.4098300090334261,-1.2992672306960569,-2.6368954260593904,-1.2382323029489999,-0.9561104342433935
61,61,-0.3770077019959313,-0.6610145716698375,-1.058937980499288,-1.202378124907679,-1.0567126518107246,-1.467331932318338,-1.1234285496787983,-0.5216210815553844,-0.5326970462181472,-0.5700952500533578
62,62,-3.2541687245475983,-2.3931950361559844,-1.381010508969601,-0.8029204586762169,-1.6745181698817209,-2.631936516024265,-1.037693662940872,-1.299335598358463,-2.242918859792846,-0.9361652790816997
63,63,-1.430299626778032,-2.5144139270169403,-1.811918900641256,-2.1286321936226247,-1.067003248259266,-1.7541301392934294,-1.215909290844282,-1.5606236966487148,-0.9683781983122388,-0.8419820592996239
64,64,-1.5019447458209563,-0.9505161317319585,-1.072862151899117,-1.7583603975829871,-1.5308546426212324,-1.876928797837532,-1.0662478868331022,-2.6491037084147835,-2.7300343675741345,-2.2674146438962066
65,65,-0.38005462480835756,-0.8012371335300144,-0.6984815470276933,-1.0658743421041261,-1.0128645153855047,-0.5351666267250016,-1.8086080935959659,-0.5726793888731301,-0.7076997032609921,-0.6494698616529097
66,66,-2.1501207178103514,-0.6576498862858802,-1.504311582161876,-0.6854238985127181,-1.6212256694794323,-0.3172311331045571,-0.7725676844820359,-1.7507904105520775,-1.3651023844363928,-1.4350836194688188
67,67,-1.3203005713771045,-0.9294124270183858,-0.9350328996642411,-0.8561178734986478,-0.9237621619131585,-1.259399028228071,-3.122442840558162,-3.4828436235234506,-4.52085516400119,-12.344402690403742
68,68,-0.4748045904242468,-1.1777194069936905,-0.9883027462459014,-1.323409318335583,-1.9316522674975605,-0.3416641560170981,-0.749330920166905,-0.6688642480913118,-1.6362224254660966,-1.0803527679132512
69,69,-0.6944558229474632,-2.7701346446119812,-0.8380759691676921,-1.8379477428167177,-0.8770444878719773,-1.3355837985878747,-2.6228947749637253,-0.6443154410961257,-0.7497345401024047,-0.8476861869734565
70,70,-0.3674691310918663,-0.6698521752716142,-1.7936135644736146,-0.64817700448893,-2.6034171295553863,-0.31384148831533154,-1.2941242846349714,-2.2461398608736927,-0.5917257824979616,-1.326608282906438
71,71,-0.5839492499673198,-0.7605939475972765,-0.8465688129972002,-0.8223414155497859,-0.9449527174917143,-0.5867242012381092,-1.5617387981974022,-0.8515391338269763,-1.2273604933747082,-1.0075768632057713
72,72,-1.323607231942178,-0.890272762780471,-0.8806799950698152,-0.6351792221789488,-2.340507022319687,-1.165845846431072,-1.7537742830600185,-3.361804817180727,-0.5668211815494696,-1.4427333039867456
