statistic,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
EXPV,0.42899088942002683,0.11094526039524755,0.09972272426404982,0.12472972314737252,0.11039474564653728,0.4951296574083328,0.10220025009859235,0.2864224504457109,0.20362760916394107,0.35741250347668385
MACE,0.013119810201660743,0.013831553973902738,0.020948991696322673,0.013879003558718855,0.014424673784104424,0.018268090154211148,0.016963226571767485,0.014306049822064062,0.011577698695136437,0.018102016607354686
MAPE,0.8703569658725089,2.3426190578456647,1.7164806565193176,0.09752646149961303,5.381146734468322,0.7132384324162173,0.4539563900137109,9.371400631468552,0.18762617935168482,0.7117207266246107
MSLL,0.6649326216353268,2.0018820099858954,1.2056764212694304,0.41522571555752397,2.6260272552502273,0.9888970074362727,0.7056928272956164,1.2649267354497737,1.8026771325817852,0.8579297087165463
NLL,1.1005085677471105,1.3714348662318163,1.3628217631007302,1.2613691795746973,1.39956636473982,1.0404741238003097,1.373684353800701,1.2209830943243694,1.2509541277204248,1.202692823067676
R2,0.4283516141623449,0.11083491214666863,0.09769634203791622,0.12381020159288558,0.10916813844332429,0.4943175602369866,0.10089196536666722,0.28513308112759406,0.20273899620639668,0.3562396183291189
RMSE,0.28281051032235105,0.12146588263376965,0.2689592832156971,0.5278826137056135,0.06699085160261282,0.18117631335862464,0.44748017381983085,0.1957901973273038,0.12443794468959805,0.27406505631034234
Rho,0.5425101980964167,0.19964462881064873,0.24019131552155448,0.2684891473325683,0.29681426122851734,0.5623019685847862,0.24714605379652826,0.42480464727876915,0.3775467779982686,0.5377667208795923
Rho_p,1.1067690437564262e-65,5.007186297153912e-09,1.5810449351259209e-12,2.1928365691087392e-15,1.317689921914214e-18,1.9073342242549466e-71,3.3803814110768097e-13,2.9200511889450475e-38,5.9634052016476515e-30,2.3395817153136148e-64
SMSE,0.5716483858376551,0.8891650878533315,0.9023036579620838,0.8761897984071144,0.8908318615566756,0.5056824397630134,0.8991080346333328,0.7148669188724059,0.7972610037936033,0.6437603816708811
ShapiroW,0.9971575379471596,0.9924255502852894,0.9884312193057656,0.990997827495792,0.984147424851445,0.9917099657901218,0.9874139769816538,0.9932972987832325,0.994584795116893,0.9922906508865971
