observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0.05,0,1.1379997648914923,0.9159255201477655,0.4657536064795357,0.9561813545801969,0.07368484127649827,1.8386316622375174,0.7426492320419199,1.2618808241714086,1.2620486768159365,1.1885551857035106
0,0.25,0,1.4892550567357103,1.17737629762413,0.9663615081865611,1.3609086250807196,0.13018399945505144,2.085825420711193,0.9490221909662707,1.5152324730103104,1.4434146708361044,1.3420181278142922
0,0.5,0,1.654354204570748,1.3056572821290982,1.185558765624302,1.5543659324082153,0.15770064502061254,2.1788859592160232,1.0326946157677237,1.6192667169952568,1.5206473929684698,1.4117842188914225
0,0.75,0,1.759785800103242,1.3881247422718221,1.3101705234549665,1.679497880909034,0.17610967272811262,2.25441871648092,1.100495444154347,1.6901145762384626,1.577819190722507,1.4800333154426553
0,0.95,0,1.8650901433222833,1.462264307148062,1.419763212581151,1.7992208610192093,0.1942686117599788,2.3674660880673817,1.204790401405682,1.7802071216481277,1.6521276558433917,1.5893072286373788
1,0.05,1,1.624101037231925,1.3395744512353276,1.2567296619301516,1.5491758177289485,0.16122671806211503,1.9664488921616239,0.8758980594587417,1.4947413338138467,1.4137502305977012,1.1652788654956563
1,0.25,1,1.7542256770564502,1.4146511471493415,1.3445689522493243,1.6937684344736195,0.18314056201267293,2.108696179145718,1.0023443149864535,1.6246592190842866,1.526395623793935,1.2730561749261142
1,0.5,1,1.8161666559861462,1.4521031792572259,1.3910420119274314,1.7630147504406806,0.1942541103632421,2.173325193430746,1.0628572730498416,1.6845433748344536,1.5807280952996314,1.32643670473032
1,0.75,1,1.8719601576650593,1.4859496930215301,1.4333753260691262,1.826057022574801,0.20440974106296553,2.2283371843287596,1.1196638398364833,1.7374580527599557,1.6304575387731841,1.3694547145426994
1,0.95,1,1.9551689237102048,1.5344612846729984,1.4928171193529964,1.9212084036821016,0.21888891151454554,2.306655383379991,1.209226359773622,1.8155809527385882,1.7035576720457943,1.4250796764336637
2,0.05,2,1.6227896839947011,1.3440058686933416,1.2858827465321754,1.5738987307741947,0.161170217353094,1.9633786365163768,0.8764522568310635,1.5103398433387483,1.4371715894332338,1.1547680684933892
2,0.25,2,1.7533537638951935,1.4171536780791731,1.3633438318682656,1.7086579469800964,0.18326994091366394,2.1060496507154185,1.0029160216521473,1.6339068766356049,1.5412398878384583,1.2638457782946984
2,0.5,2,1.8153964174018242,1.4540870720907406,1.40695851460879,1.7756891606968208,0.1944638695339345,2.1707957041188335,1.0634875380787145,1.692230412868602,1.5941342103674623,1.3182646962818287
2,0.75,2,1.8711565414200444,1.4877157493749087,1.4479435602918718,1.8387603527847924,0.2047057042327409,2.225559624583415,1.1204595164233575,1.7450769089675924,1.6442832551031494,1.3616317226131718
2,0.95,2,1.9542114580749903,1.5360825128327884,1.5064871584491377,1.9353717785563145,0.21932936461848448,2.303090027085304,1.2103939820166498,1.8240873645854399,1.7191420702647753,1.416446074504692
3,0.05,3,1.6385915223445,1.3223688983924553,1.179442569108014,1.5621910639856538,0.16674150132280768,2.0068432611225893,0.8027333575559225,1.5225680408184514,1.4064886890931922,1.2460405419007052
3,0.25,3,1.764741102528615,1.4060845694129769,1.303103720501119,1.7030187361438913,0.1864299723332486,2.136250248317968,0.9611051761033067,1.6414586001643332,1.52047949221798,1.333621267804293
3,0.5,3,1.8260556974889555,1.4460392667279973,1.3601648631357053,1.771679220366986,0.1970082412092305,2.197961026729281,1.0307294379274832,1.6988081048191936,1.5747989607997166,1.3793137349829683
3,0.75,3,1.8828102112203344,1.481195817635459,1.4079829226440115,1.8355588980473228,0.2069480766837434,2.2541646419736443,1.0885998600364002,1.7518285316767856,1.623747412283919,1.4213711499089923
3,0.95,3,1.9687770268938156,1.5310493838207555,1.4721333542554447,1.9331424058959208,0.22129484771590152,2.3377328905359427,1.174577951273369,1.8318699408192152,1.695030126786912,1.4831117787710961
4,0.05,4,1.6381912602496824,1.3463909517326558,1.266719831995979,1.5774520307310715,0.1645165122406982,1.9939382615126489,0.8526639937196331,1.520557480753769,1.4317080669987194,1.182824848522524
4,0.25,4,1.7626459120694669,1.4188824741350092,1.3511791500743933,1.7107599592469338,0.18522226759094285,2.1245550439732064,0.9889281782685877,1.6396351575427228,1.5371101784901768,1.284805259063553
4,0.5,4,1.8231938724538368,1.455711462228808,1.396788795487442,1.7774799560065886,0.19607857831050926,2.1859175079035165,1.0517954781647516,1.6968874542836647,1.5899901180827156,1.3355035372581159
4,0.75,4,1.878883693979462,1.4894193334804258,1.438815074058241,1.8405372478053847,0.20618187467299762,2.240179527945751,1.1085130539185313,1.7495449395691276,1.6396417311183147,1.3772296048229031
4,0.95,4,1.9627548226691165,1.5380531037157745,1.4982315537647422,1.937296882672753,0.22071489467268351,2.3191397854449987,1.19644664142712,1.8287750290575402,1.7134026097829118,1.4325212986858773
