observations,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0,-1.8683307763258687,-1.9414657049298558,-2.2297086130148207,-1.606398618654913,-1.1113593372162605,-1.0708463650318218,-1.0880262786914336,-1.310630899117434,-1.4783134955650516,-2.1798271317664883
1,1,-1.067445361542005,-0.5914937071486074,-0.20158909436147682,-0.8799446744807158,-0.7069822058282217,-0.6515093237749799,-1.7900077570143829,-0.783886220920243,-0.6152429953199965,-0.5432933035245766
2,2,-0.8303126287614527,-0.4352970093183939,-0.2768080482030655,-0.7382596218486356,-0.6012937305958861,-0.5807558135249119,-1.9012093540088033,-1.1176882626593196,-0.6456029079630439,-0.6791364144951522
3,3,-0.8975802736807899,-0.9076558509485839,-0.35806785584567274,-1.5820086581163924,-0.38326928068728505,-0.6158261611233857,-1.5484186221355727,-1.194768482349851,-0.8914845928193791,-0.7616286830616996
4,4,-0.7036098334776378,-0.48899420962231605,-2.197254907990002,-0.6168756696626736,-1.6070303322111195,-1.1017826735843266,-0.8944738933672969,-0.9702035345635277,-0.7554841862566374,-0.7061973213831818
5,5,-4.017963261836553,-2.603816741945746,-1.001447851128769,-1.8100844368320124,-1.6121072510840109,-3.1818769469306827,-1.9577215669376224,-3.886160763099866,-3.091493929453663,-2.403068264221938
6,6,-0.7471163632674475,-0.9748885697806746,-0.7355527872063237,-0.7112123106619437,-1.0069622736313155,-0.6153643902381095,-0.8658912363396519,-1.0381680928478865,-0.701799016473872,-0.5282753280156794
7,7,-3.7980742640710115,-1.854846688348967,-0.3590095021159551,-1.1185870284328305,-0.5084027495174468,-1.447474680562118,-1.2364945828685037,-1.92374711631214,-1.435516229505527,-0.7609185608304231
8,8,-0.7774438372333738,-0.5818709205273342,-0.4339107764050657,-1.339884557599095,-0.8924514404913585,-0.8538458843650644,-0.7746906966950362,-1.4138171127618333,-0.9275294385456276,-0.5323400556011103
9,9,-0.7476528910213541,-0.6732168322502878,-0.5435753827815084,-2.2689008437594294,-1.42650075172097,-0.5647026839143385,-0.7864933725938362,-0.6308531002689979,-0.7191791320560421,-2.1848402369325215
10,10,-1.7737677319925034,-1.5465991593494501,-1.350242789632155,-1.7810152740167582,-1.0870953223432362,-1.6694826095852058,-0.7661671862400132,-1.864073099932833,-1.697689912289708,-1.790408042665061
11,11,-0.6836124799880016,-0.8203096904576189,-0.264888648798688,-1.25153193753412,-0.39628306827981263,-0.5931780890035999,-1.882863345672661,-0.6147825112881262,-1.1861718171444406,-0.48834766112166117
12,12,-1.732978318841103,-1.754659276133828,-0.7661089685644047,-2.429549063607448,-0.45621409441346106,-3.1464688334310558,-1.5687037278531908,-2.1493846151205913,-2.676553895267925,-1.9748100109867246
13,13,-1.5850057048371653,-1.0428823509879999,-1.1255757366423895,-0.9753180905028906,-1.0287652232160702,-0.9890397489624458,-0.9539878478135619,-1.1296647000245743,-0.5653623983682505,-1.3287134482810945
14,14,-0.6463021824107763,-1.294883651039963,-0.8576101563671329,-0.7785442959177322,-2.1190351716918983,-0.7120216868739025,-0.9365011117239863,-0.6492180969861652,-0.5922738998230763,-0.8106464501849755
15,15,-1.0949059265298402,-0.5438466375596437,-0.47724684653256066,-0.9801393476606606,-0.549235612334516,-0.5953063170112718,-0.9472355320279059,-0.7289033437319679,-0.566730566416714,-0.4731832352996105
16,16,-2.7574932249157937,-2.082973326529735,-0.26491162048468125,-2.7574880168865894,-0.8420512693358884,-2.006179523885881,-4.115923109948067,-2.3687190586404068,-3.648465881447504,-1.9266583335237992
17,17,-2.216340004969026,-1.268858644705591,-0.3059310334819011,-0.8969330873768848,-2.3997006946431747,-1.3301591162494804,-1.524391776243599,-2.842264752418543,-1.9677118493161072,-0.5879517596505486
18,18,-0.7887832873780565,-2.0273968681591112,-2.3082954344606836,-0.8864624183180038,-0.7521584111958349,-1.8228938905818337,-3.0709928796763286,-1.2439913579686075,-0.7078011504892,-1.0786894599912196
19,19,-0.8858376349693865,-1.1418342325656292,-1.4618022148656205,-0.8280606438387912,-1.3182893023498297,-1.8868984338628916,-0.9216385401252903,-3.316966233825926,-1.3078756350881353,-0.7976891967474273
20,20,-1.6001067647833396,-0.7722264405957993,-2.338687552230577,-1.543161283797374,-0.45947950509672186,-2.043410485800454,-1.8514136243968444,-2.1013534460546257,-2.8306618444661207,-2.6874091646981872
21,21,-1.648821509527324,-0.4427547927350567,-0.22352815063842474,-1.2203555275130304,-0.6904128798694266,-0.565414428398564,-2.3824531710488808,-0.8177735734388256,-0.6215949375562071,-0.8618224928411429
22,22,-0.6157200398880611,-0.5703444338854844,-0.28995950357742767,-1.4507197002112437,-0.4461977155080397,-0.6497873841419458,-1.612336866807692,-0.8173074697344329,-0.5742571229435303,-0.484718414662528
23,23,-1.6099782879482198,-0.6003768824011283,-0.3330793972969932,-2.0439988949032775,-1.6134001856941933,-2.6954222196061517,-1.849591461605209,-1.783712818701594,-0.6327549825101998,-0.6786851887027807
24,24,-2.155692512436507,-2.739140698087173,-0.19352053966062055,-1.4169764729161596,-0.45342582202204235,-1.177722421704768,-0.9447501767469872,-3.495663559935651,-1.9148022913048328,-2.0904008689053177
25,25,-0.6777468831169944,-0.42868215565594064,-0.21454145720485104,-0.6392858565635248,-0.4588373762172916,-0.5892826895114153,-0.8733387207725379,-0.7801751811926687,-0.6585334991612328,-0.6879535829122079
26,26,-0.7079991262338197,-0.5877173629567897,-0.6718673083851637,-0.7789421433730532,-0.9479585578896643,-0.6369076512943865,-2.296653196816088,-0.7484863814692606,-0.6106429470229804,-0.957289640672228
27,27,-1.6291428128223178,-1.0308271034944803,-0.5361060784142124,-1.394156831769676,-0.43062305669955525,-1.7856954933285625,-0.8543839976770577,-1.971651782962868,-1.3039557151057288,-1.21800054848169
28,28,-0.8458773587012908,-0.4326092760482156,-0.31366825942683024,-0.6366505640525792,-1.4139021143944959,-0.576119442943453,-1.0236255818505247,-0.6428767901417546,-0.5761957673807865,-0.6185992221849097
29,29,-1.007719364106673,-0.42477020245774316,-0.285804697063573,-3.0143420585365477,-0.7722684095238792,-0.6126231713280603,-1.6440531344283054,-1.0675977439726272,-0.8965878778517204,-0.8260601228465505
30,30,-1.1050594119439205,-1.2453674729488093,-1.275434226916682,-1.2054887650354182,-1.4679908806590851,-0.9372530475382919,-1.2169901908867937,-1.0083928745920652,-1.0610434619922344,-0.7864951433693945
31,31,-0.6433676162363092,-0.6753581660774717,-0.19150665645609224,-0.617104431034122,-2.445255204065604,-0.6243411429249222,-0.7921162804550744,-0.6220062742891364,-0.5744086732743555,-0.6417891661611447
