statistic,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
EXPV,0.19716808243770712,0.27421655378494414,0.2778512393317557,0.1969309432346409,0.37751887196054157,0.08092880906664202,0.09815830809582715,0.14595379050300472,0.23155628388394056,0.3177360232554761
MACE,0.008018979833926462,0.007354685646500605,0.014780545670225392,0.005527876631079495,0.009727164887307248,0.01067615658362991,0.01601423487544484,0.02016607354685647,0.02716488730723606,0.012645314353499438
MAPE,0.04452203092241424,0.037448336120923416,0.06728508095573543,0.05231430211233778,0.09114709276553616,0.04018438009830911,0.07539538905674546,0.04593140182546434,0.04642167074495934,0.04671988394759563
MSLL,2.0492281894040123,2.218543656934623,1.5779248920174407,1.9625220929481761,3.336045656787727,1.9846486172451923,2.255947326875837,2.1103911650792453,2.0558855141814987,2.095131981831888
NLL,1.2893007419089142,1.1588594660853018,0.9700559892868467,1.3142987785779432,1.0971420958397962,1.279446097564192,1.3953900564880182,1.2993796329990137,1.2243087352377577,1.2064339381034106
R2,0.19671913821642528,0.2740716214730491,0.27606878564393933,0.19611408619607162,0.3775041931574562,0.08085624150666881,0.09634138901415301,0.14576295981341414,0.23155114945064348,0.31755693511272176
RMSE,0.10142948905822352,0.0714487632081326,0.11210303386120073,0.11345933290777108,0.02034639998853045,0.11460115196700148,0.0972813853604274,0.09938805487465925,0.09234664058249187,0.08219386084115494
Rho,0.2756137676650566,0.35188094627111605,0.4359227879558565,0.33545638999690053,0.4830595504187964,0.234242889568879,0.27914802956446483,0.3312394149544354,0.3990672491683602,0.5132529863603166
Rho_p,3.6765694585461917e-16,5.622129891560635e-26,2.0385407117944433e-40,1.2829919072295802e-23,1.6891178645136956e-50,5.695514866146113e-12,1.4864900196853848e-16,4.911582012822108e-23,1.4358049455325851e-33,7.789166033822306e-58
SMSE,0.8032808617835747,0.7259283785269509,0.7239312143560607,0.8038859138039284,0.6224958068425437,0.9191437584933312,0.9036586109858471,0.8542370401865857,0.7684488505493565,0.6824430648872782
ShapiroW,0.9955191415780665,0.9983642014835321,0.9966811471069965,0.9967640622015375,0.9972366686655733,0.9944667977436253,0.9900790644423971,0.9916948273600065,0.9807543985141043,0.9969528081171297
