observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0.05,0,833.9332552353908,2579.3844166026256,617.7542915940322,103.5689073213789,229.18145831001942,1808.233659837788,62.21966561356865,1220.8181386983733,3837.0730856167056,835.3483882563884
0,0.25,0,1025.249607049047,3055.9435973812306,759.5979523522592,131.84175967022924,316.1854364862213,2285.052692849112,93.79059392011554,1569.249040207843,4983.173369587123,1206.6533022584913
0,0.5,0,1130.1241816737083,3331.5005159204457,837.6582681151007,147.73993644754938,364.00954757471675,2537.5423084969884,109.47396035552116,1758.8898669664918,5616.272775630825,1394.144401864644
0,0.75,0,1218.9241476745167,3570.743343542375,904.0408956327615,161.39520304315297,404.78501725663295,2744.201691748663,122.16267197630233,1914.8499769553193,6134.54707822312,1538.981594650688
0,0.95,0,1339.411784170865,3889.594320556658,993.5358239967182,180.01678939586506,460.2250706488408,3008.4346758151273,140.20292007483752,2110.0704531155343,6753.692487365484,1707.0385578989449
1,0.05,1,1147.83589341516,3441.371942953776,841.6554182383665,147.65366304400206,369.7509541361583,2536.6767036021292,102.33243471917574,1819.5410313951763,6136.794845994751,1413.227198180185
1,0.25,1,1256.8503442524514,3726.682607370132,924.2319552860732,165.165282461194,422.2352711421231,2795.8475411414192,120.3029009994481,2005.8313948103464,6700.667408425573,1586.0095822543608
1,0.5,1,1330.8291499259224,3921.931826198199,978.7406529800377,176.76739230434256,457.8104931311244,2957.6779975652016,131.4322057377248,2126.072242671124,7078.129910676207,1686.3943866917778
1,0.75,1,1414.5769910339002,4137.788712274766,1037.9890215757273,189.7905024801555,498.70609691941104,3127.575903227357,144.01732854780872,2256.783796148496,7496.5039021608845,1786.81473831209
1,0.95,1,1572.182324700801,4519.263516276755,1143.8672539240451,215.0429247499569,580.5073941003618,3428.975566653325,169.81831731173753,2493.8662117881486,8241.07245496208,1963.3006446286527
2,0.05,2,1034.1884886491957,3063.676436533415,732.0995542489777,132.12731711149988,312.9337222175573,2190.471788180568,91.54638404126797,1625.304798078098,5738.666493220638,1292.8679827652822
2,0.25,2,1161.3495112219903,3399.3231768761148,833.7910462911882,152.20038309136243,375.483876360755,2525.278418953223,112.38240626541787,1849.6206621680599,6369.984921333131,1495.3997912730379
2,0.5,2,1236.4366927422093,3601.3522856387194,892.673910403757,164.13746453460004,412.16261023992064,2711.1676714618397,123.90090400631138,1978.0704841156357,6748.578721232164,1605.1704036611286
2,0.75,2,1308.8136749648188,3791.928649592105,946.8475943606176,175.6660622485769,447.4018176378578,2875.7329401156967,135.2892191832236,2097.6723909743564,7128.081377473904,1703.3673000935844
2,0.95,2,1427.1812244995958,4083.1901672204667,1028.132000467043,194.92834926388898,506.1234405935982,3113.293843450401,156.37324300328282,2285.4043930951134,7764.377430576616,1853.2164396081123
3,0.05,3,1061.2728027701662,3222.924795034858,813.3847941042432,136.03253816137362,351.5482100452052,2399.885618946299,95.65479900731131,1669.9089372120002,5501.326637315684,1386.2603255225317
3,0.25,3,1190.839976718542,3556.5458837065416,904.9610246420016,156.04531305049665,407.1815977190173,2699.9098191169883,115.39943145996153,1893.139360359061,6203.383992130735,1576.176363016235
3,0.5,3,1268.9995127807415,3764.3031503511434,962.6260870490314,168.1508786999689,442.64253960784384,2874.6107057249296,126.70641128790142,2022.7246577213364,6607.508715459982,1683.922814431654
3,0.75,3,1348.7182362345743,3976.757183441763,1023.50952775597,180.38191362605653,481.04932259481336,3046.297122257877,138.46968223143156,2148.646669306404,6993.689374682545,1791.2921705215915
3,0.95,3,1490.43118967806,4339.83523706057,1131.7337174683692,202.32287468474144,554.6741493014155,3337.5371850705715,161.29364797154588,2359.8908005032026,7619.174426649335,1983.940396033215
4,0.05,4,1056.364596073284,3162.0216524755533,771.8446844439407,134.9961832982263,330.9514884186624,2309.9915822924377,93.03828203142544,1659.8210969025267,5725.287898098756,1316.0854295873364
4,0.25,4,1180.1213707108072,3484.705361791365,866.1877749659873,154.58078578327454,389.69408724431867,2617.784651536041,113.38543783405056,1877.3256607154945,6360.4989200698565,1514.0347699805639
4,0.5,4,1254.4486072647248,3682.3330032924896,922.3842278550034,166.3717097117908,425.22225808438895,2792.4214478947856,124.76693955978638,2003.3698519123552,6740.403682633162,1622.1494334833508
4,0.75,4,1328.2508055503877,3875.6502700050105,976.8242417059514,178.0355717362947,461.0388241475437,2954.2748791452336,136.1954452369443,2123.5618503603364,7120.177663379222,1720.7690505664266
4,0.95,4,1453.5768962062223,4186.64642796969,1064.6936561717378,198.18445591501785,524.5576566213288,3206.0093535029037,157.63235590667762,2318.355965849106,7755.849272460129,1876.3289504877946
5,0.05,5,1145.4690621705365,3472.6297809562393,872.3276557556837,147.75147391198857,385.61308918479875,2592.3851793962695,104.5006033536865,1818.5175921054752,5908.67095701857,1477.2406754807266
5,0.25,5,1262.146771972333,3778.2977795174966,957.3262702100023,165.94058858521296,437.44622252752504,2856.066599299283,122.16304112787184,2013.4477714221855,6528.339157522748,1646.9808135581432
5,0.5,5,1342.0329810884064,3994.395432055469,1018.1962270730575,178.0858144659274,475.18147804633696,3028.351901692799,133.47995338867713,2139.923440728494,6916.137386462305,1753.479461365938
5,0.75,5,1434.829233616182,4242.633741975609,1089.4309383321788,192.00469909697762,521.369552036146,3220.051231283598,146.7271334380423,2279.930851211741,7327.561375362558,1872.3896811393433
5,0.95,5,1614.9083371637932,4694.174182795833,1223.4571122387688,219.68311286958976,617.6478375449336,3579.5305570518394,174.50232774982632,2539.583153024816,8050.590599824694,2106.0792102587934
6,0.05,6,1146.3520046605743,3475.3206271311724,872.8680685298227,147.8584690367247,385.82473014965325,2594.5826758881735,104.50288978184743,1819.77280481466,5914.574982379469,1476.5519423418446
