observations,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0,-0.7981371735315581,-0.6627408226200564,-0.6970189826460113,-0.7535606092804822,-0.9686464383761304,-0.7832843251191268,-0.8388728196904378,-0.8937071582624496,-0.8539497744416338,-1.0316532770222353
1,1,-0.6615304174350352,-0.5459343682642847,-0.680820002279977,-1.6755361999249088,-0.5685111895709027,-1.224414268565939,-2.0660313145111706,-1.3483938727307663,-0.9394864355753184,-0.6733266223881839
2,2,-0.5010576520268306,-1.0432051720068027,-1.9054890466252157,-0.766070667361098,-0.44126787854881677,-1.1851666084058332,-1.3522835908600577,-0.7852264687974698,-0.5226375426362679,-0.5408310185193044
3,3,-0.6361620576378313,-0.5760848003251686,-0.5921127260707817,-0.5140265561469441,-0.8565894918228218,-1.4544596034790513,-0.7399119040810904,-1.0336241325968527,-0.6722737782985513,-0.6499428538620188
4,4,-0.465361774026934,-0.7327907447393633,-2.2971625736856893,-0.6599160756595509,-0.856468957358319,-1.4282546810980818,-1.004407558455187,-1.0963371154175676,-1.1168327577893264,-0.5010501264052751
5,5,-1.0177359377728163,-0.9184214182013329,-1.1939858064449012,-0.8041207797874171,-1.16299997717809,-2.3345830463617907,-1.0861098968087592,-0.8568488302754301,-0.8284053101949436,-1.1245202680416937
6,6,-1.97072350653076,-1.1181222700314057,-0.6551625725356017,-1.9158467301406041,-2.404291068958712,-1.122224508971041,-0.9949836833300872,-2.1319884417866914,-1.6842056215145784,-1.5242471039613652
7,7,-0.7738316432236533,-0.938097597272225,-0.919339921034098,-0.7884448686510475,-1.715061980340797,-1.355571806460068,-1.2034081812638997,-0.7272676809475465,-0.9990937709006265,-0.961662424051166
8,8,-1.435091731670732,-1.346224791232408,-1.2100723508757647,-2.573581616127764,-0.9212948325037292,-1.2130589812393902,-0.653854714690892,-1.355465513984738,-1.5485316125955788,-1.1291232429987201
9,9,-0.4837446493888768,-0.4667597324247624,-0.47823195880809793,-0.5771210572607969,-0.734108798850639,-0.5395499403582421,-1.6227554923176908,-0.6003601241320589,-0.4932090352360382,-0.5291521097505776
10,10,-1.727407606418434,-1.4011072700677571,-1.9298158670053631,-0.7705225711414627,-1.6233219357144755,-2.027708292411732,-0.8965811021106652,-2.03972138474508,-2.675315737836392,-1.7344071734427797
11,11,-1.647214710046551,-1.2482623419154097,-1.4952542470863204,-1.375119877680393,-0.4544445362393514,-1.2344277378157469,-0.6814306691980567,-0.6575247385155656,-1.110151343644292,-0.5052872066754364
12,12,-0.539392860194184,-0.900374248611088,-0.470678374616663,-0.5836720087180602,-0.5547960512677476,-1.0499386569478806,-2.2043622508465255,-0.6142031817260947,-0.6457776482369548,-0.5174103991134854
13,13,-1.390388084660212,-1.3658103769602363,-1.0012135115157177,-1.4565241752930544,-0.6416560672901941,-1.2957741468561064,-1.5107826275696197,-1.0235077800890517,-1.6005340487092505,-1.8329865713373121
14,14,-0.4861168776562189,-0.7333161090103028,-1.7255999912872877,-0.6159225733317228,-0.618317176286705,-0.4424503508385468,-1.972501544214443,-0.48423193523657243,-0.7823578816330736,-0.48974416277600974
15,15,-1.8431899518011792,-1.503533503519534,-1.6198531798102733,-0.7395245907360943,-1.2576550143493144,-0.9150739953466466,-0.8574405580810276,-1.3113238768723627,-1.51360189371291,-1.2441424039091744
16,16,-2.291671131395779,-1.0602387988769024,-0.6078609536423369,-2.0275638448392694,-1.1098689226223881,-1.9416168494889767,-3.473678742011958,-1.9943821393647387,-2.2032197985237145,-1.998149491275548
17,17,-0.8657629123817852,-0.5404703147744094,-1.2881577207083585,-0.7434446772164818,-0.5226761104571708,-0.7753800542700344,-2.211666783383977,-1.0945291237626895,-0.69790663024908,-0.5186636047634254
18,18,-0.9826341010741915,-0.45769915842412146,-0.4269222407584324,-0.7087542544792567,-0.8315581741370393,-0.49052361543997014,-0.8025678231304194,-0.5119262341652016,-0.5108797742807938,-0.5390338970567918
19,19,-2.008815321431133,-2.7991287364966957,-4.093846931562786,-2.6875477205655303,-1.418431923462267,-2.2998102669172726,-2.360502241526187,-2.389735707052547,-1.9091679609237342,-1.3920303887476628
20,20,-0.4438174103806226,-0.6095883679981358,-0.9327484794248553,-0.5476277666879461,-0.43938778063171213,-0.4223639022916522,-1.9577298792939999,-0.5683307343108579,-0.49753963977380883,-0.7600701107766442
21,21,-2.3451045940243835,-1.822746785808996,-1.0808766079232335,-2.5040927850326495,-0.9303257552644146,-1.087730283474776,-3.2388110794448304,-1.5221212198068235,-1.5132094775711167,-1.33754553759265
