observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0.05,0,0.023020279274484523,0.0044995636431083615,0.015375409846613897,-0.05466292156024563,-0.002341189424134863,0.020545837333765322,-0.0013483669256897264,0.013775988796343315,0.008033872893360949,-0.004007671602494628
0,0.25,0,0.028014126135715745,0.0076707894937721646,0.020405533480634147,-0.043817910872557944,0.0153393395411224,0.023132618357304915,0.010038417962914745,0.016434549728802563,0.011198553860760525,0.004335126758099846
0,0.5,0,0.03026511357972309,0.009560425309104174,0.02378720731908392,-0.03936272269010652,0.02745904679558493,0.024553745891879735,0.01598689542985266,0.017768021302314668,0.012758360648662086,0.007995808488373564
0,0.75,0,0.032067424649114884,0.011297911177022798,0.027085039644476613,-0.03623511787408583,0.0415658533221939,0.025948769683993095,0.021784522154683135,0.01894436289465546,0.014022819754310595,0.010646144890632616
0,0.95,0,0.034596081936156875,0.01369635773766551,0.03169807855940986,-0.03247115284838212,0.07125253654511776,0.028085976858851253,0.030814779115796435,0.02060098758848542,0.015634778178753164,0.014049535199369769
1,0.05,1,0.025342514707867303,0.008196066285242875,0.020919004301255765,-0.04082321667011345,-0.022274800423137862,0.01850241109846811,-0.013642435870677554,0.015562847508822728,0.012601431561212907,0.0021516536241774752
1,0.25,1,0.029040460868249462,0.01021722846826071,0.02354445947259252,-0.03641817112611023,-0.003048006658758061,0.021556659915363676,0.0012803354795364215,0.017321722788888612,0.014131096799622302,0.007481818810668722
1,0.5,1,0.030837109337210705,0.011528918624085716,0.025339114223874165,-0.034032086269227546,0.00828789092811112,0.023031049845775302,0.00815303378805743,0.018338389221223213,0.0150720481570549,0.009977564423781374
1,0.75,1,0.03239342815978771,0.012806434406658415,0.02711042222612297,-0.031598389348094315,0.018968487841484916,0.024295112165756524,0.013618732000070523,0.019294305367865812,0.016006808270994082,0.01211169279282809
1,0.95,1,0.03464307418987875,0.014655248632018402,0.0296201948376361,-0.027062085275236885,0.03553019446471074,0.02606407303589247,0.020924447423764876,0.020675458640961895,0.017503887490874677,0.015201423759996623
