observations,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0,-0.8024957749577861,-1.079930481022173,-1.4792738213020469,-1.7613517644173338,-1.3247954635196795,-0.5929855049664139,-1.5049117861932833,-0.41796915194820533,-2.498875154621099,-0.6601499980001937
1,1,-0.20694925252652785,-0.9888339187514876,-2.0845602879396106,-2.1537300198882083,-1.1924826745825954,-0.903471913569511,-0.6808103744137614,-0.3451437710199857,-0.46617136707940626,-0.5172750472130925
2,2,-0.18612484000042612,-3.430289853034883,-1.9772663180328605,-1.4233125521278502,-0.7893567154977285,-0.5877823564617097,-1.2017296317124757,-0.3525419694469911,-1.3324385924269841,-0.5276686716037907
3,3,-0.23627390756485867,-1.7472164706799815,-0.9187731340995808,-2.2455073377417794,-0.8096523693651403,-1.5811938214643644,-1.3443903662822325,-0.3928561195927419,-1.470681504993208,-0.8041942428707609
4,4,-1.074653172967345,-2.7902467033733354,-0.6630954716689581,-0.8381054123922511,-1.5589311986769894,-0.6668759061943166,-1.3471666388247692,-0.4359143794917795,-1.5126604743626315,-1.7703181018566896
5,5,-0.9011667189887014,-1.1522496927831944,-0.9238095284959638,-0.7077969630409422,-0.9972969401203675,-0.43211991159342317,-2.239589631504551,-2.1623760526237037,-0.7569796115580623,-0.8341699324975157
6,6,-0.31643721199834807,-1.716574177555957,-0.8963528858954863,-0.9146707371052092,-1.4487263089388376,-0.4324001896654935,-0.7578649447335987,-0.6024287901540946,-0.4950150653213061,-0.6952098662835469
7,7,-0.9624506857443819,-2.517348284360434,-1.2833771710374111,-4.420058380974604,-4.048138173920931,-2.0387569238357433,-3.0492952172410366,-4.3128296122261,-1.1606608011063764,-3.6552269900314425
8,8,-0.2532843018733586,-0.8321448351734554,-0.8336869294083075,-0.6793357770529789,-1.3973638786064648,-0.36583879060067237,-0.8545421386404648,-0.4487686906518223,-1.1898248060537169,-0.6024666426104346
9,9,-0.9681599285899499,-0.9929652071592177,-1.1547293963624172,-1.5379359656160658,-0.814247400621777,-1.5138965879116641,-0.6833656674228599,-0.6261899075062428,-0.4639983868153939,-0.6344655221916919
10,10,-0.8726128404045719,-1.8684596659525683,-2.2347042506002213,-1.6787949931383799,-1.0700022548335606,-0.6967188358712948,-1.0264076290174318,-1.3452947024716437,-1.2456890519799917,-0.6330865987851428
11,11,-0.3917823734207242,-0.644678320440634,-0.6451091974281089,-0.8245590969756116,-1.3521605627086801,-1.5572044463775927,-0.7668281306421338,-0.32944668860390514,-0.9459925966638137,-0.5591808297848361
12,12,-0.30485118232339703,-0.8646394516561688,-1.313777447251849,-0.7171414855891891,-1.2968698069424636,-0.6111990308691054,-0.6451278546148351,-1.2049399871090458,-0.4248632631385624,-1.0216940681138644
13,13,-0.8393540702531539,-1.5938772233419982,-1.533309273587132,-1.9032253190762414,-1.1552774786624889,-0.8796907824016031,-1.09808951213543,-1.5645264716139824,-2.440674571354291,-1.365870104350039
14,14,-0.3446352987051819,-1.6864188881582187,-0.7344494176063767,-1.1635556188355904,-0.6912022298807466,-1.6486371997520182,-1.4762151441418776,-0.8859013655951216,-0.862623065183149,-1.4295939975141174
15,15,-2.489607935053305,-1.049479793214315,-0.7355662882367868,-2.278715685397331,-0.7090883267086815,-0.3883034344684452,-3.102080077851759,-1.6888441617167853,-0.673291010520596,-0.5149192667986973
16,16,-1.1510570276320484,-0.868909130692341,-0.845106502294243,-3.1068476666583718,-2.266785386271186,-0.8183630137927869,-0.7135635112201515,-1.0398117540835385,-2.143832588265293,-1.757060895398324
17,17,-0.2856725625315361,-2.6868879193720896,-0.8778124298514306,-1.4206921758650164,-0.9361805599005013,-0.3624159947227821,-1.3645821499644208,-0.32508775269613116,-2.288617722898122,-0.6350867423813442
18,18,-0.41247298091792045,-1.002656665433193,-0.7036507011801576,-0.9863573868146118,-1.958543978984883,-0.4466385091333433,-0.7371094049070327,-0.548218824922797,-1.0409500484736323,-0.7424763326006999
19,19,-1.6053208403652175,-0.7835631539663864,-3.1656038959745443,-2.2191847767383317,-2.1444258556410514,-1.0664943043870616,-2.6501565615197684,-1.7215936524409128,-1.1040898572800797,-0.9888639678176318
20,20,-0.29807324704865407,-1.4371467842881804,-0.6192688094628611,-2.1598817266246355,-1.5811102472218646,-0.3369519814792103,-0.631209447477636,-0.4363944180602591,-0.6203692660906905,-0.565213370396863
21,21,-0.2675071545351062,-0.556593643535835,-0.7003509642960428,-1.2859248994631565,-1.7467110792624971,-2.015511084883241,-0.9972727169053432,-0.8990472544353653,-0.8971094765312104,-1.2004232872584681
22,22,-0.19734039714985202,-0.5844283736778861,-0.6160973508694252,-0.8585893979798417,-1.0333036957508046,-0.8205060560077013,-2.875202572914513,-0.3646334936166519,-1.2033972730949518,-0.5808516533101203
23,23,-0.7551268200412227,-1.2635628574298836,-0.841238393583054,-2.197454237564899,-0.8279121417202645,-0.5649361921142773,-1.2260628058531353,-1.5236713040717311,-0.6331564934968923,-1.2461894817020627
24,24,-1.415108190055603,-1.1264806198091921,-0.9034510182507993,-0.9307930678510009,-0.7903023397642226,-2.9742507028697913,-0.8102570808551008,-0.34252095348851325,-0.46426856805066347,-0.7477608609482426
25,25,-0.5202321801402161,-0.6210527573464791,-3.2526576500134157,-3.1441206404692172,-0.6988781928452485,-0.6563952358213292,-1.6707521070523308,-0.30570591132296054,-0.5163520534913422,-0.6910724514017739
26,26,-0.46087160784531733,-3.17638764332675,-1.8431930750744208,-1.3683775288928295,-0.6732526695600117,-0.44874525181214026,-1.8233030399655341,-0.32884028205364907,-0.5564675803380692,-0.5470442577556689
27,27,-0.2582483809416982,-0.591266911296634,-0.676325680160175,-0.6888200624045915,-2.0975948453898576,-0.40726921861162585,-1.6823414576060745,-0.31928084292581577,-1.6778632503683601,-0.577918302550057
28,28,-0.21067757577292032,-1.146364633594559,-0.6854357321262471,-0.9383404639938036,-3.1271289084472804,-0.5987050525128966,-1.0671973940131256,-0.2917015451120738,-0.5864571662928286,-1.6849764926623947
29,29,-3.440477605104341,-0.5563538922151927,-0.7547183128819617,-0.703918498336205,-0.7778028664684811,-0.31744337777517434,-3.6915386480244896,-0.6327019465503686,-0.5743422473268718,-0.9680724450815088
30,30,-2.976103148139929,-2.077004583732579,-1.4303281785826287,-1.0152690901069228,-2.464508374194399,-1.9230478927475025,-0.9223396181514887,-0.7534014351703182,-1.150694543455094,-1.2082946843069216
