statistic,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
EXPV,0.5566168590498267,0.15139559353186416,0.07001361341865431,0.08670512711960343,0.07899087960567486,0.5551219900532005,0.11317988808201596,0.2974253091343305,0.24239757418688634,0.3706813251141797
MACE,0.015439429928741089,0.013111638954869354,0.016437054631828995,0.016912114014251783,0.017814726840855097,0.010261282660332542,0.01235154394299285,0.008551068883610418,0.01567695961995246,0.01809976247030881
MAPE,1.6058400944114617,1.4612693168324673,0.4063638852760404,0.07570558082893368,2.9890891204976686,0.7790762457741073,0.8954291469370189,2.2255414512735947,0.2715816569589487,0.3368642602984181
MSLL,0.4886399508421003,1.8672561924970552,1.2552260420806438,0.7769696055924415,2.3019671088012834,0.9063113936610527,0.8271958492424526,1.0611170629790085,1.7673591705979597,0.8659080664182799
NLL,0.9495650938056391,1.3162186785691616,1.3256496921621355,1.4023262034284751,1.4057840632255643,1.0028804232271336,1.3310051371833473,1.1039306831537485,1.1960002895496937,1.2087504350172207
R2,0.5562036559466428,0.15125513799287704,0.06901908302127802,0.08669816017360976,0.0770704753493856,0.555114765519078,0.11287860085855161,0.29691275761884606,0.24155546183493803,0.3688864301472303
RMSE,0.25558298094641163,0.1284809834908512,0.2505058181073383,0.43217427368832956,0.09487236853223296,0.17775679757434631,0.3771863314159619,0.2117683987069463,0.11901089732613865,0.2708389571055913
Rho,0.5938605142584794,0.2721906431580281,0.19695498402801806,0.21654178197265359,0.26599666596566723,0.5744335099173583,0.3201785378429439,0.45058730582249074,0.40682614191776717,0.5284406531475497
Rho_p,2.176537253271351e-81,9.076198080811323e-16,8.256304866164993e-09,2.1588247099574777e-10,4.198709263220517e-15,4.3443467378566884e-75,1.5901620128073925e-21,2.4533903532914364e-43,6.685304124730471e-35,9.661123537701037e-62
SMSE,0.4437963440533571,0.848744862007123,0.9309809169787221,0.9133018398263903,0.9229295246506144,0.44488523448092193,0.8871213991414484,0.7030872423811538,0.758444538165062,0.6311135698527697
ShapiroW,0.9981278635517112,0.9925382234597753,0.9920192628335364,0.9893429174752377,0.9871927805131796,0.9985245343862362,0.9934505701287041,0.9981159761768117,0.9901620962822589,0.9883058141088173
