observations,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0,-3.054478038076987,-2.511427793909793,-2.2501685251477297,-2.4534402953866428,-2.0746409481026538,-2.6350242414253358,-2.2516710462493212,-2.6991194765782223,-2.867679602384008,-1.9327087655188682
1,1,-0.7784309137729672,-0.6656358622876053,-0.5060116575308762,-1.4997347138931023,-0.59904717492914,-0.7031965516841232,-2.012314344988757,-0.9083096462546898,-0.7995145748032619,-0.4831015377094715
2,2,-1.8724777662908685,-2.5493980223674377,-4.4775564898480305,-2.1850936032824153,-1.6552341935536017,-2.648126726682438,-2.3218193120195885,-1.9893771899618402,-2.375939500706746,-1.0832886535343795
3,3,-0.8842415731464681,-0.7963594782146134,-0.9624810568359508,-0.7353203418078,-1.0204221249341867,-0.9184927024182548,-1.0933290170924033,-0.7428668201414905,-0.8245309170421574,-0.5680222064297905
4,4,-1.3286365905080422,-0.6700190324318518,-1.511347972568875,-1.749404890993252,-0.6116777085191336,-0.7762791348850306,-1.0467667096435926,-1.1945873571437908,-1.2784320337272221,-0.808232418986592
5,5,-2.5871530269283634,-2.1164130092349818,-1.370481932309239,-2.746927726669326,-0.849386071650663,-1.9637753163138068,-2.547222888354441,-2.9614483206663316,-2.1534417555407126,-1.6946232052121522
6,6,-3.2404219473392755,-2.659861738004665,-1.4013299620564028,-2.750731800448423,-2.8116936512746555,-2.433004709825683,-1.4994606374471133,-2.851217649888973,-2.8505476401159378,-3.4728691296535166
7,7,-2.5556710575648656,-0.9358964502295394,-1.4438608063203147,-1.026280607572823,-1.300077787177689,-0.6853742911616477,-0.9655566729565179,-1.9985153248563505,-1.5867249734306337,-0.6056470361129809
8,8,-1.3962181738768638,-1.0355854341523572,-1.9142946007527437,-0.6820806877499777,-1.1240966005481314,-1.0072174485308563,-1.9589546108738518,-1.3880324988380868,-2.08541906065067,-1.8322221279163857
9,9,-1.3246562952158087,-0.6829692468570983,-0.9091601556959122,-1.1971430767969602,-2.5691707383355418,-0.9621695104323509,-1.515471414707197,-1.0208960374337126,-0.7135880853377271,-1.0758088042852902
10,10,-1.036287018072695,-1.1459272192040846,-0.44135144068669074,-1.396753976629777,-1.523076264585076,-1.0766390319982477,-0.7736255286938033,-1.2023930827553324,-2.3242725152280586,-0.6911790415903589
11,11,-1.4203828515079155,-0.8221524611824151,-1.1710334193123868,-0.7746603146504808,-1.7647520287437901,-1.5668722363270784,-1.091031679555719,-2.06725057646363,-1.6879894799959427,-1.0881094667546276
12,12,-0.870478670163476,-0.886662685906771,-0.639782859326471,-0.6820773404813412,-0.648766763718842,-0.6717908848685381,-1.5009516985870892,-1.016700632370776,-1.0279021254663614,-0.6246386549383954
13,13,-2.795396657168034,-2.154167070036746,-2.0775473037169196,-2.849927718267937,-1.9466310436924332,-2.9134857861586863,-0.6759992716466655,-2.67063088551206,-3.422445356506097,-2.9359756260738257
14,14,-0.6878926137467554,-0.6598030379880395,-1.133615470527914,-0.7981499670138246,-0.7601403429588676,-0.7779099190602317,-0.8316649729930564,-0.7176430965853272,-0.8041443888270634,-0.5109092895795246
15,15,-2.079363704015178,-1.1540798723192145,-2.092279164821852,-0.9150024638591041,-2.055313697511397,-1.735797928102048,-0.9214526111628449,-1.5933143609030957,-1.8130972751825079,-1.0783623596196255
16,16,-0.718769502354257,-0.9849115508658052,-1.2634088579869467,-0.8680746433475122,-0.9631832469861146,-0.7216879008050602,-3.190994480878538,-0.720615705083382,-0.6117683611833583,-0.6733294561813498
17,17,-2.403173111638169,-1.461063729510765,-1.0900232325700485,-0.9429647379529165,-0.7835722013673723,-1.9843423740470896,-2.614165401688633,-3.3517797526733304,-2.162031616202893,-0.8573290402118888
18,18,-0.6553858818060911,-1.764793574563856,-2.54529955888714,-1.2950238777694216,-2.2246735521981957,-1.343213171462457,-0.7934833229616791,-0.8146513556915895,-1.5715831944808403,-0.6279793381128982
19,19,-1.1365554978629677,-2.1969506107501866,-4.08831527827415,-1.4521680790389453,-0.7594769626753494,-1.147683641593995,-4.8770134506203355,-1.2142085270899412,-0.7848591101241738,-0.8128574688412041
20,20,-0.8092321408936463,-0.8091997183928409,-2.3278653299876853,-1.955141277986297,-0.6903990883978883,-1.5112965784324577,-2.570227746030049,-1.3809131903755527,-1.590912327524204,-1.7500006400363546
21,21,-3.1546238984836377,-2.6733031604162423,-1.1929484184657615,-2.655840690768174,-2.281172011948612,-2.3605834075790364,-1.9552119499263618,-2.8559628175526894,-2.7063586733885785,-1.941344721044584
22,22,-2.5056723667302507,-3.803883680164068,-2.280957363030586,-3.2022787815262137,-2.436094933165788,-3.0356723249903794,-3.487391986441046,-2.4637474177360104,-2.8368563605068586,-2.6854496106697905
23,23,-1.0490229890413707,-0.789787926611502,-0.7020585616904231,-2.2663641302592863,-2.395557847177703,-1.7769159044216218,-0.9639098023123489,-1.4383640464743355,-0.7536089743099996,-0.5538015059035915
24,24,-1.6483014867920405,-1.542889678551394,-0.5954324444917671,-0.711845694865924,-0.9475289715101285,-1.8715679643005503,-0.9305438193500232,-1.5353133618049797,-1.7310141763948894,-2.888246763680396
25,25,-0.7575138152245637,-0.6082960703810832,-0.48108911026033946,-0.670615549830025,-0.8119127864923756,-0.6601964559477959,-0.8570419933161014,-0.7450337295408216,-0.7380344165358617,-0.974097129387074
26,26,-1.9054210050760874,-1.8152065847393086,-2.462445629234147,-2.0381099117189327,-0.9634682016717555,-1.643352432480288,-2.569935128333497,-2.01927919589636,-2.156888637143028,-1.280710319708719
27,27,-3.5428816521769746,-3.6256472569977425,-0.8829552830955707,-2.4805972599231043,-1.4342391577423932,-3.273001443497729,-2.0381173547508684,-3.5756441817528346,-3.5162974017771758,-2.727347784972741
28,28,-0.9570869632659439,-0.8028729198712183,-0.45443151979106977,-0.7381022161163664,-0.9921098833966441,-0.7008126788987427,-0.8483207698860634,-0.8568701335729283,-0.7160979403544336,-0.4891307866099583
29,29,-2.358435712960704,-2.306123391946319,-0.645098773782959,-1.2270128186347493,-2.3479763807884932,-1.7461211141813329,-0.9435891538671071,-2.5581785525588225,-2.49692362244595,-1.5962944343068064
30,30,-1.209174315725328,-1.0614646107044692,-1.1507447160054243,-2.342717402732432,-1.3904573404699752,-0.7016757747409098,-0.9404856483356034,-0.8475721233191774,-0.9047955586084686,-0.7873337041822353
31,31,-1.2272968242090507,-1.818251600735155,-0.5182844859035967,-1.315693468152663,-1.2003083864634259,-1.819196894386188,-2.6752776800735747,-2.060930814001251,-1.8800173485351461,-0.9151763494321221
32,32,-1.8414749438519864,-1.4552856689572182,-1.4365185343791964,-1.9720659038075707,-0.8282425413133194,-1.560727503663586,-2.0395920847685862,-1.9322068729345476,-1.6119622021439937,-1.052408495313392
