statistic,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
EXPV,0.1509781077969563,0.18292383384807998,0.24963390366569072,0.15484158444449625,0.3060434792548892,0.126693894180806,0.10183580034435713,0.1114774452753502,0.16963921269023907,0.35529417448065237
MACE,0.01429928741092637,0.012874109263657969,0.014061757719714976,0.013111638954869354,0.009548693586698343,0.023087885985748246,0.014299287410926346,0.027363420427553464,0.03187648456057009,0.008598574821852733
MAPE,0.05493581858825667,0.046305524807394645,0.05853194851947755,0.060048485714844835,0.08913868499708558,0.05117776890192944,0.0992127613110807,0.06259586122980554,0.06305279908800425,0.05469706586183221
MSLL,1.9417896014473806,2.290705001700036,1.863810976591047,1.9155144221597316,3.2982307870129555,1.8604973994875391,2.23758369837052,1.979054544131924,1.9924669290025958,1.9203875847749652
NLL,1.331378489600117,1.3040041080870446,1.1744275179179415,1.3411313061070302,1.2397190559604199,1.3249785145644288,1.4002663492438023,1.3582121835111365,1.3190830873470671,1.1882010325087247
R2,0.15054639721055751,0.18271308527403152,0.2477272566409512,0.15364982768295254,0.3052259403757329,0.12669375474649136,0.10083586472926487,0.11131542327711919,0.16961115818289751,0.3547495858507035
RMSE,0.12112519204356914,0.08155138559676497,0.1053307207946263,0.12533906497395858,0.025744492598288003,0.13236501437757203,0.09932075415108298,0.12260501505839924,0.11244928300164872,0.09346357556469051
Rho,0.30342101540921984,0.3596135648321905,0.485829394086836,0.3195620171746568,0.3783110648363211,0.3237484543943742,0.30835220299464017,0.2849126081880127,0.33567844702560934,0.5126357410149127
Rho_p,2.16678547111648e-19,4.174712140143997e-27,4.400822237585668e-51,1.916030035257476e-21,4.8455905192413935e-30,5.357150663808182e-22,5.2711689188242135e-20,3.443847392576912e-17,1.269071811498185e-23,1.304372920062538e-57
SMSE,0.8494536027894423,0.8172869147259685,0.7522727433590488,0.8463501723170473,0.6947740596242671,0.8733062452535088,0.899164135270735,0.8886845767228808,0.8303888418171025,0.6452504141492965
ShapiroW,0.9918233547501712,0.9918220600281612,0.99914454963517,0.9933014178639255,0.9951894438267009,0.9843114120443236,0.9877089164668188,0.9796465524411619,0.9745518172099197,0.9966105458957161
